Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22)
0.0,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3051336391012746e-22,5.9364036486741459e-23,1.3051336491708319e-22,1.2715501630900034e-22,1.2715501779578168e-22,3.4813390795951864e-23,3.4813389551496972e-23,2.620831920525358e-23,2.2103800510758803e-23,1.1051900255379177e-23,7.2912777957471634e-30,1.2444548877230304e-30,6.149381375990348e-30,3.0746906879951127e-30,1.4867813914228381e-30,1.0069557204157428e-30
3.0000000000000002e-15,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.2882962096756439e-22,1.950532627421505e-22,4.2882962758470186e-22,4.1779504870157671e-22,4.177950584718542e-22,1.1438685547241326e-22,1.1438684729456699e-22,8.6113024860212107e-23,7.2626752901673682e-23,3.6313376450836124e-23,4.7914105308883249e-29,8.1778462772955226e-30,4.04102154941389e-29,2.0205107747069038e-29,9.7702776649894936e-30,6.6171375689200052e-30
7e-15,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.5088305129033135e-22,4.3250940868911629e-22,9.5088308725303462e-22,9.264150765556477e-22,9.264151296549809e-22,2.5364041865622072e-22,2.5364037421140844e-22,1.9094611835790611e-22,1.6104180033188953e-22,8.0520900165943157e-23,2.6040253687100328e-28,4.4444812206825534e-29,2.1962056038088316e-28,1.0981028019043941e-28,5.309933336490365e-29,3.5962703387317636e-29
1.5e-14,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.9949898474907059e-21,9.0742170058304787e-22,1.9949900065897e-21,1.9436550371097968e-21,1.9436552720212341e-21,5.3214754502383558e-22,5.3214734840001948e-22,4.0061183871340967e-22,3.3787150163350573e-22,1.6893575081674948e-22,1.1520192844279338e-27,1.9662381600288095e-28,9.7160006569225959e-28,4.8580003284612011e-28,2.3491143779183511e-28,1.5909899396801791e-28
3.1e-14,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.0832031821108523e-21,1.8572462843709107e-21,4.0832038452630307e-21,3.9781345776021946e-21,3.9781355567537413e-21,1.0891617977590653e-21,1.0891609781971371e-21,8.1994141287336637e-22,6.9152933000861049e-22,3.4576466500429824e-22,4.8018038299833308e-27,8.1956192821289906e-28,4.0497872039933629e-27,2.0248936019966409e-27,9.791515469667935e-28,6.631521788161368e-28
6.300000000000001e-14,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.2596288202289873e-21,3.756895451946637e-21,8.2596315226096935e-21,8.0470921361239639e-21,8.0470961262187549e-21,2.2031903032295246e-21,2.2031869634724185e-21,1.6585930950569757e-21,1.3988386899033845e-21,6.9941934495167816e-22,1.9567509225163963e-26,3.3397571060656553e-27,1.6503016916040693e-26,8.2515084580201813e-27,3.9900947923027739e-27,2.7023807065480951e-27
1.2700000000000001e-13,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.6612475971978676e-20,7.5561937870980889e-21,1.6612486877303016e-20,1.6185001163319985e-20,1.6185017265148782e-20,4.4312473141704435e-21,4.4312338367588882e-21,3.3358665954221498e-21,2.8134322227277841e-21,1.406716111363864e-21,7.8962922060113315e-26,1.3477411555217708e-26,6.6596441488046838e-26,3.3298220744022765e-26,1.6101828796535905e-26,1.0905324340466698e-26
2.55e-13,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.3318153777548175e-20,1.5154790457400997e-20,3.3318197586689668e-20,3.2460794858358738e-20,3.2460859543008837e-20,8.8873613360522812e-21,8.8873071943692154e-21,6.690294144489535e-21,5.6425185441686102e-21,2.8212592720842494e-21,3.1720541069289766e-25,5.414168306546451e-26,2.6752749860518387e-25,1.3376374930258927e-25,6.4684650104237634e-26,4.3809141492633433e-26
5.11e-13,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.6729443397099063e-20,3.0351983798006799e-20,6.6729619005462959e-20,6.5012284811317085e-20,6.5012544098728945e-20,1.7799589379815958e-20,1.7799372354489508e-20,1.339867147073165e-20,1.1300288239437201e-20,5.6501441197184868e-21,1.2714622806150998e-24,2.1702532644587987e-25,1.0723372259025234e-24,5.3616861295125105e-25,2.5928741187739659e-25,1.7560836389863326e-25
