Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120)
0.0,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4381507114425824e-18,3.2801795528012278e-20,1.4381507114853392e-18,1.3902534354880676e-18,1.3902534516802023e-18,5.0225578371011366e-19,5.0225583852970771e-19,1.4657368512095611e-20,1.209627962690317e-20,6.048139813451508e-21,3.3851143162414906e-27,2.3116901460964882e-26,2.7936317805528164e-27,1.3968158902763901e-27,1.6192134415077653e-26,1.0828821423286365e-26,1.0786064786027342e-26,7.7936477374133196e-26,1.7999403157163372e-32
3.0000000000000002e-15,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.5513517292030584e-18,8.100035222223443e-20,3.5513517294177141e-18,3.4330747687763161e-18,3.433074850067439e-18,1.2402640834053914e-18,1.240264358622085e-18,3.6194717690295982e-20,2.9870397666356784e-20,1.4935198833178199e-20,1.6994650990600284e-26,1.1605627655182937e-25,1.4025168306607205e-26,7.0125841533035135e-27,8.1291122969240185e-26,5.4365103110572752e-26,5.4150447346317317e-26,3.912728185573495e-25,1.5207654644817552e-31
7e-15,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.3039543380653056e-18,2.1220753433428354e-19,9.303954339386398e-18,8.9940881564843628e-18,8.9940886567882473e-18,3.2492855131875309e-18,3.2492872069998451e-18,9.4824117680797131e-20,7.8255455056247108e-20,3.9127727528123054e-20,1.0459298956622603e-25,7.1426495235406129e-25,8.631741778553153e-26,4.3158708892765197e-26,5.0030388380093313e-25,3.3458847168161913e-25,3.3326737903972769e-25,2.4080748911261709e-24,2.3766516976592419e-30
1.5e-14,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.0809158862745319e-17,4.7462189855838171e-19,2.080915886901571e-17,2.0116113895604067e-17,2.0116116270229867e-17,7.2673233848279086e-18,7.2673314242747433e-18,2.1208270101562875e-19,1.7502539104447119e-19,8.7512695522234474e-20,4.9643583739068001e-25,3.390162928336607e-24,4.0969347330691863e-25,2.048467366534567e-25,2.3746257996189641e-24,1.5880796890386235e-24,1.581809299484511e-24,1.1429586266092024e-23,2.3493897317340662e-29
3.1e-14,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.3819565139927858e-17,9.9945062700657825e-19,4.3819565167042524e-17,4.2360161228658879e-17,4.23601714971131e-17,1.5303379176469174e-17,1.5303413940907117e-17,4.4659900110605233e-19,3.6856454785886199e-19,1.8428227392942866e-19,2.1467007725989904e-24,1.4659876297862053e-23,1.7716076416930712e-24,8.8580382084652438e-25,1.0268454217609081e-23,6.8672396128164467e-24,6.840124944543795e-24,4.9424108114935371e-23,2.0612508844495329e-28
6.300000000000001e-14,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,8.9840366605586428e-17,2.0491080839029709e-18,8.9840366718172336e-17,8.6848239314038079e-17,8.6848281950879579e-17,3.137541095364249e-17,3.1375555302542841e-17,9.1562813501348612e-19,7.5564000087276498e-19,3.7782000043637777e-19,8.9135040567329906e-24,6.0870932067608468e-23,7.3560508569415138e-24,3.6780254284707099e-24,4.2636841476893119e-23,2.8514265962261764e-23,2.8401680058845207e-23,2.0521810965871344e-22,1.7227580761099376e-27
1.2700000000000001e-13,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,0.99999999999999967,11.0,1.8188192518210519e-16,4.1484229976957563e-18,1.8188192564076377e-16,1.7582432916193816e-16,1.7582450285841251e-16,6.3519155287142312e-17,6.3519743339623258e-17,1.8536725380830455e-18,1.5297794647078577e-18,7.6488973235391934e-19,3.6311855932460735e-23,2.4797923461463202e-22,2.996713000038499e-23,1.4983565000192304e-23,1.7369647431183766e-22,1.1616311703380364e-22,1.1570445844422787e-22,8.3601763595265892e-22,1.4079605035399189e-26
2.55e-13,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,0.99999999999999922,11.0,3.6596486491617021e-16,8.3470528252813232e-18,3.6596486676749107e-16,3.5377624356681199e-16,3.537769446734782e-16,1.2780536709947468e-16,1.2780774067162095e-16,3.7297058880275721e-18,3.0780126257415003e-18,1.5390063128707305e-18,1.4656475427450399e-22,1.0009380028346532e-21,1.2095592483092733e-22,6.0477962415462899e-23,7.0110666623349142e-22,4.6887979158850834e-22,4.6702847072276703e-22,3.3743963194375716e-21,1.1382966139637853e-25
5.11e-13,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,0.99999999999999833,11.0,7.3413003471017887e-16,1.6744312480452454e-17,7.3413004214886031e-16,7.0967901121691045e-16,7.0968182830360944e-16,2.5637268353521746e-16,2.5638222038777072e-16,7.4815507854291339e-18,6.1742958983354815e-18,3.0871479491676999e-18,5.88873038447137e-22,4.0218033848311731e-21,4.8598298779395845e-22,2.4299149389697607e-22,2.8170866989894318e-21,1.8839872617169359e-21,1.8765485803604454e-21,1.3557740570485648e-20,9.1536753720529064e-25
1e-12,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,0.99999999999999667,11.0,1.4373803236611126e-15,3.2784390493650399e-17,1.4373803524769365e-15,1.3895048533055622e-15,1.389515766175226e-15,5.019368372682308e-16,5.0197377899285434e-16,1.4647313580697786e-17,1.2087981567483469e-17,6.0439907837416369e-18,2.2809355053884439e-21,1.5579543492172138e-20,1.8824174814169044e-21,9.4120874070843755e-22,1.0912869663810384e-20,7.2982270423080367e-21,7.2694112184978573e-21,5.2514215739300458e-20,7.0523763309396626e-24
1.023e-12,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,0.99999999999999656,11.0,1.47045753561586e-15,3.3538831790794682e-17,1.4704575654371527e-15,1.4214803019109589e-15,1.4214915955638705e-15,5.1348688948880202e-16,5.1352512019513843e-16,1.4984353548573407e-17,1.2366130382187772e-17,6.1830651910937851e-18,2.3605212655922274e-21,1.6123159080042981e-20,1.9480984494196198e-21,9.7404922470979465e-22,1.1293652911644498e-20,7.5528845371006657e-21,7.5230632444225208e-21,5.4346524387322425e-20,7.3410290962891314e-24
2.047e-12,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,0.99999999999999312,11.0,2.943101182811067e-15,6.7127870411479026e-17,2.9431013022271163e-15,2.8450659051340466e-15,2.845111130084388e-15,1.0276336084236106e-15,1.0277866826416823e-15,2.9986412373982176e-17,2.4746872196602759e-17,1.2373436098300857e-17,9.4505185989935443e-21,6.4563038660436078e-20,7.7994826628233332e-21,3.8997413314115274e-21,4.522495034143745e-20,3.0245295237910414e-20,3.0125879188500732e-20,2.175784698134369e-19,5.8786918719175996e-23
