Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399)
0.0,0.23564895224661722,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.23564895224661722,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.0409724076736689e-18,8.5005956256928112e-20,3.0409723778323258e-18,2.9377542370235685e-18,2.9377542427272173e-18,1.0859465656714391e-18,1.0859467073129176e-18,3.8027460688208309e-20,3.1318975636147945e-20,1.5659487818073612e-20,1.3384302779359774e-26,7.9115871752424802e-26,1.1023156966345647e-26,5.5115784831726959e-27,5.2837193954692626e-26,3.5318312613474785e-26,3.5174327544189363e-26,1.9126247649447448e-25,6.7317534391392499e-32,4.9216332390066103e-26,3.398042360618945e-26,1.2560929703136526e-26,1.9512682961764159e-34,1.0468969284890848e-27,6.8677648043292058e-41,1.3545296888565324e-34,6.4682331122089071e-35,2.2765861478933765e-41
3.0000000000000002e-15,0.23564895224661722,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.5093399737963776e-18,2.0991267262770247e-19,7.5093398239806615e-18,7.2544542141169521e-18,7.2544542427515891e-18,2.6816226178127545e-18,2.6816233289106556e-18,9.3904511172923621e-20,7.7338666817964348e-20,3.8669333408981277e-20,6.7194636916167869e-26,3.9719394866653359e-25,5.5340727373986817e-26,2.7670363686992766e-26,2.6526427549551934e-25,1.7731234370432821e-25,1.7658947857104733e-25,9.6021532215337571e-25,5.6876424992063423e-31,2.4708607091545641e-25,1.7059559333256245e-25,6.3060985596888183e-26,1.6486221967045324e-33,5.2558528005957819e-27,8.7178541100589319e-40,1.144439144578487e-33,5.4649958315854135e-34,2.8898698631167942e-40
7e-15,0.23564895224661722,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.9673229147251779e-17,5.4993654170264676e-19,1.9673228225215249e-17,1.9005470079163855e-17,1.9005470255394743e-17,7.0254042996190792e-18,7.0254086760477163e-18,2.460140571266804e-19,2.0261432820344271e-19,1.0130716410171905e-19,4.1354687347993986e-25,2.4445183943531641e-24,3.4059246860034928e-25,1.7029623430017071e-25,1.6325613336117307e-24,1.0912637446004262e-24,1.0868148609830544e-24,5.9096090952209339e-24,8.8886405899436903e-30,1.5206840529009377e-24,1.04992566105864e-24,3.8810684479992078e-25,2.576466690825742e-32,3.2347064549828841e-26,3.714471750113444e-38,1.7885298897998376e-32,8.5406969740189271e-33,1.2313055574174065e-38
1.5e-14,0.23564895224661722,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,4.4001006156567115e-17,1.2299844087071316e-18,4.4001001780243715e-17,4.250749864094112e-17,4.2507499477396074e-17,1.5712954262476047e-17,1.5712975034586791e-17,5.5023228079055925e-19,4.5316494549734282e-19,2.2658247274866645e-19,1.9628401831150309e-24,1.1602578118911318e-23,1.6165730073695074e-24,8.082865036847359e-25,7.7487347670555917e-24,5.1795382385857184e-24,5.1584219426729112e-24,2.8049100558639593e-23,8.786673071055534e-29,7.2177237858902173e-24,4.9833322206143968e-24,1.842095946442826e-24,2.5469135867503009e-31,1.5353162430981701e-25,7.5428139927703661e-37,1.7680154750029238e-31,8.4427346377842712e-32,2.5003587283626562e-37
3.1e-14,0.23564895224661722,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,9.2656554824816515e-17,2.5900806581345367e-18,9.2656535900541663e-17,8.9511543091237596e-17,8.9511546708257612e-17,3.3088000585351624e-17,3.3088090408747511e-17,1.1586652551751267e-18,9.5426335820062112e-19,4.7713167910030218e-19,8.4877510673349984e-24,5.0172317338182106e-23,6.9904186025923119e-24,3.495209301296092e-24,3.3507393695664019e-23,2.2397572498272417e-23,2.2306258304217812e-23,1.2129044976923486e-22,7.709025028226873e-28,3.1211171181939683e-23,2.1549127773312427e-23,7.9656536201312198e-24,2.2345511420410074e-30,6.6391277092853364e-25,1.3337948826863666e-35,1.5511811182521148e-30,7.4072929455046438e-31,4.4213842072932399e-36
6.300000000000001e-14,0.23564895224661722,89.099999999999994,0.0,0.0,0.0,0.99999999999999956,11.0,1.8996763075979421e-16,5.3102752186634946e-18,1.8996755218213267e-16,1.8351958129886328e-16,1.8351959631740626e-16,6.7837878821224349e-17,6.7838251785581473e-17,2.375517312422291e-18,1.9564488962587349e-18,9.7822444812936725e-19,3.5242621251427947e-23,2.0832608635714796e-22,2.9025458206312534e-23,1.4512729103156202e-23,1.3912991814286253e-22,9.2999570128062853e-23,9.2620395265600391e-23,5.0361901830949057e-22,6.4430469406955308e-27,1.2959548052655642e-22,8.9476622510458038e-23,3.3075006349313177e-23,1.8676020302266065e-29,2.7567510284708584e-24,2.2368173568563902e-34,1.2964544585989799e-29,6.1909050602714391e-30,7.4148147087542842e-35
1.2700000000000001e-13,0.23564895224661722,89.099999999999994,0.0,0.0,0.0,0.99999999999999911,11.0,3.8458969702369704e-16,1.0750672586421256e-17,3.8458937690954256e-16,3.7153545494276484e-16,3.7153551612532609e-16,1.3733677766525541e-16,1.3733829705475721e-16,4.8091658628349684e-18,3.9607748244982745e-18,1.9803874122492736e-18,1.4357056620100755e-22,8.486892787230219e-22,1.1824341385812806e-22,5.912170692906705e-23,5.6679546014356325e-22,3.7886718601777756e-22,3.7732232970687355e-22,2.0516308768111812e-21,5.2656777065243374e-26,5.2795330008778409e-22,3.6451501769140008e-22,1.3474201734530527e-22,1.5263415014144277e-28,1.1230954239874284e-23,3.6618244866841765e-33,1.0595612709950805e-28,5.0596757859259237e-29,1.2138595596829563e-33
2.55e-13,0.23564895224661722,89.099999999999994,0.0,0.0,0.0,0.99999999999999822,11.0,7.7383348712754825e-16,2.1631500308762174e-17,7.7383219502325473e-16,7.475663911493235e-16,7.4756663809901783e-16,2.7633114493685261e-16,2.7633727766680219e-16,9.676240723382424e-18,7.9692461016064847e-18,3.9846230508046205e-18,5.7948336292712133e-22,3.4256262169411987e-21,4.7725869408515473e-22,2.3862934704264244e-22,2.2878058505665876e-21,1.5292561338261888e-21,1.5230192691906384e-21,8.2808434242197619e-21,4.2570901629832419e-25,2.1310220840583842e-21,1.4713237603239077e-21,5.4386410971263948e-22,1.2340111421453952e-27,4.5335250029876049e-23,5.9254164974309496e-32,8.5663598156979584e-28,4.0906506920359355e-28,1.9642288251878337e-32
5.11e-13,0.23564895224661722,89.099999999999994,0.0,0.0,0.0,0.99999999999999645,11.0,1.5523196976414749e-15,4.3393287700953719e-17,1.5523145059020926e-15,1.4996250192706971e-15,1.4996260114727085e-15,5.5430615856927959e-16,5.5433079927896006e-16,1.9409501611736791e-17,1.5985466435413376e-17,7.9927332177183313e-18,2.3282093101135698e-21,1.3764245798715671e-20,1.917509648449102e-21,9.5875482422566538e-22,9.1925225294765712e-21,6.1446427616380397e-21,6.1195728588523823e-21,3.3270183672958505e-20,3.4232618251475806e-24,8.5625429633100167e-21,5.9118556903323546e-21,2.1852193640124978e-21,9.9234785878772884e-27,1.8218165764034778e-22,9.5333583430982991e-31,6.8888527821749376e-27,3.2895911826298089e-27,3.1602662541448031e-31
