Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450)
0.0,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.83881989991615e-21,7.869819817649302e-22,2.8388198978347839e-21,2.758788278291818e-21,2.7587882960693754e-21,8.2664660634869506e-22,8.266466103268147e-22,3.4870062254469645e-22,2.9218734306477791e-22,1.4609367153238611e-22,1.5234643126065085e-28,5.3358758200229297e-29,1.2765592094403368e-28,6.3827960472015564e-29,5.3995022219620761e-29,3.6375253759923932e-29,3.6219806499019506e-29,4.5663012777250681e-29,1.9950056251322936e-35,4.0652461950246568e-30,3.5198702906449984e-29,1.0546981215482665e-29,3.7029481185287564e-38,4.4197316293761113e-31,1.6178087862158781e-44,1.9174956587522844e-38,1.3989699405937056e-38,6.1120647365781419e-45,5.2473196500466581e-45,2.2925408519591943e-51
3.0000000000000002e-15,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.327550983304288e-21,2.5857979421973889e-21,9.3275509696267247e-21,9.0645898806584822e-21,9.0645899974824345e-21,2.7161243777894122e-21,2.7161244039313405e-21,1.1457301158737717e-21,9.6004370777212374e-22,4.8002185388605247e-22,1.0011334929853421e-27,3.5064325837615382e-28,8.3888160137807974e-28,4.194408006890318e-28,3.5482442861794846e-28,2.3903738052827333e-28,2.38015869851047e-28,3.0007116009583929e-28,1.8810050017475108e-34,2.6714474774648338e-29,2.3130576051955687e-28,6.9308731632930035e-29,3.4913505539221053e-37,2.9043949263120726e-30,1.9875934120487141e-43,1.8079243790092608e-37,1.3190286137681942e-37,7.5091072548829731e-44,6.4467055311134021e-44,3.4715612085827048e-50
7e-15,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.0682829692101222e-20,5.7337258854232396e-21,2.0682829617766688e-20,2.0099741642558614e-20,2.0099742277471324e-20,6.0227093804332565e-21,6.0227095225088761e-21,2.5405287718698414e-21,2.1287898704032118e-21,1.0643949352015852e-21,5.4409358888378414e-27,1.9056695360138639e-27,4.5591333088414145e-27,2.2795666544206635e-27,1.9283935237724379e-27,1.2991161517472288e-27,1.2935644595505871e-27,1.6308191624810428e-27,3.038103608283041e-33,1.4518735508192318e-28,1.2570964737389456e-27,3.7667781614539319e-28,5.6390523014595519e-36,1.5784749926838801e-29,1.0053510268556614e-41,2.9200703307609716e-36,2.1304282901792333e-36,3.7982060660710083e-42,3.2608247006622163e-42,5.733299977856157e-48
1.5e-14,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.3393384842032217e-20,1.2029581813025085e-20,4.3393384513176321e-20,4.2170041726770469e-20,4.217004453562378e-20,1.2635875764175686e-20,1.2635876392717696e-20,5.3301163241675369e-21,4.466274025739192e-21,2.2331370128695528e-21,2.407064887153921e-26,8.4306794811356688e-27,2.0169562920218045e-26,1.0084781460108827e-26,8.5312121406211784e-27,5.7472895115705729e-27,5.7227287978552859e-27,7.2147266327353775e-27,2.8254868327775114e-32,6.4230880138512222e-28,5.5613944263139494e-27,1.6664221209414255e-27,5.2444130050712755e-35,6.983169614140722e-29,1.9335516129494061e-40,2.7157180492175828e-35,1.9813342327776364e-35,7.3049395076876343e-41,6.2714022666800062e-41,2.2493007069908426e-46
3.1e-14,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.881448607124458e-20,2.4621293832829306e-20,8.8814484700516448e-20,8.6310628136845049e-20,8.6310639844629033e-20,2.5862194045496471e-20,2.5862196665364313e-20,1.0909252390269492e-20,9.1412096569426552e-21,4.5706048284712388e-21,1.003302235281619e-25,3.5140514886125375e-26,8.4069890637960799e-26,4.2034945318979573e-26,3.5559566620568275e-26,2.3955697604600824e-26,2.3853324062586028e-26,3.0072091777963388e-26,2.3846955120885541e-31,2.6772541195940164e-27,2.3180854375762436e-26,6.9459323077736814e-27,4.4262571560614602e-34,2.9107032638533442e-28,3.2874673841264338e-39,2.2920580961284291e-34,1.6722361841198952e-34,1.2420023589373513e-39,1.0662736755445233e-39,7.6785648912569017e-45
6.300000000000001e-14,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.796566522470855e-19,4.9804718530839644e-20,1.7965664666129663e-19,1.7459174592363342e-19,1.7459179363345371e-19,5.2314772663617167e-20,5.2314783339685343e-20,2.2067368370774358e-20,1.8490950203365896e-20,9.2454751016827733e-21,4.0884769505726815e-25,1.4319933539820699e-25,3.4258652975425754e-25,1.7129326487712553e-25,1.4490710888621189e-25,9.7620744114936422e-26,9.720356456453113e-26,1.2254425764103013e-25,1.9517254049269159e-30,1.0909951921207736e-26,9.4463213969889717e-26,2.8305015263700539e-26,3.6226188397645386e-33,1.1861248818390729e-27,5.3934257102072213e-38,1.8759185912124384e-33,1.3686230488752663e-33,2.0376326711050791e-38,1.7493174619503819e-38,2.5224560174545271e-43
1.2700000000000001e-13,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.6134083946854964e-19,1.0017157056046588e-19,3.6134081692738868e-19,3.5115376136405297e-19,3.5115395389446243e-19,1.052196981228589e-19,1.0521974120533358e-19,4.4382975743184971e-20,3.7189908447399568e-20,1.8594954223699456e-20,1.6498577471164328e-24,5.7787267637945436e-25,1.382468620754282e-24,6.912343103771286e-25,5.8476524120692647e-25,3.9394363707873299e-25,3.9226011441845915e-25,4.9451220987089907e-25,1.5778980763112182e-29,4.4026555887550659e-26,3.8120156008348173e-25,1.1422324169190366e-25,2.9287567998292826e-32,4.7865299225979107e-27,8.7285584290489496e-37,1.5166291078693076e-32,1.1064836099517878e-32,3.2976470468775494e-37,2.8309998537875248e-37,8.1681196330073132e-42
2.55e-13,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.247086333915492e-19,2.0090528515412455e-19,7.247085428387542e-19,7.0427691171455258e-19,7.0427768515073813e-19,2.1102862194201389e-19,2.1102879501181488e-19,8.9011692279177672e-20,7.4585733661184126e-20,3.7292866830591606e-20,6.6276328568127256e-24,2.3214349674194166e-24,5.5535070851748992e-24,2.7767535425874118e-24,2.3491314135442693e-24,1.5825596519486028e-24,1.5757964412091602e-24,1.9864936249865608e-24,1.2686913113144603e-28,1.7686443489205908e-25,1.5313717051693413e-24,4.5885841812630619e-25,2.3548389082735749e-31,1.9228417728768035e-26,1.4041761049660111e-35,1.2194577002529687e-31,8.8965948261798407e-32,5.304984638451943e-36,4.554132785649328e-36,2.62847740989029e-40
5.11e-13,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4514418991653695e-18,4.0237275647893805e-19,1.4514415361866498e-18,1.4105196903125022e-18,1.4105227906068922e-18,4.226427612523705e-19,4.2264345498279667e-19,1.7825913368025709e-19,1.4936901995925792e-19,7.4684509979629707e-20,2.6565039790680053e-23,9.3053644607579076e-24,2.2259713506449931e-23,1.1129856753225008e-23,9.4164451214164298e-24,6.3436648308408598e-24,6.3165536166134005e-24,7.9622467739181427e-24,1.0174079316522332e-27,7.0895757815455701e-25,6.1384773680663365e-24,1.8393115176350558e-24,1.8884352771200869e-30,7.7075656367194965e-26,2.25254202760596e-34,9.7797231666948128e-31,7.1345499288836809e-31,8.5101509886166873e-35,7.3051744223600624e-35,8.4333368954942704e-39
