Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167)
0.0,0.4064132413977742,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.4064132413977742,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,1.3723905221597437e-17,1.4409846656674836e-19,1.3723904988177729e-17,1.3239938785113176e-17,1.3239938737380691e-17,5.1270714903029815e-18,5.1270725945427868e-18,6.4613986839685711e-20,5.2989628548714783e-20,2.6494814274356967e-20,1.3186288273066021e-26,2.3411983552052637e-25,1.081401406243893e-26,5.4070068213034604e-27,1.4168806335668753e-25,9.4642166622557432e-26,9.4216160275156808e-26,1.1673082029879479e-24,2.3822183247286371e-31,3.7773007290599885e-25,9.0893676690270246e-26,3.5197925878335224e-26,7.5750409748200572e-34,3.4811425894789011e-27,1.5458986264334245e-40,5.6065377452224223e-34,2.4406057763131295e-34,4.9807375739563799e-41,1.3924467305874575e-39,2.8416763645598027e-46,2.0991598076522403e-34
3.0000000000000002e-15,0.4064132413977742,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,3.3889643558110321e-17,3.5583500665746308e-19,3.388964238624811e-17,3.2694542415568423e-17,3.2694542175931801e-17,1.2660724376596586e-17,1.2660729920329984e-17,1.5955695293614579e-19,1.3085191229884964e-19,6.5425956149423784e-20,6.6200523588352433e-26,1.175377095795178e-24,5.4290746076547975e-26,2.7145371264699258e-26,7.1133189971430511e-25,4.751423043838082e-25,4.73003572725685e-25,5.8603616759714622e-24,2.012730538671591e-30,1.8963590906025541e-24,4.5632334843998938e-25,1.7670792447208796e-25,6.4001354845344114e-33,1.7476788838190531e-26,1.9623442184620795e-39,4.7369511997527718e-33,2.0620625604688847e-33,6.3224857009001589e-40,1.7675540179516685e-38,5.045422857142749e-45,1.7735750802670708e-33
7e-15,0.4064132413977742,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,8.8785264888021674e-17,9.3222902547910468e-19,8.8785257675829639e-17,8.5654294994450967e-17,8.5654293519612692e-17,3.3168983056800864e-17,3.3169017175523732e-17,4.1801260035753888e-19,3.4281018991008861e-19,1.7140509495504166e-19,4.0742863866946816e-25,7.2338240117868589e-24,3.3413042230816973e-25,1.670651834367109e-25,4.3778716975423906e-24,2.9242497566009582e-24,2.9110868554031203e-24,3.6067383527779119e-23,3.1454922188104689e-29,1.1671086872793526e-23,2.8084288762813063e-24,1.0875431939828007e-24,1.0002134616151697e-31,1.0756115049313942e-25,8.3610847155316967e-38,7.4029076196262397e-32,3.2225931023166224e-32,2.693862350628373e-38,7.5311213028654517e-37,6.1981898809676739e-43,2.7717404534373993e-32
1.5e-14,0.4064132413977742,89.099999999999994,0.0,0.0,0.0,0.99999999999999967,11.0,1.9857650884530998e-16,2.0850175094017425e-18,1.9857647461360127e-16,1.9157379265867359e-16,1.9157378565853683e-16,7.4185420610279771e-17,7.4185582550042893e-17,9.3492301777604418e-19,7.6672605304029089e-19,3.8336302652014048e-19,1.9338008563940951e-24,3.4334377854724599e-23,1.5859020484546465e-24,7.9295075023366559e-25,2.0778984783744494e-23,1.3879562943412791e-23,1.3817085809946215e-23,1.7118866059255239e-22,3.1094072736436162e-28,5.5395254299050535e-23,1.3329833227445891e-23,5.1618734620891527e-24,9.8874113700176292e-31,5.1053108656532719e-25,1.6978484249819953e-36,7.3179941446751555e-31,3.1856316824889569e-31,5.4703091243123288e-37,1.5293087261939817e-35,2.5587606102211346e-41,2.7399432055928383e-31
3.1e-14,0.4064132413977742,89.099999999999994,0.0,0.0,0.0,0.99999999999999911,11.0,4.1815900194974418e-16,4.3905962623650467e-18,4.1815885392359464e-16,4.0341275801299317e-16,4.0341272774260272e-16,1.5621797649092048e-16,1.5621867675564946e-16,1.968740342947098e-18,1.6145550109535675e-18,8.0727750547678156e-19,8.3621785385515044e-24,1.4847008062392812e-22,6.8577924136992841e-24,3.4288938029620298e-24,8.9853332734139382e-23,6.0018580634004022e-23,5.9748404397954951e-23,7.4025781220340882e-22,2.7280501334842399e-27,2.3954237576038931e-22,5.7641405548356874e-23,2.2321137149568859e-23,8.6747935449019565e-30,2.2077142350647669e-24,3.0023026777374421e-35,6.420491046278513e-30,2.7949398332743316e-30,9.6731467205648712e-36,2.7042647014250759e-34,9.0859184434895187e-40,2.4038995065250881e-30
6.300000000000001e-14,0.4064132413977742,89.099999999999994,0.0,0.0,0.0,0.99999999999999811,11.0,8.5732400891800554e-16,9.0017609087686353e-18,8.5732339428150477e-16,8.2709056882548313e-16,8.2709044313534652e-16,3.2028181135814669e-16,3.2028471899346899e-16,4.0363609548747019e-18,3.3102018535673987e-18,1.6551009267837622e-18,3.4721221265796218e-23,6.1647950681243802e-22,2.8474785744537578e-23,1.4237372781186092e-23,3.7309041827376563e-22,2.4921016678271053e-22,2.480882532670748e-22,3.0736838179616829e-21,2.280046401720778e-26,9.9463127841211291e-22,2.3933952815782192e-22,9.2681791011522465e-23,7.2502686008953101e-29,9.1673610351582283e-24,5.0349570283598572e-34,5.3661459413055462e-29,2.3359746496939339e-29,1.6222200584015726e-34,4.5351060474454783e-33,3.0524731351762122e-38,2.0091282856721798e-29
1.2700000000000001e-13,0.4064132413977742,89.099999999999994,0.0,0.0,0.0,0.999999999999996,11.0,1.7356541058918021e-15,1.8224118763522704e-17,1.7356516019500078e-15,1.6744457108686899e-15,1.6744451988172191e-15,6.4840437360607888e-16,6.48416218778199e-16,8.1715460270664346e-18,6.7014512473504485e-18,3.3507256236758983e-18,1.4144649125164009e-22,2.5114475643354904e-21,1.1600021604062314e-22,5.7999943824901643e-23,1.5199173681300411e-21,1.0152474261473657e-21,1.0106762295979011e-21,1.2521537145601148e-20,1.8633981568150443e-25,4.0519838290321199e-21,9.7503507319518894e-22,3.7756931577893949e-22,5.9254766535358369e-28,3.7350235752754297e-23,8.2425654424665178e-33,4.3856124237754556e-28,1.9091442666746241e-28,2.6556925597633792e-33,7.4241713825250587e-32,1.0001720858750864e-36,1.6419868944087603e-28
2.55e-13,0.4064132413977742,89.099999999999994,0.0,0.0,0.0,0.9999999999999919,11.0,3.4923146319861002e-15,3.6668948721130099e-17,3.4923045251056513e-15,3.3691540766505972e-15,3.3691520097499957e-15,1.3046290688734453e-15,1.3046768796053478e-15,1.644169158075111e-17,1.3483772880387583e-17,6.7418864401995393e-18,5.7091005111944783e-22,1.0137157480511451e-20,4.6820559774928416e-22,2.3410147145274952e-22,6.1349761448310888e-21,4.0979373651214304e-21,4.0794807512053851e-21,5.0540053194557063e-20,1.5064760482130598e-24,1.6355356763547801e-20,3.9356184661480152e-21,1.5239909228940339e-21,4.7906484066973635e-27,1.50789981276091e-22,1.333776410298418e-31,3.5456707327403329e-27,1.5435212346396275e-27,4.2973548166071387e-32,1.2013137000252926e-30,3.2379375792685858e-35,1.3274749694524275e-27
5.11e-13,0.4064132413977742,89.099999999999994,0.0,0.0,0.0,0.99999999999998368,11.0,7.0056370127424084e-15,7.3559065631235516e-17,7.0055964027547464e-15,6.7585631351770734e-15,6.7585548297596381e-15,2.616996748234416e-15,2.6171888464609977e-15,3.2981084452947763e-17,2.704770761833047e-17,1.3523853809211687e-17,2.293763522740524e-21,4.0731488364640596e-20,1.8811444296979529e-21,9.4056154114813826e-22,2.4650663302942101e-20,1.6465771499832823e-20,1.6391567707032663e-20,2.0305875720242302e-19,1.2113942004101564e-23,6.5716524794658933e-20,1.5813515292743569e-20,6.1232738929655429e-21,3.8525335695900741e-26,6.0612281007825116e-22,2.1458956922008014e-30,2.8513125741942447e-26,1.2412819755861863e-26,6.9140476041376118e-31,1.9326696792945453e-29,1.0419865963935438e-33,1.0674554760754693e-26
