Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8)
0.0,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3841685322147826e-23,2.2920440601438638e-23,1.3841685321833329e-23,1.3509765370162283e-23,1.3509765462741503e-23,3.4665791706120922e-24,3.4665790955138782e-24,1.0094625985039588e-23,8.5507516085637022e-24,4.2753758042817681e-24,5.0830767597321599e-30,2.0313458841801363e-31,4.3056698546323267e-30,2.1528349235708839e-30,2.7239971693181711e-31,1.8531119988681245e-31,1.8431698420064901e-31,8.1126448700898946e-32,4.0850643360065413e-38,3.4963083827797138e-33,1.7989711288890729e-31,4.6161244345654445e-32,5.3105829126559565e-41,1.3561565463723616e-33,2.6741060662861857e-47,2.2040698449711229e-41,2.2146778015555287e-41,1.115185176743125e-47,1.6328993330366847e-48,8.2223478739869571e-55,3.7452370703201602e-39,3.2434010359729306e-28
3.0000000000000002e-15,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.5479822593431227e-23,7.5310019126874775e-23,4.5479822591364544e-23,4.4389228177929221e-23,4.438922878630691e-23,1.1390188284374673e-23,1.1390187790872155e-23,3.3168040104140372e-23,2.8095312566657439e-23,1.4047656283328443e-23,3.3403068496689085e-29,1.3348844042062137e-30,2.8294395679365112e-29,1.4147197804370048e-29,1.7900552668980205e-30,1.2177593064477941e-30,1.211225889047361e-30,5.3311653718001431e-31,3.8516314520252402e-37,2.2975740643521893e-32,1.1821810205438306e-30,3.0334531512980015e-31,5.0071202070869847e-40,8.911884842535075e-33,3.2853298925997779e-46,2.078122929162783e-40,2.088124450308534e-40,1.3700844766640387e-46,2.0061329754041283e-47,1.2450981445261065e-53,3.5312228971892608e-38,1.0656855533411114e-27
7e-15,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.008465592301774e-22,1.6699178159279139e-22,1.0084655921894526e-22,9.8428282806354498e-23,9.8428286112754528e-23,2.5256501760064805e-23,2.5256499077986623e-23,7.3546416223794002e-23,6.2298210744317834e-23,3.1149105372158311e-23,1.8153815570361936e-28,7.2548053432674043e-30,1.5377366950193214e-28,7.6886834180619499e-29,9.7285606744850133e-30,6.6182568493748107e-30,6.582749144901518e-30,2.8973680388635874e-30,6.2209589565745985e-36,1.2486815009768838e-31,6.424896602806247e-30,1.6486156713657789e-30,8.0872455773272829e-39,4.8434120198556598e-32,1.661763166908928e-44,3.3564823980220068e-39,3.3726324247041131e-39,6.930068192595745e-45,1.0147270706955456e-45,2.0562852180558576e-51,5.7034507411317062e-37,2.36302026836644e-27
1.5e-14,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.1158002066261085e-22,3.5035530667776237e-22,2.1158002061291993e-22,2.0650637462118403e-22,2.0650638924869519e-22,5.2989120548790814e-23,5.2989108683282141e-23,1.5430284310342472e-22,1.3070373153875913e-22,6.5351865769378308e-23,8.0312288979763538e-28,3.2095250009971013e-29,6.8029309665116038e-28,3.4014654302127103e-28,4.3039148318327642e-29,2.9279166457868003e-29,2.9122080364385326e-29,1.2817923531558566e-29,5.7855948015210715e-35,5.5241665507131304e-31,2.8423740748430738e-29,7.2934744680628817e-30,7.5212722984776726e-38,2.1427227911951415e-31,3.1960025796401968e-43,3.121590144832015e-38,3.1366042156561884e-38,1.3328323628194594e-43,1.9515798246463547e-44,8.0672609377647004e-50,5.3043026668494704e-36,4.9576242838833297e-27
3.1e-14,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.3304689616325263e-22,7.1708235746024212e-22,4.3304689595613213e-22,4.2266248848278179e-22,4.2266254945276667e-22,1.0845432547564562e-22,1.0845427601818816e-22,3.1581439543452266e-22,2.6751367089304422e-22,1.337568354465195e-22,3.3475400556312982e-27,1.3377850179939214e-28,2.8355665485157325e-27,1.4177832294898358e-27,1.7939460827444194e-28,1.2204063359529036e-28,1.2138587141528177e-28,5.3427064256794611e-29,4.8830098883773797e-34,2.3025681833417197e-30,1.1847507091189975e-28,3.0400457436905656e-29,6.3479121383413325e-37,8.9312186801184983e-31,5.4339132900215176e-42,2.6346146258560645e-37,2.6472769326277122e-37,2.2661109476456495e-42,3.3181046937297162e-43,2.7539651398166822e-48,4.4768004599846052e-35,1.0146570670080481e-26
6.300000000000001e-14,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.7598045770771668e-22,1.4505364614752458e-21,8.7598045686368954e-22,8.549744371339132e-22,8.5497468558973741e-22,2.193846047271254e-22,2.1938440318564946e-22,6.3883229446840346e-22,5.4112914073458634e-22,2.705645703672879e-22,1.3641280850647441e-26,5.4515406561653271e-28,1.1554980480062325e-26,5.7774898736330686e-27,7.310424856905419e-28,4.9732207819094859e-28,4.9465388621144055e-28,2.1771602295048745e-28,3.9964397567378465e-33,9.383087505672147e-30,4.8279221831032013e-28,1.2388342918483713e-28,5.1953712275480566e-36,3.6395022759018302e-30,8.9148851274974308e-41,2.156284260279763e-36,2.1666320844402168e-36,3.7177855016255514e-41,5.4436413271411336e-42,9.0469371339266068e-47,3.6639801026280886e-34,2.0523416969504975e-26
1.2700000000000001e-13,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.7618468229700165e-21,2.9174446793045721e-21,1.7618468195639883e-21,1.719597218149366e-21,1.719598220779527e-21,4.4124464082243746e-22,4.4124382751428309e-22,1.2848472706975933e-21,1.0883424455204406e-21,5.4417122276020977e-22,5.5047713698064225e-26,2.1999383175296432e-27,4.662870557332989e-26,2.3314349824477657e-26,2.9500846211813773e-27,2.0069183577786338e-27,1.9961509925549915e-27,8.7856511595837503e-28,3.2309725961091757e-32,3.7864976753484326e-29,1.9482838180544027e-27,4.9992495039038203e-28,4.2002642166834443e-35,1.4686893182300359e-29,1.4427569404584429e-39,1.7433015173552714e-35,1.7516423199915368e-35,6.0167501346917839e-40,8.8096705091122258e-41,2.9295387076442214e-45,2.9621872957305959e-33,4.1272924527315449e-26
2.55e-13,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.5335765221932997e-21,5.8512611541536561e-21,3.5335765085105364e-21,3.4488383150446128e-21,3.4488423428267984e-21,8.8496262339264626e-22,8.8495935617130687e-22,2.5767939411988494e-21,2.1826985200699815e-21,1.0913492600349697e-21,2.2113098800406965e-25,8.8376143852633571e-27,1.8731117792747132e-25,9.3655565146695676e-26,1.185114281997339e-26,8.0622392714533254e-27,8.0189842800462355e-27,3.5292557436675369e-27,2.5978246786403977e-31,1.5211204198192814e-28,7.8266910906299497e-27,2.0083067394071391e-27,3.3771722938410828e-34,5.8999436766640523e-29,2.320980137716928e-38,1.4017225280904272e-34,1.408388608387657e-34,9.679227116555365e-39,1.4171747418363538e-39,9.4271357545712548e-44,2.3817045593751303e-32,8.2755206282741161e-26
5.11e-13,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.0770237954761792e-21,1.1718894260558802e-20,7.077023740629149e-21,6.907302648385097e-21,6.9073187936265064e-21,1.7723902301327988e-21,1.7723771336836752e-21,5.1603541975445786e-21,4.3711285656096807e-21,2.1855642828048012e-21,8.8633600530862972e-25,3.5425197313691558e-26,7.5077968201158909e-25,3.7538965001013585e-25,4.7505062170694421e-26,3.2317352860253606e-26,3.214396529678376e-26,1.4145868776024789e-26,2.0832820956185028e-30,6.0973839393614844e-28,3.1373160754644595e-26,8.0502367902765021e-27,2.7082674383451114e-33,2.3648950305378747e-28,3.7232409467585094e-37,1.1241551575751398e-33,1.1294363691156828e-33,1.5527134079061665e-37,2.2732337495530529e-38,3.0246260323615308e-42,1.9099577050514841e-31,1.6565289074025148e-25
