Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414)
0.0,0.29248933767781454,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.29248933767781454,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.5752058770275998e-17,5.4621150776039884e-19,5.5752057234762252e-17,5.3713497458280894e-17,5.3713497163958018e-17,2.1728438449351355e-17,2.1728444415962056e-17,2.5252126333603722e-19,2.0623683167603583e-19,1.0311841583801629e-19,7.1606375717279701e-26,1.4852451130697532e-24,5.8481703417749478e-26,2.9240850146304063e-26,8.1742448196162031e-25,5.4585490282280132e-25,5.4305651410624171e-25,6.2962000097678254e-24,1.7853865124282038e-30,2.5636776360034126e-24,5.2319978375066911e-25,2.1164725875869956e-25,6.1794965099689865e-33,4.643747373614539e-26,1.7522934086145769e-39,4.856506090556528e-33,1.9389056573645155e-33,5.4980717475729568e-40,1.7683256801354972e-38,5.0143655428553312e-45,1.5625705077737466e-33,1.5665249535423913e-20,4.4309143959724529e-40,1.4690278281806607e-47
3.0000000000000002e-15,0.29248933767781454,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,1.3767345176680777e-16,1.3488082450233733e-18,1.3767344405790207e-16,1.326394511038293e-16,1.3263944962620753e-16,5.3655922456662799e-17,5.3655952411475885e-17,6.2357272438709514e-19,5.0927855760397661e-19,2.5463927880198445e-19,3.5949301762062039e-25,7.4565363194283329e-24,2.9360186919657692e-25,1.4680092139617329e-25,4.1038044496767785e-24,2.7404143973248293e-24,2.7263652900446179e-24,3.1609479779760219e-23,1.5084684737106653e-29,1.2870707660345264e-23,2.6266763958930351e-24,1.0625553920295957e-24,5.2210427207586386e-32,2.3313535485125475e-25,2.2243388444571454e-38,4.1032509387400367e-32,1.6381771298963815e-32,6.9791822183116995e-39,2.2446894727672365e-37,8.9030505396879451e-44,1.3202116655611049e-32,3.868355302741179e-20,5.6245438880896803e-39,2.608272467199205e-46
7e-15,0.29248933767781454,89.099999999999994,0.0,0.0,0.0,0.99999999999999922,11.0,3.6068169128821027e-16,3.5336563005485313e-18,3.6068164384397372e-16,3.4749342547139269e-16,3.4749341637739959e-16,1.4056952713771432e-16,1.4056971149357307e-16,1.6336561380231588e-18,1.3342246048760003e-18,6.6711230243799071e-19,2.2124845148373253e-24,4.589103194641235e-23,1.8069607999180364e-24,9.0348019363701329e-25,2.5256745553107276e-23,1.6865802131054917e-23,1.6779336045864437e-23,1.9453931358348169e-22,2.3574298053391096e-28,7.9212393050244162e-23,1.6165803513944921e-23,6.5394614719980476e-24,8.1594454123554077e-31,1.434831505511424e-24,9.4773732173704911e-37,6.4125592507067296e-31,2.5601439390854037e-31,2.9736625134679207e-37,9.5640673745312997e-36,1.0937177967657865e-41,2.0632215360433411e-31,1.0134435944577211e-19,2.3964768242652805e-37,3.2042035166048192e-44
1.1e-14,0.29248933767781454,89.099999999999994,0.0,0.0,0.0,0.99999999999999856,11.0,5.8368993405699423e-16,5.7185058366644123e-18,5.8368982230921405e-16,5.6234738852833022e-16,5.6234736710877473e-16,2.274830227637159e-16,2.2748345698603949e-16,2.643738352474841e-18,2.1591697164474852e-18,1.0795848582237287e-18,5.2111684973342161e-24,1.0808943300212947e-22,4.256020266473682e-24,2.1280094720510561e-24,5.9488474284008945e-23,3.9724867745851542e-23,3.952120808921473e-23,4.5820772239091909e-22,7.5546951142303538e-28,1.8657289978364352e-22,3.8076124102207708e-23,1.5402713370321314e-23,2.6148043958859262e-30,3.3795397252350483e-24,3.9136054624115438e-36,2.0549909759305898e-30,8.2043278715465782e-31,1.2279502539736536e-36,3.9494029049695865e-35,5.573368518747313e-41,6.6118642298974193e-31,1.6400502565039374e-19,9.8960502632147103e-37,1.632799186801839e-43
1.9e-14,0.29248933767781454,89.099999999999994,0.0,0.0,0.0,0.99999999999999756,11.0,1.0297064325840819e-15,1.0088210831247985e-17,1.0297060939563881e-15,9.9205526939975007e-16,9.9205520449222233e-16,4.0130957779675915e-16,4.0131089361249996e-16,4.6638979846733891e-18,3.8090561968109959e-18,1.9045280984054852e-18,1.5791274211779852e-23,3.275418014741569e-22,1.2896918638030519e-23,6.4484559011134915e-24,1.8026706845490668e-22,1.2037770859344737e-22,1.1976054739705472e-22,1.3884967274537023e-21,3.9052934542484069e-27,5.6536912822497358e-22,1.1538152878577476e-22,4.6674565560009017e-23,1.3516902535940951e-29,1.0241046645807346e-23,3.4576902672104896e-35,1.0623014591139146e-29,4.2411259670964521e-30,1.0849006267048016e-35,3.4893100481327452e-34,8.4728915215658345e-40,3.4179076049845827e-30,2.8932579721641814e-19,8.7431800480144199e-36,2.482261760825746e-42
3.5e-14,0.29248933767781454,89.099999999999994,0.0,0.0,0.0,0.99999999999999545,11.0,1.9217394815962869e-15,1.8827644509733703e-17,1.9217382961176588e-15,1.8514708501731565e-15,1.8514706229416248e-15,7.489609429969286e-16,7.489655494319409e-16,8.70419806251288e-18,7.1088141866017464e-18,3.5544070933009356e-18,5.5282179108709615e-23,1.1466683610265567e-21,4.514965149800025e-23,2.257480302977885e-23,6.3108469322705412e-22,4.2142221351053541e-22,4.1926152746547704e-22,4.860866587042009e-21,2.5959062189996415e-26,1.9792618818122838e-21,4.0393130919070605e-22,1.6339938447010746e-22,8.984942032640049e-29,3.5852760046905076e-23,4.4222442963078e-34,7.0613154742665621e-29,2.8191597600373286e-29,1.3875445035689844e-34,4.4626631927596546e-33,2.1094435765251211e-38,2.271929687966436e-29,5.3996509706947648e-19,1.1182081091632333e-34,6.1799637192243553e-41
6.7e-14,0.29248933767781454,89.099999999999994,0.0,0.0,0.0,0.99999999999999123,11.0,3.7058057874524188e-15,3.6306606623270183e-17,3.7058013359090803e-15,3.5703012878453395e-15,3.5703004345682024e-15,1.4442566940129687e-15,1.4442739913401699e-15,1.6784721474054671e-17,1.3708270283890695e-17,6.8541351419461131e-18,2.075847025938862e-22,4.3058052279034818e-21,1.6953740862520884e-22,8.4768536642428712e-23,2.3697608052492828e-21,1.5824663942313029e-21,1.5743520579594792e-21,1.8252638504746291e-20,1.9158184255149998e-25,7.4322440702943603e-21,1.5167860902295765e-21,6.1357124810698836e-22,6.6311106898643674e-28,1.3463368611626772e-22,6.4592444442231967e-33,5.2114200707401087e-28,2.0806141097403528e-28,2.026686423145938e-33,6.518217494186876e-32,6.1255303813971677e-37,1.6767128394673422e-28,1.0412347244106429e-18,1.6332575061751124e-33,1.7945928050805832e-39
1.31e-13,0.2924893376778146,89.099999999999994,0.0,0.0,0.0,0.99999999999998279,11.0,7.2739392304883958e-15,7.1264909870930315e-17,7.2739219573769674e-15,7.007959267716006e-15,7.0079559567144033e-15,2.8348202791428148e-15,2.8348873962601649e-15,3.2945461337334454e-17,2.6906942960917968e-17,1.3453471480465495e-17,8.0545612379979324e-22,1.6707585611631316e-20,6.5783046459149869e-22,3.2891393979956405e-22,9.1952694133334192e-21,6.1403744632099105e-21,6.1088823167569904e-21,7.0823229592602189e-20,1.4768410272552253e-24,2.8838959128985642e-20,5.8855112218582387e-21,2.3807860206030187e-21,5.1118372732967485e-27,5.2244714264224086e-22,9.9226234708217878e-32,4.0174063146509689e-27,1.6039247735309293e-27,3.1133836910030947e-32,1.001302069686162e-30,1.878369334201378e-35,1.2925132248882414e-27,2.0437380956402613e-18,2.5089123818565461e-32,5.503153769495258e-38
2.59e-13,0.2924893376778146,89.099999999999994,0.0,0.0,0.0,0.99999999999996592,11.0,1.4410209441829831e-14,1.411830324032316e-16,1.4410141367929095e-14,1.3883263645761088e-14,1.3883250596434625e-14,5.6158357868729815e-15,5.6161002907234799e-15,6.5265713358623481e-17,5.3303330337717827e-17,2.6651665168911056e-17,3.1741326335861625e-21,6.5844946252875085e-20,2.5923937610576506e-21,1.2961867231299281e-21,3.6238855639895676e-20,2.4199461623219739e-20,2.4075298956818967e-20,2.7910394929147313e-19,1.1606436412359087e-23,1.1365510363463773e-19,2.3194981272595616e-20,9.3825568886112861e-21,4.0175830442717354e-26,2.0592533173890867e-21,1.5573481488512727e-30,3.1574135302090892e-26,1.2605940876637887e-26,4.8864610293451044e-31,1.5714742068881655e-29,5.8912844385117959e-34,1.0157666382881313e-26,4.0486013523290629e-18,3.9374655383575021e-31,1.7260664942847441e-36
