Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49)
0.0,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.6761104062281293e-20,4.5139170678002353e-21,6.6761103880925859e-20,6.4707654859782214e-20,6.4707655077549376e-20,2.130091099294419e-20,2.1300912230762302e-20,2.0109418988241147e-21,1.6726960669937414e-21,8.3634803064475804e-22,5.55822032112027e-28,1.0090885153393164e-27,4.6233127679047967e-28,2.3116563491930518e-28,8.5239630637781303e-28,5.7174405782209455e-28,5.6953312087386222e-28,1.9779879128139407e-27,5.4671358758477677e-34,2.78475330509864e-28,5.5201532848248446e-28,1.8171620330304005e-28,1.2456181295317934e-36,1.1402422199925938e-29,3.4428742073501063e-43,7.3608747754460878e-37,4.4364003830280124e-37,1.2262159648807384e-43,4.4881206272887674e-43,1.2405113881400886e-49,2.6876133825940095e-36,6.0702118421495839e-24,7.4285325304675215e-43,7.1281741603689313e-52,8.2561667877832775e-45,3.6310420808190599e-57,8.2561667877832775e-45,1.2403285852801149e-29,1.146190767084199e-37
3.0000000000000002e-15,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.1935791174295674e-19,1.4831441918836133e-20,2.1935791055119235e-19,2.1261086324428488e-19,2.1261086467532599e-19,6.9988700357058049e-20,6.9988708491290817e-20,6.6073786900214583e-21,5.4959998438913833e-21,2.7479999032032366e-21,3.6525442544345987e-27,6.631152965748036e-27,3.0381765364259337e-27,1.5190882354398733e-27,5.6014614056147563e-27,3.7571752238356032e-27,3.7426462041092e-27,1.2998204073136348e-26,5.1547274129543884e-33,1.8299807276771423e-27,3.6275292819544997e-27,1.1941349965894339e-27,1.1744398225529385e-35,7.4930208015617107e-29,4.2298164746261955e-42,6.9402528378422585e-36,4.182891369881767e-36,1.5064937622805815e-42,5.5139758096784295e-42,1.8784883882748799e-48,2.5340348636152851e-35,1.9944950602975071e-23,9.1264810160152508e-42,1.0794080291353723e-50,1.0143289843684154e-43,6.5358696283603543e-56,1.0143289843684154e-43,8.1507304588192459e-29,1.0806941501276996e-36
7e-15,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.8640231571387132e-19,3.2887111143766683e-20,4.8640230923689063e-19,4.7144146184217634e-19,4.7144146961957218e-19,1.5519228930064278e-19,1.5519233350840942e-19,1.4651132245995979e-20,1.2186772487554037e-20,6.0933861419160018e-21,1.9850765318118248e-26,3.6038870037663575e-26,1.6511813960087508e-26,8.255906450709453e-27,3.0442723746878368e-26,2.0419430094637883e-26,2.0340467836569853e-26,7.0642335246100631e-26,8.3256554491756095e-32,9.9455468787352012e-27,1.971483236441433e-26,6.4898622132231523e-27,1.8968963616345009e-34,4.0722956777412818e-28,2.1394977119245272e-40,1.1209552160463301e-34,6.7559971182614955e-35,7.6200473130496425e-41,2.7890400684291099e-40,3.1023342589514733e-46,4.0928411977208288e-34,4.4225559500414815e-23,4.6162904709368994e-40,1.7826229178480751e-48,5.1306127929781949e-42,3.6387584743598974e-53,5.1306127929781949e-42,4.4297439500735896e-28,1.7454847185810787e-35
1.5e-14,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0204910924020749e-18,6.8998452021290403e-20,1.0204910637479153e-18,9.8910260598754533e-19,9.891026403947358e-19,3.2559932711620467e-19,3.2559952269121587e-19,3.0738603621605118e-20,2.5568288185813779e-20,1.2784143642274911e-20,8.7819648536083821e-26,1.5943592594621058e-25,7.3048154413571124e-26,3.6524072283889516e-26,1.3467860042268038e-25,9.0335555286931191e-26,8.9986224829041724e-26,3.1252111647213717e-25,7.7430006804175101e-31,4.3999095318000465e-26,8.7218413311630222e-26,2.871113647784298e-26,1.7641464369778833e-33,1.8015849040906493e-27,4.114812559971065e-39,1.0425082545927624e-33,6.2831950045503507e-34,1.4655341420169514e-39,5.3640445612346771e-39,1.2171154764689094e-44,3.8064058945566827e-33,9.2786170290461936e-23,8.8783153392368696e-39,6.993484663131899e-47,9.8675110924731901e-41,2.8863333388277375e-51,9.8675110924731901e-41,1.959718088186861e-27,1.6233334310533926e-34
3.1e-14,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.088668520763993e-18,1.4122114348690486e-19,2.0886684013285056e-18,2.0244246820766872e-18,2.02442482549176e-18,6.6641284246190773e-19,6.6641365765129652e-19,6.2913403428223932e-20,5.2331201226680918e-20,2.6165598735037697e-20,3.6604642237823406e-25,6.6455633121019866e-25,3.0447648798339849e-25,1.5223820244273991e-25,5.6136370971263981e-25,3.7653424843460988e-25,3.7507816680666736e-25,1.3026375846884808e-24,6.5350550579139499e-30,1.8339583427579759e-25,3.6354144637744718e-25,1.1967288736607904e-25,1.4889321558363556e-32,7.5093291939586917e-27,6.996101631758804e-38,8.7987341524300675e-33,5.3029914065810387e-33,2.4917362871837169e-38,9.1200502273187236e-38,4.1549423562960548e-43,3.212578533648121e-32,1.8990496393422909e-22,1.5095067267913499e-37,2.3873102174801376e-45,1.6776987425846446e-39,1.9745899477202776e-49,1.6776987425846446e-39,8.1684400195054384e-27,1.3700906212522378e-33
6.300000000000001e-14,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.2250228774299694e-18,2.8566656525973416e-19,4.2250223907240824e-18,4.0950679854490516e-18,4.0950685698726858e-18,1.3480376320197051e-18,1.3480409539508529e-18,1.2726243126914425e-19,1.0585655389068515e-19,5.2928269291234873e-20,1.4916499441024232e-24,2.7081007666324148e-24,1.2407508877305145e-24,6.2037510381304392e-25,2.2875869357684368e-24,1.5343972534650625e-24,1.5284635473925693e-24,5.3082807864186681e-24,5.3485448723804061e-29,7.4734770075419606e-25,1.4814507735323624e-24,4.8767258284944882e-25,1.2186021734452662e-31,3.0601009442148945e-26,1.1477838142714304e-36,7.2012529353707093e-32,4.3401843486149688e-32,4.0879561601153975e-37,1.4962315919148251e-36,1.3649285049653988e-41,2.6292843571852134e-31,3.8413284014042901e-22,2.47648619193039e-36,7.8418370465482845e-44,2.7524444953482137e-38,1.2980105284309464e-47,2.7524444953482137e-38,3.3286794027012609e-26,1.1213440748244195e-32
1.2700000000000001e-13,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.4977295905312715e-18,5.7455756416645231e-19,8.4977276264546792e-18,8.2363511969738422e-18,8.2363535553827648e-18,2.7112782466654593e-18,2.7112916520797421e-18,2.5595819991035983e-19,2.1290536558680736e-19,1.0645265190624874e-19,6.019408440060903e-24,1.0928391745945843e-23,5.0069315941071293e-24,2.5034630478608443e-24,9.2314420875696683e-24,6.1919845199286636e-24,6.1680385723677194e-24,2.1421005393627539e-23,4.3241136371229241e-28,3.0158835499341669e-24,5.9783206826394628e-24,1.9679718228465501e-24,9.8520066226310062e-31,1.2348959419594992e-25,1.8575452162426214e-35,5.8220036249508235e-31,3.5089029058898868e-31,6.6158532080124762e-36,2.4214378537255826e-35,4.4198863740037856e-40,2.1256601870140601e-30,7.7254975353855552e-22,4.0078268843990247e-35,2.5389090699791748e-42,4.4545011631884084e-37,8.406937241774083e-46,4.4545011631884084e-37,1.3432691834612068e-25,9.0658130051100882e-32
2.55e-13,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.7043135015817556e-17,1.1523401833814059e-18,1.7043127125688532e-17,1.6518904039173573e-17,1.6518913513401614e-17,5.4377236185943425e-18,5.4377774705541873e-18,5.1334058941942795e-19,4.2699541476376509e-19,2.1349758330621326e-19,2.4180743709309171e-23,4.3901683010204536e-23,2.011350845887961e-23,1.0056732124929473e-23,3.7084760548323311e-23,2.4874594330173064e-23,2.4778391895799214e-23,8.6050584637666598e-23,3.476774822414035e-27,1.2115472209059286e-23,2.4016251205711402e-23,7.9057302931519463e-24,7.9214875482144718e-30,4.9609132120192127e-25,2.9882807691797537e-34,4.6812069251978708e-30,2.8213323951496812e-30,1.0643109542906683e-34,3.8953434207586895e-34,1.4223244981477857e-38,1.7090822231315637e-29,1.5492282667545897e-21,6.4473085040409738e-34,8.1675357287210869e-41,7.1661104880183222e-36,5.4094909366597898e-44,7.1661104880183222e-36,5.3961903806737991e-25,7.2895218078025135e-31
5.11e-13,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.4133913862775158e-17,2.3079079070757967e-18,3.4133882235365883e-17,3.3083955400412856e-17,3.3083993377480278e-17,1.0890470937135404e-17,1.0890686797150235e-17,1.028068780456941e-18,8.5514521875439546e-19,4.275721120614521e-19,9.6923587359219773e-23,1.7597830974520939e-22,8.0621026798313103e-23,4.0310336136423528e-23,1.4865361696723465e-22,9.970947707370859e-23,9.9323801383078943e-23,3.4491328214769334e-22,2.7881787295320746e-26,4.8564625338899309e-23,9.6268760557203424e-23,3.1689571957606532e-23,6.3526650372706495e-29,1.9886222857548527e-24,4.7937858114004181e-33,3.75416786477384e-29,2.2625864366842511e-29,1.7073678097558997e-33,6.2486157019077761e-33,4.5635702880316973e-37,1.3705229447286264e-28,3.1019643784946671e-21,1.0342145947497901e-32,2.6188455249936635e-39,1.1495968368563407e-34,3.4691902074936517e-42,1.1495968368563407e-34,2.1630364098914593e-24,5.8461333670014794e-30
