Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13)
0.0,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.1191793391678067e-20,4.0601432780820224e-21,6.1191793230508015e-20,5.9314010370960991e-20,5.9314010551323752e-20,1.9474393434498523e-20,1.9474394596874944e-20,1.7524313334039262e-21,1.4579777086788237e-21,7.289888518278539e-22,4.4871701042889833e-28,8.5108947328040442e-28,3.7332099243109133e-28,1.8666049344444672e-28,7.2263405932806191e-28,4.8475627390323e-28,4.8287880404502146e-28,1.7824516414884427e-27,4.5640382916394393e-34,2.4708951021130915e-28,4.6806077937717335e-28,1.5367700997984717e-28,1.0340657721911131e-36,9.6156700340254806e-30,2.647766521760165e-43,6.0884355661448563e-37,3.6889481281718227e-37,9.4456982938047411e-44,3.6300847181777015e-43,9.2949762460825416e-50,2.1280041923767828e-36,8.2402712891570429e-24,5.4488393399708582e-43,5.3842098010746033e-52,6.7729075779846275e-45,2.7054597806407457e-57,6.7729075779846275e-45,1.0474258157004689e-29,9.3398538857828996e-38,1.2385129104122374e-37,1.2898461808244984e-22
3.0000000000000002e-15,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.0105874836776613e-19,1.3340470892891801e-20,2.0105874730864848e-19,1.9488888891496962e-19,1.948888901002105e-19,6.3987286267501282e-20,6.3987293905974502e-20,5.7579871801104373e-21,4.7904969590312675e-21,2.3952484630111725e-21,2.9487113836264507e-27,5.5928735765592224e-27,2.4532519156878445e-27,1.2266259317164346e-27,4.7487380755533944e-27,3.1855412181302214e-27,3.1732035545301383e-27,1.1713251766605475e-26,4.3032355520449416e-33,1.6237310538122007e-27,3.0758279628543078e-27,1.0098774496422207e-27,9.7497619947733969e-36,6.3188693357620377e-29,3.2529700014311938e-42,5.7405245366916961e-36,3.4781507658834469e-36,1.1604714050996081e-42,4.4598176376169609e-42,1.407524773153263e-48,2.0064034953832403e-35,2.707513368104185e-23,6.6942870773254976e-42,8.1532230601680589e-51,8.3210001394096756e-44,4.8698231208594871e-56,8.3210001394096756e-44,6.8830837404401578e-29,8.8061479368364916e-37,1.1677407142423557e-36,4.2380660736458926e-22
7e-15,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.4582591162128022e-19,2.9581044939171917e-20,4.4582590586520621e-19,4.3214491276895473e-19,4.321449192104802e-19,1.4188481068074247e-19,1.4188485219416562e-19,1.2767701136577385e-20,1.0622398407388194e-20,5.3111991139962535e-21,1.6025591228298542e-26,3.0396048333250827e-26,1.333287951909032e-26,6.6664393375475984e-27,2.5808358094737168e-26,1.731272364460243e-26,1.7245670964766684e-26,6.3658910595666934e-26,6.9503692570626813e-32,8.8246248224296739e-27,1.6716455757200716e-26,5.4884628260867335e-27,1.5747328050857326e-34,3.4341697308316688e-28,1.6453958151975426e-40,9.2718106011760168e-35,5.6177356472510167e-35,5.8698202472994028e-41,2.2558335558211205e-40,2.3245354763834655e-46,3.2406388734174477e-34,6.0035886644638773e-23,3.3860561939834176e-40,1.3464904637648745e-48,4.2088743386952465e-42,2.7112099765116969e-53,4.2088743386952465e-42,3.7408057041176226e-28,1.4223262611661424e-35,1.8860777418309474e-35,9.3974511867202127e-22
1.5e-14,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.353602118765328e-19,6.2062195409048162e-20,9.353601864116627e-19,9.0665691560092765e-19,9.0665694409822876e-19,2.9767973395344375e-19,2.9767991760869392e-19,2.6787100089584655e-20,2.2286177411623559e-20,1.1143088308989798e-20,7.0897111844002687e-26,1.3447209053732249e-25,5.8984575749634476e-26,2.94922839501709e-26,1.1417616877732335e-25,7.6591486706804091e-26,7.6294844473377984e-26,2.8162653252320162e-25,6.4639618959114454e-31,3.904013676017094e-26,7.3953596134841751e-26,2.4280947974160716e-26,1.4645288927638903e-33,1.5192778747373364e-27,3.1645259478336239e-39,8.6229486184234573e-34,5.2245924992908113e-34,1.1289198697065822e-39,4.3385515109638189e-39,9.1196770250542182e-45,3.0138450704316788e-33,1.2595654700588584e-22,6.5122592620310603e-39,5.2824767259564648e-47,8.0947675538081927e-41,2.1505848249763313e-51,8.0947675538081927e-41,1.654931946297853e-27,1.322790028279754e-34,1.7540870408957086e-34,1.9716222405019057e-21
3.1e-14,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.914428707379944e-18,1.2702450585795747e-19,1.9144286012379639e-18,1.8556807417609305e-18,1.855680860542572e-18,6.092690782846101e-19,6.0926984379048251e-19,5.4825782156472169e-20,4.5613639850639578e-20,2.2806818271305556e-20,2.955106245043987e-25,5.6050279518368434e-25,2.4585727314498774e-25,1.2292860344870081e-25,4.7590603171495252e-25,3.1924659079217649e-25,3.1801012487022917e-25,1.1738643019536306e-24,5.4555536551428895e-30,1.6272603918418567e-25,3.0825139323739137e-25,1.0120711204019835e-25,1.236056439635422e-32,6.3326235877192403e-27,5.3804028931906792e-38,7.2777394712834254e-33,4.4095359472167951e-33,1.9194170009351817e-38,7.3764902632959436e-38,3.113241719254392e-43,2.5436639919377545e-32,2.5779448557153692e-22,1.1072261449042752e-37,1.8032384462718242e-45,1.3762927286918013e-39,1.4712529484670953e-49,1.3762927286918013e-39,6.8980395950186839e-27,1.1164325167845961e-33,1.4804455621153261e-33,4.0353768810167075e-21
6.300000000000001e-14,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.872565278358465e-18,2.5694916479154518e-19,3.8725648458243042e-18,3.7537276760655395e-18,3.753728160106706e-18,1.2324457580970965e-18,1.2324488775661721e-18,1.1090268293837514e-19,9.226818245452703e-20,4.6134084487132886e-20,1.2042149573752973e-24,2.2840774812347367e-24,1.0018762144225229e-24,5.0093783611365793e-25,1.9393423958450123e-24,1.3009469917983408e-24,1.2959082481991162e-24,4.7835284113286088e-24,4.4650405191524587e-29,6.6311720579871834e-25,1.2561408703634768e-24,4.1242370476683411e-25,1.0116388528898501e-31,2.5805862978602197e-26,8.8271183730025959e-37,5.9564074670739715e-32,3.6089453056727949e-32,3.1490072274523173e-37,1.2101847828955408e-36,1.0227231178204716e-41,2.0818233339240066e-31,5.2145683493096542e-22,1.8165088459198654e-36,5.9232871404614964e-44,2.2579564477757563e-38,9.671399107212179e-48,2.2579564477757563e-38,2.8109852540159828e-26,9.137388365313167e-33,1.2116621071104251e-32,8.1628877494260282e-21
1.2700000000000001e-13,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.7888367402029037e-18,5.1679863479493169e-19,7.7888349947334194e-18,7.5498186726161604e-18,7.5498206259372844e-18,2.4787910823794848e-18,2.4788036707754746e-18,2.2305463113178028e-19,1.8557573859511659e-19,9.2787842098619434e-20,4.8594962287231393e-24,9.2172703268416037e-24,4.0429788974879093e-24,2.0214872570212443e-24,7.8261190528491592e-24,5.249907613085042e-24,5.2295733771320176e-24,1.9303438661532231e-23,3.609833901529768e-28,2.6759757666778859e-24,5.069093896556856e-24,1.6643098647472149e-24,8.1787807600789863e-31,1.0413895221920107e-25,1.4285603164984115e-35,4.8155828221501753e-31,2.9177212221836494e-31,5.0962840127602979e-36,1.9585147317819222e-35,3.3117682274247764e-40,1.6830646678069586e-30,1.048727429405452e-21,2.9397555147654952e-35,1.9177564945002537e-42,3.6542341896750039e-37,6.2639780543974332e-46,3.6542341896750039e-37,1.1343569350367143e-25,7.387371915538408e-32,9.7959906113852809e-32,1.6417915835440223e-20
2.55e-13,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.5621372943446193e-17,1.0364981832916424e-18,1.5621365931509223e-17,1.5141989177506935e-17,1.5141997024411826e-17,4.9714495900283033e-18,4.9715001599015571e-18,4.4735111433367496e-19,3.7218473484268989e-19,1.8609225816130477e-19,1.9521256208805352e-23,3.7027752844290939e-23,1.6241208391201231e-23,8.1205865733230751e-24,3.1439267087712643e-23,2.1090060516223159e-23,2.100836822118988e-23,7.7544209342060643e-23,2.9024677610885047e-27,1.0749988043790878e-23,2.0363684558797371e-23,6.685861412468976e-24,6.5761430885616249e-30,4.1835492115870614e-25,2.2981652535017874e-34,3.8719908809788664e-30,2.3459963782494725e-30,8.1985483807694699e-35,3.1506529162674672e-34,1.0657340543850071e-38,1.3532287683541912e-29,2.1030522561080685e-21,4.7291383321428179e-34,6.1693589787055772e-41,5.878701622675204e-36,4.0306165317361704e-44,5.878701622675204e-36,4.5569483163413683e-25,5.9399430068768092e-31,7.8765962169983433e-31,3.2927997401664484e-20
5.11e-13,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.1286418468188966e-17,2.0758997138057848e-18,3.1286390360985877e-17,3.0326284234637944e-17,3.032631568864758e-17,9.9566380452970432e-18,9.9568407495899208e-18,8.9591443037111308e-19,7.4537826508435241e-19,3.7268869460852647e-19,7.8247222225678481e-23,1.4842448864898363e-22,6.5099883437873538e-23,3.2549800400111879e-23,1.2602377408918057e-22,8.4539232032586518e-23,8.4211728711069359e-23,3.1081852880403992e-22,2.327624340368444e-26,4.3091115178773867e-23,8.1627510899898297e-23,2.679982006356282e-23,5.2737767906734745e-29,1.6770128071305707e-24,3.6867170948955219e-33,3.1052057280995959e-29,1.8813930624178649e-29,1.3152153212448988e-33,5.0540695947911023e-33,3.4194601084279295e-37,1.0851684935985916e-28,4.2108368981552343e-21,7.5860699154013642e-33,1.9781728764184525e-39,9.4307170309188055e-35,2.5849283896231747e-42,9.4307170309188055e-35,1.82663170081016e-24,4.7637835417747622e-30,6.3169020241869556e-30,6.5948262090207477e-20
