Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501)
0.0,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.5456988243377301e-19,1.7526840404746372e-20,3.5456988071453512e-19,3.4317632733324563e-19,3.4317632849651059e-19,1.1880631317343498e-19,1.1880632275118287e-19,7.5620451768372639e-21,6.2637807604937444e-21,3.1318903603801367e-21,2.4216524947558603e-27,7.0720532923242328e-27,2.0058992253778733e-27,1.0029495893307186e-27,5.4037176265766718e-27,3.6180945007640312e-27,3.6042276347896715e-27,1.4570204373926502e-26,4.6659297679952576e-33,2.6782070967400393e-27,3.4884113707364806e-27,1.2076744838159432e-27,1.1822995755964001e-35,9.3928899469512041e-29,3.7861698080650173e-42,7.4947254701251844e-36,4.0810121963012968e-36,1.3068942386659545e-42,7.0432958017862384e-42,2.2555293490251925e-48,1.6996134790492305e-35,6.5513172020334724e-23,5.4428042523706754e-42,1.1073340768369641e-50,9.8460601371147393e-44,7.3330292969467235e-56,9.8460602413336273e-44,1.0361838746001324e-28,1.1633465648514331e-36,1.4872130179674707e-36,6.3463156260541423e-22,1.042188899131682e-51,7.0949517684413665e-50
3.0000000000000002e-15,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.7557051879871497e-19,4.3280566045198894e-20,8.7557051016743979e-19,8.4743540727827048e-19,8.4743541311833506e-19,2.9337881399501372e-19,2.9337886207921062e-19,1.8673615519170289e-20,1.5467698393506584e-20,7.7338490970144299e-21,1.215768044569561e-26,3.5504592650760429e-26,1.0070430080671955e-26,5.0352148429830345e-27,2.7128867735518595e-26,1.8164311049126751e-26,1.8094693650637362e-26,7.3148349348174956e-26,3.9422334019544263e-32,1.3445692535694629e-26,1.7513248721067813e-26,6.0630182720805048e-27,9.9892228567398212e-35,4.7156150610156927e-28,4.8061165887924458e-41,6.332277289977511e-35,3.4480382024402058e-35,1.6589552150686532e-41,8.940670121371436e-41,4.0047140061853858e-47,1.4359992656625439e-34,1.6177709342881848e-22,6.9090261104610752e-41,1.9660780170506071e-49,1.2498466183557973e-42,1.7329856501229978e-54,1.2498466368599652e-42,5.2020657460725319e-28,9.8290913217947034e-36,1.2565431779633962e-35,1.5671514300311338e-21,1.8504167803161569e-50,1.2597151009693653e-48
7e-15,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.2938499866904354e-18,1.1338793593220137e-19,2.2938499335694996e-18,2.2201406027276754e-18,2.2201406386701736e-18,7.6860371520768825e-19,7.6860401114035078e-19,4.8921742677702369e-20,4.0522777551283521e-20,2.0261388161803552e-20,7.4824016466859639e-26,2.1851197181339756e-25,6.1978110821850904e-26,3.098905232669694e-26,1.6696383637270149e-25,1.1179173272703864e-25,1.1136327276324952e-25,4.5018888292591484e-25,6.1609208074185308e-31,8.2751126607522898e-26,1.0778478620742717e-25,3.7314660239545788e-26,1.5611159607399531e-33,2.9022140289025921e-27,2.0477737298551111e-39,9.8960874045379504e-34,5.3885953309260863e-34,7.0684201861296167e-40,3.8094060675274838e-39,4.9197084991707175e-45,2.2441768265897395e-33,4.2382693982328818e-22,2.9437699608578648e-39,2.4152438623669398e-47,5.3253055030416347e-41,6.4150572894356994e-52,5.3253057303619036e-41,3.2015960084074273e-27,1.536092215009813e-34,1.9637275758429423e-34,4.1056778548197898e-21,2.2732026776504506e-48,1.5475300752221441e-46
1.5e-14,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.1304087415589488e-18,2.5360269989304698e-19,5.1304084894275072e-18,4.9655506604745961e-18,4.9655508310708136e-18,1.7190524894211538e-18,1.7190538940248981e-18,1.0941784034509402e-19,9.0632807489648244e-20,4.5316400831332974e-20,3.551415662738288e-25,1.0371377815382236e-24,2.9417032750497548e-25,1.470851332640123e-25,7.9247161401765261e-25,5.3060459446965227e-25,5.2857095201277183e-25,2.1367570884943556e-24,6.0902503316060473e-30,3.9276718968234603e-25,5.1158613826828679e-25,1.771089690726149e-25,1.5432097638951997e-32,1.3774991882086501e-26,4.1583268850377192e-38,9.7825831488865056e-33,5.3267882762793855e-33,1.4353541404331696e-38,7.7355854653695107e-38,2.0309769818313472e-43,2.2184306817039877e-32,9.4791831981143958e-22,5.9777745500268236e-38,9.9704553245595908e-46,1.0813876660930241e-39,5.3462884590678825e-50,1.0813877599366786e-39,1.5195945724319393e-26,1.5184757018553165e-33,1.9412060552861435e-33,9.1827312144801664e-21,9.3843654660717352e-47,6.3885610380725262e-45
3.1e-14,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0803525527636334e-17,5.340323245607205e-19,1.0803524437359333e-17,1.0456369443361392e-17,1.0456370181059987e-17,3.6199459250103679e-18,3.6199519988447312e-18,2.3040940908543902e-19,1.9085235386092608e-19,9.542616433190345e-20,1.5357119866212817e-24,4.4848318993250801e-24,1.2720588783358055e-24,6.3602917167586067e-25,3.426838113938299e-24,2.2944622505621e-24,2.2856681684263115e-24,9.2398138223171372e-24,5.3433166961701282e-29,1.6984198139814362e-24,2.212221710130749e-24,7.6586101130414562e-25,1.3539458310222874e-31,5.9566549250212727e-26,7.3531751489571043e-37,8.5828263160019925e-32,4.6734961936522739e-32,2.5381392696866586e-37,1.3678800216715384e-36,7.211836488382138e-42,1.9463466572078921e-31,1.9960678299610344e-21,1.0570458840100602e-36,3.5402402095491832e-44,1.9122212671951824e-38,3.8045527452416819e-48,1.9122216004281932e-38,6.5710900282218649e-26,1.3322498442583406e-32,1.7031353049212109e-32,1.933683997409431e-20,3.3323301145873462e-45,2.2685093625371034e-43
6.300000000000001e-14,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.2149756205153138e-17,1.0948919608689553e-18,2.2149751678088283e-17,2.143800167871088e-17,2.1438004741790281e-17,7.4217163449164834e-18,7.4217415647007183e-18,4.7239004022238808e-19,3.9128939260811383e-19,1.9564464399274643e-19,6.3765605881043483e-24,1.8621976470186935e-23,5.2818260234880266e-24,2.6409107760977421e-24,1.4228971557494501e-23,9.5271041656566221e-24,9.4905882234507305e-24,3.8365382736214581e-23,4.4658519367735218e-28,7.0522048025820896e-24,9.1856223999257282e-24,3.1800133938372477e-24,1.1316074657771531e-30,2.4733455407106709e-25,1.2331549732938894e-35,7.1734113621080158e-31,3.9060398530124248e-31,4.2565563898450131e-36,2.2939704708894454e-35,2.4228820439409127e-40,1.6267121854568068e-30,4.0922338619640498e-21,1.7726893541436662e-35,1.1892492615156006e-42,3.2068731854439601e-37,2.5582026821139233e-46,3.2068743049820803e-37,2.7284560376763981e-25,1.1134819930528489e-31,1.4234625263378978e-31,3.9645065654185238e-20,1.1195381203121953e-43,7.6211462052270939e-42
1.2700000000000001e-13,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.4842205981639543e-17,2.2166127812886611e-18,4.4842187539023845e-17,4.3401244827746075e-17,4.3401257306261557e-17,1.5025191380267862e-17,1.5025294121384921e-17,9.5634127739341329e-19,7.9215525433252019e-19,3.960774140624811e-19,2.5976820664327839e-23,7.5863181689015487e-23,2.1517109082254414e-23,1.075853626993628e-23,5.7966813541076789e-23,3.8812085387334052e-23,3.866331634661884e-23,1.5629253564485464e-22,3.6498114402575615e-27,2.8729675719134481e-23,3.7420926564678915e-23,1.2954868150063611e-23,9.2483473282515855e-30,1.0076171913296679e-24,2.0187716652846811e-34,5.8626755266370879e-30,3.1923134049174674e-30,6.9683237889209139e-35,3.7553593649033414e-34,7.9389289875391414e-39,1.3294471342965261e-29,8.284034060855998e-21,2.9019790801133181e-34,3.8959204308726515e-41,5.2499252082244242e-36,1.6767635016522428e-44,5.2499288766310373e-36,1.1115323791825866e-24,9.1003382561738599e-31,1.1633733460569065e-30,8.026154965533027e-20,3.6684066125798348e-42,2.4971036821994043e-40
2.55e-13,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,9.0227059220460954e-17,4.4600606126347224e-18,9.0226984778937276e-17,8.7327645839422278e-17,8.7327696207269995e-17,3.0231878238154363e-17,3.0232292935497763e-17,1.9242036535005859e-18,1.5938541163933888e-18,7.9692619806802509e-19,1.0484944706698596e-22,3.0621238232971292e-22,8.6848979116697027e-23,4.3424341842526419e-23,2.3397658446820089e-22,1.5666076523550457e-22,1.5606020884031163e-22,6.3083644898051441e-22,2.9507693316529361e-26,1.1596407714603067e-22,1.5104542284232347e-22,5.2290432024792586e-23,7.4771036943126853e-29,4.0672255109895133e-24,3.2667330067265491e-33,4.7398949824062664e-29,2.5809277156965378e-29,1.12760123055294e-33,6.0766779266249495e-33,2.5702134557619727e-37,1.0747919240410405e-28,1.6665507702514907e-20,4.6957494494158188e-33,1.2607602494770921e-39,8.4953863262990932e-35,1.0854465287862921e-42,8.4953982031858195e-35,4.4865609322024755e-24,7.3576449286727856e-30,9.4058460828790284e-30,1.6149464820157531e-19,1.1876886726134166e-40,8.0838291088069205e-39
5.11e-13,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,0.99999999999999967,11.0,1.8099658044179774e-16,8.9469810317068176e-18,1.8099628133198692e-16,1.7518010671928517e-16,1.7518030909773611e-16,6.0644199142877598e-17,6.0645865373545337e-17,3.8597680301864315e-18,3.1971204084974283e-18,1.5985567485337137e-18,4.2126596479190091e-22,1.2303709516922786e-21,3.489444069906066e-22,1.7447101565663002e-22,9.4013076677409314e-22,6.2947241726301513e-22,6.2705881238000546e-22,2.5345670965366066e-21,2.3728760096359436e-25,4.6594956509260506e-22,6.0690898165678803e-22,2.1010221250996514e-22,6.0128734881741323e-28,1.63430665514422e-23,5.2559453347640781e-32,3.8117513194165776e-28,2.0755184562372265e-28,1.8142381600784638e-32,9.7764226933857134e-32,8.2716074760525291e-36,8.6425352514957617e-28,3.3419953592248213e-20,7.554583307427251e-32,4.0540006083168981e-38,1.3668708606916894e-33,6.9812627406117652e-41,1.3668746832936648e-33,1.8027122285328308e-23,5.9171356195679664e-29,7.564243512410444e-29,3.2396136731072061e-19,3.822601975496729e-39,2.6012638169759969e-37
