Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715),S(704),CCOO(28),C4H8O(297),S(144)
0.0,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0285658055818862e-20,1.7494496062867813e-21,1.0285658041305054e-20,9.984972113716933e-21,9.9849721693649424e-21,3.1082540022614312e-21,3.1082540688146344e-21,7.5524671157603186e-22,6.3100798212023951e-22,3.1550399047284866e-22,2.9099100447979642e-28,1.8784197076382002e-28,2.4312273656121047e-28,1.2156136719870361e-28,1.7682795670298304e-28,1.1889634825136335e-28,1.1841273381317168e-28,2.1198197239081658e-28,8.1675095165378335e-35,2.2748600435785957e-29,1.1495111402988251e-28,3.5783500921092878e-29,1.6490978705186871e-37,1.7602839429466568e-30,6.3538528317105898e-44,9.0110986359844715e-38,6.0824924475265607e-38,2.3435396047831149e-44,3.4097271714328597e-44,1.3137428064608575e-50,9.2785314807519154e-37,1.0100370843220379e-24,3.5749499341094849e-43,8.9438477720504276e-53,1.4257927262805675e-45,3.3992561985097192e-58,8.4686128803192671e-46,1.8789332030135793e-30,2.596733659203737e-38,1.8801042001529909e-38,4.870029782675431e-23,1.5406513010817839e-53,7.235209126836769e-52,1.0524560199749608e-51,5.6065789696501802e-31,1.7482248265420124e-38,5.789304011991337e-46,1.4444619963680394e-37
3.0000000000000002e-15,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.3795733242352971e-20,5.7481915854738353e-21,3.3795733146976502e-20,3.2807764940858448e-20,3.2807765306545371e-20,1.0212833757514531e-20,1.0212834194864131e-20,2.481523949914288e-21,2.0733111424202198e-21,1.0366555673509209e-21,1.9122262558657287e-27,1.2343900613623299e-27,1.5976634129351328e-27,7.9883169626678793e-28,1.1620122774371656e-27,7.8131885603626492e-28,7.7814081772785629e-28,1.3930241030642114e-27,7.7007935141113581e-34,1.4949080160099277e-28,7.5539303048887949e-28,2.351487120830373e-28,1.5548634898404547e-36,1.1567579996219395e-29,7.8061611638189209e-43,8.4961781838332822e-37,5.734920698160236e-37,2.8792054886612865e-43,4.189092500919434e-43,1.9893816138920247e-49,8.7483271503455678e-36,3.3186845960027171e-24,4.3920803381011066e-42,1.3543529099328777e-51,1.7516884445689901e-44,6.1186566677322523e-57,1.0404294776879836e-44,1.2347274680679874e-29,2.448348867433936e-37,1.7726696347025958e-37,1.6001526420511139e-22,2.3329865130919522e-52,9.7311332672390056e-51,1.7162226273701173e-50,3.684323321562794e-30,1.6483262620219858e-37,7.1125727398824387e-45,1.3619210518121514e-36
7e-15,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.4938362637206739e-20,1.2745990178662984e-20,7.4938362118856453e-20,7.2747648990828737e-20,7.2747650978257416e-20,2.2645843481491626e-20,2.2645845858390559e-20,5.5025034535874884e-21,4.5973369581089505e-21,2.2986684580807344e-21,1.0392521798234722e-26,6.7086404980715303e-27,8.6829432709424639e-27,4.3414714707136661e-27,6.3152837816631209e-27,4.2462979926627673e-27,4.2290260251154492e-27,7.5707730214093473e-27,1.2437930947455928e-32,8.1244996404385138e-28,4.1053967434015824e-27,1.2779818389260264e-27,2.5113369140250089e-35,6.2867275504953181e-29,3.9484598564387721e-41,1.372260721864538e-35,9.2627547162768853e-36,1.4563404196369874e-41,2.118896089065019e-41,3.2854738640670154e-47,1.4129836373446636e-34,7.3587665050352811e-24,2.2215693898802874e-40,2.2366974657146391e-49,8.8603025730085656e-43,3.4064930450964884e-54,5.2626311136710264e-43,6.7104730591414458e-29,3.9544541744367513e-36,2.8631294581954474e-36,3.5481645487851267e-22,3.8529571133198007e-50,6.4886308431552228e-49,3.7925879106226783e-48,2.0023496265089605e-29,2.6622965718865783e-36,3.5976339187541468e-43,2.1997050151740331e-35
1.5e-14,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.5722361422729612e-19,2.6741587792779895e-20,1.572236119341148e-19,1.5262740587830519e-19,1.5262741467068802e-19,4.7511846931102829e-20,4.7511857446495936e-20,1.1544443770676516e-20,9.6453730297137803e-21,4.822686422069514e-21,4.5976426769610615e-26,2.9679017187264105e-26,3.8413267097735099e-26,1.9206632016595946e-26,2.7938812989298062e-26,1.8785621305598089e-26,1.8709209972578252e-26,3.3493025273041369e-26,1.1567483799816053e-31,3.5942783127420659e-27,1.8162274006456633e-26,5.6537895097806405e-27,2.3355857668013399e-34,2.7812477477921837e-28,7.5939166296549889e-40,1.2762270721470343e-34,8.6145194180714971e-35,2.8009221834619146e-40,4.0751819225073914e-40,1.2889645838622363e-45,1.3140958239466986e-33,1.5438761237689931e-23,4.2726475759122523e-39,8.7749298231114638e-48,1.7040759622467252e-41,2.7021098572363086e-52,1.0121412564457768e-41,2.9687115831548914e-28,3.6777162742485801e-35,2.6627632551389647e-35,7.4441883461213794e-22,1.5116114854876897e-48,1.3488543688823653e-47,1.6075942889208572e-46,8.858394712579516e-29,2.4759856370604749e-35,6.9191878101920773e-42,2.0457613381398472e-34
3.1e-14,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.2179408860900647e-19,5.4732784731937236e-20,3.2179407905063195e-19,3.1238687480341515e-19,3.1238691145157972e-19,9.7243789837042147e-20,9.7243833666962703e-20,2.3628249644322666e-20,1.9741382934240198e-20,9.8706910803692469e-21,1.916369976707795e-25,1.2370722762606908e-25,1.6011256338727534e-25,8.0056268761362238e-26,1.1645380262776742e-25,7.8301722497344958e-26,7.7983225585783986e-26,1.3960413609471644e-25,9.7628956488128918e-31,1.4981573295121464e-26,7.5703501337628406e-26,2.3565958685004985e-26,1.9712228582058455e-33,1.1592719192249389e-27,1.2911348866979172e-38,1.0771316905824988e-33,7.2706135388761133e-34,4.762192179505631e-39,6.9286926536772526e-39,4.4002135050368871e-44,1.1090856876718325e-32,3.1598074392130951e-23,7.2644220269600703e-38,2.9954590130162578e-46,2.8973390811552766e-40,1.8485785090993472e-50,1.7208662533032148e-40,1.2374091406570805e-27,3.1039861023163868e-34,2.247366467045394e-34,1.5236235876244714e-21,5.1603484086931642e-47,2.384287351704823e-46,5.7099730760149297e-45,3.6923326680544876e-28,2.0897276762669206e-34,1.1764162441561424e-40,1.7266099895158788e-33
6.300000000000001e-14,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.509349221785883e-19,1.1071518545369863e-19,6.5093488322772079e-19,6.3190563325437313e-19,6.3190578259752244e-19,1.967074196764987e-19,1.9670759828528735e-19,4.7795562353467821e-20,3.9933153791818206e-20,1.9966575319901894e-20,7.8092522665436727e-25,5.041131071246654e-25,6.5246248809565336e-25,3.2623113820537292e-25,4.7455539820932656e-25,3.1908369840153263e-25,3.1778579638557565e-25,5.6888949232626753e-25,7.9903284037153032e-30,6.1050701917695419e-26,3.0849579486939141e-25,9.6032417688501327e-26,1.6133256030869879e-32,4.7240924946804135e-27,2.1182395829843477e-37,8.8157037252261004e-33,5.9505561779941883e-33,7.812869079780096e-38,1.1367154813825771e-37,1.4454988305598226e-42,9.0771127159714009e-32,6.3913995703706618e-23,1.1917933076237463e-36,9.8396880199101344e-45,4.7534831610269416e-39,1.2152009831329044e-48,2.8232606762977849e-39,5.0424981192715394e-27,2.5404423196613038e-33,1.8393444132970742e-33,3.0820330678118153e-21,1.695255581723547e-45,3.9896094353878306e-45,1.9141909164944658e-43,1.5046455625003008e-27,1.7103276584834794e-33,1.9300327608930899e-39,1.4131208478029271e-32
1.2700000000000001e-13,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3092161285426716e-18,2.2268001426902931e-19,1.3092159713585377e-18,1.2709424325601167e-18,1.270943035226341e-18,3.9563365547140591e-19,3.9563437623443762e-19,9.6128991651012933e-20,8.0315699727139572e-20,4.0157843503855447e-20,3.1513383809697136e-24,2.0343197436518139e-24,2.6329415673971358e-24,1.3164699280045064e-24,1.9150441858868497e-24,1.2876463863504134e-24,1.2824086858811107e-24,2.2956864183850952e-24,6.459892079497324e-29,2.4636699793748128e-25,1.2449193186044231e-24,3.8753306086378494e-25,1.3043174187415303e-31,1.9063820415894139e-26,3.4280988117901852e-36,7.1272504275670933e-32,4.8108213131739634e-32,1.2644135207091685e-36,1.8396027818341137e-36,4.680768202223677e-41,7.3384046590907034e-31,1.2853502030660789e-22,1.9287326018278391e-35,3.1858743016909485e-43,7.6932272372705295e-38,7.8709206650185295e-47,4.5690933034370547e-38,2.0348668184579146e-26,2.0538898380327284e-32,1.4870653223153349e-32,6.1988519246959561e-21,5.4898301254880093e-44,6.5212190274658592e-44,6.2624386098657672e-42,6.0719246551487075e-27,1.3827613558870458e-32,3.1235131798026139e-38,1.1424523170156459e-31
2.55e-13,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.6257766981727273e-18,4.4660978137109774e-19,2.6257760667301004e-18,2.5490131607939257e-18,2.5490155818340747e-18,7.934820315706557e-19,7.9348492700623462e-19,1.9279106601785523e-19,1.6107680868694968e-19,8.0538378796554459e-20,1.2659258269457978e-23,8.1722888713788929e-24,1.0576807867418167e-23,5.2883970536474288e-24,7.6931571976883784e-24,5.1727638432755007e-24,5.151722173281105e-24,9.2219745384518366e-24,5.1940136326101983e-28,9.8971081822760025e-25,5.0011187623182805e-24,1.5567991884035568e-24,1.0487268477958398e-30,7.6583476335817161e-26,5.5148441805920789e-35,5.7307127284663104e-31,3.8681126670429629e-31,2.0340878696582002e-35,2.9593207148256183e-35,1.5062640085570078e-39,5.9001909827585974e-30,2.5773381317747897e-22,3.1026843213783184e-34,1.0249636480715877e-41,1.2377278736711879e-36,5.065003782680664e-45,7.3504094485391202e-37,8.1744497190232872e-26,1.6514647757630705e-31,1.195695452955433e-31,1.2432489223372112e-20,1.766816864503515e-42,1.0543123311572448e-42,2.0256778317177382e-40,2.4392299851147495e-26,1.1118331470260089e-31,5.0248612785096865e-37,9.185698729390191e-31
5.11e-13,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.2588904650580608e-18,8.9446975333435584e-19,5.2588879339399083e-18,5.1051431358069097e-18,5.1051528404688697e-18,1.5891624021705571e-18,1.5891740082317547e-18,3.8609607987619429e-19,3.2258309663111348e-19,1.6129144592294204e-19,5.0741446937233303e-23,3.2758261304905795e-23,4.2394502983169488e-23,2.1197196318777625e-23,3.083786937053193e-23,2.0734944173012922e-23,2.065059371640844e-23,3.6963643344855934e-23,4.1652765922867938e-27,3.9672359571056161e-24,2.0046900431297631e-23,6.2403423334440616e-24,8.4101876500065364e-30,3.0698241251849568e-25,8.8468016399061755e-34,4.5958621340024333e-30,3.1020158233292272e-30,3.2630526519898238e-34,4.747021543318973e-34,4.8328120991660127e-38,4.7312948502476968e-29,5.1595849945636263e-22,4.9769347438892173e-33,3.2869953624505025e-40,1.9858735570530851e-35,3.2487980264039662e-43,1.1791464728451307e-35,3.2766627462576539e-25,1.3244597553056742e-30,9.5892966624008377e-31,2.4899762151317357e-20,5.6700601243135359e-41,1.6954462364410749e-41,6.5161647656795409e-39,9.7776310304652748e-26,8.9168097100453238e-31,8.060811377915112e-36,7.366234536568223e-30
