Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3)
0.0,0.0038182456508660716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011
1e-15,0.0038182456508660716,6.991057307344983e-20,6.9910572139199077e-20,6.748644377085738e-20,6.7486444105823301e-20,1.3461536807266686e-27,8.8394048390851344e-22,7.524411814467207e-28,5.0273393363995754e-28,4.2529366685403639e-22,9.1450210049726436e-29,5.0057947373589031e-28,4.8322202630615865e-28,3.4169685978535509e-36,7.3474523478111752e-43,3.4944328194554383e-22,7.5140227869230624e-29,1.1148006659744531e-36,7.8975443376941433e-23,3.6707512305345433e-30,2.3971378258246471e-43,2.4585102104171479e-36,4.0013668812401404e-51,4.2508579780689159e-56,2.7499715964199828e-29,6.5532547578354554e-52,3.300912361074873e-44,2.5454024981748737e-51,2.6855638935480498e-52,5.0129609101318723e-23,1.8253999046627501e-38,2.7453260940535043e-37,3.182242315806232e-29,2.1456551313172852e-65,3.1623210146498801e-45,4.4866585716628115e-51,7.9976237797172434e-52,1.5012555675398549e-37,3.6314346474795064e-46,7.1997865209101538e-52,3.4233441165396685e-37,7.3611619076328951e-44,1.5210491643895168e-59,1.4998430810329978e-38,2.6894845325527081e-52,3.2706879061115743e-66,2.9578035447042159e-53,3.4266228049728327e-37,7.3682116689028885e-44,2.6356602260625919e-44,9.2220958542001796e-48,3.5894218181491818e-31,1.2834194769163526e-60,7.7507602518607225e-63,7.947970775527515e-71,1.335703200294916e-39,2.8721411156979854e-46,4.794255208833023e-54,5.0861286387122899e-59,4.4581710949930259e-72,6.567880045723973e-76,6.9820806496754314e-84,2.5362780046901359e-68,3.8643110881504461e-70,7.1671090783174842e-46,8.6172670376284774e-56,6.7120985510752892e-66,3.9787386778219449e-77,6.1202744961103452e-79,4.0354442343669384e-80,3.6877960510606969e-77,1.5612947828454128e-75,1.6105344932469693e-85,4.3114606233501212e-90,5.872179864240234e-34,1.7340022310576478e-54,1.9901411098931738e-23,2.2272614179084225e-60,2.1382406717802143e-73,1.6567657235293283e-31,7.2142379475402037e-99,6.6430217310325025e-102,1.6350805694797838e-104,7.5756922250345332e-48,5.3457206848679077e-51,-1.0590323600170105e-100,-1.0859820634852134e-108,-6.3331381025337873e-108,-9.5145130050142709e-113,7.5372741293791736e-42,-3.0033195470047011e-115,2.2063387102287227e-41,1.0035830385484217e-37,1.0120045909208107e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011
3.0000000000000002e-15,0.0038182456508660716,2.297061685174884e-19,2.2970616237812617e-19,2.2174116913798902e-19,2.2174117133919381e-19,8.8461527107397604e-27,2.9043761546607699e-21,4.9446134360441708e-27,3.3036801272352272e-27,1.3973931638063852e-21,6.0095838951682621e-28,3.2895222272816539e-27,3.1754589941620208e-27,3.221712891821883e-35,9.0268686486176499e-42,1.1481705268418344e-21,4.9377854065247868e-28,1.0510976833039399e-35,2.5949191641094944e-22,2.412212680745189e-29,2.9450546481779697e-42,2.3180236129201368e-35,6.0591992384836088e-50,7.6515300527967154e-55,1.807124176230437e-28,8.4344919221819553e-51,3.8761898909703487e-43,4.0033668437579606e-50,3.9209034830045988e-51,1.6471157346056453e-22,1.7210910723904091e-37,2.5884495889735739e-36,2.0911877819388786e-28,4.4671517285864824e-64,2.9816167377727764e-44,6.7934589680185211e-50,9.8256089849042953e-51,1.4154695767980202e-36,4.4614748963827714e-45,1.0902529996033635e-50,3.2277236258510573e-36,9.0437109218501922e-43,2.3032941599868513e-58,1.4141375637126376e-37,4.0726468247121027e-51,5.8872190422345938e-65,4.4789587415836408e-52,3.2308150136873224e-36,9.0523720707148013e-43,3.2380962332443833e-43,1.1328720853594898e-46,2.35876290531152e-30,2.3830313147634107e-59,1.6605529925138271e-61,1.929888247674386e-69,1.259377189022964e-38,3.5286300621023458e-45,7.2598560938666304e-53,9.1550144905195995e-58,1.0756008877323174e-70,1.3698682686763328e-74,1.6557411155712601e-82,5.2790675673451362e-67,9.1473551559245743e-69,8.8053045602523278e-45,1.0586927506686511e-54,1.0149934201463256e-64,7.1419960351233172e-76,1.263116459574973e-77,9.4325345256103557e-79,8.7204117855193582e-76,3.2458589920730636e-74,3.7839843370316156e-84,1.1361712426489318e-88,3.8588612150391971e-33,2.6257739580490202e-53,6.5390327510469432e-23,4.0090694617504496e-59,5.1919758309266243e-72,1.0887319743843785e-30,2.1070523128270262e-97,2.1295475433552512e-100,5.7087290554762346e-103,9.3057517454237533e-47,8.0938707582398102e-50,4.3878631833627522e-99,4.1892426595037449e-107,2.4430468361492961e-106,3.6876345919757055e-111,4.9530657924506547e-41,1.0782173469483051e-113,2.0802653344439473e-40,9.462354876412931e-37,9.5417575554057986e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011
7e-15,0.0038182456508660716,5.0934845964495639e-19,5.0934842627885942e-19,4.9168691933677317e-19,4.9168693129984196e-19,4.8076915197304463e-26,6.4401402249545916e-21,2.6872897622384779e-26,1.7954783013271078e-26,3.0985654360985737e-21,3.2660734767385099e-27,1.7877837176870622e-26,1.7257928048259441e-26,5.2035491646577628e-34,4.565907747111477e-40,2.5459416903637325e-21,2.6835755018176092e-27,1.6976807207533691e-34,5.7540267270215657e-22,1.3110018776739553e-28,1.4896473364584184e-40,3.7439549126861319e-34,1.0006492469332035e-47,4.2598163070188844e-52,9.8213264894024882e-28,4.81625903737775e-49,1.7570047676489184e-41,7.5229216194373724e-48,5.7570810031160914e-49,3.6523001521527476e-22,2.7798188990263387e-36,4.1807274935202265e-35,1.1365150083770482e-27,8.2784082420051502e-61,4.8157595511108931e-43,1.120409077789749e-47,4.9696685079368721e-49,2.2861976410535274e-35,2.2566635956187735e-43,1.8005529260720519e-48,5.2132504628853297e-35,4.5744213373780567e-41,3.8036934579256885e-56,2.284043481580134e-36,6.7259854985708194e-49,3.2774944807110979e-62,7.3970201036368713e-50,5.2182443076993554e-35,4.5788023498477327e-41,1.6378705175514467e-41,5.7224490214482229e-45,1.2819363482919969e-29,1.4927462613086748e-56,3.6071448187931491e-58,1.4797479148895514e-65,2.0340832855853916e-37,1.7848275807075686e-43,1.1989324153088002e-50,5.096847862267141e-55,7.1382648363949265e-67,2.6339891254903992e-71,1.1201158328863218e-78,9.7334682263171753e-64,5.9329378218748183e-65,4.4538405749181554e-43,5.3550122080289795e-53,1.6422850981542044e-62,3.7228200530912762e-73,1.9622020599686596e-74,4.8076118733111372e-75,5.5248336942310543e-72,5.8466732219272695e-71,2.065410483218994e-80,2.2117858196225013e-84,2.0972077519059183e-32,4.336469518482419e-51,1.4499579404666461e-22,2.2320226384086955e-56,3.9810034420648415e-68,5.9170291400473933e-30,1.4763029734679977e-92,5.3974755840109011e-95,5.3140376712805836e-97,4.6977263879725188e-45,1.334057617862287e-47,6.1967060865219349e-94,2.5417625812127271e-101,1.4822871083328472e-100,1.8694180248516191e-105,2.6918833564789135e-40,2.3603781958274208e-107,3.3599855087009212e-39,1.5283136042015365e-35,1.5411383933971199e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011
1.5e-14,0.0038182456508660716,1.0686330389310456e-18,1.0686328913194477e-18,1.0315783563916182e-18,1.0315784093162282e-18,2.1269226027415659e-25,1.3511673799213676e-20,1.1888568815669732e-25,7.9431957942118638e-26,6.5009038840340083e-21,1.4449074321091786e-26,7.9091544212089871e-26,7.6349064368092984e-26,4.8393906258397332e-33,8.7814235418122804e-39,5.3414790174941631e-21,1.1872112125979007e-26,1.5788730320653889e-33,1.2072470505389707e-21,5.7999952203524059e-28,2.8649787284673369e-39,3.481941836162794e-33,3.9255955389347047e-46,3.378887896055009e-50,4.3449544307997266e-27,9.5566181208016384e-48,3.2842983287826996e-40,3.0447996600513447e-46,2.1952084186944726e-47,7.6626691234067397e-22,2.5852779613614104e-35,3.8881392737163871e-34,5.0279417319520407e-27,1.2568492939054918e-58,4.4787420066819339e-42,4.3868988171257271e-46,9.5572322276655301e-48,2.1262064934961433e-34,4.3401242693234382e-42,7.0639392110554468e-47,4.8484028768859082e-34,8.7977816670008442e-40,1.4921548037094785e-54,2.1241989909989959e-35,2.638747402081914e-47,2.5996177393394961e-60,2.9020140169584043e-48,4.8530483918085578e-34,8.8062077500779303e-40,3.1500472234567126e-40,1.0983438111055008e-43,5.6712863071678848e-29,1.1928972263126701e-54,5.7984597989640612e-56,4.7714804881867688e-63,1.8917331533401393e-36,3.432687385388849e-42,4.7034708220482016e-49,4.0428223155694031e-53,1.938616989025641e-64,4.202580899630978e-69,3.5846210679644032e-76,1.4681664337483647e-61,1.7954692011786939e-62,8.5658974932588446e-42,1.0299094226065596e-51,6.2585811772445716e-61,2.7002461529198161e-71,2.4481188577289914e-72,1.1185440023101552e-72,1.6243615104819249e-69,8.5670515743946866e-69,5.1722694704429627e-78,1.1099203626469194e-81,9.2780512825962713e-32,1.701288152118406e-49,3.0420627439384391e-22,1.7705133459035729e-54,1.2837012846145665e-65,2.6176992328190993e-29,1.4776946595994734e-89,1.0704938629211678e-91,2.1084199952894163e-93,9.0084218486728918e-44,5.2187767704266497e-46,7.7810533478820428e-91,6.3857894613313969e-98,3.7240278775729947e-97,3.8705954288247982e-102,1.190889030544861e-39,9.776594669586447e-104,3.1249109548760146e-38,1.4213602878057591e-34,1.4332875854228221e-42,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999976,0.0001,0.10889011
3.1e-14,0.0038182456508660716,2.1872021856278187e-18,2.187201570357177e-18,2.1113609771304786e-18,2.1113611977293945e-18,8.8653816156950014e-25,2.7654762682365396e-20,4.9553609761165497e-25,3.3108617279602249e-25,1.330555639350718e-20,6.0225967067161963e-26,3.2966722568662219e-25,3.182360784600113e-25,4.084425070616814e-32,1.4930354186470882e-37,1.093253367224506e-20,4.9484813352500134e-26,1.3325631580026357e-32,2.4710272671479801e-21,2.4176388383651713e-27,4.8710980946610411e-38,2.9387425539221326e-32,1.3399851886450749e-44,2.3114452316265505e-48,1.8110521020317478e-26,1.6494864708086005e-46,5.507964233221856e-39,1.0555525239099426e-44,7.3894124372358419e-46,1.5683407610503617e-21,2.1819608625428196e-34,3.281557187744058e-33,2.0957328563256952e-26,1.5694619041573705e-56,3.7800431891129825e-41,1.4917050132851241e-44,1.6246953776567064e-46,1.7945145124774642e-33,7.3790849153899473e-41,2.4114370665437492e-45,4.0920145872342074e-33,1.4958113779977001e-38,5.0930498115768355e-53,1.7928133919615674e-34,9.0080014300670482e-46,1.7782329627584826e-58,9.9067625079037182e-47,4.0959372935818151e-33,1.4972440854601732e-38,5.3557669572479285e-39,1.8599702853000086e-42,2.3638905059493871e-28,7.9209966590088e-53,7.7105225066516387e-54,1.2697801036811831e-60,1.5966156412668434e-35,5.8363297734903285e-41,1.6055101166696457e-47,2.7656334750075301e-51,3.9221724499510788e-62,5.7554264160621641e-67,9.8213255041967306e-74,1.8129470511831822e-59,4.4375278644552186e-60,1.4563939855395982e-40,1.7510790361674776e-50,2.0214802654195998e-59,1.5647160285593128e-69,2.2970902394026257e-70,1.8462933028042201e-70,3.8289201602337872e-67,1.0088547323522246e-66,9.7147899579236078e-76,4.1721956334484481e-79,3.8672562525528608e-31,5.8077496097009239e-48,6.2262542424073479e-22,1.2112792960638481e-52,3.4162633770584189e-63,1.091106997820407e-28,1.103214838759566e-86,1.5680712326568134e-88,6.177425395642433e-90,1.5227910677910521e-42,1.7714583965552058e-44,8.4775220694501996e-88,1.3915584450521175e-94,8.1152333531273877e-94,6.2493169903779369e-99,4.9638308605019334e-39,3.1571994629773316e-100,2.6375216133093445e-37,1.1996257307672416e-33,1.2096923511590251e-41,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999959,0.0001,0.10889011
6.300000000000001e-14,0.0038182456508660716,4.4243404315195902e-18,4.4243379242593579e-18,4.2709252051253991e-18,4.2709261040775698e-18,3.6126902545409945e-24,5.594102738678519e-20,2.019335747986656e-24,1.3491939694414881e-24,2.6914763868447389e-20,2.4542178383558895e-25,1.3434113291317191e-24,1.2968286612991396e-24,3.3428579821511651e-31,2.4494713579783453e-36,2.2114562984854917e-20,2.0165158510217831e-25,1.0906250657343881e-31,4.9989535434497812e-21,9.8528224481904846e-27,7.9915257844895218e-37,2.4051827830469098e-31,4.4011627658969024e-43,1.5193005795142008e-46,7.3801328294059158e-26,2.7265568875150975e-45,8.9747071069618008e-38,3.49449579285442e-43,2.4104262561157529e-44,3.1724886762651006e-21,1.7858002057215342e-33,2.6857327851284047e-32,8.5402206413363926e-26,1.7541499075292047e-54,3.0937461551536822e-40,4.8622200153545628e-43,2.6646714615910105e-45,1.4687115902422242e-32,1.2105844554465394e-39,7.9215900235253234e-44,3.3490421458170506e-32,2.4540082868318658e-37,1.6725712122334668e-51,1.4673082277527329e-33,2.9591581105764282e-44,1.168658113688033e-56,3.2544283169910543e-45,3.3522557673840613e-32,2.4563590717215609e-37,8.7866387286704322e-38,3.0273221153773842e-41,9.6329813590793531e-28,4.8201802937459659e-51,9.390693071294862e-52,3.0938529047033278e-58,1.3067360469834591e-34,9.575089520254277e-40,5.2732792447858405e-46,1.8178372903089488e-49,6.4584304071616281e-60,7.5672686522479918e-65,2.5819169244521503e-71,1.9919267940020537e-57,9.7561495022737498e-58,2.3893664694312984e-39,2.8728375079062902e-49,5.9948639327971332e-58,7.6763429466666334e-68,1.7785409447167379e-68,2.3049481179354308e-68,7.8695414010161083e-65,1.0360971797752162e-64,1.5046513140620239e-73,1.293134503564617e-76,1.5759306655277957e-30,1.90785940617884e-46,1.2594564809716324e-21,7.9629663218605665e-51,8.3242764799780114e-61,4.4463568416174404e-28,6.742454823833704e-84,1.846262239655068e-85,1.4547933326013612e-86,2.4698177469548897e-41,5.7541224857215504e-43,8.3578716660320874e-85,2.7439673414319807e-91,1.6002204483815072e-90,8.1485897416195894e-96,2.0227868939995209e-38,8.234058800377071e-97,2.1588336364385712e-36,9.8182806063499608e-33,9.9006704010539737e-41,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999907,0.0001,0.10889011
1.2700000000000001e-13,0.0038182456508660716,8.8986167332948077e-18,8.8986066153747181e-18,8.5900496071881821e-18,8.5900532348634251e-18,1.4578831168525435e-23,1.1251390454474848e-19,8.1489265179757747e-24,5.4446062861053081e-24,5.4132788654979921e-20,9.903692792528719e-25,5.4212678650469325e-24,5.2332847563803138e-24,2.7025925882300916e-30,3.9641328638779695e-35,4.4478301631690063e-20,8.1374146512845415e-25,8.8173785916672195e-31,1.0056269463126598e-20,3.9767148644718317e-26,1.293322073980147e-35,1.9445084947110736e-30,1.4246682938515736e-41,9.8383198374533193e-45,2.9782149515761964e-25,4.4291904440313705e-44,1.4474612734770738e-36,1.135986559108185e-41,7.7778674704245746e-43,6.3807853775544761e-21,1.4437545394687422e-32,2.1712864422786934e-31,3.4463614407563412e-25,1.7473709341087869e-52,2.5012043613361629e-39,1.5503426026048002e-41,4.3098151399114122e-44,1.1874197894846356e-31,1.9590774055203425e-38,2.5650546661301418e-42,2.7075479992198752e-31,3.9714192638494798e-36,5.4126452800708153e-50,1.1862672820428379e-32,9.5820629616128168e-43,7.5655804209651631e-55,1.0538335650700813e-43,2.710151151679355e-31,3.9752246163848538e-36,1.4219891900305419e-36,4.8229828154205332e-40,3.8873428025225175e-27,2.6947490629315322e-49,1.0507509393228501e-49,6.9253653782449405e-56,1.0564562665830624e-33,1.5496021441584063e-38,1.7069770456155714e-44,1.1771527440651245e-47,8.7683889641092125e-58,9.7988463068648397e-63,6.6813066575672005e-69,1.9411519787312252e-55,1.9025997829083258e-55,3.8668904300783953e-38,4.6493583177963858e-48,1.6246681288171908e-56,3.0892297226113441e-66,1.1642509034287241e-66,2.1745322678393423e-66,1.4185301241839492e-62,9.3317475547132741e-63,1.9685737883954494e-71,3.3856958563662221e-74,6.3596147928005667e-30,6.1778126873656895e-45,2.5330896259973668e-21,5.1581389658476844e-49,1.863534965204726e-58,1.794335491453871e-27,3.433271906785005e-81,1.7513158775197797e-82,2.7602403492271031e-83,3.9079672705223907e-40,1.8224198057294157e-41,7.527185576889167e-82,4.942722722663054e-88,2.8824941692683578e-87,8.8304524463004446e-93,8.1628504049157073e-38,1.784753815477611e-93,1.7456376470582402e-35,7.9378601178339676e-32,8.0044704414491433e-40,0.88130563799999995,0.0,0.0,0.0,0.009891189999999982,0.0001,0.10889011
2.55e-13,0.0038182456508660716,1.7847168576802132e-17,1.7847127930882294e-17,1.7228282195638628e-17,1.7228296768810207e-17,5.8566424440873351e-23,2.2566104983044172e-19,3.2736043082272435e-23,2.1872211857897323e-23,1.0856727767606035e-19,3.9783896182210026e-24,2.1778433189362793e-23,2.102325435059168e-23,2.17301361189103e-29,6.3771008576813357e-34,8.9204499085283371e-20,3.268873450325569e-24,7.0896381708667061e-30,2.0176754728678065e-20,1.5980634917592839e-25,2.0805783276715887e-34,1.5634713125151572e-29,4.5813321492581778e-40,6.3281234997235689e-43,1.1964148857296947e-24,7.1386698742221738e-43,2.3245331455478513e-35,3.6627674462452338e-40,2.4985134446054531e-41,1.2797382261000584e-20,1.1608361038003127e-31,1.7457510736834597e-30,1.3844788690257109e-24,1.5373509925441034e-50,2.01110501440439e-38,4.8405893795417572e-40,6.9248842031047742e-43,9.5476470866686146e-31,3.1512874441227809e-37,8.253731578255686e-41,2.1769267946676578e-30,6.3886423461640456e-35,1.7395829747403094e-48,9.5380920087155186e-32,3.0833718578597761e-41,4.8635306561554031e-53,3.391187827965547e-42,2.1790279623953399e-30,6.394767009261686e-35,2.2875297715490707e-35,7.5241541082096035e-39,1.561633535676161e-26,1.3566258124968912e-47,1.0590160742720175e-47,1.3963526606157394e-53,8.4944523167719455e-33,2.4928626464958759e-37,5.4891723262963871e-43,7.5716055912146544e-46,9.8914417110457325e-56,1.2599057273321146e-60,1.715232051738971e-66,1.6696824433672758e-53,3.2752860097868206e-53,6.2207604710610674e-37,7.4796340933537255e-47,3.9397197473422251e-55,9.8820744957205947e-65,6.7523400819812528e-65,1.6172621140248168e-64,2.2697809901351493e-60,7.4606042118503708e-61,2.2771894564365983e-69,7.8368897959282768e-72,2.5548197512562761e-29,1.9879097330149427e-43,5.0802400696218153e-21,3.319928483622484e-47,3.7582530992934593e-56,7.2084909349381113e-27,1.5059936721892033e-78,1.3509566110331016e-79,4.2589879523214334e-80,6.0182027838391368e-39,5.6180076629826487e-40,6.0899380232562343e-79,7.9983947642598536e-85,4.6645152352703425e-84,8.110470260731051e-90,3.2791954025018631e-37,3.2787435783469498e-90,1.404043149162215e-34,6.3825760491764933e-31,6.4361352816055949e-39,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999647,9.9999999999999991e-05,0.10889011
5.11e-13,0.0038182456508660716,3.5744269223565834e-17,3.5744106295267744e-17,3.450468251010399e-17,3.4504740926340579e-17,2.3476257302187096e-22,4.5196090406717368e-19,1.3122176949234272e-22,8.767449911503772e-23,2.1743001432143133e-19,1.5946146996126367e-23,8.7298404339950703e-23,8.4271212649641983e-23,1.7426545042600155e-28,1.0229788809737212e-32,1.7865177521978311e-19,1.3102361422607084e-23,5.6856268197705554e-29,4.0441138627817453e-20,6.4100463559497137e-25,3.3375827790634169e-33,1.2538199526156038e-28,1.4678422504080912e-38,4.0552534899084394e-41,4.795804676220678e-24,1.1462249767103642e-41,3.7256672863518726e-34,1.1763765949357988e-38,8.009562027381957e-40,2.5630589930787673e-20,9.3091732096235488e-31,1.3999026305025332e-29,5.5496486929386301e-24,1.2068564345761538e-48,1.6128391881566148e-37,1.4658422073073142e-38,1.1081931047317771e-41,7.6571229661057685e-30,5.0542195293142358e-36,2.6478213217966589e-39,1.7456785003942204e-29,1.024772512510575e-33,5.5673578407590327e-47,7.6489977501328651e-31,9.892146905774889e-40,3.1131981225936328e-51,1.0880337424217269e-40,1.7473765412978674e-29,1.0257559564622854e-33,3.6694492967999326e-34,1.1380731334908575e-37,6.2597911208515731e-26,6.053903373570503e-46,9.463761985449722e-46,2.496163621824067e-51,6.8122129599662967e-32,3.9989672505550938e-36,1.758720376271174e-41,4.8521403109266321e-44,9.3991501686145514e-54,1.6130105225856908e-58,4.3769933087516502e-64,1.2866639677181639e-51,5.0513268333115459e-51,9.9792963354431074e-36,1.1999089471888057e-45,8.458536469816264e-54,2.5228522563095447e-63,4.2990787769947337e-63,1.197823086970887e-62,3.3153390800500947e-58,5.4454241310612356e-59,2.8760776118965998e-67,1.9788738762376683e-69,1.0241116700305251e-28,6.3775136757136446e-42,1.0174077789594804e-20,2.130269181176013e-45,6.7213432420300642e-54,2.889707676946463e-26,6.8803929463586296e-76,9.9410109118238572e-77,6.2681472257198558e-77,8.8929099187422201e-38,1.6626322448042372e-38,4.3633505776845378e-76,1.1462328605016594e-81,6.6846510187456524e-81,6.4818335374656817e-87,1.3144569181532511e-36,5.2411258540189317e-87,1.1267255580466991e-33,5.118777182660602e-30,5.1617313258514295e-38,0.88130563799999995,0.0,0.0,0.0,0.00989118999999993,9.9999999999999978e-05,0.10889011
