Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908)
0.0,0.0033846723178707744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0
1e-15,0.0033846723178707744,2.7703376682168129e-21,2.7703376564404758e-21,2.68185833399497e-21,2.6818583309533646e-21,1.7045854702621225e-29,1.0087054823340001e-22,3.1849068401882599e-29,2.132959769212677e-29,4.7989146793625136e-23,1.1640888819401843e-29,2.1247957676954446e-29,2.0569338223387502e-29,6.5812056719356253e-38,1.5964252035769808e-44,3.9774359912455329e-23,9.648200459975282e-30,2.2817599822873775e-38,9.5481438458831763e-24,4.2556462577712594e-31,5.5349419295779513e-45,4.1306725227080843e-38,4.446453529809945e-53,2.837271292556745e-58,5.5519642216437998e-31,5.5600467160332879e-54,6.7739182124809543e-46,2.1581842255792097e-53,5.2888804037378749e-54,3.9904620676858656e-24,1.505630264762013e-39,1.4291576639290351e-38,5.9775011106824242e-31,2.6586913987856648e-68,4.0309789615870472e-48,5.1758731434026443e-53,1.1045002951845611e-54,4.1172424325597376e-39,1.9957162166351147e-48,3.2227038632678836e-54,1.3353911764527618e-38,3.2393033605229256e-45,1.1635909059855601e-62,1.2478963452799601e-39,4.7982833030297296e-54,2.8225617549795098e-69,8.4241508089138359e-55,1.3356381679539903e-38,3.239902450038503e-45,6.2120513863858511e-46,1.4136520440115273e-49,3.0606077534797375e-32,2.0194193891924275e-63,1.0537241924302527e-65,1.1267208369137591e-73,3.4923234473123222e-41,8.4714465730043871e-48,6.8054723033867559e-56,4.3337827263405462e-61,1.5950233756275321e-75,3.67110497650259e-79,1.0293963370534358e-87,4.0235410186037216e-71,5.4030109977311394e-73,6.24906241082051e-48,7.3316715445164061e-59,3.3134081274328845e-69,1.1470180185347003e-80,1.2537046410620296e-82,7.9254071406654968e-84,1.9039769926224421e-81,8.4968481837721636e-80,3.5691352859019294e-89,8.7507611121382641e-94,3.2965469569693128e-35,3.0290991065800615e-57,4.3158364064683497e-25,1.5843681204596693e-63,1.9214477505936792e-76,9.3314672593524767e-33,3.6079298428450408e-103,2.7725710630764815e-106,5.3356361967949385e-109,1.1714726210860297e-49,6.1841647408382962e-53,-1.1754199624460977e-104,-1.2568492352048432e-112,-2.6504133304047236e-112,-1.4412620624128844e-117,5.1763234418029327e-45,-3.2649381022890558e-120,1.4879299201721073e-42,2.7599492227697033e-39,1.5937639814480556e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.3370853273919562e-48,4.9673267438777379e-50
3.0000000000000002e-15,0.0033846723178707744,9.1025380013041972e-21,9.1025379239168383e-21,8.8118201510906656e-21,8.8118201311029764e-21,1.1201561613497033e-28,3.3143180797049026e-22,2.0929387674394193e-28,1.4016592725336383e-28,1.5767858622099778e-22,7.6497258090009277e-29,1.3962943542782341e-28,1.3516993603995458e-28,6.2051361336439974e-37,1.9613221943457129e-43,1.3068715051148789e-22,6.3402451243926104e-29,2.1513735129852454e-37,3.1372484941522806e-23,2.7965680129386162e-30,6.8000709080065654e-44,3.8946337492293199e-37,6.7331918868128388e-52,5.1070824735025844e-57,3.6484335564731915e-30,7.1563372274571466e-53,8.1719692178616536e-45,3.3944234078206645e-52,7.8915470830805202e-53,1.3111518442522065e-23,1.4195941036237548e-38,1.3474912481854758e-37,3.9280720749693668e-30,5.5362977024609193e-67,3.8006369957261071e-47,7.8372113088038137e-52,1.3569544606558708e-53,3.881971444871556e-38,2.4518793182182235e-47,4.8800935035305031e-53,1.2590828643309879e-37,3.9797148913620098e-44,1.7620055581596199e-61,1.1765878673755861e-38,7.2659704404147989e-53,5.0806025662316373e-68,1.2756569503486306e-53,1.2593157505215879e-37,3.9804509230355514e-44,7.6319477267593583e-45,1.7366248608209568e-48,2.0112565363090913e-31,3.7501542752341644e-62,2.2578470489748656e-64,2.7361788723619043e-72,3.2927618434352702e-40,1.0407776374291378e-46,1.0305415540460849e-54,7.8008000253938885e-60,3.8495292337509705e-74,7.6568649151029462e-78,2.4411295395812058e-86,8.3767161124347415e-70,1.279238845453616e-71,7.6774190125999099e-47,9.0074816246481464e-58,5.0113709913063171e-68,2.0598628367860154e-79,2.5890404606760895e-81,1.8557641257799875e-82,4.5029721792379023e-80,1.7667672564998099e-78,8.3903766892193303e-88,2.3071637752396105e-92,2.1663023048681363e-34,4.586920799178246e-56,1.418058674917512e-24,2.8518622480402284e-62,4.6661299327352206e-75,6.1321075665791488e-32,1.0542456652585736e-101,8.8921407411458437e-105,1.8636825266101688e-107,1.4390610861691791e-48,9.3636594996829212e-52,4.869745854789088e-103,4.8480062344875892e-111,1.0223358282169145e-110,5.5841947906487843e-116,3.4015839570324739e-44,1.1717219693881719e-118,1.4029055618567047e-41,2.6022378595585285e-38,1.4889283597866859e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.6427044978593317e-47,6.0598189759670654e-49
7e-15,0.0033846723178707744,2.018388828078707e-20,2.0183887860203608e-20,1.9539252804661065e-20,1.9539252696032321e-20,6.0878050541761842e-28,7.3491405165455037e-22,1.1374666745553238e-27,7.6177132828698546e-28,3.4963487528204814e-22,4.1574556844386415e-28,7.588556013309839e-28,7.3461918731489881e-28,1.0022225512136451e-35,9.9206292712871233e-42,2.8978434484814091e-22,3.4457822385428363e-28,3.4747914561831843e-36,6.9565154485414955e-23,1.5198755897287928e-29,3.4395670734281297e-42,6.2904185139427145e-36,1.1119703633838218e-49,2.8432895289123363e-54,1.9828440593107274e-29,4.0867072352680498e-51,3.9627525788890603e-43,6.379119041171769e-50,1.2454928172449764e-50,2.9073368397697637e-23,2.29285740400703e-37,2.1763986298069625e-36,2.1348214846493704e-29,1.029808525243097e-63,6.1385999993424574e-46,1.292993541712289e-49,6.8634801209554042e-52,6.2699717729509648e-37,1.2401910171808079e-45,8.0594972002616577e-51,2.0336059703849589e-36,2.0129912797869463e-42,2.9098817660685853e-59,1.9003659680249356e-37,1.1999783735238626e-50,2.8285196245103955e-65,2.1067552402620717e-51,2.0339822425531187e-36,2.0133636198817611e-42,3.8603388554659081e-43,8.775135888082044e-47,1.0930742490539588e-30,2.3546500290976837e-59,4.9165097905750563e-61,2.1031028984137983e-68,5.3183053715275711e-39,5.2643933901583341e-45,1.7019146901226332e-52,4.34297587964551e-57,2.5725215208079314e-70,1.4723072552992683e-74,1.6514921348079785e-82,1.5519638178917715e-66,8.3374960562000046e-68,3.8833425016028447e-45,4.556106499662151e-56,8.1294595093466351e-66,1.0904308868814838e-76,4.0851619767845418e-78,9.8603435313258493e-79,2.8627359800431261e-76,3.1933705608944621e-75,4.6522596629173251e-84,4.5627714586385744e-88,1.177338275816692e-33,7.5753255782540215e-54,3.144379014997154e-24,1.5877593117555727e-59,3.5865348685696228e-71,3.3326689609056121e-31,7.5076828588140444e-97,2.2943793625522794e-99,1.7661565695502822e-101,7.2682602628252356e-47,1.5441197617099128e-49,6.8953328476174054e-98,2.9492123873426064e-105,6.2192330950194283e-105,2.8637878845553668e-110,1.848686865677368e-43,2.5949741263295897e-112,2.2659074438177319e-40,4.2030083049070832e-37,2.2199066514282622e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,8.3090075211005819e-46,2.8281351166517645e-47
1.5e-14,0.0033846723178707744,4.2346587838410794e-20,4.2346585977749742e-20,4.0994116374759732e-20,4.0994115894186243e-20,2.6932448306291408e-27,1.5418786682049713e-21,5.0321522237156114e-27,3.3700762425687848e-27,7.3354669457244282e-22,1.839255459322315e-27,3.3571769892559973e-27,3.2499550620523028e-27,9.32084387515188e-35,1.9079958013915057e-40,6.0797810908987933e-22,1.524411743601447e-27,3.2316172594193136e-35,1.4595073325398158e-22,6.7239418793240597e-29,6.6151861937741887e-41,5.8501998140641838e-35,4.3623951261236922e-48,2.2553399558171758e-52,8.7721001719290471e-29,8.1091806455938282e-50,7.5418483079059646e-42,2.5819147434918139e-48,4.8353157802220955e-49,6.0997072595641896e-23,2.1323972470951854e-36,2.0240858659171716e-35,9.4444480784673982e-29,1.5710608488631901e-61,5.7090064542182268e-45,5.0651629187660451e-48,1.3199753782267259e-50,5.8311910011008627e-36,2.385204378008221e-44,3.1619191137870585e-49,1.8912864159348945e-35,3.8715027449535847e-41,1.1415661916143526e-57,1.7673735112593056e-36,4.7077805043274722e-49,2.2435930499024822e-63,8.2652774706898044e-50,1.891636539507448e-35,3.8722189831339501e-41,7.4244325730505961e-42,1.6851153329548314e-45,4.8357608051245662e-30,1.8875675555318361e-57,7.9279535278377969e-59,6.8026778591388693e-66,4.9461180722467618e-38,1.0124805451140144e-43,6.6768198368702791e-51,3.4449143484471221e-55,7.0404923301464926e-68,2.3491883315814621e-72,5.2854014119815171e-80,2.3554773208969651e-64,2.5387791763309715e-65,7.4686851462387118e-44,8.7625875090262576e-55,3.1091682567219079e-64,8.0699296160830568e-75,5.1552506274517316e-76,2.3969563201665625e-76,8.4518282960432782e-74,4.698764466015577e-73,1.1784331330633332e-81,2.3159768206695245e-85,5.208545022046919e-33,2.9719704107797838e-52,6.596983493097181e-24,1.2594671907138295e-57,1.1601055193555098e-68,1.4743740749199793e-30,7.6055493383959977e-94,4.6151338701732219e-96,7.1069908077787973e-98,1.3948015503825546e-45,6.0449005206464581e-48,8.6852551600645069e-95,7.4325017715064066e-102,1.5673505900151933e-101,5.9947006046123868e-107,8.178590197899478e-43,1.086658809584759e-108,2.1073399987015726e-39,3.9088764471468342e-36,1.8404107770959765e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.5980357518451771e-44,4.8716594281954657e-46
3.1e-14,0.0033846723178707744,8.6671982948290553e-20,8.6671975192733541e-20,8.3903836566789663e-20,8.3903834563676547e-20,1.1225910976276766e-26,3.1558084180305087e-21,2.0974881235848061e-26,1.4047061892425307e-26,1.5013672978429978e-21,7.6663121299403221e-27,1.3993294935856442e-26,1.3546375072268328e-26,7.8667541666492626e-34,3.244019050182471e-39,1.2443631398598828e-21,6.3539938912796946e-27,2.7274731397432245e-34,2.9872284951337435e-22,2.8026656992060177e-28,1.1247299052671644e-39,4.9375468945601479e-34,1.4891400806349513e-46,1.5429001179306422e-50,3.6563620481811013e-28,1.399672940666739e-48,1.2759030240191921e-40,8.9509301116969895e-47,1.6422545399291259e-47,1.2484449814156048e-22,1.7997346016504042e-35,1.708315765844514e-34,3.9366081456697506e-28,1.9784508776043404e-59,4.8183811006386134e-44,1.7240339858217321e-46,2.2440819389005043e-49,4.9215151609748142e-35,4.0553584852748728e-43,1.0794019584361401e-47,1.5962339114051076e-34,6.5824039757688502e-40,3.8967242092196229e-56,1.4916562576641886e-35,1.6071211317744617e-47,1.5348214219618117e-61,2.8215709241750057e-48,1.5965297191959343e-34,6.5836221811594342e-40,1.2623173376221912e-40,2.8564648440945574e-44,2.0156293183539221e-29,1.2606907658250503e-55,1.0603587450160763e-56,1.8208593166089746e-63,4.1745062138099913e-37,1.721444319586915e-42,2.2791891953437192e-49,2.3567004871900105e-53,1.4411846502486654e-65,3.2174643441723089e-70,1.448261808349582e-77,2.9397328476564244e-62,6.3415789608211025e-63,1.2698448134218068e-42,1.4898376872483502e-53,1.010869325914916e-62,4.8428856472911749e-73,4.8688603676508611e-74,4.2098180184577426e-74,2.0054491778627193e-71,5.569987963598799e-71,2.228227356839315e-79,8.764183515538763e-83,2.1710123838679281e-32,1.014559832060043e-50,1.350204764556762e-23,8.6165834273813341e-56,3.1052750865190779e-66,6.1454579019957457e-30,5.7231205601599345e-91,6.8418162433348203e-93,2.1073729454507538e-94,2.3612060211172295e-44,2.0548054087712274e-46,9.5175903994857036e-92,1.6290530867961207e-98,3.4353169232503605e-98,9.8238399244216411e-104,3.4089779696414428e-42,3.5617692151891714e-105,1.7785974700143904e-38,3.2990851962576033e-35,1.2782976947385788e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.7170071586951754e-43,6.8617332183054357e-45
6.300000000000001e-14,0.0033846723178707744,1.7532275714658222e-19,1.75322725542277e-19,1.6972324915818894e-19,1.6972324099539952e-19,4.5746187717589509e-26,6.3836699845442919e-21,8.5473755712673078e-26,5.7242531456788578e-26,3.0369963632758783e-21,3.1240443493460029e-26,5.702342308226786e-26,5.5202198311603927e-26,6.4384711390203178e-33,5.322151571841051e-38,2.5171232106483704e-21,2.5892716301053282e-26,2.2322770375762111e-33,6.0427091691424129e-22,1.1421095881180606e-27,1.8452383112388725e-38,4.0410924273565413e-33,4.8914223734306779e-45,1.0142145471279396e-48,1.4899860754888008e-27,2.3136417550352162e-47,2.0880777425801779e-39,2.9633068092894006e-45,5.3812206914568418e-46,2.525394178307773e-22,1.4729759532877942e-34,1.3981477633087528e-33,1.6041877323676192e-27,2.2407465208531246e-57,3.9435636536444402e-43,5.6304405357849021e-45,3.6810902105326844e-48,4.0279903875903091e-34,6.6531673115561987e-42,3.5459006155967618e-46,1.3064159746306433e-33,1.079906953534326e-38,1.2798979458525683e-54,1.2208324470468374e-34,5.279488987335033e-46,1.0088482048163143e-59,9.269077267287204e-47,1.306658573552662e-33,1.0801069571462282e-38,2.0709565602431657e-39,4.6583768137463197e-43,8.2138009447793103e-29,7.7511152783665749e-54,1.304734334505431e-54,4.4823506796853273e-61,3.4165899491211795e-36,2.8242129849049202e-41,7.4865257461118381e-48,1.549161675338006e-51,2.4122632643218575e-63,4.2310126212187969e-68,3.8080592427464993e-75,3.2829270763988208e-60,1.4170544622856789e-60,2.0833177993650351e-41,2.4442409237163006e-52,3.0320462217639701e-61,2.5102269978333968e-71,3.7443371504911549e-72,5.6809367698615111e-72,4.1588339710943641e-69,5.7719081512845476e-69,3.4291717963813387e-77,2.6991962720696561e-80,8.8469964383375452e-32,3.3329016152170177e-49,2.731159677164705e-23,5.6646356110414714e-54,7.6443702677561532e-64,2.5043161973152316e-29,3.4838921912803175e-88,8.0864242244250362e-90,4.9818858457518195e-91,3.8405904499076591e-43,6.693272024331697e-45,9.4797719447910182e-89,3.2453078866427488e-95,6.8436525239946985e-95,1.3038861401178998e-100,1.3891766814950392e-41,9.4555167488180288e-102,1.4556945616539549e-37,2.7001207337705233e-34,7.7061756905245869e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.4574989680496416e-42,8.3719472346445993e-44
1.2700000000000001e-13,0.0033846723178707744,3.5262424145731631e-19,3.5262411391974497e-19,3.4136196317041696e-19,3.413619302299141e-19,1.8460647475326652e-25,1.283940138473417e-20,3.4492504885535692e-25,2.3099942347995928e-25,6.1082059307703952e-21,1.2606774206697429e-25,2.3011518094966227e-25,2.2276569907355016e-25,5.2053000728903568e-32,8.6132340803980199e-37,5.0626033900382381e-21,1.0448757504862212e-25,1.8047289250713505e-32,1.2153823911886462e-21,4.6089938049215602e-27,2.986291709783319e-37,3.2671009378938457e-32,1.5836011914930851e-43,6.5685709052524155e-47,6.0127568035625607e-27,3.7584619926300095e-46,3.3751069289909005e-38,9.6331769337367324e-44,1.7403314792017631e-44,5.0792953157680536e-22,1.1908545113273659e-33,1.1303464885829993e-32,6.4736109099547808e-27,2.271828692659628e-55,3.1882542139625302e-42,1.8021529426543944e-43,5.9555702902809843e-47,3.2565390317147689e-33,1.0767085494211702e-40,1.1482188552096825e-44,1.0561851362355135e-32,1.7476774179768892e-37,4.143221376153812e-53,9.8700499289342545e-34,1.7095816280099888e-44,6.533092428113463e-58,3.0015042617203421e-45,1.0563820743020916e-32,1.7480015656711403e-37,3.3515615533316469e-38,7.4501248611970002e-42,3.3146416353388773e-28,4.4053878773454093e-52,1.4840975458493937e-52,1.0199922413459877e-58,2.7622120848838207e-35,4.5706472138065399e-40,2.4237713130867944e-46,1.0033176689870152e-49,3.3461175154439772e-61,5.480470989952864e-66,9.8580638003740243e-73,3.2668407143146707e-58,2.8217713083347461e-58,3.3716042995384079e-40,3.9557191361905401e-51,8.3618898715155018e-60,1.0876603494578449e-69,2.3834175715049205e-70,5.8077724915353007e-70,7.5706401879563578e-67,5.2499836484707337e-67,4.3660143245178891e-75,6.8778968338803187e-78,3.5701655003040943e-31,1.0792537177420945e-47,5.4928378596780097e-23,3.6694648193979208e-52,1.7396310476696336e-61,1.0106118408791238e-28,1.7344126663968299e-85,7.6061319454086289e-87,9.3729920401148563e-88,6.1107129142731884e-42,2.1314606474015305e-43,8.6787157274466127e-86,5.9424086184316045e-92,1.2531268117050298e-91,1.4402333186326897e-97,5.6059530783751389e-41,2.0890144510972286e-98,1.1769122985300044e-36,2.1829870287377175e-33,4.061037909793643e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.2137903407999916e-41,8.9377676868826991e-43
2.55e-13,0.0033846723178707744,7.0722695373556846e-19,7.072264413888253e-19,6.8463894651316635e-19,6.8463881418401275e-19,7.4160562906112942e-25,2.5750897251455535e-20,1.3856408389318933e-24,9.2797669779106498e-25,1.2250430820767413e-20,5.0643019302062168e-25,9.2442416347750843e-25,8.9489948899424773e-25,4.1853170290997528e-31,1.3856312921550545e-35,1.0153403906621067e-20,4.1974040028909471e-25,1.45109654553635e-31,2.4376666971829026e-21,1.8515901490549236e-26,4.8041346335499082e-36,2.6269187755432595e-31,5.0939230495549e-42,4.2262233020883413e-45,2.4154527239637145e-26,6.0577312185752835e-45,5.4262108251165669e-37,3.1060790962021359e-42,5.5969185999011762e-43,1.0187108563638627e-21,9.5750568256193884e-33,9.0883528570084922e-32,2.6005873363701681e-26,2.0372290321675245e-53,2.5635257282418587e-41,5.6682258598213607e-42,9.5750422077900766e-46,2.6184758127389425e-32,1.7320523204669752e-39,3.6949289305667558e-43,8.4920735283887653e-32,2.8114771574823733e-36,1.3324442645353619e-51,7.9360149495443346e-33,5.5013709947463239e-43,4.2024664666958663e-56,9.658931175087206e-44,8.4936699427301181e-32,2.8120001237562145e-36,5.3916666245789632e-37,1.1708995281633629e-40,1.3315682819874184e-27,2.2685700912001954e-50,1.5298841365610277e-50,2.1036461885688571e-56,2.220965948315073e-34,7.3529501770554349e-39,7.7964972441074169e-45,6.4553727769150488e-48,3.8740516277927677e-59,7.0510885701241779e-64,2.5327374405064703e-70,2.871454510468811e-56,4.9638105880162955e-56,5.42403093485097e-39,6.3637299336191482e-50,2.0739820272463197e-58,3.7733747909768618e-68,1.2747383229960444e-68,4.4548876603550967e-68,1.2218569857108433e-64,4.2335987144919488e-65,4.6654118249800348e-73,1.4710183862261526e-75,1.4342187227538383e-30,3.4730485640662847e-46,1.1015267884572723e-22,2.3619113733961663e-50,3.588242496815248e-59,4.0599143047829238e-28,7.0895565287843889e-83,5.5981852220544855e-84,1.3799261566703326e-84,9.5095350626791034e-41,6.6388122633055758e-42,7.1813651528803721e-83,9.8348785206969169e-89,2.073967829627114e-88,1.3461589918219191e-94,2.252036637990797e-40,3.9054464609648881e-95,9.4634248349440603e-36,1.7552688756864825e-32,1.9156866505492342e-42,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.1604634244511939e-39,8.5362365691036488e-42
5.11e-13,0.0033846723178707744,1.4164313529206529e-18,1.4164292991885262e-18,1.371191134476441e-18,1.371190604038847e-18,2.9727154268245214e-24,5.1574021231812834e-20,5.5543174506048733e-24,3.7197826369720892e-24,2.4534103688731154e-20,2.0299201993116131e-24,3.7055396796785731e-24,3.5871891925712094e-24,3.3564382009905386e-30,2.2228172662237391e-34,2.033436562340686e-20,1.682446102343746e-24,1.1637242423345239e-30,4.882480735391355e-21,7.4225046069542806e-26,7.7068031464132529e-35,2.106686652532196e-30,1.6330393026417581e-40,2.7098805930436654e-43,9.6822544331890608e-26,9.7269243445308738e-44,8.7018158543477444e-36,9.9761355219918334e-41,1.7952658010119933e-41,2.0402778937150951e-21,7.6787721766482115e-32,7.2881529379422664e-31,1.0424357254724191e-25,1.6260121792578566e-51,2.0558541778113038e-40,1.7399647527733165e-40,1.5341545716676107e-44,2.0999948897255594e-31,2.7783049777916075e-38,1.1854952174519119e-41,6.8099864970804234e-31,4.5099771693722651e-35,4.2697483128672861e-50,6.3643469539439848e-32,1.7650783932887885e-41,2.6934569744369337e-54,3.0991326674767875e-42,6.811287495390359e-31,4.5108209261445578e-35,8.6490400588747363e-36,1.7955068394747975e-39,5.3375911496742172e-27,1.0381709027540387e-48,1.401961840830603e-48,3.8569830225311797e-54,1.7811347325254548e-33,1.1795671799968936e-37,2.4994614474770881e-43,4.1392501741350813e-46,3.7826994992149207e-57,9.0386646852393455e-62,6.4731443267512104e-68,2.2531368953380144e-54,7.7952362801400909e-54,8.7013470135724713e-38,1.0208867631464285e-48,4.5580657871377672e-57,1.0349120838221373e-66,5.9505410713705712e-67,2.6543359898061727e-66,1.7958214604155247e-62,3.109270065779281e-63,4.3397215162494891e-71,2.7385690350494949e-73,5.7490701379647501e-30,1.1143364700265349e-44,2.2056424418340926e-22,1.515722520761929e-48,6.5804326270354492e-57,1.6274586994418259e-27,2.4240346173446434e-80,3.1913579729385302e-81,1.5736205399652524e-81,1.431888028262005e-39,2.0014636952429136e-40,5.2760908086041897e-80,1.4452294577939167e-85,3.0476882096990376e-85,1.0856112596383381e-91,9.0272522984300873e-40,6.2996384469044965e-92,7.5900025298762198e-35,1.4077118272992838e-31,8.3850065839913323e-42,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999976,0.0001,0.10889011,1.8614893535052284e-38,7.5438697592519984e-41
