Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341)
0.0,0.0032560624785167324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0032560624785167324,1.1889347378184764e-21,1.188934734086623e-21,1.1517916867386834e-21,1.1517916844686431e-21,5.4437991054342586e-30,5.7777409600388511e-23,1.3996455339425224e-29,9.3818098693553569e-30,2.7454224898196959e-23,6.9227111310472476e-30,9.3458128180955469e-30,9.0538439004969541e-30,2.3570269829635319e-38,5.9433537015365473e-45,2.2803238202863397e-23,5.7499431561638825e-30,8.3027865100861029e-39,5.5496767081740962e-24,2.4674111267023745e-31,2.0935864138148337e-45,1.4276789243108372e-38,1.3895500124352002e-53,7.7627000584290641e-59,2.0865184755894939e-31,1.6235321502901594e-54,2.5469267883574756e-46,6.2939605486077687e-54,1.9861960267354029e-54,2.1289489212932593e-24,8.0983780161367091e-40,6.7346811664296724e-39,2.2190154400872779e-31,4.6767493240627264e-69,7.6310169487809332e-49,1.6563468854084024e-53,2.1516020375947418e-55,1.636479109376872e-39,5.2007745253915133e-49,7.0284784685558537e-55,5.844998299790575e-39,1.4738436572881881e-45,1.9440860327468409e-63,6.7264417609942548e-40,1.726256159404754e-54,4.9021039834460787e-70,3.4655616844397562e-55,5.8449289450324855e-39,1.4738261539113043e-45,2.3836257838988971e-46,4.890268099372384e-50,1.6734945616957629e-32,3.7862589057203477e-64,1.903713331012793e-66,2.0745867547815156e-74,1.4057554625501261e-41,3.5446781242642794e-48,2.3526650529715756e-56,1.3114695451268324e-61,2.0334490407623922e-76,5.7657732844723e-80,1.1405430715321998e-88,7.8341621711777207e-72,1.0183970586486044e-73,1.8745215066820914e-48,1.2579117897550483e-59,4.9767546429650886e-70,1.5138194259624977e-81,1.5109867977729191e-83,9.4396496671356088e-85,1.495676776392894e-82,6.7671095813273953e-81,4.4248343434559639e-90,1.0605080391707908e-94,1.584946781658533e-35,5.9571272419209753e-58,1.5869139744502092e-25,2.4702048544334964e-64,3.1433938842744305e-77,4.591224126612265e-33,3.0375870588322469e-104,2.2271066424599024e-107,4.0205835454047554e-110,4.0612048706764185e-50,1.9827629683516509e-53,-1.1351171122424921e-105,-1.2370046958091017e-113,-1.981976470119051e-113,-8.2524479391042158e-119,8.086080448575671e-46,-1.7129829226280937e-121,7.574427674149405e-43,1.0980652385293301e-39,3.0595062308408613e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.4875216253998868e-49,9.2364510141233733e-51,1.7337239421611806e-52,1.5640006101443959e-55,6.5941826539361527e-52,3.4727998018057226e-54,5.8440394069111801e-60,4.8958711775007545e-61,6.362879682165146e-54,2.8433219091950814e-60,8.7368058905238409e-63
3.0000000000000002e-15,0.0032560624785167324,3.9064998278971052e-21,3.906499803373499e-21,3.7844583625988968e-21,3.7844583476814868e-21,3.5773536827633732e-29,1.8984006263096904e-22,9.1976705949537549e-29,6.1651893225626665e-29,9.0206715868452583e-23,4.5492095298879991e-29,6.1415341076040153e-29,5.9496688147271254e-29,2.2223394965659239e-37,7.3018338490102923e-44,7.4924906479097409e-23,3.7785335606255981e-29,7.8283408797722693e-38,1.8234655493646963e-23,1.6214417290519379e-30,2.5721202334096347e-44,1.3460971636677288e-37,2.1041732004895156e-52,1.3972845956556824e-57,1.3711406790468318e-30,2.08974375603344e-53,3.0851637781921557e-45,9.8996013885544541e-53,2.9734194752269754e-53,6.9951179989501286e-24,7.6356128073676808e-39,6.3498410786044338e-38,1.4582101100356107e-30,9.7390126625469552e-68,7.1949582093467736e-48,2.5080224834889037e-52,2.6433917937882625e-54,1.5429660173304411e-38,6.3895216395136529e-48,1.0643122843193655e-53,5.5109973501591868e-38,1.8107219192476898e-44,2.9438967110753053e-62,6.342073060014252e-39,2.6140445623476341e-53,8.8237745297999859e-69,5.2478498768456189e-54,5.5109319888789276e-38,1.8107004183946095e-44,2.9284541138043035e-45,6.007570786945236e-49,1.0997250046911375e-31,7.0316815554485319e-63,4.0793669808509209e-65,5.0382608478496736e-73,1.325426471648417e-40,4.3548899323353367e-47,3.56260282302763e-55,2.3606428080797108e-60,4.9081496392427937e-75,1.202574083707163e-78,2.7047056752098123e-87,1.6311086113560951e-70,2.411320123778014e-72,2.3029834236088844e-47,1.5454343818741101e-58,7.5274108913858515e-69,2.7188902622070131e-80,3.1208976596357554e-82,2.2111292332263162e-83,3.5374650701758659e-81,1.4071611997741271e-79,1.040355443061759e-88,2.7964409779615727e-93,1.0415364625217835e-34,9.0207915243978645e-57,5.2141382289062885e-25,4.4463682585355382e-63,7.6339256647748022e-76,3.0170903085300966e-32,8.8770220585198501e-103,7.1436343763872672e-106,1.4045102559990932e-108,4.988913679953916e-49,3.002193017136634e-52,4.7026392699605463e-104,4.7713160713235526e-112,7.6447858633901293e-112,3.1971262341453485e-117,5.3137099838965931e-45,6.1469376408333541e-120,7.1416037879125678e-42,1.0353186579093575e-38,2.8585938831469844e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.2846687142715221e-48,1.1265726201759363e-49,2.1464426480839666e-51,2.3831734339578987e-54,8.1014248809959779e-51,3.2743530828910338e-53,7.1797683353930323e-59,6.0149151675184499e-60,5.9992853104864701e-53,3.493223290319775e-59,1.0733787315614916e-61
7e-15,0.0032560624785167324,8.6622385883638265e-21,8.6622384550833731e-21,8.3916248288309715e-21,8.3916247477581004e-21,1.9442139046453525e-28,4.209497202808104e-22,4.9987338185871288e-28,3.3506462996738307e-28,2.0002343882811141e-22,2.4723942133918058e-28,3.3377901697703434e-28,3.2335155393317616e-28,3.5894115965692767e-36,3.6933652049093563e-42,1.6613771355815046e-22,2.0535490324295503e-28,1.2643946463938822e-36,4.0433388745494926e-23,8.8121879607548434e-30,1.301012981292709e-42,2.1741492771025226e-36,3.474999411364366e-50,7.7791854363031393e-55,7.4518503324121547e-30,1.1935358751892894e-51,1.5106182124762405e-43,1.8606957704880387e-50,4.7418977406379482e-51,1.5510914561830178e-23,1.2332660475015421e-37,1.0255938205828561e-36,7.9250536618258424e-30,1.8131812816754873e-64,1.1620938355011559e-46,4.138081184502644e-50,1.3370341225128062e-52,2.4921237938352987e-37,3.2319008767659964e-46,1.757717511378374e-51,8.9010802226197837e-37,9.1588666216920431e-43,4.8617499489326847e-60,1.0243400019103128e-37,4.3171074374687339e-51,4.9124753943637938e-66,8.666856952507347e-52,8.9009751035571019e-37,9.1587580674951199e-43,1.4812503983476931e-43,3.0358448796506728e-47,5.9767665775877395e-31,4.41804975528789e-60,8.8890669212985117e-62,3.8752595013165132e-69,2.1407629849401237e-39,2.2027620618208595e-45,5.8835671468353057e-53,1.3142548486803814e-57,3.2858844693256099e-71,2.3123913466771538e-75,1.829820227720859e-83,3.0254567141307607e-67,1.5734106178701106e-68,1.1648802896222125e-45,7.8170165106866164e-57,1.221829563129145e-66,1.4441597717516072e-77,4.9440143671342381e-79,1.1849118504941969e-79,2.2508652897825709e-77,2.5455810712980686e-76,5.7917103412345204e-85,5.5527183528860718e-89,5.6605244650202372e-34,1.4897893779750799e-54,1.1561735303766625e-24,2.4754931021005315e-60,5.8717817545085381e-72,1.6397235885552064e-31,6.3479183100322021e-98,1.8515386930136913e-100,1.3370305096075622e-102,2.5200271635714944e-47,4.9513363659413495e-50,6.6638846747845652e-99,2.9048174469675356e-106,4.6542131126655189e-106,1.6445499082563077e-111,2.8878857710718958e-44,1.3654552914346593e-113,1.1534777975568997e-40,1.6721964556270814e-37,4.2661615528299958e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.1672407645322258e-46,5.2591734113116405e-48,1.0374911674363094e-49,3.7675345913632982e-52,4.0978158192954866e-49,5.2885612899534143e-52,3.6313142667114339e-57,3.042353454776949e-58,9.689736294906037e-52,1.7669164095652129e-57,5.4292825146659453e-60
1.5e-14,0.0032560624785167324,1.8173715623606283e-20,1.8173715033973619e-20,1.7605957046728412e-20,1.7605956688062085e-20,8.6012019218717788e-28,8.8316908457584326e-22,2.2114396940610239e-27,1.4823258705886235e-27,4.1965643513726101e-22,1.0937855315950625e-27,1.4766382931319394e-27,1.4305071857900222e-27,3.3382151547433957e-35,7.1033054665968669e-41,3.4856295676217803e-22,9.0848875755559327e-28,1.1759092595034879e-35,8.4830922497902053e-23,3.8985153716524376e-29,2.5021880953932588e-41,2.0219972891436215e-35,1.3632892743364923e-48,6.1705877265578778e-53,3.2966977168254726e-29,2.3684015551482369e-50,2.8820613021095543e-42,7.5313511310771818e-49,1.8454569055399982e-49,3.254250992172746e-23,1.1469589398251271e-36,9.5381898040082975e-36,3.5060427963608274e-29,2.7693936844115057e-62,1.0807677131955528e-45,1.621226092614263e-48,2.5713826477599392e-51,2.3177217383149531e-36,6.2157758117209194e-45,6.8959193792039301e-50,8.2781489929595884e-36,1.7614871358099336e-41,1.9073098481695601e-58,9.5265412255439585e-37,1.6936971494724286e-49,3.8966207921489361e-64,3.4002045571192664e-50,8.2780518858815825e-36,1.7614663156605158e-41,2.8488287463145236e-42,5.8304822140587172e-46,2.6441217159919108e-30,3.5443555609072458e-58,1.4344638208166642e-59,1.2544371854487631e-66,1.9909474218051532e-38,4.2364879265505176e-44,2.308203410518749e-51,1.0424904267081536e-55,9.009839256369311e-69,3.6896363866275319e-73,5.8561702209575648e-81,4.5986897268624701e-65,4.7981646856266091e-66,2.2403702724810537e-44,1.5034171344201667e-55,4.6768717075239229e-65,1.0735601008941727e-75,6.2606614784176469e-77,2.9072875691564214e-77,6.6523164819352551e-75,3.7495301591069392e-74,1.4721356508959266e-82,2.8281879958865357e-86,2.504216179266672e-33,5.8447816639959905e-53,2.4256779725259257e-24,1.9636503016494923e-58,1.900730712295019e-69,7.2541415268921536e-31,6.4537589593377639e-95,3.7394803199504285e-97,5.4020278662752941e-99,4.8368082662883664e-46,1.9386560433915802e-48,8.4000679924355183e-96,7.326147760897298e-103,1.1738250067736139e-102,3.4519788697762502e-108,1.2776005992119224e-43,5.7336581246509281e-110,1.0727568601610059e-39,1.5551740235272029e-36,3.5414038332110478e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.1681641038748355e-45,9.0682548980205021e-47,1.804388850680703e-48,1.3398735539556853e-50,7.8811892113503836e-48,4.9184392656811524e-51,6.9830759190985127e-56,5.8510350449766726e-57,9.0116096080977707e-51,3.3982338986050061e-56,1.0441896946212507e-58
3.1e-14,0.0032560624785167324,3.7196667751327474e-20,3.7196665293636584e-20,3.6034618624256917e-20,3.6034617129273767e-20,3.5851299570485558e-27,1.8076080091454106e-21,9.2176633476021361e-27,6.1785911314175093e-27,8.5892062932428745e-22,4.5590743820002782e-27,6.1548841127502385e-27,5.9626015607705894e-27,2.8174399571113059e-34,1.2077208358067621e-39,7.1341195936128061e-22,3.786727981944879e-27,9.9246305706452817e-35,1.7362625899731043e-22,1.6249716692226032e-28,4.2542811826024476e-40,1.7065585868187494e-34,4.6537338518472572e-47,4.2213880404763148e-51,1.3741201295500524e-28,4.0880207899350385e-49,4.8815019020574601e-41,2.6110037637094166e-47,6.2754123627730881e-48,6.660570957789955e-23,9.68028804052893e-36,8.0501751094833223e-35,1.4613787331004711e-28,3.4946903822054659e-60,9.1216395661317606e-45,5.5193760115421088e-47,4.3716467348431254e-50,1.9561531643122379e-35,1.0568164750636357e-43,2.354101559981213e-48,6.9867068977976923e-35,2.9949154200204641e-40,6.5106678375731484e-57,8.0403639059832678e-36,5.7818708442503135e-48,2.6656775823796917e-62,1.1607500239433307e-48,6.9866260265636244e-35,2.9948802149124063e-40,4.8436379050716995e-41,9.8855406257801842e-45,1.1021159811321143e-29,2.3705142542918882e-56,1.9212257114759736e-57,3.3623446745440353e-64,1.6803525667309415e-37,7.2029820373797152e-43,7.879302330999864e-50,7.1318299701799852e-54,1.8495567422559202e-66,5.0534173294326756e-71,1.6046871946419816e-78,5.7541820095276763e-63,1.2016162862182326e-63,3.8091352760566634e-43,2.5561481142308776e-54,1.5229159488371393e-63,6.4940611052064018e-74,5.9317115717105337e-75,5.1765889131720848e-75,1.581100978230447e-72,4.4522005579579011e-72,2.7925080460951768e-80,1.0736848988935704e-83,1.0438009034017475e-32,1.9952712893348384e-51,4.9646269674297964e-24,1.3434232544943353e-56,5.0947046732156836e-67,3.0236556806051016e-30,4.8733426166517587e-92,5.568110374897708e-94,1.6088729175655904e-95,8.1907037751540279e-45,6.5920551652252359e-47,9.217704468863985e-93,1.6079454374682828e-99,2.5763171716391068e-99,5.6781705348245915e-105,5.3252605501641824e-43,1.8863864927194572e-106,9.0540649776228869e-39,1.3125642778968005e-35,2.4643985549215653e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.0867924094536539e-44,1.2793003563524423e-45,2.5559274071100699e-47,3.823130178649765e-49,1.3399850744538718e-46,4.1511184231008235e-50,1.1869802799619843e-54,9.9473799551394436e-56,7.6057392968854227e-50,5.7777322180770064e-55,1.775345771109836e-57
6.300000000000001e-14,0.0032560624785167324,7.5242564235716619e-20,7.5242554220496144e-20,7.2891930346251799e-20,7.289192425411747e-20,1.4609596401402048e-26,3.6564866421873515e-21,3.7562468272041909e-26,2.517809045970533e-26,1.7374418240484371e-21,1.8578364980691785e-26,2.5081481380396717e-26,2.4297918836816241e-26,2.3059072969395302e-33,1.9813927724092355e-38,1.4431040293825645e-21,1.5431033611223203e-26,8.1227280253894461e-34,3.5121800797249847e-22,6.6218702830546785e-28,6.9796001781898341e-39,1.3967187120860474e-33,1.5286465866452658e-45,2.7749373821998125e-49,5.5996082898147177e-28,6.757513000889628e-48,7.9934864888898023e-40,8.6441104979850654e-46,2.0575197276108716e-46,1.3473214463438398e-22,7.9227432530279336e-35,6.5885606843427297e-34,5.9551913457878161e-28,3.9709471040415588e-58,7.4655271898077366e-44,1.8033199158200244e-45,7.1712313506808718e-49,1.6010041541506474e-34,1.7338037055901815e-42,7.7333862011157046e-47,5.7181768792394114e-34,4.9134508632644371e-39,2.1385166329750071e-55,6.5805636919087694e-35,1.8993810928370257e-46,1.7522134345826239e-60,3.8131551594452373e-47,5.7181124651178837e-34,4.9133937405165369e-39,7.9464691966219333e-40,1.6128636111796869e-43,4.4911835951068382e-29,1.4610292227598816e-54,2.3697599245847268e-55,8.297136765000347e-62,1.3752705447369189e-36,1.1817263744899535e-41,2.5881749963990449e-48,4.6881253366133961e-52,3.1080872554808371e-64,6.645491649569317e-69,4.2195116023822624e-76,6.4517736382829085e-61,2.6958379792517386e-61,6.2493013113753262e-42,4.1936379479881677e-53,4.5802080143658144e-62,3.4100893695400484e-72,4.5659583218790978e-73,7.1149961156153812e-73,3.286341289163652e-70,4.6241804953900383e-70,4.301852313706379e-78,3.3100415042816435e-81,4.253546318156529e-32,6.5546233219130042e-50,1.0042285414830438e-23,8.8318297907942798e-55,1.2572314964375497e-64,1.2321589785832332e-29,2.9711936822842219e-89,6.6027867407262219e-91,3.8160009049770359e-92,1.3331017565953514e-43,2.1486323617218015e-45,9.2033882168651964e-90,3.2110407790741951e-96,5.1448676094055927e-96,7.5705622591457524e-102,2.1700721170792353e-42,5.0305010076295788e-103,7.4102812844806562e-38,1.0742620454026481e-34,1.4891177178011862e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.1626564349091017e-42,1.5638774667127481e-44,3.1307769571929813e-46,9.4200371024447447e-48,2.1984077600077304e-45,3.3974044413382283e-49,1.9463874005452608e-53,1.6317465691645015e-54,6.224809380582102e-49,9.4788920962926868e-54,2.9126073531336306e-56
1.2700000000000001e-13,0.0032560624785167324,1.5133432612029501e-19,1.513342857043802e-19,1.4660650805802067e-19,1.466064834735303e-19,5.8956303100371164e-26,7.3542470437608837e-21,1.5158145659694695e-25,1.0160494584908467e-25,3.4944554394985982e-21,7.4971208808355044e-26,1.012150709027586e-25,9.8053036141432966e-26,1.8642530413635156e-32,3.2066379709623088e-37,2.9024644291885589e-21,6.2270482540725431e-26,6.5669801605860843e-33,7.0640580981231759e-22,2.6722421564706006e-27,1.1295633134241667e-37,1.1292058453475698e-32,4.9491385454715513e-44,1.7972397593968764e-47,2.2596903668480926e-27,1.0977497191263246e-46,1.2924209150875372e-38,2.8100605747001323e-44,6.6561958206823187e-45,2.7098515771295673e-22,6.4052908504036613e-34,5.3265948736264818e-33,2.4031838083158774e-27,4.0439096403429354e-56,6.0356535017987802e-43,5.7768123816884645e-44,1.1602790711509047e-47,1.2943756353302116e-33,2.8058985065654899e-41,2.5042063202607022e-45,4.6229199923799957e-33,7.9517378572849409e-38,6.9230626007890724e-54,5.3201827210915278e-34,6.1505076009783389e-45,1.1347568090399765e-58,1.2347738656265897e-45,4.6228707828819644e-33,7.9516474656867631e-38,1.2860285213770184e-38,2.5816842711499355e-42,1.8123965229050105e-28,8.3368549220553411e-53,2.7062107056356607e-53,1.8955569540381443e-59,1.1118655258200533e-35,1.9124823988286495e-40,8.3794749213574791e-47,3.0363559805594495e-50,4.3338905135152557e-62,8.6084193569711175e-67,1.0923968924478333e-73,6.4540979796621439e-59,5.3965357810055726e-59,1.0113766586074297e-40,6.7869101081345066e-52,1.2684777815510108e-60,1.5049645254817567e-70,2.8973730991578532e-71,7.4356086613374576e-71,5.9976002798341403e-68,4.2167553767541207e-68,5.4608050193951308e-76,8.4094266774239337e-79,1.7164990027599292e-31,2.1225147135609488e-48,2.0196644261360086e-23,5.7211500289061863e-53,2.8723958148584132e-62,4.9723416497843139e-29,1.4763584246218688e-86,6.2188386950532941e-88,7.188990897062651e-89,2.1237326264319075e-42,6.850700299047414e-44,8.4589818014654892e-87,5.9028919923042997e-93,9.4578750803725619e-93,8.4039527489179128e-99,8.7572182020849799e-42,1.116939008803795e-99,5.9910856895797237e-37,8.6851675470177032e-34,7.8652647567215325e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.8815947943644372e-41,1.6722852293465632e-43,3.3511381660029388e-45,2.0289700801252774e-46,3.5579197323423427e-44,2.7466303571848508e-48,3.1468252920101158e-52,2.640049841825813e-53,5.0325021784957809e-48,1.5340137301605839e-52,4.7135844138329118e-55
2.55e-13,0.0032560624785167324,3.0351772555275697e-19,3.0351756319305028e-19,2.9403548055289551e-19,2.9403538179160908e-19,2.3684070095340282e-25,1.4749780387894174e-20,6.08936531205259e-25,4.0816993560945311e-25,7.0083675792179708e-21,3.0116923549160666e-25,4.0660360968354331e-25,3.9390095094708601e-25,1.4989510436320056e-31,5.1586023736208183e-36,5.821090271622976e-21,2.5014896282542855e-25,5.2801935704374602e-32,1.4167986289213932e-21,1.0735150557725015e-26,1.8171637125573863e-36,9.0794178752391168e-32,1.5920616820165596e-42,1.1564080273603323e-45,9.0776524908137472e-27,1.7693139052913374e-45,2.0781485170320104e-37,9.060671763210953e-43,2.1409605013235347e-43,5.4349175564486123e-22,5.150174631718273e-33,4.2827670789983045e-32,9.6540951127390868e-27,3.6440741600245514e-54,4.852979966408367e-42,1.8199197213609835e-42,1.8656210054256783e-46,1.0407648701734538e-32,4.5137700621497171e-40,8.0585352108833643e-44,3.7169825114983512e-32,1.2791937798546215e-36,2.2266645374043204e-52,4.2776968731846002e-33,1.9792189537470602e-43,7.3001846155675468e-57,3.9735484750246578e-44,3.7169475548293616e-32,1.2791798992570928e-36,2.0688395168909786e-37,4.0643204272747979e-41,7.2808165522958409e-28,4.317078057199907e-51,2.8052332803630668e-51,3.9312223485044092e-57,8.9399906892154406e-35,3.0766769180182121e-39,2.695556123463533e-45,1.9537052848539128e-48,5.0500021053466439e-60,1.1076616962878982e-64,2.8069819121458152e-71,5.7047737178438957e-57,9.5462984865898155e-57,1.6270438557541537e-39,1.0918370847625995e-50,3.1637814407196893e-59,5.3340563157875956e-69,1.5365318510577994e-69,5.82606323059369e-69,9.7015678133787684e-66,3.4080553848279807e-66,5.7874980172023483e-74,1.7838974936735935e-76,6.8955733000520991e-31,6.8303323193254175e-47,4.0501530731940645e-23,3.6825444485832897e-51,5.9576632517567018e-60,1.9975213830809224e-28,5.9973587915502149e-84,4.5739176723967136e-85,1.0576493019618189e-85,3.3128577637350624e-41,2.1387849710378739e-42,7.0384270299794262e-84,9.8237400445424271e-90,1.5740045346046354e-89,7.8935049637294829e-96,3.5179707602550349e-41,2.0983664226742547e-96,4.8173007436651054e-36,6.9834606885733584e-33,3.716643626609716e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.0269059028624357e-40,1.5980228012972056e-42,3.2038967669273479e-44,3.9024176536388585e-45,5.7239436552249302e-43,2.2083243243410789e-47,5.0522420398487262e-51,4.244774385918249e-52,4.0462839689177138e-47,2.4677206375122976e-51,7.5825195682582958e-54
5.11e-13,0.0032560624785167324,6.0788402707174083e-19,6.0788337625593819e-19,5.8889269382975838e-19,5.8889229794759332e-19,9.4937254819430146e-25,2.9540897232330657e-20,2.4409117447173122e-24,1.6361438474618299e-24,1.4035731532422634e-20,1.2071769561720892e-24,1.6298643644972499e-24,1.5789454948477147e-24,1.2020920942966175e-30,8.2754098713306976e-35,1.1657962157928942e-20,1.002674109438271e-24,4.2345107339126987e-31,2.8376531278306296e-21,4.3032932114325925e-26,2.9151051418775271e-35,7.2813665339411352e-31,5.1044802214357301e-41,7.4157626197573337e-44,3.638739234690375e-26,2.8410071367116033e-44,3.3328948766203973e-36,2.9101281891018159e-41,6.8678575303721445e-42,1.0885072379065257e-21,4.1302208134552062e-32,3.4344654274172135e-31,3.8698032382279305e-26,2.9211000056459443e-52,3.8919033078799494e-41,5.6036834831786322e-41,2.9897779702649062e-45,8.346844619694805e-32,7.2404839876169764e-39,2.5855860364977541e-42,2.9807387565806223e-31,2.0520036208903866e-35,7.1367274071438808e-51,3.4305364398608645e-32,6.3502450873481958e-42,4.6798363318127855e-55,1.2749453538935811e-42,2.9807181163671765e-31,2.0519834739229851e-35,3.3187338337939331e-36,6.2520509202300175e-40,2.9185152529012897e-27,1.9882965907858982e-49,2.5871068977349162e-49,7.2540839588272626e-55,7.1695481252921533e-34,4.9356459617561943e-38,8.6425639702491066e-44,1.2528709552584683e-46,4.9650365941295681e-58,1.4201884206399203e-62,7.1760535490303687e-69,4.4977126441858866e-55,1.5063203634278816e-54,2.6101480290624555e-38,1.7515501356481778e-49,6.9946216581064673e-58,1.4924413998186397e-67,7.0155118030759707e-68,3.4918528572433968e-67,1.4282088578383373e-63,2.5070375727634224e-64,5.2685561352282343e-72,3.2504131115287965e-74,2.7640899338233601e-30,2.1915680747424583e-45,8.1095986544109708e-23,2.3632609906199165e-49,1.0995443037466907e-57,8.0071972968488726e-28,2.0140030300386698e-81,2.5823680868958858e-82,1.1945130361002863e-82,5.0100806332524666e-40,6.475698528561698e-41,5.2040814867639461e-81,1.4528059909762423e-86,2.3277550174440691e-86,6.3869233918514748e-93,1.4101732641766066e-40,3.396020799440948e-93,3.8635392703655417e-35,5.6006803944837129e-32,1.6285296586494775e-42,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.8555426302103625e-39,1.4104399619167135e-41,2.8284947464884844e-43,6.9223340716432711e-44,9.1830504535954033e-42,1.7708177069468728e-46,8.0724588681047705e-50,6.801954264010907e-51,3.2447874323745663e-46,3.9584275817743329e-50,1.2162751401590252e-52
