Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20)
0.0,0.5550052923771629,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.996522092807959e-22,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999999999978,1.0,19.0,3.1260168979619718e-17,1.2868498954724942e-16,1.286849895472494e-16,3.9853170661336377e-28,3.9852897010355781e-28,5.8336499680047475e-17,3.7200131713176128e-26,3.9574531013236689e-20
2.5190261859862283e-21,0.5550052923771629,154.0,0.0,0.0,0.0,0.999999999999999,1.0,19.0,8.7528473142935054e-17,3.6031797073100686e-16,3.6031797073100676e-16,2.4071315079138535e-27,2.4070990202666874e-27,1.6334219897790924e-16,2.2468879540270079e-25,1.1080868671590911e-19
5.757774139397094e-21,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999999999778,1.0,19.0,2.0006508146956515e-16,8.2358393309335578e-16,8.2358393309335548e-16,1.1589302027853661e-26,1.1588983066385386e-26,3.7335359706873796e-16,1.0817798280459161e-24,2.5327699763663955e-19
1.2235270046218825e-20,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999999999523,1.0,19.0,4.2513829812282294e-16,1.7501158577973912e-15,1.7501158577973882e-15,5.0613526735113301e-26,5.0610705631369496e-26,7.9337639123081623e-16,4.7244167051164956e-24,5.382136175396427e-19
2.5190261859862285e-20,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999999999023,1.0,19.0,8.7528473142932902e-16,3.6031797071228195e-15,3.6031797071227951e-15,2.1130151080335037e-25,2.1127779897674283e-25,1.6334219714766558e-15,1.9723509632214125e-23,1.1080868495918183e-18
5.1100245487149204e-20,0.5550052923771628,154.0,0.0,0.0,0.0,0.99999999999998024,1.0,19.0,1.7755775980423044e-15,7.3093074054431727e-15,7.3093074054429771e-15,8.6323561742827736e-25,8.630412340467424e-25,3.3135130996550689e-15,8.0576971584794328e-23,2.2478332826808472e-18
1.0292021274172305e-19,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999999996025,1.0,19.0,3.5761633312681053e-15,1.4721562800762389e-14,1.4721562800760814e-14,3.4893363836205941e-24,3.4877625485196493e-24,6.6736952267588344e-15,3.2570499513596709e-22,4.5273260247976255e-18
2.0656014725087073e-19,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999999992029,1.0,19.0,7.177334797719109e-15,2.9546073586119037e-14,2.9546073586106378e-14,1.4030468119684298e-23,1.4017805865508025e-23,1.3394058963954165e-14,1.3096454028421458e-21,9.0863110127861117e-18
4.138400162691661e-19,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999999984035,1.0,19.0,1.4379677730618723e-14,5.919509513573856e-14,5.919509513563703e-14,5.6268452341801743e-23,5.616693132077616e-23,2.6834784370296343e-14,5.2522633568281498e-21,1.8204279003783236e-17
8.283997543057568e-19,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999999968048,1.0,19.0,2.8784363596408381e-14,1.1849313815086851e-13,1.1849313815005648e-13,2.2536730326818679e-22,2.2455526794062124e-22,5.3716226910789299e-14,2.1036445388362011e-20,3.6440207045861553e-17
1.6575192303789382e-18,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999999936062,1.0,19.0,5.7593735327949383e-14,2.3708922384680739e-13,2.3708922384032803e-13,9.0205653090707795e-22,8.9557711264499591e-22,1.0747907890302997e-13,8.4200574499827203e-20,7.2912031370382087e-17
3.3157581825253014e-18,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999999872102,1.0,19.0,1.1521247879087818e-13,4.74281393918111e-13,4.7428139386660144e-13,3.6094010561895063e-21,3.5578916040144591e-21,2.1500465053269331e-13,3.3691173734973962e-19,1.4585555298110011e-16
6.632236086818027e-18,0.5550052923771628,154.0,0.0,0.0,0.0,0.99999999999744182,1.0,19.0,2.3044996571612313e-13,9.4866572890880037e-13,9.4866572850207106e-13,1.443995412165427e-20,1.4033224978003111e-20,4.3005526437405132e-13,1.3478644370276941e-18,2.9174208805101397e-16
1.3265191895403478e-17,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999999488343,1.0,19.0,4.6092493956416221e-13,1.897434379275277e-12,1.8974343761047013e-12,5.7764514191234141e-20,5.4593938405590851e-20,8.6015437439531929e-13,5.3918813761067505e-18,5.8351312559891249e-16
2.6531103512574384e-17,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999998976663,1.0,19.0,9.218748872504364e-13,3.7949716087605742e-12,3.794971584636745e-12,2.3106743311740454e-19,2.0694360368725004e-19,1.7203441238754753e-12,2.1568281764426821e-17,1.16704707044027e-15
5.306292674691619e-17,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999997953304,1.0,19.0,1.843774782583771e-12,7.5900458307201361e-12,7.5900456550080958e-12,9.2428833037711459e-19,7.4857629025869156e-19,3.4406897412535524e-12,8.6273911404418689e-17,2.334082440011419e-15
1.061265732155998e-16,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999995906574,1.0,19.0,3.6875745730935818e-12,1.5180193599787603e-11,1.5180192408980949e-11,3.6971892766014791e-18,2.506382622057237e-18,6.8812454550188366e-12,3.4509138892021602e-16,4.6680231059565758e-15
1.591902196842834e-16,0.5550052923771628,154.0,0.0,0.0,0.0,0.99999999993859845,1.0,19.0,5.5313743634465351e-12,2.2770340888445759e-11,2.2770337776185041e-11,7.8565482886071066e-18,4.744287569516155e-18,1.0321665653131114e-11,7.3330998765500129e-16,7.0018337059533153e-15
2.1225386615296702e-16,0.5550052923771628,154.0,0.0,0.0,0.0,0.99999999991813115,1.0,19.0,7.3751741536426295e-12,3.0360487835087227e-11,3.0360481756621452e-11,1.3402364280471162e-17,7.3238984990855129e-18,1.3761950340928035e-11,1.2509246107927088e-15,9.3355142472499545e-15
3.1838115909033426e-16,0.5550052923771627,154.0,0.0,0.0,0.0,0.99999999987719679,1.0,19.0,1.1062773733666687e-11,4.5540781208049893e-11,4.5540766462838806e-11,2.7747922542232179e-17,1.3002711448495989e-17,2.064220169866507e-11,2.5898225943913503e-15,1.4002570112519872e-14
4.245084520277015e-16,0.5550052923771628,154.0,0.0,0.0,0.0,0.99999999983626231,1.0,19.0,1.4750373313113918e-11,6.072107397982735e-11,6.0721046069425832e-11,4.7191968587597279e-17,1.9281567063005947e-17,2.7521954780979163e-11,4.4045135728891932e-15,1.8669147765769791e-14
5.306357449650687e-16,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999979532783,1.0,19.0,1.8437972891943128e-11,7.5901366410619556e-11,7.5901320212130459e-11,7.2098672856933104e-17,2.5900183757521909e-17,3.4401174032441679e-11,6.7289486967757465e-15,2.3335213097438148e-14
7.428903308398031e-16,0.5550052923771628,154.0,0.0,0.0,0.0,0.99999999971345921,1.0,19.0,2.5813172047708661e-11,1.062619510020315e-10,1.0626185176273246e-10,1.3864313931970378e-16,3.9403840246955589e-17,4.8157977752386102e-11,1.2938839726337499e-14,3.2665774943184551e-14
9.551449167145376e-16,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999963159059,1.0,19.0,3.318837120096408e-11,1.3662253539287045e-10,1.3662236112172165e-10,2.2737424662323372e-16,5.3103097826171212e-17,6.1912613840716168e-11,2.1218557783241724e-14,4.1994256710497713e-14
1.3796540884640065e-15,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999946785367,1.0,19.0,4.7938769499945634e-11,1.9734370414717924e-10,1.9734331327457553e-10,4.7138667201209393e-16,8.0514068301504689e-17,8.9415385797697419e-11,4.3984920518697436e-14,6.0644983277973088e-14
2.2286724319629442e-15,0.5550052923771628,154.0,0.0,0.0,0.0,0.99999999914038085,1.0,19.0,7.7439566067791821e-11,3.1878604161076874e-10,3.1878495132416803e-10,1.2256079838098976e-15,1.3532138313452576e-16,1.4439494034691126e-10,1.1433435801954395e-13,9.7921504091976936e-14
3.92670911896082e-15,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999848544008,1.0,19.0,1.3644115908301781e-10,5.6167071635984808e-10,5.6166716242629315e-10,3.798809053943287e-15,2.4487549909810501e-16,2.5425018420132519e-10,3.5421202689895195e-13,1.7237494121910839e-13
5.624745805958695e-15,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999783050564,1.0,18.999999999999993,1.9544275193762222e-10,8.045553908006339e-10,8.045479535570355e-10,7.791663357961067e-15,3.5441975958814035e-16,3.6396705989372422e-10,7.2621461922004107e-13,2.4669573350563798e-13
7.322782492956572e-15,0.5550052923771628,154.0,0.0,0.0,0.0,0.99999999717557775,1.0,18.999999999999989,2.5444434463160552e-10,1.0474400649218708e-09,1.0474273247513945e-09,1.3204135899634623e-14,4.639654235750454e-16,4.7354573341208207e-10,1.2301836363840693e-12,3.2088410597451739e-13
9.020819179954448e-15,0.5550052923771629,154.0,0.0,0.0,0.0,0.99999999652065608,1.0,18.999999999999979,3.1344593716496816e-10,1.2903247387244302e-09,1.2903052760447587e-09,2.0036191293699314e-14,5.7351162233271044e-16,5.8298637607362879e-10,1.8659554909923154e-12,3.9494029079535876e-13
1.2416892553950199e-14,0.5550052923771627,154.0,0.0,0.0,0.0,0.99999999521083194,1.0,18.999999999999961,4.3144912174983286e-10,1.7760940853751195e-09,1.7760569190585325e-09,3.7958920619472225e-14,7.9260403299871191e-16,8.0145420281269941e-10,3.5323023315874288e-12,5.4265695609241976e-13
1.581296592794595e-14,0.5550052923771626,154.0,0.0,0.0,0.0,0.999999993901033,1.0,18.999999999999936,5.494523056922193e-10,2.2618634307527365e-09,2.261802882879655e-09,6.1559570061944104e-14,1.0116969814784245e-15,1.0193719103421397e-09,5.7239467346144028e-12,6.8984758444357789e-13
1.9209039301941703e-14,0.5550052923771626,154.0,0.0,0.0,0.0,0.99999999259125938,1.0,18.999999999999904,6.6745548899213063e-10,2.7476327748592519e-09,2.74754316780396e-09,9.0837843813632612e-14,1.2307885223589334e-15,1.2367409379527436e-09,8.4395143500597326e-12,8.3651412256973073e-13
2.2605112675937455e-14,0.5550052923771625,154.0,0.0,0.0,0.0,0.99999999128151096,1.0,18.999999999999872,7.8545867164956985e-10,3.2334021176912603e-09,3.2332777741244818e-09,1.2579344886408092e-13,1.4498820860283248e-15,1.4535627085363136e-09,1.1677646486977867e-11,9.8265849264113361e-13
2.939725942392896e-14,0.5550052923771622,154.0,0.0,0.0,0.0,0.99999998866208972,1.0,18.999999999999783,1.0214650350370435e-09,4.204940799541031e-09,4.2047299520782245e-09,2.1273552891145267e-13,1.8880661060148398e-15,1.8855699085123644e-09,1.9716419431782494e-11,1.2733880472651369e-12
3.551019149712131e-14,0.5550052923771619,154.0,0.0,0.0,0.0,0.99999998630469611,1.0,18.999999999999687,1.2338707598885451e-09,5.0793256088535274e-09,5.0790174942555029e-09,3.1039703039531035e-13,2.2824323703063757e-15,2.2725184981300874e-09,2.8725376511285558e-11,1.5332773322430285e-12
4.1623123570313665e-14,0.5550052923771616,154.0,0.0,0.0,0.0,0.99999998394738321,1.0,18.999999999999567,1.4462764826584833e-09,5.953710414043158e-09,5.9532866421703782e-09,4.2644867181083913e-13,2.6767990308070822e-15,2.6577152387533334e-09,3.9407138288388131e-11,1.7915034234242714e-12
