Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79)
0.0,0.8827513472339055,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.298566203892267e-21,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999999999967,1.0,19.0,5.869454676912898e-17,1.3679669599015127e-16,1.3679669599098746e-16,1.2111401459875263e-27,1.211111921631125e-27,4.0351925851232819e-17,1.1610243861489358e-25,1.3068501650876408e-20,1.2767197229252604e-25,8.3619418929344713e-28
1.2035985370898348e-20,0.8827513472339055,154.0,0.0,0.0,0.0,0.999999999999999,1.0,19.0,1.6434473095356045e-16,3.8303074876579028e-16,3.8303074877084047e-16,7.3152864815160756e-27,7.3149514088614547e-27,1.1298539157596845e-16,7.0125872505196507e-25,3.659180445845568e-20,7.7113870804813231e-25,5.0506128914736416e-27
2.751082370491051e-20,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999999999767,1.0,19.0,3.7564509932242059e-16,8.7549885429053561e-16,8.754988543148488e-16,3.5219955441588504e-26,3.5216665824638876e-26,2.5825231979550599e-16,3.3762588521912236e-24,8.3638409417621154e-20,3.7127008852857834e-24,2.4316526846771766e-26
5.846050037293483e-20,0.8827513472339055,154.0,0.0,0.0,0.0,0.999999999999995,1.0,19.0,7.9824583606012953e-16,1.8604350652339071e-15,1.8604350653400748e-15,1.538147985018853e-25,1.5378570481370307e-25,5.4878616331484657e-16,1.4745009055882717e-23,1.7773161671197994e-19,1.621433976834846e-23,1.0619666020215771e-25
1.2035985370898346e-19,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999999998967,1.0,19.0,1.6434473095355025e-15,3.8303074866962586e-15,3.8303074871393641e-15,6.4214650505581138e-25,6.4190199882433569e-25,1.1298537986745943e-15,6.1557507119737906e-23,3.6591802080480934e-19,6.7691673294276455e-23,4.4335014262040604e-25
2.4415856038108073e-19,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999999997891,1.0,19.0,3.3338502564860679e-15,7.7700523279240633e-15,7.770052329733289e-15,2.6233779988787919e-24,2.6213741061244892e-24,2.2919888626783936e-15,2.5148247674390265e-22,7.4229078700692018e-19,2.7654254454897182e-22,1.8112299217134707e-24
4.917559737252753e-19,0.8827513472339057,154.0,0.0,0.0,0.0,0.99999999999995748,1.0,19.0,6.7146561503864788e-15,1.564954200359746e-14,1.5649542010902523e-14,1.0604113301239651e-23,1.0587896860204221e-23,4.6162581638234985e-15,1.0165321729426221e-21,1.4950361514769879e-18,1.1178289531788023e-21,7.321280348341121e-24
9.869508004136645e-19,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999999991451,1.0,19.0,1.3476267938184419e-14,3.1408521327858358e-14,3.140852135716656e-14,4.2638673099656072e-23,4.2508335454604612e-23,9.2647934586660944e-15,4.087429496858983e-21,3.0005262086808068e-18,4.4947392293937443e-21,2.9438541566715599e-23
1.977340453790443e-18,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999999982869,1.0,19.0,2.6999491513768761e-14,6.2926479868378084e-14,6.2926479985396865e-14,1.710001489499485e-22,1.6995725023908232e-22,1.8561850818579643e-14,1.639240710051876e-20,6.0115036361455761e-18,1.8025899973446633e-20,1.1806168059526087e-22
3.958119760543999e-18,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999999965694,1.0,19.0,5.4045938664891326e-14,1.2596239652011268e-13,1.259623969846664e-13,6.8489252149381791e-22,6.765839816432025e-22,3.7155912619470804e-14,6.565502396935721e-20,1.2033447743322821e-17,7.2197505074679111e-20,4.7286222607792968e-22
7.919678374051113e-18,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999999931355,1.0,19.0,1.0813883296695195e-13,2.5203422812753562e-13,2.520342299544412e-13,2.7413549165902664e-21,2.6755817686494309e-21,7.4343824546714214e-14,2.6279034306198989e-19,2.4077292966821604e-17,2.8897723250624156e-19,1.8926787953355465e-21
