Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75)
0.0,0.4391189228762565,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.036306352792899e-22,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999999999967,1.0,19.0,2.8857926721782103e-17,1.4873670374307208e-16,1.4873670374345379e-16,5.8214958705162136e-28,5.8214569329470458e-28,4.9213870017887756e-17,3.1358913316922311e-26,3.1221843837328833e-20,3.9262275371981978e-26,3.8168785436379674e-28,1.3838900274979039e-40,5.50418251938773e-31
2.5301657787820115e-21,0.4391189228762565,154.0,0.0,0.0,0.0,0.999999999999999,1.0,19.0,8.0802194820989761e-17,4.1646277047747873e-16,4.1646277047978408e-16,3.5161835057448411e-27,3.5161372793361228e-27,1.3779883581647506e-16,1.8940783616627005e-25,8.7421162649798941e-20,2.371441429113016e-25,2.3053946388637993e-27,1.6429339402311558e-39,3.3245262416208425e-30
5.783236065787455e-21,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999999999767,1.0,19.0,1.8469073101940451e-16,9.5191490393379988e-16,9.5191490394489896e-16,1.6928909990756868e-26,1.6928456142925843e-26,3.1496876647920698e-16,9.1191719523699034e-25,1.9981979989585196e-19,1.141746962785193e-24,1.1099482782496208e-26,1.6129992864009684e-38,1.6006162765039314e-29
1.2289376639798343e-20,0.4391189228762565,154.0,0.0,0.0,0.0,0.999999999999995,1.0,19.0,3.9246780341623191e-16,2.0228191707964736e-15,2.0228191708449439e-15,7.3932997548278305e-26,7.3928983418621796e-26,6.6930862406690029e-16,3.9825819497183263e-24,4.246170728724092e-19,4.9863089202439315e-24,4.8474357272704498e-26,1.4266031173449173e-37,6.9903117982375361e-29
2.5301657787820118e-20,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999999998956,1.0,19.0,8.0802194820987819e-16,4.1646277043219587e-15,4.1646277045242952e-15,3.0865571098927095e-25,3.086219715436336e-25,1.3779883242912044e-15,1.6626495466854944e-23,8.7421161276332854e-19,2.0816857934244823e-23,2.0237089830020629e-25,1.1990172309651053e-36,2.918317570532986e-28
5.132622008386367e-20,0.4391189228762564,154.0,0.0,0.0,0.0,0.99999999999997879,1.0,19.0,1.6391302377971361e-15,8.4482447705735746e-15,8.4482447714000484e-15,1.2609592909827403e-24,1.2606827030353885e-24,2.795347664935485e-15,6.7924657436338921e-23,1.7734006682963874e-18,8.5043654984496984e-23,8.2675114242604877e-25,9.8281586100192476e-36,1.1922279493741983e-27
1.0337534467595077e-19,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999999995715,1.0,19.0,3.3013468169715153e-15,1.7015478899880131e-14,1.7015478903219751e-14,5.0969990618771074e-24,5.0947596410265964e-24,5.6300661070067575e-15,2.7456231233627037e-22,3.5717786823673906e-18,3.4376003418133784e-22,3.3418602300211815e-24,7.9556837481791053e-35,4.819175987804752e-27
2.0747359386012495e-19,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999999991385,1.0,19.0,6.6257799753197255e-15,3.4149947145712494e-14,3.4149947159131945e-14,2.0494809034987861e-23,2.0476791629241325e-23,1.1299502034280308e-14,1.104002875740963e-21,7.1685343225289816e-18,1.3822438450190604e-21,1.3437472411067774e-23,6.3979375998215278e-34,1.9377694656403686e-26
4.1567009222847335e-19,0.4391189228762564,154.0,0.0,0.0,0.0,0.99999999999982736,1.0,19.0,1.3274646292013954e-14,6.8418883586301676e-14,6.8418883640047476e-14,8.219335060804127e-23,8.2048890917464575e-23,2.2638370061352725e-14,4.4275444550576608e-21,1.4362044050930843e-17,5.543414972940462e-21,5.3890269664475126e-23,5.1251550227871782e-33,7.7713222173254931e-26
8.320630889651702e-19,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999999965428,1.0,19.0,2.6572378925393639e-14,1.3695675626355654e-13,1.3695675647824313e-13,3.2920211947391216e-22,3.2804658069105709e-22,4.5316090805609142e-14,1.7733264928427297e-20,2.8749057300051952e-17,2.2202565625529241e-20,2.1584213068011257e-22,4.0923499847621838e-32,3.112582364278188e-25
1.6648490824385638e-18,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999999930811,1.0,19.0,5.3167844192117915e-14,2.7403250080538319e-13,2.740325016600928e-13,1.3176663937855625e-21,1.3084452829811016e-21,9.0671471054651022e-14,7.0979219171816077e-20,5.7523058967585119e-17,8.8868055491848678e-20,8.6393071830245124e-22,3.2541548138795338e-31,1.245844089848416e-24
3.330421069385351e-18,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999999861588,1.0,19.0,1.0635877472542615e-13,5.4818398666209762e-13,5.4818399004562569e-13,5.2723818383565265e-21,5.1990641596732425e-21,1.8138198659551245e-13,2.8400889314760448e-19,1.1507096297998675e-16,3.5558742926329175e-19,3.4568457524720723e-21,2.5694488911767707e-30,4.9849990007183775e-24
6.6615650432789255e-18,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999999723133,1.0,19.0,2.1274063579148116e-13,1.0964869456535382e-12,1.0964869589040259e-12,2.1092959908636105e-20,2.0513833398013239e-20,3.6280203785363783e-13,1.1362170014869588e-18,2.3016637371550244e-16,1.4225768713308507e-18,1.3829614430785385e-20,2.0022722952476718e-29,1.9943240876114563e-23
1.3323852991066073e-17,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999999446232,1.0,19.0,4.2550435792134579e-13,2.1930928141647651e-12,2.1930928649701676e-12,8.4378701557203644e-20,7.9861300935561916e-20,7.2563822111783379e-13,4.5452098473695373e-18,4.6035560604035465e-16,5.6907354807693211e-18,5.5322803648801668e-20,1.5222871033688874e-28,7.9779446779649143e-23
2.664842888664037e-17,0.4391189228762564,154.0,0.0,0.0,0.0,0.99999999998892419,1.0,19.0,8.5103180217209257e-13,4.386304363613899e-12,4.3863045504998423e-12,3.3752850121614549e-19,3.0311547633216818e-19,1.451294910976675e-12,1.8181354760354315e-17,9.207277141931078e-16,2.2763587182481008e-17,2.2129896930063276e-19,1.1072412395475516e-27,3.1913069925300075e-22
5.3297580677788966e-17,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999997784794,1.0,19.0,1.7020866906376578e-12,8.7727267811328468e-12,8.7727274151489551e-12,1.3501411613232192e-18,1.0989533832761469e-18,2.9025455867253961e-12,7.2725103157346792e-17,1.8414465052129205e-15,9.1053953233956493e-17,8.8520389297331591e-19,7.487195508106391e-27,1.2765481906640003e-21
1.0659588426008616e-16,0.4391189228762564,154.0,0.0,0.0,0.0,0.99999999995569555,1.0,19.0,3.4041964674250733e-12,1.7545569286012038e-11,1.7545571118807863e-11,5.4006170936031433e-18,3.6926412464664172e-18,5.8047961440190422e-12,2.9088900853908784e-16,3.6827823917263288e-15,3.6420153468260985e-16,3.540771719736329e-18,4.5615034580822706e-26,5.1062401941845831e-21
1.5989418784238334e-16,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999993354316,1.0,19.0,5.1063062440687743e-12,2.6318409744257616e-11,2.6318412796829081e-11,1.1476342010242515e-17,7.0048684104154976e-18,8.7067959287790708e-12,6.1811989762668829e-16,5.5240165883297724e-15,7.7390416525016066e-16,7.5240451808245631e-18,1.1321566370014352e-25,1.085078635382307e-20
2.1319249142468054e-16,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999991139077,1.0,19.0,6.8084160205687607e-12,3.509124835919926e-11,3.5091252449214233e-11,1.957731428539099e-17,1.0832357506373193e-17,1.1608544962673784e-11,1.0544083463526198e-15,7.3651491006391922e-15,1.3201500457294164e-15,1.2834971963971896e-17,2.1253926295826197e-25,1.8510183848494848e-20
3.197890985892749e-16,0.4391189228762565,154.0,0.0,0.0,0.0,0.99999999986708599,1.0,19.0,1.0212635573231442e-11,5.2636921681642053e-11,5.2636926999945725e-11,4.053238535153233e-17,1.9278105112127236e-17,1.7411454600743045e-11,2.1829074286307294e-15,1.1047175495865189e-14,2.7330638568123795e-15,2.6572584406875983e-17,4.8900969207473156e-25,3.8323009049377771e-20
