Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258)
0.0,0.41352141632615025,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0420688661557615e-25,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999999999967,1.0,19.0,1.2722023353385636e-18,1.0684111065816979e-17,1.0684111065816993e-17,3.1393471595323171e-32,3.1393471078298924e-32,2.2304071146990069e-16,1.0365308464530414e-28,4.7876998152614282e-18,2.5860460846672001e-28,1.5701012771382737e-32,2.7031896420119262e-47,1.8859825968878488e-32,2.7039255252316219e-47
1.4117792825236133e-24,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,3.5621665389479776e-18,2.9915510984287379e-17,2.9915510984287459e-17,1.8961656843573503e-31,1.8961656229762336e-31,6.2451399211453193e-16,6.2606463125664163e-28,1.3405559482715034e-17,1.5619718351365057e-27,9.4834117139025383e-32,3.2092263187393076e-46,1.1391334885190727e-31,3.210099256524013e-46
3.2269240743396875e-24,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999999999845,1.0,19.0,8.1420949461668023e-18,6.8378310821227471e-17,6.8378310821227927e-17,9.1292215399174391e-31,9.1292209372740091e-31,1.427460553399033e-15,3.014231701470511e-27,3.0641278817554394e-17,7.520222014174962e-27,4.5658545138991403e-31,3.1508365315319879e-45,5.484437391732044e-31,3.1516920984165488e-45
6.857213657971836e-24,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999999999667,1.0,19.0,1.7301951760604435e-17,1.4530391049510498e-16,1.4530391049510698e-16,3.9869708926034189e-30,3.9869703595721624e-30,3.033353675948991e-15,1.3163941749799301e-26,6.5112717486961673e-17,3.2842785274888419e-26,1.9940286219460156e-30,2.7868776314162107e-44,2.3951978980291522e-30,2.7876317225374133e-44
1.4117792825236132e-23,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999999999312,1.0,19.0,3.5621665389479632e-17,2.9915510984284905e-16,2.9915510984285739e-16,1.6644818639816721e-29,1.6644814159368389e-29,6.2451399209727266e-15,5.4956865477551294e-26,1.3405559482469039e-16,1.3711216340558966e-25,8.3246769712107925e-30,2.342535881840609e-43,9.9994797285336206e-30,2.3431652860632675e-43
2.8638951159764724e-23,0.41352141632615025,154.0,0.0,0.0,0.0,0.9999999999999859,1.0,19.0,7.226109264722976e-17,6.0685750853829381e-16,6.0685750853832783e-16,6.7999515214133737e-29,6.7999478480720651e-29,1.2668712410715481e-14,2.2451672745335451e-25,2.7194134949580472e-16,5.601479260939142e-25,3.4009021701832886e-29,1.9205480357235958e-42,4.0851137440226133e-29,1.921056753935137e-42
5.768126782882192e-23,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999999997147,1.0,19.0,1.4553994716272893e-16,1.2222623059290094e-15,1.2222623059291466e-15,2.7486491268177443e-28,2.7486461520522183e-28,2.5515857388982115e-14,9.0753250945353011e-25,5.477128588206606e-16,2.2642074770968498e-24,1.3746990328730517e-28,1.5553024496796137e-41,1.651268290624518e-28,1.5557025906804136e-41
1.1576590116693629e-22,0.41352141632615025,154.0,0.0,0.0,0.0,0.9999999999999426,1.0,19.0,2.9209765619372294e-16,2.4530719007097444e-15,2.453071900710297e-15,1.1052197248886417e-27,1.1052173305409705e-27,5.1210147340639904e-14,3.6491483053871405e-24,1.0992558774008814e-15,9.1042786809566576e-24,5.5276043492202509e-28,1.2518312208785108e-40,6.6396771707111594e-28,1.2521342428299785e-40
2.3193516784316507e-22,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999999988487,1.0,19.0,5.852130742556937e-16,4.9146910902684304e-15,4.9146910902706471e-15,4.4324254183531958e-27,4.4324062052599216e-27,1.0259872722445357e-13,1.4634716822899243e-23,2.2023419142833607e-15,3.6512229490882321e-23,2.216816571781473e-27,1.0044972633946346e-39,2.6628075118960999e-27,1.0047098553941806e-39
