Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327)
0.0,0.8982260618340565,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.214158002446874e-21,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,7.0859901001752486e-17,1.622184176028448e-16,1.6221841760402644e-16,1.711683247464065e-27,1.7116349469044938e-27,4.8469001735685965e-17,1.6911242354321924e-25,1.5638777352509789e-20,1.8583041642985303e-25,1.1821183772728464e-27,1.6338050529009239e-39,1.1043755164673249e-30,2.25645983991528e-39,4.5894285453396621e-31,6.249444904055256e-42,6.2494449041007967e-42,4.5540966421209657e-53
1.4599642406851247e-20,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999999999878,1.0,19.0,1.984077228049059e-16,4.5421156927858951e-16,4.5421156928572604e-16,1.033856681425011e-26,1.0337993404314337e-26,1.357132036841918e-16,1.0214390308170535e-24,4.3788576349089707e-20,1.1224157071223603e-24,7.1399949784119544e-27,1.9395777291202445e-38,6.6704281187812531e-30,2.6785455035776935e-38,2.7720148413199429e-30,7.4193409898867514e-41,7.4193409899886246e-41,1.0187331812842762e-51
3.3370611215659993e-20,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999999999722,1.0,19.0,4.5350336641120871e-16,1.0381978725925775e-15,1.0381978726269346e-15,4.9775748829762455e-26,4.9770119360046609e-26,3.1020160287828794e-16,4.9177891658769553e-24,1.0008817339049871e-19,5.4039483880708487e-24,3.4376002106353924e-26,1.9041287368497368e-37,3.2115240008648989e-29,2.6291266270571344e-37,1.3346058208869549e-29,7.2843529795231002e-40,7.2843529797243847e-40,2.0128450034446519e-50
7.091254883327749e-20,0.8982260618340565,154.0,0.0,0.0,0.0,0.999999999999994,1.0,19.0,9.6369465362379787e-16,2.2061704790705653e-15,2.2061704792205861e-15,2.1738377236084677e-25,2.1733398572863839e-25,6.5917838245481916e-16,2.1477276645470318e-23,2.126873636663135e-19,2.360046162892885e-23,1.5012903076466918e-25,1.6838954290884633e-36,1.402556904857363e-28,2.3242146841389629e-36,5.8285742515705763e-29,6.442927716933022e-39,6.4429277172911973e-39,3.5817498104316274e-49
1.4599642406851246e-19,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999999998757,1.0,19.0,1.9840772280489101e-15,4.5421156914267312e-15,4.5421156920528296e-15,9.0753445720164606e-25,9.0711606120382478e-25,1.3571318663612456e-15,8.9663396661948675e-23,4.3788572898993146e-19,9.8527275472146336e-23,6.2675913528926389e-25,1.4149365677979114e-35,5.855398978804697e-28,1.9515965173178255e-35,2.433315013829374e-28,5.4156689602832957e-38,5.4156689608874115e-38,6.0411434702829269e-48
2.9616417453898246e-19,0.8982260618340563,154.0,0.0,0.0,0.0,0.9999999999999748,1.0,19.0,4.0248423768988731e-15,9.2140061137409874e-15,9.2140061162970797e-15,3.7075743762249559e-24,3.7041455986081588e-24,2.7530385331876198e-15,3.6630418667925778e-22,8.882823987251291e-19,4.0251601936985402e-22,2.5605154499566849e-24,1.1592657339878902e-34,2.3921215356416104e-27,1.596691706748356e-34,9.9408857986452752e-28,4.4400926124184905e-37,4.4400926134107502e-37,9.9225926616033368e-47
5.964996754799224e-19,0.8982260618340567,154.0,0.0,0.0,0.0,0.99999999999994926,1.0,19.0,8.1063726745977444e-15,1.8557786948786367e-14,1.855778695910462e-14,1.4986608397456705e-23,1.4958865298555575e-23,5.5448506628949736e-15,1.4806597246928768e-21,1.7890754945474354e-18,1.6270337061326078e-21,1.0350011836062739e-23,9.3753488635617585e-34,9.6693376807296185e-27,1.2876571852289992e-33,4.0182649776793307e-27,3.5957021112151031e-36,3.5957021128235963e-36,1.6084938533125725e-45
1.1971706773618023e-18,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999999989819,1.0,19.0,1.6269433269991284e-14,3.7245348580618013e-14,3.7245348621995881e-14,6.0260493059219607e-23,6.0037578343152477e-23,1.1128470106532251e-14,5.9536646969705194e-21,3.5906607116002233e-18,6.5422277485072857e-21,4.1616934309862147e-23,7.5257552365779893e-33,3.8879981270657417e-26,1.0278536042816605e-32,1.6157266719620363e-26,2.8941338724915952e-35,2.8941338750820216e-35,2.5904259742594054e-44
2.3985126811255623e-18,0.8982260618340567,154.0,0.0,0.0,0.0,0.99999999999979594,1.0,19.0,3.2595554460761544e-14,7.4620471691828047e-14,7.462047185688313e-14,2.4167152795261306e-22,2.3988893966630508e-22,2.229568973073032e-14,2.3876834741229323e-20,7.1938272473427116e-18,2.6237233492521201e-20,1.6690245546165398e-22,6.0065537726288695e-32,1.559261122223298e-25,8.1136693364803077e-32,6.4797865851987633e-26,2.3223601574572513e-34,2.3223601616154462e-34,4.1581952158996728e-43
