Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39)
0.0,0.8171427229304464,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.499623550881582e-21,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999999999944,1.0,19.0,7.2312495950072574e-17,1.854291930624321e-16,1.8542908613778526e-16,1.8725569692979729e-27,1.8725095431281792e-27,5.9185900182473356e-17,1.8004776673396886e-25,2.1798341920891983e-20,2.0296085387794347e-25,1.2801284473692029e-27,1.6560743044365703e-39,1.3037138319162401e-30,2.2640683800662339e-39,5.5040593266975755e-31,7.0249403079003496e-42,7.0249403079548843e-42,4.8497356897155833e-53,6.0372261312905822e-54,9.2459107526275191e-32,6.7936559479816176e-96,6.4838407800158403e-96,6.4838407800158536e-96,9.7511333686836263e-45,1.0692592651553488e-22
1.259894594246843e-20,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999999999856,1.0,19.0,2.0247498866020222e-16,5.1920174056459487e-16,5.1920144117972903e-16,1.1310244094104538e-26,1.1309674766462008e-26,1.6572051924256745e-16,1.0874885041279867e-24,6.1035357084328236e-20,1.2258835495937413e-24,7.7319758020800519e-27,1.966016912647628e-38,7.8744315439696302e-30,2.6875879169144202e-38,3.3244518332513572e-30,8.3400091333120888e-41,8.3400091334340814e-41,1.084866454632783e-51,1.3505033319682452e-52,5.5845300945231776e-31,7.2391676000539391e-94,6.9090354969400386e-94,6.9090354969400652e-94,1.1576546389001478e-43,2.9939259484263237e-22
2.879759072564213e-20,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999999999678,1.0,19.0,4.6279997408045743e-16,1.1867468355280617e-15,1.1867461512393377e-15,5.4453956660356756e-26,5.4448334614701168e-26,3.7878975228932363e-16,5.2357889524460344e-24,1.3950938623452349e-19,5.9021015133350334e-24,3.7226134949047523e-26,1.9300892727435562e-37,3.7911998220057407e-29,2.6380247446974682e-37,1.6005804520926858e-29,8.1882704221843072e-40,8.1882704224253422e-40,2.1435132113132045e-50,2.6683669843834677e-51,2.6887108467683141e-30,1.6474651698835942e-91,1.5723348273654126e-91,1.5723348273654243e-91,1.1365922267206886e-42,6.8432593389336593e-22
6.119488029198952e-20,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999999999312,1.0,19.0,9.8344994492095224e-16,2.5218370252915805e-15,2.5218355712614387e-15,2.3781473503028373e-25,2.3776487304317515e-25,8.0492819808910966e-16,2.2866065298710342e-23,2.964574398282049e-19,2.5776027228998041e-23,1.6257630971125241e-25,1.7068614754498844e-36,1.6557165652867267e-28,2.3321208859880739e-36,6.9901553437592333e-29,7.2424324583538236e-39,7.2424324587827306e-39,3.8142669195649435e-49,4.7482164057972483e-50,1.1742306654847355e-29,2.7841433046838673e-89,2.6571763472495937e-89,2.6571763472496331e-89,1.00530296798331e-41,1.4541926215809876e-21
1.2598945942468431e-19,0.8171427229304464,154.0,0.0,0.0,0.0,0.9999999999999859,1.0,19.0,2.0247498866018768e-15,5.1920174041650996e-15,5.1920144109171752e-15,9.9282970448675961e-25,9.924100878238321e-25,1.6572050085137826e-15,9.54613162338174e-23,6.1035352818873286e-19,1.076098338045791e-22,6.7872407485346381e-25,1.4342480470754109e-35,6.9122907255980271e-28,1.9583023887957388e-35,2.9182522539830334e-28,6.0877008690979616e-38,6.0877008698213788e-38,6.4333176102207862e-48,8.0085607372278805e-49,4.9021818801525398e-29,4.0765990798155594e-87,3.8906914862785661e-87,3.8906914862786818e-87,8.4501772468516071e-41,2.9939260353008488e-21
2.555786176900739e-19,0.8171427229304463,154.0,0.0,0.0,0.0,0.99999999999997147,1.0,19.0,4.1073497699634702e-15,1.0532378159299228e-14,1.0532372088674787e-14,4.0560332924017055e-24,4.0525920362426182e-24,3.3617583046635945e-15,3.8999058262687552e-22,1.238145629602458e-18,4.396212354650343e-22,2.7728091855673128e-24,1.1751101169088133e-34,2.8238962989830148e-27,1.6022877386992354e-34,1.1922012655262236e-27,4.9910649735191554e-37,4.9910649747073706e-37,1.056674002823696e-46,1.3154084254057348e-47,2.0027012519082359e-28,5.5744044136041476e-85,5.3201915048499507e-85,5.3201915048502661e-85,6.9279658712114158e-40,6.0733930161190424e-21
5.14756934220853e-19,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999999994249,1.0,19.0,8.2725495366856332e-15,2.1213099659125077e-14,2.1213087437974569e-14,1.6395135049324394e-23,1.6367279536383565e-23,6.7708635981655819e-15,1.5764039459246978e-21,2.4937295312006586e-18,1.7770189362814012e-21,1.120813707238548e-23,9.5038486680711694e-34,1.1414640302919751e-26,1.2923459792071611e-33,4.8190681281838759e-27,4.0418938138281883e-36,4.0418938157543349e-36,1.712912970486085e-45,2.1323334813748991e-46,8.0952386614421708e-28,7.3726834627635829e-83,7.0364625556997576e-83,7.0364625557005915e-83,5.6104463957182081e-39,1.2232327591269316e-20
1.0331135672824114e-18,0.8171427229304463,154.0,0.0,0.0,0.0,0.99999999999988465,1.0,19.0,1.6602949070125862e-14,4.2574542617080881e-14,4.257451811171235e-14,6.592411676823189e-23,6.5700229165529065e-23,1.3589068989982961e-14,6.3386481739311859e-21,5.0048961294806367e-18,7.1453118755637819e-21,4.5067418257077221e-23,7.6294821204392398e-33,4.5897766304385001e-26,1.0318739675076649e-32,1.9377260963712986e-26,3.2532677720252459e-35,3.2532677751272416e-35,2.7585899148318856e-44,3.4340564948927395e-45,3.2550598590805031e-27,9.5920632852303863e-81,9.1546306686964082e-81,9.1546306686985824e-81,4.5157753676051027e-38,2.4550199195625406e-20
2.0698268334055278e-18,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999999976885,1.0,19.0,3.326374813698992e-14,8.5297428366795187e-14,8.5297379359740754e-14,2.6438519207201879e-22,2.6259416766382395e-22,2.7225458992903017e-14,2.542079207052191e-20,1.0027224506379526e-17,2.8655871486094766e-20,1.8074044026838288e-22,6.0902572994278975e-32,1.8407056859645757e-25,8.1496910444031194e-32,7.7711482920478891e-26,2.6105424935191452e-34,2.6105424984985234e-34,4.4281361335615058e-43,5.5124185041303497e-44,1.3054245875746651e-26,1.2378049462525754e-78,1.1813565847093424e-78,1.1813565847099026e-78,3.6236253513000125e-37,4.9185952220559746e-20
4.1432533656517606e-18,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999999953737,1.0,19.0,6.6585346270652436e-14,1.707431992060697e-13,1.7074310145800911e-13,1.0589197825123468e-21,1.0446594510253173e-21,5.4498155876137629e-14,1.018155851058444e-19,2.0071861981570042e-17,1.1477275428636292e-19,7.2390398686742169e-22,4.8292316346551885e-31,7.3724236087008802e-25,6.3299247080699962e-31,3.1125127073566135e-25,2.0916107319314285e-33,2.0916107399113792e-33,7.0965267316406032e-42,8.8342343158225014e-43,5.2285073926181337e-26,1.5908355098098585e-76,1.518287683722179e-76,1.5182876837236192e-76,2.9033098663116033e-36,9.8457497535316845e-20
