Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448)
0.0,0.64567298049283,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.397508990797772e-23,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,1.4340966050437149e-17,6.4472127442949717e-17,6.447179272558852e-17,9.4606914525677771e-30,9.460733574355846e-30,2.8979246650285997e-16,1.036190172435248e-26,1.1814226405914322e-18,1.8620900421036381e-26,5.3776496850769993e-30,2.9479082705009182e-43,1.3238387177296613e-31,3.3512814606315316e-43,6.2859049566823729e-32,3.5180636217543425e-44,3.518063621754677e-44,2.9344329823300051e-57,4.1590146895736596e-58,1.822704498132808e-33,2.1073734784410195e-102,1.9583609570096523e-102,1.9583609570096543e-102,3.0987746542415718e-48,3.347173665030567e-22,6.5504987645512052e-41,3.6869030049450215e-48,2.6704170076662412e-43,1.4859968084688833e-43,3.4479369859250507e-63,5.227868665538453e-50
1.231302517423376e-22,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999999999878,1.0,19.0,4.0154704941223989e-17,1.8052195684021095e-16,1.8052101963161683e-16,5.7142576373382558e-29,5.7142789994566428e-29,8.1141890611248979e-16,6.2585886408941323e-26,3.3079833933990245e-18,1.1247023853201204e-25,3.2481004095786111e-29,3.4997462100449209e-42,7.9959858546685933e-31,3.9786076676069876e-42,3.7966865938335231e-31,4.176645131743754e-43,4.1766451317445027e-43,6.5642092018329786e-56,9.3035494991939488e-57,1.1009135168722946e-32,2.2455699734589664e-100,2.0867855685023624e-100,2.0867855685023655e-100,3.6788777217925601e-47,9.3720862622036923e-22,3.9565012538562361e-40,4.3770911980821847e-47,3.1703190712158701e-42,1.7641754108553873e-42,7.7128971200443124e-62,6.20652567972568e-49
2.814405754110574e-22,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999999999722,1.0,19.0,9.1782182722797553e-17,4.1262161563454038e-16,4.1261947344354936e-16,2.7511690743876875e-28,2.7511752042499321e-28,1.8546717849496773e-15,3.0132410205195504e-25,7.5611048979862669e-18,5.4149578407802237e-25,1.5638205281085475e-28,3.4360493653499504e-41,3.8497229905300152e-30,3.9061492567597917e-41,1.8279411613992884e-30,4.1006549575075574e-42,4.1006549575090377e-42,1.2969771208933476e-54,1.8382246024793384e-55,5.3004246805713866e-32,5.110391860688202e-98,4.7490357059993366e-98,4.7490357059993522e-98,3.6119494192292932e-46,2.1421911457022372e-21,1.9048850408317197e-39,4.2974539894594335e-46,3.1126380632507449e-41,1.73207787945883e-41,1.5239384974917494e-60,6.0936037165467477e-48
5.98061222748497e-22,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999999999412,1.0,19.0,1.9503713828594427e-16,8.7682093322242713e-16,8.7681638106691759e-16,1.2015078144564509e-27,1.2015068408159721e-27,3.9411775410957613e-15,1.3159615180398752e-24,1.6067347903048978e-17,2.3648543517592274e-24,6.8296150968253993e-28,3.0391072304491933e-40,1.6812751708679017e-29,3.4548178735737123e-40,7.9830992949458349e-30,3.6269828714643131e-41,3.6269828714669487e-41,2.3079014858214978e-53,3.2710224629196716e-54,2.3148347126298879e-31,8.636336321997284e-96,8.0256603955738525e-96,8.0256603955739024e-96,3.1947305243295116e-45,4.5521561848549423e-21,8.3191334320123053e-39,3.8010492004587186e-45,2.7530931163650343e-40,1.5320032686248281e-40,2.7117671325778307e-59,5.3897234794132875e-47
1.2313025174233762e-21,0.64567298049283,154.0,0.0,0.0,0.0,0.9999999999999879,1.0,19.0,4.0154704941223589e-16,1.8052195683951113e-15,1.805210196311667e-15,5.016058607974521e-27,5.0160240333016257e-27,8.1141890472747692e-15,5.493880285675675e-24,3.3079833896727326e-17,9.8728013878219463e-24,2.8512298601276726e-27,2.554486264182558e-39,7.0189928755637511e-29,2.9037691193398065e-39,3.3327868079962915e-29,3.048697645558906e-40,3.0486976455633497e-40,3.8926131737070123e-52,5.5170574822618356e-53,9.663979249111144e-31,1.2645498763342398e-93,1.1751334689080893e-93,1.1751334689081042e-93,2.6853643618913576e-44,9.3720862639162341e-21,3.4730744458926289e-38,3.1950105703092743e-44,2.3141406487994914e-39,1.2877410563937701e-39,4.57379162935221e-58,4.5303873396384052e-46
2.4977851067731347e-21,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999999997535,1.0,19.0,8.1456687166481217e-16,3.6620168387281244e-15,3.6619978267932192e-15,2.0492236112422023e-26,2.0491845537311201e-26,1.6460212035180135e-14,2.2444293538406215e-23,6.710480581829569e-17,4.0333615017497223e-23,1.1648204299309558e-26,2.0942131569330188e-38,2.8674876112075421e-28,2.3803353619964334e-38,1.3615521572061531e-28,2.49950652435141e-39,2.4995065243587092e-39,6.3936287868359214e-51,9.0617834676796653e-52,3.9480508511448968e-30,1.7291649924605031e-91,1.6068956186970382e-91,1.6068956186970791e-91,2.2016242887418363e-43,1.9011946425062335e-20,1.4188642351815925e-37,2.6194621865376704e-43,1.8972723154070169e-38,1.0557679184176813e-38,7.5124664855887481e-57,3.714285255493365e-45
5.0307502854726516e-21,0.6456729804928298,154.0,0.0,0.0,0.0,0.99999999999995037,1.0,19.0,1.6406065161699364e-15,7.3756113793447348e-15,7.3755730877245365e-15,8.2832894786806827e-26,8.2829300376195833e-26,3.3152257913180279e-14,9.0723422712255899e-23,1.3515474939827908e-16,1.630349201450359e-22,4.7083904062716452e-26,1.6957715618522985e-37,1.1590843375642489e-27,1.9270906400092305e-37,5.5036115127577171e-28,2.0241651874520694e-38,2.0241651874639026e-38,1.0364347654711024e-49,1.4689541455703627e-50,1.595865277938842e-29,2.2869862351921161e-89,2.1252732835658491e-89,2.1252732835659575e-89,1.7829325665011444e-42,3.8291666759448616e-20,5.7352760987579568e-37,2.121307561236832e-42,1.5364603063162738e-37,8.5498823029143872e-38,1.2178031907755121e-55,3.0079244992203714e-44
1.0096680642871685e-20,0.6456729804928301,154.0,0.0,0.0,0.0,0.9999999999999003,1.0,19.0,3.2926858051800711e-15,1.480280046038028e-14,1.480272360946001e-14,3.3306742676429021e-25,3.3303676512583966e-25,6.6536349277938246e-14,3.6479489012193245e-22,2.712546355056326e-16,6.5555623897677661e-22,1.8932230658471628e-25,1.3646203624724002e-36,4.6606271263319811e-27,1.5501787940220757e-36,2.2129779834125157e-27,1.629224241171442e-37,1.6292242411904993e-37,1.6691461967637466e-48,2.3657053518829635e-49,6.4169040939185824e-29,2.9754317917768773e-87,2.7650388082090908e-87,2.7650388082093725e-87,1.4350592958250681e-41,7.6851107476597432e-20,2.3061292972881525e-36,1.7074115362331693e-41,1.2366769158109318e-36,6.8816890572741598e-37,1.9612344961109029e-54,2.4210393204471818e-43
2.0228541357669754e-20,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999999980027,1.0,19.0,6.5968443831998882e-15,2.9657178621660808e-14,2.9657024652422347e-14,1.3357493489681527e-24,1.3354963914688684e-24,1.3330453044248486e-13,1.4629906482965766e-21,5.434544035098866e-16,2.6290736877781955e-21,7.5926711924958003e-25,1.0945661992736451e-35,1.8691199159612019e-26,1.2424606538556016e-35,8.8750314912399436e-27,1.3073498484507135e-36,1.3073498484813043e-36,2.6793491726170339e-47,3.7974809688079649e-48,2.5734655447367423e-28,3.8396371057413648e-85,3.5681361058890519e-85,3.5681361058897782e-85,1.1515447301139345e-40,1.5396998910440029e-19,9.2486099448244268e-36,1.3700880804625925e-40,9.9235532932789827e-36,5.5221220057164836e-36,3.1482157146535502e-53,1.9427315828598153e-42
4.049226278726589e-20,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999999960021,1.0,19.0,1.3205161539237706e-14,5.9365934941060198e-14,5.9365626736312554e-14,5.3499646242438311e-24,5.3479104770034573e-24,2.6684088651170118e-13,5.8595933549260931e-21,1.0878539226765824e-15,1.0530007644583072e-20,3.0410287401838924e-24,8.7625558118586679e-35,7.4862288346923304e-26,9.9314854567912053e-35,3.5546417876696265e-26,1.0474707844655108e-35,1.047470784514536e-35,4.2939445200070126e-46,6.0858711484543579e-47,1.0307285304154313e-27,4.9347283220443533e-83,4.5857933481334016e-83,4.5857933481352684e-83,9.2263710093629804e-40,3.082077531340266e-19,3.7042680442129014e-35,1.097734273488236e-39,7.950918346017316e-35,4.4244173298190918e-35,5.0453539625051555e-52,1.5565493641804233e-41
8.101970564645816e-20,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999999919997,1.0,19.0,2.6421795851306091e-14,1.1878344756721792e-13,1.1878283089595508e-13,2.1413800881246668e-23,2.1397250069094651e-23,5.3391357361062853e-13,2.3453642704178628e-20,2.1766528936427315e-15,4.2147470312203436e-20,1.2172039685442596e-23,7.0037223572547641e-34,2.9964424158673661e-25,7.9141408848441938e-34,1.422783080915004e-25,8.38613534317327e-35,8.3861353439583155e-35,6.8759044630440722e-45,9.7453226774013673e-46,4.1256002778955658e-27,6.3292793561789109e-81,5.8817355842598204e-81,5.8817355842646088e-81,7.3867068789532222e-39,6.1668328428936174e-19,1.4826725913675263e-34,8.7884937598926044e-39,6.3655688569105968e-34,3.5422239216858077e-34,8.0791399590510847e-51,1.2461859398192818e-40
1.620745913648427e-19,0.6456729804928298,154.0,0.0,0.0,0.0,0.9999999999983995,1.0,19.0,5.2855064475413834e-14,2.3761847276901258e-13,2.376172391826885e-13,8.5683096084906983e-23,8.5550291186687195e-23,1.0680588476504809e-12,9.3845110545639649e-20,4.3542505661060919e-15,1.6864476280110844e-19,4.8704010157337003e-23,5.586548525226869e-33,1.1989672025846505e-24,6.2751543324040007e-33,5.6929855801415926e-25,6.7114569869061045e-34,6.7114569881626871e-34,1.1005920671990016e-43,1.5598861394888219e-44,1.6507774956083875e-26,8.1096970707113554e-79,7.5362598418179777e-79,7.5362598418302493e-79,5.9116105010360035e-38,1.2336343589843619e-18,5.9326217445474811e-34,7.0333777829279079e-38,5.0943892018330663e-33,2.8348554076939437e-33,1.2931885465394986e-49,9.9732749292179913e-40
3.2418436280161175e-19,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999999679867,1.0,19.0,1.0572160172351328e-13,4.7528852297086754e-13,4.7528605562594891e-13,3.427881761618162e-22,3.4172530107774481e-22,2.1363489950983257e-12,3.7544146999226099e-19,8.7094448331573248e-15,6.7468872149458588e-19,1.9484772756983135e-22,4.4406729984216235e-32,4.796648983114418e-24,4.9298305218630621e-32,2.2775649335715588e-24,5.3701852859138597e-33,5.3701852879247996e-33,1.7613042275264034e-42,2.4963251983504851e-43,6.6041849052066301e-26,1.0385675958722405e-76,9.6513041090799327e-77,9.6513041091113632e-77,4.7301866074153378e-37,2.4675365579116831e-18,2.3734350938352571e-33,5.6276296564184105e-37,4.0762845611138018e-32,2.268314585613336e-32,2.0695227056344e-48,7.980135228031104e-39
6.484039056751499e-19,0.6456729804928298,154.0,0.0,0.0,0.0,0.99999999999359701,1.0,19.0,2.1145467621924789e-13,9.506286225704134e-13,9.5062368799164472e-13,1.3712642862845581e-21,1.3627779873008467e-21,4.2729276874677803e-12,1.5018874614756208e-18,1.7419829055759982e-14,2.698973374552862e-18,7.794541254252563e-22,3.5066961838000217e-31,1.9188153102005579e-23,3.8056821905044788e-31,9.1110011694537165e-24,4.2965561405606824e-32,4.2965561437785071e-32,2.8183689700013623e-41,3.9945251151148657e-42,2.6418889625538736e-25,1.329703498882379e-74,1.235680074649983e-74,1.2356800746580312e-74,3.784508631790764e-36,4.9353411539156075e-18,9.4945137438105639e-33,4.5023053039854487e-36,3.2613359822133672e-31,1.814823245543284e-31,3.3115732079021894e-47,6.3847143556175902e-38
1.2968429914222263e-18,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999998719358,1.0,19.0,4.2292082520886003e-13,1.901308818574794e-12,1.9012989506397339e-12,5.4852802367731034e-21,5.4177489266323923e-21,8.546078662111364e-12,6.0077891550904435e-18,3.4840580254983109e-14,1.0796323549833031e-17,3.1179416306466677e-21,2.7343218431067626e-30,7.6755700560832433e-23,2.8442125503949966e-30,3.6445487435639715e-23,3.4374080694124151e-31,3.4374080745611824e-31,4.5096053606315474e-40,6.3915603529779341e-41,1.0567985871211538e-24,2.9798954799135836e-72,2.7691868698035737e-72,2.7691868698395845e-72,3.0277506912207003e-35,9.8709511385205839e-18,3.7979605938508286e-32,3.6016538276963102e-35,2.6091905583357382e-30,1.4519263587192835e-30,5.2987866908410251e-46,5.1080139579977465e-37
2.593721162916379e-18,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999997438671,1.0,19.0,8.4585312318065589e-13,3.802669197976538e-12,3.8026494676027082e-12,2.1941566502284196e-20,2.1407338665841804e-20,1.7092354971094146e-11,2.4031604347294669e-17,6.9682013669637236e-14,4.3186098789020215e-17,1.2472006340127522e-20,2.0816458980720097e-29,3.0702876828278253e-22,2.00927936567945e-29,1.4578491398851661e-22,2.749991693685516e-30,2.7499917019237052e-30,7.2155061246318822e-39,1.0226740901003752e-39,4.2272803578459313e-24,3.827225133471997e-70,3.55660178797427e-70,3.5566017880669235e-70,2.4222581325229112e-34,1.9742174278119063e-17,1.519215591060161e-31,2.8808133549464674e-34,2.087398649217719e-29,1.1615667970811546e-29,8.4782744811637538e-45,4.0865081442884061e-36
5.1874775059046845e-18,0.6456729804928301,154.0,0.0,0.0,0.0,0.99999999994877309,1.0,19.0,1.6917177190945341e-12,7.6053899076690981e-12,7.605350468195834e-12,8.7767152048241097e-20,8.3588031652860127e-20,3.4184805028457572e-11,9.6127065651956703e-17,1.3936460456486967e-13,1.7274556012001344e-16,4.9888421464746025e-20,1.5177856260815436e-28,1.2281253223414541e-21,1.3003625594601546e-28,5.8314557391883618e-22,2.2000194083625592e-29,2.2000194215436765e-29,1.1544809554213289e-37,1.6362943131961401e-38,1.6909293478178932e-23,4.8990928822609589e-68,4.5526777002752118e-68,4.5526777005124212e-68,1.9378296402372172e-33,3.9484633238870192e-17,6.0769277414653723e-31,2.3037536026654438e-33,1.6699333882002587e-28,9.2926148899556327e-29,1.3565412185341015e-43,3.2692452841042203e-35
7.78123384889299e-18,0.6456729804928298,154.0,0.0,0.0,0.0,0.99999999992315947,1.0,19.0,2.5375823149786991e-12,1.1408110569512855e-11,1.1408051435456149e-11,1.8650574617285267e-19,1.7470819738493178e-19,5.1277152525834263e-11,2.0427014157852543e-16,2.0904691952711883e-13,3.6708454360406927e-16,1.0601304922046171e-19,4.1215639844038669e-28,2.6097708224466981e-21,3.3214526296513529e-28,1.2391880314167935e-21,6.2906995777650385e-29,6.2906996262801717e-29,4.2492425937213935e-37,6.0226578463106698e-38,3.5932356198294945e-23,2.5277532900832049e-67,2.349015688371234e-67,2.3490156885168692e-67,5.5410027564483645e-33,5.9227104881175589e-17,1.2913515605556442e-30,6.5857977592148289e-33,4.7749715486915277e-28,2.6571102789947735e-28,4.9929867909453738e-43,9.3480266768494655e-35
1.29687465348696e-17,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999987193222,1.0,19.0,4.2293115066281752e-12,1.9013551711092081e-11,1.9013453236645556e-11,5.1563493332556539e-19,4.6342004503671064e-19,8.5461437285563767e-11,5.647450215532802e-16,3.4841044572842552e-13,1.0148774896252985e-15,2.930945708266769e-19,1.6484159291507977e-27,7.2152458268347192e-21,1.1678355011845329e-27,3.4260000626236579e-21,2.890981803448366e-28,2.8909818407757236e-28,3.2693441792490658e-36,4.6338770681706779e-37,9.9342680169933333e-23,1.7039937361426718e-65,1.5835042289469729e-65,1.5835042291127966e-65,2.5464493127354233e-32,9.8712098892004008e-17,3.5702212875946546e-30,3.0244930872750633e-32,2.1943950016909688e-27,1.2211066505458034e-27,3.8416613085300258e-42,4.2960207258983474e-34
1.763750795224855e-17,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999982582777,1.0,19.0,5.7518677790167003e-12,2.5858448597608981e-11,2.5858314750016925e-11,9.1819389903456971e-19,8.0306946822323034e-19,1.1622696220295767e-10,1.0056405149546691e-15,4.7383672777659031e-13,1.8071906476998756e-15,5.2191375007151288e-19,3.4441026738687558e-27,1.2848200484107259e-20,2.2910622435384702e-27,6.1006971175581906e-21,6.5075780407027539e-28,6.5075781435029375e-28,9.0038216237543377e-36,1.2761861917609062e-36,1.7690006127263942e-22,9.7446810017472189e-65,9.0556339811451069e-65,9.0556339821786084e-65,5.7320417593700889e-32,1.3424863447616844e-16,6.357517530590875e-30,6.8054827667222574e-32,4.9395513295098317e-27,2.7486933637817571e-27,1.0580097938430879e-41,9.6703101101627683e-34
2.23062693696275e-17,0.6456729804928301,154.0,0.0,0.0,0.0,0.99999999977972331,1.0,19.0,7.2744240513036051e-12,3.2703345341862037e-11,3.2703176149391034e-11,1.4333144024860119e-18,1.2203147531330143e-18,1.469921363801205e-10,1.5698136050169182e-15,5.9926206616291266e-13,2.8210403453725239e-15,8.1471307370619129e-19,6.0527741340989598e-27,2.0056191182319615e-20,3.819695960650612e-27,9.5232799973229772e-21,1.2299754585500752e-27,1.2299754817035349e-27,2.0279088438568909e-35,2.8743474230409323e-36,2.761436658612174e-22,3.0090332642814672e-64,2.7962643305206918e-64,2.796264330900698e-64,1.0833945114321015e-31,1.6978521343091702e-16,9.9241882628933123e-30,1.2857606225799897e-31,9.3360500010970525e-27,5.1951962775142666e-27,2.3829564090020311e-41,1.8277528482918711e-33
2.6975030787006448e-17,0.6456729804928298,154.0,0.0,0.0,0.0,0.99999999973361886,1.0,19.0,8.7969803234945205e-12,3.9548241956922955e-11,3.9548037441082674e-11,2.054761183596405e-18,1.7056668337249055e-18,1.7775697924946866e-10,2.2504342181652778e-15,7.2468651316683543e-13,4.0441525693131155e-15,1.1679480086747477e-18,9.4822927075590284e-27,2.8751961964938489e-20,5.7361791222961967e-27,1.3652320254365992e-20,2.0558582422506505e-27,2.0558582867506117e-27,3.8975504484272048e-35,5.5244103605696503e-36,3.9587220709528245e-22,9.2737358635960396e-64,8.6179894120746613e-64,8.617989413309045e-64,1.8108545554417535e-31,2.0532183335377959e-16,1.4227062356752718e-29,2.1482903333359976e-31,1.560481370697312e-26,8.6835514018779111e-27,4.5799829972993597e-41,3.0550209652899603e-33
3.631255362176435e-17,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999964140984,1.0,19.0,1.1842092867657449e-11,5.323803490622122e-11,5.3237759778898126e-11,3.5401297979406902e-18,2.8178917357214978e-18,2.392859094569083e-10,3.8772283216755189e-15,9.7553337441147282e-13,6.9675899666097631e-15,2.0122389787023651e-18,1.8323855894771897e-26,4.9536334459805837e-20,1.046077308647137e-26,2.3521463698811328e-20,4.3890249993232648e-27,4.3890251143972683e-27,1.0078796563198217e-34,1.4285919366024736e-35,6.8204481167417611e-22,5.8560065683954145e-63,5.4419279739489326e-63,5.4419279747808892e-63,3.8659739398746909e-31,2.7639516662653775e-16,2.4511713799190467e-29,4.5835533702613601e-31,3.331435200042388e-26,1.8538310896186251e-26,1.1843713635630059e-40,6.5221246426553212e-33
4.565007645652225e-17,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999954920105,1.0,19.0,1.4887205411465562e-11,6.6927827416794844e-11,6.6927481718675553e-11,5.4185234047321383e-18,4.1430484852168079e-18,3.0081361504537881e-10,5.9344494761699424e-15,1.2263769407964275e-12,1.0664528162186413e-14,3.0799210604715646e-18,3.0481017090915409e-26,7.5820077005655062e-20,1.6634813755120226e-26,3.6001960741301752e-20,7.9809678029281989e-27,7.9809680466237468e-27,2.1344129635755864e-34,3.0254000458804008e-35,1.0439380809909158e-21,2.1022204005653491e-62,1.9535722643594293e-62,1.9535722646935881e-62,7.0298627905988472e-31,3.4746865133412472e-16,3.7517686368138563e-29,8.3298889492897233e-31,6.0578272656028753e-26,3.3709761243269139e-26,2.5082112912918679e-40,1.1859779318791744e-32
5.498759929128015e-17,0.6456729804928298,154.0,0.0,0.0,0.0,0.99999999945699214,1.0,19.0,1.7932317954894795e-11,8.0617619487005872e-11,8.0617203233417104e-11,7.7165998209625227e-18,5.6674629103533564e-18,3.6234001297605699e-10,8.4512840299508717e-15,1.4772169888820028e-12,1.518741660982307e-14,4.386143482916364e-18,4.6316565157943949e-26,1.0797614123452962e-19,2.4360457728865293e-26,5.127093318881577e-20,1.3202081132032628e-26,1.3202081593069918e-26,4.0379999136502551e-34,5.7236829050902344e-35,1.4866879753735229e-21,6.4027001177027316e-62,5.9499647942099368e-62,5.949964795317649e-62,1.1628777295004638e-30,4.1854229774802267e-16,5.3429571546062839e-29,1.3771188227149928e-30,1.0020784037994972e-25,5.5762276231537317e-26,4.7452434895496769e-40,1.9618394169873122e-32
7.366264496079594e-17,0.64567298049283,154.0,0.0,0.0,0.0,0.99999999927257444,1.0,19.0,2.4022543040595251e-11,1.079972024248297e-10,1.0799664496384329e-10,1.3595448738372906e-17,9.1820075917031739e-18,4.8538881233455576e-10,1.4889637355315831e-14,1.9788863321786859e-12,2.6757487369457674e-14,7.7276324040213066e-18,8.9602405245151287e-26,1.9023576206456798e-19,4.4557510276187965e-26,9.0331430191071486e-20,3.0453021813690921e-26,3.0453023210967438e-26,1.2238011893565595e-33,1.7347389935209835e-34,2.6193138400821606e-21,5.3046989893484234e-61,4.9296034085548749e-61,4.9296034099278557e-61,2.6823947349287473e-30,5.6069008480677821e-16,9.4134892192306387e-29,3.1719322849387666e-30,2.3114507656940169e-25,1.2862442256201371e-25,1.4382080227852601e-39,4.5253427218174342e-32
