Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931)
0.0,0.645903128371854,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.981967913895087e-24,0.645903128371854,154.0,0.0,0.0,0.0,0.99999999999999967,1.0,19.0,5.3791749678538909e-18,2.6591878770259851e-17,2.6591577124180068e-17,5.6073743224953258e-31,5.6074371396847698e-31,3.1788071808059509e-16,1.64531035364758e-27,2.9450900411017957e-18,3.4742887089577559e-27,2.9923472219783797e-31,3.6724578318016747e-45,7.243335520212825e-32,3.9195712630529582e-45,1.1616674728891001e-32,1.4795986951773676e-45,1.4795986951773866e-45,1.6649718822617974e-59,2.476806290747115e-60,1.7071659123769211e-34,5.0687932728243703e-106,4.6682777649721188e-106,4.6682777649721218e-106,4.4851197830888926e-50,3.0164608007784155e-22,1.4345409152107697e-41,6.8940143231390397e-50,1.8688806854322444e-44,8.8504122686916393e-45,3.9602385854312231e-65,1.8366288283661484e-51,2.1302816265480113e-82,1.9310372379691979e-66,1.8395090336567731e-59,2.3557399807293332e-76
1.6749510158906244e-23,0.645903128371854,154.0,0.0,0.0,0.0,0.999999999999999,1.0,19.0,1.5061689909990887e-17,7.4457260556724736e-17,7.4456415947702274e-17,3.3868540907852888e-30,3.386891571385035e-30,8.9006601060882018e-16,9.9376745358744341e-27,8.2462521149814621e-18,2.0984703801773435e-26,1.8073777220537154e-30,4.3599384374654578e-44,4.3749746541642601e-31,4.6533047664151677e-44,7.0164715362491365e-32,1.7565795709143152e-44,1.7565795709143578e-44,3.7244755015229627e-58,5.5405166000623349e-59,1.0311282110757038e-33,5.4011925705514036e-104,4.974412216931543e-104,4.9744122169315473e-104,5.3247989080407944e-49,8.4460902421906237e-22,8.6646271278955029e-41,8.1845737892546568e-49,2.2187351497130164e-43,1.0507209445238478e-43,8.8588953060684473e-64,2.180445745036242e-50,8.7906667798378516e-81,4.3197032016554513e-65,2.1838653274800835e-58,9.7211370967457194e-75
3.8284594648928555e-23,0.645903128371854,154.0,0.0,0.0,0.0,0.99999999999999767,1.0,19.0,3.4426719794264846e-17,1.701880241296431e-16,1.7018609359473898e-16,1.6306244529788074e-29,1.6306420287436677e-29,2.0344365955978854e-15,4.784562508171739e-26,1.8848576262326532e-17,1.0103231565152032e-25,8.7017457211947305e-30,4.2806059973729185e-43,2.1063619692114587e-30,4.5686205294091864e-43,3.3781290111599587e-31,1.7246202390979461e-43,1.7246202390980306e-43,7.3589359622513494e-57,1.0947127144446183e-57,4.9644384731927377e-33,1.2291850566604027e-101,1.1320598336113588e-101,1.1320598336113604e-101,5.2279474953838901e-48,1.9305349125059272e-21,4.1716449814662293e-40,8.0356630480052244e-48,2.1783673268401751e-42,1.0316040539915042e-42,1.7503684273262597e-62,2.1407745623434266e-49,3.4775003581642836e-79,8.5350539378866351e-64,2.1441323580699246e-57,3.8456074481503908e-73
8.135476362897318e-23,0.645903128371854,154.0,0.0,0.0,0.0,0.99999999999999489,1.0,19.0,7.315677956281266e-17,3.6164955127543416e-16,3.6164544888878169e-16,7.1213653895397841e-29,7.121438022144667e-29,4.3231777653064778e-15,2.0895441488891555e-25,4.0053224555359608e-17,4.4123466598626551e-25,3.8002809715835284e-29,3.786134338463404e-42,9.1990361099838314e-30,4.0408545468820048e-42,1.4753176905675616e-30,1.525407070778392e-42,1.5254070707785427e-42,1.3094833354963843e-55,1.94798278494327e-56,2.1681007087193608e-32,2.0772684053833337e-99,1.9131310721866229e-99,1.9131310721866286e-99,4.6240716148117287e-47,4.102386689097352e-21,1.8218669623519268e-39,7.1074529077875816e-47,1.9267412312439625e-41,9.1244210315392739e-42,3.1146870946038456e-61,1.8934908568920349e-48,1.2410951769247022e-77,1.5187711682086758e-62,1.896461553060952e-56,1.3724736285548792e-71
1.6749510158906244e-22,0.645903128371854,154.0,0.0,0.0,0.0,0.99999999999998945,1.0,19.0,1.5061689909990782e-16,7.4457260556683385e-16,7.4456415947674428e-16,2.9730298657606716e-28,2.9730567407383355e-28,8.900660103645509e-15,8.7234354928500327e-25,8.2462521134797542e-17,1.8420678730270763e-24,1.5865424967968238e-28,3.1824518543933355e-41,3.8404164921990306e-29,3.3965168371666722e-41,6.1591609412436461e-30,1.2821965556585589e-41,1.2821965556588128e-41,2.2086350422676332e-54,3.2855576895006744e-55,9.0513936674284701e-32,3.0415785203632065e-97,2.8012453088501835e-97,2.8012453088502001e-97,3.8868152778108827e-46,8.4460902423509743e-21,7.6059359327550022e-39,5.9742423289592384e-46,1.6195420995249499e-40,7.6696256636538138e-41,5.2533750372958926e-60,1.5915931566002511e-47,4.1933801013120621e-76,2.56163269958455e-61,1.5940914907746294e-55,4.6372840502317141e-70
3.3977577750924097e-22,0.645903128371854,154.0,0.0,0.0,0.0,0.99999999999997857,1.0,19.0,3.0553713817409634e-16,1.5104187141489029e-15,1.5104015806521775e-15,1.2145797077274671e-27,1.2145878695376594e-27,1.8055624776010954e-14,3.5638080365610809e-24,1.672811142671605e-16,7.5254483112364914e-24,6.4815437741869545e-28,2.6091299189295681e-40,1.5689354464970995e-28,2.7845633052333476e-40,2.5162182129645453e-29,1.0512222033791875e-40,1.0512222033796041e-40,3.6276896852458233e-53,5.3965383694200059e-54,3.6977896528500128e-31,4.1591013511969841e-95,3.8304660133133015e-95,3.8304660133133487e-95,3.1866477727969313e-45,1.7133497349141322e-20,3.1072730042431777e-38,4.8980446520394373e-45,1.3277984614686413e-39,6.2880224967458128e-40,8.6286842736893613e-59,1.3048842297885983e-46,1.3786916315876332e-74,4.2074919015239479e-60,1.3069346224517033e-54,1.5246384733361504e-68
6.84337129349598e-22,0.645903128371854,154.0,0.0,0.0,0.0,0.9999999999999567,1.0,19.0,6.1537761632246574e-16,3.0421109313101207e-15,3.0420764230010779e-15,4.9095253731286156e-27,4.9095355861968483e-27,3.63655541034914e-14,1.4405481879905947e-23,3.3691830042583478e-16,3.041906527330663e-23,2.6199436234464368e-27,2.1128821213972661e-39,6.3418879237485491e-28,2.2548392322925911e-39,1.0170956325431023e-28,8.5130699506828418e-40,8.5130699506895972e-40,5.8806412952418005e-52,8.7480212446017855e-53,1.4947057002539891e-30,5.5008096871844484e-93,5.0661579926172676e-93,5.0661579926173911e-93,2.5806306945574712e-44,3.4508311563854427e-20,1.2560094294447399e-37,3.9665632940829728e-44,1.0752856190559287e-38,5.0922036432939959e-39,1.3987469043005591e-57,1.0567290806902356e-45,4.4717532595217822e-73,6.8205276656615942e-59,1.0583929551068328e-53,4.94512982598368e-67
1.3734598330303121e-21,0.645903128371854,154.0,0.0,0.0,0.0,0.99999999999991296,1.0,19.0,1.235058572619175e-15,6.1054953656208733e-15,6.105426107691013e-15,1.9740985595829126e-26,1.9740843481966301e-26,7.2985412689450477e-14,5.7923809000623336e-23,6.761926723189768e-16,1.2231372345317313e-22,1.0534678072136301e-26,1.7005364859011962e-38,2.550045239742997e-27,1.8146134332884782e-38,4.0896968049238483e-28,6.8520593165874259e-39,6.8520593165983062e-39,9.47059147629074e-51,1.4088418512330083e-51,6.0101458811935147e-30,7.1567042131570106e-91,6.5912104421242011e-91,6.5912104421245226e-91,2.0771163759172519e-43,6.9257939997810262e-20,5.0503586753696188e-37,3.1926348109509913e-43,8.6548341307956931e-38,4.0986484997014333e-38,2.2526387684462205e-56,8.505474974904026e-45,1.4406348788122783e-71,1.0984251064154947e-57,8.5189222301078527e-53,1.5931396741948408e-65
2.7517052403917402e-21,0.6459031283718538,154.0,0.0,0.0,0.0,0.99999999999982558,1.0,19.0,2.4744204852124749e-15,1.2232264234195653e-14,1.2232125477039422e-14,7.9170181604861611e-26,7.9168142430905125e-26,1.4622512958536136e-13,2.3230038064902317e-22,1.3547414144084343e-15,4.905327361407789e-22,4.2248770751537799e-26,1.3644212167982053e-37,1.0226821932862924e-26,1.4556680889874561e-37,1.6401513349019207e-27,5.4983460738272688e-38,5.4983460738447337e-38,1.5202396611857293e-49,2.2615031776151636e-50,2.4103373087169428e-29,9.2353476665756838e-89,8.5056079116357382e-89,8.5056079116365642e-89,1.6667551927015097e-42,1.3875719688384043e-19,2.0254197123367445e-36,2.5618877105301938e-42,6.9449593135658924e-37,3.2889072905219104e-37,3.6159841077007025e-55,6.8251080112346506e-44,4.625576467477742e-70,1.7632156630011525e-56,6.8359867687602347e-52,5.115237693750737e-64
