Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119)
0.0,0.362704266957173,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1875902407015514e-20,0.362704266957173,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,5.0837293639236014e-17,2.3705302290827804e-16,2.3705298736767971e-16,2.368209152893123e-26,2.3680643910480952e-26,5.2263804804366082e-18,6.8651044816728841e-26,4.2318914672730768e-22,5.7796579336974239e-26,1.8195562178391914e-26,4.4930393795565406e-38,7.0628692025118228e-30,6.903418771913012e-38,3.5900811569159126e-31,8.6382051987475708e-42,8.6382051994872127e-42,6.6304571096028574e-52,7.6596557186935737e-53,4.8659613177718404e-31,1.1251239099178209e-94,1.092370428144229e-94,1.0923704281442301e-94,5.0906127214424378e-43,3.5558793105794497e-23,4.7149438459318649e-40,1.3801485581197635e-43,2.9382216750898536e-42,3.4900333239794635e-42,3.224494513287239e-59,4.9474460868031937e-47,1.6392457440962285e-75,1.1515826197553165e-59,1.1441670344049607e-58,3.0983428088136359e-67,1.4998085215809713e-78,3.6419767859697269e-89,1.3783535524209226e-91,5.961383107185425e-71,1.190964699744414e-102
6.125252673964343e-20,0.362704266957173,154.0,0.0,0.0,0.0,0.99999999999999845,1.0,19.0,1.4234442218985959e-16,6.6374846400750596e-16,6.6374836455276979e-16,1.4303983281497086e-25,1.4302262690458901e-25,1.4633864925223509e-17,4.1465230076263891e-25,1.1849295905623777e-21,3.4909133083502428e-25,1.0990119480004438e-25,5.3338888113679804e-37,4.2659729975833183e-29,8.1945005220835321e-37,2.168409018516955e-30,1.0255277210049491e-40,1.0255277211704041e-40,1.4832066473334958e-50,1.7134343295880022e-51,2.9390406354557077e-30,1.1989068353828719e-92,1.1640054588902507e-92,1.1640054588902526e-92,6.0435754611759635e-42,9.9564623849367217e-23,2.8478261590888591e-39,1.6385086080034187e-42,3.4882566961562737e-41,4.1433674713487454e-41,7.2130652463661566e-58,5.8736079931970639e-46,6.7643934618076937e-74,2.5760442141296072e-58,1.4792436750606401e-57,1.2785398146073302e-65,1.1290184016713086e-76,4.9712802857865923e-87,1.8814457764811539e-89,1.446912047446914e-69,2.9380993032028445e-100
1.400057754048993e-19,0.362704266957173,154.0,0.0,0.0,0.0,0.99999999999999656,1.0,19.0,3.253586792911015e-16,1.5171393456633375e-15,1.5171391186160155e-15,6.8867522136471371e-25,6.8850620512781903e-25,3.3448832134801479e-17,1.9963722343144326e-24,2.7084103971361863e-21,1.6807244017147152e-24,5.2912693678601491e-25,5.2363194015063195e-36,2.0538823629897734e-28,8.0427875825832539e-36,1.0439956000407625e-29,1.0068691973758926e-39,1.0068691977028039e-39,2.9305660204479356e-49,3.3854574274366978e-50,1.4150215504903621e-29,2.7284314458203611e-90,2.6490040788939149e-90,2.6490040788939227e-90,5.9336182431889466e-41,2.2757629794908317e-22,1.3711057845905979e-38,1.6086895027917696e-41,3.4247909473025027e-40,4.0679825607034861e-40,1.4251801420663753e-56,5.7667431555053068e-45,2.6759267839479517e-72,5.0898290289971842e-57,1.7083956677179584e-56,5.0577761283941845e-64,8.9268086086395907e-75,7.8534040956943665e-85,2.9722230728255002e-87,3.3491047880454762e-68,9.2747055411502307e-98
2.97512272735411e-19,0.362704266957173,154.0,0.0,0.0,0.0,0.99999999999999278,1.0,19.0,6.9138719349356478e-16,3.2239211068050482e-15,3.2239206255147712e-15,3.0076256211093393e-24,3.0061305806296901e-24,7.1078759833975264e-17,8.7186811525122718e-24,5.7553716858985132e-21,7.3401642799493888e-24,2.3108362792527772e-24,4.6305328643779393e-35,8.9698438758179812e-28,7.1090953191507623e-35,4.559403065249229e-29,8.9056440193081802e-39,8.9056440251253874e-39,5.2147843203691904e-48,6.0242403595344146e-49,6.1797708661550293e-29,4.6109285177097672e-88,4.4766997791404159e-88,4.4766997791404443e-88,5.2482181482276019e-40,4.8359969659879694e-22,5.9879798642155519e-38,1.4228534789543045e-40,3.029188520067996e-39,3.598084164063271e-39,2.5360319154605113e-55,5.1006190107790538e-44,9.5501926180601822e-71,9.0570779182779915e-56,1.9665750478314553e-55,1.8050841999335964e-62,6.3805089169022361e-73,1.1234037437379519e-82,4.25166779472269e-85,7.7122644664430643e-67,2.6543015201360213e-95
6.125252673964345e-19,0.362704266957173,154.0,0.0,0.0,0.0,0.99999999999998512,1.0,19.0,1.4234442218984097e-15,6.6374846204129828e-15,6.6374836344013367e-15,1.2556244901055132e-23,1.2543682186257162e-23,1.4633858835240386e-16,3.6398770108921626e-23,1.1849292965882278e-20,3.0643734701848893e-23,9.6472860103641669e-24,3.8906743366708966e-34,3.7447332409396339e-27,5.9677997833684885e-34,1.903461025766235e-28,7.4857303914677211e-38,7.485730401279289e-38,8.7954914650360523e-47,1.0160761049906493e-47,2.5799326840106385e-28,6.7514150148154133e-86,6.5548745745321568e-86,6.5548745745322368e-86,4.4114435878114459e-39,9.9564669569935168e-22,2.4998642889561366e-37,1.1959702479068578e-39,2.5462149884220139e-38,3.0244059646479314e-38,4.2773884987464237e-54,4.2873776072218134e-43,3.2267942397742182e-69,1.5276082683940469e-54,2.4193317668090073e-54,6.0989703493652099e-61,4.3151404321333506e-71,1.5201282140393833e-80,5.7531232271573339e-83,1.8922851910387981e-65,7.1847528933670394e-93
1.2425512567184812e-18,0.3627042669571729,154.0,0.0,0.0,0.0,0.9999999999999698,1.0,19.0,2.88755827870777e-15,1.3464611612961455e-14,1.3464609632530683e-14,5.1296357301782448e-23,5.1193449615282536e-23,2.9685813786966209e-16,1.4870079182691761e-22,2.4037130335688468e-20,1.2518960396362486e-22,3.9412306554972123e-23,3.1872422504065688e-33,1.5298457120822253e-26,4.8799821233101702e-33,7.7762593583872146e-28,6.1372540239170089e-37,6.1372540400325239e-37,1.4446606358484792e-45,1.6689077782536799e-46,1.0539866796285871e-27,9.2319889085419558e-84,8.9632364824583827e-84,8.9632364824586022e-84,3.6167679870345745e-38,2.0197415011049664e-21,1.0212765958103512e-36,9.8048958246048429e-39,2.0875400879884328e-37,2.4795897920071591e-37,7.025623450441425e-53,3.51505118388321e-42,1.0608993474751925e-67,2.5091001683082323e-53,3.2401907839429777e-53,2.0052072269615021e-59,2.8386424011898389e-69,2.0004024848365116e-78,7.5707837623306515e-81,5.0512925276949018e-64,1.8911443683129884e-90
2.5026032353625746e-18,0.362704266957173,154.0,0.0,0.0,0.0,0.99999999999993927,1.0,19.0,5.8157863923251751e-15,2.7118865459664237e-14,2.7118861550214239e-14,2.0734807681868176e-22,2.0651623586018167e-22,5.978968068263966e-16,6.0107188508506296e-22,4.8412784314673178e-20,5.0603598220952668e-22,1.5931080715647331e-22,2.5769623381422944e-32,6.1838809333713227e-26,3.9313914909207519e-32,3.143288351490164e-27,4.9701073955721006e-36,4.9701074216959943e-36,2.3418523521996276e-44,2.7053705341779452e-45,4.2603826534565123e-27,1.2210188981517015e-81,1.1854738174105618e-81,1.1854738174106203e-81,2.9289524946679902e-37,4.0679343407341934e-21,4.1281670493830197e-36,7.9396258769396108e-38,1.6905427981651825e-36,2.0080345711164586e-36,1.138883835828898e-51,2.8465795648319918e-41,3.4410016004042064e-66,4.0673562544251814e-52,4.6594177730785637e-52,6.5038364713209782e-58,1.8418066075474504e-67,2.5961345649846112e-76,9.8254094161243847e-79,1.4488495644493359e-62,4.9089400393251715e-88
5.0227071926507615e-18,0.362704266957173,154.0,0.0,0.0,0.0,0.99999999999987821,1.0,19.0,1.1672242619554727e-14,5.4427372601681158e-14,5.4427365071280824e-14,8.3373748953148512e-22,8.2706701493415279e-22,1.1999724244336537e-15,2.4168796677089635e-21,9.7164009230273338e-20,2.0347451060005287e-21,6.405814478920798e-22,2.067515454789911e-31,2.4865112966317109e-25,3.1317479752061413e-31,1.2639024111077275e-26,4.0003747699313999e-35,4.0003748120029701e-35,3.7714655794945383e-43,4.3569129687072308e-44,1.7130811082111401e-26,1.5885790288577162e-79,1.5423339052776103e-79,1.5423339052777619e-79,2.3574757927527038e-36,8.1643329352644454e-21,1.6599208388396952e-35,6.3894829272998204e-37,1.3606938441137776e-35,1.6162384546780726e-35,1.834137304695963e-50,2.291174852125881e-40,1.1085644996100563e-64,6.5503414115715698e-51,7.0269005581774176e-51,2.0952942647942286e-56,1.1868511660033203e-65,3.3460531735305257e-74,1.2663574070964888e-76,4.3625675034355903e-61,1.2654210816748856e-85
1.0062915107227135e-17,0.362704266957173,154.0,0.0,0.0,0.0,0.99999999999975608,1.0,19.0,2.3385155073992793e-14,1.0904438469742074e-13,1.090443708562119e-13,3.3436601682174066e-21,3.2905306857609234e-21,2.4041167784626445e-15,9.6927367920581819e-21,1.9466612689312836e-19,8.1602112901579105e-21,2.5690156996999757e-21,1.6484803793014016e-30,9.9720221878464823e-25,2.4622803051281241e-30,5.0688138797590337e-26,3.2100487352617437e-34,3.210048802795427e-34,6.0539879450619124e-42,6.9938009965272559e-43,6.8702212874992605e-26,2.0499769977099293e-77,1.9903001180243762e-77,1.9903001180247678e-77,1.8917258740047529e-35,1.6357181785410606e-20,6.6570492417074204e-35,5.1255235048204911e-36,1.0918677883006061e-34,1.2969256195976795e-34,2.944196564308158e-49,1.838523480199853e-39,3.5593681082759359e-63,1.0514715108210733e-49,1.0897175572239388e-49,6.7275293389592384e-55,7.6218488201712874e-64,4.297725280250492e-72,1.6265301121415475e-74,1.3517650699797247e-59,3.2506989262401374e-83
