Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065)
0.0,0.6278673652978649,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2414694899503519e-20,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,7.8310171745693671e-17,2.3538671762131819e-16,2.3538664719284441e-16,8.1242381542217967e-27,8.1238299755303463e-27,2.3531605268049159e-17,1.8649623258194502e-25,4.1529716118300786e-21,1.8243445043666823e-25,5.8775646808337195e-27,1.3339516051433928e-38,3.6988323912765821e-30,1.9298680121539402e-38,6.4822155660011445e-31,1.4415154396106842e-41,1.4415154396509971e-41,3.5994383840843479e-52,4.3186268918267939e-53,2.6256024244373091e-31,1.0271804522438326e-94,9.8849339407988671e-95,9.8849339407988831e-95,9.421650057964164e-44,7.0434350793052583e-23,5.0017931308481911e-40,3.5155973822451644e-44,1.4286473145989087e-41,1.4604552003377389e-41,3.2398203365944367e-59,4.1122275357601726e-47,2.5371088698314994e-75,5.426017504431815e-60,3.3869702145887479e-58,1.3414719090087531e-67,4.593548236760579e-79,3.7479406412300741e-90,5.4107559270670565e-92,6.306626143805971e-71,1.5326783800476313e-103,4.3464734454523437e-107
3.476114571860985e-20,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999999999845,1.0,19.0,2.1926848088794039e-16,6.5908280929432688e-16,6.5908261211363789e-16,4.9070398447623793e-26,4.9065538590445081e-26,6.588849352700026e-17,1.1264372273404141e-24,1.1628320380383324e-20,1.1019040635630924e-24,3.5500490483168094e-26,1.5835821705958833e-37,2.2340947641576251e-29,2.2907491740859443e-37,3.915258201648953e-30,1.7113671297771291e-40,1.7113671298673076e-40,8.051799353248946e-51,9.660595542413519e-52,1.585863864281595e-30,1.0945404809763967e-92,1.0533164183905623e-92,1.0533164183905656e-92,1.1185383199425553e-42,1.9721618392193718e-22,3.0210830733536e-39,4.1737106957157596e-43,1.6960900678201e-40,1.7338523892331839e-40,7.2473485002779222e-58,4.8820365301157381e-46,1.046945079056514e-73,1.213778412302569e-58,4.0779712308906902e-57,5.5356213965310373e-66,3.4579084593675863e-77,5.1159205078633723e-88,7.3856551798145521e-90,1.4298580850497777e-69,3.7811039699263479e-101,1.0722711957305979e-104
7.945404735682252e-20,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999999999634,1.0,19.0,5.0118509917242669e-16,1.5064749924589085e-15,1.5064745418499196e-15,2.3625284546663193e-25,2.3620506224694876e-25,1.5060226515075327e-16,5.4233101816649597e-24,2.6579017386526244e-20,5.3051935625825618e-24,1.7091957808263355e-25,1.554589978198987e-36,1.0756204591230966e-28,2.2482451847167659e-36,1.8850282862695275e-29,1.680230396011321e-39,1.680230396189499e-39,1.5908997231727719e-49,1.9087708541579736e-50,7.635251849085639e-30,2.4909180430165645e-90,2.3971017218427162e-90,2.3971017218427315e-90,1.0981875664308771e-41,4.5077985698526627e-22,1.4545214759162111e-38,4.0977601077054079e-42,1.6652312352741437e-39,1.7023065052295534e-39,1.4319539354234602e-56,4.7932124146319842e-45,4.1416106179990046e-72,2.3982215191753486e-57,4.1244290772937207e-56,2.1898366996670408e-64,2.734064149766771e-75,8.0819002816450865e-86,1.1667524658984771e-87,2.9077115119181964e-68,1.1935820656876397e-98,3.3848413180944707e-102
1.6883985063324786e-19,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999999999223,1.0,19.0,1.0650183357413699e-15,3.2012593580624791e-15,3.2012584009012619e-15,1.0317782449854123e-24,1.0313553733314278e-24,3.2002978882166469e-16,2.3685018832454501e-23,5.6480409274957937e-20,2.3169172558927587e-23,7.4645068516048424e-25,1.3746964453282689e-35,4.6975171342334382e-28,1.987079703179485e-35,8.2324137654775352e-29,1.486144756783357e-38,1.4861447571004151e-38,2.8309205389557157e-48,3.3965556422529788e-49,3.3345150778181679e-29,4.2095413708464683e-88,4.0509959356220032e-88,4.0509959356220534e-88,9.713344704807337e-41,9.5790723033416375e-22,6.3522776219115078e-38,3.624397855294103e-41,1.4728780787519755e-38,1.5056707331435635e-38,2.5480855192028446e-55,4.2395420980622801e-44,1.4781114114951288e-70,4.2675066861513268e-56,3.862641661906761e-55,7.8153709688396352e-63,1.9541945673396538e-73,1.1560893882605262e-83,1.6690012219797722e-85,5.469255002225045e-67,3.4158785026787479e-96,9.6869810164414819e-100
3.476114571860985e-19,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999999998401,1.0,19.0,2.1926848088791394e-15,6.5908280863684798e-15,6.5908261173190599e-15,4.3074710639616437e-24,4.3039166462655418e-24,6.5888475785712729e-16,9.8880278165877607e-23,1.1628318455640608e-19,9.672672180276095e-23,3.116284530030338e-24,1.1549759107553548e-34,1.961120931436208e-27,1.6677964291215115e-34,3.4368706900842811e-28,1.2491942141998064e-37,1.2491942147345698e-37,4.7747595202939394e-47,5.7287871789300228e-48,1.3920944043413828e-28,6.1636958264427889e-86,5.931550385577037e-86,5.9315503855771849e-86,8.1646515179267531e-40,1.9721620859209166e-21,2.651951029103822e-37,3.046483477446304e-40,1.2380426201632966e-37,1.2656068186870538e-37,4.2977186645538195e-54,3.5635905828491368e-43,4.9942043899327374e-69,7.1977724747148918e-55,3.6078510232073423e-54,2.6406367437803767e-61,1.321622498587498e-71,1.564356659321623e-81,2.2584007800020152e-83,1.0220718668699467e-65,9.2462153214395588e-94,2.6221047601760745e-97
7.0515467029179985e-19,0.6278673652978647,154.0,0.0,0.0,0.0,0.99999999999996747,1.0,19.0,4.4480177551542101e-15,1.3369965531385692e-14,1.3369961543415108e-14,1.759742476579426e-23,1.7568300798480107e-23,1.3365943827027569e-15,4.0395809346639067e-22,2.3588870113765069e-19,3.9516011535838458e-22,1.2731037968224122e-23,9.460358523197552e-34,8.0118188923297403e-27,1.3633371296947107e-33,1.4040738179100464e-27,1.0241648885988603e-36,1.024164889477211e-36,7.8425511180609403e-46,9.4095489521837487e-47,5.6871598661585076e-28,8.4283326616383312e-84,8.1108934082219189e-84,8.1108934082223213e-84,6.6938746142407844e-39,4.0006722326502549e-21,1.0834086627225012e-36,2.4976234795571683e-39,1.0150218891610904e-36,1.0376206788971352e-36,7.059015813113478e-53,2.9216468593752214e-42,1.6419851369187294e-67,1.1822358581082589e-53,3.5500541592390748e-53,8.6818327527498772e-60,8.6940711275302906e-70,2.0586046758235454e-79,2.971927391705894e-81,2.0059714747614109e-64,2.433755044451777e-91,6.9018084634063804e-95
1.4202410965032026e-18,0.6278673652978649,154.0,0.0,0.0,0.0,0.9999999999999345,1.0,19.0,8.9586836477024797e-15,2.6928240375118989e-14,2.6928232368649012e-14,7.1131604297992643e-23,7.0896094698913183e-23,2.6920123794939888e-15,1.6328623386529391e-21,4.7509959837361087e-19,1.597299523249046e-21,5.1460881643361909e-23,7.6469774908136301e-33,3.2385052856895502e-26,1.0976048589965334e-32,5.6754908534212761e-27,8.2939527788870456e-36,8.2939527931254686e-36,1.2713094737887132e-44,1.5253280472902354e-45,2.2988409438922358e-27,1.1147276741222039e-81,1.0727432941958868e-81,1.0727432941959935e-81,5.4208732246984308e-38,8.0576942683322464e-21,4.3793121388181965e-36,2.0225305461956736e-38,8.2199063676193164e-36,8.4029171357771375e-36,1.1442968831050597e-51,2.3660253698369464e-41,5.325739434356627e-66,1.9164538675189181e-52,3.8339770807702032e-52,2.8159296116782275e-58,5.641005946556522e-68,2.671669892746094e-77,3.8569857687012734e-79,4.312640694007486e-63,6.3174226883238962e-89,1.7915378013257526e-92
2.850413948926008e-18,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999999986855,1.0,19.0,1.7980015432791528e-14,5.4044789878001669e-14,5.4044773911284073e-14,2.8601705086076387e-22,2.8412723151923014e-22,5.4028433614856131e-15,6.5656607117834203e-21,9.5352084914003249e-19,6.4226643462169925e-21,2.06921866630553e-22,6.132111131752665e-32,1.3021887250472279e-25,8.7322203489065133e-32,2.2820899018721642e-26,6.6756947191561776e-35,6.6756947420866599e-35,2.0473987298006431e-43,2.4564925524797119e-44,9.2435382976279118e-27,1.4502912531700339e-79,1.395668424310539e-79,1.3956684243108173e-79,4.3631903920185172e-37,1.6171745308589472e-20,1.7609030362920519e-35,1.6277319698028626e-37,6.6160892359065761e-35,6.7633920784037125e-35,1.8428548549349999e-50,1.9043830480455503e-40,1.7157579015725511e-64,3.0863853464159838e-51,4.629782379436307e-51,9.0718792468476125e-57,3.6350370897876249e-66,3.4434080450134755e-75,4.9711140844229753e-77,1.0362396339701341e-61,1.6284983711170921e-86,4.6182067616199677e-90
5.710759653771619e-18,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999999973666,1.0,19.0,3.6022679002939666e-14,1.0827788815033907e-13,1.0827785656522319e-13,1.1470562858559617e-21,1.1319844211558902e-21,1.0824485279179623e-14,2.6331180384531644e-20,1.9103611758558255e-18,2.5757702213583513e-20,8.2984863072624752e-22,4.8843672681573148e-31,5.2223591507354058e-25,6.8483432678589922e-31,9.1522011274001459e-26,5.3568245355825001e-34,5.3568245723908039e-34,3.2865091759619687e-42,3.9432105825738176e-43,3.7070722599043549e-26,1.871524002686557e-77,1.8010361368502418e-77,1.8010361368509605e-77,3.5011855289773378e-36,3.2399875264676639e-20,7.062015866697152e-35,1.305869110884299e-36,5.3089844741721372e-34,5.4271854952900703e-34,2.9581901774568309e-49,1.5281474475536279e-39,5.5089388012435222e-63,4.9543174790676783e-50,6.192819409770093e-50,2.9127817616089633e-55,2.3343879112558233e-64,4.4227705759087352e-73,6.3849816341442113e-75,2.7604101206789831e-60,4.1833973798410108e-84,1.1863563844564459e-87
