Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002)
0.0,0.5046857070660121,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1367753164221226e-20,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,6.557025164368773e-17,2.4277577928922212e-16,2.427757110352873e-16,9.5004986367355052e-27,9.5000760502666004e-27,1.7900200854707707e-17,1.2919092235516575e-25,2.9453403535316258e-21,1.2468265524176486e-25,6.9104674600074376e-27,1.3753420566123774e-38,4.1592456670825875e-30,2.0005637559808826e-38,5.5156823306278481e-31,1.0749895267431579e-41,1.0749895267774155e-41,3.0598933201439893e-52,3.658623372019409e-53,2.9483438208029254e-31,6.5073191068811536e-95,6.2671969146920352e-95,6.2671969146920432e-95,1.1997348943814459e-43,6.8260844903730658e-23,5.2818460661281987e-40,4.3517185768547453e-44,8.175473079787031e-42,8.4710812888884701e-42,2.6051274027728471e-59,3.8664729251497578e-47,1.7081885936324348e-75,5.5319798032541983e-60,2.8272904162057226e-58,1.199718530382612e-67,3.687797559401604e-79,3.4201011717425276e-90,3.6969899715697724e-92,5.948594766748937e-71,1.1929626555172761e-103,4.3189467205894766e-107,9.0517230392087204e-105,3.6763743937663699e-97
3.1829708859819435e-20,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999999999845,1.0,19.0,1.8359670460232426e-16,6.7977218195665204e-16,6.7977199086801899e-16,5.7383011761451612e-26,5.7377979436046681e-26,5.0120561551107301e-17,7.8031316008571293e-25,8.2469529049305524e-21,7.5308322710251757e-25,4.1739223260078071e-26,1.6327306467772582e-37,2.5121843827290414e-29,2.374720973543435e-37,3.3314721275097598e-30,1.2762275660470493e-40,1.2762275661236818e-40,6.8448587063392085e-51,8.1841940857144966e-52,1.7807996676609903e-30,6.9340534757191773e-93,6.6781846464830514e-93,6.6781846464830693e-93,1.4243252951038298e-42,1.9113036764097225e-22,3.1902350512039989e-39,5.1663530268778909e-43,9.7059215156942443e-41,1.0056867577032578e-40,5.8275657950298544e-58,4.5902766563942418e-46,7.0488880610352022e-74,1.2374817550488607e-58,3.4146317226796536e-57,4.9506721115559402e-66,2.7760819573791417e-77,4.6684212486109483e-88,5.0463730961747983e-90,1.3526699977764999e-69,2.9430282912807026e-101,1.0654803715455729e-104,2.2330502796185e-102,5.0182329435490328e-95
7.275362025101584e-20,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999999999645,1.0,19.0,4.1964961051959191e-16,1.5537649870788541e-15,1.5537645504103416e-15,2.762745002898061e-25,2.7622501612486481e-25,1.1456127957560972e-16,3.7568718579959054e-24,1.8850177667896425e-20,3.6257714560643993e-24,2.0095639076151626e-25,1.6028648511099479e-36,1.2095086397043689e-28,2.330777662195007e-36,1.6039604214623889e-29,1.2530077920543e-39,1.2530077922057134e-39,1.352428624333091e-49,1.6170588131444573e-50,8.5737838293353054e-30,1.5780283336987937e-90,1.5197985747767802e-90,1.5197985747767876e-90,1.3984110334910442e-41,4.3686942075756086e-22,1.5359608769052766e-38,5.0723406437997429e-42,9.5293310354501429e-40,9.8738919500074023e-40,1.1514287982509378e-56,4.5067608404895782e-45,2.7884700184242286e-72,2.4450553394707768e-57,3.4755145844753216e-56,1.9584365961967219e-64,2.1949644644130867e-75,7.3749611842689799e-86,7.9720324546936269e-88,2.7677500266955466e-68,9.2902650399707468e-99,3.363404712808854e-102,7.0490631137905223e-100,7.9275779418240111e-93
1.5460144303340868e-19,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999999999234,1.0,19.0,8.9175542235410546e-16,3.3017505964727831e-15,3.301749669002422e-15,1.206563326178634e-24,1.206125371788559e-24,2.4344270215142872e-16,1.6407245443485566e-23,4.0056625834500326e-20,1.5834695579254303e-23,8.776293366741654e-25,1.4174316568549875e-35,5.2822419942682491e-28,2.0602357569983378e-35,7.0049165569607473e-29,1.1082712018243245e-38,1.1082712020937565e-38,2.4065740826605522e-48,2.877469677617651e-49,3.7443966508082594e-29,2.6667981202597532e-88,2.5683924019851674e-88,2.5683924019851936e-88,1.2368787278788532e-40,9.2834755755916032e-22,6.7079449262727859e-38,4.4864004725707325e-41,8.428584915003082e-39,8.7333451249184071e-39,2.0489060260045069e-55,3.986178924676065e-44,9.9518514294536269e-71,4.3508450068391518e-56,3.2928755653977249e-55,6.9895205807351912e-63,1.5688687031570477e-73,1.054964074811616e-83,1.1403731671280216e-85,5.2650659880581727e-67,2.6587545069745183e-96,9.6256322969843108e-100,2.0173441482417485e-97,1.1340141030895582e-90
3.182970885981943e-19,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999999998412,1.0,19.0,1.8359670460230456e-15,6.7977218118600125e-15,6.7977199042163278e-15,5.0371643710162367e-24,5.0334829307265263e-24,5.0120549341033448e-16,6.8497011772126268e-23,8.2469516730397457e-20,6.6106729081136936e-23,3.6639295705759032e-24,1.1909589706753978e-34,2.20523205005367e-27,1.7295514189284133e-34,2.9244147690559281e-28,9.3156872283342453e-38,9.3156872328786094e-38,4.0590376118110947e-47,4.8532729169054312e-48,1.5632118923396601e-28,3.9047798785116652e-86,3.7606922305849927e-86,3.7606922305850692e-86,1.0396711008041502e-39,1.9113039534360474e-21,2.8004351642848397e-37,3.7710438557780934e-40,7.0847326913823632e-38,7.3409019824273788e-38,3.4557794876652104e-54,3.350623569311139e-43,3.3625056752606428e-69,7.3383348725562332e-55,3.1359794124947721e-54,2.3616006645665881e-61,1.0610264993082652e-71,1.4275194708056634e-81,1.5430903658347608e-83,1.0027732820710461e-65,7.1968066701420232e-94,2.6054987369747923e-97,5.4605766482244214e-95,1.5344856528092717e-88
6.456883797277656e-19,0.504685707066012,154.0,0.0,0.0,0.0,0.99999999999996769,1.0,19.0,3.7243902933605787e-15,1.3789664229042089e-14,1.3789660366763114e-14,2.0578460014783489e-23,2.0548292250416248e-23,1.0167308603573073e-15,2.7983257625194604e-22,1.6729527677295454e-19,2.7006749386243746e-22,1.4968346594194625e-23,9.756375725912298e-34,9.009092462438147e-27,1.4143947945097075e-33,1.1947188533056119e-27,7.6375632092565821e-37,7.6375632167207102e-37,6.666977093758715e-46,7.9715144386528669e-47,6.3862306373393199e-28,5.3394561815825254e-84,5.1424285113102101e-84,5.1424285113104195e-84,8.5238518436719911e-39,3.8772172342845733e-21,1.1440693070455854e-36,3.091654046126167e-39,5.8084906063575641e-37,6.0185136214022912e-37,5.6761281868856469e-53,2.7470436347018175e-42,1.1055182989692917e-67,1.2053233201966758e-53,3.1747485315551953e-53,7.7644238492018704e-60,6.9797845223824752e-70,1.8785347760141508e-79,2.0306195287243326e-81,2.0240147019785037e-64,1.8943172634901792e-91,6.8580989954493736e-95,1.4372927119105718e-92,2.0192962751188784e-86
1.300470961986908e-18,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999999993494,1.0,19.0,7.5012367880342542e-15,2.7773549009117562e-14,2.7773541260332585e-14,8.3181425373512073e-23,8.2937430668729399e-23,2.0477807319686215e-15,1.1311274740371817e-21,3.3694670986116489e-19,1.091655468579661e-21,6.0504440364939104e-23,7.8883206318008275e-33,3.6416192070005969e-26,1.1396319211717085e-32,4.8292446148096423e-27,6.1850966868083549e-36,6.1850966989080155e-36,1.0807442993423434e-44,1.2922165500325203e-45,2.5814165255284464e-27,7.0619419138178133e-82,6.8013539596369435e-82,6.8013539596374983e-82,6.9028362359252693e-38,7.8090457523606325e-21,4.6245124059978785e-36,2.5035792542986289e-38,4.7038641899154422e-36,4.8739461968295338e-36,9.2012483962516841e-52,2.2246271515212706e-41,3.5857221045682062e-66,1.953879788007111e-52,3.5487737077734455e-52,2.5183706719809974e-58,4.5287195031755604e-68,2.4379742768146345e-77,2.6353508283479821e-79,4.5031569756164596e-63,4.9171768285353476e-89,1.7801920676218744e-92,3.7307487567596826e-90,2.6206555978151599e-84
2.610036126505193e-18,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999999986944,1.0,19.0,1.5054929777376049e-14,5.5741318352757405e-14,5.5741302921375139e-14,3.3446885121447804e-22,3.3251024897267186e-22,4.1098770260664896e-15,4.5482094771983787e-21,6.7624922805032669e-19,4.3894944309930812e-21,2.4328561480512736e-22,6.328944700943198e-32,1.4642790592381194e-25,9.0810282853210809e-32,1.9418180122968095e-26,4.9783038770318963e-35,4.9783038965179793e-35,1.7405008108903932e-43,2.0810739762987595e-44,1.0379762273183889e-26,9.1877799573350601e-80,8.8487478877590358e-80,8.8487478877604755e-80,5.5560031596762845e-37,1.5672710614028725e-20,1.8594971815380859e-35,2.0149014632226362e-37,3.7860757490134475e-35,3.9229724228222923e-35,1.4818326897463664e-50,1.7905734604481479e-40,1.1551881406961599e-64,3.1466591194594008e-51,4.4303752823415682e-51,8.1132563169958894e-57,2.9182855737862352e-66,3.1422077036279512e-75,3.3965984615866162e-77,1.1188650939887093e-61,1.2675447344518009e-86,4.58896066250578e-90,9.6165393621553064e-88,3.3776587765604468e-82
5.229166455541764e-18,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999999973832,1.0,19.0,3.0162315756037401e-14,1.1167685617908884e-13,1.1167682573907469e-13,1.3413696741022823e-21,1.3257383054821421e-21,8.2340558178093383e-15,1.824031937226713e-20,1.3548528724824709e-18,1.7603802266693738e-20,9.7568349536023148e-22,5.0463610203113252e-31,5.8724138826599655e-25,7.1439477499117893e-31,7.787558668256187e-26,3.9947752941365246e-34,3.9947753254158532e-34,2.7938746064152686e-42,3.3405816002226446e-43,4.1627488849033793e-26,1.1856343106554534e-77,1.1418840188684378e-77,1.1418840188688098e-77,4.4583426675265281e-36,3.1400071639428498e-20,7.457424060491106e-35,1.6165155760103874e-36,3.0380819286577575e-34,3.1479326918935559e-34,2.3786696479695054e-49,1.4368224207762374e-39,3.7090668606401599e-63,5.0510717806244464e-50,6.0811938143307724e-50,2.6049898610878399e-55,1.874097239544026e-64,4.0359052702289795e-73,4.3626491105159993e-75,3.0598037259012507e-60,3.2561562726392074e-84,1.1788438640371114e-87,2.4700824228114499e-85,4.3383237108650126e-80
