Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993)
0.0,0.5059564595008266,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0407668839618733e-20,0.5059564595008266,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,6.5737367573096446e-17,2.4524204110682726e-16,2.4524196766196301e-16,8.8063950159912587e-27,8.8060243341216967e-27,1.9781735037432134e-17,1.3144245977550998e-25,3.4948109285821553e-21,1.286054977571483e-25,6.3705671216992944e-27,1.2128895672127174e-38,4.008698555550441e-30,1.7546203643215869e-38,5.6705618910011562e-31,1.0578446868613701e-41,1.0578446868921466e-41,2.7479262140463096e-52,3.2971469666099634e-53,2.8477768526204368e-31,5.7547193300855424e-95,5.5379121579010864e-95,5.5379121579010938e-95,1.0631775825872999e-43,7.3451234485705736e-23,5.4299960451768097e-40,3.9688111371746191e-44,8.4541868779640011e-42,8.6406812929550059e-42,2.4754278545429413e-59,3.7441070744519861e-47,1.6272811077436649e-75,5.1433100725601589e-60,3.091335229085875e-58,1.0666871515851428e-67,3.0630153406709962e-79,2.6000398048991896e-90,3.0279446824063734e-92,5.9890317349983366e-71,8.923047476312499e-104,3.1389734941185891e-107,6.9605890622449262e-105,2.9464637618054966e-97,2.8836585540827014e-93
2.9141472750932456e-20,0.5059564595008266,154.0,0.0,0.0,0.0,0.99999999999999845,1.0,19.0,1.8406462920466872e-16,6.8667771504994452e-16,6.8667750942496004e-16,5.3190625892705102e-26,5.3186209941427388e-26,5.5388857242377659e-17,7.9391244672908992e-25,9.7854705063643163e-21,7.7677719636081712e-25,3.8478225242747867e-26,1.4398775066930426e-37,2.4212539273811146e-29,2.0827876495118045e-37,3.4250193819833788e-30,1.2558732121486255e-40,1.2558732122174712e-40,6.1470008096144025e-51,7.3755858338303197e-52,1.7200572188913987e-30,6.1321000119147745e-93,5.9010751457353154e-93,5.9010751457353308e-93,1.262204454388976e-42,2.0566345840533502e-22,3.2797176364906759e-39,4.7117664132605835e-43,1.0036810542079076e-40,1.025821670892106e-40,5.537433093622996e-58,4.4450039184836346e-46,6.7150210551089195e-74,1.1505378945147594e-58,3.7240256247735196e-57,4.4017144151317076e-66,2.3057615043005402e-77,3.5490415339599541e-88,4.1331295852497256e-90,1.3585509540212062e-69,2.2013079055142511e-101,7.7438201691021939e-105,1.7171699055553335e-102,4.0219085370322422e-95,3.9361797304084193e-91
6.660908057355989e-20,0.5059564595008266,154.0,0.0,0.0,0.0,0.99999999999999634,1.0,19.0,4.2071915246780813e-16,1.5695490627395094e-15,1.5695485928368086e-15,2.5608996700679447e-25,2.5604653474386578e-25,1.2660309820253966e-16,3.822346575546979e-24,2.2366789287265765e-20,3.7398477233924947e-24,1.8525608931427948e-25,1.4135426373915342e-36,1.1657295396970515e-28,2.0442630678776227e-36,1.6489993976311564e-29,1.2330237667167142e-39,1.2330237668527414e-39,1.2145436815510595e-49,1.4572914522288569e-50,8.2813350860500783e-30,1.3955224888244149e-90,1.34294663461403e-90,1.3429466346140372e-90,1.2392398306296731e-41,4.7008791362602943e-22,1.5790428877247238e-38,4.6260271382845351e-42,9.8541998546915009e-40,1.0071577736635479e-39,1.0941034656093957e-56,4.3641312050333811e-45,2.6563955510707695e-72,2.2732689341928757e-57,3.7706369090999442e-56,1.7412744022015372e-64,1.8230962405734331e-75,5.6066156493655858e-86,6.5293315933560398e-88,2.7656854040083489e-68,6.9488743947270991e-99,2.4444937776105675e-102,5.4205858814367273e-100,6.3536296238326959e-93,6.2181991009515037e-89
1.4154429621881477e-19,0.5059564595008266,154.0,0.0,0.0,0.0,0.99999999999999223,1.0,19.0,8.9402819899406605e-16,3.3352917573320991e-15,3.3352907592039235e-15,1.1184121664291679e-24,1.1180277321232678e-24,2.6903156632394873e-16,1.669319079266639e-23,4.7529425350417276e-20,1.6332896650842351e-23,8.0906199774691473e-25,1.2500176799107015e-35,5.0910471628934331e-28,1.8070074725647542e-35,7.2016135987610107e-29,1.0905955577599105e-38,1.0905955580019634e-38,2.1612152574220514e-48,2.5931722075122548e-49,3.6166766014122394e-29,2.3583713109964638e-88,2.2695204417249419e-88,2.2695204417249656e-88,1.0960936014409974e-40,9.9893685359316169e-22,6.8960953677569786e-38,4.0916453714689797e-41,8.7159277261528e-39,8.908195991075892e-39,1.9468986594583474e-55,3.8600246274866298e-44,9.480487036852608e-71,4.0451603167443859e-56,3.5385337561947728e-55,6.2144842182748534e-63,1.3030728708549999e-73,8.020080332728003e-84,9.3399953151809328e-86,5.2124685193191703e-67,1.9886785908924572e-96,6.9958272591796993e-100,1.5512969915078479e-97,9.0886594598326451e-91,8.8949304599416517e-87
2.914147275093245e-19,0.5059564595008266,154.0,0.0,0.0,0.0,0.9999999999999839,1.0,19.0,1.840646292046498e-15,6.8667771433722309e-15,6.8667750901118226e-15,4.6691506320631065e-24,4.6659188650945296e-24,5.5388844737111768e-16,6.969077778356647e-23,9.7854691482115463e-20,6.8186620832002133e-23,3.3776744475456934e-24,1.0503036345542207e-34,2.1254119717631584e-27,1.5170177983470968e-34,3.0065319120794021e-28,9.1671127901836806e-38,9.1671127942662619e-38,3.6452043041944903e-47,4.3737637213126774e-48,1.5098912859854239e-28,3.4531750911549344e-86,3.3230778468572092e-86,3.3230778468572785e-86,9.2133271901781278e-40,2.0566348516303997e-21,2.8789842544598988e-37,3.4392353722816508e-40,7.3262616707504579e-38,7.4878747157450734e-38,3.2837291543045217e-54,3.2445832813961736e-43,3.2032423004025779e-69,6.8227530944011657e-55,3.3166063642159872e-54,2.0997334503411559e-61,8.8126868334619663e-72,1.0852332498513994e-81,1.2638369005674952e-83,9.7739138666557815e-66,5.3830225437530574e-94,1.8936542207169819e-97,4.1990758365684562e-95,1.2298275300344022e-88,1.2036131672776781e-84
5.911555900903441e-19,0.5059564595008265,154.0,0.0,0.0,0.0,0.99999999999996736,1.0,19.0,3.733882478151027e-15,1.3929747902881204e-14,1.3929743744622308e-14,1.9075003814587481e-23,1.90485193231974e-23,1.1236019886829454e-15,2.8470950374184198e-22,1.9850519976709813e-19,2.7856453316109074e-22,1.3798901173087724e-23,8.6042824600178828e-34,8.6830013990382453e-27,1.2406694588098811e-33,1.228266385696847e-27,7.5157529093311874e-37,7.515752916036835e-37,5.9872553448873005e-46,7.183919281457144e-47,6.1683985630676979e-28,4.7219248365704382e-84,4.5440278597925868e-84,4.544027859792777e-84,7.5536422916385971e-39,4.1720313201167723e-21,1.1761591607942293e-36,2.8196288253658525e-39,6.0065107101523718e-37,6.1390108212926927e-37,5.3935349978030956e-53,2.66010540037713e-42,1.0531559858150293e-67,1.1206389013558341e-53,3.2804234416049814e-53,6.9034621099619496e-60,5.7972780184905274e-70,1.4281055143758175e-79,1.6631378069247151e-81,1.928083921210223e-64,1.4168996254276959e-91,4.9844078241952862e-95,1.1052510610254318e-92,1.6183834478505507e-86,1.5838867836966928e-82
1.1906373152523831e-18,0.5059564595008266,154.0,0.0,0.0,0.0,0.99999999999993416,1.0,19.0,7.5203548503587471e-15,2.8055689371684995e-14,2.8055681024422008e-14,7.7104215057466759e-23,7.6889992297498509e-23,2.2630281881772422e-15,1.1508408255631986e-21,3.9980612042345444e-19,1.1260018829804292e-21,5.5777356281771554e-23,6.9570769721245238e-33,3.5098079862879368e-26,9.997839064769146e-33,4.9648491049261619e-27,6.0864515493382148e-36,6.0864515602083475e-36,9.7055870218221651e-45,1.1645440253091882e-45,2.4933653188949078e-27,6.2451975996393569e-82,6.0099118187884116e-82,6.0099118187889161e-82,6.1171353845564344e-38,8.4028261467370873e-21,4.7542246238586991e-36,2.2833046745221478e-38,4.8642260913564691e-36,4.9715280722835863e-36,8.7431526592968231e-52,2.1542223159739476e-41,3.4158861971358879e-66,1.8166028351833456e-52,3.5656544593462155e-52,2.2391200343165328e-58,3.7614695220856997e-68,1.8534043919495218e-77,2.1584307919708936e-79,4.1717929056730107e-63,3.6779193917902563e-89,1.2938284383675452e-92,2.8688823110950273e-90,2.1003484230965952e-84,2.0555783117839902e-80
2.3896007655764615e-18,0.5059564595008266,154.0,0.0,0.0,0.0,0.99999999999986777,1.0,19.0,1.5093299594768828e-14,5.6307572109001244e-14,5.6307555467136323e-14,3.1003265603709186e-22,3.0831278131194601e-22,4.5418770546538795e-15,4.6274762448205603e-21,8.0240757808209658e-19,4.5276000376205377e-21,2.2427822796231039e-22,5.5822031236562913e-32,1.4112783478063759e-25,7.9686948809907877e-32,1.9963439816858915e-26,4.8989056909657093e-35,4.8989057084716831e-35,1.5630510361032693e-43,1.8754614536382866e-44,1.0025712248932245e-26,8.1251732278149913e-80,7.8190599789171376e-80,7.8190599789184455e-80,4.9236027572652241e-37,1.6864423358567971e-20,1.9116538120438919e-35,1.8376350878182934e-37,3.9151490991097021e-35,4.0015149969925308e-35,1.4080577836417736e-50,1.7339055247368625e-40,1.100473240902628e-64,2.9255792679013354e-51,4.3333742781516444e-51,7.2136147281197346e-57,2.4238734236533087e-66,2.3887790503809461e-75,2.7819154212087449e-77,1.0088575855090413e-61,9.4809029177503869e-87,3.3352177212663318e-90,7.3949896179668829e-88,2.707055685704326e-82,2.6493529595595652e-78
4.7875276662246175e-18,0.5059564595008266,154.0,0.0,0.0,0.0,0.9999999999997351,1.0,19.0,3.0239189083567557e-14,1.1281133678694699e-13,1.1281130388502468e-13,1.2433696038338678e-21,1.2296395113163156e-21,9.0995606576031366e-15,1.855821655382434e-20,1.6076089587860241e-18,1.8157669001826382e-20,8.9945545587286204e-22,4.4516011734099038e-31,5.6598573301659964e-25,6.2719946523565544e-31,8.0062321954365899e-26,3.931063254158151e-34,3.9310632822589902e-34,2.5090307706537014e-42,3.0105284224769509e-43,4.0207589938816403e-26,1.0485105451738913e-77,1.0090082526795119e-77,1.0090082526798501e-77,3.9508811672900642e-36,3.3787648016590468e-20,7.666594820324126e-35,1.4743182317403471e-36,3.1416553890728148e-34,3.210958468355617e-34,2.2602445853204348e-49,1.3913499728185412e-39,3.5333887927638864e-63,4.6961910983195807e-50,5.8258764106739987e-50,2.3161348017912042e-55,1.556590291603423e-64,3.0681889695208164e-73,3.5731401006832907e-75,2.7013701610945746e-60,2.4355199502012065e-84,8.5677382373746053e-88,1.899477922034189e-85,3.4769897752100954e-80,3.4028745928026627e-76
