Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68)
0.0,0.4115533409466511,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.443788832385876e-22,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,3.9673119482716995e-17,2.3908071984641805e-16,2.3908031210946329e-16,6.2855562405547009e-28,6.2855328596543185e-28,1.6311657621392251e-16,6.5864671542653856e-26,1.9964995290104594e-19,9.3646635888748624e-26,3.9184607486328997e-28,1.2786410075593823e-40,9.2742205838442546e-31,1.594181242816413e-40,5.0027615112697594e-31,1.6345436945919783e-42,1.6345436945950125e-42,2.6789677112724022e-54,3.5511951590060448e-55,6.1525745588187478e-32,8.8350338272346212e-98,8.319968761784179e-98,8.319968761784192e-98,1.7466532160973157e-45,4.0773734620553408e-22,6.8268024400234431e-40,1.3718924808178049e-45,3.7152541747668333e-42,2.6130569838001848e-42,1.1522526884288745e-60,4.8818365119537427e-48,4.5713458582294288e-77,1.6992066398476071e-61,1.2127599229451167e-57,5.8601918028566763e-70,1.5278705996009357e-82,8.8591048809660947e-95,5.9351691884438003e-96,1.9516557099511923e-71,1.124690920281782e-108,2.4618006714875157e-112,1.4223331357581905e-109,4.3791097571251054e-101,9.2494531329573517e-98,1.7588231474416138e-39,4.6240452477504549e-51,9.7242258318539746e-52,6.2519658856371737e-52,3.8485848953220967e-56,1.1192283860776812e-48,4.0487023676277741e-36
1.5242608730680452e-21,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999999999811,1.0,19.0,1.1108473455160735e-16,6.6942601556666318e-16,6.6942487390445783e-16,3.7964759692480392e-27,3.7964419599508732e-27,4.5672641287202689e-16,3.9782261573462688e-25,5.5901986770465874e-19,5.6562568022348752e-25,2.3667502909806634e-27,1.5179824785453806e-39,5.6016292323047992e-30,1.8925378917657372e-39,3.0216679527895773e-30,1.9405302742062033e-41,1.9405302742129904e-41,5.9927435924483585e-53,7.9438815175537903e-54,3.7161550335167462e-31,9.4144141414700347e-96,8.8655723451882522e-96,8.8655723451882821e-96,2.0736277474756923e-44,1.1416645697741809e-21,4.1233886752012314e-39,1.6287105800107242e-44,4.4107497523923466e-41,3.1022212484309901e-41,2.5775431739404115e-59,5.7957163069637827e-47,1.8863786681891278e-75,3.8010591114777111e-60,1.4399669570772717e-56,2.4182256897816208e-68,1.1501433838151411e-80,1.2092640058197223e-92,8.1014804142029147e-94,4.3662924571583701e-70,2.7746037929087083e-106,6.073249840941892e-110,3.5088846880068678e-107,5.9774659855646219e-99,1.2625463743256245e-95,1.0623291810469873e-38,5.4896665180442091e-50,1.1544600890744876e-50,7.4223337417673136e-51,4.6048242773286387e-55,1.3287479292250333e-47,2.4454162300364411e-35
3.48402485272696e-21,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999999999567,1.0,19.0,2.5390796468938729e-16,1.5301166069939244e-15,1.5301139974862894e-15,1.8278397546828066e-26,1.8278031249777004e-26,1.0439460840804107e-15,1.9153446427153375e-24,1.2777596956388054e-18,2.7232441634764963e-24,1.139488383912036e-26,1.4903215706990327e-38,2.6969433452762153e-29,1.857948028425086e-38,1.4548030474512099e-29,1.9052241303748909e-40,1.9052241303883009e-40,1.1840651393028408e-51,1.5695771197084683e-52,1.7891686816898259e-30,2.1425003882904483e-93,2.0175968367819411e-93,2.0175968367819535e-93,2.0359004788026303e-43,2.6095190185062169e-21,1.9852341516929827e-38,1.5990773386712144e-43,4.3305002540466223e-40,3.0457792118340692e-40,5.0927909586582808e-58,5.6902686382474102e-46,7.4623264181240371e-74,7.5102539950662929e-59,1.4141459334775087e-55,9.5662625942023111e-67,9.0938400640074412e-79,1.9103412123208244e-90,1.2798356555439845e-91,8.629292410791505e-69,8.7586013580432476e-104,1.9171457373167714e-107,1.1076507357371981e-104,9.4429335292415309e-97,1.9945143159380951e-93,5.1146577126440037e-38,5.389787140514026e-49,1.1334557577429291e-49,7.2872909475491837e-50,4.5968418497372403e-54,1.304572573560337e-46,1.177362648490055e-34
7.403552812044791e-21,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999999999079,1.0,19.0,5.3955442496494376e-16,3.2514977897955309e-15,3.2514922446173223e-15,7.9826564247759656e-26,7.9823184885481429e-26,2.2183854180658785e-15,8.3648132265516596e-24,2.7152393448147835e-18,1.1893122673465168e-23,4.9764451322628726e-26,1.3180967262571856e-37,1.1778260136256711e-28,1.6430549541748071e-37,6.3535071190435531e-29,1.6851491672893558e-39,1.6851491673132188e-39,2.1069806217212537e-50,2.7929786140877251e-51,7.813769689548254e-30,3.6207309394060823e-91,3.409649459160615e-91,3.4096494591606564e-91,1.8007311004396656e-42,5.5452279223492578e-21,8.6700391208527483e-38,1.414365144387387e-42,3.8302784186882571e-39,2.6939572102034424e-39,9.0623494045990928e-57,5.0329781701834981e-45,2.6632512933742507e-72,1.3364096980596976e-57,1.2514682014407185e-54,3.4141315051195197e-65,6.4998972781323576e-77,2.7326810957145006e-88,1.8307633625895908e-89,1.5363352703026148e-67,2.5065996288169686e-101,5.4866269850426547e-105,3.1699540724783504e-102,1.3507809922490146e-94,2.853087988268395e-91,2.2337053971307693e-37,4.7672056880666157e-48,1.0025287754030806e-48,6.4455257230826348e-49,4.2006927962838005e-53,1.1538796270818526e-45,5.1418520067208954e-34
1.5242608730680454e-20,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999999998102,1.0,19.0,1.1108473455160432e-15,6.6942601551870941e-15,6.6942487387488655e-15,3.3326019180864505e-25,3.3323121148551652e-25,4.5672640523116157e-15,3.4921448317626647e-23,5.590198616397477e-18,4.9651445588561354e-23,2.0775678722743536e-25,1.1078121814363877e-36,4.9171917488512916e-28,1.3806175061792001e-36,2.6524641530330879e-28,1.416469412876107e-38,1.4164694129163551e-38,3.5537306823787166e-49,4.710766635154289e-50,3.2620950309493003e-29,5.3015476592837588e-89,4.9924778757972862e-89,4.9924778757974069e-89,1.5136230648037981e-41,1.1416645755551213e-20,3.6195706735082217e-37,1.1888580277439812e-41,3.2195797778314501e-38,2.2644333409276435e-38,1.5284976853186527e-55,4.2305214115477483e-44,8.9985241962758711e-71,2.2540503471866657e-56,1.053065150360685e-53,1.1535579041530395e-63,4.3958838021462543e-75,3.6977147184730919e-86,2.4772889316074142e-87,2.593949724544582e-66,6.7849499405120483e-99,1.485139194920046e-102,8.5805373193461623e-100,1.8278030245339627e-92,3.8606427453745561e-89,9.3252803266547329e-37,4.0071236259711199e-47,8.4268583194667082e-48,5.4178517429039033e-48,3.7577702836223637e-52,9.6990528503136911e-45,2.1466219951665107e-33
3.092072056795178e-20,0.41155334094665097,154.0,0.0,0.0,0.0,0.99999999999996136,1.0,19.0,2.2534331866181886e-15,1.3579784885123699e-14,1.3579761726489873e-14,1.3614766233739939e-24,1.3612367075593408e-24,9.2650211859022981e-15,1.4266550862460799e-22,1.1340117052485815e-17,2.0284235276873495e-22,8.4875425789920872e-25,9.0804227580683959e-36,2.0088332713611976e-27,1.1311449821580011e-35,1.0836181541820642e-27,1.1613072040139043e-37,1.161307204080012e-37,5.8370129920305424e-48,7.7374482523235059e-49,1.332672259622894e-28,7.2494179852150844e-87,6.8267911994055141e-87,6.8267911994058436e-87,1.2409596670777326e-40,2.3159481524018627e-20,1.4787127324841092e-36,9.7469583829111901e-41,2.6396059802366794e-37,1.8565192357446742e-37,2.5105620384180811e-54,3.4684370502367626e-43,2.9585178802188554e-69,3.702284367259046e-55,8.652207164916931e-53,3.7926459125620158e-62,2.891759123830031e-73,4.8659845535496579e-84,3.259972873555997e-85,4.2694263141176697e-65,1.7859103482954539e-96,3.9091306901749422e-100,2.2585367727356551e-97,2.4052859715177931e-90,5.0803886716543735e-87,3.809681289369466e-36,3.2852820478983664e-46,6.908847404658053e-47,4.4418805527099552e-47,3.4528364110316635e-51,7.9518684037352924e-44,8.7696512751087687e-33
6.227694424249442e-20,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999999992217,1.0,19.0,4.5386048688222653e-15,2.7350834341611463e-14,2.7350787699883541e-14,5.5033061907389367e-24,5.5013541991949123e-24,1.8660534913480539e-14,5.7667677718767294e-22,2.2839953496354312e-17,8.199211946850553e-22,3.4308003555795395e-24,7.3501775601740579e-35,8.1200252509903327e-27,9.1478798884832588e-35,4.3801578339828353e-27,9.4045668250746667e-37,9.4045668261462983e-37,9.4620485404792267e-47,1.2542736749758294e-47,5.3868743488747626e-28,9.5880492676285774e-85,9.0290848856184817e-85,9.0290848856193573e-85,1.0049613247340931e-39,4.6645153469207448e-20,5.9771933606438712e-36,7.8933104409598382e-40,2.1376212936913036e-36,1.5034573645411206e-36,4.069729253330053e-53,2.8088302481185214e-42,9.5958818316517774e-68,6.0015619642856968e-54,7.0368153323390451e-52,1.2301355030181461e-60,1.8762718224422007e-71,6.3151088394278363e-82,4.2308156314930232e-83,6.9496366655072306e-64,4.6357819130370947e-94,1.0147137501283549e-97,5.8625945494270382e-95,3.1215970210707517e-88,6.5933640064716067e-85,1.5399340883436189e-35,2.6605065776438968e-45,5.5949634688507234e-46,3.5971473805455167e-46,3.3987038284587706e-50,6.4396273934315659e-43,3.5448332595290811e-32
1.2498939159157971e-19,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999999984368,1.0,19.0,9.1089482332295573e-15,5.4892933241050411e-14,5.4892839638317499e-14,2.2128552130085607e-23,2.21128082586298e-23,3.7451560210224777e-14,2.3187918057084379e-21,4.5839624670858704e-17,3.2968668459899913e-21,1.3795096863394716e-23,5.9106217728511963e-34,3.2650264268584485e-26,7.3430858839173662e-34,1.7612421997207223e-26,7.5696135560124557e-36,7.5696135577382879e-36,1.523833408225271e-45,2.0199689909321631e-46,2.1660384829600226e-27,1.2474314953525358e-82,1.174708696856761e-82,1.1747086968569883e-82,8.0888030966714876e-39,9.3616498992601079e-20,2.4034032180523338e-35,6.3531759973933377e-39,1.7205434805540257e-35,1.2101132106440847e-35,6.5541735048525102e-52,2.2607909456439662e-41,3.0914411568196337e-66,9.6653286171281901e-53,5.7121888154988706e-51,3.9630446148543887e-59,1.2090620339458259e-69,8.1393002626087934e-80,5.4529351214123409e-81,1.1284657483656975e-62,1.1950083090529941e-91,2.6157213713223064e-95,1.5112506132731322e-92,4.0233061257512242e-86,8.4979326192173608e-83,6.1920072373904566e-35,2.1414071502219131e-44,4.5033128943295015e-45,2.8952928833419413e-45,3.7054776786306923e-49,5.1831694538518236e-42,1.4253618624872607e-31
2.504142862897503e-19,0.4115533409466511,154.0,0.0,0.0,0.0,0.9999999999996867,1.0,19.0,1.8249634962040699e-14,1.0997713098582367e-13,1.0997694348177196e-13,8.874539112868993e-23,8.8618989311148777e-23,7.5033602170066147e-14,9.2993910251144932e-21,9.1838960166938123e-17,1.3221908876476517e-20,5.5324504625737696e-23,4.7341935522815323e-33,1.3094216183017349e-25,5.860638834997622e-33,7.0633689501745753e-26,6.0741381552638037e-35,6.0741381580341436e-35,2.4460890089356453e-44,3.242497279455881e-45,8.6867830979452076e-27,1.6097442606461532e-80,1.5158993417719537e-80,1.5158993417725404e-80,6.490755108803236e-38,1.8755919657145235e-19,9.6387223050419639e-35,5.09794828478067e-38,1.3806276178535534e-34,9.7103952223503963e-35,1.052090002222385e-50,1.8141423530342609e-40,9.9259692351974261e-65,1.5514986709125286e-51,4.6612637680863804e-50,1.2724500074339126e-57,7.7645061131778426e-68,1.0454278404584078e-77,7.0038578330612583e-79,1.8411282440597234e-61,3.0698261672397317e-89,6.7194595589992598e-93,3.8821896967730258e-90,5.1676142982844478e-84,1.0914912908382691e-80,2.4832718440185127e-34,1.7183443732393869e-43,3.6136242567803432e-44,2.3232833416656421e-44,4.5299873892818023e-48,4.1591623962525928e-41,5.7163385738309232e-31
