Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368)
0.0,0.7821887295635164,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.116653449365818e-23,0.7821887295635164,154.0,0.0,0.0,0.0,0.99999999999999944,1.0,19.0,1.1167977331004688e-17,4.3422138178287901e-17,4.3421812599115139e-17,2.5986685063408495e-30,2.5986869037097622e-30,3.7563178397140197e-16,6.6583001618268505e-27,2.2590361611840074e-18,1.2912912053327332e-26,1.433655869387202e-30,4.7899028033321505e-44,1.4326396570856152e-31,5.2850485702693338e-44,3.5842927821258517e-32,1.2317252222751739e-44,1.2317252222752204e-44,4.0667506671563453e-58,5.8957084369893385e-59,6.220797316373833e-34,1.0263745687117024e-103,9.4974586567651206e-104,9.497458656765128e-104,4.4523207986587964e-49,3.2557917414998583e-22,3.324875152973808e-41,5.9987109758658163e-49,1.4421110908880661e-43,7.4359745270301698e-44,6.6584899157593911e-64,1.3894744682004716e-50,7.4361864437918664e-81,3.1138650617369874e-65,6.2296240566591663e-59,1.0492663782459012e-74,1.6877363571801289e-88,2.1027404887791449e-102,1.3516592515538325e-102,2.6724343955826649e-74,5.2399889701844511e-117,3.6026507552347409e-121,2.2435274340146984e-117,3.7260193651533109e-108,2.0902448120304439e-105,6.5900051438088976e-40,3.9439253679101594e-53,1.0428625881555027e-52,3.0475685622744746e-53,1.4638526641519683e-56,1.025470280397169e-49,1.2960201097343278e-36,3.2577304715539135e-49
5.92662965822429e-23,0.7821887295635164,154.0,0.0,0.0,0.0,0.99999999999999867,1.0,19.0,3.1270336526813105e-17,1.2158198689919292e-16,1.2158107527751375e-16,1.5695957778276518e-29,1.5696062556267867e-29,1.0517689950554736e-15,4.0216132975377778e-26,6.3253012510585946e-18,7.7993988798108967e-26,8.6592814507911068e-30,5.6865612701076162e-43,8.6531435285222135e-31,6.2743748291778164e-43,2.1649128404031557e-31,1.4623041838845062e-43,1.4623041838846105e-43,9.0971585706893624e-57,1.3188463944580993e-57,3.757361579090167e-33,1.0936817496283419e-101,1.0120279201570484e-101,1.0120279201570498e-101,5.2858280905733439e-48,9.1162168762399103e-22,2.0082245924102792e-40,7.1216696282666938e-48,1.7120742870220324e-42,8.8279889580762588e-43,1.4894775601965222e-62,1.6495840886474507e-49,3.0685631573541942e-79,6.9656329262764215e-64,7.3958129489656356e-58,4.3298521622470238e-73,1.2704930631218211e-86,2.8702466847303012e-100,1.8450186822204305e-100,5.9781313697168809e-73,1.2927079332992268e-114,8.8878775834360159e-119,5.5347935348767862e-115,5.0860269193189272e-106,2.8531900508042326e-103,3.9803631068593191e-39,4.6822281967758527e-52,1.2380864645060034e-51,3.6180733935474114e-52,1.7383576024520472e-55,1.2174383156138948e-48,7.8279614627921342e-36,3.8675776157899365e-48
1.3546582075941234e-22,0.7821887295635164,154.0,0.0,0.0,0.0,0.999999999999997,1.0,19.0,7.1475054918429867e-17,2.7790168434095018e-16,2.7789960063427628e-16,7.5569280164058722e-29,7.5569720027869838e-29,2.4040434169658091e-15,1.9362336867507872e-25,1.4457831429781272e-17,3.7550748245093687e-25,4.1690712677165963e-29,5.5830755598854432e-42,4.1661161223926163e-30,6.1601446310832416e-42,1.0423123410409085e-30,1.4356989190821427e-42,1.4356989190823486e-42,1.7974452325944985e-55,2.6058182305529873e-56,1.8090078596020679e-32,2.4889637720266131e-99,2.3031387608016873e-99,2.3031387608016942e-99,5.189671753459236e-47,2.0837067145881234e-21,9.6687369450574068e-40,6.9920973823974727e-47,1.6809246872902623e-41,8.6673719074230856e-42,2.9429566605155373e-61,1.6195714401340059e-48,1.2138930693208189e-77,1.3762956702716655e-62,7.2612599340236304e-57,1.7128515308106849e-71,1.004543676879836e-84,4.5343000095438584e-98,2.9146861393182292e-98,1.1811791100208185e-71,4.0807069975673759e-112,2.8056628556619057e-116,1.747175060845589e-112,8.0347003037633657e-104,4.5073546268449622e-101,1.9163734958177441e-38,4.5970394088141064e-51,1.2155606322822042e-50,3.5522459050741057e-51,1.7077289960018927e-54,1.1952881548827048e-47,3.7688264791026149e-35,3.7972106375227436e-47
2.8786486911375124e-22,0.7821887295635164,154.0,0.0,0.0,0.0,0.99999999999999356,1.0,19.0,1.5188449170166305e-16,5.9054107922425344e-16,5.905366513476625e-16,3.3003090030184488e-28,3.3003225374194916e-28,5.1085922597552504e-15,8.4560412023326648e-25,3.0722891783120612e-17,1.6399398301544105e-24,1.8207429536449794e-28,4.9381243846169134e-41,1.8194523640726336e-29,5.4484469162077936e-41,4.5520518332865064e-30,1.2698594351530331e-41,1.2698594351533994e-41,3.1984577516238704e-54,4.6369143119663621e-55,7.9004125918005168e-32,4.2062387414735073e-97,3.8922026875409966e-97,3.8922026875410174e-97,4.5902116095252907e-46,4.4278767685808771e-21,4.2225914444924017e-39,6.1844307924280092e-46,1.4867588497393387e-40,7.6661922956921286e-41,5.2368341358271889e-60,1.4324925977349822e-47,4.3322981408205148e-76,2.449047841529538e-61,6.4225144979670146e-56,6.1130537450932637e-70,7.1800680449033e-83,6.4861773180087341e-96,4.1693692711552622e-96,2.1018490183626762e-70,1.1678476295568749e-109,8.0294802975781447e-114,5.000197854408134e-110,1.1493392753347859e-101,6.447632773170971e-99,8.3693065326178337e-38,4.0660292972545056e-50,1.0751496128939119e-49,3.1419212616251455e-50,1.5122444370199626e-53,1.0572188319869708e-46,1.6459455393576254e-34,3.3585898067001761e-46
5.926629658224291e-22,0.7821887295635164,154.0,0.0,0.0,0.0,0.99999999999998668,1.0,19.0,3.1270336526812807e-16,1.215819868990015e-15,1.2158107527738799e-15,1.3778140420309303e-27,1.3778149491126333e-27,1.0517689941209202e-14,3.5302307429319008e-24,6.3253012473375247e-17,6.8464259651106957e-24,7.6012434152000432e-28,4.1507192216338659e-40,7.5958554580330492e-29,4.579527145982361e-40,1.9003920330711325e-29,1.0673933700132504e-40,1.0673933700138683e-40,5.3946664855911498e-53,7.8208337295056024e-54,3.2982667371465806e-31,6.1588600560158712e-95,5.6990420980765155e-95,5.6990420980765793e-95,3.8583517046400816e-45,9.1162168768243379e-21,1.7628488063004292e-38,5.1983864529264748e-45,1.2497103966379571e-39,6.4438965446425985e-40,8.8326862018778397e-59,1.2040963425492667e-46,1.4637856269586998e-74,4.130679722275523e-60,5.3985311424408898e-55,2.0654640274938751e-68,4.8558866671219898e-81,8.7767461992853499e-94,5.6417661913971096e-94,3.545088751319155e-69,3.1611720573895338e-107,2.1734516202268416e-111,1.3534715568207721e-107,1.5552240747407783e-99,8.7245897948908982e-97,3.4940207272299586e-37,3.4177426209413244e-49,9.0372803129639956e-49,2.6409741126294493e-49,1.2741227768768032e-52,8.8865612242492294e-46,6.8714986217666651e-34,2.8230971025019763e-45
1.2022591592397847e-21,0.7821887295635164,154.0,0.0,0.0,0.0,0.99999999999997302,1.0,19.0,6.3434111240105304e-16,2.4663774485181596e-15,2.466358955624095e-15,5.6288199312121675e-27,5.6287848748093734e-27,2.1335885287617395e-14,1.4422144458235134e-23,1.2831325378818838e-16,2.7969883976885185e-23,3.1053559556944934e-27,3.4028925425520568e-39,3.1031547995868579e-28,3.754211027360016e-39,7.7637215376943282e-29,8.7511357392194313e-40,8.7511357392295765e-40,8.8607558723975015e-52,1.2845742874465107e-52,1.3474495819202184e-30,8.4217201723153075e-93,7.7929580090685595e-93,7.7929580090687315e-93,3.1633107409538179e-44,1.8492897094343087e-20,7.2018125779859402e-38,4.2619508478629167e-44,1.024588086651166e-38,5.2830957068255417e-39,1.4507713609600496e-57,9.8719093005716694e-46,4.8126068841272025e-73,6.7846558812776706e-59,4.4260759773237266e-54,6.7907959285232318e-67,3.1943654464558945e-79,1.1549708191578166e-91,7.4242494560773351e-92,5.8228621828825238e-68,8.3207272964656402e-105,5.7208877483035439e-109,3.5625607126835829e-105,2.0465880900887562e-97,1.1481073274199908e-94,1.4274214741547502e-36,2.8020718918856981e-48,7.4093083942236566e-48,2.1652301012031169e-48,1.0495065114476422e-51,7.2857396626567665e-45,2.8072313984510638e-33,2.3145455685697737e-44
2.421451546074496e-21,0.7821887295635164,154.0,0.0,0.0,0.0,0.9999999999999456,1.0,19.0,1.2776166066668813e-15,4.9674926075609305e-15,4.9674553613156454e-15,2.2752590131739005e-26,2.2752135056515496e-26,4.2972275914434933e-14,5.8296613701080843e-23,2.5843373615503003e-16,1.1305874283719835e-22,1.2552345261418227e-26,2.7555597435332978e-38,1.2543447838111853e-27,3.0396712438123967e-38,3.138220376721189e-28,7.0868966100378806e-39,7.0868966100543243e-39,1.4363667009874324e-50,2.0823502725322326e-51,5.4466066487925084e-30,1.1138531137892775e-90,1.0306932985698557e-90,1.0306932985699014e-90,2.5617314121451013e-43,3.7246257533507874e-20,2.911087791783112e-37,3.4514375832396598e-43,8.2973799545844493e-38,4.2783878699233218e-38,2.351762894137116e-56,7.9945280981103108e-45,1.5609575069567157e-71,1.0998221097177422e-57,3.5844061193030103e-53,2.2025787019308189e-65,2.0726135982984206e-77,1.498929572323578e-89,9.6352452179540044e-90,9.4392507888169412e-67,2.1598556854352178e-102,1.4850019330063206e-106,9.2475288005216998e-103,2.656076986158062e-95,1.490022082596662e-92,5.7698658235295853e-36,2.2691904665494135e-47,6.0002500113069795e-47,1.7534594129767748e-47,8.5786002777959627e-51,5.9001806599333818e-44,1.1347278150065123e-32,1.8743790094195643e-43
4.859836319743918e-21,0.7821887295635163,154.0,0.0,0.0,0.0,0.99999999999989075,1.0,19.0,2.5641675951984526e-15,9.969722925592407e-15,9.9696481726632269e-15,9.1487164215626984e-26,9.1482814345248048e-26,8.6245056904074626e-14,2.3440811889665261e-22,5.1867469983757516e-16,4.5460423085941329e-22,5.0472428101731598e-26,2.2176070230796122e-37,5.0436651966929509e-27,2.445648766962303e-37,1.2618646110507781e-27,5.7041509376718964e-38,5.7041509376983808e-38,2.3132242605671273e-49,3.3535609074141636e-50,2.1900565784478989e-29,1.4491534383811149e-88,1.3409602388771197e-88,1.3409602388772389e-88,2.0619044498722864e-42,7.4752978428346617e-20,1.170535598197511e-36,2.7780160892753195e-42,6.6784532214319862e-37,3.4436187578266381e-37,3.7874416403225449e-55,6.4346917215442259e-44,5.0288325370154664e-70,1.7712296988461538e-56,2.8851304820902361e-52,7.095901091437776e-64,1.3355842220076658e-75,1.9319130100522396e-87,1.2418499131509828e-87,1.5202074189616183e-65,5.5676608322864179e-100,3.828028213418881e-104,2.3838211896386062e-100,3.4233160691422627e-93,1.9204324872097398e-90,2.3200376707995359e-35,1.8264419023957209e-46,4.8295231777978308e-46,1.4113365859203966e-46,7.032659914919039e-50,4.7489783540244225e-43,4.5626906368713572e-32,1.5086632930157218e-42
9.736605867082763e-21,0.7821887295635164,154.0,0.0,0.0,0.0,0.99999999999978106,1.0,19.0,5.137269572261254e-15,1.9974183561439106e-14,1.9974033795216318e-14,3.669044470681551e-25,3.6686679073867467e-25,1.7279061782737256e-13,9.4008139181470384e-22,1.0391566229981121e-15,1.8231662797464538e-21,2.0241701005275806e-25,1.778997177439309e-36,2.022735318551241e-26,1.9609672551035418e-36,5.0606414727810113e-27,4.5772218923509225e-37,4.5772218923934378e-37,3.7132371416900377e-48,5.3832079220970921e-49,8.7831064064397125e-29,1.8700557444145203e-86,1.7304381519128619e-86,1.7304381519131698e-86,1.6545485244179551e-41,1.4976642028406071e-19,4.6943712880317358e-36,2.2291811191161647e-41,5.3590380809854289e-36,2.7632871636147467e-36,6.0796826249158487e-54,5.1634348637443056e-43,1.6146526635511977e-68,2.8432159269231805e-55,2.3152777063207464e-51,2.2783450238271772e-62,8.5770255413824127e-74,2.4813882960601584e-85,1.5950572433039782e-85,2.4404146273307307e-64,1.430262659876432e-97,9.833728104013804e-102,6.1237379395719992e-98,4.396976677508259e-91,2.4666424795829002e-88,9.3043887217157751e-35,1.4656046010709462e-45,3.8753881312272598e-45,1.1325085713904766e-45,5.8484598235415298e-49,3.8107554948811302e-42,1.82984301660966e-31,1.2106072786588243e-41
