Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506)
0.0,0.34913229803526985,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.248002450894959e-21,0.34913229803526985,154.0,0.0,0.0,0.0,0.99999999999999944,1.0,19.0,4.6490606353327011e-17,2.7541663896249449e-16,2.7541649261897949e-16,4.670174621528482e-27,4.670093425272843e-27,3.3616275101909597e-17,7.3295127637076766e-26,1.1299555866230292e-20,8.1179027738209244e-26,3.2151699086900038e-27,2.8385793809309159e-39,3.0340608920500915e-30,3.9081923520316547e-39,5.156282666337787e-31,4.4869459530262905e-42,4.4869459530851603e-42,5.2379890582367468e-53,6.4903469044899331e-54,2.188092758566572e-31,4.6823945604278021e-96,4.4734468821778342e-96,4.47344688217784e-96,3.8702787537766743e-44,1.4634672983329402e-22,7.3842481220127641e-40,1.8659035190487535e-44,3.7740622227185583e-42,3.4075349265881675e-42,7.8859494910449785e-60,2.0345151820427627e-47,3.6662257350992379e-76,1.9897271565942394e-60,5.1274410839843006e-58,1.9026606910325623e-68,2.0463830618960941e-80,8.0162318983545218e-92,1.2345696831614167e-93,4.8575436058695724e-71,1.6453825081052462e-105,6.6432318129947221e-109,1.1127046185530382e-106,1.4704708813690175e-98,8.71299765558962e-95,4.6987696658194868e-40,7.9675965070410499e-51,2.9715783251970753e-52,3.6963271109883011e-52,4.4115229101688134e-57,3.8240561215715643e-49,1.2093478419293153e-36,1.5463540824983717e-47,8.3416838649675479e-48,9.7379486228762979e-59,7.0724014452935786e-59,6.0331038931257106e-60
9.094406862505886e-21,0.34913229803526985,154.0,0.0,0.0,0.0,0.99999999999999822,1.0,19.0,1.3017369778931513e-16,7.7116658906943482e-16,7.7116617931800792e-16,2.8207854712994354e-26,2.8206876294289273e-26,9.4125569773701639e-17,4.4270256891992859e-25,3.1638756317440508e-20,4.903213253147793e-25,1.9419626213169851e-26,3.369876520650518e-38,1.8325727787311112e-29,4.6394442299112676e-38,3.1143947303904849e-30,5.3269022352495605e-41,5.3269022353812493e-41,1.1717171850038951e-51,1.4518646376088247e-52,1.3216080261421426e-30,4.9894547577607171e-94,4.7668047922543951e-94,4.7668047922544068e-94,4.5947952289832978e-43,4.0977084495110665e-22,4.4600858792292024e-39,2.21519960881674e-43,4.4805666521957438e-41,4.0454254480375429e-41,1.7640553574018334e-58,2.4153764240476353e-46,1.5128783150635463e-74,4.4509402949385814e-59,6.1081854344607475e-57,7.8513830200525868e-67,1.5404661694836846e-78,1.094211758866763e-89,1.6851816184829652e-91,1.0901748987605629e-69,4.0591442560298713e-103,1.6388797024998017e-106,2.745031918934865e-104,2.0071856102121296e-96,1.1893199461624659e-92,2.8380568780325143e-39,9.4591305726136627e-50,3.5278577714469371e-51,4.3882790638811214e-51,5.5171594003420665e-56,4.5399193465176198e-48,7.3044609649100634e-36,1.8358315661846854e-46,9.9032470838808046e-47,2.1783401413500236e-57,1.5820679040539298e-57,1.3495812081781971e-58
2.078721568572774e-20,0.34913229803526985,154.0,0.0,0.0,0.0,0.999999999999996,1.0,19.0,2.9753988066128945e-16,1.7626664891811213e-15,1.7626655526555252e-15,1.3580867797848316e-25,1.3579899714335911e-25,2.1514415707070473e-16,2.1314222815659657e-24,7.2317156787843702e-20,2.3606860932670542e-24,9.3497140414939011e-26,3.3083848871410429e-37,8.823049073074517e-29,4.5542678248982042e-37,1.4994469992547207e-29,5.2299842022793652e-40,5.2299842025395625e-40,2.3151156398833841e-50,2.8686398485000082e-51,6.3629737414305854e-30,1.1354831638181873e-91,1.0848132410449036e-91,1.0848132410449085e-91,4.5111973311997759e-42,9.3661908085826545e-22,2.1473393741628124e-38,2.1748938899128374e-42,4.3990468690919889e-40,3.9718226583265835e-40,3.4854761176690186e-57,2.3714308959610931e-45,5.9847961645358387e-73,8.7943080815537501e-58,6.0412962036398619e-56,3.1059290840937303e-65,1.2180002961400316e-76,1.7285864251444293e-87,2.6621739768656186e-89,2.169403818108002e-68,1.2813511754228651e-100,5.1734563248770464e-104,8.6652452064227737e-102,3.1708613794789663e-94,1.878834053331897e-90,1.366402218636625e-38,9.2870304869160929e-49,3.4636716455459243e-50,4.3084373854873267e-50,6.0094491871922588e-55,4.4573195641661944e-47,3.5167835238159552e-35,1.8024303168322242e-45,9.7230667111193213e-46,4.304032977955813e-56,3.1258995354284445e-56,2.6665450421852602e-57
4.4172833332171444e-20,0.34913229803526985,154.0,0.0,0.0,0.0,0.99999999999999145,1.0,19.0,6.3227224640523038e-16,3.7456662889957468e-15,3.745664299088402e-15,5.9311217677327771e-25,5.930262336894962e-25,4.5718132347838742e-16,9.3084808986664149e-24,1.5367395600058121e-19,1.0309736178031851e-23,4.083265729293834e-25,2.9259090546280397e-36,3.8532573318629284e-28,4.0268362789869655e-36,6.5484789850471402e-29,4.6258617985390155e-39,4.6258617990020237e-39,4.119624347445864e-49,5.1045912848717631e-50,2.7788778028825179e-29,1.918916348435495e-89,1.8332864190086223e-89,1.8332864190086391e-89,3.9901030036291096e-41,1.9903155753587177e-21,9.3779953244442742e-38,1.923665063042244e-41,3.8909070679455256e-39,3.5130320984957122e-39,6.2022185238036538e-56,2.0975037716001164e-44,2.1359312409594687e-71,1.5649001012675152e-56,5.4221634994087559e-55,1.1084840054274384e-63,8.7057566472128303e-75,2.4726864737729941e-85,3.8081530016525729e-87,3.9154021579076269e-67,3.6670626515439254e-98,1.480576860222675e-101,2.4798793882341305e-99,4.5358137539671799e-92,2.687610803066104e-88,5.967437473692755e-38,8.2142732913480979e-48,3.0635782845072509e-49,3.8107622586766407e-49,6.3695973769013045e-54,3.9424483717064836e-46,1.5358717587185992e-34,1.5942292012639893e-44,8.5999423934646173e-45,7.6587965074414302e-55,5.5623710579015085e-55,4.7449744249998443e-56
9.094406862505886e-20,0.3491322980352698,154.0,0.0,0.0,0.0,0.99999999999998235,1.0,19.0,1.3017369778930814e-15,7.7116658869902614e-15,7.711661790985524e-15,2.4761265828868492e-24,2.4754029458417483e-24,9.4125562354846086e-16,3.8861073871997194e-23,3.1638754751378079e-19,4.3041117404312134e-23,1.7046830363193e-24,2.4588648511482088e-35,1.6086590840283975e-27,3.3825094570546836e-35,2.733861068610628e-28,3.8883155695929459e-38,3.8883155703738766e-38,6.948347797168911e-48,8.6096391201007804e-49,1.1601267801447007e-28,2.8097162262917703e-87,2.6843351473506439e-87,2.684335147350693e-87,3.3539220181596124e-40,4.0977086551041587e-21,3.9151285427929488e-37,1.6169497455227712e-40,3.2705417173419657e-38,2.9529150483040251e-38,1.0460948078022936e-54,1.7630783036469058e-43,7.2168289201256327e-70,2.6394325820496182e-55,4.6900592413338734e-54,3.7453166890404706e-62,5.8877070696751502e-73,3.3459039002826632e-83,5.1529840586951874e-85,6.7897260446008333e-66,9.9261301916092552e-96,4.0076759752310334e-99,6.712607964245687e-97,6.1376147933395488e-90,3.6367277308471724e-86,2.4912876751093872e-37,6.904591645015461e-47,2.5751220397052931e-48,3.2031722368995127e-48,7.1276642669717152e-53,3.313864893222011e-45,6.4119622531247791e-34,1.3400456996446187e-43,7.2287697632504804e-44,1.2917679023425795e-53,9.3817512988072493e-54,8.0030928922337382e-55
1.8448653921083368e-19,0.34913229803526996,154.0,0.0,0.0,0.0,0.99999999999996414,1.0,19.0,2.6406664408686599e-15,1.5643665076442332e-14,1.564365677090524e-14,1.011578502495969e-23,1.0109848434193415e-23,1.9094040927074581e-15,1.5876015455035044e-22,6.4181470289108117e-19,1.7583699497435429e-22,6.9641862118833791e-24,2.0150442365297991e-34,6.5718972466875987e-27,2.7694391013297122e-34,1.1168714497436185e-27,3.1878760241790749e-37,3.1878760254617564e-37,1.141267948749699e-46,1.4141357501497106e-47,4.7394964349789758e-28,3.8420492726959686e-85,3.670601252914214e-85,3.6706012529143506e-85,2.7497479167406774e-39,8.3124951775731887e-21,1.599457839803137e-36,1.3256621889331811e-39,2.6813875041680474e-37,2.4209779894883622e-37,1.7182138638002209e-53,1.4454781132699653e-42,2.372735455049497e-68,4.3352753433199268e-54,4.0623250992449618e-53,1.2313780175648506e-60,3.873129844742675e-71,4.403020820050998e-81,6.7810363876072843e-83,1.1762632551842707e-64,2.6127203325534164e-93,1.0548860829133333e-96,1.7668611325393268e-94,8.0767550597428599e-88,4.7857285787532886e-84,1.0177723032491191e-36,5.6608013827708018e-46,2.1112404617860164e-47,2.6261491138492385e-47,8.7522919152399582e-52,2.7169058126005464e-44,2.6194957954821273e-33,1.0986504209257429e-42,5.9265821894599474e-43,2.1217324221274741e-52,1.5409553025523421e-52,1.3145104056125791e-53
3.715714803823833e-19,0.34913229803526985,154.0,0.0,0.0,0.0,0.99999999999992784,1.0,19.0,5.3185253668193232e-15,3.1507663429214644e-14,3.1507646715246568e-14,4.0889620394487241e-23,4.0841548999958413e-23,3.8457005071009954e-15,6.41733829035219e-22,1.2926689030493048e-18,7.1076113770821615e-22,2.8150352400884287e-23,1.630408753508259e-33,2.6564659393923749e-26,2.2367191330735021e-33,4.5145729684134276e-27,2.5816246525621077e-36,2.581624654641389e-36,1.8500436715425817e-45,2.2923747936375828e-46,1.9157802354636082e-27,5.0814779522364404e-83,4.8547215338235702e-83,4.8547215338239286e-83,2.2268171627362e-38,1.6742069674423846e-20,6.4652649873653545e-36,1.0735379493188181e-38,2.171456807103996e-36,1.9605704609820877e-36,2.7852987185422722e-52,1.1705856514395087e-41,7.6959105798280797e-67,7.0276661780375641e-53,3.6414615516721671e-52,3.9939439801262685e-59,2.5130181033933119e-69,5.7142701938303904e-79,8.8004748788384373e-81,2.1047012426743597e-63,6.7819750363182385e-91,2.7382230848480165e-94,4.5862954644245987e-92,1.048206774759185e-85,6.2109509121900956e-82,4.1139983714765156e-36,4.5842637167741523e-45,1.7097369903431625e-46,2.1267155196735895e-46,1.1798861032400925e-50,2.200219403568992e-43,1.0588420809743485e-32,8.8971558591734835e-42,4.7994999037999523e-42,3.4394189214671452e-51,2.4979544133315526e-51,2.1308779970136506e-52
7.457413627254827e-19,0.34913229803526985,154.0,0.0,0.0,0.0,0.99999999999985512,1.0,19.0,1.0674243218718674e-14,6.323566003035927e-14,6.3235626541936785e-14,1.6441536480307646e-22,1.640287821345242e-22,7.7182912401913753e-15,2.580382704129051e-21,2.5943768609803938e-18,2.8579383905421709e-21,1.131913148724958e-22,1.3100045704008205e-32,1.0681532680037036e-25,1.7906516437623598e-32,1.8152899317045475e-26,2.0779161116838564e-35,2.0779161150324725e-35,2.9794355488091248e-44,3.6917983019330795e-45,7.7032680550021597e-27,6.6111421041566437e-81,6.3161257882080919e-81,6.3161257882090244e-81,1.7923361898556381e-37,3.3601224475775548e-20,2.5996551530131825e-35,8.6404830765223721e-38,1.7477768462647526e-35,1.5780372172074067e-35,4.485637728161408e-51,9.4218916893791997e-41,2.4793401112214641e-65,1.1317833347167719e-51,3.4971020992904333e-51,1.2867015407108267e-57,1.6193782021300107e-67,7.3648998706686162e-77,1.1342588662201723e-78,4.0270716539724789e-62,1.7482517044947662e-88,7.0585680273517166e-92,1.1822314420014174e-89,1.3509929159612712e-83,8.0050522702308186e-80,1.6542206462883713e-35,3.6898142464170042e-44,1.3761446337678528e-45,1.7117525986350453e-45,1.7080456056599665e-49,1.7709257949934672e-42,4.2575574244166079e-32,7.1612049194783986e-41,3.8630550531482146e-41,5.5390756729329462e-50,4.0228768473895001e-50,3.4317132694738938e-51
1.4940811274116812e-18,0.3491322980352698,154.0,0.0,0.0,0.0,0.99999999999970979,1.0,19.0,2.1385678922509461e-14,1.2669165281606373e-13,1.2669158594734748e-13,6.5937914612266975e-22,6.5628351603173043e-22,1.5463464323594425e-14,1.0348482347709229e-20,5.1977910073023436e-18,1.1461604101609028e-20,4.539476861308021e-22,1.0475391830173767e-31,4.2837723265815585e-25,1.4216297334203752e-31,7.2801245096868426e-26,1.6673968090692787e-34,1.6673968144445395e-34,4.782645070839766e-43,5.9261518516039526e-44,3.0893550169549393e-26,8.5313285999570521e-79,8.1506256754595022e-79,8.1506256754619112e-79,1.4382369271834265e-36,6.7319557309080324e-20,1.0425784193890499e-34,6.932987293109964e-37,1.4024800382223836e-34,1.2662747543696249e-34,7.2004419980447416e-50,7.5604746788063991e-40,7.960641158880738e-64,1.8167608535346598e-50,3.7147840299766619e-50,4.13132421130394e-56,1.0399518544130386e-65,9.459616530554128e-75,1.4568635167680281e-76,8.5110494492696409e-61,4.4910357592736137e-86,1.813256168226106e-89,3.0368997965269086e-87,1.735241099107853e-81,1.0281840374276431e-77,6.6341646209492812e-35,2.96084353267656e-43,1.1042686961933564e-44,1.3735526800598134e-44,2.5876816917012652e-48,1.4210528975691479e-41,1.7074709401933094e-31,5.7464157085692164e-40,3.0998583670064537e-40,8.891435249675735e-49,6.4576027264531279e-49,5.5086596359224871e-50
