Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669)
0.0,0.6211829050151113,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.730585525954798e-22,0.6211829050151113,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,3.1930389598072447e-17,1.4080835644594241e-16,1.4080788014906434e-16,8.1958062793507917e-29,8.1958143950202027e-29,3.5259859928467385e-16,4.7913490213685269e-26,9.0860019265701825e-19,7.8726717455203033e-26,4.8256626244968175e-29,7.8772798396015672e-42,3.9214070487787721e-31,9.2760734352385093e-42,2.7727580205131138e-31,4.5842568835339565e-43,4.5842568835357447e-43,1.5710770038788368e-55,2.1694900491996066e-56,1.220871348161464e-32,1.4636979747221757e-99,1.3670761167543197e-99,1.3670761167543224e-99,7.9769405988324726e-47,4.7629692606195955e-22,2.7782436564356015e-40,8.1427425122030917e-47,2.5137747601212402e-42,1.5298964095259257e-42,1.2538330057622092e-61,7.7965795591748042e-49,4.0035376364896652e-78,9.744014293785844e-63,7.4042331486630913e-58,1.6474197227755735e-71,1.6924114062792783e-84,2.1149468404310657e-97,4.5481172098433469e-98,2.820752521852029e-72,1.8152237573939984e-111,2.0584691689945245e-115,4.5320279525176435e-112,1.8827454484076019e-103,2.1579126394781525e-100,2.1159218746630733e-39,1.2315848920129883e-51,9.5076529959567775e-52,4.213224207194782e-52,6.7777265261488538e-56,1.0189874270325774e-48,4.535499554254156e-36,6.7506045373454794e-48,5.0580530795317073e-48,1.7334523531574915e-60,1.4720349137631837e-60,1.2647221104619741e-61,1.9321214530394747e-64,5.5390960049403135e-73,6.0854281056330731e-51,9.5012161571768476e-62
4.845639472673434e-22,0.6211829050151113,154.0,0.0,0.0,0.0,0.99999999999999811,1.0,19.0,8.9405090874602731e-17,3.9426339804821617e-16,3.9426206441711314e-16,4.950266992696961e-28,4.9502604595806672e-28,9.8727607757934369e-16,2.8939748078848061e-25,2.5440805387330016e-18,4.755093732615368e-25,2.9147002245773344e-28,9.3518317750882757e-41,2.3685298571493689e-30,1.1012301158314971e-40,1.6747458443862575e-30,5.4424297721187336e-42,5.4424297721227341e-42,3.5144364102697729e-54,4.8530624590845076e-55,7.3740629428947265e-32,1.5596837750251286e-97,1.4567256875045458e-97,1.4567256875045502e-97,9.4702394673727415e-46,1.3336313930525976e-21,1.6780591686028442e-39,9.6670635237531921e-46,2.9843533942501925e-41,1.8162930168014102e-41,2.8047742805807059e-60,9.2560992526421773e-48,1.6520710156086525e-76,2.1797004458436378e-61,8.7904078837553822e-57,6.7981340350616133e-70,1.2740069911175062e-82,2.8868963494458992e-95,6.2081668999734833e-96,6.3099807050596281e-71,4.4781476044813663e-109,5.0782508815435848e-113,1.1180489324732649e-109,2.5699421180274202e-101,2.9455445414760583e-98,1.2780168122939152e-38,1.4621375837874302e-50,1.128748562927174e-50,5.0019397420429776e-51,8.0654854382203398e-55,1.2097418679041769e-47,2.7394417307595753e-35,8.0143177063279364e-47,6.0049206159966046e-47,3.877663573030938e-59,3.2928832174692325e-59,2.8291327721405079e-60,4.322040098012817e-63,2.2856572991558186e-71,7.2246202468820246e-50,2.0723441496042645e-60
1.1075747366110706e-21,0.6211829050151113,154.0,0.0,0.0,0.0,0.99999999999999567,1.0,19.0,2.0435449342766277e-16,9.0117348125107342e-16,9.0117043295214207e-16,2.3833404659888313e-27,2.383325673633358e-27,2.2566310324977111e-15,1.3933242938812909e-24,5.8150412280583668e-18,2.2893729410789616e-24,1.4033026902755618e-27,9.1815253484332519e-40,1.1403451693153528e-29,1.0811406239640925e-39,8.0631803235971841e-30,5.3434098234075638e-41,5.3434098234154665e-41,6.9439340947956137e-53,9.5888336022450013e-54,3.55029388045276e-31,3.5494753507116604e-95,3.3151668327530841e-95,3.3151668327531041e-95,9.297944097681545e-45,3.048300327350319e-21,8.0791325546415053e-39,9.4911794733476438e-45,2.9300558574035115e-40,1.7832472531213352e-40,5.5417613335793391e-59,9.0876931341426811e-47,6.5354286454192481e-75,4.3067240613116607e-60,8.6306912559718423e-56,2.6892763223629741e-68,1.0073198175520547e-80,4.5605923299709096e-93,9.8073899856928699e-94,1.2467761863933663e-69,1.4136191904397909e-106,1.6030564657698464e-110,3.529350789590414e-107,4.059881927211412e-99,4.6532421734072044e-96,6.1531008114815067e-38,1.4355353500981347e-49,1.1082120308749981e-49,4.9109340220163757e-50,7.9589204080804029e-54,1.1877317279955869e-46,1.3189232703622064e-34,7.8685046474631873e-46,5.8956666694295058e-46,7.6616097656213246e-58,6.5061823255042079e-58,5.5898896077640343e-59,8.5394572638319228e-62,9.0412543727242949e-70,7.0931749995519319e-49,3.882389491814311e-59
2.353596315298525e-21,0.6211829050151113,154.0,0.0,0.0,0.0,0.9999999999999909,1.0,19.0,4.3425329853378102e-16,1.9149936476500273e-15,1.9149871700179262e-15,1.0408673974296254e-26,1.0408507041439225e-26,4.7953409356505596e-15,6.0850132413003757e-24,1.2356962595402698e-17,9.9982930907879232e-24,6.1285915235204618e-27,8.1206731713518341e-39,4.9801869470973944e-29,9.5616124194727368e-39,3.5214026859948723e-29,4.7261854765649758e-40,4.7261854765790386e-40,1.2356359641819978e-51,1.7062817044554803e-52,1.5505066121642551e-30,5.9984564257864868e-93,5.6024853888615193e-93,5.6024853888615875e-93,8.2239289715416015e-44,6.4776381972115423e-21,3.528369445453194e-38,8.3948393027411383e-44,2.5916012204076045e-39,1.5772619985384737e-39,9.8612681980798754e-58,8.0379616622607642e-46,2.3324480620183247e-73,7.6635879935523121e-59,7.6341341124512271e-55,9.597839568880097e-67,7.199903440582101e-79,6.5237809952675109e-91,1.4029156691288524e-91,2.2186800473303076e-68,4.045598287096025e-104,4.5877469741312567e-108,1.0100552348057332e-104,5.8075308329623048e-97,6.6563136235611113e-94,2.6872207807821022e-37,1.2697147602020817e-48,9.8020098837033957e-49,4.3436653894808302e-49,7.1110499123455719e-53,1.0505352421709779e-45,5.7600844337487911e-34,6.9596032511616176e-45,5.214650402721442e-45,1.3633425175033266e-56,1.1577403774429336e-56,9.9469098891526223e-58,1.5194915774607272e-60,3.2263451531835514e-68,6.2738329590532498e-48,6.2555913027515971e-58
4.8456394726734345e-21,0.6211829050151113,154.0,0.0,0.0,0.0,0.99999999999998124,1.0,19.0,8.9405090874600978e-16,3.9426339804208928e-15,3.9426206441324013e-15,4.3454164888804646e-26,4.3452612789576806e-26,9.8727607152207049e-15,2.5403732368757048e-23,2.5440805284865759e-17,4.1740905360542917e-23,2.5585663148767688e-26,6.8254407174909717e-38,2.0791300128960236e-28,8.0355070043740604e-38,1.470116302424949e-28,3.9726436670094558e-39,3.972643667033174e-39,2.084080635367211e-50,2.8778934827775884e-51,6.4730598879448427e-30,8.7830615303033281e-91,8.2032727088728047e-91,8.2032727088730053e-91,6.9127089054320558e-43,1.3336313941997109e-20,1.4730247882422709e-37,7.0563658094786891e-43,2.1783969753185121e-38,1.3257837432104774e-38,1.6632470169819457e-56,6.7563911005880301e-45,7.8808148421745598e-72,1.2925763268266196e-57,6.4175981216903585e-54,3.2428935833245298e-65,4.8692989695642399e-77,8.8276251009642991e-89,1.8983490685050273e-89,3.7424941439213423e-67,1.0950765820462873e-101,1.2418277157823798e-105,2.7340522217983205e-102,7.8584344023203269e-95,9.0069610348359021e-92,1.1218617779103612e-36,1.0672717619374865e-47,8.2391798749333258e-48,3.6511122524473536e-48,6.0975063776631755e-52,8.8303813587444415e-45,2.4047218635269674e-33,5.8499658775648621e-44,4.3832278695961131e-44,2.2994764110323361e-55,1.9526983486362623e-55,1.677691739491276e-56,2.5626448201463055e-59,1.0898291708345269e-66,5.2735346283199112e-47,8.8675396724341027e-57
9.829725787423253e-21,0.6211829050151113,154.0,0.0,0.0,0.0,0.99999999999996203,1.0,19.0,1.8136461291704371e-15,7.9979146458544639e-15,7.997887592292978e-15,1.7752444229673114e-25,1.7751111316026539e-25,2.0027600167418811e-14,1.0378253513562178e-22,5.1608490482889496e-17,1.7052521709372636e-22,1.0452578198085574e-25,5.5951308742859448e-37,8.493924486967238e-28,6.5853646336963617e-37,6.0059047823195495e-28,3.2570132951023018e-38,3.2570132951412599e-38,3.4231086275288506e-49,4.7269486637016642e-50,2.64445617496553e-29,1.2010093716629059e-88,1.121728154548282e-88,1.1217281545483372e-88,5.6674568375908178e-42,2.7053665451820732e-20,6.0177869031256954e-37,5.7852309980531119e-42,1.7859814435285719e-37,1.0869576070538154e-37,2.7318882199741129e-55,5.5392976281131913e-44,2.5910394982197735e-70,2.1230606164784004e-56,5.262598009351773e-53,1.0661925224926062e-63,3.2031876948627187e-75,1.1616659011163093e-86,2.4981207925491733e-87,6.1482601144840423e-66,2.8824218045784515e-99,3.2686955294173014e-103,7.1964736848873943e-100,1.0341258486843382e-92,1.1852655031808622e-89,4.5831714170904069e-36,8.7501387217222989e-47,6.7549773734938486e-47,2.9934020335569356e-47,5.1962879386550514e-51,7.2396795785590319e-44,9.8240734533233187e-33,4.7961554622313579e-43,3.5936350307247387e-43,3.7768968605122565e-54,3.2073128459890373e-54,2.7556137185817984e-55,4.2084955133029962e-58,3.5812804673204762e-65,4.3235623011397045e-46,1.102607567180763e-55
1.9797898416922887e-20,0.6211829050151114,154.0,0.0,0.0,0.0,0.99999999999992362,1.0,19.0,3.6528365700191711e-15,1.610847597628899e-14,1.6108421488340627e-14,7.1758217932690733e-25,7.1747180915582212e-25,4.033727864404625e-14,4.1950559536897503e-22,1.0394386015532739e-16,6.8929018383338777e-22,4.2250991994392025e-25,4.529822755590884e-36,3.4333800683337395e-27,5.3287449827983042e-36,2.427682738988306e-27,2.637613809930825e-37,2.6376138099939778e-37,5.5490063565391412e-48,7.6625874056073083e-49,1.0689314671350316e-28,1.5884498662951625e-86,1.4835928670961906e-86,1.4835928670963367e-86,4.5896536575696243e-41,5.4488368552477921e-20,2.4324856880394222e-36,4.6850235429613253e-41,1.4463340614048805e-36,8.8024644157482761e-37,4.4285085301621575e-54,4.4858668350644856e-43,8.4039745055578533e-69,3.4415727129893079e-55,4.2635105827351882e-52,3.4581698616884884e-62,2.0783374527395444e-73,1.5076182637242249e-84,3.2420789216680154e-85,9.9704924259926635e-65,7.4820552680615505e-97,8.4847272416835011e-101,1.8680259544636562e-97,1.3420958824208737e-90,1.5382459951306033e-87,1.8525911652667905e-35,7.0860891977680048e-46,5.4703556849175861e-46,2.4241339573865937e-46,4.5274654329985267e-50,5.8628793032756753e-43,3.9710475627629513e-32,3.8840510351626532e-42,2.9102188187663271e-42,6.1225124079274243e-53,5.199192156771845e-53,4.4669685810008249e-54,6.8200257567572112e-57,1.1603883344229469e-63,3.5013328465540933e-45,1.2002038320600723e-54
3.973424367592216e-20,0.6211829050151113,154.0,0.0,0.0,0.0,0.99999999999984679,1.0,19.0,7.3312174517161532e-15,3.2329598635427897e-14,3.2329489279341923e-14,2.8853663814340452e-24,2.8844683827858406e-24,8.0956633886226192e-14,1.6868135078487264e-21,2.0861459660576499e-16,2.7716054463946995e-21,1.6988937808457712e-24,3.6439698909110263e-35,1.3805470124845425e-26,4.2822053162817321e-35,9.7616055186504123e-27,2.1229810611013503e-36,2.1229810612030557e-36,8.9365028963955238e-47,1.2340360546567083e-47,4.2981264160154436e-28,2.0666168244551951e-84,1.9301949937798074e-84,1.9301949937801878e-84,3.6941526242764804e-40,1.0935777507783208e-19,9.7809180125286678e-36,3.7709040531460396e-40,1.1641354546624557e-35,7.0849889995805958e-36,7.131976466218425e-53,3.6106158901792488e-42,2.7074523331604925e-67,5.5425463112578063e-54,3.4344167189368667e-51,1.1140953986825767e-60,1.3392724698858793e-71,1.943111267820066e-82,4.178590984258636e-83,1.6069725398734673e-63,1.9287186951610011e-94,2.1871868376377182e-98,4.8153788187991798e-95,1.7297758424799035e-88,1.9825861745769758e-85,7.449187594592856e-35,5.7035010593757283e-45,4.4030179613658e-45,1.9511529080197247e-45,4.1582249933477573e-49,4.7189538399448011e-42,1.596740759290554e-31,3.1262221668270218e-41,2.3423972880231426e-41,9.8601169694719454e-52,8.3731381095438275e-52,7.1939151770043396e-53,1.0976597135081392e-55,3.7306924530371635e-62,2.8181772829387741e-44,1.1637742354402578e-53
7.960693419392071e-20,0.6211829050151112,154.0,0.0,0.0,0.0,0.99999999999969313,1.0,19.0,1.4687979215108175e-14,6.477184394678754e-14,6.4771624856968501e-14,1.1571609691351595e-23,1.1564366781970841e-23,1.6219533752628683e-13,6.764876286576818e-21,4.1795605792888801e-16,1.1115376935755787e-20,6.8133237127945711e-24,2.9208108316048418e-34,5.5366108850392603e-26,3.425285748805891e-34,3.9148404102889717e-26,1.7035586003008311e-35,1.7035586004640905e-35,1.4345063799151956e-45,1.9809010865861976e-46,1.723740931208089e-27,2.6668595333042019e-82,2.4908143877565294e-82,2.4908143877575099e-82,2.9643248612347727e-39,2.1909658942469966e-19,3.9225856217928348e-35,3.0258961971259924e-39,9.3414534566769516e-35,5.6852572194682696e-35,1.1448401728278961e-51,2.8972918627809779e-41,8.693061641328305e-66,8.8970126248483782e-53,2.7603526197940492e-50,3.5771260097690186e-59,8.6007096106831749e-70,2.4957711041132629e-80,5.3670661115880147e-81,2.5835774412109594e-62,4.954636973904463e-92,5.6186094229445124e-96,1.2370081326134196e-92,2.2217588380566933e-86,2.5464734671317413e-83,2.9874573976676901e-34,4.5767004016805481e-44,3.5331442941443024e-44,1.5656757312779947e-44,4.1618229594657272e-48,3.7866608883127253e-41,6.4036446013485523e-31,2.5085963885095152e-40,1.8796263035908501e-40,1.5827669762862182e-50,1.3440739184488589e-50,1.1547827026996083e-51,1.7597937129473965e-54,1.1929624073105164e-60,2.2614097854940304e-43,1.0385818391029198e-52
