Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668)
0.0,0.6863205142639958,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.962562596873802e-22,0.6863205142639958,154.0,0.0,0.0,0.0,0.99999999999999922,1.0,19.0,5.467587614077139e-17,2.0258891644247183e-16,2.0258850778086311e-16,3.541514667559137e-28,3.5414989742561947e-28,2.870992816674541e-16,1.2877597720395129e-25,4.222524231104752e-19,1.8973379443839179e-25,2.1769135748777506e-28,8.7022780648511651e-41,7.5400842168850784e-31,1.0697909663737761e-40,6.0711246420080572e-31,2.4365419645946009e-42,2.4365419645975695e-42,2.6181793910643308e-54,3.5052744121833693e-55,3.8461044487092291e-32,1.2894181264039236e-97,1.2117798773858148e-97,1.211779877385818e-97,7.3199754679395312e-46,4.0866182590652867e-22,5.0823438467800191e-40,6.1422769794179072e-46,1.0373861444425082e-41,7.0409393795051633e-42,1.3102970530171164e-60,4.2057826092285791e-48,7.1641639378329621e-77,1.0963023570721578e-61,1.4520497513113881e-57,4.6103865798248086e-70,1.3879465232492553e-82,5.3158948694077736e-95,7.1522313175216381e-96,1.5780050757446137e-71,8.9016900823554937e-109,1.0987453757741847e-112,2.0054705383545455e-109,3.0342073906401344e-101,5.5186524978823321e-98,2.5846958888000889e-39,4.5183897653411739e-51,1.9747706069191016e-51,1.157618418830835e-51,9.0561798986033215e-56,2.2342138580550668e-48,5.8485409985470288e-36,2.4209271242138604e-47,1.6549152304416394e-47,1.7782845612115102e-59,1.446505186581081e-59,1.2575388469654835e-60,1.89169600902584e-63,1.3446177569035532e-71,2.3726218780363908e-50,7.3252724492714839e-61,2.7386714712097061e-61
1.6695175271246647e-21,0.6863205142639958,154.0,0.0,0.0,0.0,0.99999999999999789,1.0,19.0,1.5309245319415955e-16,5.672489660370673e-16,5.6724782178526628e-16,2.1390748591753708e-27,2.1390520618980708e-27,8.0387798761704125e-16,7.778069014626441e-25,1.1823067837026661e-18,1.1459921171566749e-24,1.3148557984492767e-27,1.0331168545129865e-39,4.5542108660208797e-30,1.2699923967631077e-39,3.6669592837522331e-30,2.8926626203486888e-41,2.8926626203553298e-41,5.8567625492985045e-53,7.8411586429025301e-54,2.3230470870183763e-31,1.3739750725202742e-95,1.291245493464037e-95,1.2912454934640427e-95,8.6902807647182954e-45,1.1442531127875066e-21,3.0697356841388459e-39,7.2921103445872941e-45,1.2315848294500084e-40,8.3590032229856467e-41,2.9310820957407907e-59,4.9931051136582296e-47,2.9563123086272732e-75,2.452386099590085e-60,1.7239885507039325e-56,1.9024901264394183e-68,1.0448121472143645e-80,7.2561747649879626e-93,9.762766509619708e-94,3.5301593581875881e-70,2.1960403929899625e-106,2.7106007298522871e-110,4.9474808333399302e-107,4.1416806853326664e-99,7.5329380989963465e-96,1.5611563168267216e-38,5.3642323293239972e-50,2.3444476604424978e-50,1.3743245541989877e-50,1.0842165875926507e-54,2.6524586652924469e-47,3.5325187630876839e-35,2.8741246815039495e-46,1.9647153615591182e-46,3.9779514238058156e-58,3.2357742340758152e-58,2.8130640988960841e-59,4.23156573384206e-62,5.548353974777337e-70,2.8167766934744544e-49,1.561578491981242e-59,6.1262982967278239e-60
3.816040061999234e-21,0.6863205142639958,154.0,0.0,0.0,0.0,0.99999999999999523,1.0,19.0,3.499256073009345e-16,1.2965690652188429e-15,1.2965664497894703e-15,1.0298724652806749e-26,1.0298479241320368e-26,1.8374353953088936e-15,3.7448054043525787e-24,2.7024155008603916e-18,5.5174587235002578e-24,6.3304646640912286e-27,1.0142829814184496e-38,2.1926564888036206e-29,1.2467517116452687e-38,1.7654830458649927e-29,2.840033313875599e-40,2.8400333138887205e-40,1.1571975756250426e-51,1.5492808103431493e-52,1.1184471736816458e-30,3.1268457942759072e-93,2.9385726286943495e-93,2.9385726286943759e-93,8.5321717682458469e-44,2.6154356875463679e-21,1.4779455916656061e-38,7.1594353025395062e-44,1.209177286142562e-39,8.2069189148262809e-40,5.7913242916961368e-58,4.902260209261218e-46,1.1694877498729583e-73,4.8455031635520317e-59,1.6928659565353268e-55,7.526064119579681e-67,8.2610181236205767e-79,1.1462981424779026e-90,1.5422783323103227e-91,6.9759734828309579e-69,6.932248851215266e-104,8.5565685550574845e-108,1.5617729482227912e-104,6.5428425207226437e-97,1.1900199802267119e-93,7.5162956445026747e-38,5.2666351102056292e-49,2.3017926067401376e-49,1.3493199278145893e-49,1.0836957494456199e-53,2.6041995892783516e-46,1.7007557223253947e-34,2.8218326548591663e-45,1.9289691925370676e-45,7.8597616356541953e-57,6.3933445769203388e-57,5.5581406166610513e-58,8.3605037834381222e-61,2.1946560917814838e-68,2.7655280606553055e-48,2.7971303592147439e-58,1.2104532037829506e-58
8.109085131748371e-21,0.6863205142639958,154.0,0.0,0.0,0.0,0.9999999999999899,1.0,19.0,7.4359191551447898e-16,2.7552092635527343e-15,2.7552037057794703e-15,4.4977236273297081e-26,4.497497267406368e-26,3.9045501938633121e-15,1.6354548973272455e-23,5.7426329190692142e-18,2.4096191699737935e-23,2.7646802280530343e-26,8.9705551295002713e-38,9.5759069402895925e-29,1.1024988399540562e-37,7.7103282950304045e-29,2.5119773037011242e-39,2.5119773037244727e-39,2.0591712240099864e-50,2.7568624147030278e-51,4.8845526498297366e-30,5.2842311590768426e-91,4.9660578325251529e-91,4.9660578325252401e-91,7.5466103305000155e-43,5.5578008410517113e-21,6.4545766959542726e-38,6.3324361108966061e-43,1.0695036114532339e-38,7.2589268082522708e-39,1.0305352148119246e-56,4.3359936386935045e-45,4.1738187099561609e-72,8.6223150932491631e-58,1.4977544210371509e-54,2.685999183006017e-65,5.9046311274649135e-77,1.6397423429509487e-88,2.206179171391148e-89,1.2416852388039169e-67,1.9839209831530448e-101,2.4487812386191275e-105,4.4695935623765355e-102,9.3593241924015776e-95,1.7022850149175749e-91,3.2825637786438646e-37,4.6582791118964495e-48,2.0359094782713063e-48,1.1934580726111326e-48,9.9268150315559367e-53,2.3033849433921297e-45,7.4276470676165602e-34,2.4958790256180533e-44,1.7061514058381299e-44,1.3986025757778449e-55,1.1376614954339483e-55,9.8904142537784971e-57,1.4875793524879673e-59,7.8310139846459864e-67,2.4460782506389975e-47,4.188021520437621e-57,2.1539364347629536e-57
1.669517527124665e-20,0.6863205142639958,154.0,0.0,0.0,0.0,0.99999999999997913,1.0,19.0,1.5309245319415464e-15,5.6724896601018807e-15,5.6724782176858353e-15,1.8777110763164998e-25,1.8775169784416418e-25,8.0387797236550072e-15,6.8277021928870755e-23,1.1823067691060347e-17,1.0059685606579493e-22,1.1541995665626499e-25,7.5391770326045995e-37,3.997752638153458e-28,9.2631501259731202e-37,3.2189102849048247e-28,2.1114682816333836e-38,2.1114682816727644e-38,3.4730931327677753e-49,4.6498513816610565e-50,2.0392045786777452e-29,7.7372784119030823e-89,7.2714025755446618e-89,7.2714025755449199e-89,6.3433811071911137e-42,1.1442531164012881e-20,2.6946587170448606e-37,5.3227884967551287e-42,8.9898222004279198e-38,6.1015653124750869e-38,1.7381482660802303e-55,3.6446639164238411e-44,1.4102390091559778e-70,1.4542795209535623e-56,1.2596823616218765e-53,9.0753845343778669e-64,3.9933050547882896e-75,2.2188097551818379e-86,2.9852811256214059e-87,2.0954581635673687e-66,5.370145504612865e-99,6.6284462010137913e-103,1.2098444483652366e-99,1.2664526202033457e-92,2.3034390820986161e-89,1.3704057601227853e-36,3.9155642753567066e-47,1.7113045632974228e-47,1.0031732143888714e-47,8.9188331769226548e-52,1.9361336631837245e-44,3.1008964369452891e-33,2.0979367067253683e-43,1.4341230598066999e-43,2.3589476250996874e-54,1.9188323538971434e-54,1.6681629241391249e-55,2.5085894091387136e-58,2.6448703549674358e-65,2.0560761563619935e-46,5.3547674887192406e-56,3.6329273844900748e-56
3.38673555502432e-20,0.6863205142639957,154.0,0.0,0.0,0.0,0.99999999999995759,1.0,19.0,3.1055897647955944e-15,1.150705045272569e-14,1.1507027241204035e-14,7.6710624269354103e-25,7.6694556760278458e-25,1.6307238513969822e-14,2.7893390763268967e-22,2.3983936977336568e-17,4.1097097332727209e-22,4.7152817879705105e-25,6.1792449963984667e-36,1.633212390166487e-27,7.5879109999232189e-36,1.3150298817138024e-27,1.7311092666360162e-37,1.7311092667006994e-37,5.7045655339104425e-48,7.6373947511668044e-49,8.330816079846007e-29,1.0580073759910031e-86,9.9430279604534059e-87,9.9430279604541077e-87,5.2006872454388483e-41,2.3211991873737152e-20,1.1008560146131412e-36,4.3639343952364255e-41,7.3703992540061617e-37,5.0024317972810956e-37,2.8549137467185521e-54,2.9881156798166627e-43,4.6365573205737204e-69,2.388658410683684e-55,1.0339600629105271e-52,2.9837877966684406e-62,2.6269293774339924e-73,2.9198288115802371e-84,3.9284620149923139e-85,3.4456548895066891e-65,1.4135105626377789e-96,1.7447161172142072e-100,3.1845068154366568e-97,1.6665804073688541e-90,3.0311962449118166e-87,5.5985546819688578e-36,3.210216160441009e-46,1.4030308311217978e-46,8.2246167105699941e-47,8.2547329096950919e-51,1.587359072771624e-43,1.2668173740392087e-32,1.7200152603996152e-42,1.1757807302749287e-42,3.8745784164388327e-53,3.1516877643610939e-53,2.7399626084957595e-54,4.1189517419149055e-57,8.6888436611785429e-64,1.685695455086543e-45,5.9139479857015766e-55,5.9670900691089082e-55
6.821171610823631e-20,0.6863205142639958,154.0,0.0,0.0,0.0,0.99999999999991451,1.0,19.0,6.2549202305033432e-15,2.3176172036075802e-14,2.3176125287062292e-14,3.1007660812036518e-24,3.0994588763782325e-24,3.2844155017525231e-14,1.1274954103835236e-21,4.8305674519064883e-17,1.6612103209679748e-21,1.905992251179111e-24,5.0011548221414194e-35,6.6017055609363458e-27,6.1342576603717674e-35,5.3155610360561491e-27,1.4018971658570058e-36,1.4018971659618599e-36,9.2473453712184951e-47,1.2380545666173098e-47,3.3674490576642193e-28,1.3993160371741479e-84,1.3150606317974138e-84,1.3150606317975997e-84,4.2116514345987561e-40,4.6750913548393415e-20,4.4498360563622281e-36,3.5340123087817938e-40,5.9687401989414938e-36,4.0510988254332858e-36,4.6279382111481774e-53,2.4198535493441228e-42,1.5038562533212287e-67,3.8721177989887691e-54,8.3926539306445748e-52,9.6778431733988808e-61,1.7044412314301026e-71,3.7893742172255318e-82,5.0983854312031024e-83,5.5980650208993133e-64,3.6691240352845761e-94,4.5288519597460625e-98,8.266178920072899e-95,2.1628997078838668e-88,3.9339076502701713e-85,2.2630253152182861e-35,2.5997162757004755e-45,1.1362106741776892e-45,6.660502354661257e-46,8.2115105617688405e-50,1.2854840777487052e-42,5.1206783708227976e-32,1.3929129461711106e-41,9.5217771919381313e-42,6.2808581219709997e-52,5.109021231442275e-52,4.4415974497899122e-53,6.6724188807644962e-56,2.8137327788545407e-62,1.3651198830065834e-44,5.7782485715304423e-54,9.6728969505065815e-54
1.3690043722422253e-19,0.6863205142639959,154.0,0.0,0.0,0.0,0.99999999999982847,1.0,19.0,1.2553581161917451e-14,4.6514415195189472e-14,4.6514321374066255e-14,1.2468044023814186e-23,1.2457501493471398e-23,6.5917983716339775e-14,4.5336091186396614e-21,9.6949145479225354e-17,6.6796531407227879e-21,7.6639107046924461e-24,4.0206109430640228e-34,2.6545167318448366e-26,4.9203588678763246e-34,2.1373637130914527e-26,1.1283688008902472e-35,1.1283688010591113e-35,1.4892560821602557e-45,1.9938486019144989e-46,1.3540364554283077e-27,1.8205485267425759e-82,1.7109299344868135e-82,1.7109299344872975e-82,3.3899035086483999e-39,9.382875791853682e-20,1.7892595341641151e-35,2.8444565612975267e-39,4.8041610468079654e-35,3.2606765456714891e-35,7.4531518213155232e-52,1.947708658526724e-41,4.8448732442098966e-66,6.2359248412346005e-53,6.786331221525833e-51,3.1178453540537663e-59,1.0983350439649081e-69,4.8839780978374784e-80,6.5711121040807931e-81,9.0558050719263606e-63,9.4582394223441074e-92,1.1674439619259774e-95,2.1308421452844026e-92,2.7876779611424952e-86,5.0702616597305876e-83,9.0995252576341559e-35,2.0924778264751032e-44,9.145210877661202e-45,5.3609428996700012e-45,9.0668520893003138e-49,1.0346686888026312e-41,2.059002249966738e-31,1.1211375099342835e-40,7.6639546542218168e-41,1.0115126902189899e-50,8.2279197413577395e-51,7.1530557288078253e-52,1.0731004757410544e-54,9.0361309556041503e-61,1.0987672428793806e-43,5.1770427579412024e-53,1.557785985452649e-52
2.742778794561949e-19,0.6863205142639957,154.0,0.0,0.0,0.0,0.99999999999965627,1.0,19.0,2.5150903024740111e-14,9.3190901483098583e-14,9.3190713529224046e-14,5.0002432907761245e-23,4.9917801881760497e-23,1.3206562388078816e-13,1.8181797565223759e-20,1.9423607090636444e-16,2.6788392654146028e-20,3.0735707217517833e-23,3.218684313739015e-33,1.0645799044699466e-25,3.9212263074329877e-33,8.5717844422052838e-26,9.0544489974554454e-35,9.0544490001660896e-35,2.3905846062790718e-44,3.2005682220889009e-45,5.4302917932364194e-27,2.3493214284730277e-80,2.2078644423396172e-80,2.2078644423408659e-80,2.7201840920159006e-38,1.8798445074214723e-19,7.1757312143751179e-35,2.2824587416613618e-38,3.8550361486016974e-34,2.6164872138884926e-34,1.1963959309061347e-50,1.5629135352804285e-40,1.5555871938822451e-64,1.0010035470606252e-51,5.4956646291786807e-50,1.0010742691666876e-57,7.0534250290615902e-68,6.2730776140672525e-78,8.4400657479761923e-79,1.4665934166833283e-61,2.4297026315235902e-89,2.9990165987195936e-93,5.4738290749925488e-90,3.5805485803854816e-84,6.5123438915922225e-81,3.6493166118080975e-34,1.6790816722238578e-43,7.338454004146491e-44,4.3018048599772654e-44,1.121957486222869e-47,8.3025528755075138e-41,8.2575199225688657e-31,8.9964222916955247e-40,6.1498409417910883e-40,1.6237014104738691e-49,1.3207628740597136e-49,1.1482238488183356e-50,1.7178571582276726e-53,2.8830648872716195e-59,8.816915117825244e-43,4.3997243303958271e-52,2.5005778647650023e-51
