Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398),S(1815),S(1443)
0.0,0.32961690725470255,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.39988383857561e-22,0.32961690725470255,154.0,0.0,0.0,0.0,0.99999999999999911,1.0,19.0,3.6013283502339922e-17,2.7443310135228507e-16,2.7443259193342657e-16,7.3264201909640648e-28,7.3264003078127534e-28,1.6755959564246676e-16,5.5075100291499654e-26,2.2503114129651211e-19,7.9727632909154617e-26,4.5349417395710202e-28,1.265666765441533e-40,1.1194816255167173e-30,1.5668166522081371e-40,5.3149100934337028e-31,1.4872204564508392e-42,1.4872204564536242e-42,2.4575964315873557e-54,3.2741074870740206e-55,7.5580763512158333e-32,7.3811229611403526e-98,6.943674466622397e-98,6.9436744666224061e-98,2.1876157172406246e-45,5.0941931169978674e-22,9.1585450136890352e-40,1.7767926708647822e-45,2.8712538469265395e-42,1.9834352007166374e-42,1.1410268080893165e-60,5.4438229273610776e-48,4.1092121923470039e-77,2.0431676739755776e-61,1.5968690116561434e-57,6.0127968225422248e-70,1.3012782542741032e-82,7.6362144974377586e-95,4.5006964032411288e-96,2.6297546299611866e-71,8.6066946621672287e-109,2.2801184765401949e-112,9.012980586670008e-110,4.0587630761525254e-101,7.9498007979142844e-98,2.0583280884718589e-39,5.4950384576086178e-51,1.0344699006169272e-51,6.3473660035708792e-52,4.401235358186264e-56,1.1804038787202673e-48,4.69739810452126e-36,1.3857969315373979e-47,9.3342897541339825e-48,1.5424691828882508e-59,1.2459695165899476e-59,1.0853514261275464e-60,1.6286958348990144e-63,8.0974230496717636e-72,2.9128651063682766e-50,6.2099349610371052e-61,2.4092269670700552e-61,5.0012903422859203e-114,9.4928579623374732e-64,2.7292140489084714e-70,9.4297644417899846e-83,8.1569651772585709e-88
1.2319674748011707e-21,0.32961690725470255,154.0,0.0,0.0,0.0,0.99999999999999789,1.0,19.0,1.0083719380655159e-16,7.6841268378255373e-16,7.6841125741121742e-16,4.4251577952929501e-27,4.4251262588051733e-27,4.6916686735366005e-16,3.3265360549723138e-25,6.3008719524176876e-19,4.8155490238995326e-25,2.7391048095416403e-27,1.5025821292595546e-39,6.7616690178387151e-30,1.86006115217537e-39,3.2102056964168652e-30,1.7656281258869039e-41,1.7656281258931343e-41,5.497544899177887e-53,7.3240474801594897e-54,4.5650781161212191e-31,7.8651592901787838e-96,7.3990239732705255e-96,7.3990239732705438e-96,2.597138902870355e-44,1.4263740732491647e-21,5.5317611901794974e-39,2.109408073691688e-44,3.4087525645977853e-41,2.3547342685821644e-41,2.5524313286597497e-59,6.4629065793331572e-47,1.6956779169889427e-75,4.5704869096095046e-60,1.8960173750644017e-56,2.4811987952401505e-68,9.7957031603654908e-81,1.0423400715075872e-92,6.1434316864352423e-94,5.8832917077859452e-70,2.1232650661286429e-106,5.6250421772729223e-110,2.223495421391859e-107,5.5401945534274735e-99,1.0851444698116497e-95,1.243230165428009e-38,6.5237096567768298e-50,1.2281226644961711e-50,7.5355927887056487e-51,5.2580022375642974e-55,1.4013754749953148e-47,2.837228455104765e-35,1.6452181169726447e-46,1.108166879598424e-46,3.4504418582487087e-58,2.7871839649192313e-58,2.4278877260525553e-59,3.6432786858139209e-62,3.3413271519149133e-70,3.4581534541593062e-49,1.3436066381650523e-59,5.3893442039024584e-60,9.6426862310534878e-112,2.1234853931718852e-62,6.1418155526810936e-69,3.9140263074969581e-81,3.3872504046116833e-86
2.8159256566883902e-21,0.32961690725470255,154.0,0.0,0.0,0.0,0.99999999999999523,1.0,19.0,2.3048501441497423e-16,1.7563718486277124e-15,1.7563685883572907e-15,2.130522991458333e-26,2.1304879190983654e-26,1.0723814089950587e-15,1.6015839125254114e-24,1.4401993015784217e-18,2.318479559278107e-24,1.3187610561283684e-26,1.4752070736342529e-38,3.2554525665792274e-29,1.8260844142569461e-38,1.5455758551448847e-29,1.7335041640033496e-40,1.733504164015659e-40,1.0862222242847654e-51,1.4471083595397688e-52,2.1978886029138465e-30,1.789926232262033e-93,1.6838447403641777e-93,1.6838447403641871e-93,2.5498870433044149e-43,3.260283598306967e-21,2.6633048928384261e-38,2.0710289631672507e-43,3.3467334763100286e-40,2.3118920646585652e-40,5.0431741841067963e-58,6.3453200040393305e-46,6.7079332108679232e-74,9.030514360957631e-59,1.8619754216609172e-55,9.8153783815775363e-67,7.7451700940918829e-79,1.6466423098260968e-90,9.7051191055369669e-92,1.1627142261196519e-68,6.7025184238570483e-104,1.7756600051037733e-107,7.018915413086936e-105,8.752152021376001e-97,1.7142627872796115e-93,5.9856180811412538e-38,6.405016825890621e-49,1.2057781114587301e-49,7.3984894084877589e-50,5.2319323549228414e-54,1.3758787305900456e-46,1.3660033687556681e-34,1.6152849029394729e-45,1.0880048137035332e-45,6.8174916406422731e-57,5.5070058127727251e-57,4.7970970120116597e-58,7.1982939481116775e-61,1.3217108657606533e-68,3.3952355676200809e-48,2.4768804561548759e-58,1.0648435305970351e-58,4.3757787028459671e-109,4.1955240696869213e-61,1.2293772316965781e-67,1.5682930808178756e-79,1.3574909319822086e-84
5.983842020462829e-21,0.32961690725470255,154.0,0.0,0.0,0.0,0.99999999999998979,1.0,19.0,4.8978065563181657e-16,3.7322901782565177e-15,3.7322832502114046e-15,9.3045536417595234e-26,9.304225728626654e-26,2.2788104851539051e-15,6.9945376961893427e-24,3.0604235080362851e-18,1.0125409320354843e-23,5.7593759912867285e-26,1.3047381869011846e-37,1.4217416639687318e-28,1.614911496525908e-37,6.7499358183958904e-29,1.533264801707484e-39,1.5332648017293878e-39,1.9328743891824843e-50,2.5750520007200454e-51,9.5987569658403446e-30,3.0248962025131042e-91,2.8456231709132919e-91,2.845623170913323e-91,2.2553464786013666e-42,6.9281026562587559e-21,1.1631352196870644e-37,1.8318009665704451e-42,2.9601478499255391e-39,2.0448423434076564e-39,8.9740590053530774e-57,5.6123636849974151e-45,2.3940137162108974e-72,1.6069319636627547e-57,1.6477043697268286e-54,3.5030392370804394e-65,5.5359243895595497e-77,2.3554684218845951e-88,1.3882858133492802e-89,2.0699707415272634e-67,1.9181750419411314e-101,5.081713115267537e-105,2.0087235087503063e-102,1.2519669645656249e-94,2.4521973219073976e-91,2.6140766722198522e-37,5.665164847630414e-48,1.0664970788692709e-48,6.543879603965129e-49,4.7513876831887494e-53,1.2169491188682222e-45,5.9656955923378185e-34,1.4287012035707081e-44,9.6232793641171783e-45,1.2131362038421607e-55,9.7994225297032499e-56,8.5361778228443393e-57,1.2808225939582378e-59,4.7164841547584252e-67,3.0030474093434376e-47,3.8832187519571175e-57,1.8948319328292103e-57,1.480091148224027e-106,7.4652632438173774e-60,2.2443055056688341e-66,5.7399583091545903e-78,4.9688890815439921e-83
1.2319674748011707e-20,0.3296169072547025,154.0,0.0,0.0,0.0,0.99999999999997891,1.0,19.0,1.0083719380654895e-15,7.6841268372680913e-15,7.6841125737675e-15,3.8844679845607943e-25,3.8841850566965214e-25,4.6916686089757937e-15,2.9200817807073093e-23,6.3008718960902438e-18,4.2271590436463659e-23,2.4044260941489406e-25,1.0966004463446633e-36,5.9354915745521515e-28,1.3570277072692704e-36,2.8179653313001286e-28,1.2888014518967897e-38,1.2888014519337339e-38,3.2600750969539007e-49,4.3432015552030483e-50,4.007292081231245e-29,4.4291143557671121e-89,4.1666191477677478e-89,4.1666191477678371e-89,1.8957547156237934e-41,1.4263740803507076e-20,4.8558605927762884e-37,1.5397379129787602e-41,2.4881826144716402e-38,1.7188131897972221e-38,1.5136062190245078e-55,4.717529847330915e-44,8.088831273798103e-71,2.7103257324435981e-56,1.3863544108513419e-53,1.1835978325200422e-63,3.7439484978794986e-75,3.1872911818572914e-86,1.8785525162436265e-87,3.4946252652519204e-66,5.1921821286511262e-99,1.3755357473216691e-102,5.4372801820115887e-100,1.6940933031012953e-92,3.3181794448401351e-89,1.091325552382313e-36,4.7619124056129943e-47,8.9645504644784805e-48,5.5005242767431147e-48,4.2020978309433907e-52,1.0229189988365392e-44,2.4905604746534124e-33,1.2009094463648324e-43,8.0889461508363298e-44,2.0461314968611686e-54,1.6528158153792483e-54,1.4397511565075312e-55,2.1600402565210129e-58,1.5931826386170112e-65,2.5242422941480092e-46,5.2856884197778008e-56,3.1959102145284697e-56,4.3363456459556919e-104,1.2589747085184597e-58,3.9766795994034412e-65,2.0359459003730075e-76,1.7625348734420995e-81
2.4991340203109463e-20,0.32961690725470266,154.0,0.0,0.0,0.0,0.99999999999995726,1.0,19.0,2.0455545029327883e-15,1.5587800154307155e-14,1.558777122027116e-14,1.5869319184607754e-24,1.5866970078854974e-24,9.5173847426363629e-15,1.1929486712406912e-22,1.2781768572751092e-17,1.726932374825317e-22,9.8228650686608588e-25,8.9887795206449707e-36,2.4248419768005047e-27,1.1119134598107499e-35,1.1512307856762507e-27,1.0566372962490957e-37,1.0566372963097762e-37,5.3546828888856851e-48,7.1337215255268543e-49,1.637109569823486e-28,6.0564392387159079e-87,5.6974992453038279e-87,5.6974992453040734e-87,1.5542542950820609e-40,2.8935017223382682e-20,1.983777506589603e-36,1.2623682433258546e-40,2.0399624112936742e-37,1.4091868815529121e-37,2.4861027603737875e-54,3.8677159896791029e-43,2.6594307502279957e-69,4.4517180894640485e-55,1.1388467418133173e-52,3.8914106671800249e-62,2.4628943439331406e-73,4.1942959418428695e-84,2.4720694615374603e-85,5.7508297734878214e-65,1.3666676957389055e-96,3.6206364583458342e-100,1.4311806648996473e-97,2.2293315255294956e-90,4.3665375349620029e-87,4.4584209716913263e-36,3.9041034917517814e-46,7.3496799284869423e-47,4.5096607707344471e-47,3.7866785322329516e-51,8.3865069531248005e-44,1.0174752187237451e-32,9.8457811847830479e-43,6.6318067667122609e-43,3.3607770402444801e-53,2.7147548556683403e-53,2.3647955955311488e-54,3.5470376053738347e-57,5.2353374641478248e-64,2.0695263402176685e-45,6.2529060586746908e-55,5.249289513833288e-55,1.1862057217422673e-101,2.0673736744597852e-57,7.1602715414738122e-64,7.3285964490773856e-75,6.3445996063911857e-80
5.0334671113304975e-20,0.32961690725470255,154.0,0.0,0.0,0.0,0.99999999999991396,1.0,19.0,4.1199196326672004e-15,3.1395146784449614e-14,3.1395088510844371e-14,6.4146325405641984e-24,6.412718495889412e-24,1.9168816554024676e-14,4.8220891350701508e-22,2.5743561528284508e-17,6.9805365833430205e-22,3.9705590575707571e-24,7.2764111537957509e-35,9.8015989551567453e-27,8.9938944497174287e-35,4.6534589008252035e-27,8.5569227748024532e-37,8.5569227757861108e-37,8.6801709102053321e-47,1.1564069776551127e-47,6.6174586318771886e-28,8.0102206724531123e-85,7.5354881700710391e-85,7.5354881700716883e-85,1.2586754427601293e-39,5.8277570564649784e-20,8.0187459542382206e-36,1.0222954150166481e-39,1.6520144086175489e-36,1.141196043550156e-36,4.0300797097933062e-53,3.1321766852471751e-42,8.6257998948207879e-68,7.2164263380135672e-54,9.2587893871038887e-52,1.2621696330134748e-60,1.5980097716210252e-71,5.4433867456059045e-82,3.2082691180313372e-83,9.3576732778505376e-64,3.5475316538019273e-94,9.3982779494383372e-98,3.7149868758147276e-95,2.8932421566262519e-88,5.6669230959712665e-85,1.8021650403316091e-35,3.1616442267207172e-45,5.9519611041155773e-46,3.652038011803871e-46,3.6197472983011131e-50,6.7916091118695634e-43,4.1127975130841125e-32,7.9733688475406256e-42,5.3706090588038355e-42,5.4479641242700742e-52,4.4007343348209308e-52,3.8334355587687449e-53,5.7471955059139517e-56,1.6963215870841866e-62,1.675956085241789e-44,6.4840392274383503e-54,8.5093160472558014e-54,3.1381328362241996e-99,3.3496946480464547e-56,1.3644991593621616e-62,2.7888403541199435e-73,2.4144340662286864e-78
1.0102133293369599e-19,0.32961690725470255,154.0,0.0,0.0,0.0,0.99999999999982725,1.0,19.0,8.2686498921352721e-15,6.3009840028996966e-14,6.3009723082254319e-14,2.5792955300212384e-23,2.5777505792633044e-23,3.8471678353070185e-14,1.9389407282130487e-21,5.166714584819835e-17,2.8068429071102512e-21,1.5965442878301145e-23,5.8519686577550778e-34,3.9411798196543974e-26,7.2219528310814832e-34,1.8711353566868681e-26,6.8873558814921333e-36,6.8873558830762836e-36,1.3979145074123113e-45,1.8623577136301805e-46,2.6608510107151706e-27,1.0421516695472634e-82,9.8038766950915776e-83,9.8038766950932704e-83,1.0130915071444482e-38,1.169626792532474e-19,3.2243025559619272e-35,8.2282726918583752e-39,1.3296848510210357e-35,9.1853381135003811e-36,6.4903191379416522e-52,2.5210482886892947e-41,2.7789163389071176e-66,1.1621830216278788e-52,7.5104136121295543e-51,4.0662469371927822e-59,1.0297511164537967e-69,7.0157714851934028e-80,4.1350144772376526e-81,1.518404169388002e-62,9.1448001904586923e-92,2.4226810064690472e-95,9.5764417623286999e-93,3.7289884591501896e-86,7.3038788773985348e-83,7.246426361502338e-35,2.5447663278912773e-44,4.7906556945391149e-45,2.9394743685980595e-45,3.8040136232025551e-49,5.4664752078615127e-42,1.6537377902345269e-31,6.4176608756494653e-41,4.3227333996035512e-41,8.7737773570415344e-51,7.0872461000047284e-51,6.1736297648975362e-52,9.2469796339303039e-55,5.4537011882853218e-61,1.3489552605640209e-43,6.0561598397839832e-53,1.3703963912682689e-52,8.1661093088587252e-97,5.3894106853851786e-55,2.8538747971547643e-61,1.1638133643855931e-71,1.0075860174733896e-76
2.0239465657447804e-19,0.3296169072547025,154.0,0.0,0.0,0.0,0.99999999999965383,1.0,19.0,1.6566110411068424e-14,1.2623922645518226e-13,1.2623899218612842e-13,1.0344128677780059e-22,1.0331719179116132e-22,7.7077394656238102e-14,7.7760186929403947e-21,1.0351430812341483e-16,1.1256694233222909e-20,6.4028562965973892e-23,4.6882788701074044e-33,1.5805893722614988e-25,5.7678811951025316e-33,7.5040896606095244e-26,5.5266693393584056e-35,5.5266693419013189e-35,2.2439615468225286e-44,2.989496343326675e-45,1.0671202643482391e-26,1.3448415204900312e-80,1.265138350461293e-80,1.2651383504617295e-80,8.1294213785429539e-38,2.3433290465469647e-19,1.2930895959459797e-34,6.6025900972471218e-38,1.0669882447270429e-34,7.3706546204598141e-35,1.0418399623738183e-50,2.0229824802967988e-40,8.9225175877105693e-65,1.865560494732897e-51,6.1199324727913664e-50,1.3055861742221265e-57,6.6129851835284553e-68,9.0111963352527191e-78,5.3110947801886003e-79,2.4739089867322989e-61,2.349184384248627e-89,6.2235634948968406e-93,2.4600557515671397e-90,4.7895871417348815e-84,9.3812471994032917e-81,2.9061410724378644e-34,2.0420147101677646e-43,3.8441988303614112e-44,2.3587373724279498e-44,4.4816632819495478e-48,4.3864978155359483e-41,6.6322281828374875e-31,5.1497686179272944e-40,3.4687213115656908e-40,1.4083852823189449e-49,1.137659675631584e-49,9.9100429476089246e-51,1.4815591752260779e-53,1.7439051238252444e-59,1.0824516396959354e-42,5.2766648076106249e-52,2.199780955557189e-51,2.1076532118350132e-94,8.6346488983282897e-54,6.6884051959638665e-60,5.4407276581053787e-70,4.710450104432512e-75
