Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398),S(1815),S(1443),C7H15(32),C7H15(31),S(1930),S(1932)
0.0,0.4519954114320648,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.951121202667803e-23,0.4519954114320648,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,2.1017791839306177e-17,1.3396418716809828e-16,1.3396372550569431e-16,4.4206741019334563e-29,4.420684301096635e-29,3.9199911807279395e-16,2.2053264572110573e-26,1.503533191287139e-18,3.9160905058727962e-26,2.5245971871092887e-29,2.1079949421470807e-42,3.1980338655792416e-31,2.407681894022517e-42,1.8894523858630686e-31,1.6089641251607735e-43,1.6089641251611196e-43,3.0321434319007748e-56,4.2824810261031652e-57,8.2310430526688434e-33,9.9529899476255542e-101,9.2554070064265652e-101,9.2554070064265766e-101,4.5921814424632848e-47,6.5679712741701801e-22,3.0577127410042401e-40,3.6533655618168749e-47,8.2307575076304008e-43,4.6351092415368687e-43,3.3858981223771335e-62,3.4599669900253018e-49,7.116410192520782e-79,4.6618509255487898e-63,7.4546430325779686e-58,3.9831701081240408e-72,1.8448636980838106e-85,1.2883243708707868e-98,3.0218698404341685e-99,2.0602842927517774e-72,6.6576588321442621e-113,1.3381900340610325e-116,1.3974808421075863e-113,1.8068296248795333e-104,1.2984925547157593e-101,2.1793408133280923e-39,7.191615085496628e-52,6.4705708092471218e-52,2.356126989604579e-52,6.332403389353151e-56,6.6640988915789736e-49,4.4890452980227565e-36,3.1228957212106408e-48,2.4990279807078177e-48,4.7094967259786205e-61,4.1232759935994853e-61,3.5147429783956387e-62,5.4293588455907288e-65,7.8855428998508333e-74,3.3948282086536451e-51,3.123445236569178e-62,6.2347238167119782e-63,3.8905643569818493e-117,3.4293117548430354e-65,4.7888627153007257e-71,4.5671540114999948e-84,5.1776548378728993e-88,9.1364607447160247e-24,1.8599823760206888e-22,4.0978363553770559e-36,4.3961925145612987e-53
1.946313936746985e-22,0.4519954114320648,154.0,0.0,0.0,0.0,0.99999999999999811,1.0,19.0,5.8849817150057228e-17,3.7509972407044962e-16,3.7509843141579964e-16,2.6700871575585987e-28,2.6700903813543876e-28,1.0975975304020565e-15,1.3320171799511592e-25,4.2098929350935807e-18,2.3653186651843507e-25,1.5248567008629552e-28,2.5026003314060265e-41,1.9316124546845248e-30,2.8583635212027471e-41,1.1412292410599725e-30,1.9101622093884832e-42,1.9101622093892568e-42,6.7827835676950184e-55,9.5797387548860964e-56,4.9715500038117064e-32,1.0605683141199723e-98,9.8623543849173596e-99,9.8623543849173807e-99,5.4518492493093539e-46,1.8390319568209862e-21,1.8468584956349216e-39,4.337275518699256e-46,9.7715553116847573e-42,5.5028016907787575e-42,7.5741186638552796e-61,4.1076728105558122e-48,2.9366065919003373e-77,1.0428394944789891e-61,8.8502011470319075e-57,1.6436695120647243e-70,1.3887700236790045e-83,1.7585597855664884e-96,4.1248453407864863e-97,4.6087978974078906e-71,1.6424416613178323e-110,3.3013242661399519e-114,3.4475793984387945e-111,2.4663182578536676e-102,1.7724393329915413e-99,1.3163218512486451e-38,8.5378854294675309e-51,7.6818616622395308e-51,2.7971939534201557e-51,7.5247528851888224e-55,7.9116181846862612e-48,2.7113833600007146e-35,3.7075018001249036e-47,2.9668460186903176e-47,1.0534955792484403e-59,9.2236034621759332e-60,7.8623394528452706e-61,1.2145199480986128e-63,3.2539249293134773e-72,4.0303400492664944e-50,6.8815532217850562e-61,1.394682771758226e-61,7.5011624578430584e-115,7.6711923045717685e-64,1.0721919030587823e-69,1.8862667895231951e-82,2.1387323261188672e-86,2.5582090085205447e-23,5.2079506528577905e-22,2.4750931586475919e-35,5.2191634237731909e-52
4.448717569707394e-22,0.4519954114320648,154.0,0.0,0.0,0.0,0.99999999999999567,1.0,19.0,1.3451386777155909e-16,8.5737079787424964e-16,8.573678432354325e-16,1.285532028828437e-27,1.2855305900065632e-27,2.5087943542535142e-15,6.4130893345049597e-25,9.6226124206648327e-18,1.1387991185635813e-24,7.3415286178479826e-28,2.4570439867728215e-40,9.299882479224384e-30,2.8062811062154983e-40,5.4945275380699918e-30,1.8754085842799961e-41,1.8754085842815255e-41,1.3401637316849871e-53,1.8927949450134702e-54,2.3935873197156852e-31,2.4136053403955701e-96,2.2444411072250139e-96,2.2444411072250235e-96,5.3526629353202402e-45,4.2035016158422648e-21,8.8918286518589742e-39,4.2583626623555702e-45,9.5937709466344218e-41,5.4026833295365517e-41,1.4965182131709456e-59,4.0329375235665894e-47,1.1616923642919356e-75,2.0604771200414971e-60,8.6892836288750602e-56,6.5021996307016917e-69,1.0980598101565587e-81,2.7780962935938559e-94,6.5162513364401399e-95,9.1063132721169246e-70,5.1847053152559563e-108,1.0421329443291714e-111,1.0882994159954812e-108,3.8961823579802068e-100,2.8000225991912138e-97,6.3375230851352469e-38,8.3825465435492612e-50,7.5420973275126189e-50,2.7463015923040567e-50,7.4025124927002099e-54,7.7676736078959312e-47,1.305414372657472e-34,3.6400472523443758e-46,2.9128670142944214e-46,2.0815297338234363e-58,1.8224286111828526e-58,1.5534657840848656e-59,2.3996612055603914e-62,1.2871622669076092e-70,3.9570117598638031e-49,1.3161760101794839e-59,2.7556581019524737e-60,3.403971273536582e-112,1.5156806351676088e-62,2.1225459158198928e-68,7.4760309034878724e-81,8.4772175737956997e-85,5.8473348766186609e-23,1.1903887206531437e-21,1.1916508121434227e-34,5.124207207067303e-51
9.453524835628212e-22,0.4519954114320648,154.0,0.0,0.0,0.0,0.99999999999999079,1.0,19.0,2.8584196901456183e-16,1.8219129454782397e-15,1.8219066668723869e-15,5.6142561093127648e-27,5.6142235468176367e-27,5.3311879987281639e-15,2.8007645974910878e-24,2.044805138364081e-17,4.973434936834763e-24,3.2062384252874393e-27,2.1731851395759349e-39,4.0615030073429196e-29,2.48198662829825e-39,2.3996045300256255e-29,1.6587776544602071e-40,1.6587776544629288e-40,2.3847497500939994e-52,3.3681274710489698e-53,1.0453424676885143e-30,4.0788863234725196e-94,3.7930062479065382e-94,3.7930062479065706e-94,4.7343717403661368e-44,8.9324409347381939e-21,3.8832951821248286e-38,3.7664732629645861e-44,8.4855817511215297e-40,4.7786122186173217e-40,2.662974201707374e-58,3.5670875680219887e-46,4.1459975324587846e-74,3.6665105683826289e-59,7.685757372041783e-55,2.3205899202583132e-67,7.8484760096154917e-80,3.9739780223859649e-92,9.321289423683223e-93,1.6204574294123928e-68,1.4837968579713926e-105,2.9824549631848297e-109,3.1145747257469758e-106,5.5733644302004311e-98,4.0053429022887615e-95,2.7677628329030717e-37,7.4142674883218327e-49,6.6708996652351852e-49,2.4290726249667542e-49,6.5735271121687792e-53,6.8704192669923687e-46,5.7010875284109319e-34,3.2195805721119538e-45,2.576397886951449e-45,3.7039709399725437e-57,3.2429143347080165e-57,2.7643093612564332e-58,4.2699775680489748e-61,4.5933748927812665e-69,3.4999320897056073e-48,2.2004077680552047e-58,4.9035462477405716e-59,1.1513808382690506e-109,2.6970094530605881e-61,3.7915271380596319e-67,2.6782743520923159e-79,3.0370426102243277e-83,1.2425586612815808e-22,2.5295760313876508e-21,5.2042521713265349e-34,4.5323038836207985e-50
1.9463139367469847e-21,0.4519954114320648,154.0,0.0,0.0,0.0,0.9999999999999809,1.0,19.0,5.8849817150056306e-16,3.7509972406717783e-15,3.7509843141370494e-15,2.3438414087166661e-26,2.3438058527821837e-26,1.0975975274764393e-14,1.1692640847630433e-23,4.2098929276926653e-17,2.0763111811524361e-23,1.3385414264981232e-26,1.8266216597000708e-38,1.6955975537816688e-28,2.0860284905174925e-38,1.0017876549661747e-28,1.3943025674101231e-39,1.3943025674147131e-39,4.0222289964258637e-51,5.6808392691815201e-52,4.3640990265211605e-30,5.9723880631559555e-92,5.5537966596710693e-92,5.5537966596711674e-92,3.979525504571986e-43,1.8390319575943525e-20,1.6211992962235932e-37,3.1659472409636498e-43,7.1326427477633952e-39,4.0167114978284702e-39,4.4914952197759786e-57,2.9983520340577847e-45,1.4008388620225093e-72,6.1841072514235337e-58,6.4606523931265361e-54,7.8407505228037929e-66,5.3079292683923523e-78,5.3773708935423701e-90,1.261306181242212e-90,2.7332653234332575e-67,4.0163930389846127e-103,8.0730167195378135e-107,8.4306389745519998e-104,7.5415735856904996e-96,5.419812142969502e-93,1.1554864992053102e-36,6.2321385668476611e-48,5.6072931046490269e-48,2.0417818491313585e-48,5.5693338751095652e-52,5.7750012447704218e-45,2.3800918169414932e-33,2.7062514645313775e-44,2.1656176635627964e-44,6.2472883549388063e-56,5.4696489965068636e-56,4.6624117771573877e-57,7.2016330707068241e-60,1.5517166574798537e-67,2.941903807882369e-47,3.3097039704922114e-57,8.2705470915804973e-58,3.3732958211644611e-107,4.5486871907121029e-60,6.444135333085406e-66,9.1177687657788023e-78,1.0339299302692856e-81,2.5582090085213771e-22,5.2079506528557705e-21,2.1726728356188206e-33,3.8096747592547381e-49
3.9482368431153124e-21,0.45199541143206473,154.0,0.0,0.0,0.0,0.99999999999996125,1.0,19.0,1.1938105764725496e-15,7.6091658310010934e-15,7.6091396086293941e-15,9.5753569306643783e-26,9.5750322039665638e-26,2.2265549775184581e-14,4.776825295245243e-23,8.540068493283391e-17,8.4824086364881947e-23,5.4683784733250646e-26,1.4974577292584644e-37,6.9270692593957602e-28,1.7098737835702179e-37,4.0926294457188487e-28,1.1431334849509048e-38,1.1431334849584444e-38,6.6065231407001988e-50,9.3307955364302025e-51,1.7828768493770134e-29,8.1667354948305141e-90,7.594347157620295e-90,7.5943471576205644e-90,3.2626557557430835e-42,3.7306076872008098e-20,6.6231281135045312e-37,2.5956340335613659e-42,5.8477714464563502e-38,3.2931427573627149e-38,7.3772943859411375e-56,2.4582301502971229e-44,4.6056516931195772e-71,1.0157415647288459e-56,5.2973419022503155e-53,2.5778674682572357e-64,3.491733496964229e-76,7.0763184378162314e-88,1.6598081781755924e-88,4.4898137831101767e-66,1.0571807919828033e-100,2.1249514379473621e-104,2.2190827960353675e-101,9.924287785618026e-94,7.1321687413369401e-91,4.7205393751213134e-36,5.1094837267002756e-47,4.5971976395969244e-47,1.6739760293823016e-47,4.6380492907135746e-51,4.7346947297109419e-44,9.7234516767350836e-33,2.2187484544476536e-43,1.7755042016345483e-43,1.026118981967545e-54,8.9839148245377768e-55,7.6580253425247682e-56,1.1827691529254993e-58,5.0998594166695856e-66,2.4119504837084237e-46,4.4655008958029373e-56,1.3584397209021961e-56,9.2276380425039389e-105,7.4705312185057963e-59,1.074604829477069e-64,3.0427572766426248e-76,3.4504305082596293e-80,5.1895097030024373e-22,1.0564699895788446e-20,8.8760774591831812e-33,3.1234016393011712e-48
7.952082655851966e-21,0.45199541143206484,154.0,0.0,0.0,0.0,0.99999999999992195,1.0,19.0,2.4044353864164579e-15,1.5325503011428677e-14,1.5325450197466152e-14,3.8705123677050267e-25,3.8702360213636174e-25,4.4844698569415857e-14,1.9308691491075499e-22,1.7200419572199071e-16,3.4287251749862646e-22,2.210406003303394e-25,1.2124905237327801e-36,2.8000321427631022e-27,1.3840876150590806e-36,1.6543062574093224e-27,9.2573913381006752e-38,9.2573913382228967e-38,1.0709458498224704e-48,1.5125621585498135e-49,7.2066732826512057e-29,1.0801289491751587e-87,1.0044251121190181e-87,1.0044251121190894e-87,2.6421833466298e-41,7.513759151875288e-20,2.6771742815224592e-36,2.1020104522300559e-41,4.7356769079182398e-37,2.6668723723751621e-37,1.1958912109920015e-54,1.9907385095936962e-43,1.4938320869370343e-69,1.6465608896157564e-55,4.290748807392409e-52,8.3612515713195427e-63,2.2655558936018072e-74,9.183696695434799e-86,2.1541109286359535e-86,7.2795345034278314e-65,2.7441803914089534e-98,5.5158500619228387e-102,5.7601900465330171e-99,1.2879811720919468e-91,9.2561796192587037e-89,1.9081174902798294e-35,4.1377923936197627e-46,3.7229297968729457e-46,1.3556290439066155e-46,3.8725863868171042e-50,3.8342782207908183e-43,3.9303746321045104e-32,1.7968000217274347e-42,1.4378493354376034e-42,1.663383067895677e-53,1.4563312825553931e-53,1.2413989081141985e-54,1.9169916109339788e-57,1.6529318221918513e-64,1.9532600353164348e-45,5.3253754096151437e-55,2.2020889300759527e-55,2.4411915589398272e-102,1.2107780439550465e-57,1.7943530021819313e-63,1.0161248179908734e-74,1.1522718830512789e-78,1.0452111091970426e-21,2.1278198381639538e-20,3.58785242526308e-32,2.5294116674110199e-47
1.5959774281325274e-20,0.4519954114320648,154.0,0.0,0.0,0.0,0.99999999999984335,1.0,19.0,4.8256850063040161e-15,3.0758177371359754e-14,3.0758071374547952e-14,1.5563159995564576e-24,1.5560882157091462e-24,9.0002995331442073e-14,7.7639398446587687e-22,3.4521121520967333e-16,1.3786752983631583e-21,8.8879452620690624e-25,9.7561283031738927e-36,1.1258806046356775e-26,1.1130493885215878e-35,6.6518927014855805e-27,7.4511539231007868e-37,7.4511539232976201e-37,1.7247252089610085e-47,2.4359347039979444e-48,2.8977716308424581e-28,1.4052773755021208e-85,1.3067846080121078e-85,1.3067846080122927e-85,2.1266590725871266e-40,1.5080062103070505e-19,1.0764800066428415e-35,1.691878814961145e-40,3.8116847328294907e-36,2.1465308769666652e-36,1.9259459283891925e-53,1.6023195427967875e-42,4.8125790556337413e-68,2.6517354847000403e-54,3.4548943751642814e-51,2.6936885061711048e-61,1.4599153747726093e-72,1.1836514534858441e-83,2.7763509797364598e-84,1.1727823463973752e-63,7.0739283780397136e-96,1.4218719239760297e-99,1.4848570315606853e-96,1.6600295547218109e-89,1.1929934996993853e-86,7.6724565057540226e-35,3.3304552972644143e-45,2.9965377203715328e-45,1.0911279574601097e-45,3.3046529146886635e-49,3.0861601610366204e-42,1.580386352953703e-31,1.446220972943228e-41,1.1573062350625487e-41,2.6788270860812231e-52,2.3453765544218542e-52,1.9992346694622037e-53,3.0861994558100141e-56,5.3174571960681067e-63,1.5721536056572981e-44,5.5974675860727236e-54,3.5463950580028014e-54,6.3525153862992775e-100,1.9491891287335195e-56,3.0584384901265994e-62,3.4618138613059908e-73,3.9256626730127106e-77,2.0977313869929886e-21,4.2705195353284679e-20,1.4426596802440797e-31,2.0358905799064112e-46
3.197515753227189e-20,0.4519954114320648,154.0,0.0,0.0,0.0,0.99999999999968614,1.0,19.0,9.6681842460780976e-15,6.1623526087526152e-14,6.1623313726344723e-14,6.2415232346303061e-24,6.2396741465971427e-24,1.8031958554974919e-13,3.1136870632812519e-21,6.9162524582251522e-16,5.5291044583917992e-21,3.5644635250112364e-24,7.8237876701859376e-35,4.5152847470481066e-26,8.9157570501919867e-35,2.667706486047387e-26,5.9790817649666137e-36,5.9790817652825732e-36,2.7685657150784353e-46,3.9102146053492908e-47,1.1621360299629008e-27,1.8134360092196554e-83,1.6863363103868804e-83,1.6863363103873578e-83,1.7065099941034106e-39,3.021266809284597e-19,4.3171663156077427e-35,1.3576228796974169e-39,3.0586368868059815e-35,1.7224558113129007e-35,3.0915697488985261e-52,1.2857605224374926e-41,1.5452182063694735e-66,4.2566223463145393e-53,2.7744639395775437e-50,8.6488681261668006e-60,9.3754704335005571e-71,1.5203058296380832e-81,3.5660012647075336e-82,1.8839743693899919e-62,1.8172038592073928e-93,3.6526115128196455e-97,3.814409223329865e-94,2.1321755030153656e-87,1.5323049426735743e-84,3.0769982173264296e-34,2.672480629824656e-44,2.4045326965554706e-44,8.7556109326208185e-45,2.9529443145284784e-48,2.4764483259354511e-41,6.3380561188135655e-31,1.1605012467794579e-40,9.2866536877569963e-41,4.3001105335138334e-51,3.7648485357536029e-51,3.2092144022286442e-52,4.9506454109028334e-55,1.7024124742795141e-61,1.2615542570154759e-43,5.2903614770992533e-53,5.6927453761234149e-53,1.6395689755251482e-97,3.1265341186159133e-55,5.4510353838101508e-61,1.2323906918863237e-71,1.3975232319432995e-75,4.202771942594273e-21,8.5559189296346785e-20,5.7857105630434051e-31,1.6336739810012988e-45
