Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398),S(1815),S(1443),C7H15(32),C7H15(31),S(1930),S(1932),C4H9(23),C3H6(1916),S(1984),S(87)
0.0,0.49805936112023347,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.572652123776795e-22,0.49805936112023347,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,3.8317885250919229e-17,2.0607183368029012e-16,2.0607142155985873e-16,2.198367282105502e-28,2.198364422318224e-28,3.3704624813503945e-16,6.7197712697691028e-26,7.3126457219996925e-19,1.0677565517878927e-25,1.3115897369719517e-28,2.8665348827777381e-41,6.4244839116181863e-31,3.4203885395345656e-41,4.696082834613413e-31,1.0365987837102599e-42,1.0365987837110099e-42,6.5976620841268523e-55,9.023710536565977e-56,2.9727583287274476e-32,1.3875906215636143e-98,1.2984521399908208e-98,1.2984521399908233e-98,5.1016955159074224e-46,5.9442092853974626e-22,6.2075008040209773e-40,3.3901685801195561e-46,4.0914173027309527e-42,2.5748742442733205e-42,4.5626272736082916e-61,2.2781962503741824e-48,1.7483022831276343e-77,6.7545397935776063e-62,1.7205647632580682e-57,1.5366151986046151e-70,2.2327398083429607e-83,5.1458054486810807e-96,7.4506248657309085e-97,1.4494178617351336e-71,5.5133758763326521e-110,1.194075781656657e-113,1.0370678665458673e-110,4.50800514950225e-102,5.2782798989319094e-99,2.9966793678296439e-39,3.1968537060007849e-51,1.6127243340770448e-51,7.7842574223235803e-52,1.0032990390301859e-55,1.7578520276116502e-48,6.532696036436678e-36,1.3536055811504916e-47,9.8595682752848937e-48,6.2753401656248984e-60,5.2590873868016194e-60,4.5344378781362887e-61,6.8942375226837563e-64,2.6567470217446934e-72,1.6100859525601721e-50,3.1570332213070425e-61,9.0946040992690127e-62,9.9507880207912053e-115,4.1684880339694076e-64,2.4727886924363497e-70,6.4488016757306875e-83,6.1777460395530897e-87,7.7487461094621611e-24,1.7455162026112921e-22,1.2916617192058196e-35,3.2048089031370245e-52,2.9004644391277457e-37,2.9004644391277528e-37,7.1486519859757528e-52,1.2636811798057261e-43
7.203425946575025e-22,0.49805936112023347,154.0,0.0,0.0,0.0,0.99999999999999778,1.0,19.0,1.0729007870257366e-16,5.7700113430367386e-16,5.7699998036688936e-16,1.327813838380573e-27,1.327807879239216e-27,9.4372949420403535e-16,4.0587418448803539e-25,2.0475408013442575e-18,6.4492495695252851e-25,7.9220020089650935e-28,3.4031152534843962e-40,3.8803882821477588e-30,4.0605646745853269e-40,2.8364340320974282e-30,1.2306500760164279e-41,1.2306500760181059e-41,1.4758706149913737e-53,2.018567951391578e-54,1.7955460305503604e-31,1.4785854843022553e-96,1.3836015150407361e-96,1.3836015150407409e-96,6.0567381649634886e-45,1.6643786001039224e-21,3.749330486101432e-39,4.0248079081040401e-45,4.8573306195426213e-41,3.0568907013792347e-41,1.0206414706041433e-59,2.7046745884389666e-47,7.2144183238363165e-76,1.5109647815584622e-60,2.0427253937580006e-56,6.3408907522522879e-69,1.6807521350227249e-81,7.0240046232827084e-94,1.0170074252758185e-94,3.2423972984596655e-70,1.3601460073807724e-107,2.9457822044051885e-111,2.5584391872538393e-108,6.1534096719140795e-100,7.2048317377923673e-97,1.8099943381630511e-38,3.7953047197261947e-50,1.9146263276701549e-50,9.2414703128307667e-51,1.1953399162983259e-54,2.0869219148680046e-47,3.9457484059865783e-35,1.6070005458312714e-46,1.1705279456348133e-46,1.403768492232623e-58,1.1764368105145232e-58,1.0143356155479917e-59,1.5421956289423583e-62,1.0962770867912465e-70,1.9114940428269844e-49,6.8438067999567028e-60,2.0344265227729799e-60,1.9185514151270518e-112,9.3246280371167909e-63,5.5502655607232196e-69,2.6699112314218943e-81,2.5578463911731646e-85,2.1696489106495385e-23,4.8874453673111815e-22,7.8016367840020186e-35,3.8047501768899017e-51,1.7518805212330236e-36,1.751880521233032e-36,8.4868796377498081e-51,1.5002422966538045e-42
1.6464973592171485e-21,0.49805936112023347,154.0,0.0,0.0,0.0,0.99999999999999489,1.0,19.0,2.4523446560588179e-16,1.3188597355458879e-15,1.318857097978091e-15,6.3928520561955501e-27,6.3927802628888098e-27,2.1570959840457266e-15,1.9541094821585771e-24,4.6800932563702098e-18,3.1050360476888104e-24,3.8141029515961934e-27,3.3411246877221329e-39,1.8682399207941311e-29,3.9864310464063365e-39,1.3656208882919703e-29,1.2082595422790625e-40,1.2082595422823773e-40,2.916071618599418e-52,3.9883501107151002e-53,8.6447812199241456e-31,3.3649146156850084e-94,3.1487533251701683e-94,3.1487533251701895e-94,5.9465437462409909e-44,3.8042939440028077e-21,1.8051412345152811e-38,3.9515797833243612e-44,4.7689560010585425e-40,3.0012734147166202e-40,2.0166155531433626e-58,2.6554655494198305e-46,2.8539521442144222e-74,2.9854129824704085e-59,2.0057100991663072e-55,2.5083943501144617e-67,1.3289207252400607e-79,1.109621044347541e-91,1.6066231471541072e-92,6.4068955990045798e-69,4.2935783561592257e-105,9.2989697050558259e-109,8.0762348775370204e-106,9.7208832214289324e-98,1.1381873085302465e-94,8.714343601557802e-38,3.7262526795969108e-49,1.8797914783872543e-49,9.0733301447098357e-50,1.1825375809293406e-53,2.0489522852152452e-46,1.8997080073640238e-34,1.5777626650461779e-45,1.1492312781454798e-45,2.7736099791286958e-57,2.3244408842581995e-57,2.004156245981756e-58,3.0470420248140087e-61,4.3364395812263954e-69,1.8767161861476595e-48,1.2664404693133535e-58,4.0196838239426007e-59,8.706242453144018e-110,1.8423405247814047e-61,1.1047407791460683e-67,1.0638809097170245e-79,1.0192538421481444e-83,4.95919751005672e-23,1.1171303696709206e-21,3.7561522794488235e-34,3.7355267443653927e-50,8.4345505889814567e-36,8.4345505889815408e-36,8.3324687548514554e-50,1.4729467831457393e-41
3.498806888336441e-21,0.49805936112023347,154.0,0.0,0.0,0.0,0.99999999999998923,1.0,19.0,5.2112323941249523e-16,2.8025769380121025e-15,2.8025713331890541e-15,2.7919264481011625e-26,2.7918572240558404e-26,4.5838289545439094e-15,8.5341094806738834e-24,9.945198153371614e-18,1.3560508156965629e-23,1.6657189623188625e-26,2.9550552321215636e-38,8.1590945604759089e-29,3.5254988126094615e-38,5.96402519981839e-29,1.0686918820253339e-39,1.0686918820312326e-39,5.1889936003116511e-51,7.0970559129816553e-52,3.7754030774680741e-30,5.6865569426925096e-92,5.3212539178893522e-92,5.3212539178894238e-92,5.2596515145870698e-43,8.0841246348827044e-21,7.8835260283870218e-38,3.4951267006681312e-43,4.2180875677137285e-39,2.6545923416184605e-39,3.5884596295594955e-57,2.3487292062515019e-45,1.0185552484927732e-72,5.3123838261998188e-58,1.7742950516420579e-54,8.9522828847307316e-66,9.4985714183292519e-78,1.5872770206976205e-89,2.2982224565855029e-90,1.1402390579380561e-67,1.228767286912086e-102,2.6612473697574587e-106,2.3113150611456296e-103,1.3905409101828292e-95,1.6281401378435821e-92,3.8057827970498218e-37,3.2958282964916049e-48,1.6626542680928789e-48,8.0252573879426387e-49,1.0618548407586235e-52,1.8122750462318312e-45,8.2965239659463727e-34,1.395513209222957e-44,1.0164820508631436e-44,4.9354907419223912e-56,4.1362183349673726e-56,3.5662889574584258e-57,5.421774445947795e-60,1.5474128528099305e-67,1.6599342133442397e-47,1.9981707990418817e-57,7.1528120402277419e-58,2.9448546794837449e-107,3.2781719251743165e-60,1.9947923415447612e-66,3.8519947501394632e-78,3.6904605213619433e-82,1.0538294708873225e-22,2.3739020355498246e-21,1.6404103833896338e-33,3.3040312841326935e-49,3.6835898376901423e-35,3.6835898376902161e-35,7.3699742514576107e-49,1.3028047490572996e-40
7.203425946575024e-21,0.49805936112023347,154.0,0.0,0.0,0.0,0.99999999999997791,1.0,19.0,1.0729007870257106e-15,5.7700113428716791e-15,5.7699998035652256e-15,1.1655743328167956e-25,1.1655137851500583e-25,9.4372948587994703e-15,3.5628226984919899e-23,2.0475407895172432e-17,5.661245191912862e-23,6.9540487527056536e-26,2.483680422364215e-37,3.4062613633886953e-28,2.9626302028445273e-37,2.4898631187854524e-28,8.9829992033089134e-39,8.9829992034084021e-39,8.7519960115983344e-50,1.1970222083209737e-50,1.5761564658770853e-29,8.3263719825778523e-90,7.7914878863658855e-90,7.7914878863660948e-90,4.4210543781544384e-42,1.6643786028971004e-20,3.2912169328379399e-37,2.9378631297802786e-42,3.5455567451820674e-38,2.2313448053034894e-38,6.0524616658631092e-56,1.9742484193720925e-44,3.4414679798414482e-71,8.9601124290779368e-57,1.4918513750801372e-53,3.0247742773644284e-64,6.4238889313725152e-76,2.1478166204383513e-87,3.1098291762769536e-88,1.9237407788984016e-66,3.3260696381701451e-100,7.2035574544909173e-104,6.2563461279023474e-101,1.8816040576124944e-93,2.2031103600287638e-90,1.5888394007388352e-36,2.770342271512923e-47,1.3975610836984905e-47,6.7457117653475114e-48,9.1932425280224421e-52,1.5233262960723385e-44,3.4636354382233415e-33,1.1730129376295159e-43,8.544144113441674e-44,8.3244264467294159e-55,6.9763367027352009e-55,6.0150675844608083e-56,9.1436904024727344e-59,5.2267937342219347e-66,1.3952747246124031e-46,2.7449451305791841e-56,1.2064261114917165e-56,8.6277847031323261e-105,5.5285269486056546e-59,3.4622594433821839e-65,1.3387315579406628e-76,1.2825998694837659e-80,2.1696489106514812e-22,4.8874453673048314e-21,6.8483904352134418e-33,2.7772374494078515e-48,1.5378262456236455e-34,1.5378262456237077e-34,6.1949074326076426e-48,1.0950858913843107e-39
1.4612664063052193e-20,0.4980593611202334,154.0,0.0,0.0,0.0,0.99999999999995526,1.0,19.0,2.1764558822520963e-15,1.1704880152299445e-14,1.1704856744134544e-14,4.7617514664148911e-25,4.7612454980882184e-25,1.914422652034739e-14,1.4555293117842154e-22,4.153582716996608e-17,2.312803362770306e-22,2.8409558061681206e-25,2.0359080300464826e-36,1.3915689076454089e-27,2.4276913176705322e-36,1.0171903262014338e-27,7.3648054763679843e-38,7.3648054765313978e-38,1.4375179287535194e-48,1.9661125579551553e-49,6.4391134502365098e-29,1.1385609389369646e-87,1.0654200631664599e-87,1.0654200631665172e-87,3.6246476325518036e-41,3.376310886646167e-20,1.3445695096938417e-36,2.4086352988652553e-41,2.9068616097271528e-37,1.8293912687799161e-37,9.94118646165263e-55,1.618608133211962e-43,1.1314793770199892e-69,1.4717011699721613e-55,1.223846990678535e-52,9.9447961489086147e-63,4.2258487530233602e-74,2.8264059465346275e-85,4.0923603966844102e-86,3.1615928434124719e-65,8.75476230259543e-98,1.8960949731499061e-101,1.6467725983447044e-98,2.4760851846271574e-91,2.8991693999650488e-88,6.4909273771787969e-36,2.2712939708220357e-46,1.1458049953487841e-46,5.5305410353345057e-47,7.976201150311711e-51,1.2489148050254253e-43,1.4150080920262409e-32,9.6170687557565171e-43,7.0050055589151367e-43,1.3672895185714107e-53,1.1458653714898672e-53,9.8797665629079313e-55,1.5015502119418743e-57,1.7174277962374125e-64,1.1439305178587513e-45,3.282802448076288e-55,1.9815578972637503e-55,2.3601272631996977e-102,9.0786872288893036e-58,6.0079043300927787e-64,4.6462707002890542e-75,4.4514734022765037e-79,4.4012877901832291e-22,9.9145320308036278e-21,2.7977909502551831e-32,2.2769470834392408e-47,6.2825219937122983e-34,6.2825219937128063e-34,5.0789593937877336e-47,8.978175759395464e-39
2.9431140296006533e-20,0.49805936112023347,154.0,0.0,0.0,0.0,0.99999999999990985,1.0,19.0,4.3835660727046848e-15,2.3574617769989556e-14,2.3574570624541082e-14,1.9247760760296489e-24,1.9243625094786433e-24,3.8558089255590452e-14,5.8834820955464804e-22,8.365666488432147e-17,9.3487208160024821e-22,1.1483597482387198e-24,1.6481430787869692e-35,5.6249439942231245e-27,1.9639826837518948e-35,4.1116459327985473e-27,5.9642104194996864e-37,5.9642104197645866e-37,2.3302783660232883e-47,3.1871531377491416e-48,2.6027926091017072e-28,1.5058558357415042e-85,1.4091200257901228e-85,1.4091200257902745e-85,2.9353336862748185e-40,6.8001754738699128e-20,5.4349649595166817e-36,1.9505714369683182e-40,2.3540518589888928e-36,1.4814884556861604e-36,1.6115091652607332e-53,1.3107908314361778e-42,3.6699262382681166e-68,2.385690905576029e-54,9.9229689674895842e-52,3.225570648759386e-61,2.7418747344331009e-72,3.6681295926192405e-83,5.3110942163578006e-84,5.131052958531103e-64,2.2725200345775855e-95,4.9217944133654433e-99,4.2746117862837981e-96,3.2134808534321621e-89,3.7625625165181194e-86,2.6237366265564438e-35,1.8393527442058208e-45,9.2790256283439482e-46,4.4787738533022597e-46,7.1704198278483106e-50,1.0114033821036372e-42,5.7196889472529136e-32,7.7881515991364023e-42,5.6728351174631073e-42,2.2164351491448467e-52,1.8574970589961975e-52,1.6015527324925301e-53,2.4330936099125019e-56,5.5637829452723823e-63,9.2638459132357352e-45,3.4390276775196388e-54,3.2121887537437737e-54,6.2437676094525673e-100,1.4710674021792015e-56,1.0780225527673217e-62,1.6658175565830327e-73,1.5959814177895507e-77,8.8645655492604463e-22,1.996870535775638e-20,1.1309118349162019e-31,1.8439307935511054e-46,2.5394958387362877e-33,2.5394958387366996e-33,4.1130729979937478e-46,7.2707595029390355e-38
5.906809276191521e-20,0.4980593611202336,154.0,0.0,0.0,0.0,0.99999999999981903,1.0,19.0,8.7977864536091384e-15,4.731409300070919e-14,4.7313998382425746e-14,7.7394399425573645e-24,7.7360963754804012e-24,7.7385812374665494e-14,2.3657221922574721e-21,1.6789833697210481e-16,3.7590793928612179e-21,4.6175039477669466e-24,1.3256233164953469e-34,2.2617652220128272e-26,1.5775345457906203e-34,1.6532747455419499e-26,4.800515419002442e-36,4.800515419429054e-36,3.7528410083137348e-46,5.1328117314001951e-47,1.0465714605815497e-27,1.9591597260651119e-83,1.8333037852666704e-83,1.833303785267065e-83,2.3626119429202969e-39,1.3647904727219881e-19,2.1853755250068934e-35,1.5699833486444554e-39,1.8947456727535937e-35,1.1924307571752813e-35,2.5952858317079677e-52,1.0550384972222243e-41,1.1823156235853867e-66,3.8420811785235506e-53,8.0060874708829137e-51,1.03916042413853e-59,1.7668532038045401e-70,4.7277111208496999e-81,6.8452650212661995e-82,8.2826468604530348e-63,5.8580851480620397e-93,1.2687365137382108e-96,1.1019046334355332e-93,4.1417318999363288e-87,4.8494220844673272e-84,1.0549929576849416e-34,1.4804711075809539e-44,7.4685666094059529e-45,3.6049041596473665e-45,6.9160699240682711e-49,8.140650983005361e-42,2.2998617687431684e-31,6.2685819308861241e-41,4.5659912261360789e-41,3.5695002180265274e-51,2.9914414702342999e-51,2.5792512956225568e-52,3.9152566504561438e-55,1.7881758292815997e-61,7.4563491210579604e-44,3.2365565267185311e-53,5.1731245562228599e-53,1.6247651541868787e-97,2.367091960485163e-55,2.0714720707502825e-61,6.3899132446218799e-72,6.1220442278994249e-76,1.7791121067469758e-21,4.0077052011482486e-20,4.5473467488435107e-31,1.4841559257028917e-45,1.0211201076420279e-32,1.0211201076423589e-32,3.3105589780326126e-45,5.8521397866150085e-37
1.1834199769373256e-19,0.4980593611202334,154.0,0.0,0.0,0.0,0.9999999999996374,1.0,19.0,1.7626227215415141e-14,9.4793043443515e-14,9.4792853886481511e-14,3.10386156832372e-23,3.1011734459887278e-23,1.5504124920717253e-13,9.4876034294124895e-21,3.3638166778396271e-16,1.5075588611320413e-20,1.8518255312084175e-23,1.062214762585554e-33,9.0706899898070916e-26,1.2606879546220913e-33,6.6303711719339347e-26,3.852111295937747e-35,3.8521112966225542e-35,6.0241394650341718e-45,8.2392991177739499e-46,4.1972196471337628e-27,2.5281918396561741e-81,2.3657814153151641e-81,2.3657814153161833e-81,1.8958473028488045e-38,2.73433635495297e-19,8.7643334377964474e-35,1.2598027493473115e-38,1.5204139771815155e-34,9.5685052410933645e-35,4.1660085325821791e-51,8.4660194978816755e-41,3.7961675162999976e-65,6.1673895526722855e-52,6.4552247300920072e-50,3.3365253223926734e-58,1.1346600909214183e-68,6.0723665918958825e-79,8.7921951185492081e-80,1.33572651576759e-61,1.5048686591952816e-90,3.2592251461273136e-94,2.8306467110058337e-91,5.319723302246899e-85,6.2286945865748197e-82,4.2309936155210106e-34,1.1879848253703176e-43,5.9930535906125176e-44,2.8927042548998979e-44,7.3867975659572373e-48,6.5323543777512382e-41,9.2234743242297302e-31,5.0301421699300001e-40,3.6639203998427633e-40,5.7298375377565847e-50,4.8019251656812691e-50,4.1402695252407646e-51,6.2747152391809766e-54,5.7142262307504659e-60,5.9832505755987651e-43,2.8333569425879467e-52,8.303990023560097e-52,4.1934798672000746e-95,3.7932484401191876e-54,4.4017928865085962e-60,2.7087598628375057e-70,2.5952152752499263e-74,3.5644232104107924e-21,8.0293745318217163e-20,1.823689431304414e-30,1.1909416635221997e-44,4.0951483387320316e-32,4.095148338734688e-32,2.6565150881228397e-44,4.6959736188430124e-36
