Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398),S(1815),S(1443),C7H15(32),C7H15(31),S(1930),S(1932),C4H9(23),C3H6(1916),S(1984),S(87),S(2214)
0.0,0.8766279700014238,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.543372715695642e-22,0.8766279700014238,154.0,0.0,0.0,0.0,0.99999999999999922,1.0,19.0,4.1844151345752057e-17,1.2920016348676871e-16,1.2919988480910587e-16,7.7833271210517201e-29,7.7833176132131709e-29,4.0910004891416794e-16,8.112820757490856e-26,9.6141561079606253e-19,1.3093118347479966e-25,4.6153071590341486e-29,1.0468849473187254e-41,4.7393266528347313e-31,1.2415214344340614e-41,3.2698528932978002e-31,7.5007553729277963e-43,7.5007553729308423e-43,2.6794308130211377e-55,3.681011371437292e-56,1.100900736197872e-32,4.0807942345335976e-99,3.8152828387559239e-99,3.8152828387559312e-99,1.0737008549537797e-46,4.0126718050605816e-22,2.4893903489527417e-40,7.3221723939431912e-47,5.4787042571956732e-42,3.3947409961726171e-42,1.9808775862641151e-61,9.2132514044075315e-49,8.2888141517007047e-78,1.627666430214984e-62,8.0532076729674207e-58,3.8342355621617669e-71,5.6365630743481889e-84,7.3146743172545179e-97,2.021556550281702e-97,3.8611682288969454e-72,8.4024420556686506e-111,1.0089665970712712e-114,2.8633711962875692e-111,6.8410960455823536e-103,7.4845104555550016e-100,2.267347091632943e-39,1.3659071087453005e-51,1.3337553057179184e-51,6.1869721701626687e-52,8.8440091051866852e-56,1.4424729139847693e-48,4.9043280603374572e-36,1.0357386595210342e-47,7.643827575552997e-48,2.7305392769504178e-60,2.3024173152002259e-60,1.9818907037294505e-61,3.019983994010504e-64,1.2056333303720791e-72,6.8188973678302247e-51,1.4207599075269161e-61,3.9077792402927215e-62,3.1929454506335351e-115,1.8371879174140138e-64,1.229656533334647e-70,3.307903445101983e-83,1.8169059821942725e-87,5.2815975062565803e-24,1.1730787430232927e-22,4.8758102580011094e-36,7.1540553288096612e-53,2.1262647824662902e-37,2.1262647824662932e-37,2.9563237105063558e-52,4.7160103977184579e-44,1.2621234657046928e-55
7.121443603947798e-22,0.8766279700014238,154.0,0.0,0.0,0.0,0.999999999999998,1.0,19.0,1.1716362376810559e-16,3.6176045776255007e-16,3.6175967746524263e-16,4.7011295810760131e-28,4.701108502597324e-28,1.1454801362600314e-15,4.9001437350270721e-25,2.6919637091509981e-18,7.90824347784739e-25,2.7876455232176556e-28,1.2428482947406805e-40,2.8625532976621592e-30,1.4738880460209565e-40,1.9749911475462715e-30,8.9048967787135589e-42,8.9048967787203748e-42,5.9937795409176191e-54,8.2342751941466599e-55,6.6494404466364831e-32,4.3484029265134428e-97,4.0654799306292259e-97,4.065479930629241e-97,1.2746989060434267e-45,1.1235481054883002e-21,1.5035917708734253e-39,8.6928825655598225e-46,6.5043176911045484e-41,4.0302365087735777e-41,4.4311439253837162e-60,1.093797206729868e-47,3.4204023683884734e-76,3.6410281041985183e-61,9.5609390162168834e-57,1.5822094849931286e-69,4.2430678158172241e-82,9.984503324247754e-95,2.7594171963158431e-95,8.6374263433386017e-71,2.072876847839589e-108,2.4891191524470441e-112,7.063917491416496e-109,9.3380707401979765e-101,1.0216329023393239e-97,1.369477643343177e-38,1.6216049194872e-50,1.5834342974654167e-50,7.3451732819623529e-51,1.0536190439122004e-54,1.7125038328719744e-47,2.962214148429733e-35,1.2296289364965126e-46,9.0747520976515045e-47,6.1081071345131174e-59,5.1504154303570324e-59,4.4334102284423138e-60,6.7555015912880785e-63,4.9748936866249286e-71,8.0953949548619023e-50,3.0735878764051834e-60,8.7415456956264267e-61,6.156125524874217e-113,4.1096631494609268e-63,2.7598480287916383e-69,1.3694488924851045e-81,7.5223874192390453e-86,1.4788473017519155e-23,3.2846204804650475e-22,2.944989395832315e-35,8.4932971545653055e-52,1.2842639286095816e-36,1.284263928609585e-36,3.5097475091129981e-51,5.5988475441152601e-43,2.8233197002384859e-54
1.627758538045211e-21,0.8766279700014238,154.0,0.0,0.0,0.0,0.99999999999999545,1.0,19.0,2.6780256861281193e-16,8.2688104631250357e-16,8.2687926277650065e-16,2.2633915267430001e-27,2.2633657583964605e-27,2.6182403081532002e-15,2.3592082725322317e-24,6.1530599015489599e-18,3.8074788094014055e-24,1.3421313205886752e-27,1.2202071999320401e-39,1.3781961896693113e-29,1.4469741704979086e-39,9.5087322136259924e-30,8.7428804626030325e-41,8.7428804626165011e-41,1.1842698288874017e-52,1.6269540175301973e-53,3.2014193408654126e-31,9.8959476592237542e-95,9.2520811164559786e-95,9.2520811164560464e-95,1.2515074930150961e-44,2.5681099557381333e-21,7.239147136336592e-39,8.5347225907388112e-45,6.385977672768991e-40,3.9569100993028824e-40,8.7551936849969953e-59,1.073896583693418e-46,1.3530771623007214e-74,7.1940612282523409e-60,9.3873485508443267e-56,6.259066280714344e-68,3.3548677128905205e-80,1.5773075642792373e-92,4.3592049353122261e-93,1.7066736574149452e-69,6.5434590250906528e-106,7.8574197492645524e-110,2.229869692307934e-106,1.4751870112296649e-98,1.6139303603331401e-95,6.5934453424217921e-38,1.5921013259063375e-49,1.5546251797478279e-49,7.2115345183318353e-50,1.0421983782783012e-53,1.681346395647341e-46,1.4261785999249942e-34,1.2072569812684522e-45,8.9096454219250182e-46,1.2068590365805446e-57,1.0176352940656021e-57,8.7596715171388606e-59,1.3347379024432215e-61,1.9678558607021928e-69,7.9481067712709516e-49,5.6644732736283262e-59,1.7271820553388934e-59,2.7936035995211763e-110,8.1197738231894786e-62,5.4925847709426382e-68,5.4561686164114213e-80,2.9971670513637578e-84,3.3802224040047199e-23,7.5077039553478711e-22,1.4178856230261902e-34,8.3387706801172981e-51,6.1831779874111074e-36,6.1831779874111421e-36,3.4458909169657515e-50,5.4969817194067438e-42,5.5784039247286939e-53
3.4589868933460736e-21,0.8766279700014238,154.0,0.0,0.0,0.0,0.99999999999999034,1.0,19.0,5.6908045830222163e-16,1.7571222234059733e-15,1.7571184333949549e-15,9.8848254431276697e-27,9.8845756687632185e-27,5.5637606407453073e-15,1.0303282323303585e-23,1.3075252269097252e-17,1.6628260238826606e-23,5.8614400789693342e-27,1.0792085305164042e-38,6.0189448390248086e-29,1.2796582293501893e-38,4.152713174401394e-29,7.7329787591022646e-40,7.732978759126232e-40,2.107344868857676e-51,2.8950777412679937e-52,1.3981439349733632e-30,1.6723714059194518e-92,1.5635608066288266e-92,1.5635608066288501e-92,1.1069444224165145e-43,5.457233657379199e-21,3.1615257448012267e-38,7.5488635928135749e-44,5.6483249212200477e-39,3.499842165158686e-39,1.5579399374437676e-57,9.4984936677971715e-46,4.8290362823738458e-73,1.2801450137455644e-58,8.3036473256494708e-55,2.2338167571840876e-66,2.3979196626533784e-78,2.2562875204397863e-90,6.2357018487799476e-91,3.0371625548173051e-68,1.8726544459488946e-103,2.2486941981650506e-107,6.3816018443410351e-104,2.1102073689270668e-96,2.3086752472286003e-93,2.8795308063254716e-37,1.4081955927329672e-48,1.3750483603292921e-48,6.3785203178104087e-49,9.3559738373152071e-53,1.4871318063257959e-45,6.2284966364101392e-34,1.0678051278543475e-44,7.8804804769990424e-45,2.1475411633867749e-56,1.810827622840602e-56,1.5587367434646722e-57,2.3749683326642607e-60,7.0219737273686697e-68,7.030010429027715e-48,8.8766429263572499e-58,3.073427946876819e-58,9.4492620404066996e-108,1.4447888536426722e-60,9.9153012263678099e-67,1.9750310196139685e-78,1.0849341391849324e-82,7.1829726085114861e-23,1.5953870905110773e-21,6.1922790276559073e-34,7.3755486973471854e-50,2.7003562737312948e-35,2.7003562737313248e-35,3.0478514925826717e-49,4.8620180792666491e-41,9.9264716135182775e-52
7.121443603947798e-21,0.8766279700014238,154.0,0.0,0.0,0.0,0.99999999999998013,1.0,19.0,1.1716362376810291e-15,3.6176045775671634e-15,3.6175967746156157e-15,4.1267200390344068e-26,4.1265010740604364e-26,1.1454801261152598e-14,4.3014175307828268e-23,2.6919636935203303e-17,6.9419712916082205e-23,2.4470358440162763e-26,9.0705414840239005e-38,2.5127909822652024e-28,1.0753371829246044e-37,1.7336760039483601e-28,6.5000345937823274e-39,6.500034593822753e-39,3.5543450821413476e-50,4.8829717468707881e-51,5.836975703339702e-30,2.4487201234703218e-90,2.2893974376215831e-90,2.289397437621652e-90,9.3045357177014266e-43,1.1235481065226918e-20,1.3198747644813596e-37,6.3452715300835116e-43,4.7477574141339772e-38,2.9418282091923868e-38,2.627693417851082e-56,7.9840562548723123e-45,1.6316222181752089e-71,2.1591518514874058e-57,6.9807990262593335e-54,7.5475625947999709e-65,1.6217143692329509e-76,3.0530851450867179e-88,8.4378114542434205e-89,5.1233879105788182e-67,5.0689656489451871e-101,6.0868443242868733e-105,1.7273936895074531e-101,2.8554174582753283e-94,3.123973358201058e-91,1.2021474279402561e-36,1.1836732457451635e-47,1.1558109903357712e-47,5.3615301644791386e-48,8.0961565449676502e-52,1.2500238223690892e-44,2.6002747373943307e-33,8.9755454949647302e-44,6.6240186752012901e-44,3.6221420295957245e-55,3.0542254252518121e-55,2.6290373467157731e-56,4.0053045537906332e-59,2.3717800034101899e-66,5.909147354486484e-47,1.2074666518469628e-56,5.1837846523425195e-57,2.7684285766891467e-105,2.436572530234277e-59,1.7201269402237142e-65,6.8608422237713771e-77,3.7688606146421742e-81,1.4788473017529655e-22,3.2846204804625573e-21,2.5851545987872344e-33,6.1995932744047944e-49,1.1273455876628217e-34,1.1273455876628473e-34,2.5619028263436941e-48,4.0868191538339216e-40,1.6742444863059281e-50
1.4446357025151247e-20,0.8766279700014238,154.0,0.0,0.0,0.0,0.9999999999999597,1.0,19.0,2.3767477964385965e-15,7.3385692857865556e-15,7.3385534569919474e-15,1.6858997872649787e-25,1.6857166149768294e-25,2.3236882322859482e-14,1.7572693978586764e-22,5.4608405991453265e-17,2.8360217589331573e-22,9.9969398196636501e-26,7.4351737489488503e-37,1.0265571026332329e-27,8.8114682720403356e-37,7.0826321603372337e-28,5.3291210752579745e-38,5.3291210753243739e-38,5.8380222891405586e-49,8.0202957002566782e-50,2.3845950306497681e-29,3.3484176407846261e-88,3.1305573443990018e-88,3.130557344399191e-88,7.628420881306783e-42,2.2791975899184718e-20,5.3921190838567302e-37,5.2022317623659794e-42,3.8924983439452718e-37,2.4118884841001765e-37,4.3159943294991395e-55,6.5458116939603922e-44,5.3644168757609983e-70,3.5464134461872565e-56,5.7250570206913117e-53,2.4814734880979469e-63,1.066817896456233e-74,4.017688459879468e-86,1.1103685647973418e-86,8.4177074867176121e-66,1.334235130763887e-98,1.6021577111726596e-102,4.5467826714695326e-99,3.7575689000219434e-92,4.110973364420033e-89,4.9111644939920653e-36,9.7044684122896166e-47,9.4760366562080597e-47,4.3957055432858633e-47,7.0180087053320048e-51,1.0248449425343298e-43,1.0622970750148892e-32,7.3586944673605731e-43,5.430770715813596e-43,5.9493790496045014e-54,5.0165743113496947e-54,4.3182017335787185e-55,6.5773234836083806e-58,7.7927303279263944e-65,4.8446760155070801e-46,1.4273264226737687e-55,8.5143792240556199e-56,7.5730259678396934e-103,4.0011744094196824e-58,2.9822372924001705e-64,2.3790954253081143e-75,1.3069118382095695e-79,2.9999473835584527e-22,6.6630872603611219e-21,1.056120005119878e-32,5.0828012033253017e-48,4.6055745694064621e-34,4.6055745694066725e-34,2.1004027206842685e-47,3.3506212569430828e-39,2.7499514658635394e-49
2.909618386755814e-20,0.8766279700014239,154.0,0.0,0.0,0.0,0.99999999999991873,1.0,19.0,4.7869709139535393e-15,1.4780498701813436e-14,1.4780466821484645e-14,6.8146764903715263e-25,6.8131785211269549e-25,4.6801043729842505e-14,7.1031637459440322e-22,1.0998594300010467e-16,1.1463653191314861e-21,4.0409228709680494e-25,6.0189233828323552e-36,4.1495079090834955e-27,7.1280002516613829e-36,2.8629131604769352e-27,4.3156604130948958e-37,4.3156604132025339e-37,9.4636851203359792e-48,1.3001244764535264e-48,9.638914377895087e-29,4.4286028728119246e-86,4.1404617751594468e-86,4.1404617751599469e-86,6.1776931469782876e-41,4.5904965640149756e-20,2.1795807514515061e-36,4.2128937306528795e-41,3.1522460276074154e-36,1.953209795159069e-36,6.9964127976184759e-54,5.3009680211629273e-43,1.739935755163211e-68,5.7488887555747049e-55,4.6391765295830819e-52,8.0485994198774081e-62,6.9218782039813348e-73,5.2141844514250655e-84,1.4410441636126306e-84,1.3653660928301414e-64,3.4633448197014111e-96,4.1588058800179825e-100,1.1802316201900841e-96,4.876599467025416e-90,5.335250259667509e-87,1.9851712110818816e-35,7.858930123043909e-46,7.673939917360099e-46,3.5597549943565998e-46,6.2993181056910585e-50,8.299458267084575e-43,4.2939746232032079e-32,5.9592615520816752e-42,4.3979789271470003e-42,9.6441994569182969e-53,8.1320827456154695e-53,6.9999910846902719e-54,1.0657584550202645e-56,2.5242112221630685e-63,3.9233442422698494e-45,1.4790394836112548e-54,1.3802167095380385e-54,2.0034603634478226e-100,6.483149514056164e-57,5.3431016815926005e-63,8.5170377006799938e-74,4.6786897664338873e-78,6.0421475471768445e-22,1.342002082014066e-20,4.2690059197378505e-32,4.1161842242915517e-47,1.8616468777531842e-33,1.8616468777533542e-33,1.7009605798256053e-46,2.7134199636504855e-38,4.4577894070539624e-48
5.839583755237194e-20,0.8766279700014238,154.0,0.0,0.0,0.0,0.99999999999983691,1.0,19.0,9.607417148982662e-15,2.9664357532219987e-14,2.9664293549430198e-14,2.7401514431835799e-24,2.738940079272162e-24,9.3929363678085742e-14,2.8561508021532829e-21,2.2074101260201357e-16,4.6094843690851588e-21,1.6248372804531081e-24,4.8408980012439114e-35,1.6684988542132725e-26,5.7247898357893881e-35,1.151164790055683e-26,3.4736189537157066e-36,3.4736189538890548e-36,1.5240971243807852e-46,2.093810329592217e-47,3.875765077918906e-28,5.7617337502100129e-84,5.3868542826347341e-84,5.3868542826360317e-84,4.9723449467418544e-40,9.2130945414277609e-20,8.7639983818790219e-36,3.3908898215707674e-40,2.5372017598778786e-35,1.5721131175305078e-35,1.1267507125361795e-52,4.2666802368487387e-42,5.6054348052933072e-67,9.2584069251579462e-54,3.7386440898780211e-51,2.5929631891500979e-60,4.4604308444478702e-71,6.7203617284112828e-82,1.8573063798698337e-82,2.2015193576134996e-63,8.9277843408208923e-94,1.0720538945650145e-97,3.042387861825556e-94,6.2852614742251191e-88,6.8763987919467436e-85,7.9822861275186178e-35,6.3255506703691433e-45,6.1766540612478291e-45,2.8651983846894358e-45,6.0617886581201409e-49,6.6801231739400593e-42,1.726588309843552e-31,4.796532117610587e-41,3.539876054867087e-41,1.5531684756108984e-51,1.309646730123723e-51,1.1273269814039584e-52,1.7149105815635598e-55,8.1106351822719937e-62,3.157848766853107e-44,1.380718075549461e-53,2.2227937117314999e-53,5.2134428924222608e-98,1.0431498465210755e-55,1.0243609949366604e-61,3.2596597024867897e-72,1.7906435897560467e-76,1.2126547874443289e-21,2.6933887939629385e-20,1.7165485045423352e-31,3.3130631754680457e-46,7.4856002172183575e-33,7.4856002172197259e-33,1.3690810548656525e-45,2.1839964474272541e-37,7.1791310530132983e-47
1.1699514492199952e-19,0.8766279700014238,154.0,0.0,0.0,0.0,0.99999999999967326,1.0,19.0,1.9248309619037859e-14,5.9432075186447468e-14,5.9431947001161912e-14,1.0989232837351101e-23,1.0979492733136964e-23,1.8818599211168233e-13,1.145444136529418e-20,4.4225113414425728e-16,1.8486092677642078e-20,6.5163239534477277e-24,3.878662510423178e-34,6.6914264525637898e-26,4.5739360743011966e-34,4.6166856773744256e-26,2.7873604483311968e-35,2.7873604486094583e-35,2.4465128133836148e-45,3.3610290981963077e-46,1.5543551441177199e-27,7.4352121768044536e-82,6.9514500831991459e-82,6.9514500832024992e-82,3.9899936945510699e-39,1.8458290613132451e-19,3.514755364017995e-35,2.7209537590022643e-39,2.0359444927596945e-34,1.2615216867031399e-34,1.8086844319639112e-51,3.4237421833283638e-41,1.799787559952983e-65,1.486178946776161e-52,3.0074589643768916e-50,8.3254587624266993e-59,2.8644557506024063e-69,8.6317667515746151e-80,2.3855613893466725e-80,3.5423996429262753e-62,2.293435890064856e-91,2.7539721158507971e-95,7.8154906084963462e-92,8.0729154127504496e-86,8.8321838737475353e-83,3.2012537526135992e-34,5.0758560370854319e-44,4.9563752470217784e-44,2.2991378471340164e-44,6.4555156099485803e-48,5.3603735320699712e-41,6.9243913534774085e-31,3.8489149115581569e-40,2.8405275984657625e-40,2.4931790074303854e-50,2.1022726395507161e-50,1.8096094607572633e-51,2.7481340090136869e-54,2.5904903872983955e-60,2.5339747571321003e-43,1.202615783408809e-52,3.5680673558349168e-52,1.3455770980055294e-95,1.6714722567131638e-54,2.170424273685607e-60,1.3778212725604553e-70,7.5688737005356056e-75,2.429534852909483e-21,5.3961622178325393e-20,6.8841272481847766e-31,2.6585245537894263e-45,3.0020604887387937e-32,3.0020604887398923e-32,1.098601324810096e-44,1.7525196033284954e-36,1.1524090908186226e-45
