Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398),S(1815),S(1443),C7H15(32),C7H15(31),S(1930),S(1932),C4H9(23),C3H6(1916),S(1984),S(87),S(2214),S(2218),S(2260)
0.0,0.49115403209533476,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8960904329504707e-19,0.49115403209533476,154.0,0.0,0.0,0.0,0.99999999999999922,1.0,19.0,1.0581298609615461e-16,3.1328752295524281e-16,3.1328751055078255e-16,1.8595931654186898e-25,1.8590173790115489e-25,2.3399432439578954e-18,2.4408087157786968e-25,6.2948524090120435e-23,1.661848545328292e-25,1.5562651617583209e-25,1.6758475581167235e-36,3.1000158311819157e-29,2.8038910142144019e-36,7.7744008276444159e-31,8.1182121088644495e-41,8.1182121133395849e-41,4.0327446374260792e-50,4.4239120474662669e-51,1.9994261721490535e-30,6.3606592476163576e-92,6.2540616269775006e-92,6.254061626977506e-92,1.7299164665586348e-41,1.7782795181414928e-23,7.8390855356058055e-40,2.1745748771470679e-42,1.7584515701918149e-41,2.5826925870370887e-41,8.296322409445568e-58,4.231305074271869e-46,8.7785864775079433e-74,3.9391053897274861e-58,5.2725679258925495e-58,4.5646592817035578e-65,1.4037201878979471e-75,2.1064993877040424e-85,3.5121131815484948e-88,1.897044398659512e-69,1.9423826184358294e-98,1.9596169585488582e-101,7.5688798703575787e-100,6.3447543773622582e-93,2.4801401471606446e-88,4.9904502131458067e-41,2.9622014271234361e-50,6.6981156304983779e-53,3.1814747373742193e-52,2.2556113893257237e-57,1.0144826751590997e-49,1.5116865524923078e-37,4.2091847655649564e-47,1.5307391406408726e-47,7.6039917064728824e-57,4.5430342316405215e-57,4.3826120860099155e-58,6.1774332813844517e-61,1.2001515453399201e-67,2.0919526366855146e-49,3.4964123205277928e-59,2.1161315458753492e-58,1.323521871945329e-107,2.6694276731557077e-61,3.1214355855801011e-69,5.6269121363065883e-80,4.7444071900869059e-84,1.0793604679552826e-25,5.1148267566849271e-24,2.8287672050838525e-34,4.2952783281277169e-49,2.5995306247194462e-38,2.5995306247230434e-38,3.5973694034132614e-50,2.293827143969036e-39,4.317024740185628e-49,2.7236195726214653e-55,1.6619989091462476e-65
5.309053212261319e-19,0.49115403209533476,154.0,0.0,0.0,0.0,0.99999999999999789,1.0,19.0,2.962763610692216e-16,8.7720506316845589e-16,8.7720502893967235e-16,1.1231942711100959e-24,1.1225108411630663e-24,6.5518397175287082e-18,1.4742482079352953e-24,1.7625584666973558e-22,1.0037563468092137e-24,9.3998412240512954e-25,1.9892792929883435e-35,1.8724095600614295e-28,3.3271546933180847e-35,4.6957380967255958e-30,9.6379414049846559e-40,9.6379414149953506e-40,9.0210851917221493e-49,9.896113778848864e-50,1.2076534067421281e-29,6.7777760070740732e-90,6.6641879704495864e-90,6.6641879704495977e-90,2.0537568301421263e-40,4.9791839464243063e-23,4.7348086953271876e-39,2.5816157883223568e-41,2.0876333716251784e-40,3.0661721509669761e-40,1.855854136704383e-56,5.0234053786213925e-45,3.6225082880521502e-72,8.8116203343594264e-57,1.0394709768678055e-56,1.8836192545756539e-63,1.0566854213455293e-73,2.8753610152070597e-83,4.7940167378944423e-86,6.9216436382108264e-68,4.7918402447546877e-96,4.8343572150306951e-99,1.8672134193157658e-97,8.6605577305076086e-91,3.3853787631060368e-86,3.014231924121975e-40,3.5167255288260349e-49,7.9520022621063575e-52,3.7770282552302103e-51,4.9204208802145075e-56,1.2043936590043096e-48,9.1305867640798693e-37,4.9971441312355169e-46,1.8172935040852211e-46,1.7009823083014343e-55,1.0162585006304393e-55,9.8037278753743328e-57,1.3815779593521934e-59,4.9522847206279762e-66,2.4835661643615512e-48,6.5115344762322103e-58,4.7336677764429696e-57,2.5518026832830476e-105,5.9704293517150628e-60,1.2568598029025055e-67,4.1345180670914222e-78,3.4860858792762825e-82,3.0222093102964454e-25,1.4321514917800657e-23,1.7085753917790394e-33,5.0993544317179466e-48,1.5701164972445454e-37,1.5701164972488164e-37,4.2707969555179971e-49,2.7232315830799691e-38,9.6569916296214912e-48,1.1239069675754554e-53,1.2511087962525607e-63
1.2134978770883015e-18,0.49115403209533476,154.0,0.0,0.0,0.0,0.99999999999999523,1.0,19.0,6.772031110153103e-16,2.0050401391726694e-15,2.0050400633073774e-15,5.4076969129957029e-24,5.4009906929093041e-24,1.4975627202460288e-17,7.0978678995602227e-24,4.0287040869858964e-22,4.8326529512794575e-24,4.5256185609448516e-24,1.9524787063890531e-34,9.0148460074998555e-28,3.2631838982163327e-34,2.2607957559215509e-29,9.4625880010488347e-39,9.4625880208282697e-39,1.7824130092000156e-47,1.9553050962903412e-48,5.8143312900767076e-29,1.5424632328587447e-87,1.5166132534552729e-87,1.5166132534552785e-87,2.0163906339758123e-39,1.138099798550242e-22,2.279607621378612e-38,2.5345620126716427e-40,2.0496501194456369e-39,3.0103849655242254e-39,3.6668550313414926e-55,4.932009177357757e-44,1.4330282524396329e-70,1.7410273162502047e-55,1.8964574691472462e-55,7.4514088771783683e-62,8.3548921336903396e-72,4.5423647364869424e-81,7.5733699038829327e-84,2.5256267948543209e-66,1.5126411803362182e-93,1.5260625234126168e-96,5.8940782478089776e-95,1.3681556005246442e-88,5.3480676106344484e-84,1.4512229150572003e-39,3.4527419665482728e-48,7.8073216742105652e-51,3.7082694402410324e-50,9.5810144994942439e-55,1.1824804700385554e-47,4.3959844751917908e-36,4.9062256931732716e-45,1.7842295309134715e-45,3.3608534478246128e-54,2.007955176135187e-54,1.9370513967872194e-55,2.7285156975864461e-58,1.9589222530118823e-64,2.4383799751961137e-47,9.4065694214869034e-57,9.3527834814224935e-56,1.157988917765797e-102,1.1792354552799586e-58,4.8988251425198736e-66,3.2204570653484758e-76,2.7153993262491493e-80,6.9079069950653899e-25,3.2734891236363566e-23,8.2260550310097302e-33,5.0065764198494338e-47,7.5594350553941522e-37,7.5594350554360829e-37,4.1930937759543956e-48,2.6736849120661129e-37,1.9080501491564451e-46,4.4460443016796361e-52,9.8920970891798381e-62
2.5786829888126402e-18,0.49115403209533476,154.0,0.0,0.0,0.0,0.9999999999999899,1.0,19.0,1.4390566109073074e-15,4.2607102735136572e-15,4.260710122402489e-15,2.361683307638588e-23,2.3557586689572131e-23,3.1823180323511591e-17,3.0998230949199932e-23,8.560992002350371e-22,2.1105449467490795e-23,1.9764562083469575e-23,1.7258655938499117e-33,3.9370200750576894e-27,2.8801550047101266e-33,9.8734890019481446e-29,8.3695518863634486e-38,8.3695519215598457e-38,3.1717036878613541e-46,3.4793601513649854e-47,2.5392712194908404e-28,2.606694653437517e-85,2.5630093313722881e-85,2.5630093313723061e-85,1.7834746790635496e-38,2.4184646793708488e-22,9.955654621837065e-38,2.2416425571798041e-39,1.8128910661895226e-38,2.6626495702888557e-38,6.5249725923567034e-54,4.3623062432415452e-43,5.1143760310501851e-69,3.0980637501523692e-54,3.2355482749009073e-54,2.6593537709720437e-60,5.9717250274459151e-70,6.4977019274603725e-79,1.0833454174683321e-81,8.6343317695959697e-65,4.3289832378778783e-91,4.3673933939875854e-94,1.6867182983946577e-92,1.9571012299853616e-86,7.6502331368874101e-82,6.3378716991623816e-39,3.0539111478171911e-47,6.9054852905845338e-50,3.2798524191020056e-49,1.6924131784055086e-53,1.0458899329209482e-46,1.9198419015704766e-35,4.3395009798310274e-44,1.5781308004654289e-44,5.9804557323817825e-53,3.5730476395729736e-53,3.4468793769734936e-54,4.8507866950392882e-57,6.990163640211992e-63,2.1567194526621288e-46,1.0838697126717622e-55,1.6642255280470416e-54,3.9168551475953096e-100,2.0968837491007677e-57,1.7352655491803137e-64,2.2843880101026383e-74,1.9261587389556623e-78,1.4679302364949754e-24,6.9561643858815213e-23,3.5925343490365768e-32,4.4282601453161399e-46,3.3014038920607011e-36,3.3014038920977883e-36,3.7087439587483242e-47,2.3648440177636104e-36,3.3952423240402505e-45,1.5867473834040448e-50,7.070394379692226e-60
5.3090532122613186e-18,0.4911540320953347,154.0,0.0,0.0,0.0,0.99999999999997935,1.0,19.0,2.9627636106905789e-15,8.7720504716964203e-15,8.772050202031519e-15,9.8595628510632671e-23,9.8098802189321088e-23,6.5518199170593475e-17,1.2941132044037567e-22,1.7625554532248414e-21,8.8110966350036293e-23,8.2513129640561619e-23,1.4488809475997651e-32,1.643628366239007e-26,2.4107543322246698e-32,4.121987274572835e-28,7.0351125962524474e-37,7.0351126556161461e-37,5.3495248871285221e-45,5.8684467631615932e-46,1.0600957392704698e-27,3.8167751088481953e-83,3.7528101754585875e-83,3.7528101754586394e-83,1.4991179268007061e-37,4.9792027330319015e-22,4.1562975432191758e-37,1.8839852968559458e-38,1.523842068277508e-37,2.2381143047976922e-37,1.100531993098364e-52,3.6667812110006514e-42,1.7280320614231093e-67,5.2253328258828416e-53,5.3409456761941363e-53,8.9853477115079709e-59,4.0386771178372288e-68,8.7923274985415936e-77,1.4659225383157251e-79,2.8535141077567787e-63,1.1717830281583017e-88,1.182180016733592e-91,4.5651726515883379e-90,2.6482403213056284e-84,1.035186839137117e-79,2.6459366386873239e-38,2.5669962971850794e-46,5.8044725788153216e-49,2.7567959904832445e-48,2.843996394777926e-52,8.7913241195591764e-46,8.0149619206338837e-35,3.6476119059299042e-43,1.3265140039910449e-43,1.0086901212364575e-51,6.0264626650876191e-52,5.8136655810927241e-53,8.1665460263441561e-56,2.3610813975276189e-61,1.8128526159751311e-45,1.0694191523530726e-54,2.8067830479529853e-53,1.1475534816091509e-97,3.5316402540454955e-56,5.8408974026056344e-63,1.5389698214400575e-72,1.2976701793486836e-76,3.0222093106104393e-24,1.4321514904502188e-22,1.499812370857536e-31,3.7222194740565352e-45,1.378271136026556e-35,1.3782711360577303e-35,3.1174227645572554e-46,1.9877938752724486e-35,5.7264679260258104e-44,5.3611644870390537e-49,4.7816259282929049e-58
1.0769793659158674e-17,0.49115403209533487,154.0,0.0,0.0,0.0,0.99999999999995814,1.0,19.0,6.0101776102542315e-15,1.779473058741734e-14,1.7794730207044792e-14,4.0279530852110242e-22,3.9874121643899929e-22,1.3290788728648763e-16,5.2868590280645518e-22,3.5754626388877001e-21,3.5996098048764297e-22,3.3709284226554469e-22,1.1849176177061026e-31,6.7147580591271527e-26,1.9599747748108148e-31,1.6839662794109727e-27,5.7678102392026155e-36,5.7678103367071001e-36,8.7865549461880887e-44,9.6389326059454637e-45,4.3308369206343917e-27,5.2191169531103912e-81,5.131650319967999e-81,5.1316503199681432e-81,1.2290674436330512e-36,1.0100712008432585e-21,1.6979894686962256e-36,1.5441945917666619e-37,1.2493343377449765e-36,1.8349362515834475e-36,1.8076270849326456e-51,3.0062487169628347e-41,5.6813912890679899e-66,8.582610035717384e-52,8.6776942756527299e-52,2.9541807177345685e-57,2.6567722175560396e-66,1.1570189173541896e-74,1.9290683927340203e-77,9.2772654201985411e-62,3.0843204257343395e-86,3.111686987117937e-89,1.2013684163810789e-87,3.4849300201754293e-82,1.3622453858533773e-77,1.0809514236041906e-37,2.1045785993650245e-45,4.758850925040697e-48,2.2599950922115563e-47,4.6624485757373491e-51,7.2076406854496098e-45,3.2743733874744445e-34,2.9905323869543399e-42,1.0875562869066035e-42,1.6567727744530905e-50,9.8984684817286997e-51,9.5489622069412897e-52,1.3364515874929875e-54,7.7578777939744863e-60,1.4862860436198948e-44,9.5837097670664366e-54,4.6095696750501133e-52,3.1391281390225339e-95,5.7841743004305089e-55,1.9166268802382132e-61,1.0103346434945069e-70,8.5196842129691764e-75,6.1307674593957351e-24,2.9052215918264852e-22,6.1272229060800867e-31,3.0517004105357038e-44,5.6306873042099001e-35,5.6306873044654848e-35,2.5558515269073167e-45,1.6297134931113709e-34,9.4053974352035755e-43,1.7625702673592009e-47,3.1454011372680149e-56
2.1691274552953387e-17,0.4911540320953347,154.0,0.0,0.0,0.0,0.99999999999991585,1.0,19.0,1.2105005609369978e-14,3.5840089706909205e-14,3.5840089600092289e-14,1.6281629988097896e-21,1.5956387093454249e-21,2.6768586521970479e-16,2.1370202796898318e-21,7.2012557290713262e-21,1.4550112100884605e-21,1.3625814215823924e-21,9.548132226674963e-31,2.7142124712126883e-25,1.5611400371220543e-30,6.8068607877027415e-27,4.6709220928162663e-35,4.6709222508733998e-35,1.4243203478512074e-42,1.5625096514309173e-43,1.7505934672536098e-26,6.9027813674646108e-79,6.7870983791618418e-79,6.7870983791622229e-79,9.9533067238051342e-36,2.0343863231542151e-21,6.8635958964315622e-36,1.2498646389711621e-36,1.01173773948776e-35,1.4859707279130442e-35,2.9302413408875341e-50,2.4345380608440804e-40,1.8427456086561814e-64,1.3912732663984153e-50,1.3991592745807048e-50,9.5817817672803844e-56,1.7237986400675858e-64,1.5015823315031665e-72,2.5035502611674809e-75,2.9924184547736093e-60,8.00610738771344e-84,8.0771441082198686e-87,3.117106387294687e-85,4.5227531039184911e-80,1.7679258085472585e-75,4.3693782575850369e-37,1.7043422236492067e-44,3.8538305174098383e-47,1.829890389992531e-46,7.5501253599717912e-50,5.8369051819156004e-44,1.3235540125356491e-33,2.4218102850183271e-41,8.8073121633636314e-42,2.6856878126206681e-49,1.6045796819696696e-49,1.5479276097805523e-50,2.1507101248879371e-53,2.5131143633551077e-58,1.2036328776971976e-43,8.1336885200484433e-53,7.4704316420174449e-51,8.3046307230151745e-93,9.3231707788409387e-54,6.2098644558833332e-60,6.5475507668153773e-69,5.5218573853376551e-73,1.2347883759183914e-23,5.8513617851875607e-22,2.4767214599766521e-30,2.4713461109601078e-43,2.2760138310565773e-34,2.2760138312635575e-34,2.0697948278082697e-44,1.3197842021869609e-33,1.5245441552166226e-41,5.7164436961225186e-46,2.0406981109559937e-54
4.353423634054281e-17,0.49115403209533487,154.0,0.0,0.0,0.0,0.99999999999983125,1.0,19.0,2.4294661607555236e-14,7.1930803580191056e-14,7.1930805918271179e-14,6.5467714901033033e-21,6.2897955517179576e-21,5.3723622800790841e-16,8.5927626723864736e-21,1.4452756785869459e-20,5.8504667142263512e-21,5.4788659536525667e-21,7.6095760546757112e-30,1.0913728210489801e-24,1.2164745208530813e-29,2.7370086590400302e-26,3.759564172435137e-34,3.7595644269753659e-34,2.2937658016184309e-41,2.5163644091468966e-42,7.0390588608696303e-26,8.9807066909108006e-77,8.8301999702933844e-77,8.8301999702943785e-77,8.0112870212068074e-35,4.083069636694555e-21,2.7598627198395985e-35,1.0049322602142263e-35,8.1432553987360894e-35,1.1960252820425505e-34,4.7190631528175599e-49,1.9595278843877801e-39,5.9366502004643405e-63,2.2405872272395026e-49,2.2481083914692945e-49,3.0868776400432666e-54,1.1108016369913359e-62,1.9353189080454062e-70,3.2267082857159239e-73,9.6172918702133655e-59,2.063794754306166e-81,2.0821064893247482e-84,8.028306512816804e-83,5.8291674166677494e-78,2.2785965055292546e-73,1.7569076003331737e-36,1.3718027508705397e-43,3.1018814287985473e-46,1.472352610458341e-45,1.2150407252309934e-48,4.6980022245805967e-43,5.3219519680327827e-33,1.949283005515065e-40,7.0888900629804441e-41,4.3251779750488991e-48,2.5841109292747358e-48,2.4928886890965271e-49,3.4140409802011026e-52,8.0762096333224453e-57,9.687883017510063e-43,6.7060290938181167e-52,1.2024850780850389e-49,2.1610466286838382e-90,1.4846086073176511e-52,1.9991155506727575e-58,4.2151502966319061e-67,3.5556211149765537e-71,2.4782116367631274e-23,1.1743642134343948e-21,9.9587880239962295e-30,1.9891543488542959e-42,9.1517514777792266e-34,9.1517514794451792e-34,1.6659509396940605e-43,1.0622770838556132e-32,2.45487294980891e-40,1.8413639032921241e-44,1.3148304914416743e-52
8.722015991572166e-17,0.49115403209533476,154.0,0.0,0.0,0.0,0.99999999999966194,1.0,19.0,4.867397360374081e-14,1.4411221447698417e-13,1.4411222868296634e-13,2.6255479233431915e-20,2.4266593562268756e-20,1.0763145821997918e-15,3.4460004358411801e-20,2.8955418413183006e-20,2.346243183450946e-20,2.1972590643118825e-20,5.9882926892941321e-29,4.3768925477815784e-24,9.1746090545800173e-29,1.097662786888649e-25,3.0168130156610097e-33,3.0168134242354668e-33,3.6818152404771271e-40,4.0392925834319652e-41,2.8229770607218327e-25,1.1589123362163942e-74,1.1394902460509978e-74,1.1394902460512544e-74,6.4285530635118837e-34,8.1806485394110144e-21,1.1068612719274792e-34,8.0468684485867304e-35,6.5343049854180334e-34,9.5971372383682724e-34,7.5751408575363483e-48,1.5723974898635793e-38,1.9061337212822689e-61,3.5965890255999345e-48,3.6100850344295776e-48,9.9111819330509724e-53,7.1333916184126665e-61,2.4857294365663364e-68,4.1443938323150281e-71,3.0888180306600778e-57,5.3015601958891428e-79,5.3486004526353468e-82,2.0588113228018281e-80,7.4870090920203302e-76,2.9266362307903304e-71,7.045983858892064e-36,1.100785085587457e-42,2.4890377893775044e-45,1.1806648010560856e-44,1.9489055658468702e-47,3.7697757182878892e-42,2.1343403731638098e-32,1.5641758856330496e-39,5.6883862724145642e-40,6.9427419007406559e-47,4.1480216093438492e-47,4.0016352208315243e-48,5.3275715002800543e-51,2.5802744812690246e-55,7.7739135913017107e-42,5.4470664967879727e-51,1.9283157233579921e-48,5.5776080973650703e-88,2.3307559890489126e-51,6.413798782038629e-57,2.7036598252378096e-65,2.2816372476131497e-69,4.9650581620015724e-23,2.3528202682394156e-21,3.9939193861051277e-29,1.5961710867714998e-41,3.6702616372677383e-33,3.6702616386045592e-33,1.3368207018604673e-42,8.5241036254422142e-32,3.9394645869511363e-39,5.9105350307419902e-43,8.4413402031325108e-51
