Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398),S(1815),S(1443),C7H15(32),C7H15(31),S(1930),S(1932),C4H9(23),C3H6(1916),S(1984),S(87),S(2214),S(2218),S(2260),S(2221)
0.0,0.5037456798625757,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.179253352912784e-21,0.5037456798625757,154.0,0.0,0.0,0.0,0.99999999999999911,1.0,19.0,7.685304213082387e-17,3.1682646533205577e-16,3.1682634772814738e-16,5.9486983152774234e-27,5.9485282921053923e-27,5.7755222329752647e-17,2.0124592068794165e-25,1.9973211995023413e-20,2.2411795623884055e-25,4.0864228261261282e-27,5.8541781022237705e-39,3.9415251104353381e-30,8.0422015285246881e-39,9.8639150412950303e-31,1.3932308433478758e-41,1.3932308433680754e-41,1.7969869371946689e-52,2.2298435444705978e-53,2.8329727557795982e-31,4.9893272529455597e-95,4.7651620467319736e-95,4.7651620467319836e-95,7.7699912300783568e-44,1.7268809533035287e-22,1.033153973766923e-39,2.7058638149477332e-44,1.7224146733065425e-41,1.5466361221257001e-41,2.7684071477280967e-59,4.3544514910427858e-47,2.1276051115917887e-75,6.7222217644714991e-60,1.2173501366631055e-57,1.0426960464496378e-67,1.8027801023926331e-79,7.8116332461797615e-91,1.78641244382764e-92,1.5575554325935681e-70,2.6312523638475074e-104,1.0202879816635755e-107,2.5934887346271291e-105,1.5937675526941459e-97,8.4830674612029008e-94,9.2601824833218772e-40,1.7386821624079234e-50,9.6869974341622014e-52,1.1873686366842918e-51,1.5232590374444102e-56,1.2437760042708374e-48,2.3779490245816509e-36,4.9020767119077158e-47,2.6563315336906886e-47,3.4261322532208876e-58,2.4937501015927168e-58,2.2425807806189025e-59,3.2561940600190611e-62,8.4830835978333867e-70,1.0462460752557291e-49,6.6996376958735926e-60,6.5769487234462868e-60,7.3243439907375694e-111,1.7110388277970857e-62,6.702009897042744e-70,1.3191652938584917e-81,1.087430897592774e-85,1.7232705335386484e-24,5.3356830669509857e-23,7.8590634157160804e-35,1.2699164051469544e-50,1.8368367293219073e-37,1.8368367293219881e-37,8.0816838348418746e-51,1.5768733095047067e-41,3.1604379228750825e-52,6.1749793593000283e-60,1.2587144043672931e-71,2.3226168388273562e-53
1.4501909388155796e-20,0.5037456798625757,154.0,0.0,0.0,0.0,0.99999999999999789,1.0,19.0,2.1518851796630564e-16,8.8711410289724144e-16,8.8711377361953339e-16,3.5930137822426784e-26,3.5928106481490023e-26,1.6171462111450887e-16,1.2155253521191363e-24,5.592499327984149e-20,1.353672445842332e-24,2.4681993797744958e-26,6.94979375865768e-38,2.3806811665535934e-29,9.5464853757269933e-38,5.9578046847517585e-30,1.6540436571529754e-40,1.6540436571981615e-40,4.0197878143185962e-51,4.9880707957027977e-52,1.7111155444479381e-30,5.3165153595565821e-93,5.0776499371277356e-93,5.0776499371277535e-93,9.2245340274173922e-43,4.8352666876075368e-22,6.2402500223054568e-39,3.2123990796460366e-43,2.0448506865335488e-40,1.8361663919611278e-40,6.1928160533709776e-58,5.169604809978595e-46,8.7796220661731933e-74,1.503734168497706e-58,1.4522948069363102e-56,4.3027145670516586e-66,1.3570879059749914e-77,1.066284121502216e-88,2.4384442578009766e-90,3.5004410833200297e-69,6.4912764412963118e-102,2.5170417361879219e-105,6.3981115082310717e-103,2.1754849253912687e-95,1.1579345638144538e-91,5.5931502196509469e-39,2.0641634630511878e-49,1.1500403268500153e-50,1.409643797691163e-50,1.9562609741813439e-55,1.4766108293370448e-47,1.4362812107585227e-35,5.819745469586467e-46,3.1535967965546672e-46,7.6641207270521386e-57,5.578419172236124e-57,5.0165635011264892e-58,7.2836009296098176e-61,3.5004030029641109e-68,1.2421033403345375e-48,1.3696699200624275e-58,1.4712367134958833e-58,1.4121625843422137e-108,3.8273425405235609e-61,1.616302536043232e-68,5.8584162899407212e-80,4.829298898319268e-84,4.8251574939108757e-24,1.4939912587437131e-22,4.7468743030850505e-34,1.5076447747064258e-49,1.1094493845087969e-36,1.1094493845088928e-36,9.5945750487113104e-50,1.8720639929199456e-40,7.0697727558091379e-51,2.5481200848586789e-58,9.4752789167056751e-70,5.1956009634532997e-52
3.3147221458641815e-20,0.5037456798625757,154.0,0.0,0.0,0.0,0.99999999999999512,1.0,19.0,4.9185946963726417e-16,2.027689377897562e-15,2.0276886253251877e-15,1.7298814698053462e-25,1.7296813752947573e-25,3.6963341304882723e-16,5.8522312410648768e-24,1.2782855462458131e-19,6.5173500198215096e-24,1.1883317470289546e-25,6.8227419715332194e-37,1.1461955018905737e-28,9.370220645967659e-37,2.8684264937229328e-29,1.6239498707904526e-39,1.6239498708797331e-39,7.9424229626186373e-50,9.8555872460118823e-51,8.2382847731629763e-30,1.2099145044671804e-90,1.1555543230954271e-90,1.1555543230954354e-90,9.0567024016731523e-42,1.1052038229646171e-21,3.0044117868159609e-38,3.1539472941893999e-42,2.0076465009965704e-39,1.8027590260475548e-39,1.2235960943384979e-56,5.0755486573785257e-45,3.4731311794507757e-72,2.9711252969296739e-57,1.4408191657136371e-55,1.702111084422109e-64,1.0730085953236033e-75,1.6844675708717672e-86,3.8521442764387188e-88,6.9865575853317133e-68,2.0491029681441933e-99,7.9455527097817052e-103,2.0196918769866439e-100,3.4367329900740513e-93,1.829252806679731e-89,2.6928610657368104e-38,2.0266079280082378e-48,1.1291163944714138e-49,1.3839961148001717e-49,2.2338390018292761e-54,1.4497451774848902e-46,6.9150757621515475e-35,5.7138606067494906e-45,3.0962200349168285e-45,1.5143010704080899e-55,1.1022016002382072e-55,9.9118841068280603e-57,1.4389547026704107e-59,1.3845801993373558e-66,1.2195044246984696e-47,2.2763500765233044e-57,2.9069140564594676e-57,6.4082879113581005e-106,7.5613932314787518e-60,3.6998570837109482e-67,2.680274514169782e-78,2.2094484618791084e-82,1.1028931414665954e-23,3.4148371628306898e-22,2.2854156412790414e-33,1.4802145881434609e-48,5.3415212088435765e-36,5.3415212088445186e-36,9.420010677851496e-49,1.8380035291741549e-39,1.3968677617130682e-49,1.0080102904608464e-56,7.4918130782729754e-68,1.026563196871347e-50
7.043784559961385e-20,0.5037456798625757,154.0,0.0,0.0,0.0,0.99999999999998956,1.0,19.0,1.0452013729791617e-15,4.3088399273780638e-15,4.3088383284280238e-15,7.5548468575366015e-25,7.5530743661740142e-25,7.8547097437668899e-16,2.5558230557783818e-23,2.7163567241447585e-19,2.8462978917091719e-23,5.1897568774922248e-25,6.0335589279645624e-36,5.005736887938053e-28,8.2832764654791784e-36,1.2527172099492843e-28,1.4363652698046804e-38,1.4363652699635493e-38,1.41331159904012e-48,1.7537490620253135e-49,3.5978753991745513e-29,2.0447020234971226e-88,1.9528357201862376e-88,1.9528357201862657e-88,8.0105507876987893e-41,2.3485581607445925e-21,1.3121055788093466e-37,2.7896214648304281e-41,1.7757405429520885e-38,1.5945198968721748e-38,2.177323873626434e-55,4.4892653079855133e-44,1.2395358482001871e-70,5.286958468752241e-56,1.3009785742621804e-54,6.074713277610372e-63,7.6694164236523794e-74,2.4095758316507191e-84,5.5103665450782738e-86,1.2683451695228941e-66,5.8642696229985802e-97,2.2739152252607916e-100,5.780089162749046e-98,4.9161342957438969e-91,2.6166863817093109e-87,1.1760431749549306e-37,1.7925117611177829e-47,9.9869063191788264e-49,1.224127956627264e-48,2.5329082833295273e-53,1.2822830298673983e-45,3.0199952598424525e-34,5.0538449887431479e-44,2.738571556392409e-44,2.6946177252370249e-54,1.9613087721560807e-54,1.7637668149087969e-55,2.559963667582352e-58,4.9404344705051601e-65,1.0786378525209811e-46,3.0661617772524387e-56,5.1726919384740383e-56,2.1675799565204143e-103,1.3452269388090854e-58,8.3938442217826549e-66,1.2163646978407459e-76,1.0026953182877576e-80,2.3436479256218628e-23,7.2565289709636355e-22,9.9810105378437414e-33,1.3092330435630435e-47,2.332782646213475e-35,2.3327826462143084e-35,8.3318927662841749e-48,1.625693306359457e-38,2.4856508362493735e-48,3.5975151609511157e-55,5.3548317960215722e-66,1.8267143592613237e-49
1.4501909388155793e-19,0.5037456798625757,154.0,0.0,0.0,0.0,0.99999999999997846,1.0,19.0,2.151885179662878e-15,8.8711410242590244e-15,8.8711377333998119e-15,3.1539998441809536e-24,3.1525091035347593e-24,1.6171460068693215e-15,1.0670057482248439e-22,5.5924988839592571e-19,1.1882732667066475e-22,2.1666212818931231e-24,5.0697554608119888e-35,2.0897966114696039e-27,6.9549045671188711e-35,5.2298477522379619e-28,1.2073515563294579e-37,1.2073515565974132e-37,2.3837561438055603e-47,2.9579540245331191e-48,1.5020421545154207e-28,2.9938941618866996e-86,2.8593816578682252e-86,2.8593816578683073e-86,6.7333506408255251e-40,4.8352669537935373e-21,5.4777826579841915e-37,2.3448294524511851e-40,1.4926168364343551e-37,1.3402899728489541e-37,3.672374958025377e-54,3.7734979887006102e-43,4.1881114828123297e-69,8.9172272325415135e-55,1.1382831254215911e-53,2.0525080988591076e-61,5.1868294842253933e-72,3.2605058894012024e-82,7.4563258553667092e-84,2.2240390745445902e-65,1.5873604209830292e-94,6.155111038328073e-98,1.5645689202739609e-95,6.652243427401136e-89,3.540756529383531e-85,4.9097487488150435e-37,1.5067141411444682e-46,8.39459597656914e-48,1.0289517361254624e-47,3.0662614328870241e-52,1.0778358778002345e-44,1.2607885715946525e-33,4.2480612123551645e-43,2.3019344029229365e-43,4.5448662396877114e-53,3.3080336280929295e-53,2.9748505211234222e-54,4.3157990571946688e-57,1.6685627804856235e-63,9.0666010679945626e-46,3.4714915366363545e-55,8.724479719695829e-55,6.3505385551440753e-101,2.2679687832579046e-57,2.0266260684679018e-64,5.8658320278062869e-75,4.8354347448855306e-79,4.825157493949404e-23,1.4939912587065498e-21,4.1668754229085519e-32,1.1004892616442227e-46,9.7389083386366282e-35,9.738908338643633e-35,7.0034579041794781e-47,1.36649317857877e-37,4.1924110450242091e-47,1.2155182196551974e-53,3.6214728276139905e-64,3.0810207633566107e-48
2.941815904454461e-19,0.5037456798625758,154.0,0.0,0.0,0.0,0.99999999999995637,1.0,19.0,4.3652527930299942e-15,1.7995743209704875e-14,1.7995736538407839e-14,1.2885118476987102e-23,1.2872897103716559e-23,3.2804957112023025e-15,4.3590660968456693e-22,1.1344782419654791e-18,4.8544834170823166e-22,8.8513544472453907e-24,4.153519513132962e-34,8.5375010325717384e-27,5.6894829860470597e-34,2.1365634513553594e-27,9.8985975026370417e-37,9.8985975070382115e-37,3.9153251722945044e-46,4.8584480326311091e-47,6.1363323028590822e-28,4.0938970195923222e-84,3.9099625484636706e-84,3.9099625484638947e-84,5.5204076819240456e-39,9.808685009847399e-21,2.237853078062464e-36,1.9224074748776064e-39,1.2237373210771954e-36,1.0988505695524797e-36,6.0318868986574091e-53,3.0937416343350251e-42,1.3769594256439981e-67,1.4646569170156528e-53,1.0065902499649376e-52,6.748196054776713e-60,3.4120689218364633e-70,4.2906414792053384e-80,9.8121034239274936e-82,3.9315437738173726e-64,4.1781927148556037e-92,1.6201260863686103e-95,4.1181741246956697e-93,8.7539765710028407e-87,4.6594354834802202e-83,2.005792563364908e-36,1.2352952830868838e-45,6.8823960746120683e-47,8.4359422418378007e-47,4.0508294339269656e-51,8.8367452641671938e-44,5.1507326947199112e-33,3.4828172099311265e-42,1.8872648980103349e-42,7.4649551072355688e-52,5.4334542244732307e-52,4.8862008817089231e-53,7.0823026712053897e-56,5.4812829421799574e-62,7.4333473201599497e-45,3.4317539554400743e-54,1.4329914193699341e-53,1.7371874332933663e-98,3.7220183608872045e-56,5.33562102500668e-63,3.0832686999142002e-73,2.5416660537710788e-77,9.7881766306725129e-23,3.0306679818613109e-21,1.7023045720096151e-31,9.0224758603649697e-46,3.9786618289872794e-34,3.978661828993021e-34,5.7418579208157532e-46,1.1203336665498456e-36,6.8860398437288064e-46,3.9963531990654182e-52,2.3823229638603828e-62,5.0605858498842833e-47
5.925065835732224e-19,0.5037456798625757,154.0,0.0,0.0,0.0,0.99999999999991207,1.0,19.0,8.7919880197629693e-15,3.6244947547365128e-14,3.6244934128681705e-14,5.2083708945827863e-23,5.1984805612337188e-23,6.607193677259749e-15,1.7620037752006286e-21,2.2849346355312861e-18,1.9622593274595097e-21,3.5778586325121031e-23,3.3588235388355405e-33,3.450994412888414e-26,4.5872643248156422e-33,8.636331068073397e-27,8.0161408843838838e-36,8.0161408915183668e-36,6.3469061199349096e-45,7.8757525400249325e-46,2.4804036262088956e-27,5.4145707038739855e-82,5.1712997583722327e-82,5.1712997583728249e-82,4.4705692761009467e-38,1.9755523001779026e-20,9.0457609671975795e-36,1.5567743105843344e-38,9.9101398088583933e-36,8.8987747498832979e-36,9.7779486029637735e-52,2.5053921830000538e-41,4.4661348946229716e-66,2.3742708888953297e-52,9.3397849555889619e-52,2.1887602259609622e-58,2.2138657419582226e-68,5.5684225587960408e-78,1.2734211966255351e-79,7.2763064292214656e-63,1.0845551829452001e-89,4.2054454472142531e-93,1.0689615040427128e-90,1.1360968483423671e-84,6.0470458302143114e-81,8.1077342261614456e-36,1.0003741447531333e-44,5.5735413425567316e-46,6.8316030254078226e-46,5.7698001298529519e-50,7.1562181942736456e-43,2.0820085039519614e-32,2.8204756277581368e-41,1.5283560409676555e-41,1.2101009574931848e-50,8.807860383753392e-51,7.9207420857670193e-52,1.1459990391399839e-54,1.7748732224355082e-60,6.019717356574589e-44,3.0917538431101525e-53,2.3229181664580659e-52,4.5957668354202239e-96,6.0234385352481154e-55,1.5155823853561942e-61,1.7491040835642244e-71,1.4418664967540832e-75,1.9714214904390842e-22,6.1040214279083888e-21,6.8809872547782777e-31,7.3066348783955622e-45,1.6082387245254609e-33,1.6082387245301105e-33,4.6499054117778997e-45,9.0727524769545809e-36,1.1162541756524064e-44,1.2962046160389333e-50,1.5457289137520228e-60,8.2034277197767477e-46
1.189156569828775e-18,0.5037456798625758,154.0,0.0,0.0,0.0,0.99999999999982359,1.0,19.0,1.7645458473223871e-14,7.2743356090021414e-14,7.2743329230260737e-14,2.0942630221184814e-22,2.0863157588455951e-22,1.3260583838945597e-14,7.0849361730917209e-21,4.5858461683703853e-18,7.8901545421045744e-21,1.4386409338145504e-22,2.6957715804707279e-32,1.3876296694716156e-25,3.6600807380080277e-32,3.4726307309405893e-26,6.4520875533769487e-35,6.4520875648667964e-35,1.0221481480425339e-43,1.2683653173099824e-44,9.973593871852038e-27,7.0445048983375664e-80,6.7280027302583327e-80,6.7280027302598713e-80,3.5983030928864435e-37,3.9649206504937853e-20,3.6372615235021762e-35,1.2529612374457756e-37,7.9765389903410646e-35,7.1625047807130317e-35,1.574708481537429e-50,2.0165575880009121e-40,1.4388248500128529e-64,3.8236865546288455e-51,9.4301448227006692e-51,7.0513762391203347e-57,1.4266051938571587e-66,7.1769200580226007e-76,1.6412623208838087e-77,1.4627119976819074e-61,2.7957560763702598e-87,1.084075750426558e-90,2.7554849015685208e-88,1.4642705079046098e-82,7.7937987069395941e-79,3.2600842623035188e-35,8.0518813796404588e-44,4.4860686466549801e-45,5.498601294195733e-45,8.6513015652212971e-49,5.7599353430113033e-42,8.3716645890993222e-32,2.2701640854359861e-40,1.230153899164343e-40,1.9488288886148949e-49,1.4184777768652344e-49,1.2756110610947039e-50,1.8389553867026435e-53,5.6989632325527669e-59,4.8451921909291466e-43,2.6345223518211497e-52,3.7409150592593577e-51,1.1959192341917471e-93,9.668147316390914e-54,4.5365141507755054e-60,1.0461229317841898e-69,8.623758880367324e-74,3.956629145291592e-22,1.2250728318952764e-20,2.7668147111683687e-30,5.88101541568e-44,6.4666571777582855e-33,6.4666571777957114e-33,3.7426484076756214e-44,7.3025404714624791e-35,1.7976847018584971e-43,4.1758769356040938e-49,9.9605722927275985e-59,1.3211367386064637e-44
2.3824565423398803e-18,0.5037456798625757,154.0,0.0,0.0,0.0,0.99999999999964662,1.0,19.0,3.535239938012552e-14,1.4574017264675604e-13,1.4574011911754391e-13,8.3989313418139681e-22,8.3353818238190387e-22,2.6567341080641135e-14,2.841373470587295e-20,9.1876642168839999e-18,3.1643017307503974e-20,5.7695912960098288e-22,2.1509281540015939e-31,5.5650155596600664e-25,2.8866730799225219e-31,1.3926802342427087e-25,5.1773938930188213e-34,5.1773939114625212e-34,1.6407692817758271e-42,2.0360061122365971e-43,3.9998572088867989e-26,9.09056030876702e-78,8.6821310312554263e-78,8.6821310312593996e-78,2.8874116305493796e-36,7.9436603588437691e-20,1.458705211778944e-34,1.0053163154944815e-36,6.4006642720723721e-34,5.7474536893360059e-34,2.527755867070424e-49,1.6181604578842806e-39,4.619764859321473e-63,6.1378524418649599e-50,1.0636701562112162e-49,2.264044928194102e-55,9.161539186921016e-65,9.2181653217507267e-74,2.1080668729278648e-75,3.2818480692701318e-60,7.1819359901412363e-85,2.7848505091914691e-88,7.078104708475166e-86,1.8807357091479771e-80,1.001049537631646e-76,1.3074395912699926e-34,6.4611276482027133e-43,3.5997838542187528e-44,4.4121734744975377e-44,1.3373218375869133e-47,4.6219666894872873e-41,3.3574119038645243e-31,1.8216635872864784e-39,9.8712102114935154e-40,3.1282974782618806e-48,2.2769678156382995e-48,2.0476381507624416e-49,2.9308358616561057e-52,1.8177193063897679e-57,3.8879615277466903e-42,2.1772650977334292e-51,6.0047626928205858e-50,3.0866388130876016e-91,1.5416471908334312e-52,1.4010218025803698e-58,6.4579745829121004e-68,5.3237682572249256e-72,7.9270444554319786e-22,2.4544142096842396e-20,1.109616447753151e-29,4.7191445009930459e-43,2.5934187560711938e-32,2.5934187561012259e-32,3.0032396428320155e-43,5.8598287764682234e-34,2.8856556332657776e-42,1.3407744065014157e-47,6.3965504031706003e-57,2.1207170341601202e-43
