Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398),S(1815),S(1443),C7H15(32),C7H15(31),S(1930),S(1932),C4H9(23),C3H6(1916),S(1984),S(87),S(2214),S(2218),S(2260),S(2221),S(2356)
0.0,0.6627785215465155,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6213443698457967e-23,0.6627785215465155,154.0,0.0,0.0,0.0,0.99999999999999944,1.0,19.0,1.3641821575509731e-17,6.2515491387598445e-17,6.2515161101733555e-17,5.4641235887359487e-30,5.4641496382239219e-30,4.5220607645475932e-16,9.918488788661732e-27,2.6894355336781573e-18,1.9193597596719412e-26,3.0170706417859292e-30,1.2399581079133481e-43,2.1489988371747284e-31,1.3693038456342568e-43,6.2882936242484598e-32,2.6575811154083436e-44,2.6575811154084905e-44,1.2825796905140108e-57,1.8581820242353862e-58,1.2999254082565832e-33,6.983428957762285e-103,6.4628362219607837e-103,6.4628362219607896e-103,2.0105462159682867e-48,4.6381916314808937e-22,7.6281637492375948e-41,1.8225725455687697e-48,2.6183563380655562e-43,1.3530625435360485e-43,2.0821437023641838e-63,3.5466700961806957e-50,2.8404232882220834e-80,1.7066934043444041e-64,1.7300333932532851e-58,7.076849810333193e-74,1.4051246836735947e-87,2.5577902391645391e-101,1.3773609462463779e-101,1.3315702023893219e-73,7.8041995269927142e-116,9.4106711289725336e-120,2.8197617426843104e-116,5.1897180270071599e-107,2.543459690376762e-104,1.1428937836726332e-39,9.989437397965556e-53,2.2091193572210166e-52,6.4908089215689907e-53,3.0734523679322837e-56,2.1747997665641727e-49,2.2502769069492796e-36,6.9755034435082978e-49,6.0066698302006769e-49,2.8988890265250576e-62,2.6250581235169032e-62,2.219342893389698e-63,3.4700066742273017e-66,2.4529288669734562e-75,4.4734398193180544e-52,2.3498067083173275e-63,3.5748636519920072e-64,1.7632971722344323e-119,2.2668732306955181e-66,6.1098721508951585e-72,2.7729996729645914e-85,2.288806240881321e-89,6.7391292528547047e-24,1.2679416602630099e-22,7.1842241006227685e-37,2.6683809996036123e-54,7.4054862062587134e-38,7.4054862062587145e-38,1.4721742366191538e-53,7.1944168891311226e-46,3.2063013473101486e-58,4.228567020349937e-68,5.4257302386714629e-82,4.0763944292278657e-60,1.4160056761487901e-73
7.339764235568232e-23,0.6627785215465155,154.0,0.0,0.0,0.0,0.99999999999999833,1.0,19.0,3.819710041142722e-17,1.7504337588524796e-16,1.7504245108483576e-16,3.3003306475907341e-29,3.3003447375470899e-29,1.266177013977452e-15,5.9907672279731711e-26,7.5304194939213585e-18,1.1592932947686048e-25,1.8223106675588244e-29,1.4720746641301271e-42,1.2979952976038974e-30,1.6256264464901943e-42,3.7981293490441632e-31,3.155080300211182e-43,3.1550803002115105e-43,2.8690794638251488e-56,4.156678860689915e-57,7.8515494658705575e-33,7.4413854685784076e-101,6.8866535105861011e-101,6.8866535105861113e-101,2.3869303078529455e-47,1.2986936568230731e-21,4.6074109045844967e-40,2.1637581102306948e-47,3.1085126443713237e-42,1.6063558515929226e-42,4.6576721764445649e-62,4.210606738185172e-49,1.1721086230709378e-78,3.817819912029856e-63,2.0538974361221696e-57,2.9202931105971075e-72,1.0577468003422819e-85,3.4913842120687677e-99,1.8800979800507781e-99,2.9786717621307777e-72,1.9252963174700074e-113,2.3216337079243461e-117,6.9563532671252247e-114,7.0839661937746005e-105,3.4718230099745731e-102,6.9030784533798051e-39,1.1859460078841709e-51,2.6226665004955353e-51,7.7058883422431937e-52,3.6500301481994009e-55,2.5819222795469861e-48,1.3591672517963015e-35,8.2813176880285472e-48,7.1311184224085328e-48,6.4846987957770603e-61,5.8721500186380914e-61,4.9645812787665922e-62,7.7622461509947718e-65,1.0121935777554855e-73,5.3108677534613802e-51,5.2101125941355717e-62,7.9968269786142002e-63,3.399706915697569e-117,5.0708899845769857e-65,1.3671931973229675e-70,1.1446449080114215e-83,9.4506423521154184e-88,1.8869561907993333e-23,3.5502366487363995e-22,4.3392713567760176e-36,3.167906467018899e-53,4.4729136685802323e-37,4.472913668580234e-37,1.7477652537142483e-52,8.5412117307593517e-45,7.1723678590681051e-57,1.650038061533276e-66,3.8651914680753806e-80,9.1187312823875181e-59,5.8431670096210279e-72
1.6776603967013101e-22,0.6627785215465155,154.0,0.0,0.0,0.0,0.99999999999999623,1.0,19.0,8.7307658083262058e-17,4.0009914488043609e-16,4.0009703105096756e-16,1.5889671395957448e-28,1.5889722488877201e-28,2.8941188886393411e-15,2.8842965391750588e-25,1.7212387412897835e-17,5.581498180027291e-25,8.7736414251153303e-29,1.4452840057289384e-41,6.2492886177595297e-30,1.5960262179180691e-41,1.828635785928593e-30,3.0976765481149934e-42,3.0976765481156427e-42,5.6688175363939271e-55,8.2128969673737603e-56,3.7801830872113302e-32,1.6934852255936117e-98,1.5672412110897557e-98,1.5672412110897612e-98,2.3435066424968608e-46,2.9684426442067301e-21,2.2182700183452036e-39,2.124390509922458e-46,3.0519561470908887e-41,1.5771297004570887e-41,9.2027753357796902e-61,4.133998664106507e-48,4.6367451509930524e-77,7.543383279551665e-62,2.0165324772939503e-56,1.1552411839227289e-70,8.3633025460643653e-84,5.5155424244008992e-97,2.9700999778727884e-97,5.8853641862656391e-71,6.0776003019860695e-111,7.3287492244853258e-115,2.1959183181412254e-111,1.119095284373971e-102,5.4846404573170649e-100,3.3235351229156673e-38,1.1643688230997344e-50,2.574949521545326e-50,7.5656868497059266e-51,3.5862213207211912e-54,2.5349465976213985e-47,6.5438052453925519e-35,8.1306468134293027e-47,7.0013743540641969e-47,1.2812672050930793e-59,1.1602378889105948e-59,9.8091760032142534e-61,1.5336803952221033e-63,4.0040113453124582e-72,5.214241453296196e-50,1.0099509812479399e-60,1.5800382458464071e-61,1.5427615045731408e-114,1.0019160277888812e-63,2.7032426994641723e-69,4.5312390579945907e-82,3.7416673022114391e-86,4.3130427218271201e-23,8.1148266256830614e-22,2.0891723684608969e-35,3.1102713460299443e-52,2.1535153887799877e-36,2.1535153887799891e-36,1.7159662902032501e-51,8.385812325918168e-44,1.417139023000876e-55,6.3049502879652911e-65,2.9510393347682705e-78,1.8017076376275646e-57,2.3114812193734223e-70
3.565028342990284e-22,0.6627785215465155,154.0,0.0,0.0,0.0,0.99999999999999201,1.0,19.0,1.8552877342693121e-16,8.5021068287036885e-16,8.5020619098294096e-16,6.9394369576050763e-28,6.9394445595476253e-28,6.1500026364291332e-15,1.2596480755733411e-24,3.6576323244811089e-17,2.4375868936480266e-24,3.8316797138300384e-28,1.2783237649802148e-40,2.7292285224425046e-29,1.411625371198993e-40,7.9861329027660061e-30,2.7398598267309461e-41,2.7398598267321007e-41,1.0087357911941518e-53,1.4614411336273209e-54,1.650905268487085e-31,2.8619151648797127e-96,2.6485683614219067e-96,2.6485683614219238e-96,2.0728067983846761e-45,6.3079406191088063e-21,9.6877679622204797e-39,1.8789992882753303e-45,2.6994206491195856e-40,1.3949533592780124e-40,1.6375847007674343e-59,3.6564750023548512e-47,1.6548214092999101e-75,1.3423059248137164e-60,1.7836068907531661e-55,4.1229774382308291e-69,5.9777444129366496e-82,7.889810862471913e-95,4.2486350869906497e-95,1.0472729489066004e-69,1.7393328620507752e-108,2.0973997600121306e-112,6.2844423236042041e-109,1.6008307891114866e-100,7.8456065654692171e-98,1.4514751052597474e-37,1.0298710379656811e-49,2.2775136899344455e-49,6.6917643043034918e-50,3.1765974585848799e-53,2.2421315457368154e-46,2.8578516718090968e-34,7.1914650294389744e-46,6.1926363281064913e-46,2.2799465320754979e-58,2.0645813299656575e-58,1.7454904594987828e-59,2.7290714333497684e-62,1.4289131409746189e-70,4.611937515917858e-49,1.7312755974725698e-59,2.8115936120985766e-60,5.2183343854982843e-112,1.7828332254923726e-62,4.817066323118965e-68,1.6194141836666491e-80,1.3373132784493591e-84,9.1652157838829446e-23,1.7244006579575922e-21,9.1239646077888021e-35,2.7510005736880345e-51,9.4049674819480837e-36,9.4049674819480984e-36,1.5177527509848066e-50,7.4171560359071779e-43,2.5217231696372124e-54,2.2104725917602758e-63,2.071636746343383e-76,3.2060424762606217e-56,8.2493866579386353e-69
7.339764235568231e-22,0.6627785215465155,154.0,0.0,0.0,0.0,0.99999999999998346,1.0,19.0,3.8197100411426761e-16,1.7504337588484601e-15,1.7504245108457259e-15,2.8970783266671801e-27,2.8970692053801018e-27,1.2661770125872777e-14,5.2587827504681618e-24,7.5304194884478773e-17,1.0176445435562584e-23,1.5996508531606164e-27,1.0744853202030768e-39,1.1393991827775805e-28,1.1864859622598253e-39,3.3340532795499489e-29,2.3030172732960812e-40,2.303017273298029e-40,1.7013803482914892e-52,2.4649340793178866e-53,6.8922045145874215e-31,4.1904742160405469e-94,3.8780875003428066e-94,3.8780875003428571e-94,1.7423196889932855e-44,1.2986936569452008e-20,4.0444524204644866e-38,1.579412019405754e-44,2.2690257067389879e-39,1.1725423501283457e-39,2.7620259522742027e-58,3.0734875586221215e-46,5.5912675337332699e-74,2.2639960718800196e-59,1.4992404192405229e-54,1.393061485266651e-67,4.0427531876425251e-80,1.0676065220116191e-92,5.7490231484657343e-93,1.7663918510891819e-68,4.7080878307193618e-106,5.6773211167230186e-110,1.7010950866746406e-106,2.1661576192472472e-98,1.0616250356920072e-95,6.0596228409918285e-37,8.6566866178068749e-49,1.9143874843660316e-48,5.6248310469516024e-49,2.6779026134893203e-52,1.8846466417193405e-45,1.1930968160496683e-33,6.0448596748548596e-45,5.2052839680671311e-45,3.8454630651270787e-57,3.4822181715247777e-57,2.9440247860359929e-58,4.6028736332263516e-61,4.827366039612435e-69,3.8766113720281475e-48,2.7202012084475018e-58,4.7421634927175012e-59,1.52885865311935e-109,3.0069318308863161e-61,8.1476023498463189e-67,5.4868236018996568e-79,4.5311610058824611e-83,1.8869561907995598e-22,3.5502366487359777e-21,3.8090756181482878e-34,2.3123820559580976e-50,3.9263887865579326e-35,3.9263887865579454e-35,1.2757626386662335e-49,6.2345665652486107e-42,4.2532546937356462e-53,7.4018539370139681e-62,1.3883443617797254e-74,5.4074592411390293e-55,2.7871963947850704e-67
1.4889236020724125e-21,0.6627785215465155,154.0,0.0,0.0,0.0,0.99999999999996636,1.0,19.0,7.748554654889322e-16,3.5508799107975453e-15,3.5508611505666487e-15,1.1835510257463035e-26,1.183537251949104e-26,2.5685305080216288e-14,2.1483843411086398e-23,1.5275993806717886e-16,4.1574100051885287e-23,6.5350956834997284e-27,8.8089054783698508e-39,4.6548174354111145e-28,9.7263774301316571e-39,1.3620695521642047e-28,1.8881527030743969e-39,1.8881527030775963e-39,2.7945223195606071e-51,4.0486616228367048e-52,2.8156904313094167e-30,5.7301190343189137e-92,5.3029566241967045e-92,5.3029566241968448e-92,1.428459217756289e-43,2.634492847229459e-20,1.6522907812632303e-37,1.2948972326050421e-43,1.8602843612713685e-38,9.6132105969259513e-39,4.5366359205147773e-57,2.5198307928495576e-45,1.8382864354169318e-72,3.7186210755547869e-58,1.2291865007755784e-53,4.5800823081087984e-66,2.6594586269743871e-78,1.4049104489585461e-90,7.5653927979288915e-91,2.9013464636535429e-67,1.2392463906683316e-103,1.4943652546975656e-107,4.4775627409894455e-104,2.850542228602071e-96,1.3970391476483577e-93,2.4755536511519998e-36,7.0972747040148698e-48,1.5695305179737474e-47,4.6115762321003015e-48,2.2082665884061707e-51,1.5451471479438581e-44,4.874189791402771e-33,4.9559411753982402e-44,4.2676062869729897e-44,6.3161846145608954e-56,5.7195537801352813e-56,4.8355695509019305e-57,7.5598913725192148e-60,1.5867325106217632e-67,3.1782802175211116e-47,3.9285734923053713e-57,7.7890174966417528e-58,4.1821871005007184e-107,4.9386416566307355e-60,1.3457745306923144e-65,1.8139355907233844e-77,1.4980179726363541e-81,3.8278254156224895e-22,7.2019086302920077e-21,1.5561316770896822e-33,1.8958306424937207e-49,1.6040579342200923e-34,1.6040579342201025e-34,1.0459472895105276e-48,5.1114743466590193e-41,6.9859835580085108e-52,2.422607293794467e-60,9.0912552281093423e-73,8.881768040844936e-54,9.1631336333004618e-66
2.9988179591035917e-21,0.6627785215465155,154.0,0.0,0.0,0.0,0.99999999999993217,1.0,19.0,1.560624388238229e-15,7.1517722146673266e-15,7.1517344299899073e-15,4.7841024793091025e-26,4.7839655753454447e-26,5.1732374890728205e-14,8.6841129851605262e-23,3.0767142404603787e-16,1.6804915917448697e-22,2.6415901585139433e-26,7.133073780816584e-38,1.8815516290680035e-27,7.8748084533007102e-38,5.5057029059383411e-28,1.5290750125872981e-38,1.5290750125924844e-38,4.5300410670806087e-50,6.5630549457504663e-51,1.1381470913559059e-29,7.5786309662718577e-90,7.013667786701322e-90,7.0136677867016908e-90,1.1568034176433434e-42,5.3060912286604496e-20,6.6788235186206879e-37,1.0486410842594277e-42,1.506506503854196e-37,7.785027165035345e-38,7.3540823242611644e-56,2.0406243070653508e-44,5.9624379892548688e-71,6.028045536663481e-57,9.9545726354337022e-53,1.4855388530754344e-64,1.7255476563005033e-76,1.8233029494257245e-88,9.8184215317594072e-89,4.7033455785475112e-66,3.2167779540139833e-101,3.8790044697227435e-105,1.1622647532186004e-101,3.6994543393605384e-94,1.8130875176498147e-91,1.000658366478816e-35,5.7475570641967001e-47,1.2710464995931146e-46,3.7345738369402233e-47,1.8089791684964049e-50,1.2513001651841335e-43,1.9702254452222714e-32,4.0134496535298462e-43,3.4560182162593378e-43,1.0238807387592886e-54,9.2716430752025431e-55,7.8386666191924672e-56,1.2253799763236762e-58,5.1439385960281974e-66,2.5738537222850637e-46,5.1251422267927339e-56,1.2626332106279929e-56,1.1064066233497328e-104,8.0049311196624438e-59,2.2059665455630698e-64,5.9482489550292562e-76,4.9123327160202615e-80,7.7095638652699501e-22,1.4505252593401099e-20,6.2901330428388036e-33,1.5352928568035243e-48,6.4838586369143593e-34,6.4838586369144448e-34,8.4703523306018019e-48,4.1394044495579769e-40,1.1324580237805286e-50,7.8399161892375748e-59,5.8851846061391452e-71,1.439772873457366e-52,2.9716783196718092e-64
6.01860667316595e-21,0.6627785215465155,154.0,0.0,0.0,0.0,0.99999999999986378,1.0,19.0,3.1321622337366929e-15,1.4353556822293339e-14,1.4353480988762072e-14,1.923666565453424e-25,1.9235461965803055e-25,1.0382651411905168e-13,3.4918436221751693e-22,6.1749439445759147e-16,6.7571827505937112e-22,1.0621717814287243e-25,5.7403426330517373e-37,7.5656363271100262e-27,6.3353320996262501e-37,2.2138189234409895e-27,1.2307325966064119e-37,1.2307325966147647e-37,7.2954913657512233e-49,1.0569597618805278e-49,4.5764393968458446e-29,9.8600066623611374e-88,9.1249740767619988e-88,9.1249740767629576e-88,9.3109607322119399e-42,1.0649287994972326e-19,2.685525564063697e-36,8.4403714421976509e-42,1.2125674925239959e-36,6.2660671192498337e-37,1.1843522870119658e-54,1.6424719726136389e-43,1.9208788213144331e-69,9.7079817441364747e-56,8.0127916988046642e-52,4.7858614260340748e-63,1.1119362310455713e-74,2.3499853794527607e-86,1.265458768491742e-86,7.5750373346652348e-65,8.2921873823668243e-99,9.9992713211356875e-103,2.9960773717400975e-99,4.7680850981835432e-92,2.3368191005568186e-89,4.0236032809421928e-35,4.6261339508057055e-46,1.0230487906515479e-45,3.0059096685909495e-46,1.4892942060992312e-49,1.0071551436623057e-42,7.9221898611528791e-32,3.23037344055683e-42,2.7817041270802128e-42,1.6489283474166804e-53,1.4931695103175211e-53,1.2623930932286748e-54,1.9730792685970298e-57,1.655522827355836e-64,2.0716613954891691e-45,5.9256502379746767e-55,2.0334315687843409e-55,2.8791124863654039e-102,1.2889054970513753e-57,3.6312581234594291e-63,1.9580551235054799e-74,1.6170579489646932e-78,1.5473040764571273e-21,2.9111940519607404e-20,2.5292348315098921e-32,1.2357372785120741e-47,2.6071310408557354e-33,2.6071310408558035e-33,6.8176764596634818e-47,3.331752820588466e-39,1.8237886852533573e-49,2.5228756126795874e-57,3.788031420194301e-69,2.3187098266552522e-51,9.5713252217174851e-63
1.2058184101290665e-20,0.6627785215465155,154.0,0.0,0.0,0.0,0.999999999999727,1.0,19.0,6.2752379247331033e-15,2.8757126037091207e-14,2.8756974106008994e-14,7.7147633065262912e-25,7.713756694200201e-25,2.0801479100489716e-13,1.4003854569507895e-21,1.2371403290960407e-15,2.7099324820267083e-21,4.2597838860101773e-25,4.6046983289112444e-36,3.0341585327046954e-26,5.0788988685919679e-36,8.8784040371049538e-27,9.8758539987528882e-37,9.8758539988869625e-37,1.1710878966329839e-47,1.696654485093277e-48,1.8353568844151285e-28,1.2723816270995154e-85,1.1775295657142281e-85,1.1775295657144757e-85,7.4714597762832596e-41,2.1335681541395654e-19,1.0770158656672125e-35,6.7728596236995044e-41,9.7300904008284576e-36,5.0281241995885281e-36,1.9011477153201968e-53,1.3179803187266275e-42,6.1675390510187849e-68,1.5583460309897231e-54,6.4305400599071347e-51,1.5366396999718282e-61,7.1407741160834113e-73,3.018368868696413e-84,1.6253809002709857e-84,1.216103886513112e-63,2.1301595184095241e-96,2.5686882366252665e-100,7.6965467276919761e-97,6.1242251943895746e-90,3.001457833373965e-87,1.6136448756205025e-34,3.7121811507811717e-45,8.2093220785529896e-45,2.4120527926825813e-45,1.2484596546178172e-48,8.0817843004397547e-42,3.177152462584959e-31,2.5921712396877212e-41,2.2321423761265129e-41,2.6468951227741727e-52,2.3968676739779281e-52,2.0264204908403581e-53,3.1660823752643908e-56,5.3048779959369648e-63,1.6623778006879341e-44,6.0669062284267953e-54,3.264107067531972e-54,7.4309202315458764e-100,2.0681317848799338e-56,6.0813690204679625e-62,6.55498917886584e-73,5.413451129166412e-77,3.099999456319953e-21,5.832531637197251e-20,1.0143362902238045e-31,9.9160134996119689e-47,1.0455761541679546e-32,1.0455761541680095e-32,5.4707559966087894e-46,2.6735218113140678e-38,2.9275845865822286e-48,8.0958377204864389e-56,2.43124703517687e-67,3.7220427875095239e-50,3.0716551607905774e-61
