Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41)
0.0,0.9361230064190068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0
3.7471732213052605e-20,0.9361230064190068,9.7000721528876693e-25,2.6777699163832391e-39,2.6460404226690849e-39,1.0114626204131048e-60,1.2472018254338501e-60,0.0,0.0,3.4876515406708654e-24,7.1571648687014982e-59,154.0,0.0,0.99999999999999967,1.0,19.0,7.806530154130576e-17,7.135545364161667e-18,1.3938237235188173e-16,1.3938237680954045e-16
1.0492085019654729e-19,0.9361230064190068,2.7160202028056661e-24,1.6070926735306758e-38,1.5982084152907128e-38,1.528522396442699e-59,1.884771503511182e-59,0.0,0.0,9.7654248959994509e-24,1.0815908153786297e-57,154.0,0.0,0.999999999999999,1.0,19.0,2.1858284431565303e-16,1.9979526995723602e-17,3.9027064258526779e-16,3.9027065506671294e-16
2.3981908616353665e-19,0.9361230064190068,6.2080461778279388e-24,7.7149924250775367e-38,7.6946855491004764e-38,1.6443148315187446e-58,2.0275514097926083e-58,0.0,0.0,2.2320973935140725e-23,1.1635261777625794e-56,154.0,0.0,0.99999999999999767,1.0,19.0,4.9961792986433535e-16,4.5667490163131203e-17,8.9204718305203627e-16,8.920472115810564e-16
5.096155580975154e-19,0.9361230064190068,1.3192098127826384e-23,3.3647865479129338e-37,3.3604713367678087e-37,1.5114089667334699e-57,1.8636694917571478e-57,0.0,0.0,4.7432081327359696e-23,1.0694812627981993e-55,154.0,0.0,0.999999999999995,1.0,19.0,1.0616881009616503e-15,9.7043416115081375e-17,1.895600263985559e-15,1.8956003246097381e-15
1.049208501965473e-18,0.9361230064190068,2.7160202027638874e-23,1.4038190579034096e-36,1.402930632079413e-36,1.2930427840976666e-56,1.5944092229703069e-56,0.0,0.0,9.7654333367543366e-23,9.1496416051043619e-55,154.0,0.0,0.99999999999998979,1.0,19.0,2.1858284431560835e-15,1.9979526648752158e-16,3.9027064258525462e-15,3.9027065506670802e-15
2.128394389701388e-18,0.9361230064190066,5.5096409826526259e-23,5.7332316321940157e-36,5.7314293969510504e-36,1.0691137586910514e-55,1.3182895952994489e-55,0.0,0.0,1.9809898647089357e-22,7.565107623879651e-54,154.0,0.0,0.99999999999997935,1.0,19.0,4.4341091275441623e-15,4.0529896110656171e-16,7.9169187495862853e-15,7.9169190027816832e-15
4.286766165173218e-18,0.936123006419007,1.1096882542135063e-22,2.3170983852577132e-35,2.3167353998496231e-35,8.6938714675524849e-55,1.0720131844923046e-54,0.0,0.0,3.9898888876952537e-22,6.1518312797149585e-53,154.0,0.0,0.99999999999995837,1.0,19.0,8.9306704963171622e-15,8.1630632584128181e-16,1.5945343397052838e-14,1.5945343907010547e-14
8.603509716116879e-18,0.9361230064190068,2.2271365659919779e-22,9.3162196576842402e-35,9.3154911485085611e-35,7.0119480015495e-54,8.6462066225269262e-54,0.0,0.0,8.0077107773451457e-22,4.9616931786303838e-52,154.0,0.0,0.9999999999999164,1.0,19.0,1.7923793233850542e-14,1.6383209572972937e-15,3.2002192691982203e-14,3.2002193715466939e-14
1.7236996818004198e-17,0.9361230064190066,4.4620331890768572e-22,3.7360745512969999e-34,3.7359285956259147e-34,5.6324192577035156e-53,6.9451546498680202e-53,0.0,0.0,1.604344993135396e-21,3.9855313271072345e-51,154.0,0.0,0.99999999999983258,1.0,19.0,3.5910038708866832e-14,3.2823498281556967e-15,6.4115891281826008e-14,6.4115893332374321e-14
3.4503971021778836e-17,0.936123006419007,8.9318264333583628e-22,1.49634930441537e-33,1.4963200878975579e-33,4.5151473976910564e-52,5.5674833198199945e-52,0.0,0.0,3.2115309738207683e-21,3.1949440245859499e-50,154.0,0.0,0.99999999999966482,1.0,19.0,7.1882529658697465e-14,6.5704060016587695e-15,1.2834328846145392e-13,1.2834329256616752e-13
6.903791942932812e-17,0.9361230064190068,1.7871412914368358e-21,5.989238329807711e-33,5.9891798713884923e-33,3.6158859056102595e-51,4.4586337853103801e-51,0.0,0.0,6.426055534725955e-21,2.5586222798671669e-49,154.0,0.0,0.99999999999932943,1.0,19.0,1.4382751155755101e-13,1.3146512075815965e-14,2.5679808282047093e-13,2.567980910336678e-13
1.381058162444267e-16,0.9361230064190068,3.5750585846176282e-21,2.3964637672685839e-32,2.3964520730463805e-32,2.8943440144220099e-50,3.5689249650389689e-50,0.0,0.0,1.2855715054674092e-20,2.0480562626756034e-48,154.0,0.0,0.99999999999865852,1.0,19.0,2.8771747535202737e-13,2.6298699132782424e-14,5.137076715375499e-13,5.1370768796832359e-13
2.762416098746238e-16,0.9361230064190068,7.150893158894387e-21,9.5873921405291344e-32,9.5873687495463685e-32,2.3163332772602178e-49,2.8562004470155358e-49,0.0,0.0,2.5717475687121402e-20,1.6390542601297456e-47,154.0,0.0,0.99999999999731681,1.0,19.0,5.7549740292805714e-13,5.2602972881706577e-14,1.0275268489678876e-12,1.0275268818362564e-12
5.525131971350181e-16,0.9361230064190066,1.4302562259108607e-20,3.8352642808570358e-31,3.8352596024066468e-31,1.8537359672502003e-48,2.2857895808722048e-48,0.0,0.0,5.1450763322219989e-20,1.3117203657297791e-46,154.0,0.0,0.9999999999946334,1.0,19.0,1.1510572580284246e-12,1.0521111892258333e-13,2.0551652038132817e-12,2.0551652695666069e-12
1.1050563716558065e-15,0.9361230064190068,2.8605900266179843e-20,1.5341671905297646e-30,1.5341662548143034e-30,1.4837782625219768e-47,1.829611357781679e-47,0.0,0.0,1.0295640407323172e-19,1.0499402609117156e-45,154.0,0.0,0.99999999998926647,1.0,19.0,2.3021769680223899e-12,2.1042580520095863e-13,4.1104419134429426e-12,4.1104420450052476e-12
2.2101427206973834e-15,0.9361230064190068,5.7212575506893549e-20,6.1367916495302977e-30,6.1367897780739922e-30,1.1881731983367025e-46,1.46511775959123e-46,0.0,0.0,2.0612394749850257e-19,8.4077489016471719e-45,154.0,0.0,0.99999999997853273,1.0,19.0,4.6044163871832442e-12,4.2084875474025473e-13,8.2209953324577606e-12,8.2209955957942823e-12
4.420315418780538e-15,0.936123006419007,1.1442592289460607e-19,2.4547411806216725e-29,2.4547408063278745e-29,9.5233446083997445e-46,1.1743245487531056e-45,0.0,0.0,4.1308408204194812e-19,6.7390434572791824e-44,154.0,0.0,0.99999999995706523,1.0,19.0,9.2088952221966487e-12,8.4166896331739833e-13,1.6442102169509378e-11,1.6442102697019383e-11
8.840660814946845e-15,0.9361230064190068,2.2885260529517298e-19,9.8190133092217399e-29,9.819012560631612e-29,7.6472299590670378e-45,9.4300596949248643e-45,0.0,0.0,8.2950454189976845e-19,5.4116586436973242e-43,154.0,0.0,0.99999999991413036,1.0,19.0,1.8417852878990243e-11,1.6832066310113165e-12,3.2884315839700544e-11,3.2884316898057691e-11
1.3261006211113154e-14,0.936123006419007,3.4327927532088324e-19,2.0865433136873259e-28,2.0865432013986814e-28,2.2750848626537733e-44,2.8055271592861549e-44,0.0,0.0,1.2484251925278319e-18,1.6100291264045592e-42,154.0,0.0,0.99999999987119559,1.0,19.0,2.7626810522550611e-11,2.5246415617887597e-12,4.9326529505979652e-11,4.9326531097684117e-11
2.210169700344577e-14,0.936123006419007,5.7213256587288902e-19,5.7686860402692307e-28,5.7686858531213304e-28,1.0733895493259386e-43,1.3237211545391661e-43,0.0,0.0,2.0962672568594398e-18,7.5967373764840215e-42,154.0,0.0,0.99999999978532639,1.0,19.0,4.6044725756738491e-11,4.2071005760043968e-12,8.2210956822889615e-11,8.2210959491289434e-11
2.9882648556263334e-14,0.9361230064190068,7.7355302844877133e-19,1.01457272290422e-27,1.014572697600848e-27,2.4394950221940491e-43,3.008514500730821e-43,0.0,0.0,2.8501933303844435e-18,1.7265908120206604e-41,154.0,0.0,0.99999999970975073,1.0,19.0,6.2254873713093026e-11,5.6875652627299116e-12,1.1115350686775867e-10,1.1115351049150504e-10
3.76636001090809e-14,0.9361230064190068,9.7497345007059576e-19,1.5741359499194753e-27,1.5741359180275224e-27,4.6758814480076204e-43,5.7667029180818649e-43,0.0,0.0,3.6123936838201819e-18,3.3095659941286462e-41,154.0,0.0,0.99999999963417519,1.0,19.0,7.8465021625652781e-11,7.1676901855668921e-12,1.4009605689968099e-10,1.4009606148704811e-10
4.5444551661898464e-14,0.936123006419007,1.1763938335152616e-18,2.2472956028187071e-27,2.2472955643381752e-27,7.9342068420681993e-43,9.7854254979928956e-43,0.0,0.0,4.3823072793120283e-18,5.6160312321595263e-41,154.0,0.0,0.99999999955860031,1.0,19.0,9.4675169497387243e-11,8.6474984482563816e-12,1.690386069195344e-10,1.6903861247823552e-10
6.10064547675336e-14,0.9361230064190068,1.5792345137528342e-18,3.8514478834894653e-27,3.8514478318317799e-27,1.7528504067981569e-42,2.1619391918773258e-42,0.0,0.0,5.9396414349051334e-18,1.24080976322954e-40,154.0,0.0,0.99999999940745088,1.0,19.0,1.2709546514819392e-10,1.1606396430231361e-11,2.2692370693184821e-10,2.2692371445072414e-10
7.656835787316872e-14,0.9361230064190068,1.9820750525567746e-18,5.8764370330124895e-27,5.8764369681776573e-27,3.2916238062449801e-42,4.0600327336256664e-42,0.0,0.0,7.5255505917594744e-18,2.3302494729515248e-40,154.0,0.0,0.99999999925630256,1.0,19.0,1.5951576064775665e-10,1.4564121854676015e-11,2.8480880689945094e-10,2.8480881640707658e-10
9.213026097880385e-14,0.9361230064190066,2.3849154405347814e-18,8.350209926795296e-27,8.3502098487833293e-27,5.5923758191869688e-42,6.8982142428564569e-42,0.0,0.0,9.1419323645041287e-18,3.9593239623494226e-40,154.0,0.0,0.99999999910515569,1.0,19.0,1.9193605598603151e-10,1.7520597317424663e-11,3.4269390681937353e-10,3.4269391834622134e-10
1.2325406719007412e-13,0.936123006419007,3.1905957555882267e-18,1.4669175023525079e-26,1.4669174919158887e-26,1.3454137492387767e-41,1.6597580374759667e-41,0.0,0.0,1.2467815954561799e-17,9.5270065860294697e-40,154.0,0.0,0.9999999988028655,1.0,19.0,2.5677664616970847e-10,2.3429731475093663e-11,4.5846410651351586e-10,4.5846412217192755e-10
1.5437787340134438e-13,0.9361230064190068,3.9962754577348739e-18,2.2811849328949856e-26,2.2811849198229518e-26,2.6598437887829645e-41,3.2816220611891315e-41,0.0,0.0,1.5917530356708153e-17,1.8837595054055329e-39,154.0,0.0,0.99999999850058052,1.0,19.0,3.2161723569796462e-10,2.9333792943081873e-11,5.7423430601390334e-10,5.7423432592770924e-10
2.166254858238849e-13,0.936123006419007,5.6076330217387742e-18,4.4572994880091284e-26,4.4572994696662985e-26,7.6615446765520516e-41,9.4545669434461957e-41,0.0,0.0,2.3188769131815396e-17,5.4279437948085539e-39,154.0,0.0,0.99999999789602556,1.0,19.0,4.5129841278653546e-10,4.11267072960481e-11,8.0577470443292361e-10,8.0577473322932581e-10
3.411207106689659e-13,0.9361230064190068,8.8303407882568416e-18,1.0999946689101134e-25,1.0999946660216933e-25,3.2843479920073085e-40,4.0546429687353192e-40,0.0,0.0,3.9218557120855422e-17,2.3284511331251773e-38,154.0,0.0,0.99999999668697648,1.0,19.0,7.1066075909154897e-10,6.4651842917396001e-11,1.2688554989438722e-09,1.2688555469927703e-09
4.65615935514047e-13,0.9361230064190068,1.205303873912861e-17,2.0463249176630728e-25,2.0463249137205561e-25,8.683838944501878e-40,1.0723754908671592e-39,0.0,0.0,5.7231496248008123e-17,6.1597294486696243e-38,154.0,0.0,0.99999999547800811,1.0,19.0,9.7002309490003311e-10,8.8096241624083661e-11,1.7319362903519727e-09,1.7319363596365077e-09
5.90111160359128e-13,0.9361230064190068,1.5275726874230294e-17,3.2847244665560574e-25,3.2847244615595048e-25,1.8279689441537869e-39,2.2579776317704215e-39,0.0,0.0,7.7227617860230618e-17,1.2972758623475466e-37,154.0,0.0,0.99999999426912023,1.0,19.0,1.2293854202118413e-09,1.1146016599778698e-10,2.1950170786572464e-09,2.1950171711605912e-09
7.14606385204209e-13,0.9361230064190068,1.849840519354264e-17,4.8151939796873168e-25,4.8151939736368104e-25,3.3602349148694749e-39,4.1516988436279653e-39,0.0,0.0,9.9206932396287765e-17,2.3858160138488556e-37,154.0,0.0,0.99999999306031262,1.0,19.0,1.4887477350269402e-09,1.3474388743170103e-10,2.6580978638597498e-09,2.6580979815650872e-09
9.635968348943712e-13,0.9361230064190068,2.4943732384889988e-17,8.7523405390739208e-25,8.7523405309158485e-25,8.8134724459941857e-39,1.089403621975974e-38,0.0,0.0,1.4911514620022039e-16,6.2632617064480902e-37,154.0,0.0,0.9999999906429371,1.0,19.0,2.0074723331670534e-09,1.8107172412223717e-10,3.5842594249567041e-09,3.5842595990155836e-09
1e-12,0.9361230064190066,2.5886055638923504e-17,9.425852140949392e-25,9.4258521324832392e-25,9.9509091634856168e-39,1.2300689301904794e-38,0.0,0.0,1.5707656155039528e-16,7.0724713535660174e-37,154.0,0.0,0.9999999902895359,1.0,19.0,2.083311452048868e-09,1.8781832791042872e-10,3.7196670761583404e-09,3.7196672591209589e-09
