Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125)
0.0,0.8693272349592399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0
1.3368738270953735e-21,0.8693272349592399,7.7136978068846688e-23,1.6876067443337531e-37,3.6333992590550501e-38,3.5816061375140437e-59,4.4343820364206776e-59,0.0,0.0,3.2269390179818726e-23,4.410775810249838e-41,154.0,0.0,0.99999999999999967,1.0,19.0,4.9881385472744773e-17,1.0044034996684197e-16,1.3214301825513278e-16,1.3214312766150105e-16,9.5592712488805886e-26
3.743246715867046e-21,0.8693272349592399,2.1598353859276101e-22,5.9025202440682619e-37,2.1945731524691681e-37,5.4125231998953472e-58,6.7012381397621443e-58,0.0,0.0,9.0354292594795008e-23,2.6641085916946114e-40,154.0,0.0,0.99999999999999878,1.0,19.0,1.3966787932368499e-16,2.8123297958279434e-16,3.7000045111437126e-16,3.7000075745220238e-16,5.7737998287671279e-25
8.555992493410392e-21,0.8693272349592399,4.9367665964055106e-22,1.9041232683271641e-36,1.0565925045330856e-36,5.8225454817514459e-57,7.2088862098349786e-57,0.0,0.0,2.06524097789958e-22,1.282653609074579e-39,154.0,0.0,0.99999999999999734,1.0,19.0,3.1924086702556414e-16,6.4281823751724665e-16,8.4571531683284655e-16,8.4571601703360393e-16,2.7798360708393542e-24
1.818148404849708e-20,0.8693272349592399,1.0490629017359765e-21,6.4154199320610598e-36,4.6144170589986434e-36,5.3519224539883053e-56,6.6262084344672145e-56,0.0,0.0,4.3886370964112549e-22,5.6016853147002171e-39,154.0,0.0,0.99999999999999434,1.0,19.0,6.7838684242931692e-16,1.3659887481963415e-15,1.7971450482697895e-15,1.7971465361964013e-15,1.2140274399948772e-23
3.743246715867046e-20,0.8693272349592399,2.1598353859262093e-21,2.2972229963097543e-35,1.9264282871498447e-35,4.578682370969853e-55,5.6688608656920748e-55,0.0,0.0,9.0354293918682687e-22,2.3385933667058177e-38,154.0,0.0,0.99999999999998834,1.0,19.0,1.3966787932368009e-15,2.8123297487952924e-15,3.7000045111436465e-15,3.700007574521972e-15,5.0683255386398744e-23
7.593443337901722e-20,0.8693272349592398,4.381380354304202e-21,8.6222716839411712e-35,7.870088131073927e-35,3.7857431840034975e-54,4.6871238621165805e-54,0.0,0.0,1.8329014216516938e-21,9.5539171078961407e-38,154.0,0.0,0.99999999999997635,1.0,19.0,2.8332626948516813e-15,5.705011666956243e-15,7.5057234368912484e-15,7.5057296511730234e-15,2.0705763239617989e-22
1.5293836581971072e-19,0.8693272349592399,8.8244702910502913e-21,3.3327115784873637e-34,3.1812154544591721e-34,3.0785035773372355e-53,3.8114914021752152e-53,0.0,0.0,3.6916184800752892e-21,3.8618461627360197e-37,154.0,0.0,0.99999999999995248,1.0,19.0,5.7064304980810957e-15,1.1490375171130358e-14,1.5117161288385995e-14,1.5117173804474767e-14,8.3696002835492213e-22
3.069462307010978e-19,0.8693272349592399,1.77106501645029e-20,1.3095579088920237e-33,1.2791527427409112e-33,2.4829248101990651e-52,3.0741060890303592e-52,0.0,0.0,7.4090529708979164e-21,1.5528314484828975e-36,154.0,0.0,0.99999999999990474,1.0,19.0,1.1452766104538535e-14,2.3061100850887589e-14,3.034003699137366e-14,3.0340062111076792e-14,3.3653792423623822e-21
6.149619604638719e-19,0.8693272349592398,3.5483009911249814e-20,5.1908908870599719e-33,5.1299746134122725e-33,1.9944204735644263e-51,2.4692894968911399e-51,0.0,0.0,1.4843923448444925e-20,6.2275493628749747e-36,154.0,0.0,0.99999999999980926,1.0,19.0,2.2945437317447852e-14,4.6202546896039294e-14,6.078578839734169e-14,6.0785838724275036e-14,1.3496674193403524e-20
