Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153)
0.0,0.8409530006666426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3830341779192706e-20,0.8409530006666426,7.4350380171087063e-25,2.4536204199730548e-39,2.4317634290931536e-39,9.6643148961100204e-61,1.0715391197178188e-51,0.0,0.0,3.3712045686906673e-24,3.3935457913478802e-41,154.0,0.0,0.99999999999999967,1.0,19.0,7.7944205011687292e-17,6.0088115889569204e-18,1.522967396650642e-16,1.5229674377977398e-16,1.5556590489615808e-25,1.2965038350830026e-26,1.2963599537615556e-26
1.2272495698173957e-19,0.8409530006666426,2.0818106447873731e-24,1.4749050686171801e-38,1.4687851111698357e-38,1.4604713768312905e-59,1.2721312433124322e-50,0.0,0.0,9.4393735567573587e-24,2.0497017967162309e-40,154.0,0.0,0.999999999999999,1.0,19.0,2.182437740327211e-16,1.6824671921729404e-17,4.2643087102017193e-16,4.2643088254137309e-16,9.3961804099758318e-25,7.8308831627336279e-26,7.8291749670859007e-26
2.805141873868333e-19,0.8409530006666426,4.7584243309281188e-24,7.0855565259413933e-38,7.0715680517664515e-38,1.5711087061435923e-58,1.2489859984843387e-49,0.0,0.0,2.1575714590584702e-23,9.8684332423044335e-40,154.0,0.0,0.99999999999999756,1.0,19.0,4.9884291207477528e-16,3.8456390477874646e-17,9.7469913356235583e-16,9.7469915989666237e-16,4.5238561457521174e-24,3.7702331506698068e-25,3.7685562832796039e-25
5.960926481970207e-19,0.8409530006666426,1.0111651703160572e-23,3.0913121056812191e-37,3.0883395549106512e-37,1.4441200286789919e-57,1.1047139714028244e-48,0.0,0.0,4.5848408889015209e-23,4.3098053054142282e-39,154.0,0.0,0.99999999999999478,1.0,19.0,1.0600411881588305e-15,8.1719819152567943e-17,2.0712356579745974e-15,2.0712357139361403e-15,1.9756866112654818e-23,1.6465598687454625e-24,1.6450772841966354e-24
1.2272495698173956e-18,0.8409530006666426,2.0818106447429327e-23,1.2899329658251945e-36,1.2893209700713016e-36,1.2354758580453341e-56,9.2857865698861649e-48,0.0,0.0,9.4393846408979501e-23,1.7992599139214524e-38,154.0,0.0,0.99999999999998923,1.0,19.0,2.1824377403267269e-15,1.6824664275157887e-16,4.264308704110577e-15,4.2643088193349819e-15,8.2481008493534804e-23,6.8740633173205181e-24,6.8616117193662699e-24
2.4895634130581454e-18,0.8409530006666425,4.2231015935182216e-23,5.2685383348240611e-36,5.2672968576660123e-36,1.0215166039440018e-55,7.6130488534925981e-47,0.0,0.0,1.9148491714132071e-22,7.3505723117891325e-38,154.0,0.0,0.99999999999997802,1.0,19.0,4.427230844661666e-15,3.4130015494820346e-16,8.6504547856285225e-15,8.6504550194463694e-15,3.3696168238367211e-22,2.8082791531513582e-23,2.7980878556336454e-23
5.014191099539645e-18,0.8409530006666426,8.5056834907549588e-23,2.1293756506169418e-35,2.1291256065796355e-35,8.3068240744767637e-55,6.165244342897224e-46,0.0,0.0,3.856678413756503e-22,2.9712257092231347e-37,154.0,0.0,0.99999999999995559,1.0,19.0,8.916817053328127e-15,6.8740663933670581e-16,1.7422746905648349e-14,1.742274737719555e-14,1.3620517813993437e-21,1.1351513284543603e-22,1.1269260860150877e-22
1.0063446472502646e-17,0.8409530006666426,1.7070847283973052e-22,8.5616222577520611e-35,8.5611204207452508e-35,6.6997879429858627e-54,4.9623250107947859e-45,0.0,0.0,7.7403682092287258e-22,1.1947223027415685e-36,154.0,0.0,0.99999999999991085,1.0,19.0,1.7895989470647383e-14,1.379617448101464e-15,3.4967330973623769e-14,3.4967331924944885e-14,5.4767405421674823e-21,4.5643935195434287e-22,4.4986352687013579e-22
2.0161957218428644e-17,0.8409530006666425,3.4201174865387746e-22,3.4334927359702474e-34,3.4333921934140095e-34,5.3816876698580174e-53,3.9819533040194931e-44,0.0,0.0,1.5507873043313632e-21,4.7914150057992215e-36,154.0,0.0,0.99999999999982137,1.0,19.0,3.5854334305231207e-14,2.7640304256359158e-15,7.0056498421317678e-14,7.0056500366182031e-14,2.1964100777334228e-20,1.8305259116077394e-21,1.7784606157738372e-21
