Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152)
0.0,1.3781877828069327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1006628893993737e-26,1.3781877828069327,6.9553111968293444e-21,2.8102489239357071e-32,4.0787360577034406e-40,4.7426034636119069e-62,9.7862185377220743e-59,0.0,0.0,2.6441781202383075e-23,6.7249671074706654e-45,154.0,0.0,0.99999999999999978,1.0,19.0,1.8416413239628581e-19,2.3451953865965082e-16,5.2186504384460652e-19,5.2884679682263809e-19,2.6713336274413433e-30,1.1166823550691291e-35,1.1316218395881793e-35,5.0152786866781893e-36
3.081856090318246e-26,1.3781877828069327,1.9474871351122165e-20,7.8686971191710278e-32,2.463556578852878e-39,7.1670223542103095e-61,1.1619269235618278e-57,0.0,0.0,7.4036987366672637e-23,4.0618801329122923e-44,154.0,0.0,0.99999999999999933,1.0,19.0,5.1565957070960021e-19,6.5665470824701299e-16,1.4612221227648974e-18,1.4807710311033861e-18,1.6134855109745522e-29,6.7447614246174964e-35,6.8349959070055415e-35,3.0292283267534774e-35
7.044242492155992e-26,1.3781877828069327,4.4513991659707773e-20,1.798559403824586e-31,1.1860964455801597e-38,7.7099555987245924e-60,1.1408336562010015e-56,0.0,0.0,1.692273996952518e-22,1.955620434852484e-43,154.0,0.0,0.99999999999999845,1.0,19.0,1.1786504473362282e-18,1.5009250474217002e-15,3.3399362806054745e-18,3.3846194996648776e-18,7.7682381885991424e-29,3.2473122885409621e-34,3.2907563033618358e-34,1.4584430420857938e-34
1.4969015295831483e-25,1.3781877828069327,9.4592232276878917e-20,3.8219389990812296e-31,5.1799947932833597e-38,7.0867775036059813e-59,1.009073080396744e-55,0.0,0.0,3.5960822435241051e-22,8.5407082264878956e-43,154.0,0.0,0.99999999999999678,1.0,19.0,2.5046322005894825e-18,3.1894657257709267e-15,7.097364596286618e-18,7.1923164367878487e-18,3.3925937068502114e-28,1.4181865909377272e-33,1.4371597299110454e-33,6.3694039320789934e-34
3.0818560903182467e-25,1.3781877828069327,1.9474871351122084e-19,7.8686990353612272e-31,2.1625458577943567e-37,6.0628873566398711e-58,8.481941122176895e-55,0.0,0.0,7.4036987366672934e-22,3.5655775603810831e-42,154.0,0.0,0.99999999999999334,1.0,19.0,5.1565957070959817e-18,6.5665470824687859e-15,1.4612221227648849e-17,1.4807710311033735e-17,1.4163410892691349e-27,5.9206498465759212e-33,5.9998589362030452e-33,2.6591007596747008e-33
6.251765211788444e-25,1.3781877828069327,3.9506167597990342e-19,1.5962222490988058e-30,8.8347054504278953e-37,5.0129125112156133e-57,6.9540371848213371e-54,0.0,0.0,1.5018931722953724e-21,1.4566547753466915e-41,154.0,0.0,0.99999999999998657,1.0,19.0,1.0460522720108945e-17,1.3320709795862135e-14,2.9641934490373104e-17,3.0038498059525287e-17,5.7862154903808034e-27,2.4187786483734282e-32,2.4511381209130992e-32,1.0863294246474854e-32
1.2591583454728838e-24,1.3781877828069327,7.9568760091726304e-19,3.2149282934509055e-30,3.5711291978500774e-36,4.0764172017763697e-56,5.631571334187336e-53,0.0,0.0,3.0249397695526814e-21,5.8880315010126782e-41,154.0,0.0,0.99999999999997302,1.0,19.0,2.1068376746134723e-17,2.682903522263934e-14,5.9701361015820751e-17,6.0500073556507515e-17,2.3388808148371669e-26,9.7770900261564767e-32,9.9078919850561476e-32,4.3911172235492628e-32
2.527121994060962e-24,1.3781877828069327,1.5969394507919604e-18,6.4523457950620422e-30,1.4359353440586829e-35,3.2877781515872992e-55,4.5327832294217922e-52,0.0,0.0,6.0710329640673862e-21,2.3675515700542498e-40,154.0,0.0,0.99999999999994582,1.0,19.0,4.22840847981857e-17,5.3845686076155817e-14,1.1982021406671259e-16,1.2142322455046845e-16,9.4045368887373714e-26,3.9313248983116799e-31,3.9839196274931181e-31,1.7656489227480805e-31
5.06304929123712e-24,1.3781877828069327,3.1994431505412685e-18,1.2927202449912066e-29,5.7587429674547859e-35,2.6409222084008201e-54,3.6372749491980055e-51,0.0,0.0,1.2163219353097147e-20,9.4949407092414061e-40,154.0,0.0,0.99999999999989153,1.0,19.0,8.4715500902285356e-17,1.0787898778303698e-13,2.4005792016848272e-16,2.4326952653837643e-16,3.7716399205706067e-25,1.5766371170252416e-30,1.5977298248791117e-30,7.0810418859543913e-31
