Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118)
0.0,0.904147409683162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.973699232609289e-22,0.904147409683162,1.9226078242936812e-22,8.0750231434355001e-37,5.4394093952288289e-38,6.088227795202497e-59,4.3587607635010555e-52,0.0,0.0,4.7775471813181452e-23,3.9404853317356144e-41,154.0,0.0,0.99999999999999956,1.0,19.0,4.2417988880697063e-17,1.6963944291338393e-16,1.1602395844080218e-16,1.1602419847696143e-16,7.504664109779195e-26,1.5215020455744784e-28,1.5214962190240435e-28,9.5002778626895813e-29,1.0627305597863492e-25
1.6726357851306008e-21,0.904147409683162,5.3833019080222019e-22,2.4372433445673509e-36,3.2854032747181336e-37,9.2005298469809633e-58,5.1747210195350128e-51,0.0,0.0,1.3377132112460233e-22,2.3800531411084203e-40,154.0,0.0,0.99999999999999878,1.0,19.0,1.1877036886595155e-16,4.7499043955844849e-16,3.2486708363375274e-16,3.2486775573469096e-16,4.5328171175365817e-25,9.1898723551626026e-28,9.1897848251956234e-28,5.7381678259307429e-28,6.4188925743547105e-25
3.8231675088699446e-21,0.904147409683162,1.2304690075478824e-21,6.4016728626365492e-36,1.5817802521324246e-36,9.897510171578928e-57,5.0805718883079616e-50,0.0,0.0,3.0576301993822117e-22,1.1458931355779655e-39,154.0,0.0,0.99999999999999722,1.0,19.0,2.7147512883645981e-16,1.0856924304524711e-15,7.4255333401768062e-16,7.4255487024694563e-16,2.1823563159687119e-24,4.424527948369714e-27,4.4244324992465765e-27,2.7626807977694853e-27,3.0904204577264465e-24
8.124230956348633e-21,0.904147409683162,2.6147466410390381e-21,1.7150321729260993e-35,6.9080499319393859e-36,9.0975170502850486e-56,4.4937083415208722e-49,0.0,0.0,6.497464183285668e-22,5.0044163827621943e-39,154.0,0.0,0.999999999999994,1.0,19.0,5.7688464877747304e-16,2.3070964026560929e-15,1.5779258347776427e-15,1.5779290992586377e-15,9.5309233454837815e-24,1.9323075977133563e-26,1.9322190774666682e-26,1.2065352837042432e-26,1.3496678004586653e-23
1.6726357851306007e-20,0.904147409683162,5.3833019080206732e-21,4.9926778784451309e-35,2.8839748613492209e-35,7.7831173923000718e-55,3.7772326439230791e-48,0.0,0.0,1.3377132181616901e-21,2.0892453331965587e-38,154.0,0.0,0.99999999999998757,1.0,19.0,1.1877036886594864e-15,4.7499043087256387e-15,3.2486708362659926e-15,3.2486775572307561e-15,3.9789728444627144e-23,8.0670038441398043e-26,8.0662429000902757e-26,5.0370472790820185e-26,5.6345973337572426e-23
3.393061164122076e-20,0.904147409683162,1.0920412441981244e-20,1.605963301825757e-34,1.1781978326432106e-34,6.4352320039862935e-54,3.0968035388912197e-47,0.0,0.0,2.7136468300376667e-21,8.535248935239221e-38,154.0,0.0,0.9999999999999748,1.0,19.0,2.4093417684234614e-15,9.6355199675139451e-15,6.5901608391163957e-15,6.5901744729699504e-15,1.6255402084955384e-22,3.2956342895294617e-25,3.2950036145569955e-25,2.0577981491571439e-25,2.301916821938242e-22
6.833911922105027e-20,0.904147409683162,2.1994633509891584e-20,5.6240198212962336e-34,4.7624640171661217e-34,5.2330238461725709e-53,2.5078717984868549e-46,0.0,0.0,5.4655141026285361e-21,3.450084123027655e-37,154.0,0.0,0.99999999999994926,1.0,19.0,4.8526179279512043e-15,1.9406750671687467e-14,1.3273140844312014e-14,1.3273168303628344e-14,6.5706931885546551e-22,1.3321480719566963e-24,1.3316346630085597e-24,8.3179489776615646e-25,9.3047155053320037e-22
1.3715613438070929e-19,0.904147409683162,4.414307564566906e-20,2.087879482625506e-33,1.9149658352216534e-33,4.2206233986099645e-52,2.0185534043896208e-45,0.0,0.0,1.096924884316594e-20,1.3872636812131182e-36,154.0,0.0,0.99999999999989808,1.0,19.0,9.7391702470058571e-15,3.8949209626422439e-14,2.6639100852682493e-14,2.6639155961666511e-14,2.6420466426075206e-21,5.3565088030754237e-24,5.3523668447750809e-24,3.3446105757201792e-24,3.7413849126454785e-21
2.7479016470002727e-19,0.904147409683162,8.8439959917051184e-20,8.0262992700131558e-33,7.679869488616977e-33,3.3902343814615084e-51,1.619761983386522e-44,0.0,0.0,2.1976719105663417e-20,5.563548066044453e-36,154.0,0.0,0.99999999999979572,1.0,19.0,1.9512274885111845e-14,7.8034117721446525e-14,5.3371020861340426e-14,5.3371131264639321e-14,1.0595787200720805e-20,2.1481996023266694e-23,2.1448739055692898e-23,1.3413383323447126e-23,1.5004624722012774e-20
