Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150)
0.0,0.6093546562984798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5768684933618446e-25,0.6093546562984798,3.0489214195871813e-21,3.6181007996915756e-33,4.3197246628469735e-39,1.8543119140669517e-60,4.0146740123148206e-56,0.0,0.0,6.8734507655353719e-23,3.4959726390767589e-43,154.0,0.0,0.99999999999999967,1.0,19.0,9.5326169223515866e-19,2.4987336390717865e-16,5.5838367526436521e-18,5.5869544085708927e-18,6.0754584663516878e-29,5.8124889486371184e-33,5.8157342093264153e-33,2.8390459225499649e-33,1.6137489501256041e-28,3.0181023131496653e-48,5.2109541674064394e-35
7.2152317814131655e-25,0.6093546562984798,8.5369799748441056e-21,1.013069623504432e-32,2.6091136963595715e-38,2.8022361645380748e-59,4.766274129242471e-55,0.0,0.0,1.9245662143500126e-22,2.1115674740026034e-42,154.0,0.0,0.99999999999999933,1.0,19.0,2.6691327382584438e-18,6.9964541893937067e-16,1.5634742907402198e-17,1.5643472343998461e-17,3.6695769136732261e-28,3.5107433249766187e-32,3.5127034303641327e-32,1.7147837372188803e-32,9.7470436587501659e-28,3.5830907576042472e-47,3.1474163171134808e-34
1.6491958357515806e-24,0.6093546562984798,1.9513097085357947e-20,2.3155943089381442e-32,1.2561759319558993e-37,3.0145177924606823e-58,4.6795794901418404e-54,0.0,0.0,4.3990084899433964e-22,1.0166288434438793e-41,154.0,0.0,0.99999999999999845,1.0,19.0,6.1008748303050117e-18,1.5991895290008366e-15,3.5736555216919185e-17,3.5756508214853458e-17,1.7667433220102813e-27,1.6902717862633731e-31,1.6912154599685902e-31,8.2559455427558281e-32,4.6927819469525347e-27,3.5178990996496126e-46,1.5153454718817812e-33
3.5045411509721084e-24,0.6093546562984798,4.1465331306385586e-20,4.9206660732582203e-32,5.4860503218156468e-37,2.770861206952654e-57,4.1390443125419859e-53,0.0,0.0,9.3478930411318962e-22,4.4398852516311634e-41,154.0,0.0,0.99999999999999656,1.0,19.0,1.2964359014398134e-17,3.3982777491120953e-15,7.5940179835952701e-17,7.5982579956562837e-17,7.7158322522171513e-27,7.3818609647660301e-31,7.3859819487747405e-31,3.6055883216183364e-31,2.0494611666463715e-26,3.1115407519944666e-45,6.6179117926060631e-33
7.215231781413165e-24,0.6093546562984798,8.5369799748440671e-20,1.0130899175708983e-31,2.2903180162414557e-36,2.3705300992014877e-56,3.47911980754396e-52,0.0,0.0,1.9245662143515823e-21,1.8535646932418007e-40,154.0,0.0,0.99999999999999278,1.0,19.0,2.6691327382584322e-17,6.9964541892879209e-15,1.5634742907401792e-16,1.5643472343997921e-16,3.221208078815122e-26,3.0817816405646006e-30,3.0835018304220718e-30,1.5052621481178845e-30,8.5560969334476442e-26,2.6154355304578478e-44,2.76284789955879e-32
1.4636613042295277e-23,0.6093546562984798,1.7317873663255014e-19,2.0551723675852944e-31,9.3566964087129745e-36,1.9600001275783238e-55,2.852394076926399e-51,0.0,0.0,3.9041200348311399e-21,7.572416575173758e-40,154.0,0.0,0.99999999999998523,1.0,19.0,5.4145264118956493e-17,1.4192807069452805e-14,3.1716192755014109e-16,3.1733901040680228e-16,1.3159686056079283e-25,1.2590083562282235e-29,1.2597109139098288e-29,6.1494870299268201e-30,3.495444775829894e-25,2.14428885818564e-43,1.1287135164768157e-31
2.9479375564059506e-23,0.6093546562984798,3.4879661040076629e-19,4.1394805857110603e-31,3.7821262891062728e-35,1.5938395528901528e-54,2.3099432588769271e-50,0.0,0.0,7.8632276758013405e-21,3.060891852221344e-39,154.0,0.0,0.99999999999997014,1.0,19.0,1.0905313759170001e-16,2.8585512829035504e-14,6.3879092450235844e-16,6.3914758434041001e-16,5.3193555089870706e-25,5.0891130739818271e-29,5.0919513398432901e-29,2.4857209792706697e-29,1.4129146657021746e-24,1.7364955164348323e-42,4.5624404993636434e-31
5.916490060758796e-23,0.6093546562984798,7.0003235793718728e-19,8.308670294350488e-31,1.5207763464538716e-34,1.2854893402119046e-53,1.8592435277718676e-49,0.0,0.0,1.5781442957786094e-20,1.2307711514961523e-38,154.0,0.0,0.99999999999993994,1.0,19.0,2.1886888453718364e-16,5.7370924345212623e-14,1.2820489184066769e-15,1.2827647322074719e-15,2.1388894546613574e-24,2.0463099843076706e-28,2.0474499641819546e-28,9.9949747311511886e-29,5.6812677282068593e-24,1.3976742999830167e-41,1.8345372584515154e-30
1.1853595069464485e-22,0.6093546562984798,1.4025038530099847e-18,1.6649342801180923e-30,6.0989933331252071e-34,1.0325749459721735e-52,1.4919259329067609e-48,0.0,0.0,3.1617873521932987e-20,4.9359427934266326e-38,154.0,0.0,0.99999999999987954,1.0,19.0,4.3850037842813746e-16,1.1494174736561376e-13,2.5685649062148501e-15,2.5699990279409805e-15,8.5779033538643239e-24,8.2066182715196161e-28,8.2111798792887458e-28,4.0084319029488314e-28,2.2784424596502873e-23,1.1215321813930093e-40,7.3573149232313874e-30
