Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450)
0.0,1.1180450815602494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2443456085971642e-22,1.1180450815602494,5.6602224907574887e-22,6.8428242842770151e-36,4.5224023755203457e-38,3.9423848811824956e-59,6.917193476059173e-53,0.0,0.0,5.4802857826602441e-23,1.3037466240455446e-41,154.0,0.0,0.99999999999999967,1.0,19.0,2.3838465395534185e-17,2.7396262231387753e-16,5.8635041987975378e-17,5.8635662813074359e-17,2.682978767839288e-26,1.3661877036290244e-29,1.3661997877718418e-29,8.0254847829444433e-30,4.4344489703414781e-26,9.5944385781138125e-43,2.8707775074493452e-32,8.6748495111230323e-32,9.1566965422858037e-44,9.156696542284346e-44,1.2532804298742512e-56,1.0571045832772389e-42,2.0359877585877574e-57,2.1144767547043124e-33,2.3329173665524614e-101
3.48416770407206e-22,1.1180450815602494,1.5848622974122355e-21,1.9306433832942526e-35,2.7315310348144842e-37,5.9577320328786949e-58,8.2120935993712636e-52,0.0,0.0,1.5344800192790191e-22,7.874629609872094e-41,154.0,0.0,0.99999999999999878,1.0,19.0,6.6747703107495652e-17,7.6709534224409168e-16,1.6417811756628634e-16,1.6417985587653775e-16,1.6205191753610898e-25,8.2517737298829061e-29,8.2518328323078606e-29,4.8473928081521334e-29,2.6784071774022544e-25,1.1390450219217848e-41,1.7339496144987825e-31,5.2396091047117717e-31,1.0870830134989282e-42,1.0870830134986023e-42,2.8035381879105217e-55,1.2549945609729908e-41,4.5544231753529995e-56,1.2771439598417031e-32,2.485904488445616e-99
7.963811895021852e-22,1.1180450815602494,3.6225423940857618e-21,4.4819756278141224e-35,1.3151146108016094e-36,6.409056255078602e-57,8.0626828522186901e-51,0.0,0.0,3.5073829018416133e-22,3.7912951836781665e-40,154.0,0.0,0.99999999999999734,1.0,19.0,1.5256617853141838e-16,1.7533607811654574e-15,3.752642687227295e-16,3.7526824200318285e-16,7.8021022506690422e-25,3.9728738420986026e-28,3.9728881541591153e-28,2.333810973760779e-28,1.2895377595493042e-24,1.1183069101008164e-40,8.3482209916533699e-31,2.5226462378247699e-30,1.0673045489649823e-41,1.0673045489643384e-41,5.5393190119060975e-54,1.2321611013573332e-40,8.9987727038065876e-55,6.1488984026846177e-32,5.6573369854100812e-97
1.6923100276921436e-21,1.1180450815602494,7.6979025874350307e-21,9.8190814560010606e-35,5.7434510169138637e-36,5.8910268833599946e-56,7.1313519376498486e-50,0.0,0.0,7.4531886691132182e-22,1.6557582135225212e-39,154.0,0.0,0.99999999999999434,1.0,19.0,3.2420312937926281e-16,3.7258916552519393e-15,7.9743657103490043e-16,7.9744501425534605e-16,3.4073830287413679e-24,1.7350583835524398e-27,1.7350522076434937e-27,1.0192365662771633e-27,5.6317501817316979e-24,9.8910445455113443e-40,3.6458874344510313e-30,1.1017058879024902e-29,9.4401878671540985e-41,9.4401878671426384e-41,9.8569221783437572e-53,1.0898325392632064e-39,1.6012835206876675e-53,2.6853854784791018e-31,9.5606494031359998e-95
3.48416770407206e-21,1.1180450815602494,1.5848622974142428e-20,2.1431058468964749e-34,2.3977777395036089e-35,5.0398975291986027e-55,5.9943311036016647e-49,0.0,0.0,1.5344800212242094e-21,6.9124646095480173e-39,154.0,0.0,0.99999999999998834,1.0,19.0,6.6747703107494781e-16,7.6709533883999068e-15,1.6417811756563806e-15,1.6417985587551651e-15,1.4225153369353154e-23,7.2435272041332968e-27,7.2433975719181854e-27,4.2551120215061159e-27,2.351144834533269e-23,8.3135926134212246e-39,1.5220862344409695e-29,4.5994052107062171e-29,7.9350467162534688e-40,7.9350467162341441e-40,1.6625139841328446e-51,9.1606991472527122e-39,2.7007987004337193e-52,1.1210955753483888e-30,1.3998896719109598e-92
7.067883056831893e-21,1.1180450815602494,3.2150063747592665e-20,4.8406073921259514e-34,9.7957044414951306e-35,4.1670847442573251e-54,4.9145148422813928e-48,0.0,0.0,3.1128023332842509e-21,2.8239673450463647e-38,154.0,0.0,0.99999999999997635,1.0,19.0,1.3540248344663028e-15,1.5561076794595852e-14,3.3304703848878952e-15,3.3305056477367732e-15,5.8114392814119061e-23,2.9592172131386835e-26,2.9590793909505239e-26,1.7383520971102276e-26,9.6051937669313608e-23,6.8152865080667373e-38,6.2182189121621475e-29,1.8790071034300652e-28,6.5056307131849655e-39,6.5056307131532238e-39,2.7306841682889519e-50,7.5104945965121162e-38,4.4360699566427459e-51,4.5800412297949658e-30,1.9142307150063867e-90
1.4235313762351558e-20,1.1180450815602492,6.4752945294634907e-20,1.1736035053138394e-33,3.9595803551010414e-34,3.3886041170575192e-53,3.9799015531703469e-47,0.0,0.0,6.2694469711414019e-21,1.1414927553575577e-37,154.0,0.0,0.99999999999995248,1.0,19.0,2.7271204412489529e-15,3.1341323366587794e-14,6.7078488033051439e-15,6.7079198256278776e-15,2.3490766540174749e-22,1.1961629111833362e-25,1.1960385979557554e-25,7.0266970782296722e-26,3.8825728606306414e-22,5.5180638815321899e-37,2.5135035050318589e-28,7.5952471391294844e-28,5.2684284211944855e-38,5.2684284211430285e-38,4.426556570987713e-49,6.0821931975185998e-37,7.1910605019637045e-50,1.8513258936568343e-29,2.5317533694869619e-88
2.857017517339089e-20,1.1180450815602492,1.2995870838928644e-19,3.1528588657429419e-33,1.5921298459268127e-33,2.7330319942802451e-52,3.2033710201988044e-46,0.0,0.0,1.2582736301803966e-20,4.589892189842014e-37,154.0,0.0,0.99999999999990463,1.0,19.0,5.4733116548140098e-15,6.2901815548971911e-14,1.3462605639956505e-14,1.3462748181121666e-14,9.4455337452080978e-22,4.8097184552656566e-25,4.8086669791450139e-25,2.8254039609628749e-25,1.5611654439031037e-21,4.4395969549784462e-36,1.0106687045585833e-27,3.0540154692736382e-27,4.2404895359544527e-37,4.2404895358715828e-37,7.1288324467998103e-48,4.8954781445942483e-36,1.1580981053936959e-48,7.4440999942417592e-29,3.2938805437945306e-86
5.723989799546956e-20,1.1180450815602494,2.6037023458085778e-19,9.5120488995493539e-33,6.3851527797067506e-33,2.1953199477621415e-51,2.5705035051041131e-45,0.0,0.0,2.5209315182922148e-20,1.8407520763046842e-36,154.0,0.0,0.99999999999980904,1.0,19.0,1.0965694081943157e-14,1.2602279606734131e-13,2.6972119312526699e-14,2.6972404890955864e-14,3.7880813617455121e-21,1.9289122193170401e-24,1.9280482244019713e-24,1.1331133338394329e-24,6.2609714603484153e-21,3.5595780889187403e-35,4.05323353770813e-27,1.2247967971506979e-26,3.4027257953602248e-36,3.4027257952272013e-36,1.144335343822371e-46,3.928312776815157e-35,1.8590038761351633e-47,2.985417043295752e-28,4.2505783500596754e-84
