Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200)
0.0,0.9205738807857717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.065046830129726e-22,0.9205738807857717,3.1041136212147385e-22,1.7339136198193081e-36,8.2920553456127613e-38,1.1170888056484239e-58,5.6968821087647481e-52,0.0,0.0,6.334644423915008e-23,4.9505902259804487e-41,154.0,0.0,0.99999999999999933,1.0,19.0,4.5777212938233031e-17,2.3669165452043494e-16,1.2625651066296466e-16,1.2625688442068537e-16,9.0105263362829543e-26,1.3967199283955174e-28,1.3967164514233266e-28,8.5930714657484421e-29,1.3245926046554948e-25,2.8974848009026053e-41,2.069277064076995e-31,3.1599879388950982e-31,9.374850538590902e-43,9.3748505385835133e-43,6.3805439819089634e-55,6.0636157719688825e-42,1.0104746009694704e-55,1.5175101590467995e-32,1.2089087759919313e-98,1.1362640279501962e-98,1.1362640279501984e-98,1.8139559045942116e-46
1.4182131124363234e-21,0.9205738807857717,8.6915181394045492e-22,5.1236207286920763e-36,5.0084014287516528e-37,1.6881446039024421e-57,6.7633388788854065e-51,0.0,0.0,1.7737004396727537e-22,2.9901564979428908e-40,154.0,0.0,0.99999999999999845,1.0,19.0,1.2817619622705227e-16,6.6273663192221521e-16,3.5351822985584706e-16,3.535192763771877e-16,5.4423579020784072e-25,8.4361883674111742e-28,8.4361229755928194e-28,5.1902151627237157e-28,8.0005393247152829e-25,3.4398446810833614e-40,1.2498433467003466e-30,1.9086327150851163e-30,1.1129822559374946e-41,1.1129822559358411e-41,1.4273021621753498e-53,7.1987246383770847e-41,2.2603912616068708e-54,9.1657613606411333e-32,1.2881861121341066e-96,1.2107774958636446e-96,1.2107774958636492e-96,2.1535288101060093e-45
3.2416299712830252e-21,0.9205738807857717,1.9866327175797309e-21,1.2977685319230928e-35,2.4113296945065089e-36,1.8160289322281256e-56,6.6402864098704832e-50,0.0,0.0,4.0541724381414652e-22,1.4396316398889647e-39,154.0,0.0,0.99999999999999656,1.0,19.0,2.9297416280468983e-16,1.5148265837857644e-15,8.0804166823979544e-16,8.0804406028726653e-16,2.620261051036335e-24,4.0616615516275357e-27,4.0615848549296327e-27,2.4988651783571314e-27,3.8519152832323202e-24,3.3771555374303508e-39,6.0174577023035216e-30,9.1892449261940917e-30,1.0927325787657009e-40,1.092732578762434e-40,2.8201085324393505e-52,7.0677505248833757e-40,4.4661522167424108e-53,4.4129195425057864e-31,2.9316101926139065e-94,2.7554462933787405e-94,2.7554462933787612e-94,2.1143475138579499e-44
6.888463688976428e-21,0.9205738807857717,4.2215945248635336e-21,3.2984415991491997e-35,1.0530910288952159e-35,1.6692434662549875e-55,5.8732582071465476e-49,0.0,0.0,8.6151164507037116e-22,6.2872496094480279e-39,154.0,0.0,0.99999999999999267,1.0,19.0,6.2257009595996125e-16,3.2190064757528191e-15,1.7170885450004277e-15,1.7170936280957217e-15,1.1443368369013619e-23,1.7738343089107903e-26,1.7737610894110662e-26,1.0913200721381197e-26,1.6822325964364245e-23,2.9868701819936817e-38,2.6279818713443238e-29,4.0131846822801601e-29,9.66509591100413e-40,9.6650959109459993e-40,5.0182323876061566e-51,6.2513452765295759e-39,7.9472792166119556e-52,1.9272379019870518e-30,4.9542916234135765e-92,4.6565824216500687e-92,4.6565824216501375e-92,1.8701164945040941e-43
1.4182131124363233e-20,0.9205738807857715,8.6915181394521468e-21,9.019228330082841e-35,4.3964477442654421e-35,1.4280729346514928e-54,4.9368274437885317e-48,0.0,0.0,1.7737004538327508e-21,2.6248029580180105e-38,154.0,0.0,0.99999999999998501,1.0,19.0,1.28176196227049e-15,6.6273662126467555e-15,3.5351822984926339e-15,3.5351927636658249e-15,4.777380993238063e-23,7.4054090589893886e-26,7.404771416292721e-26,4.5560464550324358e-26,7.0229898865989526e-23,2.5103321096161634e-37,1.0971306993435098e-28,1.6754256050972286e-28,8.1240954786597371e-39,8.1240954785616931e-39,8.4639821723141631e-50,5.2546323380371446e-38,1.3404247904814921e-50,8.0458388632446768e-30,7.2541742537708115e-90,6.8182624038671018e-90,6.8182624038673015e-90,1.571945621526054e-42
2.8769465995136846e-20,0.9205738807857717,1.7631365368713413e-20,2.733856417794048e-34,1.7960923560993568e-34,1.1807583279476372e-53,4.0475094210524309e-47,0.0,0.0,3.5980780963572283e-21,1.072317662411807e-37,154.0,0.0,0.99999999999996958,1.0,19.0,2.6001456948914889e-15,1.344408549827393e-14,7.1713698053608089e-15,7.1713910346188167e-15,1.9517159870581443e-22,3.0253512325472784e-25,3.0248194825686542e-25,1.8612936211960584e-25,2.8691204779404618e-22,2.0576100522131584e-36,4.482136891618389e-28,6.8446602742757424e-28,6.6606243101622586e-38,6.6606243100012193e-38,1.3902115379323873e-48,4.3080649987797929e-37,2.2016517129385618e-49,3.2869877048835586e-29,9.9194696882334065e-88,9.3233971056732927e-88,9.323397105673843e-88,1.2887760034899437e-41
5.794413573668408e-20,0.9205738807857718,3.5511059827572095e-20,9.1488285418134437e-34,7.2600924738906873e-34,9.6017307796413304e-53,3.2777780727812949e-46,0.0,0.0,7.2468334814050613e-21,4.3344795118597339e-37,154.0,0.0,0.99999999999993872,1.0,19.0,5.2369131601332579e-15,2.707752331688555e-14,1.4443744818632214e-14,1.4443787575776094e-14,7.8891478233588278e-22,1.2228953389171378e-24,1.2224611546586178e-24,7.5236462842227597e-25,1.1597443338882689e-21,1.665477479895574e-35,1.8117513946887924e-27,2.7667211191927823e-27,5.3939462540397813e-37,5.3939462537787324e-37,2.2535925666682359e-47,3.4887826273590102e-36,3.5689722034956276e-48,1.328652984718152e-28,1.3119448249130742e-85,1.2331085196958024e-85,1.2331085196959478e-85,1.0436842255392097e-40
1.1629347521977853e-19,0.9205738807857717,7.1270448746634041e-20,3.2983192608057479e-33,2.9192512527661235e-33,7.7441439658001495e-52,2.6382409551964545e-45,0.0,0.0,1.4544344651496228e-20,1.7428752055238896e-36,154.0,0.0,0.9999999999998771,1.0,19.0,1.0510448090615871e-14,5.4344395943538186e-14,2.8988494843315252e-14,2.8988580655096994e-14,3.1721914419000493e-21,4.9172083690105592e-24,4.9137002738928629e-24,3.0252249778323554e-24,4.6632806649402528e-21,1.339189407513217e-34,7.2849726734651369e-27,1.1124863932468991e-26,4.3415172068807883e-36,4.3415172064603772e-36,3.629340566380488e-46,2.8080756102729792e-35,5.7477193902471023e-47,5.3424552152091994e-28,1.7068761846711011e-83,1.6043079902637209e-83,1.6043079902640995e-83,8.400478650773355e-40
2.3299215418596745e-19,0.9205738807857717,1.4278922659013625e-19,1.246696000166767e-32,1.1707503191119436e-32,6.2205179722389906e-51,2.1170222167855431e-44,0.0,0.0,2.9139368591660592e-20,6.9897095556503707e-36,154.0,0.0,0.99999999999975386,1.0,19.0,2.1057517951577407e-14,1.0887812915456371e-13,5.80779948852422e-14,5.8078166801773415e-14,1.2721904874014546e-20,1.9720204803774183e-23,1.9692015026701686e-23,1.2132504401059457e-23,1.8701838809787528e-20,1.0724840011521608e-33,2.921599869738729e-26,4.4615680062226733e-26,3.4837941375709122e-35,3.4837941368960589e-35,5.825892857380544e-45,2.2533035652853807e-34,9.226361527614312e-46,2.1425634883992272e-27,2.2026332938852594e-81,2.0702744726111684e-81,2.070274472612145e-81,6.7408550848871291e-39
