Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533)
0.0,0.6373761490644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.366686387224184e-22,0.6373761490644,1.9739807929865304e-22,1.1602823350192264e-36,8.3821492003168604e-38,1.3885602796643547e-58,1.0138123681267557e-51,0.0,0.0,7.031009946975131e-23,8.7023917592121206e-41,154.0,0.0,0.99999999999999956,1.0,19.0,4.4580705854524933e-17,1.7565226073260318e-16,1.7271182851851906e-16,1.727120962264843e-16,8.2747697052192379e-26,3.4216498834798253e-28,3.4216337846557226e-28,2.1383129605921832e-28,1.1692509921657712e-25,8.0030856039892456e-41,4.5090058551178202e-31,4.033865331231205e-31,1.3270315797401293e-42,1.3270315797382284e-42,1.6429705142076717e-54,5.2126034551821917e-42,2.5801966589539732e-55,3.3009235901992457e-32,4.3976450658982468e-98,4.1427374205047195e-98,4.1427374205047273e-98,7.027119549553523e-46,2.9431500724496015e-48
1.7826721884227715e-21,0.6373761490644,5.5271462203658759e-22,3.5203721721443777e-36,5.062818116994069e-37,2.0983922966197013e-57,1.2035980984504842e-50,0.0,0.0,1.9686827872845635e-22,5.2562446275250849e-40,154.0,0.0,0.99999999999999845,1.0,19.0,1.2482597639266952e-16,4.9182632939161422e-16,4.8359311985074255e-16,4.8359386943235377e-16,4.9979608963586498e-25,2.0666765295946795e-27,2.0666543241259897e-27,1.2915410274479818e-27,7.0622759847770852e-25,9.5011199485550973e-40,2.7234395364826913e-30,2.4364546600512213e-30,1.575451891460123e-41,1.5754518914558708e-41,3.6752593079897198e-53,6.1884028156462294e-41,5.7717967129171482e-54,1.9937578484775166e-31,4.6860320749401642e-96,4.4144081979421647e-96,4.4144081979421805e-96,8.3425973153644176e-45,3.494107765998072e-47
4.074679287823478e-21,0.6373761490644,1.2633477075138941e-21,9.3268783827590535e-36,2.4375289874561727e-36,2.2573546820148088e-56,1.1816997744043043e-49,0.0,0.0,4.4998463809847726e-22,2.5306555310142688e-39,154.0,0.0,0.99999999999999645,1.0,19.0,2.8531651746895779e-16,1.1241744640709379e-15,1.1053557025107469e-15,1.1053574158368843e-15,2.4063030218871006e-24,9.9501578607523205e-27,9.9499238209363499e-27,6.21821407815662e-27,3.400181873361806e-24,9.3279524245315624e-39,1.3112189026555551e-29,1.1730480383033966e-29,1.5467880093222859e-40,1.5467880093138838e-40,7.2616930001685578e-52,6.0758105676875564e-40,1.1404097650889542e-52,9.599085800256989e-31,1.0664312605400433e-93,1.0046160213554436e-93,1.0046160213554502e-93,8.1908119474514203e-44,3.4305357244035638e-46
8.65869348662489e-21,0.6373761490644,2.684613878474256e-21,2.5285196949463474e-35,1.064532948444406e-35,2.0748978688921649e-55,1.0452000777118259e-48,0.0,0.0,9.5621736024896264e-22,1.1052037611003402e-38,154.0,0.0,0.99999999999999234,1.0,19.0,6.0629759962153052e-16,2.3888707228747921e-15,2.3488808678129852e-15,2.3488845086171122e-15,1.0508957438925016e-23,4.3454953515988047e-26,4.345281445488918e-26,2.7156574483317783e-26,1.4849487477990649e-23,8.2499284668920428e-38,5.7264374358683334e-29,5.1230089704710453e-29,1.3681164774009869e-39,1.3681164773860358e-39,1.2921794494757249e-50,5.3739856168417428e-39,2.0292982369276739e-51,4.1921729595092091e-30,1.8022216849604092e-91,1.6977566634993829e-91,1.6977566634994058e-91,7.2446805815297785e-43,3.0342699986008885e-45
1.7826721884227714e-20,0.6373761490643999,5.5271462204179774e-21,7.4583058664913239e-35,4.4442155060454858e-35,1.7751188249065865e-54,8.7855364714518713e-48,0.0,0.0,1.9686828181917077e-21,4.6140081798457505e-38,154.0,0.0,0.99999999999998423,1.0,19.0,1.2482597639266608e-15,4.9182631982633272e-15,4.8359311983463798e-15,4.8359386940622421e-15,4.3872828196741682e-23,1.814158767842489e-25,1.8139761260665142e-25,1.1337335212477126e-25,6.1993686501997419e-23,6.9336540243498345e-37,2.3906749042653033e-28,2.1387553984454599e-28,1.1499843344106229e-38,1.1499843343854058e-38,2.1794494401719614e-49,4.5171586776522254e-38,3.4227080574112226e-50,1.7501496874841896e-29,2.6388495349252235e-89,2.4858897322569495e-89,2.4858897322570158e-89,6.0895906222507933e-42,2.5504867622171992e-44
3.6162778679433363e-20,0.6373761490644,1.1212210904397402e-20,2.4270368042510125e-34,1.8156070454171716e-34,1.4677025949574832e-53,7.2029136142179835e-47,0.0,0.0,3.9936137886442913e-21,1.8849729231217598e-37,154.0,0.0,0.99999999999996791,1.0,19.0,2.5321840925368592e-15,9.9770479801637141e-15,9.8100318591288391e-15,9.8100470644912461e-15,1.7923481511613095e-22,7.4114305104079022e-25,7.4099216823274773e-25,4.6316713166144912e-25,2.5326443257145949e-22,5.6831400941295334e-36,9.7666870414190008e-28,8.7375136605925608e-28,9.4282663640035638e-38,9.4282663635893729e-38,3.5797520190483143e-48,3.703439533201919e-37,5.6218081712656889e-49,7.1499325329811578e-29,3.6084035283130544e-87,3.3992439364818806e-87,3.3992439364820637e-87,4.9926143378940382e-41,2.0910431414388505e-43
7.283489226984465e-20,0.6373761490644001,2.2582340272724189e-20,8.5704451727163048e-34,7.3389739683001016e-34,1.1935114127897136e-52,5.8331061990647831e-46,0.0,0.0,8.043475947817843e-21,7.6193621812611075e-37,154.0,0.0,0.99999999999993539,1.0,19.0,5.1000327497570116e-15,2.0094616868457789e-14,1.9758233179556441e-14,1.9758263803504647e-14,7.2449575224027446e-22,2.9958187095448621e-24,2.9945923983300619e-24,1.8721955631838911e-24,1.0237352908957958e-21,4.5999452956213004e-35,3.9478510576138825e-27,3.5318427218217031e-27,7.6352545446440827e-37,7.6352545439726558e-37,5.8029315362204986e-47,2.9991412452908201e-36,9.1131930114576215e-48,2.8901170472770215e-28,4.7724590966305305e-85,4.4958255137133835e-85,4.4958255137138664e-85,4.0431485457259782e-40,1.6933809496543752e-42
1.4617911945066725e-19,0.6373761490643999,4.5322599010849533e-20,3.1981245643412983e-33,2.9509691547801165e-33,9.626102529197077e-52,4.6949913403441427e-45,0.0,0.0,1.6143201139238474e-20,3.063712218750024e-36,154.0,0.0,0.99999999999987021,1.0,19.0,1.0235730064196339e-14,4.0329751943019514e-14,3.9654635815862376e-14,3.965469727415627e-14,2.9131653329927747e-21,1.2046055259404495e-23,1.2036169940769946e-23,7.5280157194976209e-24,4.1163942650830934e-21,3.6985642445288392e-34,1.5874135466504137e-26,1.4201384243421662e-26,6.1455171076683706e-36,6.1455171065870622e-36,9.3454399333307056e-46,2.4139696215960892e-35,1.4676515452862905e-46,1.1621033534011676e-27,6.2091001223373855e-83,5.8491922470391245e-83,5.8491922470403834e-83,3.2542777028364475e-39,1.3629803087129406e-41
2.928675738123124e-19,0.6373761490644001,9.0803116492987249e-20,1.2329878152563027e-32,1.1834706164737966e-32,7.7322100146624854e-51,3.7674348716179446e-44,0.0,0.0,3.2342655014373838e-20,1.2286857854782437e-35,154.0,0.0,0.99999999999973987,1.0,19.0,2.0507124693071068e-14,8.0800011284040121e-14,7.9447441070277149e-14,7.9447564185984941e-14,1.1683094147416958e-20,4.831006923363375e-23,4.8230731826154847e-23,3.0190707632988123e-23,1.6508579585988429e-20,2.961669763564018e-33,6.3662383074336005e-26,5.6953902500865518e-26,4.9313904445548983e-35,4.9313904428191579e-35,1.5001493054266692e-44,1.9370583187870143e-34,2.3559054616209761e-45,4.6605542096660131e-27,8.0125147754442331e-81,7.548072728865276e-81,7.548072728868525e-81,2.6113529157315458e-38,1.0937058596275359e-40
