Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314)
0.0,0.6538675984080936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5067599300680198e-21,0.6538675984080936,8.7542431424288109e-23,2.6238231402387338e-37,6.1873028595557754e-38,9.1748215366052193e-59,1.6064507066995695e-51,0.0,0.0,4.8595266755343754e-23,9.9667312911447647e-41,154.0,0.0,0.99999999999999956,1.0,19.0,5.6365825298092421e-17,1.1381121710781319e-16,1.9858228327867787e-16,1.9858241941580654e-16,1.2210239486058253e-25,8.7772577585977485e-28,8.7771600966895598e-28,5.6995775385089386e-28,1.5663438173817647e-25,3.7210767412639737e-40,8.7045303560949362e-31,5.2837157189515602e-31,3.0259232288135712e-42,3.02592322880355e-42,8.6847989792359536e-54,8.8288261967201713e-42,1.336765442929759e-54,6.3644469489707194e-32,5.2748493969451672e-97,4.9967613087062935e-97,4.9967613087063028e-97,2.9754344467979653e-45,7.1747460968506696e-48,4.8323647225059072e-40
4.218927804190456e-21,0.6538675984080936,2.4511880798833544e-22,9.3513909191687613e-37,3.7371309271757771e-37,1.3864990343600927e-57,1.9071783157985195e-50,0.0,0.0,1.3606674732669368e-22,6.0199057154404366e-40,154.0,0.0,0.99999999999999845,1.0,19.0,1.5782431083465831e-16,3.1867140698006597e-16,5.5603039317745147e-16,5.5603077435956677e-16,7.3749846317778111e-25,5.3014636860766167e-27,5.3013442339008872e-27,3.4425448293623018e-27,9.4607166341500515e-25,4.4175605931243294e-39,5.2575363350443213e-30,3.1913642942154198e-30,3.5923760572151848e-41,3.5923760571927668e-41,1.9427547777959424e-52,1.0481582437568276e-40,2.9902908198236827e-53,3.8441259571618557e-31,5.6207613606826603e-95,5.3244369230328441e-95,5.3244369230328634e-95,3.5324359530846125e-44,8.5178585661030351e-47,5.7365858241470225e-39
9.643263552435329e-21,0.6538675984080936,5.6027156111774524e-22,3.0825270983063498e-36,1.7992676715649524e-36,1.4915323999322636e-56,1.8724789959950463e-49,0.0,0.0,3.1100971011631824e-22,2.8983254828372859e-39,154.0,0.0,0.99999999999999645,1.0,19.0,3.607412819077883e-16,7.2839178303732774e-16,1.2709266129636129e-15,1.2709274842283226e-15,3.5507376158436804e-24,2.552426556025591e-26,2.5523074614248116e-26,1.6574371423527567e-26,4.5549277866924576e-24,4.336971751148844e-38,2.5312774274968786e-29,1.5365045310241302e-29,3.5270161154050058e-40,3.527016115360712e-40,3.8385559953386785e-51,1.0290879743045496e-39,5.9083107295531807e-52,1.8507811727359947e-30,1.2791537759632103e-92,1.2117172670980017e-92,1.2117172670980104e-92,3.4681666438475147e-43,8.362884050247084e-46,5.6313720193250609e-38
2.049193504892507e-20,0.6538675984080936,1.1905770673818246e-21,1.0584800913525939e-35,7.8578746316992088e-36,1.3709752592972998e-55,1.656186473219591e-48,0.0,0.0,6.6089564228326629e-22,1.2657748981216676e-38,154.0,0.0,0.99999999999999234,1.0,19.0,7.6657522405404109e-16,1.5478325204028757e-15,2.7007190524903913e-15,2.700720903890778e-15,1.5507003871372693e-23,1.1147117351614588e-25,1.1146056186812847e-25,7.2384634135014039e-26,1.9892566126793369e-23,3.8356192144506281e-37,1.1054753551666791e-28,6.710318962582983e-29,3.1196058117674418e-39,3.119605811688624e-39,6.830505073759352e-50,9.1021665048824021e-39,1.0513523180043967e-50,8.0828476249376719e-30,2.1617133317864978e-90,2.0477486130782366e-90,2.0477486130782658e-90,3.0675541519506177e-42,7.3968762355008411e-45,4.9793876550995792e-37
4.218927804190456e-20,0.6538675984080935,2.4511880799310231e-21,3.8419339753941809e-35,3.2805079761935089e-35,1.172898224605363e-54,1.3921245260136628e-47,0.0,0.0,1.3606675329679584e-21,5.2843611478592713e-38,154.0,0.0,0.99999999999998412,1.0,19.0,1.5782431083465174e-15,3.1867139361380736e-15,5.5603039313617744e-15,5.5603077429154984e-15,6.4738687271789302e-23,4.6537020619844365e-25,4.6528069373816566e-25,3.0219159565530309e-25,8.3047546011985812e-23,3.2234246281944217e-36,4.6151419942851696e-28,2.80142607375117e-28,2.6222166549368227e-38,2.6222166548038835e-38,1.1520644409493326e-48,7.6509192471042012e-38,1.7732593250660626e-49,3.3744297721146504e-29,3.1652244933856752e-88,2.9983550413963545e-88,2.998355041396441e-88,2.5784641114350409e-41,6.2175201706709979e-44,4.1829589811107852e-36
8.558396402786353e-20,0.6538675984080935,4.9724101051135801e-21,1.4540838227639343e-34,1.3401945486395105e-34,9.6977497720744381e-54,1.1413477960776565e-46,0.0,0.0,2.760211419740526e-21,2.1588340485537908e-37,154.0,0.0,0.9999999999999678,1.0,19.0,3.2015788769313556e-15,6.4644765316248913e-15,1.1279473688375843e-14,1.1279481419764421e-14,2.6447865033861507e-22,1.9011891381682545e-24,1.9004540822439719e-24,1.2345512471227297e-24,3.3927630924878675e-22,2.6417020573976549e-35,1.8854360928144464e-27,1.1444739592178351e-27,2.1498516410388429e-37,2.1498516408204902e-37,1.8922690523685514e-47,6.2726856069048782e-37,2.9125836737598537e-48,1.3785646667404489e-28,4.3281767591349011e-86,4.0999968984636897e-86,4.0999968984639269e-86,2.1139806684158602e-40,5.0974986818508057e-43,3.425323058876948e-35
1.723733359997815e-19,0.6538675984080938,1.0014854155815332e-20,5.6466632670148064e-34,5.4172806444755712e-34,7.8860497656038852e-53,9.242930371390321e-46,0.0,0.0,5.5592996148983941e-21,8.7263531617361021e-37,154.0,0.0,0.99999999999993516,1.0,19.0,6.4482504141005689e-15,1.3020000778664355e-14,2.271781319948918e-14,2.2717828768662166e-14,1.0690649032047117e-21,7.6849104647139983e-24,7.6789546671413169e-24,4.990253336066403e-24,1.3714089747596922e-21,2.1376100765824697e-34,7.6212341406231609e-27,4.6261467272534739e-27,1.741005597037421e-36,1.7410055966834625e-36,3.067448862475001e-46,5.0797830445767804e-36,4.7214233472600664e-47,5.5723787956784765e-28,5.7244280959550536e-84,5.4226383868025765e-84,5.4226383868032029e-84,1.7119563570795629e-39,4.1280865928264023e-42,2.7672664218646525e-34
3.4595207994361737e-19,0.6538675984080936,2.009974225856539e-20,2.224301653182029e-33,2.1782647212402492e-33,6.3603859683550239e-52,7.4395144817943112e-45,0.0,0.0,1.1157477691665071e-20,3.5088288453608856e-36,154.0,0.0,0.99999999999986977,1.0,19.0,1.2941593488437148e-14,2.613104549700768e-14,4.559449221005668e-14,4.5594523447273081e-14,4.2986622492146163e-21,3.0900686937713772e-23,3.0852763050425892e-23,2.0065587636412366e-23,5.5143742633040031e-21,1.7177902260342588e-33,3.0644647270699453e-26,1.8601532512514584e-26,1.4013127676843403e-35,1.4013127671143005e-35,4.9400292043344581e-45,4.0886506971923354e-35,7.6037057822155551e-46,2.2406290048763533e-27,7.447637883815065e-82,7.0550011988998254e-82,7.0550011989014581e-82,1.3779314157229961e-38,3.3226432232078256e-41,2.216707472670459e-33
6.931095678312892e-19,0.6538675984080936,4.0269518469451718e-20,8.8280500575417217e-33,8.7358157861849997e-33,5.1090097348358205e-51,5.9697418488618722e-44,0.0,0.0,2.235384059100216e-20,1.4071977996276158e-35,154.0,0.0,0.9999999999997391,1.0,19.0,2.5928279637102921e-14,5.2353119830760595e-14,9.1347850184554961e-14,9.1347912727882772e-14,1.7239552569130867e-20,1.2392557491924371e-22,1.2354148777418677e-22,8.0471968554513991e-23,2.2115099881471665e-20,1.3740344967249073e-32,1.2289874159130637e-25,7.4600465014108335e-26,1.1244652430666476e-34,1.1244652421516082e-34,7.9298324985874889e-44,3.2808836820551521e-34,1.2205628648629941e-44,8.9859244501313026e-27,9.6107821311099354e-80,9.104105290263917e-80,9.1041052902681268e-80,1.1057031854377791e-37,2.6662119304686785e-40,1.7619437101193635e-32
