Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802)
0.0,0.4235631828039694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0188214477291897e-21,0.4235631828039694,6.5879786161463738e-23,2.954424035852944e-37,4.9627173063290617e-38,8.1570160041014451e-59,1.3509688118041051e-51,0.0,0.0,5.4777659972750613e-23,1.1975345618935972e-40,154.0,0.0,0.99999999999999956,1.0,19.0,3.967039700385881e-17,8.3599596409672181e-17,2.1672253546720086e-16,2.1672265612399822e-16,6.0794465895869847e-26,1.0020159587278136e-27,1.0020083963725049e-27,6.4907760295279817e-28,7.8469537566811401e-26,2.9217103827394653e-40,1.011780642302772e-30,4.0854326830634601e-31,1.6133057260301153e-42,1.6133057260245386e-42,4.8318003602742038e-54,3.1129177079825192e-42,7.446510719481037e-55,7.3946269982711708e-32,1.5651401593352216e-97,1.4821006251328229e-97,1.4821006251328249e-97,3.6216160152458757e-45,5.8669557743135611e-48,3.785065188914285e-40,2.3661390679238714e-45,7.0127678559785928e-49,3.3742175732645126e-57
2.852700053641731e-21,0.4235631828039694,1.8446340125235438e-22,9.8803077077059915e-37,2.9974812530261444e-37,1.2326882619729142e-57,1.603870206076304e-50,0.0,0.0,1.533774484023358e-22,7.2331087731715653e-40,154.0,0.0,0.99999999999999845,1.0,19.0,1.1107711161080442e-16,2.3407886948655125e-16,6.0682309930491336e-16,6.0682343714184437e-16,3.6719857340822896e-25,6.052176390614662e-27,6.0520833575946113e-27,3.9204287187862165e-27,4.7395600612545386e-25,3.4685990248068472e-39,6.1111550794637717e-30,2.4676013405498738e-30,1.9153165579284127e-41,1.9153165579159381e-41,1.0808544078236164e-52,3.695655897358571e-41,1.6657546598455761e-53,4.4663547069314916e-31,1.6677782946280159e-95,1.5792932270686452e-95,1.5792932270686492e-95,4.2995827619433872e-44,6.9652498952053246e-47,4.4934130652715294e-39,2.8090798019642995e-44,8.3255579630716723e-48,7.5479897119040482e-56
6.520457265466814e-21,0.4235631828039694,4.2163063143515951e-22,3.0163756681038033e-36,1.4431581926855784e-36,1.3260697890840087e-56,1.5746892934791791e-49,0.0,0.0,3.5057702717604258e-22,3.4824305349736686e-39,154.0,0.0,0.99999999999999645,1.0,19.0,2.5389054082469469e-16,5.3503741379818637e-16,1.387024226967343e-15,1.3870249991561349e-15,1.7679030592095237e-24,2.9138624078284853e-26,2.9137693830135075e-26,1.8875176648137128e-26,2.2818941407715715e-24,3.4053734490118236e-38,2.9422581077490086e-29,1.1880438242041707e-29,1.8804691542156284e-40,1.8804691541909811e-40,2.1355861462358339e-51,3.628416863193771e-40,3.2912504952816966e-52,2.1503575310608124e-30,3.795473186204077e-93,3.5941018754116516e-93,3.5941018754116708e-93,4.2213559522427603e-43,6.8385236503547038e-46,4.4112014383067384e-38,2.7579701492003887e-43,8.1740821027357066e-47,1.4913555592548464e-54
1.3855971689116978e-20,0.4235631828039694,8.9596509180486492e-22,9.6457381149045532e-36,6.3026509790904788e-36,1.2188866119389075e-55,1.3927948529905778e-48,0.0,0.0,7.4497619238160163e-22,1.5208689235515336e-38,154.0,0.0,0.99999999999999245,1.0,19.0,5.3951739925247138e-16,1.1369544950529648e-15,2.9474264822402207e-15,2.9474281230991128e-15,7.7208970753376386e-24,1.2725602674272609e-25,1.2724772642514776e-25,8.2432855102459758e-26,9.9656311503815862e-24,3.0118049969885067e-37,1.2849614156548225e-28,5.1884995071735343e-29,1.6632536712133532e-39,1.6632536711694947e-39,3.8001613572138965e-50,3.2092936040372897e-39,5.8566043736764252e-51,9.3911762874277959e-30,6.4141818922052145e-91,6.0738732793070179e-91,6.07387327930708e-91,3.7337415746405598e-42,6.048596724697426e-45,3.9008429455977592e-37,2.4393914818887004e-42,7.2298829173945182e-46,2.6537874872790354e-53
2.852700053641731e-20,0.4235631828039693,1.8446340125606567e-21,3.3195153619315116e-35,2.6312327158629826e-35,1.0427831825634275e-54,1.1707279983908935e-47,0.0,0.0,1.533774553425302e-21,6.3493285166512978e-38,154.0,0.0,0.99999999999998446,1.0,19.0,1.1107711161080091e-15,2.3407886280885543e-15,6.0682309925780481e-15,6.0682343706426799e-15,3.2233224977049734e-23,5.3126886117613151e-25,5.3119879664019152e-25,3.4414094083266607e-25,4.1604547732492267e-23,2.5312516231709437e-36,5.364460964862043e-28,2.1660964082748931e-28,1.3980649291143511e-38,1.3980649290403776e-38,6.4095272816929222e-49,2.6976046134055431e-38,9.8780191880502275e-50,3.9206312341444484e-29,9.3917751868724793e-89,8.8934884154362699e-89,8.8934884154364527e-89,3.1384347848143178e-41,5.0842100020222036e-44,3.2775237013714616e-36,2.0504523587548542e-41,6.0771519998702817e-45,4.4760003224138632e-52
5.786905823101797e-20,0.4235631828039693,3.741971854137762e-21,1.2145674708954599e-34,1.0749444194601593e-34,8.6219334061295569e-54,9.5983354640249431e-47,0.0,0.0,3.1113713980430311e-21,2.5939079906016345e-37,154.0,0.0,0.99999999999996847,1.0,19.0,2.2532785498190235e-15,4.7484567762638731e-15,1.230984001242199e-14,1.2309846864360453e-14,1.3168323778912771e-22,2.1704066460459908e-24,2.1698310698247881e-24,1.4059280150919768e-24,1.6996814796123298e-22,2.0746960753956447e-35,2.1915573419224635e-27,8.8492106064067843e-28,1.1462180962620246e-37,1.1462180961405232e-37,1.0527666852397633e-47,2.2116591866956658e-37,1.6224675825222061e-48,1.6017057860465876e-28,1.2842458150203126e-86,1.2161093138632691e-86,1.2161093138633193e-86,2.5730784603462231e-40,4.1683425340669108e-43,2.6848682583994348e-35,1.6810795346582932e-40,4.982416006038969e-44,7.3518434424930928e-51
1.165531736202193e-19,0.4235631828039694,7.5366475375540625e-21,4.6263098402103487e-34,4.3450972124513174e-34,7.0112137040611864e-53,7.7729809162823228e-46,0.0,0.0,6.2665655773998043e-21,1.0484991782700689e-36,154.0,0.0,0.99999999999993638,1.0,19.0,4.538293417240806e-15,9.5637926010311069e-15,2.4793058048783022e-14,2.4793071846320098e-14,5.3228467169454275e-22,8.7731306764776183e-24,8.7684657721434002e-24,5.6829856749079202e-24,6.8703839118044731e-22,1.6792089661651416e-34,8.8586251737015649e-27,3.5769924128034967e-27,9.2823713181915195e-37,9.2823713162219308e-37,1.7065798541448628e-46,1.7910588569369319e-36,2.6300897537006316e-47,6.4743508767222748e-28,1.698538030044148e-84,1.608420984621679e-84,1.6084209846218111e-84,2.08374565326055e-39,3.3756318546600029e-42,2.1706506347512676e-34,1.3613733824739307e-39,4.0348890610513581e-43,1.1917653321983259e-49
2.3392140439862195e-19,0.4235631828039695,1.5125998905435021e-20,1.8035836590112265e-33,1.747144478829649e-33,5.6547988956899565e-52,6.256371277363911e-45,0.0,0.0,1.2576955896598601e-20,4.2159698487481709e-36,154.0,0.0,0.99999999999987221,1.0,19.0,9.1083231520833871e-15,1.9194462364232342e-14,4.9759494108197685e-14,4.9759521788348163e-14,2.1402930146035933e-21,3.5276372553547179e-23,3.5238824368363864e-23,2.2851034240550854e-23,2.7625508446950924e-21,1.3500728228665797e-33,3.5620142189111335e-26,1.4382929161912624e-26,7.471259980993292e-36,7.471259977821331e-36,2.7483932475334515e-45,1.4415998360089226e-35,4.2356780985726358e-46,2.6033080113355384e-27,2.2098445415737317e-82,2.0925997949771032e-82,2.0925997949774473e-82,1.6771797877464856e-38,2.7170021883460383e-41,1.7413207048541793e-33,1.0957381975992589e-38,3.2476287802989002e-42,1.9193007764074612e-48
4.686578659554272e-19,0.4235631828039695,3.0304701645390361e-20,7.1199058228053072e-33,7.0068307906551139e-33,4.5422436725065451e-51,5.0203439388825665e-44,0.0,0.0,2.5197744376937209e-20,1.6907930888880614e-35,154.0,0.0,0.99999999999974398,1.0,19.0,1.8248382621764621e-14,3.8455794345304847e-14,9.9692366173797397e-14,9.9692421584938432e-14,8.5835303366005444e-21,1.4147403136003563e-22,1.4117295161782106e-22,9.1642857962581203e-23,1.1079061988264173e-20,1.0809478199633092e-32,1.4285270153324574e-25,5.7681978796366634e-26,5.9952156049039697e-35,5.9952155998122738e-35,4.4117766399211284e-44,1.1567928378315377e-34,6.799200225995865e-45,1.0440429475688247e-26,2.8516873094694665e-80,2.7003891753065733e-80,2.7003891753074613e-80,1.345831160153e-37,2.1802231427301941e-40,1.3880688513067681e-32,8.7923917128208456e-38,2.6060160214568543e-41,3.0809010381207898e-47
