Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856)
0.0,0.9592110796935903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.294505962568389e-22,0.9592110796935903,5.1698938701637587e-22,5.1581358887187039e-36,7.7403663855215723e-38,9.6195981289249474e-59,2.4582151043691723e-52,0.0,0.0,7.0708532655549317e-23,3.1290488841244906e-41,154.0,0.0,0.99999999999999944,1.0,19.0,3.3777903584607927e-17,2.934439172447381e-16,9.4206183052657773e-17,9.4206770750549835e-17,5.214191894905825e-26,4.6511863598869981e-29,4.6512017391523173e-29,2.7770012978745313e-29,8.270118384168151e-26,5.382226838055699e-42,8.6394893941467133e-32,1.8886150975937371e-31,3.22760181279559e-43,3.2276018127944856e-43,9.5142359065130137e-56,2.793472614136277e-42,1.5316710466943095e-56,6.3398732284576329e-33,6.2298116152464175e-100,5.8302135016844608e-100,5.830213501684471e-100,3.4301165244695797e-47,4.2829525329834447e-49,6.4268163286831829e-42,3.2899320417940582e-47,1.1390950464434485e-49,2.2986516626785103e-58,2.9708197993628364e-71
6.424616695191489e-22,0.9592110796935903,1.4475702836461119e-21,1.4693568359304376e-35,4.6751812968557156e-37,1.4537136694957689e-57,2.9183933435272464e-51,0.0,0.0,1.9798389147608394e-22,1.8899455263620296e-40,154.0,0.0,0.99999999999999856,1.0,19.0,9.4578130036902079e-17,8.2164296784030496e-16,2.6377731254729015e-16,2.6377895810129858e-16,3.1493719030999476e-25,2.809316561352089e-28,2.8093178975105391e-28,1.6773087834760537e-28,4.9951515017803012e-25,6.3897216274756104e-41,5.2182515940606326e-31,1.1407235189441847e-30,3.831808872143442e-42,3.8318088721409708e-42,2.1282965120360174e-54,3.3164106861291394e-41,3.4262868632038975e-55,3.8292834299890907e-32,6.63834770940925e-98,6.2125449105967769e-98,6.2125449105967951e-98,4.0722356591829984e-46,5.0847212471523273e-48,7.629715789084667e-41,3.9058071211906219e-46,1.3523336367160056e-48,5.1419918145484663e-57,1.2259171064560527e-69
1.4684838160437689e-21,0.9592110796935903,3.3087320769066203e-21,3.4767584784049605e-35,2.2508985449106999e-36,1.5638388294567523e-56,2.8652960533540058e-50,0.0,0.0,4.5253460927933654e-22,9.09927416028861e-40,154.0,0.0,0.99999999999999667,1.0,19.0,2.1617858294148993e-16,1.8780410672515923e-15,6.0291957153594829e-16,6.0292333280183192e-16,1.5162870009038574e-24,1.3525649934256523e-27,1.3525575364064559e-27,8.0755197676166822e-28,2.4049504227302067e-24,6.2733435744171981e-40,2.5123635158118905e-30,5.4920927037660979e-30,3.7620926729713418e-41,3.7620926729664601e-41,4.2051552448455929e-53,3.2560716747795552e-40,6.7697654568788693e-54,1.843635134836497e-31,1.5107326203755067e-95,1.4138298659294882e-95,1.4138298659294972e-95,3.9981456972323901e-45,4.9922094724280828e-47,7.4904754224348482e-40,3.8347441715506342e-45,1.3277291786273487e-47,1.0159709287779402e-55,4.8496061423079558e-68
3.120528109093009e-21,0.9592110796935903,7.0310556634317853e-21,7.8928223567882592e-35,9.8302653096230038e-36,1.4374373110102541e-55,2.5343219754192861e-49,0.0,0.0,9.6163604553457483e-22,3.973892088264131e-39,154.0,0.0,0.99999999999999301,1.0,19.0,4.593794887506636e-16,3.9908372589547803e-15,1.2812040895108384e-15,1.281212082199043e-15,6.6220236844712449e-24,5.907006676751793e-27,5.9069029402745179e-27,3.52679164147812e-27,1.0503050312906007e-23,5.5484825365585735e-39,1.0972151530504605e-29,2.3985411739063401e-29,3.3275283648710258e-40,3.3275283648623381e-40,7.48284902649062e-52,2.8799585173287904e-39,1.2046435901546714e-52,8.0516390001517048e-31,2.5530713412407855e-93,2.3893099701510814e-93,2.3893099701511107e-93,3.5363148216284615e-44,4.4155527433680284e-46,6.624485156833297e-39,3.3917870434427876e-44,1.1743614133163546e-46,1.8078659710424091e-54,1.7307899723144156e-66
6.4246166951914885e-21,0.9592110796935901,1.4475702836498702e-20,1.832999248732946e-34,4.1039422576130842e-35,1.2297578845967577e-54,2.1302503503380527e-48,0.0,0.0,1.9798389206399843e-21,1.6590217232446374e-38,154.0,0.0,0.99999999999998557,1.0,19.0,9.4578130036900381e-16,8.2164296138836137e-15,2.6377731254509134e-15,2.6377895809780411e-15,2.7645645228258316e-23,2.4660590077378616e-26,2.4659562229924789e-26,1.472366081992796e-26,4.3848167357971656e-23,4.6634658340591702e-38,4.5806572767210381e-29,1.0013437247102642e-28,2.7969880892512696e-39,2.7969880892366171e-39,1.2620918426833097e-50,2.4207786556268792e-38,2.0318074818513753e-51,3.3614007857376958e-30,3.7382588268882218e-91,3.4984761067242092e-91,3.4984761067242959e-91,2.9724857777705409e-43,3.7115381377765512e-45,5.5670083460963437e-38,2.8510001201587472e-43,9.8712151312496612e-46,3.0492301575133681e-53,5.8479480517478874e-65
1.3032793867388448e-20,0.9592110796935903,2.93649971826989e-20,4.5624502243810979e-34,1.6765943205775965e-34,1.0167876031005916e-53,1.7465079517200743e-47,0.0,0.0,4.0162446812305355e-21,6.7776450862952785e-38,154.0,0.0,0.99999999999997069,1.0,19.0,1.9185849236056533e-15,1.6667614209831097e-14,5.3509111972922403e-15,5.3509445784743455e-15,1.1294148043951078e-22,1.0074655700647859e-25,1.0073749772937909e-25,6.0150958392604581e-26,1.7913406958238515e-22,3.8227875990654377e-37,1.8713479606827231e-28,4.0908158457046184e-28,2.2931398223929874e-38,2.29313982236892e-38,2.0729895847453087e-49,1.9847005848914595e-37,3.3372498659199211e-50,1.3732419007848428e-29,5.1117527405626897e-89,4.7838701530580048e-89,4.7838701530582399e-89,2.4370234670372699e-42,3.042943206979967e-44,4.5620875207078887e-37,2.3374200818081641e-42,8.0930183065573441e-45,5.0083695392048522e-52,1.9226773169178661e-63
2.624914821178237e-20,0.9592110796935901,5.9143585875364725e-20,1.2589419974077629e-33,6.7770623081771215e-34,8.2683479722601748e-53,1.4143674246564707e-46,0.0,0.0,8.0890562439305616e-21,2.739632526388941e-37,154.0,0.0,0.99999999999994094,1.0,19.0,3.8641921700788314e-15,3.3569982946085389e-14,1.0777187340819615e-14,1.0777254573220212e-14,4.5652751469328221e-22,4.0723369131165065e-25,4.071577847483977e-25,2.4313978895874205e-25,7.2408853917174968e-22,3.0948155612781843e-36,7.5642876596795146e-28,1.6535731712316574e-27,1.8570440817126317e-37,1.8570440816736177e-37,3.3604052642724535e-48,1.6072619673575971e-36,5.4098257661959266e-49,5.5508633254954597e-29,6.7607823460027957e-87,6.3271262359338198e-87,6.3271262359344431e-87,1.973564802365287e-41,2.4642543025480537e-43,3.6911285907625272e-36,1.8929000362745004e-41,6.553935642579719e-44,8.1187823595113291e-51,6.2361574208736613e-62
5.268185690057021e-20,0.9592110796935904,1.187007632617581e-19,3.8915630668996181e-33,2.7250269475423315e-33,6.6687222579800241e-52,1.1384059521851683e-45,0.0,0.0,1.6234679535406317e-20,1.101594203421377e-36,154.0,0.0,0.99999999999988154,1.0,19.0,7.7554066630246995e-15,6.7374718596031282e-14,2.1629739627253217e-14,2.1629874561725184e-14,1.8356770012183184e-21,1.6374687611945829e-24,1.6368476799513386e-24,9.7765438023560495e-25,2.9115280797398992e-21,2.4894055710791832e-35,3.0415667988531784e-27,6.6489449937656425e-27,1.4947106359432861e-36,1.4947106358804551e-36,5.4118284906261276e-47,1.2936642227340684e-35,8.7123573685587041e-48,2.231977729624796e-28,8.7959631835660869e-85,8.2317646954198345e-85,8.2317646954214553e-85,1.5884966552808999e-40,1.9834462478174233e-42,2.9655337255375048e-35,1.5235652387621873e-40,5.2751769282908501e-43,1.3075047127367854e-49,2.0090609441231043e-60
1.055472742781459e-19,0.9592110796935904,2.3781511803879177e-19,1.3265713685633211e-32,1.0928576857953925e-32,5.3566805017863585e-51,9.134990829930821e-45,0.0,0.0,3.2525926782660646e-20,4.417885567275836e-36,154.0,0.0,0.99999999999976275,1.0,19.0,1.5537835648914495e-14,1.3498418260567315e-13,4.3334844197635862e-14,4.3335114534789751e-14,7.3618853478778179e-21,6.5669821019285652e-24,6.5619591368286417e-24,3.9208311910599453e-24,1.1676529093052106e-20,1.9950741675388655e-34,1.2198043236132657e-26,2.6665243230578349e-26,1.1994111514311611e-35,1.199411151330304e-35,8.6871813662103155e-46,1.0380840068735491e-34,1.39852622627612e-46,8.9512289724494735e-28,1.1350724524055099e-82,1.0622656263475277e-82,1.0622656263479463e-82,1.2746685286284453e-39,1.591590700547388e-41,2.371021093648889e-34,1.222556504709951e-39,4.2329962125196675e-42,2.098834127068899e-48,6.4506718243841474e-59
