Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961)
0.0,0.49022193198830466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9651392395815003e-22,0.49022193198830466,4.2249737980303191e-22,8.0399322250454042e-36,1.050403456025199e-37,2.1287763320562186e-58,5.5777011882440983e-52,0.0,0.0,1.1453113588558314e-22,8.4124668669930321e-41,154.0,0.0,0.99999999999999956,1.0,19.0,2.8425248520425748e-17,2.4237331080319256e-16,1.5483380946838654e-16,1.5483434649682595e-16,3.6845372319747815e-26,1.2798676123307988e-28,1.2798688573629394e-28,7.6497335117626839e-29,5.8279478720339405e-26,1.2589539456506157e-41,2.3579131831353049e-31,2.6044218780515009e-31,3.7790855653856931e-43,3.7790855653835257e-43,1.8670920315013359e-55,1.6566086662660208e-42,3.0039798082867738e-56,1.71935892168785e-32,1.4312452212028505e-99,1.339649472031722e-99,1.3396494720317241e-99,1.5664857682462815e-46,9.774640928945757e-49,1.5049218336642748e-41,1.4950605857445316e-46,2.5889294181339406e-49,4.4379553314759294e-58,4.892374717166554e-71,8.7442119153385462e-84
5.502389870828202e-22,0.49022193198830466,1.1829926634488388e-21,2.2852140949881807e-35,6.3444368743937337e-37,3.2170067939464173e-57,6.6218476736780351e-51,0.0,0.0,3.2068718059031968e-22,5.0811299892515437e-40,154.0,0.0,0.99999999999999845,1.0,19.0,7.9590695857191988e-17,6.7864526993503273e-16,4.3353466651106613e-16,4.3353617019044955e-16,2.2254604872538116e-25,7.7304003784291653e-28,7.7303892706592278e-28,4.6204390400688595e-28,3.5200805133498619e-25,1.4946186297537244e-40,1.424179562611905e-30,1.5730708143396391e-30,4.4865303832168387e-42,4.48653038321199e-42,4.1766101852472854e-54,1.9667258078953506e-41,6.7197826695860989e-55,1.0384927886989719e-31,1.5251028478164137e-97,1.4275004692447804e-97,1.4275004692447843e-97,1.8597324932858257e-45,1.160445371082687e-47,1.7866034416863272e-40,1.7749358502573755e-45,3.0735770005321951e-48,9.9275285438680093e-57,2.0188521228242535e-69,6.5824244651140879e-82
1.2576891133321604e-21,0.49022193198830466,2.7039832307418496e-21,5.3837881278586619e-35,3.0545732501235755e-36,3.4607091106092559e-56,6.5013696736722011e-50,0.0,0.0,7.3299927044253974e-22,2.4463453672996496e-39,154.0,0.0,0.99999999999999634,1.0,19.0,1.8192159053072409e-16,1.5511891869430875e-15,9.9093638059476064e-16,9.9093981757504406e-16,1.0714634257698322e-24,3.7218550165846723e-27,3.7218306956259261e-27,2.2245425036668864e-27,1.6947672391495132e-24,1.4674010866058626e-39,6.8568115365301807e-30,7.573658821321749e-30,4.4049021349854868e-41,4.4049021349759058e-41,8.2522778830817291e-53,1.9309430592430985e-40,1.3277158164672914e-53,4.999895744260921e-31,3.4707772513271636e-95,3.2486570738542726e-95,3.2486570738542892e-95,1.8258966481946517e-44,1.139332146672482e-46,1.7540136414386864e-39,1.7426423796143975e-44,3.0176561152800227e-47,1.9615123408644442e-55,7.9863782054494778e-68,5.2045250802342401e-80
2.672589365830841e-21,0.49022193198830466,5.7459643653334606e-21,1.2125465345223097e-34,1.3340123891543757e-35,3.1809879041889956e-55,5.7503879939220008e-49,0.0,0.0,1.5576234519179677e-21,1.0683832945638017e-38,154.0,0.0,0.99999999999999212,1.0,19.0,3.8658337987778666e-16,3.296277015936694e-15,2.1057398087554909e-15,2.1057471123336226e-15,4.6793622712941516e-24,1.6254318675843815e-26,1.6254045761559392e-26,9.7151615438836949e-27,7.4014937764242203e-24,1.2978563340929067e-38,2.9945497425536428e-29,3.3076157850716569e-29,3.8960860544310719e-40,3.8960860544140246e-40,1.4684487489783722e-51,1.7078972660448081e-39,2.3625993521726331e-52,2.1835858305359768e-30,5.8654601169430532e-93,5.4900868366111389e-93,5.4900868366111951e-93,1.6149850103091479e-43,1.0077263811991772e-45,1.5512554172882035e-38,1.5413471593074751e-43,2.669082642475881e-46,3.4904063850573837e-54,2.8502816358409553e-66,3.7199768831025227e-78
5.502389870828201e-21,0.4902219319883046,1.1829926634539039e-20,2.778693638653115e-34,5.5692391238669615e-35,2.721402129951056e-54,4.8335476525551325e-48,0.0,0.0,3.2068718219527782e-21,4.4602899549737808e-38,154.0,0.0,0.99999999999998379,1.0,19.0,7.9590695857190578e-16,6.7864526538338971e-15,4.3353466650503186e-15,4.335361701808339e-15,1.9535416284105911e-23,6.7858580798963005e-26,6.7856048324636665e-26,4.0558886934871551e-26,3.0899779427994011e-23,1.0908535995862697e-37,1.2501655696729636e-28,1.3808644796945319e-28,3.2748950854872236e-39,3.2748950854584705e-39,2.4767534192302715e-50,1.4355905562309218e-38,3.9848691199122651e-51,9.1160410027206411e-30,8.588325638086309e-91,8.0386964695241665e-91,8.03869646952433e-91,1.357492252076141e-42,8.4705474345624358e-45,1.3036717395863684e-37,1.2955946715542163e-42,2.2435247556510006e-45,5.8870804616352052e-53,9.6304573304527268e-65,2.5158221359128294e-76
1.1161990880822922e-20,0.49022193198830466,2.399785117303963e-20,6.7822344896146472e-34,2.2752159019069025e-34,2.2501079187391459e-53,3.9628344188261308e-47,0.0,0.0,6.5053685903582101e-21,1.8221739919615385e-37,154.0,0.0,0.99999999999996703,1.0,19.0,1.6145541159601187e-15,1.3766803849268269e-14,8.7945603775334345e-15,8.7945908805880136e-15,7.9808549244953496e-23,2.7722444424359195e-25,2.772027142516075e-25,1.6569628653480073e-25,1.2623568048271723e-22,8.942282415416795e-37,5.1073342709835579e-28,5.6412819643251056e-28,2.6849568518153971e-38,2.6849568517681711e-38,4.0680748333574722e-49,1.1769838654945195e-37,6.5451594548346005e-50,3.7242001986748868e-29,1.1743808855940017e-88,1.0992237459002154e-88,1.0992237459002606e-88,1.1129541808379807e-41,6.9446665555921834e-44,1.0684159798668135e-36,1.0622059863944262e-41,1.8393770941262057e-44,9.6695470886986908e-52,3.1662835886004537e-63,1.6549917907769886e-74
2.2481192900812363e-20,0.49022193198830477,4.8333700250398521e-20,1.8274302762883378e-33,9.1967864513082335e-34,1.8297504084625713e-52,3.2092060648252779e-46,0.0,0.0,1.3102362240512324e-20,7.3655186943004551e-37,154.0,0.0,0.99999999999993361,1.0,19.0,3.2518484307364439e-15,2.7727505918696862e-14,1.7712987802073517e-14,1.7713049237468398e-14,3.2259891209291765e-22,1.1205855277663093e-24,1.1204056666885231e-24,6.6977087761237077e-25,5.1026479714651525e-22,7.2397582384695191e-36,2.0644661714910373e-27,2.2802963661473342e-27,2.1743476706548922e-37,2.1743476705783367e-37,6.594524302267285e-48,9.5315203793173349e-37,1.0609985395262131e-48,1.5053812651183545e-28,1.5532311443168315e-86,1.453828632304208e-86,1.4538286323043278e-86,9.0129915767447536e-41,5.6239710290626823e-43,8.6456297777408607e-36,8.6020064853934438e-41,1.4895751811571264e-43,1.5674751717966055e-50,1.0269764405969204e-61,1.073815087596573e-72
4.5119596940791245e-20,0.4902219319883046,9.7005398406547183e-20,5.5198385599171363e-33,3.697987383195586e-33,1.4757600203834716e-51,2.5830482392300008e-45,0.0,0.0,2.6296349994193562e-20,2.9616427351676214e-36,154.0,0.0,0.99999999999986677,1.0,19.0,6.5264370602886948e-15,5.5648908771793517e-14,3.5549842649449115e-14,3.5549965948513816e-14,1.2971560029769044e-21,4.5058251200647857e-24,4.5043620132421151e-24,2.6931192001256398e-24,2.0517522530756551e-21,5.8240765191939295e-35,8.3011276763219775e-27,9.1689713958227901e-27,1.7501041690697173e-36,1.7501041689464274e-36,1.06202770993744e-46,7.6717966362506571e-36,1.7087053969201423e-47,6.0530718577728651e-28,2.0207963015774329e-84,1.8914709082713753e-84,1.8914709082716878e-84,7.2544397639973043e-40,4.5266611581360638e-42,6.9480259851735414e-35,6.923622269444396e-40,1.1989395691563691e-42,2.5243701833281338e-49,3.308541069173072e-60,6.9196219774818954e-71
9.039640502074901e-20,0.49022193198830477,1.9434879472456797e-19,1.8480633646569197e-32,1.4830583372384126e-32,1.185410749747934e-50,2.0727335387898615e-44,0.0,0.0,5.2684327315048025e-20,1.1877512499766359e-35,154.0,0.0,0.99999999999973299,1.0,19.0,1.3075614319391596e-14,1.1149170933494519e-13,7.1223552337381953e-14,7.1223799359747093e-14,5.2021754653609924e-21,1.8070373995427802e-23,1.805857439152423e-23,1.080061218936444e-23,8.2284437704132419e-21,4.6684699710374253e-34,3.3291234746354098e-26,3.6771676208884727e-26,1.4043483775737586e-35,1.4043483773758508e-35,1.7047893597701348e-45,6.1561333451062053e-35,2.7428504476607323e-46,2.4275525450665527e-27,2.6077305757628233e-82,2.4408430067116805e-82,2.4408430067124863e-82,5.8212310598105283e-39,3.632360499479394e-41,5.5582113986237476e-34,5.5557372828323853e-39,9.6207329425200479e-42,4.0521723787020128e-48,1.0623029369646936e-58,4.4437304354971876e-69
