Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071)
0.0,0.712287259971089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.460248799884175e-22,0.712287259971089,5.3979769813207193e-22,7.1650650855513588e-36,1.160934650934006e-37,2.0513353607926752e-58,5.3168763656959547e-52,0.0,0.0,1.0014909661947967e-22,6.3646532304447811e-41,154.0,0.0,0.99999999999999944,1.0,19.0,3.5858869459455182e-17,3.0824174836082665e-16,1.3453808709458916e-16,1.3453872704132693e-16,5.8691878940620332e-26,9.5861818970601883e-29,9.5861974638925704e-29,5.7269556782395396e-29,9.2945228139636371e-26,1.1843681888064156e-41,1.772357082290239e-31,2.8585247038667908e-31,5.2123573602298707e-43,5.2123573602272939e-43,2.2187618530069132e-55,3.3329108027372597e-42,3.5707110714491468e-56,1.2962298785845789e-32,2.3460227942737574e-99,2.1957357676104182e-99,2.1957357676104223e-99,1.0152047043718575e-46,9.2962676011077435e-49,1.4150959479183762e-41,9.7099386198650219e-47,2.4660833598809796e-49,5.3112428219476764e-58,7.3432042209882737e-71,1.131075927758614e-83,2.3011569110203996e-84,1.138662536870014e-97,1.1978426203793916e-101,3.0439004008826163e-98,1.1649146172460823e-86,3.2187446922078649e-93,2.1046244252610477e-42,1.7915221597901351e-39,1.2765052385620084e-51,9.0208354912871973e-52
6.888696639675689e-22,0.712287259971089,1.5114335547701894e-21,2.0438325066448811e-35,7.0120452916428675e-37,3.0999779980106833e-57,6.3121964141538911e-51,0.0,0.0,2.8041747061773322e-22,3.8442505522216846e-40,154.0,0.0,0.99999999999999822,1.0,19.0,1.0040483448647436e-16,8.6307689490992705e-16,3.767066438645376e-16,3.7670843571521862e-16,3.5449894862984618e-25,5.7900538657801449e-28,5.7900457542031088e-28,3.4590812286853362e-28,5.613891776918132e-25,1.4060683047584709e-40,1.0705036777021258e-30,1.7265489211313033e-30,6.1881106580509918e-42,6.18811065804523e-42,4.9632815064489531e-54,3.9568317032553607e-41,7.9875378348740726e-55,7.8292284666501216e-32,2.4998693386598497e-97,2.3397268494774067e-97,2.3397268494774145e-97,1.2052514108555822e-45,1.1036528896019217e-47,1.6799548693592582e-40,1.1527638501428524e-45,2.9277341592548285e-48,1.188103772128916e-56,3.030193777363083e-69,8.5144572526280844e-82,1.7322534826935561e-82,1.5542687487850672e-95,1.6350503811553809e-99,4.154908959180049e-96,8.7691864605234004e-85,2.4837276042648339e-91,2.4986101165621021e-41,1.0820793845108142e-38,1.5154670192082321e-50,1.0709535886004221e-50
1.5745592319258717e-21,0.712287259971089,3.4547052680479785e-21,4.8489416335876452e-35,3.3759979649182973e-36,3.3348148719100498e-56,6.197352217632775e-50,0.0,0.0,6.4095421894700088e-22,1.8508411609605724e-39,154.0,0.0,0.999999999999996,1.0,19.0,2.2949676454051216e-16,1.9727471860065787e-15,8.6104375740318586e-16,8.6104785306101515e-16,1.7067598370207302e-24,2.7876616955987898e-27,2.7876399516759688e-27,1.6653987097750399e-27,2.7028472302267686e-24,1.3804573738539918e-39,5.1540143952823317e-30,8.312589838781051e-30,6.0755237390408112e-41,6.0755237390294266e-41,9.8066078365873417e-53,3.8848408262321767e-40,1.5782028731267623e-53,3.7694364869228523e-31,5.6891177170960088e-95,5.3246708804647095e-95,5.3246708804647454e-95,1.1833231512999885e-44,1.0835729515801906e-46,1.649290021443718e-39,1.1317902508281683e-44,2.874466746930071e-47,2.3474928317364425e-55,1.1987145194431753e-67,6.7321253005398851e-80,1.3696407359653286e-80,2.4553636815106923e-93,2.5829795978692738e-97,6.5637375293139679e-94,6.9335320249688146e-83,2.7068878396540385e-89,2.4531502266500557e-40,5.2097464406333023e-38,1.4878945060288659e-49,1.0514685819963341e-49
3.3459383678424775e-21,0.712287259971089,7.3412486946097681e-21,1.1060988410536435e-34,1.4743870066884692e-35,3.0652694084923241e-55,5.4814879916876435e-49,0.0,0.0,1.3620277169365787e-21,8.083109618642065e-39,154.0,0.0,0.99999999999999156,1.0,19.0,4.876806246485854e-16,4.1920877601936837e-15,1.8297179844754888e-15,1.8297266877446605e-15,7.4538685988761924e-24,1.2174451008581204e-26,1.2174199317227896e-26,7.273233696308362e-27,1.1804043931637298e-23,1.2209476387958492e-38,2.250893494490332e-29,3.6303263738451274e-29,5.3737319440120216e-40,5.3737319439917622e-40,1.7450334552567602e-51,3.4360977097694218e-39,2.8083276842393768e-52,1.6462119458012747e-30,9.6143574346126796e-93,8.9984583923506591e-93,8.9984583923507732e-93,1.0466359937865351e-43,9.5840800459345488e-46,1.458601142047919e-38,1.0010554230767707e-43,2.5424332642737778e-46,4.1772380344750223e-54,4.2781269406271214e-66,4.8118416312690772e-78,9.7896192049822833e-79,3.5123176661087816e-91,3.6948685819989839e-95,9.3892116495317991e-92,4.9557987352267272e-81,2.2144023239826139e-87,2.169783590255265e-39,2.2752331428958481e-37,1.3160258406659657e-48,9.3001204978673208e-49
6.888696639675688e-21,0.7122872599710889,1.5114335547758199e-20,2.58923960567684e-34,6.1552755192726371e-35,2.6224025194515498e-54,4.6075209961515648e-48,0.0,0.0,2.8041747182399049e-21,3.3745391571566457e-38,154.0,0.0,0.99999999999998268,1.0,19.0,1.0040483448647231e-15,8.6307688765431096e-15,3.7670664386001211e-15,3.7670843570801628e-15,3.1118433975073616e-23,5.0825936412046039e-26,5.0823575855095644e-26,3.036431887052342e-26,4.9279559580766539e-23,1.0261938095983205e-37,9.3970372501384074e-29,1.5155897979310455e-28,4.516945490493132e-39,4.5169454904589629e-39,2.9432539386826541e-50,2.8882471543590652e-38,4.7366550949357677e-51,6.872610816245171e-30,1.4077537107566503e-90,1.3175725241212805e-90,1.317572524121315e-90,8.7976064399460629e-43,8.0559967626505949e-45,1.2257441461103132e-37,8.4144700307665232e-43,2.1370683162462728e-45,7.0455223899018077e-53,1.4454823798824038e-64,3.2542507741556443e-76,6.6207241048778889e-77,4.7526761064139482e-89,4.9996943615728907e-93,1.2704965317188964e-89,3.3516090318060104e-79,1.5937214351094668e-85,1.8238338398560389e-38,9.4986504908686927e-37,1.1061990155053896e-47,7.8173115941069741e-48
1.397421318334211e-20,0.712287259971089,3.0660509254154479e-20,6.5184467719220502e-34,2.5146308913264829e-34,2.1682531244312573e-53,3.7775241091193937e-47,0.0,0.0,5.688468742143239e-21,1.3786093604960226e-37,154.0,0.0,0.99999999999996503,1.0,19.0,2.0367837852969624e-15,1.7508130981142812e-14,7.6417633467694907e-15,7.6417996956240202e-15,1.2712895543494821e-22,2.0764053431086796e-25,2.0762018764182212e-25,1.2404814962568487e-25,2.0132307875182335e-22,8.411942797554453e-37,3.8389963343847295e-28,6.1916788490630174e-28,3.703264815313484e-38,3.7032648152573611e-38,4.83430329086353e-49,2.3679594994499599e-37,7.7799701564737837e-50,2.8076857662006469e-29,1.9249841228625149e-88,1.8016689782280665e-88,1.8016689782281608e-88,7.2128093951602665e-42,6.6047928686792231e-44,1.0044507562882713e-36,6.8986843830569006e-42,1.7520976637170495e-44,1.1572291309947916e-51,4.7524296619229551e-63,2.1407547874603507e-74,4.3553333188005147e-75,6.2542543432993934e-87,6.579316694840759e-91,1.6719013708079587e-87,2.204800299286081e-77,1.0802762829772337e-83,1.4952891617972181e-37,3.8805086587051457e-36,9.0692878650996929e-47,6.4091042507450107e-47
2.814524627067496e-20,0.7122872599710891,6.1752856667344677e-20,1.8228563652928283e-33,1.0164540117702709e-33,1.7631874460802506e-52,3.0591369711955371e-46,0.0,0.0,1.1457056875136629e-20,5.5725595066995265e-37,154.0,0.0,0.99999999999992972,1.0,19.0,4.1022546661612947e-15,3.526285467794562e-14,1.539115716278864e-14,1.5391230372203205e-14,5.1387555556488668e-22,8.3931623833122043e-25,8.391474762828402e-25,5.0142244958004083e-25,8.1378005968565544e-22,6.8099201592390106e-36,1.5517836985705412e-27,2.5027755870093726e-27,2.9989998608307423e-37,2.9989998607397647e-37,7.8366135001259194e-48,1.9176349666127266e-36,1.2611666690001705e-48,1.1349114777278168e-28,2.5459757805963106e-86,2.3828796969025555e-86,2.3828796969028041e-86,5.841120096409515e-41,5.3487325056077298e-43,8.1264040183583626e-36,5.586722898886997e-41,1.4188940200587455e-43,1.8759181691741852e-50,1.5414390716613765e-61,1.3889946602614897e-72,2.8258886815458509e-73,8.1168152890776169e-85,8.5386836454819805e-89,2.1698038575965507e-85,1.4305495710324785e-75,7.1130241321002233e-82,1.2109239125604102e-36,1.5685636437241238e-35,7.3445444482056269e-46,5.1902586337253684e-46
5.648731244534064e-20,0.712287259971089,1.2393755149531572e-19,5.7055607613168293e-33,4.0871168761152274e-33,1.4220745748752831e-51,2.4622595768217214e-45,0.0,0.0,2.2994233481870307e-20,2.2407017095720177e-36,154.0,0.0,0.99999999999985911,1.0,19.0,8.233196427889381e-15,7.0772300021965031e-14,3.0889944793548606e-14,3.0890091723327918e-14,2.0662709397076843e-21,3.3748536781039013e-24,3.3734795211980738e-24,2.0161975778018511e-24,3.2721737207243991e-21,5.4775346519111799e-35,6.2396540015573659e-27,1.006355055761113e-26,2.4138559947107767e-36,2.4138559945642597e-36,1.2620622975380577e-46,1.5434794040521849e-35,2.0310699779124589e-47,4.5634291366940903e-28,3.3123842900417865e-84,3.1001918137886367e-84,3.1001918137892841e-84,4.7014416384264545e-40,4.3051252492934851e-42,6.5281576410172119e-35,4.4966635995989279e-40,1.1420491966613123e-42,3.0211079918124696e-49,4.9659506694018647e-60,8.9506264555912993e-71,1.8209914494549851e-71,1.0461450926866648e-82,1.1005180923303458e-86,2.7965728300638422e-83,9.2184046525273067e-74,4.6171247522545297e-80,9.7465688280163709e-36,6.3071254225150057e-35,5.911528329431364e-45,4.1775714399513685e-45
1.1317144479467203e-19,0.712287259971089,2.4830694115762012e-19,1.9633693635987287e-32,1.6391166681392751e-32,1.1422876724431336e-50,1.9758082441476252e-44,0.0,0.0,4.606858805832524e-20,8.9862163620555883e-36,154.0,0.0,0.99999999999971778,1.0,19.0,1.6495079951343234e-14,1.417911825116599e-13,6.1887520049955185e-14,6.1887814417446326e-14,8.2866700838623227e-21,1.353467267530667e-23,1.3523585787740073e-23,8.0858537437952009e-24,1.3122879269919911e-20,4.3894796833678373e-34,2.5023803295951861e-26,4.0359338755508417e-26,1.9369674158096754e-35,1.9369674155744833e-35,2.0258890179265346e-45,1.2385449405034758e-34,3.2603169267279781e-46,1.8301391881474646e-27,4.2744564530097651e-82,4.0006333033139602e-82,4.0006333033156292e-82,3.7726108383297679e-39,3.4545918845485068e-41,5.218200788407838e-34,3.6082620286553696e-39,9.1642231316009683e-42,4.8495461547133421e-48,1.5944622111155754e-58,5.7480263067031422e-69,1.1694272809044959e-69,1.343689661586646e-80,1.4135274373167894e-84,3.59196406462433e-81,5.9199914919678779e-72,2.9758581994618488e-78,7.8210071851313228e-35,2.5294393867343286e-34,4.7436291838450841e-44,3.3522375838519309e-44
