Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298)
0.0,0.7327975657399608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.657971766316949e-22,0.7327975657399608,2.9222707061230593e-22,1.6738080472753925e-36,1.3518483875317768e-37,2.6374801205526237e-58,1.7265324088350972e-51,0.0,0.0,8.5448823317549673e-23,1.1533436327597973e-40,154.0,0.0,0.99999999999999922,1.0,19.0,5.7958585912395788e-17,2.4808326059968997e-16,1.9697125319761425e-16,1.9697163087325374e-16,1.4124413311531224e-25,4.0995441414981314e-28,4.099520290348545e-28,2.5497733473796476e-28,2.0200009146181445e-25,1.1921736010302262e-40,5.5981155825184529e-31,6.059148774080167e-31,2.490878891301035e-42,2.490878891297303e-42,3.2244118360768718e-54,1.1707639655292376e-41,5.0766623507257564e-55,4.1003119341193658e-32,1.6209699956141968e-97,1.5259599638298251e-97,1.5259599638298288e-97,9.1857010968924918e-46,4.7529656300074408e-48,1.4829181358673921e-40,7.2942934118801107e-46,8.4941661719644238e-49,4.1943981277665888e-57,1.5517524690612562e-69,7.1151887177200287e-82,8.7508549849422099e-83,1.3101022021597797e-95,1.5942748106490744e-99,2.9822247039282008e-96,7.4314996443712068e-85,5.4191486402580807e-92,8.186310223779232e-42,2.1984184925251204e-39,4.5755477031560116e-51,1.7764929037929889e-51,1.1249194178435452e-51,7.1423724030552718e-56,2.293857690372749e-63,1.3305918962194029e-63
2.1442320945687457e-21,0.7327975657399608,8.1823579771502282e-22,5.1246614099395785e-36,8.1651642606965467e-37,3.9857599620297283e-57,2.0497393800424616e-50,0.0,0.0,2.3925670555366424e-22,6.9661955486035771e-40,154.0,0.0,0.99999999999999811,1.0,19.0,1.6228404055470789e-16,6.9463312854527071e-16,5.5151950895198885e-16,5.5152056644295531e-16,8.5311456285448791e-25,2.4761246614247711e-27,2.4760917613419056e-27,1.540063100715885e-27,1.2200805507675298e-24,1.4153213997363824e-39,3.381261811830117e-30,3.6597258595224944e-30,2.9571714197363643e-41,2.957171419728016e-41,7.212880268481345e-53,1.3899309781416516e-40,1.1356290599258376e-53,2.476588408205291e-31,1.727269317585235e-95,1.6260287559414289e-95,1.6260287559414362e-95,1.0905265775126244e-44,5.6427207959199248e-47,1.7604210056320667e-39,8.6597838341716865e-45,1.0084274035176887e-47,9.3827007966175807e-56,6.4033499864960293e-68,5.3561364499818811e-80,6.5874251847719412e-81,1.7882830426083435e-93,2.1761778568940828e-97,4.0707217684183691e-94,5.5942474195071482e-83,4.1816578686610638e-90,9.7187874855413084e-41,1.3278447694766138e-38,5.4320902330818046e-50,2.109052371000013e-50,1.3355042928270676e-50,8.4833906642740502e-55,5.1311543059646664e-62,2.9764139758832485e-62
4.901101930442847e-21,0.7327975657399608,1.8702532519227212e-21,1.3778363645585268e-35,3.9311751109493285e-36,4.2876986950869772e-56,2.0124463238082604e-49,0.0,0.0,5.4687247108399413e-22,3.3539232941583009e-39,154.0,0.0,0.99999999999999556,1.0,19.0,3.7093494983933042e-16,1.5877328599009873e-15,1.2606160204554126e-15,1.2606184375737366e-15,4.1073793735633082e-24,1.1921474362875062e-26,1.1921127598024345e-26,7.4147408776586788e-27,5.8741626347821193e-24,1.3895135445798878e-38,1.6279320113798219e-29,1.7620004634696218e-29,2.9033684356501875e-40,2.9033684356336928e-40,1.425143579635557e-51,1.3646424728434355e-39,2.2438116470056303e-52,1.1923707104377e-30,3.9308608353101742e-93,3.7004610043992025e-93,3.7004610043992353e-93,1.0706855233477216e-43,5.5400567382594445e-46,1.7281812593886817e-38,8.5022243572103489e-44,9.9007999530859801e-47,1.8538635483989557e-54,2.5331015528327194e-66,4.2349359983564352e-78,5.2084789684131486e-79,2.825048896067485e-91,3.4378280307611785e-95,6.4307418068062672e-92,4.423203180510007e-81,4.5573752994290111e-88,9.5419631592359417e-40,6.3930009761346582e-38,5.333258402473104e-49,2.0706801150737348e-49,1.3112059493243963e-49,8.3374443290636364e-54,1.013780507375639e-60,5.8806033011581328e-61
1.041484160219105e-20,0.7327975657399608,3.9742881603471782e-21,3.8093750158493121e-35,1.7168474521725085e-35,3.9411338219941707e-55,1.7799860013290724e-48,0.0,0.0,1.1621040063770569e-21,1.4647464240300789e-38,154.0,0.0,0.99999999999999056,1.0,19.0,7.8823676840856942e-16,3.3739323044706423e-15,2.6788090434409612e-15,2.678814179800816e-15,1.7938004725534947e-23,5.2064210590810714e-26,5.2061041240707833e-26,3.2382121341001084e-26,2.5654011358066833e-23,1.2289068998717531e-37,7.1096067896274814e-29,7.6951189427419394e-29,2.5679965016700867e-39,2.5679965016407346e-39,2.5359668048220066e-50,1.2070108066093901e-38,3.992742919629417e-51,5.2073961562880672e-30,6.6429810340762954e-91,6.2536155054778465e-91,6.2536155054779566e-91,9.4700924525855367e-43,4.9001174457502876e-45,1.5281823833079864e-37,7.5201162441953501e-43,8.757145269041371e-46,3.2988510721153887e-53,9.0404593504624291e-65,3.0269551183668948e-76,3.722802913362195e-77,4.0411402676530417e-89,4.9177011040130383e-93,9.1989639015813925e-90,3.1615206256409023e-79,3.7282159631161885e-86,8.4397583093450577e-39,2.791991485374231e-37,4.7172066593620839e-48,1.8314930955609358e-48,1.1597466623805302e-48,7.3893198671309346e-53,1.8037926751482982e-59,1.0463185787531424e-59
2.1442320945687457e-20,0.7327975657399607,8.1823579772323298e-21,1.1475645135355255e-34,7.1675001507578474e-35,3.3717229868459779e-54,1.4961854935207552e-47,0.0,0.0,2.3925670938927938e-21,6.1150280347010929e-38,154.0,0.0,0.99999999999998046,1.0,19.0,1.6228404055470227e-15,6.946331121042837e-15,5.5151950893268597e-15,5.5152056641170476e-15,7.4887637756751174e-23,2.1735783032629116e-25,2.1733076930625917e-25,1.3518898134158569e-25,1.0710044617480162e-22,1.0327985869013599e-36,2.9681208816974304e-28,3.212560679711418e-28,2.1585557929475758e-38,2.1585557928980689e-38,4.2772785122602906e-49,1.0145652998161267e-37,6.7343444586382867e-50,2.1739853874309093e-29,9.7267875302789214e-89,9.1566706281197201e-89,9.156670628120048e-89,7.9601834220010529e-42,4.1188439672201148e-44,1.2839000285240584e-36,6.3211025556601056e-42,7.3609079761642462e-45,5.5639942984457203e-52,3.0545667792215647e-63,2.047131138608298e-74,2.5177333224512807e-75,5.4682498084283509e-87,6.6543641398945737e-91,1.2447527859977254e-87,2.1381378531429565e-77,2.6832241054862801e-84,7.0941253157031851e-38,1.1656014846174161e-36,3.9650964295514501e-47,1.5394802747726541e-47,9.7483669591821821e-48,6.2363097924160312e-52,3.0417676516104492e-58,1.764420506374126e-58
4.3497279632680266e-20,0.7327975657399608,1.659849761114758e-20,3.8020956644286792e-34,2.9281576813838263e-34,2.7878058129162144e-53,1.2266632661825059e-46,0.0,0.0,4.8534933366427127e-21,2.4981885217204174e-37,154.0,0.0,0.99999999999996025,1.0,19.0,3.2920476798238296e-15,1.409112846391878e-14,1.1187967180757856e-14,1.1187988632197872e-14,3.0594042836873143e-22,8.8797765875143959e-25,8.8775410865038414e-25,5.5229109312694377e-25,4.3754025848207851e-22,8.4646922766728972e-36,1.2125742275055725e-27,1.3124358608018763e-27,1.7697144533376769e-37,1.769714453256361e-37,7.0254422457946371e-48,8.3180191221045915e-37,1.106118077553318e-48,8.881439661448187e-29,1.3300559193698281e-86,1.2520972554150204e-86,1.2520972554151095e-86,6.5262393441469782e-41,3.3768771341389402e-43,1.0515882100823015e-35,5.1824082203613947e-41,6.0349166269293927e-44,9.138876669728747e-51,1.0042746542399573e-61,1.3466711424040474e-72,1.6562489553673961e-73,7.1959087822106603e-85,8.7567685685192498e-89,1.6380228357871716e-85,1.4065383947426258e-75,1.818776668894056e-82,5.8161924167228658e-37,4.7618623905382024e-36,3.2508256128906017e-46,1.2621588951762019e-46,7.9922960427117163e-47,5.1541328966507276e-51,4.9941676392176936e-57,2.8969210572368696e-57
8.760719700666589e-20,0.7327975657399608,3.3430776879557898e-20,1.3596266475960614e-33,1.1836081520515005e-33,2.2669974609964346e-52,9.9338371750755549e-46,0.0,0.0,9.7753460930163284e-21,1.009807776299826e-36,154.0,0.0,0.99999999999991995,1.0,19.0,6.6304622283770469e-15,2.8380721988596982e-14,2.2533511362256658e-14,2.2533554566153592e-14,1.2366600697145333e-21,3.5893476701045278e-24,3.5875308307129089e-24,2.2324488477432841e-24,1.7686075993370342e-21,6.8503729967771033e-35,4.9014189009715718e-27,5.3050755887179822e-27,1.4331606469853224e-36,1.4331606468535064e-36,1.1388542829673376e-46,6.7361472522210912e-36,1.7930649983317113e-47,3.5900199130214596e-28,1.7591262787827152e-84,1.6560184827732131e-84,1.6560184827734494e-84,5.2851178430738943e-40,2.7346826542582568e-42,8.4993887440847761e-35,4.1968265775014969e-40,4.8872312064113745e-43,1.4814510720292969e-49,3.2573402960677244e-60,8.7376605909105993e-71,1.0746306779822463e-71,9.3389002905180599e-83,1.1364595029037086e-86,2.1258329050543959e-83,9.1260996959161241e-74,1.1975642286172703e-80,4.7101032098084265e-36,1.9248209134618908e-35,2.6326028628965576e-45,1.0221289231949947e-45,6.4723618085943409e-46,4.2407291426466983e-50,8.0894627027057963e-56,4.6923262095714509e-56
1.7582703175463713e-19,0.7327975657399608,6.7095335418697749e-20,5.1125042152229012e-33,4.7592363226047299e-33,1.8284156970917411e-51,7.9956163876549761e-45,0.0,0.0,1.9619052689258681e-20,4.0603929227165264e-36,154.0,0.0,0.99999999999983935,1.0,19.0,1.3307291325481891e-14,5.6959904393659397e-14,4.5224599719801498e-14,4.5224686425246115e-14,4.9725552882827588e-21,1.4432609100310647e-23,1.4417964845211749e-23,8.976578192431799e-24,7.1114927103700013e-21,5.5064588937233537e-34,1.9708389824192648e-26,2.1331475607820591e-26,1.1535323704124094e-35,1.1535323702001238e-35,1.8340891347943401e-45,5.4218368699873033e-35,2.8876756732195944e-46,1.4435312174331091e-27,2.2886715151567349e-82,2.1545254458592463e-82,2.1545254458598611e-82,4.2539226449526938e-39,2.2011105114857375e-41,6.814403795881407e-34,3.377935791150692e-39,3.933667656980135e-42,2.3858305780145918e-48,1.0493952616708704e-58,5.6305128873492733e-69,6.9248763098943454e-70,1.2036547319974038e-80,1.4647386984780256e-84,2.739892237673846e-81,5.8808214658727315e-72,7.7734917502472924e-79,3.7911005042137386e-35,7.7396202329310416e-35,2.1189478124864893e-44,8.2269816179549171e-45,5.2095090146964819e-45,3.5208066135099167e-49,1.3007590476521514e-54,7.5449323161262249e-55
3.5226670125057963e-19,0.7327975657399608,1.3442445250625433e-19,1.9794432983136024e-32,1.9086666275586809e-32,1.468683109658536e-50,6.4159786070501904e-44,0.0,0.0,3.9306470215723881e-20,1.6283993818196413e-35,154.0,0.0,0.99999999999967804,1.0,19.0,2.6660949519685235e-14,1.1411825062661435e-13,9.0606776413080113e-14,9.0606950108194241e-14,1.9942167032040523e-20,5.7881217506640084e-23,5.7763707211143525e-23,3.6000089913856701e-23,2.8520261164620887e-20,4.4068883103011877e-33,7.9039457952710174e-26,8.5548757853122155e-26,9.2563707961899138e-35,9.2563707927822607e-35,2.9441173919605795e-44,4.3506818782467102e-34,4.6353582424788938e-45,5.7892058161283599e-27,2.9534093453748464e-80,2.7803009495152787e-80,2.7803009495168663e-80,3.4135050283563736e-38,1.7662525632854613e-40,5.4258500673042786e-33,2.710524000228959e-38,3.1565186392412923e-41,3.8297842028741762e-47,3.3693861530746747e-57,3.6158726822948652e-67,4.447103059765524e-68,1.5459976901548534e-78,1.8813390555859883e-82,3.519141511603404e-79,3.7766189557019593e-70,5.0102196482515402e-77,3.042118871845107e-34,3.1039338736550213e-34,1.7003221682830851e-43,6.6016327246392938e-44,4.1802854854903234e-44,2.9977468922677852e-48,2.0815381774685875e-53,1.2073214337417523e-53
