Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335)
0.0,0.6211829050151113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6500521727370852e-22,0.6211829050151113,6.7897764050438535e-22,1.4080716680148739e-35,1.2696648856681295e-37,2.4908391457945196e-58,4.6118895118468836e-52,0.0,0.0,1.2160367888607658e-22,6.7630698956624474e-41,154.0,0.0,0.99999999999999944,1.0,19.0,3.0444498663868535e-17,3.361903102377071e-16,1.342553402267053e-16,1.3425614080798104e-16,4.3557909299370206e-26,7.4507656393446768e-29,7.4507930735774145e-29,4.3869965719795179e-29,7.1570056847401652e-26,6.827949252031717e-42,1.53822711463105e-31,2.5205288662577727e-31,3.4630333179044069e-43,3.4630333179030914e-43,1.1315918352007991e-55,2.1789145000630836e-42,1.8359088979800342e-56,1.1225440472124298e-32,7.9640050991777263e-100,7.4382839580426381e-100,7.4382839580426503e-100,6.9143007762790822e-47,6.835058149090879e-49,8.0404369748259289e-42,7.0586302663807697e-47,2.0907912138789691e-49,3.3704013825263648e-58,3.3013222287692784e-71,3.9335623409820203e-84,8.4589845177215663e-85,3.2190028248899472e-98,3.6503412466609609e-102,8.0368112932378691e-99,4.0312981933875759e-87,1.7986417930209252e-93,1.3260987114651895e-42,1.9235787358004344e-39,1.0675280644272328e-51,8.2411585804560595e-52,3.6519894924096277e-52,5.8595039902991461e-56,1.5968134877748962e-64,9.7829041176880604e-65,1.9716882854773857e-70,3.6137772366500365e-83,1.3519877200626209e-70
4.620146083663839e-22,0.6211829050151113,1.9011373934126693e-21,3.9837378127374966e-35,7.6687759094367878e-37,3.7641561177912985e-57,5.4752361808426212e-51,0.0,0.0,3.4049030095294365e-22,4.0848942177760396e-40,154.0,0.0,0.99999999999999822,1.0,19.0,8.524459625883177e-17,9.4133286828581189e-16,3.7591495263453187e-16,3.7591719426196271e-16,2.6308977207962883e-25,4.500262446137383e-28,4.5002691046599174e-28,2.6497459289393081e-28,4.3228314321278116e-25,8.1060794914904309e-41,9.2908917723636092e-31,1.522399435216851e-30,4.1113131550090791e-42,4.1113131550061376e-42,2.5313256686996699e-54,2.5868072936767516e-41,4.106854767126091e-55,6.7801660451625629e-32,8.4862654399496628e-98,7.9260687681113485e-98,7.9260687681113719e-98,8.2086614997401739e-46,8.1145810345921391e-48,9.5453974973963667e-41,8.3800055326039269e-46,2.4821873255655459e-48,7.5394530663501501e-57,1.3622998595866569e-69,2.9610875446732181e-82,6.3677124003048549e-83,4.393922986986137e-96,4.982702466867589e-100,1.0970207651943795e-96,3.0346606547854928e-85,1.3879125866451631e-91,1.5743443897657091e-41,1.1618415564211865e-38,1.2673693180792837e-50,9.7839034604954376e-51,4.3356418950256618e-51,6.956703914622356e-55,3.5719777133420652e-63,2.1883767962787631e-63,4.4107700046990807e-69,1.4912953872564685e-81,3.0244673695623272e-69
1.0560333905517346e-21,0.6211829050151113,4.3454568992307997e-21,9.2996186713672254e-35,3.692185487524851e-36,4.0493073847350814e-56,5.3756197673869214e-50,0.0,0.0,7.7826354537439434e-22,1.9667007268503527e-39,154.0,0.0,0.99999999999999589,1.0,19.0,1.9484479144875782e-16,2.1516179828629494e-15,8.5923417744921372e-16,8.5923930116838944e-16,1.2666640010971779e-24,2.1666826478812301e-27,2.1666757581901641e-27,1.2757386023271628e-27,2.0812572509395679e-24,7.9584658836262653e-40,4.4731644493351946e-30,7.329697943034951e-30,4.0365116353275763e-41,4.0365116353217636e-41,5.0014729436452692e-53,2.5397427387992913e-40,8.1144529500046867e-54,3.2643580892929737e-31,1.931275459876065e-95,1.8037878043602536e-95,1.8037878043602639e-95,8.0593141226740936e-45,7.9669437785538146e-47,9.371284602481433e-40,8.2275384475992029e-45,2.437026227887473e-47,1.48966887080395e-55,5.3891227529349535e-68,2.3412428772345047e-80,5.0347587082848291e-81,6.9413214031454114e-94,7.8714517670231982e-98,1.733023887076046e-94,2.3994149229557823e-83,1.5126150294605581e-89,1.5457006565779579e-40,5.5937669636735284e-38,1.2443107118693288e-49,9.6058944220914029e-50,4.2567588582272175e-50,6.830770260830516e-54,7.0574955047952828e-62,4.3237784922640513e-62,8.7157260176711275e-68,5.8999416983534825e-80,5.9763780279672945e-68
2.244070954922436e-21,0.6211829050151113,9.2340959108733123e-21,2.0589574665373253e-34,1.6124744048005209e-35,3.7220111235308368e-55,4.7546749730385423e-49,0.0,0.0,1.6538100353681625e-21,8.589098779795566e-39,154.0,0.0,0.99999999999999134,1.0,19.0,4.140451818286082e-16,4.5721882059409369e-15,1.8258726270746929e-15,1.825883514975097e-15,5.5318544672921009e-24,9.4624723615523249e-27,9.4623535728587948e-27,5.5714856381010215e-27,9.0893971970636645e-24,7.0389398682515242e-39,1.9535484355691401e-29,3.2010716601032992e-29,3.5702488293809497e-40,3.5702488293706058e-40,8.8998538296108614e-52,2.2463736877891342e-39,1.4439235450888794e-52,1.425630939958988e-30,3.2637701484415828e-93,3.0483216466557111e-93,3.0483216466557469e-93,7.128372702504631e-44,7.04667154933106e-46,8.2880066847857471e-39,7.2771633785503914e-44,2.1555220867399716e-46,2.6507861469606644e-54,1.9233396198621209e-66,1.6734225025370934e-78,3.5986349811311181e-79,9.9293338994500368e-92,1.1259857191239088e-95,2.4790340085032308e-92,1.7150014481927756e-81,1.2374130126369053e-87,1.3671547244098312e-39,2.4429449944312801e-37,1.1005787332450882e-48,8.4963048096018023e-49,3.7650548894312043e-49,6.0428722942306072e-53,1.2557969543985319e-60,7.6936279238233725e-61,1.5511985141249172e-66,2.1060236080457247e-78,1.0636576572097423e-66
4.620146083663838e-21,0.6211829050151112,1.9011373934183346e-20,4.5802263760440778e-34,6.7317632238303939e-35,3.1842588826553586e-54,3.9965908712157628e-48,0.0,0.0,3.404903019959167e-21,3.585779669749729e-38,154.0,0.0,0.99999999999998224,1.0,19.0,8.5244596258830224e-16,9.4133286277917635e-15,3.7591495263101107e-15,3.7591719425639284e-15,2.3094403386974841e-23,3.9503959416066781e-26,3.9502722225068264e-26,2.3259855749818743e-26,3.7946443937485248e-23,5.9162610220075271e-38,8.1556801616631938e-29,1.3363844048502075e-28,3.0010092646798219e-39,3.0010092646623751e-39,1.5010904158612224e-50,1.8882124336958158e-38,2.4353881003156884e-51,5.951728538313123e-30,4.778878431361303e-91,4.4634143663629357e-91,4.4634143663630398e-91,5.9918270230878153e-43,5.9231520309707654e-45,6.9652430366101138e-38,6.1168922754561593e-43,1.811846171340557e-45,4.4709382301288465e-53,6.4985298021204959e-65,1.1317364354804361e-76,2.4337585517201325e-77,1.3435831450358371e-89,1.5236224222603607e-93,3.3544928121202616e-90,1.1598562962482472e-79,8.9057513215820905e-86,1.1491759200389966e-38,1.0198814456896461e-36,9.2510274008053714e-48,7.1416560937979711e-48,3.1647553036723991e-48,5.0813048867167625e-52,2.1179276565784114e-59,1.297539922422904e-59,2.6172734816104729e-65,7.1183214571089784e-77,1.7946658370165505e-65
9.372296341146643e-21,0.6211829050151113,3.8565929980903435e-20,1.0675875037935097e-33,2.7501449289678098e-34,2.6328068294406544e-53,3.2766466862312942e-47,0.0,0.0,6.9070890075550419e-21,1.4649080010504526e-37,154.0,0.0,0.99999999999996392,1.0,19.0,1.7292475241076623e-15,1.909560937427281e-14,7.6257033247187879e-15,7.6257487976432622e-15,9.434817281274066e-23,1.6138656402280725e-25,1.613754522555804e-25,9.502409991425771e-26,1.5502360421495229e-22,4.8498654022910423e-37,3.3318614592817737e-28,5.4595663451331698e-28,2.4604087084542366e-38,2.4604087084255806e-38,2.4655454646203378e-49,1.548070625837012e-37,4.000132245511022e-50,2.4314753080179313e-29,6.5347120276331405e-89,6.1033416026650338e-89,6.1033416026653205e-89,4.9124619043243857e-42,4.8561578966734316e-44,5.7083537869839853e-37,5.014994531692601e-42,1.4854609214801969e-44,7.3435292917311086e-52,2.1365743689345952e-63,7.4449401096191524e-75,1.6010076278566669e-75,1.7680798350896852e-87,2.0050014905774952e-91,4.4143227979150385e-88,7.6299219419680432e-78,6.0366082321215809e-84,9.4216384448296776e-38,4.1665484846244129e-36,7.5845511858066559e-47,5.855161081703048e-47,2.5946572887786843e-47,4.1690874238867322e-51,3.4781853634786709e-58,2.1308753159490726e-58,4.3020020272656747e-64,2.3420210217279985e-75,2.9498851088271689e-64
1.8876596856112254e-20,0.6211829050151113,7.7675042074743683e-20,2.7079615733669846e-33,1.1116525513294748e-33,2.1409548017274016e-52,2.6535134497582119e-46,0.0,0.0,1.3911461056402266e-20,5.9213923980791449e-37,154.0,0.0,0.99999999999992728,1.0,19.0,3.4828506471462725e-15,3.8460170478352513e-14,1.5358810921287506e-14,1.535890250740864e-14,3.8137039510770386e-22,6.5235029513931552e-25,6.5225641256406887e-25,3.8410260224974074e-25,6.2663018718782516e-22,3.9265059603416976e-36,1.3467916736839427e-27,2.2068440075180263e-27,1.9925027623913675e-37,1.9925027623449148e-37,3.996755280613951e-48,1.2536677158057051e-36,6.4843866751710686e-49,9.828411954437456e-29,8.6427822227364108e-87,8.0722535407565972e-87,8.0722535407573562e-87,3.9782390547579228e-41,3.9326425689779174e-43,4.6192567460310907e-36,4.0612672123939577e-41,1.2029647075913721e-43,1.190417686335802e-50,6.9299274233191819e-62,4.8305309333399167e-73,1.0387883256794064e-73,2.2946264855232748e-85,2.6021051439696407e-89,5.728936589167811e-86,4.9505534523076999e-76,3.9747739266847402e-82,7.62988700330635e-37,1.6841855147515269e-35,6.1421661915656679e-46,4.7416611445045114e-46,2.1012202322571062e-46,3.3812993369705287e-50,5.6366123560793665e-57,3.4531457006092925e-57,6.9838541344165775e-63,7.6071396190744221e-74,4.788832544215358e-63
3.788519788604347e-20,0.6211829050151113,1.5589326626402453e-19,7.6736870616491376e-33,4.4699060166915906e-33,1.7267576292927284e-51,2.1357784790081821e-45,0.0,0.0,2.79202054487186e-20,2.3809658715583076e-36,154.0,0.0,0.99999999999985412,1.0,19.0,6.9900568932230518e-15,7.7189291130982419e-14,3.0825026113430384e-14,3.0825209925366505e-14,1.5334735502539988e-21,2.6230718442818992e-24,2.6223006371578063e-24,1.544459648887901e-24,2.5196523646568713e-21,3.158719447888065e-35,5.4153900855183433e-27,8.8736226925745735e-27,1.6037395668046558e-36,1.6037395667298465e-36,6.4366506345425498e-47,1.0090608226737024e-35,1.0442904605298779e-47,3.9519612199326505e-28,1.1244496619762134e-84,1.0502223163093443e-84,1.0502223163095418e-84,3.2020329074121264e-40,3.1653328714527624e-42,3.7123319396125286e-35,3.2688525111654661e-40,9.6825055597130339e-43,1.9171308008482986e-49,2.2325682184827729e-60,3.1127750573108411e-71,6.6939109487961632e-72,2.9574558830610627e-83,3.3537533499945881e-87,7.3837992555925331e-84,3.1901170949457559e-74,2.5800597244419017e-80,6.1411967137657264e-36,6.7720358807417916e-35,4.9437497049888458e-45,3.8165012356512746e-45,1.6912440219824544e-45,2.729716209778393e-49,9.0721968480022161e-56,5.5576610180295748e-56,1.1279888905194705e-61,2.4577326743013657e-72,7.7346259021544374e-62
7.590239994590592e-20,0.6211829050151113,3.1232971464898756e-19,2.4345047437587214e-32,1.7926322341672886e-32,1.387025665545058e-50,1.7138277244764208e-44,0.0,0.0,5.5937695411838821e-20,9.5487383107862028e-36,154.0,0.0,0.99999999999970779,1.0,19.0,1.4004469385374846e-14,1.5464752621412465e-13,6.1757456493737966e-14,6.1757824754992728e-14,6.1499145170332178e-21,1.0519691284585171e-23,1.0513441817448727e-23,6.1939737975598992e-24,1.0104932460500562e-20,2.5319907567134233e-34,2.1718136332816542e-26,3.5587195812913525e-26,1.286900002064834e-35,1.286900001944748e-35,1.0332248064257659e-45,8.0970772704639791e-35,1.6763173899383913e-46,1.5849132049622162e-27,1.4510427213601741e-82,1.3552562639596483e-82,1.3552562639601571e-82,2.5694297596833309e-39,2.5399802832675969e-41,2.9698884985934027e-34,2.6230343711214799e-39,7.7695993838752944e-42,3.0774189235802222e-48,7.1683069798929918e-59,1.9990013140644738e-69,4.2987805219255959e-70,3.7986156722344045e-81,4.3076281217089213e-85,9.4838821247928395e-82,2.0486698039417547e-72,1.6629162733627414e-78,4.9279233924350786e-35,2.7158892741599923e-34,3.9670477879768754e-44,3.0625016161076459e-44,1.3571154960548358e-44,2.2035088193539841e-48,1.4545599663175369e-54,8.9099853307774719e-55,1.8211403043277633e-60,7.9361593634972469e-71,1.248756888300127e-60
