Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421)
0.0,0.7175159537101489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7345617433650312e-22,0.7175159537101489,7.0300856399378708e-22,1.2531997126555199e-35,1.192857208538953e-37,2.1108869031268635e-58,3.9403167934521913e-52,0.0,0.0,1.0945570262547755e-22,5.5227646352349384e-41,154.0,0.0,0.99999999999999944,1.0,19.0,3.1822245013171538e-17,3.4928826801385149e-16,1.2141839474199547e-16,1.2141920720622621e-16,4.7556130439536492e-26,6.1305675513102086e-29,6.1305939022693624e-29,3.6109360492935142e-29,7.8069953961399089e-26,5.8915105754738656e-42,1.2622958214272699e-31,2.3803834563865955e-31,3.4283365562233202e-43,3.4283365562221357e-43,1.0195671944743059e-55,2.4843612031259107e-42,1.653833249129616e-56,9.2279783844967661e-33,7.1033810034336614e-100,6.6348056243098152e-100,6.6348056243098274e-100,5.1612565200760649e-47,5.8730997825472855e-49,6.9401430008393522e-42,5.2608416939190662e-47,1.7873388973445576e-49,3.0207906643688585e-58,3.1063028827630555e-71,3.3679118188402949e-84,8.3269777809226546e-85,2.8838359690323963e-98,2.8354078501397763e-102,8.3028206526036813e-99,3.454291593452596e-87,1.5224773189939798e-93,1.513342834724805e-42,1.8080119003199599e-39,9.1288796165688731e-52,8.0961765715004081e-52,3.5958867192263959e-52,5.7354244015829555e-56,1.4324552596803647e-64,8.7728869366310813e-65,1.7565934134855005e-70,3.3762231709551678e-83,1.3863532904990701e-70,6.9998719912447967e-83
4.856772881422088e-22,0.7175159537101489,1.9684239791829725e-21,3.5476077689922915e-35,7.2048575395763773e-37,3.1899722885205822e-57,4.6779449045119346e-51,0.0,0.0,3.0647596741036925e-22,3.3357498402742375e-40,154.0,0.0,0.99999999999999822,1.0,19.0,8.9102286036880195e-17,9.7800715002438291e-16,3.3997150527738746e-16,3.3997378017711721e-16,2.8723902775324188e-25,3.702862800968543e-28,3.7028701606707206e-28,2.1810053733102878e-28,4.7154252176012823e-25,6.9943454631011066e-41,7.6242667614147873e-31,1.4377516076547959e-30,4.0701211595413058e-42,4.0701211595386568e-42,2.2807310285408653e-54,2.9494336193953017e-41,3.6995588237450349e-55,5.573698944236247e-32,7.5692036815067986e-98,7.069900253602419e-98,7.0699002536024411e-98,6.1274464206808778e-46,6.9725440618331662e-48,8.2391485852064763e-41,6.2456710088473327e-46,2.121928735744442e-48,6.7573878748825977e-57,1.2818245804276455e-69,2.5352799506414461e-82,6.2683410234624123e-83,3.9364218807918993e-96,3.8703213294931821e-100,1.1333309103073647e-96,2.6003044888452426e-85,1.1748117063178668e-91,1.7966406128030652e-41,1.0920391877912176e-38,1.0837805880714237e-50,9.6117808192756791e-51,4.269036681654924e-51,6.8094070118649242e-55,3.2043167543471751e-63,1.9624411964038465e-63,3.9296007421392234e-69,1.3932672816869748e-81,3.101352240870076e-69,2.8886397380364149e-81
1.1101195157536199e-21,0.7175159537101489,4.4992548095628181e-21,8.2910181758941e-35,3.4688287624329286e-36,3.4316266223756559e-56,4.5928344008511918e-50,0.0,0.0,7.0051649721628163e-22,1.6060199568132161e-39,154.0,0.0,0.999999999999996,1.0,19.0,2.0366236808429705e-16,2.23544491238784e-15,7.7707772634737168e-16,7.7708292611763472e-16,1.3829322716583435e-24,1.7827690438867734e-27,1.7827638723889403e-27,1.0500602024400619e-27,2.2702742586966521e-24,6.8669714641671639e-40,3.6707562487016159e-30,6.9221550911316017e-30,3.9960690899121397e-41,3.9960690899069027e-41,4.5063401641950452e-53,2.8957714154006462e-40,7.3097048014289437e-54,2.683496114211959e-31,1.7225736602678178e-95,1.6089438823442015e-95,1.6089438823442111e-95,6.0159644055151909e-45,6.8456851065155023e-47,8.0888442353647077e-40,6.1320363028946412e-45,2.0833222088774644e-47,1.3351459681645727e-55,5.0707705517671282e-68,2.0045696170215009e-80,4.9561887481591525e-81,6.2185817844368022e-94,6.1141614965253205e-98,1.7903850124189211e-94,2.0559825639948721e-83,1.280367265821867e-89,1.7639524063503411e-40,5.2576986060998654e-38,1.0640622080836046e-49,9.4369033918710933e-50,4.1913654625572612e-50,6.6861752856176566e-54,6.3310672885649649e-62,3.8773730242340043e-62,7.764970639562717e-68,5.5121456576298329e-80,6.1283348292973161e-68,1.1428246724004232e-79
2.359003970976442e-21,0.7175159537101489,9.5609164703284066e-21,1.8396216166618176e-34,1.5149286548461796e-35,3.1542560852782512e-55,4.0623101558563035e-49,0.0,0.0,1.4885975577726215e-21,7.0139110959054723e-39,154.0,0.0,0.99999999999999156,1.0,19.0,4.3278253217912894e-16,4.7503204304843308e-15,1.6512901684841413e-15,1.6513012179936116e-15,6.039628550079561e-24,7.7858207898101996e-27,7.785721635060584e-27,4.5858887754263472e-27,9.9148841272557299e-24,6.0735479036384266e-39,1.6031156932034526e-29,3.0230869895690035e-29,3.5344778559582929e-40,3.5344778559489735e-40,8.0187915059069153e-52,2.5612770197525653e-39,1.3007229119130297e-52,1.1719532548313986e-30,2.9110733334928848e-93,2.7190440322020827e-93,2.7190440322021159e-93,5.3210528545514208e-44,6.0549309517695603e-46,7.1537784095002919e-39,5.4237157241344864e-44,1.8426748888849056e-46,2.3758208988025782e-54,1.8097219806953773e-66,1.4327825347340195e-78,3.5424764582657648e-79,8.8954784420810175e-92,8.7461102744742372e-96,2.5610872144806391e-92,1.4695303592449323e-81,1.0474199216752191e-87,1.5601959250976122e-39,2.2961751133747522e-37,9.4115097290009184e-49,8.3468341564275194e-49,3.7072151675702949e-49,5.915018807571685e-53,1.1265357526973251e-60,6.8992918492269038e-61,1.3820002291053979e-66,1.9676172261823547e-78,1.0907137362454566e-66,4.0794301196425744e-78
4.856772881422087e-21,0.7175159537101488,1.9684239791883185e-20,4.1080120855807289e-34,6.3245289196889146e-35,2.6985324930712187e-54,3.4146165142546807e-48,0.0,0.0,3.0647596826633624e-21,2.9281698178397455e-38,154.0,0.0,0.99999999999998257,1.0,19.0,8.9102286036878548e-16,9.7800714401556234e-15,3.399715052744885e-15,3.3997378017253326e-15,2.5214260217368084e-23,3.250426915386283e-26,3.250321530437513e-26,1.9145182868766491e-26,4.1392689357756188e-23,5.104828736511287e-38,6.6926924451247626e-29,1.2620793085383972e-28,2.970941606155315e-39,2.9709416061395955e-39,1.3524863779294711e-50,2.1529076575609535e-38,2.193859302192436e-51,4.8926741394629667e-30,4.2624526032219746e-91,3.9812794064633531e-91,3.9812794064634512e-91,4.4726657268390945e-43,5.0895343018766068e-45,6.0119831680204681e-38,4.5589582836870667e-43,1.548879253421825e-45,4.0071691525900932e-53,6.114641479287797e-65,9.6899151009247038e-77,2.3957785145974539e-77,1.2036874795504703e-89,1.1834759072040332e-93,3.465522686054971e-90,9.9384408131315037e-80,7.5383572472967788e-86,1.3114386802105227e-38,9.5860790952120571e-37,7.9109410127431558e-48,7.0160170023332442e-48,3.1161375257028886e-48,4.9739021572153755e-52,1.8999192568011549e-59,1.1635698115324293e-59,2.3318403441743197e-65,6.6506456064421193e-77,1.8403544663395519e-65,1.3788677275811603e-76
9.852310702313378e-21,0.7175159537101489,3.9930886435087137e-20,9.634196506562246e-34,2.5837764279967418e-34,2.2311988557495472e-53,2.7995089430002307e-47,0.0,0.0,6.2170839475570894e-21,1.1962529180240949e-37,154.0,0.0,0.99999999999996458,1.0,19.0,1.8075035167480693e-15,1.9839573353411451e-14,6.8965648212151938e-15,6.8966109691078477e-15,1.0300847957774568e-22,1.3279054536144275e-25,1.3278101101128456e-25,7.8214318655274731e-26,1.6910264110939182e-22,4.1846662211776468e-37,2.7341832409743714e-28,5.1560057815517894e-28,2.4357574253845526e-38,2.4357574253587348e-38,2.2214628888423447e-49,1.7650837609347867e-37,3.6034204705513699e-50,1.9988170299978901e-29,5.8285433901627057e-89,5.444062826977099e-89,5.4440628269773662e-89,3.6669616638331143e-42,4.1727077173166473e-44,4.9270225142584773e-37,3.737706840994911e-42,1.2698647582096181e-44,6.5817871999243255e-52,2.0103602880522283e-63,6.3743496497911978e-75,1.576023089659285e-75,1.5839850074011333e-87,1.5573877883016245e-91,4.5604317720568104e-88,6.5378381604846881e-78,5.1097440039032779e-84,1.0751966577718992e-37,3.916226096328279e-36,6.485867400377598e-47,5.7521545617757734e-47,2.5547974861466346e-47,4.0811401322906702e-51,3.1201371532598925e-58,1.9108496309965935e-58,3.8329949144552819e-64,2.1882384127928331e-75,3.0251081845570468e-64,4.5368380439445645e-75
1.984338634409596e-20,0.7175159537101485,8.0424179721872626e-20,2.4644179281478533e-33,1.044403743232581e-33,1.8143738644029716e-52,2.2671149330663487e-46,0.0,0.0,1.2521732537793525e-20,4.8354455882093183e-37,154.0,0.0,0.99999999999992861,1.0,19.0,3.6404648295065209e-15,3.9958576755576092e-14,1.3890264357951094e-14,1.3890357303549202e-14,4.1637673907383307e-22,5.3676061561971394e-25,5.3667980610114786e-25,3.1615477911046729e-25,6.8353990431204632e-22,3.3879108668010055e-36,1.1052005818014648e-27,2.0841399742092835e-27,1.9725395142340547e-37,1.972539514192203e-37,3.6010869159773333e-48,1.4294105763991838e-36,5.8412997964568698e-49,8.0795380186087161e-29,7.7088065983578345e-87,7.2002942473376939e-87,7.2002942473383993e-87,2.9696006576187856e-41,3.3791668941188797e-43,3.986852345013019e-36,3.0268876942242144e-41,1.0283693510721805e-43,1.0669360141411603e-50,6.5205550818049718e-62,4.1358953382843184e-73,1.0225775032751937e-73,2.0557069145240289e-85,2.0211889038794199e-89,5.9185576029485837e-86,4.2419722572046351e-76,3.3644848990991743e-82,8.7072212001650261e-37,1.5830012031032933e-35,5.2524235770085815e-46,4.6582437908841339e-46,2.0689407130117263e-46,3.3102521936928683e-50,5.0563020538201934e-57,3.0965414423155182e-57,6.2229822644872097e-63,7.1082130472904504e-74,4.9113539153117764e-63,1.4737328022946106e-73
3.9825537627661114e-20,0.7175159537101489,1.6141076629695386e-19,7.0494600566151819e-33,4.1995015170366591e-33,1.4633582675278449e-51,1.8247713362235912e-45,0.0,0.0,2.5131029960062305e-20,1.9443114274150535e-36,154.0,0.0,0.99999999999985678,1.0,19.0,7.3063874550229579e-15,8.0196581862517333e-14,2.7877663430604012e-14,2.7877849971137415e-14,1.6742325145443761e-21,2.1582908269104102e-24,2.1576260344115641e-24,1.2712444434125069e-24,2.7484838258096395e-21,2.7253728926745025e-35,4.443962930700898e-27,8.3802351714133318e-27,1.587671407924622e-36,1.5876714078572202e-36,5.7994389598399808e-47,1.1505139618900065e-35,9.4072330251687002e-48,3.2487467021912892e-28,1.0029368726860021e-84,9.3677802169880109e-85,9.3677802169898488e-85,2.3901929711855375e-40,2.7198474970735349e-42,3.2038611717425149e-35,2.4362957688780173e-40,8.2772103358115833e-43,1.7182673856406921e-49,2.1006834684619537e-60,2.6651546108974491e-71,6.5894490194368574e-72,2.6495216188918147e-83,2.6050327140671453e-87,7.62819386370196e-84,2.7335101585826883e-74,2.1839159010739083e-80,7.0083289752097965e-36,6.3651782139461095e-35,4.227607443231604e-45,3.7493596872267088e-45,1.6652626282445182e-45,2.6728127637903479e-49,8.1379511250165444e-56,4.9835761457395835e-56,1.0052624219027047e-61,2.2969089685300093e-72,7.933815848731932e-62,4.7621322124348114e-72
7.978984019479144e-20,0.7175159537101489,3.2338393945315748e-19,2.2551726609908327e-32,1.6841879356629229e-32,1.1754489665044686e-50,1.4642640786755803e-44,0.0,0.0,5.0349625771783541e-20,7.7975586266322915e-36,154.0,0.0,0.99999999999971301,1.0,19.0,1.4638232706053972e-14,1.6067258528684827e-13,5.5852461572634322e-14,5.5852835301137677e-14,6.7144208784152688e-21,8.6557115278022468e-24,8.650320619272384e-24,5.0982586484874506e-24,1.1022648899532022e-20,2.1845166148215694e-34,1.7822278961224005e-26,3.3608491180525875e-26,1.2740063165014021e-35,1.2740063163932075e-35,9.309382297621602e-46,9.2321495600286157e-35,1.5100691687633186e-46,1.302892731332652e-27,1.2942369038928432e-82,1.208862411449206e-82,1.2088624114496797e-82,1.9179793362357554e-39,2.1825063260858487e-41,2.5627425377704048e-34,1.9549630398620728e-39,6.6419386294109344e-42,2.7581991363141037e-48,6.7448527247126487e-59,1.711542730454406e-69,4.2316957984838536e-70,3.4030986943655485e-81,3.3459562770462644e-85,9.7977858483917578e-82,1.7554401619377889e-72,1.4075911720759602e-78,5.6237423802026706e-35,2.5527211526965371e-34,3.392388724456559e-44,3.0086247437629367e-44,1.3362670182615948e-44,2.1582991199213329e-48,1.304697490626806e-54,7.9891427945749592e-55,1.6235258750566282e-60,7.4192239369083868e-71,1.2813326189489774e-60,1.5382072255130608e-70
