Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412)
0.0,0.37207770052145034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9308925974309562e-22,0.37207770052145034,4.6051973260140381e-22,1.2157452166799371e-35,1.5125063378594754e-37,4.2152222294894716e-58,1.0449662210441066e-51,0.0,0.0,1.5986153550234803e-22,1.5527122112550431e-40,154.0,0.0,0.99999999999999922,1.0,19.0,2.9037538254517943e-17,2.5804246397221689e-16,2.092494306766166e-16,2.0925005105775121e-16,3.8635766847155885e-26,2.2438628270241409e-28,2.24386390197503e-28,1.3379407957407412e-28,6.1483771223922529e-26,2.205040917850305e-41,4.2095933509354571e-31,3.6192696670103103e-31,5.2601020490756543e-43,5.2601020490717496e-43,3.3632991133440776e-55,1.7853373589461488e-42,5.418426680074476e-56,3.0636878815596942e-32,3.5896559304481158e-99,3.358770973807209e-99,3.3587709738072139e-99,3.6324526452317295e-46,1.7792390812116944e-48,2.6295415327015976e-41,3.5045175843214177e-46,4.8323697990550763e-49,8.2880741381187028e-58,9.0588689697213434e-71,2.0980573186017887e-83,2.2872602545415973e-84,1.7004544587115908e-97,3.3964173774939734e-101,2.3961864466068232e-98,2.1557215215238493e-86,6.3582349042858626e-93,1.1218875578165828e-42,2.3283293800177676e-39,2.4967579256749636e-51,9.4964757855082033e-52,4.5661356355728149e-52,5.9210766176696812e-56,4.0555195890899792e-64,2.4535555342508172e-64,3.9077119514024875e-70,7.6802736747830871e-83,1.4127599180437017e-70,1.514957215958323e-82,5.7621732146169891e-83
5.406499272806677e-22,0.37207770052145034,1.2894552512844227e-21,3.4530918120509386e-35,9.1355382806740796e-37,6.370043835586854e-57,1.2405840603152332e-50,0.0,0.0,4.4761229960407187e-22,9.3783817597369606e-40,154.0,0.0,0.99999999999999811,1.0,19.0,8.1305107112650143e-17,7.2251889879183926e-16,5.8589840589379736e-16,5.8590014296054192e-16,2.333600316677849e-25,1.3552931475136375e-27,1.3552905439302443e-27,8.0811624044696745e-28,3.713619780508019e-25,2.6178042598952751e-40,2.5425943839608086e-30,2.1860388788688847e-30,6.2447931526486388e-42,6.2447931526399023e-42,7.5235655746948353e-54,2.1195525117997272e-41,1.2120803742025858e-54,1.8504674804604988e-31,3.8250569511800683e-97,3.5790311132075076e-97,3.579031113207518e-97,4.3124492208195294e-45,2.1123126372106272e-47,3.1217216775429272e-40,4.1605630971785877e-45,5.736989416703412e-48,1.8540090297038139e-56,3.7381676398821729e-69,1.5793651797180907e-81,1.7217924271909384e-82,2.3211119530734663e-95,4.6360962608406413e-99,3.270782636916981e-96,1.6227733523212591e-84,4.9062989010602752e-91,1.3319049081741134e-41,1.4063109455262567e-38,2.9641510093371612e-50,1.1274216044802155e-50,5.4209161829459574e-51,7.0299340743376848e-55,9.0719563467154583e-63,5.4884553527012727e-63,8.7419084143714765e-69,3.1694679292817711e-81,3.1604729234423492e-69,6.2518712332546123e-81,2.3779126318644262e-81
1.235771262355812e-21,0.37207770052145034,2.9473262886524296e-21,8.1238058241838895e-35,4.3983684304996278e-36,6.8526024818982304e-56,1.2180128582717851e-49,0.0,0.0,1.0231138285975082e-21,4.5152871159557386e-39,154.0,0.0,0.99999999999999556,1.0,19.0,1.858402448289141e-16,1.6514717671096117e-15,1.339196356325242e-15,1.3392003267614772e-15,1.1235280985797427e-24,6.5251531008520539e-27,6.5251074342361461e-27,3.8907318313074729e-27,1.7879480650663142e-24,2.5701327097660504e-39,1.2241497464457184e-29,1.052483619158584e-29,6.131174948359254e-41,6.1311749483419935e-41,1.486529770359312e-52,2.0809892232900953e-40,2.3948665645815959e-53,8.9092043595522305e-31,8.7049346673096581e-95,8.1450374230718677e-95,8.1450374230719117e-95,4.2339888487511373e-44,2.0738810730482696e-46,3.064776527500593e-39,4.0848651416089157e-44,5.6326102107008018e-47,3.663209403791119e-55,1.4787819389980096e-67,1.2487565534912673e-79,1.3613694950503191e-80,3.6667879987120905e-93,7.3238979981727189e-97,5.1670347464041305e-94,1.2830780902183101e-82,5.3471245438429167e-89,1.3076721359472329e-40,6.7707818370245443e-38,2.9102210380918544e-49,1.1069092151553481e-49,5.322287561644798e-50,6.9029458384378806e-54,1.7924316452520084e-61,1.084404567392462e-61,1.7274756566265851e-67,1.2539686925742699e-79,6.2453640325099648e-68,2.4734910060748236e-79,9.4079726521304174e-80
2.6260139325061003e-21,0.37207770052145034,6.2630683633963203e-21,1.8249317134033475e-34,1.9208830490859497e-35,6.2987222900677373e-55,1.0773186078985444e-48,0.0,0.0,2.1741168897443363e-21,1.971944514103464e-38,154.0,0.0,0.99999999999999045,1.0,19.0,3.9491052026144024e-16,3.5093774984592662e-15,2.8457922571764637e-15,2.8458006943447635e-15,4.9067423757881079e-24,2.8497057901820378e-26,2.8496567368587225e-26,1.699184807793919e-26,7.8084389234761735e-24,2.2731767224124844e-38,5.3461835556227986e-29,4.5964724770202758e-29,5.4229548084240412e-40,5.4229548083933274e-40,2.6452002860820152e-51,1.8406113987542953e-39,4.2615370878985197e-52,3.8908836095566699e-30,1.4710954755752133e-92,1.3764753165203549e-92,1.3764753165203698e-92,3.7449154392055736e-43,1.8343243231406362e-45,2.7104963071917368e-38,3.6130162839123462e-43,4.9819799111704509e-46,6.5184853678278708e-54,5.2776676682351996e-66,8.9255896358937374e-78,9.7304998494266159e-79,5.2452206502845398e-91,1.0476598746465416e-94,7.3912741933773963e-92,9.1709056278146372e-81,4.3742798807717074e-87,1.1566211935746546e-39,2.956978312553203e-37,2.5740575508966063e-48,9.7904866253542858e-49,4.7075029109745199e-49,6.1072049087100559e-53,3.1894146051004368e-60,1.9295623339739095e-60,3.0747438392676567e-66,4.4764617837246582e-78,1.1116159298216599e-66,8.8299548077815848e-78,3.3584885583421399e-78
5.406499272806677e-21,0.3720777005214503,1.2894552512915603e-20,4.1636672896226589e-34,8.0193086033706833e-35,5.3886895467524308e-54,9.0555121448218382e-48,0.0,0.0,4.4761230246778138e-21,8.232480196342916e-38,154.0,0.0,0.99999999999998024,1.0,19.0,8.1305107112648526e-16,7.2251889400150132e-15,5.8589840588322347e-15,5.8590014294369991e-15,2.0484683458155822e-23,1.1896960707634403e-25,1.1896512649087805e-25,7.0937620738460149e-26,3.2598695305265815e-23,1.9106132328880527e-37,2.2319263946072695e-28,1.9189367773743297e-28,4.5583202739310845e-39,4.5583202738792814e-39,4.4615168614739446e-50,1.5471447811113743e-38,7.1877051560089286e-51,1.6243673147812206e-29,2.1540078249606356e-90,2.0154630694461271e-90,2.0154630694461699e-90,3.1478271744981676e-42,1.5418601199067212e-44,2.2778917671299422e-37,3.0369567529766798e-42,4.1876542467779438e-45,1.0994378193995502e-52,1.7832046013861665e-64,6.0363805172680378e-76,6.5807416777115727e-77,7.0975456398085908e-89,1.4176361308831513e-92,1.0001466530785239e-89,6.2022878394137053e-79,3.1482009992695669e-85,9.7220980190213771e-39,1.2344802372229946e-36,2.163650469977809e-47,8.2294938805359461e-48,3.9569395685857655e-48,5.1362115934099107e-52,5.3790031139565779e-59,3.2542268734531539e-59,5.1886817864299264e-65,1.5132635149756481e-76,1.8758705212626354e-65,2.9849569814700297e-76,1.1353318766076754e-76
1.0967469953407831e-20,0.37207770052145034,2.6157520812080175e-20,1.0095671699186208e-33,3.2761492280907877e-34,4.455472751925896e-53,7.4242560120324437e-47,0.0,0.0,9.0801353451040532e-21,3.3632368023138451e-37,154.0,0.0,0.99999999999995992,1.0,19.0,1.6493321728565469e-15,1.4656811738552267e-14,1.1885367661957091e-14,1.1885402899324135e-14,8.3686615370000786e-23,4.8602966367910722e-25,4.8599147981256984e-25,2.898033259894503e-25,1.3317630614836149e-22,1.5662250300645947e-36,9.1181475813631679e-28,7.8394828688999314e-28,3.7371863625343489e-38,3.7371863624492631e-38,7.3280546725325171e-49,1.2684427584012072e-37,1.1805827229510152e-49,6.6360704987895803e-29,2.9454235011879515e-88,2.7559752670053488e-88,2.7559752670054665e-88,2.5807789415350294e-41,1.2641100815237371e-43,1.8668260792621747e-36,2.4898787712793459e-41,3.4332918681205915e-44,1.8058298735466223e-51,5.8627864395681498e-63,3.9709326264731485e-74,4.3290315712042192e-75,9.3399707728500223e-87,1.8655294630031786e-90,1.3161363714086689e-87,4.0800720018582218e-77,2.1339531480391229e-83,7.9707632920006593e-38,5.0432545697651507e-36,1.773891377292049e-46,6.7470362077443188e-47,3.2441376732462785e-47,4.2154664657069976e-51,8.8336795256572401e-58,5.3442167765033294e-58,8.5312195949090269e-64,4.9803312197613276e-75,3.0843023347582124e-64,9.8238466209272977e-75,3.7365005804621089e-75
2.208941131461014e-20,0.37207770052145034,5.2683457410913364e-20,2.6977813547831861e-33,1.3242718991278674e-33,3.623116492189539e-52,6.0123550232598955e-46,0.0,0.0,1.8288160188193672e-20,1.3594741075337173e-36,154.0,0.0,0.99999999999991929,1.0,19.0,3.3218943763165552e-15,2.9520056997329793e-14,2.3938134867460063e-14,2.3938205837909182e-14,3.3827467526457323e-22,1.9646096096064458e-24,1.9642945665235135e-24,1.1714313702985807e-24,5.3831991550971173e-22,1.26802780065167e-35,3.6857010388159752e-27,3.1688443178924279e-27,3.0264704092445815e-37,3.026470409106653e-37,1.1879091861834514e-47,1.0272178198738813e-36,1.9137754451412782e-48,2.6824057971724893e-28,3.8956045447205538e-86,3.6450411192039177e-86,3.6450411192042278e-86,2.0899817148581534e-40,1.0237091182193999e-42,1.5106276255103725e-35,2.0163653708147242e-40,2.7803686218375856e-43,2.9273278936526383e-50,1.9015806326201684e-61,2.5764764452254049e-72,2.8088232472220178e-73,1.2121479935286407e-84,2.421097337815765e-88,1.7080901339532961e-85,2.6472897923726966e-75,1.4050905752442706e-81,6.4549306914392004e-37,2.0385641315810435e-35,1.4365432281641334e-45,5.4639247192158551e-46,2.627186063539279e-46,3.4210662591226134e-50,1.431540273778436e-56,8.660416728898068e-57,1.3857986455148243e-62,1.6186356339267701e-73,5.0100949227165323e-63,3.1928028768401395e-73,1.2143756163896906e-73
4.433329403701475e-20,0.37207770052145034,1.0573533061059588e-19,8.0814629371348028e-33,5.3248390629123101e-33,2.9221747798555036e-51,4.8392663930004977e-45,0.0,0.0,3.6704210683321465e-20,5.4663857433941248e-36,154.0,0.0,0.99999999999983802,1.0,19.0,6.6670187832361159e-15,5.9246546161697077e-14,4.8043669275479043e-14,4.8043811710323205e-14,1.360187555996806e-21,7.8996088300039867e-24,7.897050022331868e-24,4.7102739468444761e-24,2.1645606477897985e-21,1.0200692388239657e-34,1.4820041772386294e-26,1.2741783629285884e-26,2.4359666819561335e-36,2.4359666817340044e-36,1.9130909461080391e-46,8.2679424727703389e-36,3.0820762802158599e-47,1.0785835733318688e-27,5.0682883129512489e-84,4.7422984270260046e-84,4.7422984270268111e-84,1.6821991163522443e-39,8.2397015891780193e-42,1.2139948431210947e-34,1.6229414205894159e-39,2.2378823167087261e-42,4.714370845550689e-49,6.1261946917179369e-60,1.6602712365895359e-70,1.809994597515056e-71,1.5622909504811595e-82,3.1204593170967692e-86,2.2014893116346903e-83,1.7059030777799605e-73,9.1205630032805501e-80,5.1954896605148756e-36,8.1969767120015931e-35,1.1562549658081471e-44,4.3978417545880181e-45,2.1145867220493416e-45,2.7652784393175348e-49,2.3040444069432621e-55,1.3938359582099145e-55,2.2409695098704831e-61,5.2357657953607955e-72,8.1018046877499424e-62,1.0327674594369843e-71,3.9280624267005403e-72
8.882105948182399e-20,0.37207770052145034,2.1183907701802558e-19,2.6877838958848523e-32,2.1354986235666135e-32,2.3472498143272167e-50,3.8832065170322517e-44,0.0,0.0,7.353631490937133e-20,2.1922652925658332e-35,154.0,0.0,0.99999999999967548,1.0,19.0,1.3357267597073407e-14,1.1869951907768094e-13,9.6254738079569155e-14,9.6255023436133835e-14,5.4549601745100991e-21,3.168096456621598e-23,3.1660344062881711e-23,1.8890304673241986e-23,8.6808558694335432e-21,8.1766025842973471e-34,5.9434995919550791e-26,5.1100251238421691e-26,1.9547098498387372e-35,1.9547098494821696e-35,3.0709340858582199e-45,6.6345028151801849e-35,4.947414763409939e-46,4.3256025368581776e-27,6.540357575402613e-82,6.1196848969599436e-82,6.1196848969620281e-82,1.3498588548121657e-38,6.6118416053395529e-41,9.7113533046338369e-34,1.3023004976983607e-38,1.7957592422998298e-41,7.5676077331214347e-48,1.966992241113913e-58,1.0662139995694629e-68,1.1623652430173391e-69,2.0066378172468361e-80,4.0079805342191088e-84,2.8276308461661591e-81,1.0955184332556375e-71,5.878442462125243e-78,4.1690530494636236e-35,3.2873542788307256e-34,9.2782179061625371e-44,3.5289907044021583e-44,1.6968207756100744e-44,2.2377495499042427e-48,3.6939923445623968e-54,2.2345396300603201e-54,3.6267354813638366e-60,1.6946540356287375e-70,1.3111781481295466e-60,3.3427356607459538e-70,1.2713574657269932e-70
