Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422)
0.0,0.6215743531915279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.429977305071021e-22,0.6215743531915279,5.8240581022259611e-22,9.2558974024621217e-36,1.4423665136891352e-37,3.0368684912879897e-58,7.5087714524992877e-52,0.0,0.0,1.2085842205287522e-22,8.8520846897783052e-41,154.0,0.0,0.99999999999999933,1.0,19.0,3.6610328004938175e-17,3.2597542935710889e-16,1.5795486865582474e-16,1.5795557191998121e-16,6.1429410227383423e-26,1.2761235736395749e-28,1.276125260765107e-28,7.6082486977898404e-29,9.7785002865827106e-26,1.5794199600160871e-41,2.3961311092953431e-31,3.4456309674762271e-31,6.3078403073400083e-43,6.3078403073364804e-43,3.0382985000681371e-55,3.579941028880406e-42,4.8951440198545242e-56,1.7500336700644508e-32,3.888754434670111e-99,3.6385722776609186e-99,3.6385722776609255e-99,1.5578388581594353e-46,1.2813861336129475e-48,1.8832609763546761e-41,1.5037792938264845e-46,3.4717659868653324e-49,7.4999852028281926e-58,1.0320731074750946e-70,1.8007702416527927e-83,3.2844870414304558e-84,1.8395077858278464e-97,2.198306046215853e-101,4.3326020034507398e-98,1.8525932154243982e-86,5.4775477570715725e-93,2.2489508575735451e-42,2.2200398341636875e-39,1.7935788816648302e-51,1.1416428397383117e-51,5.4852581073900112e-52,7.1267144021597045e-56,3.6688145818074824e-64,2.219853153057868e-64,3.5430796879256336e-70,8.7704243098463814e-83,2.1423189131376837e-70,1.7307877664971402e-82,1.1016749717212244e-82,1.0318911090262527e-82
6.80393645419886e-22,0.6215743531915279,1.6307362686237452e-21,2.6383839477332587e-35,8.7118937426844536e-37,4.5893156653265303e-57,8.9144146404297341e-51,0.0,0.0,3.3840358186046464e-22,5.3466591542386756e-40,154.0,0.0,0.99999999999999811,1.0,19.0,1.0250891841382675e-16,9.127312016745412e-16,4.4227363223589398e-16,4.4227560137528675e-16,3.7103363759518904e-25,7.7077863847229967e-28,7.7077732787968997e-28,4.5953822121768894e-28,5.9062141702592155e-25,1.8750690386517502e-40,1.4472631900125821e-30,2.0811611043503259e-30,7.4886680128565449e-42,7.4886680128486533e-42,6.7965522014680885e-54,4.2501059876160304e-41,1.0950241361846402e-54,1.0570203367186848e-31,4.1437696174717175e-97,3.8771811150441084e-97,3.8771811150441213e-97,1.8494669116808492e-45,1.5212616178229124e-47,2.2357442365068455e-40,1.785286680977451e-45,4.1216805717041471e-48,1.677716686858809e-56,4.2588785684303856e-69,1.3555748882974484e-81,2.4724798596309722e-82,2.5109190581632734e-95,3.00067904579013e-99,5.9139802600887907e-96,1.3945859293854499e-84,4.2267212434870551e-91,2.6699544569360443e-41,1.3409040598312189e-38,2.1293368482931356e-50,1.3553583781650868e-50,6.5120983591666211e-51,8.4614884123506752e-55,8.2069017032261316e-63,4.9656654384025777e-63,7.9263119606722981e-69,3.6194005117366481e-81,4.7926350859743437e-69,7.14265779367807e-81,4.5464185948133994e-81,4.2584339160610117e-81
1.5551854752454536e-21,0.6215743531915279,3.7273971854279467e-21,6.2509030628845975e-35,4.1944018218111212e-36,4.9369763731810616e-56,8.7522256693085466e-50,0.0,0.0,7.734939019252994e-22,2.5741862302026698e-39,154.0,0.0,0.99999999999999567,1.0,19.0,2.3430609923160335e-16,2.0862427442079498e-15,1.0109111593943711e-15,1.010915660283255e-15,1.7863672467392071e-24,3.7109673520538279e-27,3.7109373141784244e-27,2.2124787193850231e-27,2.8435878790831367e-24,1.8409150591369885e-39,6.9679492658037771e-30,1.0019894853341138e-29,7.3524186621812192e-41,7.3524186621656258e-41,1.3428841784477857e-52,4.172779257463554e-40,2.1635831636731638e-53,5.0890979125437638e-31,9.4302501261719457e-95,8.8235570687081187e-95,8.8235570687081759e-95,1.8158178524641477e-44,1.4935836773318754e-46,2.1949331023472348e-39,1.7528048452587929e-44,4.0466904097928637e-47,3.3148854405029407e-55,1.6847700020369007e-67,1.0718122989407579e-79,1.9549154718958381e-80,3.9666367012598312e-93,4.7403388580731682e-97,9.342638931545958e-94,1.1026571559832022e-82,4.6064875697132679e-89,2.6213771159443892e-40,6.4558758376932721e-38,2.0905955444085367e-49,1.3306988903650406e-49,6.3936166456007157e-50,8.3089228368449429e-54,1.6215066644406694e-61,9.8110704802405791e-62,1.5663583875491193e-67,1.4320265129004704e-79,9.4709673333622085e-68,2.8260135004763632e-79,1.7988030210423339e-79,1.6848619943560608e-79
3.3047691348965888e-21,0.6215743531915279,7.9207190190439616e-21,1.4223664093910581e-34,1.8318054723884214e-35,4.5379318583746508e-55,7.7412446926709684e-49,0.0,0.0,1.6436745438535928e-21,1.1242147580957474e-38,154.0,0.0,0.99999999999999079,1.0,19.0,4.9790046086715395e-16,4.433265820868944e-15,2.1481862137046799e-15,2.1481957780886201e-15,7.8015350712556327e-24,1.6206769384292015e-26,1.6206429726749844e-26,9.6624758262263858e-27,1.2418695319990511e-23,1.6281994297431032e-38,3.0430865087771015e-29,4.3759513286124188e-29,6.5031310431412292e-40,6.5031310431134836e-40,2.3895906281383102e-51,3.6907759909557024e-39,3.8499806325195317e-52,2.2225427609780689e-30,1.5936705816135549e-92,1.4911421370007682e-92,1.4911421370007879e-92,1.6060704348442145e-43,1.3210578482941128e-45,1.9411554124868424e-38,1.5503356715502451e-43,3.5792518103742095e-46,5.898661480217717e-54,6.0128244193163141e-66,7.660866086983331e-78,1.3972918258620394e-78,5.6741444314100856e-91,6.7809011113028454e-95,1.3364339141305574e-91,7.8813322260545873e-81,3.7683928496530329e-87,2.3185783684730168e-39,2.8194505893313274e-37,1.8491080837151947e-48,1.1769880944253447e-48,5.6550812692113521e-49,7.3516089922135594e-53,2.8852457171620375e-60,1.7457390436348659e-60,2.7881545467140143e-66,5.1124314199784871e-78,1.6858543256795584e-66,1.0089057930238325e-77,6.4218416255462338e-78,6.0150713588489816e-78
6.803936454198859e-21,0.6215743531915278,1.6307362686306438e-20,3.3160077358970285e-34,7.647427255608771e-35,3.8822962537842739e-54,6.5069826900541144e-48,0.0,0.0,3.3840358349046749e-21,4.6933753249581207e-38,154.0,0.0,0.99999999999998102,1.0,19.0,1.0250891841382454e-15,9.1273119405676415e-15,4.4227363222987174e-15,4.4227560136570677e-15,3.256987305396012e-23,6.766007186599496e-26,6.7656911639184293e-26,4.0338934415981374e-26,5.1845608123735725e-23,1.3684835090901995e-37,1.2704287141232051e-28,1.8268735388817435e-28,5.4662734846890541e-39,5.4662734846422585e-39,4.0303938055999537e-50,3.1023195944753969e-38,6.4935550366622744e-51,9.2786785186476583e-30,2.3334847806975385e-90,2.1833605531117837e-90,2.1833605531118426e-90,1.3499990163111814e-42,1.1104287211827351e-44,1.6312577484469552e-37,1.303149933989496e-42,3.008576762626735e-45,9.9489545925466905e-53,2.0315974424419612e-64,5.1810473626227474e-76,9.4498912356801736e-77,7.677941811016503e-89,9.1755450582699626e-93,1.8083889461217019e-89,5.3301487169877266e-79,2.7121397025983587e-85,1.9489048160784015e-38,1.1770651200226866e-36,1.554286761360074e-47,9.8932940478648958e-48,4.7534361330731232e-48,6.183610130605997e-52,4.8659204177487025e-59,2.9441453432234297e-59,4.7056792224856474e-65,1.7284771370531061e-76,2.8452833368745059e-65,3.4110387539766418e-76,2.1711749854975918e-76,2.0336534823256866e-76
1.38022710928034e-20,0.6215743531915279,3.3080650020953187e-20,8.2996468702036853e-34,3.1242235633357468e-34,3.2099576338643551e-53,5.3348175768426824e-47,0.0,0.0,6.8647584457848197e-21,1.9173969711388782e-37,154.0,0.0,0.99999999999996148,1.0,19.0,2.0794666306803898e-15,1.8515404045471877e-14,8.9718365393804658e-15,8.9718764846248327e-15,1.3305855762412044e-22,2.7641347047371563e-25,2.7638632329247136e-25,1.6479770857214466e-25,2.1180622425701769e-22,1.1217749206867774e-36,5.1901158277648487e-28,7.463374500164386e-28,4.4815812608993934e-38,4.4815812608225295e-38,6.6199337354879062e-49,2.5434690183585776e-37,1.0665683564245454e-49,3.7906429306775624e-29,3.1908430568802446e-88,2.9855608741047888e-88,2.9855608741049495e-88,1.1068107742332116e-41,9.1039655487838543e-44,1.3367476048924623e-36,1.0684000441465525e-41,2.4666129184053804e-44,1.6341187266386002e-51,6.6794476916293771e-63,3.4082659002771015e-74,6.2164538956466514e-75,1.0103739417390252e-86,1.2074501461834458e-90,2.3797372868892225e-87,3.5063497483694722e-77,1.8383766022641671e-83,1.5978299038731787e-37,4.8086950819609596e-36,1.2742981928126038e-46,8.1111200662316741e-47,3.8971534470775397e-47,5.0764860997602797e-51,7.9907511893340642e-58,4.8347865096457284e-58,7.739109084481443e-64,5.6901018892592755e-75,4.679443089660787e-64,1.1229045583255677e-74,7.1474218250154502e-75,6.6947353227769298e-75
2.779894037001248e-20,0.6215743531915279,6.6627224690733855e-20,2.3052351064728828e-33,1.2628611163476747e-33,2.6102842626066382e-52,4.3202736010837453e-46,0.0,0.0,1.3826203782657028e-20,7.7504252021955828e-37,154.0,0.0,0.9999999999999224,1.0,19.0,4.1882215237645213e-15,3.7291587717307721e-14,1.8070036973118664e-14,1.8070117425883937e-14,5.3784395534396442e-22,1.1173074420696857e-24,1.1170826275056217e-24,6.661386805700079e-25,8.5615460933130487e-22,9.081339504042456e-36,2.0979278003059233e-27,3.0168153017954427e-27,3.6293006976220721e-37,3.6293006974974707e-37,1.0731197232697237e-47,2.0597671234553522e-36,1.7289532406004824e-48,1.5322384797338618e-28,4.2201954010677988e-86,3.9486900627597381e-86,3.948690062760161e-86,8.9632406801184659e-41,7.3726273372507745e-43,1.0814717757202999e-35,8.6521642852661131e-41,1.9975269595291815e-43,2.6489767040706078e-50,2.1664627105286814e-61,2.2113990649640216e-72,4.0334471356736871e-73,1.3112704099056125e-84,1.5670373233280811e-88,3.0884376760038989e-85,2.2750392083419007e-75,1.2104697050001847e-81,1.2939640629060079e-36,1.9437514363678612e-35,1.0319597146255587e-45,6.5685951272511725e-46,3.1560147919469113e-46,4.1220660007179271e-50,1.2948369404775546e-56,7.8342184670706797e-57,1.257790517166229e-62,1.8502721804622505e-73,7.6052153797971755e-63,3.6513880996932608e-73,2.3241350325579204e-73,2.1769532091066823e-73
5.579227892443065e-20,0.6215743531915279,1.3372037403224392e-19,7.1699463163290099e-33,5.0779090062668278e-33,2.1052888611534212e-51,3.4773320546421974e-45,0.0,0.0,2.7749094916849126e-20,3.1164119500896952e-36,154.0,0.0,0.99999999999984424,1.0,19.0,8.4057313099321603e-15,7.484395290908902e-14,3.6266437838893863e-14,3.626659930569703e-14,2.162646818385893e-21,4.4926440812099333e-24,4.4908148963643162e-24,2.678514285539409e-24,3.4425599163472336e-21,7.3044913776355797e-35,8.4356754140961389e-27,1.2130481642049909e-26,2.9211769429962465e-36,2.9211769427955793e-36,1.7282260306306824e-46,1.6578797259403067e-35,2.7844258072830572e-47,6.161063536616199e-28,5.4905899159398868e-84,5.1373540273413385e-84,5.1373540273424413e-84,7.2143959147577927e-40,5.9341318844566143e-42,8.6875929499074157e-35,6.9639883411645492e-40,1.607783263759014e-42,4.2660947684727831e-49,6.9795473211583151e-60,1.4250167789155472e-70,2.5991373230585173e-71,1.6900459787700205e-82,2.0196941326565369e-86,3.9805630321438674e-83,1.4660262349056353e-73,7.8572623021819875e-80,1.0414948183012139e-35,7.8157390348914967e-35,8.3061095627232648e-45,5.2869764955464951e-45,2.540233484746637e-45,3.3354983862579773e-49,2.0836919210004116e-55,1.2606540794956071e-55,2.0360931422181365e-61,5.9911898287797334e-72,1.2311212930237685e-61,1.1823188319585901e-71,7.5254340288784529e-72,7.0489879667662932e-72
1.1177895603326698e-19,0.621574353191528,2.6790667272305882e-19,2.4556050224536606e-32,2.0364686266104531e-32,1.6910825669657841e-50,2.7903399812623434e-44,0.0,0.0,5.559487902702405e-20,1.2498206281669688e-35,154.0,0.0,0.99999999999968792,1.0,19.0,1.6840750882264938e-14,1.4994867468509112e-13,7.2659239563639471e-14,7.2659563054507638e-14,8.6731804411519357e-21,1.8017512130693667e-23,1.8002759488728224e-23,1.0742039869227358e-23,1.3806204082940281e-20,5.8534486451570482e-34,3.3830831352818822e-26,4.8648656858197136e-26,2.3440605266946467e-35,2.3440605263725318e-35,2.7741848773675276e-45,1.3303439890714721e-34,4.4696198017423265e-46,2.4708620384068527e-27,7.0853154227273571e-82,6.6294832211991502e-82,6.6294832212019967e-82,5.7890983920405303e-39,4.7617671176687914e-41,6.9440654715066672e-34,5.5881200247992494e-39,1.2901444707683748e-41,6.8480251350283905e-48,2.2409857017057685e-58,9.1513526644301121e-69,1.669146821601528e-69,2.170728824693222e-80,2.5941355172344768e-84,5.1127006766180191e-81,9.4147123694349637e-72,5.0642119720680597e-78,8.3573394951109244e-35,3.1344609193010056e-34,6.6651298151609311e-44,4.2424651656157962e-44,2.0383745254550715e-44,2.7049353387849368e-48,3.3396521475687742e-54,2.0203536632508858e-54,3.3019625394586978e-60,1.9430972871325791e-70,1.9965277157779763e-60,3.8345497134516893e-70,2.4406105794251869e-70,2.2861707358273894e-70
