Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859)
0.0,0.508199753979428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.555461696740232e-22,0.508199753979428,2.3633683778415415e-22,1.7732255531615057e-36,1.4962414647496687e-37,3.7077357332275373e-58,2.6945350213444429e-51,0.0,0.0,1.0531680116748166e-22,1.9435426122357202e-40,154.0,0.0,0.99999999999999933,1.0,19.0,5.3080234407251332e-17,2.0988043665976615e-16,2.5800437457947655e-16,2.5800471623264066e-16,1.1735723463410492e-25,7.6089794587516572e-28,7.608932986878934e-28,4.7541609132841388e-28,1.659144937116609e-25,2.1149836161570129e-40,1.0042211989891243e-30,7.1788074860920558e-31,2.807150849898954e-42,2.8071508498929694e-42,5.1726367579400665e-54,8.8067802177690076e-42,8.1242255311443797e-55,7.346326305837437e-32,2.9288563319816168e-97,2.7590054839773707e-97,2.7590054839773775e-97,2.3299808928317473e-45,7.7988944468915172e-48,2.6428179032100876e-40,1.8107596642257309e-45,1.3340300237351269e-48,6.2769019933297248e-57,2.2523081538208383e-69,1.4665215082700144e-81,1.1778082413356954e-82,2.5085692442459465e-95,4.4907037051516598e-99,3.8764605659972669e-96,1.5337725613116772e-84,1.0626794097067061e-91,6.2293495237604535e-42,2.4480666417244587e-39,7.2197569598725528e-51,1.8100791984305292e-51,1.1810536194753894e-51,6.9401450689206394e-56,3.4753373052242859e-63,2.0067864882687002e-63,1.329432575537047e-69,7.3907022039861716e-82,4.1006597305032717e-70,1.2093528335739108e-81,3.0319896650664268e-82,7.5561394107410828e-82,6.2325041951405043e-83,6.2325041951401663e-83,3.3781520110966769e-96,2.4877633523197352e-72,7.052419590644131e-75,2.0930411882138646e-86,1.4753262847006343e-97,3.0863638322481429e-98,6.2555881471131041e-110
2.1155292750872652e-21,0.508199753979428,6.6174314579626795e-22,5.4498137834439458e-36,9.0372984470950931e-37,5.6031302479567191e-57,3.1989521242171891e-50,0.0,0.0,2.9488704374366268e-22,1.1738997394379205e-39,154.0,0.0,0.99999999999999778,1.0,19.0,1.4862465634030336e-16,5.8766522171148315e-16,7.2241224882006527e-16,7.2241320544738674e-16,7.0883769624805582e-25,4.5958235930116095e-27,4.595762545771658e-27,2.8715131896393241e-27,1.0021235406867616e-24,2.5108635107100705e-39,6.06549604186623e-30,4.335999721570831e-30,3.3326494889797877e-41,3.3326494889663996e-41,1.1570981471659697e-52,1.0455409461805283e-40,1.8173567524322526e-53,4.4371810887142203e-31,3.1209237009496419e-95,2.9399344419771507e-95,2.9399344419771623e-95,2.7661536444475836e-44,9.2588474872973765e-47,3.1373870887664877e-39,2.149733558148527e-44,1.5837604375659387e-47,1.4041178626991382e-55,9.2942126251902243e-68,1.103960782804452e-79,8.8662464257779937e-81,3.424184643107235e-93,6.129789945462429e-97,5.2913492425445932e-94,1.1545856967578497e-82,8.1810454625560452e-90,7.3954837456038464e-41,1.478632251589078e-38,8.5712954625860491e-50,2.1489260200936191e-50,1.4021468158416881e-50,8.2434212694343533e-55,7.7740287347576308e-62,4.4890066706494795e-62,2.9752946477801813e-68,3.0512019752881407e-80,9.1773521824171017e-69,4.9927319635104862e-80,1.2517358358953561e-80,3.1195016807776496e-80,2.573047743303606e-81,2.5730477433033517e-81,2.544147024210952e-94,1.0265840094957057e-70,2.9102006877496675e-73,1.5755891625099176e-84,2.0138131060822784e-95,4.2128714164870579e-96,1.5432480414826573e-107
4.835495485913749e-21,0.508199753979428,1.5125557618230415e-21,1.4742119182443784e-35,4.351070179502679e-36,6.0275918528741275e-56,3.1407502294484125e-49,0.0,0.0,6.7402753079488056e-22,5.6518219410744676e-39,154.0,0.0,0.999999999999995,1.0,19.0,3.3971350020640601e-16,1.3432347880714694e-15,1.6512279972913662e-15,1.6512301838608507e-15,3.4127483690307016e-24,2.212691226493395e-26,2.2126282458353995e-26,1.3825099906065849e-26,4.8247934571600461e-24,2.4650852892411464e-38,2.9202752466182536e-29,2.0875972169124131e-29,3.2720150305794429e-40,3.2720150305529902e-40,2.2862309292995891e-51,1.0265182982368301e-39,3.5907906834276559e-52,2.136311689720137e-30,7.1024921366384557e-93,6.6906029295188616e-93,6.6906029295189152e-93,2.7158261952269294e-43,9.0903913671348237e-46,3.079952995044881e-38,2.1106204874390042e-43,1.554945375167211e-46,2.7743002583783207e-54,3.6766980553704115e-66,8.7286858830100456e-78,7.0102743881821109e-79,5.4093724648265264e-91,9.6835667187233256e-95,8.3590338053186728e-92,9.1289618517989773e-81,8.6885591631946278e-88,7.2609297769810357e-40,7.118977793947298e-38,8.4153487118860523e-49,2.109828300412999e-49,1.3766359711420885e-49,8.1020843267490181e-54,1.5359471124162013e-60,8.869112405450469e-61,5.8847656127670439e-67,1.2082563420635552e-78,1.8151669979685107e-67,1.9770894334928742e-78,4.9567861679038026e-79,1.2353026393162455e-78,1.018910405141674e-79,1.0189104051414727e-79,2.0136187510506237e-92,4.0610668425996987e-69,1.1512464484859784e-71,1.245770971185764e-82,3.1813311394922863e-93,6.6553042981175769e-94,4.871575198883398e-105
1.0275427907566716e-20,0.508199753979428,3.2141809938867713e-21,4.108324573472763e-35,1.9002266602430766e-35,5.5403954077975592e-55,2.7779580356512468e-48,0.0,0.0,1.4323085124927408e-21,2.468299143046038e-38,154.0,0.0,0.99999999999998934,1.0,19.0,7.2189118793860535e-16,2.8543739058176496e-15,3.5088594941944603e-15,3.5088641406236672e-15,1.4904368652530944e-23,9.6634039114615348e-26,9.6628337515165747e-26,6.0377843291142872e-26,2.1071140494972044e-23,2.180170342134321e-37,1.2753609226726632e-28,9.1170855068909484e-29,2.8940602400799904e-39,2.8940602400329181e-39,4.0682257079508955e-50,9.0794380504383013e-39,6.3896201352991128e-51,9.3298344082338367e-30,1.2002897720052204e-90,1.1306823169047548e-90,1.1306823169047726e-90,2.4021175713124394e-42,8.040348218627218e-45,2.7235571254497066e-37,1.8668187313481525e-42,1.3753315502232151e-45,4.9367189929054621e-53,1.3121873974852296e-64,6.2388995826092543e-76,5.0106509205637341e-77,7.7379308156943597e-89,1.3852026948414292e-92,1.1957322020652628e-89,6.5250001032464359e-79,7.0456587108764326e-86,6.4222101263963625e-39,3.1090446347963877e-37,7.4432806342132842e-48,1.866119222530925e-48,1.2176187713256871e-48,7.1815795492444517e-53,2.7328857313915753e-59,1.5780652073919494e-59,1.0493379852553955e-65,4.3209987063817878e-77,3.2367027097592651e-66,7.0705181528197029e-77,1.7726540060408274e-77,4.4177227833768626e-77,3.6438551318520892e-78,3.6438551318506476e-78,1.442170931909245e-90,1.4493663382812515e-67,4.1087167814407192e-70,8.9042499557043662e-81,4.5507904517919845e-91,9.52019576400978e-92,1.3941823196778896e-102
2.1155292750872653e-20,0.5081997539794278,6.6174314580549645e-21,1.247915618607868e-34,7.9330722462017277e-35,4.7399249721648734e-54,2.3350411236419349e-47,0.0,0.0,2.9488705062701593e-21,1.0304663159593476e-37,154.0,0.0,0.99999999999997813,1.0,19.0,1.4862465634029815e-15,5.8766520814148443e-15,7.2241224878426223e-15,7.2241320538928729e-15,6.2222804488999004e-23,4.0342809079923662e-25,4.0337962682592279e-25,2.5206560885423554e-25,8.7967862708242612e-23,1.8322791538954957e-36,5.3243807966486314e-28,3.8062037287246405e-28,2.4326320118696467e-38,2.4326320117902531e-38,6.8616570179760124e-49,7.6318146778801394e-38,1.0777028181256974e-49,3.8950222071932721e-29,1.7574886225002637e-88,1.6555679753096689e-88,1.6555679753097219e-88,2.0191245801848654e-41,6.7583971447480702e-44,2.2882607649719814e-36,1.5691716298048986e-41,1.1560489959893773e-44,8.3264978553492736e-52,4.4335844937867979e-63,4.2193706640389417e-74,3.3887055277325638e-75,1.0470544442716152e-86,1.8743805155040191e-90,1.6179985276497642e-87,4.4128605782020678e-77,5.0521546283686345e-84,5.3982545213455191e-38,1.2979649332680035e-36,6.2565258632515156e-47,1.5685856215049728e-47,1.0234816831724422e-47,6.0624198596652001e-52,4.6085674664426216e-58,2.6611451886712286e-58,1.7772033043938291e-64,1.4659278798529514e-75,5.4818169471923186e-65,2.398719453329373e-75,6.0138130489980584e-76,1.4987424342964906e-75,1.236202664574816e-76,1.2362026645738367e-76,9.7929164872824755e-89,4.8970819589436301e-66,1.3882425256690961e-68,6.0219484998164781e-79,6.1578807030619205e-89,1.2882208123059498e-89,3.7738203426398986e-100
4.2915022437484523e-20,0.508199753979428,1.3423932386554278e-20,4.163124462337087e-34,3.2409188623901781e-34,3.9190617198162254e-53,1.9144077944610373e-46,0.0,0.0,5.9819946153517836e-21,4.2097912341170407e-37,154.0,0.0,0.9999999999999557,1.0,19.0,3.014957314331642e-15,1.192120819302858e-14,1.4654648474506835e-14,1.4654667879405705e-14,2.5420045338162775e-22,1.6481353858048087e-24,1.6477358973004215e-24,1.0297702470245342e-24,3.5937741423084906e-22,1.5017453590818629e-35,2.1751832855267809e-27,1.5549584163776588e-27,1.9944186965558199e-37,1.9944186964254157e-37,1.1270291392759221e-47,6.257022635414182e-37,1.7701300809288114e-48,1.5912436630126767e-28,2.4032170315531056e-86,2.2638491676280945e-86,2.2638491676282392e-86,1.65540033087011e-40,5.5409423038781965e-43,1.8743297294592464e-35,1.2864984306751235e-40,9.4779874371241841e-44,1.3676296770365728e-50,1.457665479760695e-61,2.7756427638735528e-72,2.2292035297203772e-73,1.377864684366796e-84,2.4665792365227475e-88,2.1291927360439914e-85,2.9029268836520241e-75,3.4187015157979275e-82,4.425815111794373e-37,5.3026102671651234e-36,5.1294779042493082e-46,1.2860212179370313e-46,8.391116917418309e-47,5.0127618075194513e-51,7.5668154357416073e-57,4.3693220748323185e-57,2.9431799669769418e-63,4.8588423556389215e-74,9.0782938454450143e-64,7.9505862996846243e-74,1.9932651982346942e-74,4.9676084701069865e-74,4.0974162798172462e-75,4.097416279810753e-75,6.494087191271707e-87,1.6100534943494282e-64,4.5642376084919403e-67,3.9614387878123949e-77,8.1034246277714521e-87,1.6952261237920815e-87,9.9333150427273906e-98
8.643448181070827e-20,0.508199753979428,2.7036934244204624e-20,1.4957712237414697e-33,1.3100312220475801e-33,3.1869160535170195e-52,1.5503370679761844e-45,0.0,0.0,1.2048243319622188e-20,1.7016650068866085e-36,154.0,0.0,0.99999999999991085,1.0,19.0,6.0723788161886001e-15,2.4010319457933502e-14,2.9515700445306832e-14,2.9515739526330136e-14,1.0275188291802374e-21,6.6620267399236854e-24,6.6587834683805557e-24,4.1624958865207467e-24,1.4526609020241585e-21,1.2153953318727879e-34,8.7924386205978163e-27,6.2853905340375911e-27,1.6151319689265162e-36,1.6151319687151252e-36,1.8269625217805388e-46,5.0670989400860497e-36,2.8694570310963136e-47,6.4320613032970235e-28,3.1784845824786604e-84,2.9941572408592739e-84,2.9941572408596579e-84,1.3405861117378136e-39,4.4871987354315522e-42,1.5150947781115516e-34,1.0418344765284492e-39,7.6755188466573713e-43,2.2169863304107432e-49,4.7279023897345847e-60,1.8009314815377449e-70,1.4463831110146284e-71,1.788202349020779e-82,3.2011436742901975e-86,2.7632753729231876e-83,1.8835177502493313e-73,2.2491889583698309e-80,3.584139672924893e-36,2.1433998508147576e-35,4.1539841946165029e-45,1.0414532525215784e-45,6.7953370972942867e-46,4.1281777008518923e-50,1.2257161386176843e-55,7.077622929946316e-56,4.8492157725461172e-62,1.6013777755609732e-72,1.4957497057734561e-62,2.6203489736611608e-72,6.5692530050259174e-73,1.6372260616074573e-72,1.350428189948632e-73,1.3504281899443511e-73,4.2810378053615403e-85,5.2221699150951517e-63,1.4803994716728065e-65,2.5703165505234847e-75,1.0516681754164221e-84,2.2000764357079755e-85,2.578442997915075e-95
1.7347340055715575e-19,0.508199753979428,5.426293796211218e-20,5.6403568160342837e-33,5.2675779268689571e-33,2.5703634916232966e-51,1.2478461492892997e-44,0.0,0.0,2.4180742672591613e-20,6.8423208044425448e-36,154.0,0.0,0.99999999999982114,1.0,19.0,1.218722181990105e-14,4.8188538154453777e-14,5.9237804376793087e-14,5.9237882803782744e-14,4.1316076459075545e-21,2.6787716485092429e-23,2.6761588221750451e-23,1.6737212097973568e-23,5.8410850675139005e-21,9.7703950172646422e-34,3.5354008976775031e-26,2.5273278884413248e-26,1.2999987213487841e-35,1.299998721008346e-35,2.9422659174481227e-45,4.0784417095866886e-35,4.6211717332883597e-46,2.586303560361844e-27,4.1352955794522441e-82,3.8954806547202773e-82,3.8954806547212762e-82,1.0790203342098763e-38,3.6116879183269362e-41,1.2150189988603567e-33,8.3855048069607986e-39,6.1779235305961846e-42,3.5703871367935799e-48,1.5231563122105034e-58,1.1605129253605616e-68,9.3204339695213008e-70,2.3047448641367026e-80,4.1258303284761129e-84,3.5614639978503343e-81,1.2137311815212655e-71,1.4593833355053917e-78,2.8848271778123245e-35,8.6185165250128015e-35,3.3434878635525751e-44,8.3825206592445643e-45,5.469467310115591e-45,3.433329594071722e-49,1.9710942879015604e-54,1.1381463998843326e-54,8.0613712674062695e-61,5.3228641129943444e-71,2.48654509579705e-61,8.7098102938723918e-71,2.1834709103016011e-71,5.4420287942043337e-71,4.4887344517790756e-72,4.4887344517506193e-72,2.8456161396641731e-83,1.6823915083286107e-61,4.7693037342405296e-64,1.6563018653100369e-73,1.3554547147404458e-82,2.8355939856317861e-83,6.6466901860237168e-93
3.4755123805005074e-19,0.5081997539794278,1.0871494540835479e-19,2.1872200167566078e-32,2.112534347081678e-32,2.0646561251999176e-50,1.0013179485568529e-43,0.0,0.0,4.8445749156244927e-20,2.7440771971840321e-35,154.0,0.0,0.99999999999964162,1.0,19.0,2.4416907827320099e-14,9.6544960214340855e-14,1.1868201219931064e-13,1.1868216929317175e-13,1.6569591564496729e-20,1.0743072396716636e-22,1.0722111011962797e-22,6.7123700089497646e-23,2.3425359365392652e-20,7.8206753064836928e-33,1.4178538837450235e-25,1.0135715198504857e-25,1.043167101941728e-34,1.0431671013952494e-34,4.7229855160545701e-44,3.2726920669107411e-34,7.4180029278264541e-45,1.0372234025898271e-26,5.3363798719994573e-80,5.0269114162268062e-80,5.0269114162293837e-80,8.6584586716397707e-38,2.8981520960257076e-40,9.6789225532936767e-33,6.7287023973504667e-38,4.9573916849466449e-41,5.7312588577133808e-47,4.8905327806532467e-57,7.4527262111215404e-67,5.9855121866148887e-68,2.9602594809847851e-78,5.299297383917181e-82,4.5743761928627173e-79,7.7944898304866636e-70,9.4042465234626278e-77,2.3148917384354856e-34,3.4564105951240297e-34,2.6829384373981019e-43,6.726443053232856e-44,4.3888851402007142e-44,2.9325499457644092e-48,3.1548245081833365e-53,1.8215974878719141e-53,1.3748860228410834e-59,1.8142522477795527e-69,4.2408617366639868e-60,2.9686359917858573e-69,7.4414815315713597e-70,1.8548736546132029e-69,1.5299522476170345e-70,1.5299522475976436e-70,1.9390877751161701e-81,5.4018055658561735e-60,1.5313231757614258e-62,1.0636649505130517e-71,1.7409732930169828e-80,3.6420938774957485e-81,1.7074509820968091e-90
