Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149)
0.0,0.6384981734729908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.709426746758804e-22,0.6384981734729908,2.8791763878117797e-22,1.7877410671288055e-36,1.6905304016923155e-37,3.9666080629034636e-58,2.8001354024731979e-51,0.0,0.0,1.0055954010092066e-22,1.7215376521023165e-40,154.0,0.0,0.99999999999999933,1.0,19.0,6.2467198553516412e-17,2.5250436113123296e-16,2.4221809213843997e-16,2.4221848061521013e-16,1.6296208613965861e-25,6.5613060099538347e-28,6.5612599067336343e-28,4.0943684706399995e-28,2.3112813091069867e-25,2.1209332361628916e-40,8.7419172370929167e-31,7.9588740717171163e-31,3.6241584332414768e-42,3.6241584332343888e-42,6.1261386446521048e-54,1.4437926844889536e-41,9.628319361825767e-55,6.3996487357163071e-32,4.4790330820564348e-97,4.2185105937835013e-97,4.2185105937835128e-97,1.8640918678168452e-45,7.9953625649009316e-48,2.6468753847624408e-40,1.4574163604943467e-45,1.3838958613448345e-48,7.5790700544475674e-57,3.1498415495982988e-69,1.8826742457365516e-81,1.9317461884228989e-82,3.7748954020464361e-95,5.3487489914118503e-99,7.3725515436805959e-96,1.9684750263688865e-84,1.4204420792809835e-91,1.0179784991572464e-41,2.7612746000420827e-39,7.4798572923997378e-51,2.4033304611084957e-51,1.5551265796987731e-51,9.3379029542239123e-56,4.181909643349196e-63,2.4178406193271007e-63,1.6406241543082613e-69,1.0606841717909469e-81,6.4393731551079621e-70,1.7443243771679741e-81,5.60463160648295e-82,1.0884869763922649e-81,1.1476874664311605e-82,1.1476874664311034e-82,5.7187121828741148e-96,2.7354493984028521e-72,1.0040830924069354e-74,3.4553225841785145e-86,2.2357594641067211e-97,4.6799618959438448e-98,1.1050212669641901e-109,3.1461283405275893e-110,3.9228503867412271e-124
2.4386394890924654e-21,0.6384981734729908,8.061693885880171e-22,5.5534068381222887e-36,1.0210803626229022e-36,5.9943381123616317e-57,3.3243209068633401e-50,0.0,0.0,2.8156671269578061e-22,1.0398087432012058e-39,154.0,0.0,0.99999999999999778,1.0,19.0,1.7490815594984545e-16,7.070122098655157e-16,6.7821065798550189e-16,6.7821174571913439e-16,9.8429099877109118e-25,3.9630288299399932e-27,3.9629679595705739e-27,2.4729985542867516e-27,1.3960139085555264e-24,2.5179191195043004e-39,5.2801180111816769e-30,4.8071599392833602e-30,4.302600891916595e-41,4.3026008919007386e-41,1.370392703345754e-52,1.7140706726120358e-40,2.1538165252399862e-53,3.8653878363652952e-31,4.7727573218541307e-95,4.4951503940571715e-95,4.4951503940571928e-95,2.2130501357657191e-44,9.4920944369980498e-47,3.1421757676011821e-39,1.7302444096278659e-44,1.6429611586052993e-47,1.6954076470292258e-55,1.2997909291096596e-67,1.4172301743000721e-79,1.4541703077587635e-80,5.1527135982388975e-93,7.3010178707692174e-97,1.0063495807716716e-93,1.481818860090449e-82,1.0935588548509717e-89,1.2085440724979436e-40,1.6678098584119085e-38,8.8800865773400267e-50,2.8532339168233023e-50,1.8462462127713298e-50,1.1092164216646786e-54,9.3545371293486072e-62,5.4084796772493895e-62,3.6719732095193548e-68,4.3792267201710664e-80,1.4412323291392917e-68,7.2017585843254944e-80,2.3139719219933636e-80,4.4940157365601304e-80,4.7384357293550065e-81,4.7384357293545767e-81,4.3071202845112906e-94,1.1287925458333571e-70,4.1433769900213803e-73,2.6010805933282671e-84,3.0518006469534734e-95,6.388124916452279e-96,2.7260776524949545e-107,7.7614706992179196e-108,1.7458975274907783e-121
5.5740331179256354e-21,0.6384981734729908,1.8426728882045704e-21,1.5275665780826424e-35,4.9160624081324061e-36,6.4484354211172299e-56,3.2638380481334778e-49,0.0,0.0,6.4358105953831157e-22,5.0062315122680298e-39,154.0,0.0,0.99999999999999489,1.0,19.0,3.9979007074250169e-16,1.6160279021263357e-15,1.5501957896711061e-15,1.5501982759131676e-15,4.7389374422545723e-24,1.9080277875863922e-26,1.9079648455541403e-26,1.1906423482923998e-26,6.7212060147067138e-24,2.4719960500368103e-38,2.5421495325129539e-29,2.3144405800046717e-29,4.2243190697004413e-40,4.2243190696691092e-40,2.7076650210171856e-51,1.6828847455592509e-39,4.2555784929733378e-52,1.8610178523352694e-30,1.086167897607152e-92,1.0229910560474876e-92,1.0229910560474971e-92,2.1727858650105199e-43,9.3193946054862772e-46,3.0845944905577041e-38,1.6987635997843638e-43,1.6130689912353457e-46,3.3498397758730326e-54,5.1418436046517926e-66,1.1205612727138712e-77,1.1497687251988248e-78,8.1400245382950901e-91,1.1533819985601167e-94,1.5897854405347052e-91,1.1716296039431026e-80,1.1617623523193467e-87,1.1865557333429144e-39,8.0297865367197326e-38,8.7185216594106237e-49,2.8013219649934797e-49,1.8126553470910361e-49,1.090349775318695e-53,1.848200546548366e-60,1.0685669043295871e-60,7.2636868994734639e-67,1.7343755055954007e-78,2.8509631717994421e-67,2.852227660638821e-78,9.1643793900020226e-79,1.7798373328325931e-78,1.8766389500279391e-79,1.8766389500275981e-79,3.4094100385478914e-92,4.4653939861597175e-69,1.6390787284163617e-71,2.0565962071731268e-82,4.821097050537862e-93,1.009167168725153e-93,8.6054165687309706e-105,2.4500655335419934e-105,1.1015251228923412e-118
1.1844820375591975e-20,0.6384981734729908,3.9156798874491796e-21,4.3483893269668548e-35,2.146973610160765e-35,5.9272231511500614e-55,2.8868278191225529e-48,0.0,0.0,1.3676097598346179e-21,2.1863528387818378e-38,154.0,0.0,0.99999999999998912,1.0,19.0,8.4955390032780667e-16,3.434059265816993e-15,3.2941660530082366e-15,3.294171336245976e-15,2.0696184705307419e-23,8.3328586315234801e-26,8.3322882334996385e-26,5.1998479270257865e-26,2.935327229316924e-23,2.1862535263892761e-37,1.1102234890760133e-28,1.0107770070557195e-28,3.7363623781544013e-39,3.7363623780986478e-39,4.8181451281136544e-50,1.4884924902904781e-38,7.572574511463535e-51,8.1275538942456955e-30,1.8355757290474022e-90,1.7288096597688176e-90,1.7288096597688503e-90,1.9218045387659114e-42,8.2428989895695327e-45,2.7275557148811259e-37,1.5025360600001329e-42,1.4267412252408652e-45,5.9608607782400248e-53,1.8350874227836323e-64,8.0093032681966889e-76,8.2180659217809434e-77,1.1644039479410804e-88,1.6498753990530488e-92,2.2741355147543035e-89,8.3743183390977611e-79,9.4218932173414917e-86,1.0494951024141337e-38,3.5068187418440495e-37,7.711433672890371e-48,2.4777375291877929e-48,1.6032728907740139e-48,9.667404370385237e-53,3.2884225545321071e-59,1.9012520352603327e-59,1.2955683539315103e-65,6.2041650965495881e-77,5.0850452596043455e-66,1.0202914689197889e-76,3.2782480918880238e-77,6.366790658492861e-77,6.7130673007033585e-78,6.7130673007009154e-78,2.4424912148867127e-90,1.5936678789481782e-67,5.849755524839347e-70,1.4699689667334976e-80,6.8964221096203361e-91,1.4435807239697897e-91,2.4627598085479465e-102,7.0117732867895556e-103,6.3058693994759495e-116
2.4386394890924653e-20,0.6384981734729906,8.0616938859843984e-21,1.349551866656094e-34,8.9631921898763714e-35,5.0708642493142848e-54,2.4265527372473136e-47,0.0,0.0,2.8156671868722086e-21,9.1275928169203415e-38,154.0,0.0,0.99999999999997757,1.0,19.0,1.7490815594983867e-15,7.0701219098743797e-15,6.7821065795461832e-15,6.782117456690575e-15,8.6402495961384018e-23,3.478804445471427e-25,3.4783193698330421e-25,2.1708341355150352e-25,1.2254413201644708e-22,1.8373431610260445e-36,4.6349645187935966e-28,4.2197950323532269e-28,3.1406377113851422e-38,3.1406377112911047e-38,8.1265056330374643e-49,1.2511676111922881e-37,1.2772253602278128e-49,3.3930937595741732e-29,2.6876872025156959e-88,2.5313581589798873e-88,2.5313581589799827e-88,1.6153925311427907e-41,6.9286532723239218e-44,2.291442478108678e-36,1.2629702322201362e-41,1.1992619168170422e-44,1.0053862549609666e-51,6.2003454018532885e-63,5.4166954623769132e-74,5.5578817406321035e-75,1.5756076796762726e-86,2.2325211302089025e-90,3.0772338441670019e-87,5.6635553219562449e-77,6.7563647120611729e-84,8.8216385961680263e-38,1.4640277927538618e-36,6.4819246495509437e-47,2.0826876463010958e-47,1.3476470720177028e-47,8.1653743080393776e-52,5.545219195353211e-58,3.2060455579736806e-58,2.1954046979559401e-64,2.1059143342110844e-75,8.6168608688062307e-65,3.4632298533077227e-75,1.112746548638999e-75,2.161115669353436e-75,2.2786544801375568e-76,2.2786544801358975e-76,1.6594166764445682e-88,5.3846443327141673e-66,1.9765001590801721e-68,9.941407131275867e-79,9.3318611383321726e-89,1.9533744640109193e-89,6.6662823704710158e-100,1.8979707922086346e-100,3.4141312013123879e-113
4.946954392159001e-20,0.6384981734729906,1.635372188323885e-20,4.5811712716668716e-34,3.6617564713694341e-34,4.1926887115660374e-53,1.9894345444719123e-46,0.0,0.0,5.7117821467272998e-21,3.7289195729805103e-37,154.0,0.0,0.99999999999995459,1.0,19.0,3.548136877839427e-15,1.4342246864693459e-14,1.3757987632076824e-14,1.3758009696695843e-14,3.5298237919844003e-22,1.4212051261282179e-24,1.4208051901580369e-24,8.8685656483104917e-25,5.0063275134211167e-22,1.5058164086532206e-35,1.8935342409582322e-27,1.723923959031275e-27,2.57488454484398e-37,2.5748845446895234e-37,1.3347808720561398e-47,1.025782774932021e-36,2.0978464427704803e-48,1.3861895146642169e-28,3.6751849075107895e-86,3.4614181638001053e-86,3.4614181638003681e-86,1.3243964027718991e-40,5.6805285637057608e-43,1.8766450312556048e-35,1.0354562502865186e-40,9.8322729277086624e-44,1.6513498078614534e-50,2.0385377486933666e-61,3.5632829140707836e-72,3.6561599565056991e-73,2.0734109537848513e-84,2.9378720912892013e-88,4.0494615530338805e-85,3.725675562426095e-75,4.5720063276161316e-82,7.2325121252126618e-37,5.9810312330796754e-36,5.3142734470469322e-46,1.7075130944671754e-46,1.1048818398110639e-46,6.7589787213864353e-51,9.1041450684265178e-57,5.263661318403606e-57,3.6395972161951653e-63,6.9873548475113635e-74,1.4285249028305943e-63,1.1490867796742005e-73,3.6920070645980296e-74,7.1705139532229251e-74,7.5605052104249357e-75,7.5605052104139197e-75,1.1015646053017774e-86,1.770353342671116e-64,6.4982999478226253e-67,6.5397895214991898e-77,1.2280204309336288e-86,2.5705309045878063e-87,1.754675005353987e-97,4.9957711000598366e-98,1.7974054166247792e-110
9.963584198292072e-20,0.6384981734729908,3.29377778784838e-20,1.6653184232949831e-33,1.4801405122131339e-33,3.4094249751274348e-52,1.6110956754448194e-45,0.0,0.0,1.1504012489557121e-20,1.5072889773795778e-36,154.0,0.0,0.99999999999990852,1.0,19.0,7.1462475145210299e-15,2.8886495441148945e-14,2.7709749734957078e-14,2.7709794173171726e-14,1.4268111390123214e-21,5.7447383473962158e-24,5.7414911800093292e-24,3.5848159333846075e-24,2.0236375192194656e-21,1.2185616706477062e-34,7.6539681509224014e-27,6.9683762724621763e-27,2.0852082623385139e-36,2.0852082620881333e-36,2.1637369293243833e-46,8.307054457219597e-36,3.4006993347566021e-47,5.6031996505443223e-28,4.8607838629514063e-84,4.5780568806732195e-84,4.5780568806739135e-84,1.0725305478921268e-39,4.6002393076563192e-42,1.5164975101347635e-34,8.3853437499725655e-40,7.9624281915858613e-43,2.6769087626813057e-49,6.6119472604080128e-60,2.3119791627630195e-70,2.3722409475001863e-71,2.6908870640011264e-82,3.8127907313428377e-86,5.255406603909983e-83,2.4173450373385164e-73,3.0079873614055897e-80,5.8570755480450892e-36,2.4176284522053498e-35,4.3036364159467482e-45,1.3827882629613204e-45,8.9476090507658933e-46,5.5780847641225319e-50,1.4745602192095932e-55,8.5252452328746395e-56,6.0090038075791316e-62,2.3075690221722901e-72,2.3585059195318058e-62,3.7948407517778135e-72,1.2192500020135232e-72,2.3680590912115858e-72,2.4968543073567405e-73,2.496854307349464e-73,7.2763789216347991e-85,5.7420986015884536e-63,2.107707919004603e-65,4.2432383899878805e-75,1.5937335850035872e-84,3.3360531398067059e-85,4.5547024058270039e-95,1.2967787720023503e-95,9.3314905030958917e-108
1.9996843810558214e-19,0.6384981734729908,6.6105889871917895e-20,6.3232306783709915e-33,5.9515799009597324e-33,2.7498249917141158e-51,1.2967499625016537e-44,0.0,0.0,2.3088474867695327e-20,6.0607432133141387e-36,154.0,0.0,0.99999999999981648,1.0,19.0,1.4342468787882319e-14,5.7974987261330265e-14,5.5613273931993507e-14,5.5613363111993532e-14,5.7371442355205048e-21,2.3099340203450987e-23,2.3073180947895925e-23,1.4414386415484557e-23,8.1369566095550911e-21,9.7937878062643077e-34,3.0776269292200058e-26,2.8019534497825555e-26,1.6783570177985334e-35,1.6783570173953036e-35,3.4846303838912601e-45,6.6862394704815023e-35,5.4767209535300175e-46,2.2530219354242771e-27,6.3240130631641428e-82,5.9561775083490072e-82,5.9561775083508155e-82,8.6326589525634827e-39,3.702672805158018e-41,1.2153965047920807e-33,6.7491745962261221e-39,6.4088527603763229e-42,4.3110776290985755e-48,2.1301261996709966e-58,1.4898299066082488e-68,1.5286623543685405e-69,3.4681801344622875e-80,4.9141583540357157e-84,6.7734576248887085e-81,1.5577272453006647e-71,1.9517384904602081e-78,4.7142834939336086e-35,9.7211776697898014e-35,3.4639409901242556e-44,1.1129881148760303e-44,7.2017972085444836e-45,4.6579312039538722e-49,2.3706826168602581e-54,1.3705945556977141e-54,1.0028590387822062e-60,7.6998420602253259e-71,3.936174871061277e-61,1.2662467001938251e-70,4.0681463950915624e-71,7.9016965969407822e-71,8.3314633022049208e-72,8.3314633021563698e-72,4.8551909636030374e-83,1.8498934296454367e-61,6.7902612235156975e-64,2.7343260794960693e-73,2.0541019749376191e-82,4.2997106555263557e-83,1.1741075763995541e-92,3.342826728148079e-93,4.8109942539829096e-105
4.00633630350905e-19,0.6384981734729908,1.3244211387056292e-19,2.461309385831953e-32,2.3868497314388941e-32,2.2088093517644197e-50,1.0405601788193055e-43,0.0,0.0,4.6257406393886e-20,2.4306295256078757e-35,154.0,0.0,0.99999999999963229,1.0,19.0,2.8734911334597234e-14,1.1615194957078197e-13,1.1142032229117004e-13,1.1142050093318629e-13,2.3008509564230434e-20,9.2638685418412753e-23,9.2428847641249147e-23,5.7808130207853737e-23,3.2632828509966186e-20,7.8361140705636206e-33,1.2342660481319892e-25,1.1237086527172317e-25,1.346775806346082e-34,1.3467758056988088e-34,5.5935995256765153e-44,5.36528504066945e-34,8.791348476451615e-45,9.0356256473974864e-27,8.1608038338595177e-80,7.686131537106087e-80,7.6861315371107507e-80,6.9271651656456606e-38,2.9711617376746683e-40,9.6701643717096174e-33,5.4156598822327199e-38,5.1426972521122132e-41,6.9202298318273886e-47,6.8393840999004646e-57,9.5675740909697192e-67,9.8169531154888644e-68,4.4545981492097498e-78,6.3118407921104784e-82,8.6998776470056212e-79,1.0003605630844918e-69,1.2577008226777914e-76,3.7829148685257433e-34,3.8986270315822065e-34,2.7795944846303099e-43,8.931025813481144e-44,5.7789614560540035e-44,4.0076400627511199e-48,3.792529897342058e-53,2.1925379909683448e-53,1.7225850111055047e-59,2.6428776798567801e-69,6.7610656811338612e-60,4.3461917617670012e-69,1.396192296013191e-69,2.7121705186044747e-69,2.8596867607474254e-70,2.8596867607141097e-70,3.3315871169385693e-81,5.9396188899812646e-60,2.1802100914858422e-62,1.7559641788293761e-71,2.6383298205511077e-80,5.5226345935521421e-81,3.0161342273797808e-90,8.587303632708927e-91,2.4717851704510324e-102
