Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31)
0.0,0.43804706976166774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.709195036711977e-22,0.43804706976166774,6.8219116986088178e-22,1.9764376048140119e-35,1.8627184840300794e-37,5.2727392515445425e-58,9.9236671176018607e-52,0.0,0.0,1.7470786064089246e-22,1.4183066777866393e-40,154.0,0.0,0.99999999999999911,1.0,19.0,3.117716081797597e-17,3.4012526166797034e-16,1.947337377029978e-16,1.9473459460193519e-16,4.5615270424860987e-26,1.5864832166381999e-28,1.5864864640351983e-28,9.347761146265264e-29,7.4816381530029512e-26,1.4986388560617478e-41,3.2577931513678233e-31,3.7366753149610192e-31,5.2879871482952279e-43,5.287987148292279e-43,2.5383697666866656e-55,2.3325623587800836e-42,4.1166545732566009e-56,2.3697331223878715e-32,2.727668787382164e-99,2.5478674438674328e-99,2.5478674438674373e-99,2.1488993302199854e-46,1.4776310130457244e-48,1.7660048426217569e-41,2.186825387243965e-46,4.503957453884385e-49,7.4808063704551822e-58,7.5699364140957282e-71,1.3245242425610125e-83,1.9899270712508199e-84,1.1123282073157138e-97,1.7940748684345802e-101,1.9518677528179035e-98,1.3559744808820042e-86,6.2593379851780717e-93,1.4221546217909204e-42,2.8245728607507627e-39,2.3011613141942476e-51,1.2391255940040602e-51,5.5161564325925826e-52,8.7457262089088004e-56,3.5505849530458081e-64,2.1737403199767606e-64,4.3237733928425893e-70,8.1688002296923575e-83,2.0758445780959213e-70,1.6911771484411543e-82,9.1066214972843113e-83,9.9645875898582576e-83,1.5745686957181082e-83,1.5745686957179577e-83,2.4589362028875043e-97,5.5760827834029336e-74,5.4193463672063923e-76,4.775327886883748e-88,9.0429453685756937e-100,1.9452144336679085e-100,1.4489615923380944e-112,5.8187165347564126e-113,2.1738592336914287e-127,9.0302502179011329e-75,9.9308935561266509e-85,1.2589532119088671e-96
4.785746102793535e-22,0.43804706976166774,1.9101352756110407e-21,5.5943773723622436e-35,1.1250819643544432e-36,7.9681635590160476e-57,1.1781379619180671e-50,0.0,0.0,4.8918200994686724e-22,8.5665723362899969e-40,154.0,0.0,0.99999999999999789,1.0,19.0,8.7296050290332606e-17,9.5235073227304674e-16,5.4525446556787781e-16,5.4525686488460077e-16,2.7551623327025783e-25,9.5823586284337914e-28,9.5823564679364998e-28,5.6460477311624803e-28,4.518909442840829e-25,1.7791700954419449e-40,1.9677070634237006e-30,2.2569518902315839e-30,6.2778983424436866e-42,6.2778983424370874e-42,5.6782316263988349e-54,2.7692180314602596e-41,9.2087916111811352e-55,1.4313188059216337e-31,2.9065427600453927e-97,2.7149504759468573e-97,2.7149504759468651e-97,2.5511743920346407e-45,1.7542435386853833e-47,2.0965536908891428e-40,2.5961989973709386e-45,5.3470982813676181e-48,1.67342645948814e-56,3.1237554528045254e-69,9.9706878832085072e-82,1.4979674286258293e-82,1.5183225193875803e-95,2.4489056062155194e-99,2.6642898240967577e-96,1.0207437427005938e-84,4.823558586986331e-91,1.6883819664515289e-41,1.7060420078890357e-38,2.7319387121906159e-50,1.4710899042361294e-50,6.5487808693145512e-51,1.0383396255326579e-54,7.9424474940058606e-63,4.8625251085169356e-63,9.6725264693459875e-69,3.371020528336589e-81,4.6437821327757748e-69,6.9789841912137192e-81,3.758030789485921e-81,4.1120885007276995e-81,6.4977760320398001e-82,6.4977760320386683e-82,1.8511028815973943e-95,2.3009984541651701e-72,2.2363084518825517e-74,3.5947476399212083e-86,1.2343575860555847e-97,2.6552081149870616e-98,3.5745753922134776e-110,1.4354722072366229e-110,9.6749431930042316e-125,2.8531527397411432e-73,5.7471968515382961e-83,9.4774802031227013e-95
1.0938848234956652e-21,0.43804706976166774,4.3660234871136399e-21,1.3071665222993078e-34,5.416785351563594e-36,8.5717867533213319e-56,1.1567029256653728e-49,0.0,0.0,1.1181303091682893e-21,4.1244358226849515e-39,154.0,0.0,0.99999999999999512,1.0,19.0,1.9953382923504531e-16,2.1768016718941176e-15,1.2462959212955724e-15,1.2463014054466598e-15,1.3264920625164189e-24,4.6134931938924753e-27,4.6134699753077962e-27,2.718328939561327e-27,2.1756603725338251e-24,1.7467701924673726e-39,9.4736624841406535e-30,1.0866251815833566e-29,6.1636778200144485e-41,6.1636778200014101e-41,1.1219228800110678e-52,2.7188346826553502e-40,1.8195020396566635e-53,6.8911839198943197e-31,6.6146112742629794e-95,6.1785920627519386e-95,6.1785920627519759e-95,2.5047586315712114e-44,1.7223267087983442e-46,2.0583087508571695e-39,2.5489633540397873e-44,5.2498127838074743e-47,3.3064086772790777e-55,1.2357265887780989e-67,7.8835230750255531e-80,1.1843977995874327e-80,2.398577451397755e-93,3.8686721455634659e-97,4.2089247975518319e-94,8.0707138199076084e-83,5.1802422553804856e-89,1.6576634254896768e-40,8.213857878996842e-38,2.6822336277603494e-49,1.4443247893781109e-49,6.4296317907058869e-50,1.0195475779423049e-53,1.5692639374284636e-61,9.6073354641329055e-62,1.9113091318060968e-67,1.3336665743169824e-79,9.1761994393031869e-68,2.7610741122259091e-79,1.4867777036505904e-79,1.6268530548477173e-79,2.5706953620574754e-80,2.5706953620565795e-80,1.4637470019663837e-93,9.1025423781725391e-71,8.8466138367624607e-73,2.8422588657656265e-84,1.9499824588529684e-95,4.194578059743242e-96,1.1283871718569439e-107,4.5313589688158188e-108,6.1041343168281029e-122,6.4862219595766693e-72,2.6254000093507682e-81,7.4942529512705238e-93
2.3245052499282886e-21,0.43804706976166774,9.2777999101279729e-21,2.8991874186410835e-34,2.3656524747224605e-35,7.8789488236422139e-55,1.0230906736120544e-48,0.0,0.0,2.3760269100490234e-21,1.8012494845900527e-38,154.0,0.0,0.99999999999998967,1.0,19.0,4.240093871244688e-16,4.6257035447799326e-15,2.6483788327427014e-15,2.6483904865576918e-15,5.7931393290924453e-24,2.0148336850360566e-26,2.0148040587862633e-26,1.1871656637439895e-26,9.5016804299329326e-24,1.544945875907415e-38,4.1373973021989259e-29,4.7455776499249806e-29,5.4517032303256603e-40,5.451703230302458e-40,1.9964018102208394e-51,2.4047784836566116e-39,3.237706659293279e-52,3.009561065422665e-30,1.1178400631573232e-92,1.0441547439869707e-92,1.044154743986983e-92,2.2154308369168204e-43,1.5233784691933395e-45,1.820372744911647e-38,2.2545288348364123e-43,4.6433999253322952e-46,5.8835775440391591e-54,4.4102203940159424e-66,5.6348126197976785e-78,8.465580178435567e-79,3.431086822110776e-91,5.5340103749404157e-95,6.0207292967216468e-92,5.7686087363169009e-81,4.2168176915329578e-87,1.4661845253749444e-39,3.5872075330848774e-37,2.3724052683463222e-48,1.2774889161090797e-48,5.686936326785194e-49,9.0195542439131635e-53,2.7923146348029069e-60,1.7095043943507759e-60,3.4017192120753375e-66,4.7606520504955139e-78,1.6331661585705115e-66,9.855920647616102e-78,5.3071930466948524e-78,5.8072097267827079e-78,9.176346448526674e-79,9.1763464485202716e-79,1.0464194684033727e-91,3.2486362801557052e-69,3.1572936358048041e-71,2.031527788714775e-82,2.7893863276568677e-93,6.0002071479329698e-94,3.2292993520930824e-105,1.2968168183206387e-105,3.4944163464585237e-119,1.2596319199478866e-70,1.0236432811031272e-79,5.3575735279484152e-91
4.785746102793535e-21,0.4380470697616677,1.9101352756193165e-20,6.4694825162019546e-34,9.8761334023658191e-35,6.7406066136040127e-54,8.5996937092831913e-48,0.0,0.0,4.8918201215620543e-21,7.51986203982068e-38,154.0,0.0,0.99999999999997868,1.0,19.0,8.729605029033079e-16,9.5235072651262593e-15,5.452544655603918e-15,5.4525686487274108e-15,2.4185216245477193e-23,8.4115340137656152e-26,8.4112474829586777e-26,4.9561829432645586e-26,3.9667645267794305e-23,1.2985316571547089e-37,1.7272819288208319e-28,1.9811852519243697e-28,4.5824850547716969e-39,4.582485054732564e-39,3.3672234172213112e-50,2.0213612086865724e-38,5.4608654983432893e-51,1.256432501481111e-29,1.6367640870951136e-90,1.5288725486376194e-90,1.5288725486376561e-90,1.8622031847201482e-42,1.2804913937796788e-44,1.5298335580959913e-37,1.8950666823459471e-42,3.9030573730999103e-45,9.9235133668142328e-53,1.4901137770008587e-64,3.8108264571404195e-76,5.7252759046648459e-77,4.6427589890511831e-89,7.4883207967988372e-93,8.1469205300193382e-90,3.9013128344954044e-79,3.0285847619226777e-85,1.2324164344080474e-38,1.4975885307083234e-36,1.9941495760540926e-47,1.0738064023510015e-47,4.7802123454393083e-48,7.5844587528287115e-52,4.7092867301450206e-59,2.8830941055742615e-59,5.7396792287174857e-65,1.6091188321502558e-76,2.7556212882014879e-65,3.3313387411029479e-76,1.7938490913969436e-76,1.9628594671111771e-76,3.1016408374610219e-77,3.1016408374566892e-77,7.0795686227082892e-90,1.0976413634690723e-67,1.0667781581107326e-69,1.3739232233439293e-80,3.7744450191693895e-91,8.1191521412775368e-92,8.7411780391991394e-103,3.5102681778901444e-103,1.8919510093987898e-116,2.3300432305288062e-69,3.7922678715432299e-78,3.6246754372975477e-89
9.708227808524028e-21,0.4380470697616677,3.8748458448469671e-20,1.5155085930952057e-33,4.0347227451809705e-34,5.5732639228270601e-53,7.0505485298936222e-47,0.0,0.0,9.9234065835943657e-21,3.0721090253000323e-37,154.0,0.0,0.99999999999995681,1.0,19.0,1.7708627344609542e-15,1.9319114604117691e-14,1.1060876301194189e-14,1.1060924972857478e-14,9.8804499218360532e-23,3.4363861058472397e-25,3.4361359754000122e-25,2.0247624413681056e-25,1.6205527319148691e-22,1.0644696988278396e-36,7.0565102772976121e-28,8.0937881986427532e-28,3.7569981098583496e-38,3.7569981097940733e-38,5.5306744558566506e-49,1.657234035197704e-37,8.969487927374363e-50,5.132936732341342e-29,2.2381364413917915e-88,2.0906038886918645e-88,2.0906038886919647e-88,1.5267467111003988e-41,1.049824208626005e-43,1.2537592363229908e-36,1.5536890971767349e-41,3.1999621653053168e-44,1.6299400099419018e-51,4.8991679616483977e-63,2.5068888684461422e-74,3.7662776292668095e-75,6.1096096450662625e-87,9.8542093631496865e-91,1.0720886500082937e-87,2.5664138284504659e-77,2.0509135674865733e-83,1.0104094467929736e-37,6.1181377987779356e-36,1.634924303675654e-46,8.8037135526096853e-47,3.9191063957008674e-47,6.2230843627177451e-51,7.7338350666233903e-58,4.7347191397199963e-58,9.4346106098965641e-64,5.2943899559636998e-75,4.529558674955199e-64,1.0960905768971847e-74,5.9021793045934831e-75,6.458282731741759e-75,1.0205149453242808e-75,1.0205149453214285e-75,4.6606352506820839e-88,3.6088055966974051e-66,3.5073331667142541e-68,9.0381258170575183e-79,4.9669574004286827e-89,1.0684347653337765e-89,2.3008217543073474e-100,9.239602986597182e-101,9.9603759986603664e-114,4.3838831431382997e-68,1.4264038649800034e-76,2.3862033148692508e-87
1.9553191219985015e-20,0.43804706976166774,7.8042669833607179e-20,3.8706345639918306e-33,1.6308994432822658e-33,4.5320857028931639e-52,5.7097170194621245e-46,0.0,0.0,1.9986579663683978e-20,1.2417955989317982e-36,154.0,0.0,0.99999999999991296,1.0,19.0,3.5666671975761197e-15,3.8910328875295687e-14,2.2277539591846074e-14,2.2277637620280191e-14,3.9938357858204697e-22,1.3890422067690775e-24,1.3888335268225287e-24,8.1844134612783794e-25,6.5505331687648984e-22,8.6180038558968903e-36,2.8523542778543128e-27,3.271638598190168e-27,3.0425144759081954e-37,3.0425144758040001e-37,8.9654612430926605e-48,1.3420710735220392e-36,1.4539926284431209e-48,2.0748150957781987e-28,2.9601496998582758e-86,2.7650237756710145e-86,2.7650237756712796e-86,1.2363990828263415e-40,8.501748626338999e-43,1.0145327853856829e-35,1.2582159894669325e-40,2.5914121933426177e-43,2.6422028640110382e-50,1.5890333074038923e-61,1.626554952732657e-72,2.4436893109480373e-73,7.9290944953506457e-85,1.2788862728119028e-88,1.3913635373395598e-85,1.6651767759763547e-75,1.3497940516280662e-81,8.1825575757751401e-37,2.473049118654698e-35,1.324004089041463e-45,7.1294753240291853e-46,3.1737931698504424e-46,5.0475302337974462e-50,1.2533047735582468e-56,7.6726833796599905e-57,1.5317157204758114e-62,1.7197910800279409e-73,7.3537706173428146e-63,3.5604581972542839e-73,1.9172093420067461e-73,2.0978619051262888e-73,3.3149672724679741e-74,3.3149672724494401e-74,3.0284672280804243e-86,1.170507587942711e-64,1.1375950925532451e-66,5.8642443397441789e-77,6.4461525895493224e-87,1.3866222243906894e-87,5.9723649930902961e-98,2.3983727761555301e-98,5.1710736037130627e-111,8.8174771800890633e-67,5.7280544019393409e-75,1.550547972523948e-85
3.924311804290699e-20,0.4380470697616678,1.5663109260622007e-19,1.1052907658333607e-32,6.5577749319837998e-33,3.6552913688172916e-51,4.5956770003153316e-45,0.0,0.0,4.0112926447963172e-20,4.9932055845239316e-36,154.0,0.0,0.99999999999982536,1.0,19.0,7.1582761238059406e-15,7.8092755790432267e-14,4.4710866171035213e-14,4.4711062911776526e-14,1.6059037658408145e-21,5.5852776187011775e-24,5.5835736111393892e-24,3.2909166094622578e-24,2.6339405143628737e-21,6.9327428757560794e-35,1.1469191099174186e-26,1.31551149094937e-26,2.4488803426517636e-36,2.4488803424839618e-36,1.4438597709275393e-46,1.0802155335697084e-35,2.3416102501205817e-47,8.3427402461864131e-28,3.8512359139278686e-84,3.5973717370691642e-84,3.5973717370698536e-84,9.9516155174640195e-40,6.8429469292141189e-42,8.1530905816717459e-35,1.0127189161312195e-39,2.085793767279818e-42,4.2551858360084299e-49,5.1192819682818758e-60,1.0481455851440436e-70,1.5747037372988236e-71,1.0219505110556079e-82,1.6483073792324279e-86,1.7932732402779847e-83,1.0730333355852879e-73,8.7596577092036953e-80,6.5860340574068006e-36,9.9440217357005904e-35,1.0656736760494612e-44,5.7384217294248456e-45,2.5545435705118501e-45,4.0754331563943824e-49,2.0171754883355937e-55,1.2348574198914317e-55,2.4742686286368505e-61,5.5570848631847233e-72,1.1878969247166e-61,1.1504734211900076e-71,6.1949187746383371e-72,6.7787307996829403e-72,1.071151256016425e-72,1.0711512560044464e-72,1.9573166817042451e-84,3.7709462821001744e-63,3.6649140414618843e-65,3.7788961640381318e-75,8.3081989033496869e-85,1.7871642114575486e-85,1.5395518661495933e-95,6.1825080051590766e-96,2.6660271473835715e-108,1.9636189501402697e-65,2.5449818629104479e-73,1.0021285303218461e-83
7.862297168875094e-20,0.43804706976166774,3.1380793816079754e-19,3.5305538463308107e-32,2.6299610514655924e-32,2.9361289124854136e-50,3.6877413707691235e-44,0.0,0.0,8.0365622512921416e-20,2.0024988440748256e-35,154.0,0.0,0.99999999999965006,1.0,19.0,1.4341493976263546e-14,1.564576031118284e-13,8.9577519320954945e-14,8.9577913481377413e-14,6.4403920533616763e-21,2.2399461308039472e-23,2.2385693078668661e-23,1.3198047125714937e-23,1.0563279019928444e-20,5.5570385013830537e-34,4.5996586020930689e-26,5.2757894540490749e-26,1.9650722493412443e-35,1.9650722490718855e-35,2.3177143032096087e-45,8.6680489766215716e-35,3.7588028668710549e-46,3.3458119766939298e-27,4.9698159282575615e-82,4.6422176564702732e-82,4.6422176564720534e-82,7.9855447533824521e-39,5.4910339558618511e-41,6.5219690243748604e-34,8.126386986779185e-39,1.6737177965963969e-41,6.8305142937992736e-48,1.6436937581307979e-58,6.7311140427166473e-69,1.0112631862981006e-69,1.312613732497375e-80,2.1171190732700882e-84,2.3033116438327703e-81,6.8909413517065856e-72,5.645200856819458e-78,5.2848773228238607e-35,3.9879974718483458e-34,8.5513601034140704e-44,4.6047216247079352e-44,2.0498582713730334e-44,3.2907272648794922e-48,3.2340613687776934e-54,1.9796415225563642e-54,3.9957878715019891e-60,1.7948903333216767e-70,1.9183786548186096e-60,3.7159186950103225e-70,2.0008567325883256e-70,2.1894729510386611e-70,3.4597293796201389e-71,3.4597293795427582e-71,1.2644037583785124e-82,1.210771755533747e-61,1.1767269850827805e-63,2.4267797503571813e-73,1.0671218873587044e-82,2.2954698811918883e-83,3.9549163060886755e-93,1.5882091606382245e-93,1.3697474728187375e-105,4.8912043332948755e-64,1.2647794217615354e-71,6.4736334797609554e-82
