Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143)
0.0,0.835691768985036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.14524437852393e-23,0.835691768985036,1.7324647937580986e-21,1.1889885404622373e-34,5.6012625423807432e-38,6.2820842478950255e-59,2.3024101129433663e-53,0.0,0.0,1.0339398388321861e-22,1.0407618034736231e-41,154.0,0.0,0.99999999999999933,1.0,19.0,1.2102627923606711e-17,4.3694921111049017e-16,4.4321273362574247e-17,4.4323109221350547e-17,7.8820815549183347e-27,2.5254023113488169e-30,2.5255058222047118e-30,1.3874881578843189e-30,1.544992665612944e-26,4.855204225632086e-44,8.8814581231004229e-33,4.0110483286648884e-32,1.2476407126299433e-44,1.2476407126298975e-44,3.9056075806712408e-58,1.8698471376613372e-43,6.5956879864073321e-59,6.6115458114546566e-34,9.9896375864678064e-104,9.2383385677209782e-104,9.2383385677209868e-104,4.2661519520838085e-49,1.6003415791179831e-50,5.3349992579938619e-44,5.8493718322767004e-49,9.2414380884602007e-51,3.2558029466931074e-60,5.3927452531751348e-74,6.3841897549099366e-88,4.6349872455055627e-88,1.7045279938899501e-102,1.0784793416021581e-106,7.9538410895217361e-103,6.5517647296552027e-91,2.8429925888507501e-96,9.5393900322692677e-44,7.801443421077385e-40,4.445220489322146e-53,1.3382645171831259e-52,3.8091208899542686e-53,1.9617422263790244e-56,1.3016360894508402e-66,8.546139570022282e-67,6.2239613121773075e-72,2.3931771431045252e-85,1.1638113417447295e-71,6.6313343729856144e-85,1.9964092409242848e-84,3.6431885813932538e-85,2.8373221715911656e-85,2.8373221715911433e-85,3.2808977712489225e-100,1.1142564107556598e-77,1.0339027355553425e-78,1.5829717132348207e-91,2.0258807532684733e-104,4.5098438287732454e-105,7.4725745587346498e-118,4.5642846021232834e-118,1.1921105608768869e-133,7.7164182315703812e-76,1.3640685333958645e-86,1.9233041263570438e-99,1.155184777700224e-133
6.006684259867004e-23,0.835691768985036,4.8509014225227926e-21,3.3309827223579967e-34,3.3831625755980355e-37,9.4934857155214776e-58,2.7334235191030034e-52,0.0,0.0,2.8950315487705107e-22,6.2862012930744401e-41,154.0,0.0,0.99999999999999845,1.0,19.0,3.3887358186098764e-17,1.2234577910325432e-15,1.2409956541519947e-16,1.2410470581976872e-16,4.7607772589212091e-26,1.5253429960524129e-29,1.5254048778556028e-29,8.3804284733136074e-30,9.3317556998131964e-26,5.7640862759344889e-43,5.3644007063521887e-32,2.4226731905127272e-31,1.4811990540337843e-43,1.4811990540336824e-43,8.7366879319682278e-57,2.2198825217248664e-42,1.4754290197233597e-57,3.9933736701190209e-33,1.0644734044253627e-101,9.8441666389755707e-102,9.844166638975585e-102,5.0647857135187564e-48,1.8999255227286902e-49,6.3336739257803323e-43,6.9443741969691531e-48,1.0971435295187204e-49,7.2831009574576312e-59,2.2253314277603388e-72,4.8058586967347037e-86,3.4891027081306209e-86,2.3266723110808278e-100,1.4721252415413587e-104,1.0856953868379445e-100,4.9320049550176612e-89,2.1922645186194663e-94,1.132516384576584e-42,4.7120718263290792e-39,5.2773657649144851e-52,1.5887876345965934e-51,4.5221883159834345e-52,2.3289848984512939e-55,2.9117014197005102e-65,1.9117324291851995e-65,1.3922778351388596e-70,9.8755303739021489e-84,2.6034042535319471e-70,2.7364436419391181e-83,8.238253342931537e-83,1.5033746926257111e-83,1.1708310601450247e-83,1.1708310601450079e-83,2.4697823667627016e-98,4.5981230974871044e-76,4.2664285873081373e-77,1.1916215946835821e-89,2.765317244517882e-102,6.1559146013681081e-103,1.8434775149255648e-115,1.1260049625786585e-115,5.3055882278495674e-131,2.4267589622931418e-74,7.8582251771608448e-85,1.4478179292341554e-97,5.1412469268376241e-131
1.372956402255315e-22,0.835691768985036,1.1087774680052645e-20,7.6222303224044493e-34,1.6288471473244199e-36,1.02126587204563e-56,2.6836923985304975e-51,0.0,0.0,6.6172149688087166e-22,3.0265353246413416e-40,154.0,0.0,0.99999999999999656,1.0,19.0,7.7456818711082779e-17,2.7964749505693325e-15,2.8365614952041607e-16,2.8366789901655375e-16,2.292109315796054e-25,7.343869921368265e-29,7.3441613496386386e-29,4.0348155626660797e-29,4.4928386708689652e-25,5.6591882852830686e-42,2.5827280221969034e-31,1.1664128539744511e-30,1.4542500146399596e-42,1.4542500146397575e-42,1.7262223088427548e-55,2.1794938233273679e-41,2.9151991115557417e-56,1.9226375219716257e-32,2.4224924122590784e-99,2.2403020017965574e-99,2.2403020017965639e-99,4.9726410800811749e-47,1.8653581446193641e-48,6.2183598372794281e-42,6.8180276765415098e-47,1.0771820225267692e-48,1.4390180175044219e-57,8.803189821535856e-71,3.799847960842009e-84,2.7587285950954051e-84,3.6755720106379647e-98,2.3256012289691119e-102,1.7151326128636922e-98,3.8995880140921661e-87,2.3711441853863582e-92,1.1119113019925938e-41,2.268659746846812e-38,5.1813490023267145e-51,1.5598811205986884e-50,4.4399112951628495e-51,2.2866207736791219e-54,5.7530034641386294e-64,3.7772403348607731e-64,2.7509175632747214e-69,3.9066772452846046e-82,5.1439089990451694e-69,1.082514215951246e-81,3.2589839593382643e-81,5.9472245942599031e-82,4.6317097900206423e-82,4.6317097900205082e-82,1.9527904218748106e-96,1.8189913606969863e-74,1.6877567208715794e-75,9.4217936371690299e-88,4.368523500843181e-100,9.724836330452689e-101,5.8193104209295041e-113,3.5544628891944678e-113,3.3474122323498601e-128,5.4191338148580684e-73,3.5272615347992788e-83,1.1447506561207588e-95,3.2437256932419667e-128
2.9175323547925445e-22,0.835691768985036,2.3561521195114209e-20,1.6233762467517127e-33,7.1136034288245725e-36,9.3871928506755517e-56,2.3736959232541359e-50,0.0,0.0,1.4061581809531347e-21,1.3217674905559392e-39,154.0,0.0,0.99999999999999267,1.0,19.0,1.6459573976105039e-16,5.9425092684136486e-15,6.0276931773071367e-16,6.0279428540991845e-16,1.0010243570879584e-24,3.2072609353777611e-28,3.2073824935060517e-28,1.7621099600361805e-28,1.9621406845705147e-24,5.0054420529231257e-41,1.1279451816330304e-30,5.0940313773909877e-30,1.2862676690898108e-41,1.2862676690894516e-41,3.0717203642687684e-54,1.9277376043488912e-40,5.1874410592236994e-55,8.3966631805537261e-32,4.0939050820637596e-97,3.7860113427395586e-97,3.786011342739582e-97,4.3982464824236968e-46,1.6498881544063047e-47,5.4999287155363085e-41,6.0304681087675431e-46,9.5275529893317241e-48,2.5606556723459375e-56,3.141795913626678e-69,2.715972432815371e-82,1.9718238443022666e-82,5.2577859188857786e-96,3.3266996023546696e-100,2.4534412612525119e-96,2.7872624522819373e-85,1.934803592528582e-90,9.834729544125373e-41,9.9078331447425342e-38,4.5828445156144829e-50,1.3796971853121922e-49,3.927051242954776e-50,2.0225072383922292e-53,1.023706261811268e-62,6.7213230302073438e-63,4.8951507926158697e-68,1.3942765592006436e-80,9.1533859647259615e-68,3.8634473141160857e-80,1.1631174388951707e-79,2.1225392705258121e-80,1.6530376107642501e-80,1.6530376107641544e-80,1.3957840715371774e-94,6.4918837160703635e-73,6.0234838528745496e-74,6.7343041291498934e-86,6.2490304383281718e-98,1.39110613053953e-98,1.6654120062170097e-110,1.0172416910504644e-110,1.9162835268102866e-125,1.016858797606012e-71,1.3295089228011711e-81,8.1822642808800292e-94,1.856926389700987e-125
6.006684259867003e-22,0.835691768985036,4.8509014225244765e-20,3.3572974537821886e-33,2.9697893999711948e-35,8.0309411188423859e-55,1.9952346034795802e-49,0.0,0.0,2.8950315493561504e-21,5.5181190833159098e-39,154.0,0.0,0.9999999999999849,1.0,19.0,3.3887358186098398e-16,1.2234577899185215e-14,1.2409956541507668e-15,1.2410470581958261e-15,4.1790796369376692e-24,1.3389683054454299e-27,1.3390142763380767e-27,7.3564622088105152e-28,8.1915511062585153e-24,4.2072984364649274e-40,4.7089490968613294e-30,2.126657823846044e-29,1.0811854793079808e-40,1.0811854793073752e-40,5.1809053576086197e-53,1.6203796106831984e-39,8.7493775543223783e-54,3.5054415892389372e-31,5.9943788340989286e-95,5.5435545777578416e-95,5.5435545777579095e-95,3.6969918807209944e-45,1.3868304069962529e-46,4.6227857447464007e-40,5.0689715401812863e-45,8.008482343905975e-47,4.318920053354922e-55,1.0615418283317324e-67,1.8368134667443088e-80,1.333545417292805e-80,7.1145483442737014e-94,4.5015098872433562e-98,3.3198624775024838e-94,1.8850269413146656e-83,1.3910086906426407e-88,8.2666827652961075e-40,4.1363253018320585e-37,3.8521569524151879e-49,1.1597186159584606e-48,3.3009231633206355e-49,1.7000678973744541e-52,1.726596605120939e-61,1.1336242866580726e-61,8.256522190504429e-67,4.7110210732757052e-79,1.5438775542905882e-66,1.3053924619755998e-78,3.9299732185871868e-78,7.1716957656523712e-79,5.5853302854431887e-79,5.5853302854425404e-79,9.4398450215318388e-93,2.193466204409229e-71,2.0351990553442603e-72,4.5544131412575883e-84,8.4558462318408331e-96,1.8823687365818783e-96,4.5079942638018629e-108,2.7535046548010963e-108,1.0375164839817205e-122,1.76296312222967e-70,4.6206750224394516e-80,5.5337575712308897e-92,1.0053792729027697e-122
1.2184988070015923e-21,0.835691768985036,9.8404000285535619e-20,6.8715989798751528e-33,1.2132558717306211e-34,6.6401374214219845e-54,1.6358139362431976e-48,0.0,0.0,5.8727782871961361e-21,2.2543316978951363e-38,154.0,0.0,0.99999999999996947,1.0,19.0,6.874292660608449e-16,2.4818715141060106e-14,2.5174483269887051e-15,2.5175526037643567e-15,1.7072903901751042e-23,5.4701224222054847e-27,5.470271188594345e-27,3.0053548458697353e-27,3.3465159076488829e-23,3.4492708423493858e-39,1.9237593552905281e-29,8.6880911217190191e-29,8.864211784069052e-40,8.8642117840591058e-40,8.5096525781887663e-52,1.3284851029417273e-38,1.4370878891310346e-52,1.4320872689491321e-30,8.1968060141862342e-93,7.5803419771320244e-93,7.58034197713221e-93,3.0310175844494913e-44,1.1370073564176469e-45,3.7896525209089758e-39,4.155848683177972e-44,6.5658376419728021e-46,7.0938391192274471e-54,3.4901172618765181e-66,1.2083172437483987e-78,8.7725071283575238e-79,9.3623455606524065e-92,5.923735153739807e-96,4.3687522019171343e-92,1.2400336775503724e-81,9.4240872751247783e-87,6.7775259772679298e-39,1.6898238507594273e-36,3.1582310070189378e-48,9.508073864977973e-48,2.7062961951581179e-48,1.3938654387514161e-51,2.8358296213212186e-60,1.8618988959271072e-60,1.3561805629877147e-65,1.5489304379554788e-77,2.5359063809727002e-65,4.2919824619323701e-77,1.2921301591747481e-76,2.3579724716591283e-77,1.8363934512600022e-77,1.8363934512595761e-77,6.2100434820322609e-91,7.2116458145489903e-70,6.6912892121505287e-71,2.9960450836565638e-82,1.112741820365511e-93,2.4770914190889176e-94,1.1865782125661582e-105,7.2476770041039023e-106,5.4621151828993946e-120,2.9510792161473648e-69,1.5486351608160616e-78,3.6404067077356251e-90,5.292925438684207e-120
2.454159569031376e-21,0.835691768985036,1.9819397240623624e-19,1.4086038480191111e-32,4.9041742164628128e-34,5.3996494764228458e-53,1.3247245613695071e-47,0.0,0.0,1.1828271767011932e-20,9.1123691641164812e-38,154.0,0.0,0.99999999999993849,1.0,19.0,1.3845406344605409e-15,4.9986989546136902e-14,5.0703536726559102e-15,5.0705636948882731e-15,6.9011407170089045e-23,2.211110942675965e-26,2.211139514878192e-26,1.2148124786700291e-26,1.3527152336413679e-22,2.7931039091094334e-38,7.7761428967189506e-29,3.5118653419817556e-28,7.1784685228676908e-39,7.1784685228515667e-39,1.3794513441148787e-50,1.0758416778683775e-37,2.3295813919338522e-51,5.7887257121670426e-30,1.0841060632790624e-90,1.0025727929782579e-90,1.0025727929783072e-90,2.4545967351820537e-43,9.2077803613039797e-45,3.0683329917290345e-38,3.3655132989127749e-43,5.3171854955081097e-45,1.1499418785573849e-52,1.1320111562760576e-64,7.8399744682232511e-77,5.6919018796943353e-77,1.2150518573532598e-89,7.6878663839070339e-94,5.6697972820204172e-90,8.0457615102350699e-80,6.203780921207087e-85,5.4886162464554573e-38,6.8305381842760844e-36,2.5576173520046886e-47,7.699884695105507e-47,2.1916287473554827e-47,1.1288645977340229e-50,4.5966438476655028e-59,3.0179512317641441e-59,2.1985708058343536e-64,5.024241670652011e-76,4.1110821727250831e-64,1.3921835169885745e-75,4.191258825399315e-75,7.6485189785412959e-76,5.9566812183229861e-76,5.9566812183202223e-76,4.0295451971559005e-89,2.3390814582643188e-68,2.170303612493405e-69,1.9439362699246694e-80,1.4441242506882057e-91,3.2147868650610857e-92,3.0800640512341064e-103,1.8813179965491632e-103,2.8357363127157593e-117,4.8823620370328397e-68,5.1261969828996932e-77,2.3621707975625699e-88,2.7478990033218688e-117
4.925481093090944e-21,0.835691768985036,3.9777391664811314e-19,2.9258263273359059e-32,1.9719468831005319e-33,4.3550129215906747e-52,1.0662535851935703e-46,0.0,0.0,2.3739258743186816e-20,3.6640435669320625e-37,154.0,0.0,0.99999999999987654,1.0,19.0,2.7787633712598294e-15,1.0032353804159856e-13,1.0176164363955633e-14,1.0176585877083542e-14,2.7749183200765349e-22,8.8907798514044692e-26,8.8906409315902919e-26,4.8847075351117664e-26,5.439208440463424e-22,2.2478030091465993e-37,3.1267528580331889e-28,1.4121056082315489e-27,5.7778559797196834e-38,5.7778559796937169e-38,2.2215638333307585e-49,8.6593097556783354e-37,3.7517189996788637e-50,2.3276211491379272e-29,1.4104517101294224e-88,1.3043746901575025e-88,1.3043746901576303e-88,1.975673041912145e-42,7.4112226935157437e-44,2.4686544072784631e-37,2.7088567492315559e-42,4.2797333784261947e-44,1.8519459057187773e-51,3.6469246546011044e-63,5.0520489579407457e-75,3.6678393631717189e-75,1.5660337528811822e-87,9.9085967540102725e-92,7.3075834072782359e-88,5.1846573250735794e-78,4.0264623139041108e-83,4.4177158392180657e-37,2.7465293620330823e-35,2.0585929523365709e-46,6.197537022370189e-46,1.7640133593896684e-46,9.0873114620585532e-50,7.4015998198032496e-58,4.8594572875583034e-58,3.5411932628190784e-63,1.6188344482981047e-74,6.6216364076630383e-63,4.4856799885398765e-74,1.3504410106798459e-73,2.4643891439306312e-74,1.9192710284667558e-74,1.919271028464974e-74,2.596954608404457e-87,7.5356647663648498e-67,6.9919221565057512e-68,1.2526649684935734e-78,1.8612764085482326e-89,4.1434155985591429e-90,7.9397669515871376e-101,4.8496480226977004e-101,1.4620078370069595e-114,8.1155045445807123e-67,1.7039406952726018e-75,1.5223679195603643e-86,1.4167219498593544e-114
9.868124141210078e-21,0.835691768985036,7.9693380513376943e-19,6.2576096029966261e-32,7.9083889760541739e-33,3.498183219396117e-51,8.5560135571993392e-46,0.0,0.0,4.7561232761709766e-20,1.4694453516585006e-36,154.0,0.0,0.99999999999975264,1.0,19.0,5.567208844857995e-15,2.0099663377375415e-13,2.0387785746416323e-14,2.0388630241263821e-14,1.1128663496546846e-21,3.5656003695364598e-25,3.5653410960772371e-25,1.9589861856572637e-25,2.1813658435836768e-21,1.8031909513010205e-36,1.253967743496027e-27,5.6631750684023023e-27,4.6363655468545702e-37,4.6363655468128868e-37,3.5661018575507601e-48,6.948550688250423e-36,6.0223398266314513e-49,9.3348018621762622e-29,1.8201132143155618e-86,1.6832264393962001e-86,1.6832264393965294e-86,1.5853532104256285e-41,5.9470394689659183e-43,1.9793256154634158e-36,2.1736851029925228e-41,3.4342163586721587e-43,2.9727831977338137e-50,1.1709509751571755e-61,3.2443892681127746e-73,2.3554598870214325e-73,2.0114454660898254e-85,1.2726802673938921e-89,9.3860057387865628e-86,3.3295494017460566e-76,2.5950124037452086e-81,3.5449387192734234e-36,1.1014811156504266e-34,1.6518911982130453e-45,4.9731330648075869e-45,1.4155094284271173e-45,7.2939644756446393e-49,1.1877505724592177e-56,7.7977451866130929e-57,5.6858851023158955e-62,5.1990740410933322e-73,1.0631970922766184e-61,1.4406272312574846e-72,4.3370819208889418e-72,7.914671534209377e-73,6.1639617888920063e-73,6.1639617888805588e-73,1.668171102166034e-85,2.4195442696106301e-65,2.2449595528083363e-66,8.0445240128053078e-77,2.3906611909201992e-87,5.3218870722032779e-88,2.0396271108419554e-98,1.2458141093164661e-98,7.5114824584338911e-112,1.3786397931088019e-65,5.7854452191008708e-74,9.7790318015439957e-85,7.2788132907980549e-112
