Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668)
0.0,0.675786848338178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0160270438466948e-20,0.675786848338178,7.0139055142802379e-24,2.4849748093279546e-38,2.3668252157915388e-38,2.7195342314972894e-59,6.5683359038193968e-51,0.0,0.0,1.6321457354587966e-23,1.6351644645061791e-40,154.0,0.0,0.99999999999999911,1.0,19.0,1.1109404414598821e-16,2.8877129100077013e-17,3.056339399052921e-16,3.0563396322913006e-16,3.6858104168930908e-25,1.5802719542405126e-26,1.5801487517607368e-26,1.1526313144028578e-26,3.5327686400066115e-25,3.9793358500584247e-38,6.7770395511781707e-30,1.16757731204831e-30,3.5264277504685986e-41,3.5264277503162765e-41,1.3299146241718256e-51,3.924695552489143e-41,1.9330296347625308e-52,4.8044275467757767e-31,9.2746303105286757e-94,8.9360092303001967e-94,8.9360092303002169e-94,2.5829528730177016e-43,1.0674865719103467e-46,5.8038249855605331e-38,9.234283293158832e-44,3.8825609991708877e-48,1.4608728748541935e-55,7.8836079704655081e-67,9.6725444571970398e-78,1.3502450058513116e-79,5.7706421615605931e-91,1.5809763918327668e-94,5.7892032115906759e-92,1.0764036473449206e-80,6.0139512555072322e-90,4.0947158516640884e-41,4.8477074894221212e-40,2.5064939418147518e-50,7.1964184954419121e-52,1.3236522195644601e-51,6.4157862554886712e-57,1.2747539894734338e-61,6.3115708989909104e-62,2.5382907983817224e-69,1.2784649771781971e-80,2.2507862300704347e-70,1.1637612897442062e-80,3.3412404199703121e-82,8.4883445063874435e-81,1.1196383013661311e-82,1.1196383013616864e-82,9.7119415879150717e-95,3.159535192826849e-69,2.7786617228846392e-73,1.0770055515509571e-83,1.4277089954304896e-93,2.7843139190291097e-94,4.1011529558991559e-105,4.5958581255110879e-106,1.119788080290199e-118,3.7543692364193541e-75,2.2963740194628408e-83,3.4736201778475156e-94,3.498327266442571e-120,4.2921624384331166e-131,2.2687937251277871e-131
5.644875722770745e-20,0.675786848338178,1.9638935440227975e-23,1.4626443168955009e-37,1.4295624303524864e-37,4.1097603885452777e-58,7.7979283960498536e-50,0.0,0.0,4.570008370560302e-23,9.8763939295527121e-40,154.0,0.0,0.99999999999999789,1.0,19.0,3.1106332360876315e-16,8.0855959085712685e-17,8.557750316836103e-16,8.557750969530263e-16,2.2262294367902323e-24,9.5448426024884355e-26,9.5433793400134334e-26,6.9618930813648774e-26,2.1337922058350503e-24,4.7238928461721903e-37,4.0933318885582323e-29,7.0521669642132734e-30,4.186575025052679e-40,4.1865750247119407e-40,2.9749656232089016e-50,4.6593984544571799e-40,4.3241099129014556e-51,2.9018742380364257e-30,9.882838305950459e-92,9.5220112680170917e-92,9.5220112680171339e-92,3.0664816623677441e-42,1.2673200580381912e-45,6.8885645523283738e-37,1.0962914001543136e-42,4.6093762643826069e-47,3.267914081931002e-54,3.2531928018619085e-65,7.2812498169321855e-76,1.0164307070681106e-77,7.8768978726175117e-89,2.1580249351655253e-92,7.9022225019585803e-90,8.1028977380202636e-79,4.5995097888374545e-88,4.8612465490686931e-40,2.9280153232121884e-39,2.9757096071530556e-49,8.5435878702876196e-51,1.57143892656076e-50,8.5958775331607932e-56,2.8512780159999288e-60,1.411744353000566e-60,6.3752777627360589e-68,5.9077270322942834e-79,5.6531692150278182e-69,5.377683182039074e-79,1.5439532649281086e-80,3.9224258765702106e-79,5.1737988666392858e-81,5.1737988666018708e-81,8.1752405532237964e-93,1.3037910854417981e-67,1.1466225249353169e-71,8.1074288639370777e-82,1.9488157173254427e-91,3.8005747251092512e-92,1.0117507248880253e-102,1.1337941079694567e-103,4.9837108854004171e-116,1.7643582595555356e-73,1.965481160201479e-81,2.9239962254068614e-92,1.5569599271048955e-117,3.4427654482768458e-128,1.8198110529059238e-128
1.2902573080618847e-19,0.675786848338178,4.4888995293096703e-23,6.9583434718852759e-37,6.8827277277377528e-37,4.421093260552197e-57,7.6560523452831919e-49,0.0,0.0,1.0445734885865996e-22,4.7550591086126863e-39,154.0,0.0,0.99999999999999523,1.0,19.0,7.1100188253429748e-16,1.8481360947897306e-16,1.9560572150354161e-15,1.9560573640467245e-15,1.0718335867127226e-23,4.5954308412450215e-25,4.5939940507798817e-25,3.3518517758410429e-25,1.0273290414205118e-23,4.63715256781037e-36,1.970763100952584e-28,3.3953148225987061e-29,4.1104041850049115e-39,4.1104041843316711e-39,5.8780299059191765e-49,4.5746248090617747e-39,8.5437122584582978e-50,1.3971275302782004e-29,2.2491027675416063e-89,2.1669869760562645e-89,2.1669869760562837e-89,3.0106898854465716e-41,1.2442623478040218e-44,6.7595581936916741e-36,1.0763396522247445e-41,4.525512623751102e-46,6.4568470846837466e-53,1.2869306320765992e-63,5.757064895413021e-74,8.0366114191234418e-76,1.2443567260853577e-86,3.4091502724815478e-90,1.2483534738860226e-87,6.4067171561688738e-77,4.5219282960771513e-86,4.7728004556162475e-39,1.4097133373258262e-38,2.9215693368141528e-48,8.3881448790341372e-50,1.5428459627593002e-49,1.0513310327871791e-54,5.632366776655161e-59,2.7888121028067915e-59,1.5611377603836914e-66,2.8897555137732451e-77,1.3843123789217147e-67,2.630481646379926e-77,7.5520251145671656e-79,1.9186501214845812e-77,2.5307583875121106e-79,2.5307583874755686e-79,7.984561676046371e-91,5.1576678288720961e-66,4.5359245477741074e-70,6.4103000297581325e-80,3.0786511121337885e-89,6.0039764039081401e-90,3.1937957252924034e-100,3.5790508005295785e-101,3.144332649762861e-113,9.0199481820158645e-72,2.0058054560339234e-79,2.8557970924881939e-90,9.8232021195411029e-115,4.3422593887359724e-125,2.2952744673894107e-125
2.741796779631505e-19,0.675786848338178,9.5389115002727126e-23,3.0219363729559625e-36,3.005868024278409e-36,4.063747450315613e-56,6.7716915995480599e-48,0.0,0.0,2.2197192896888108e-22,2.0766597439111494e-38,154.0,0.0,0.99999999999998979,1.0,19.0,1.5108790003853035e-15,3.9272887195345673e-16,4.1566215809197059e-15,4.1566218968182042e-15,4.6809783767498295e-23,2.0069453801428603e-24,2.0056747785622682e-24,1.4638416799679671e-24,4.486615355509896e-23,4.1000981724883762e-35,8.6068402245202645e-28,1.4828231854356484e-28,3.6356059516464037e-38,3.6356059504484089e-38,1.045963714911435e-47,4.0462034402631717e-38,1.5203078564924977e-48,6.101622981055703e-29,3.8008842448425562e-87,3.6621121875538173e-87,3.6621121875538793e-87,2.6629211113469513e-40,1.1005359553059449e-43,5.9722249150126454e-35,9.5200001288038927e-41,4.0027640862521605e-45,1.148961278825688e-51,4.5929633802912495e-62,4.1149086984423027e-72,5.74423301403495e-74,1.7800114836275495e-84,4.8766776610054806e-88,1.7857174604777074e-85,4.5792529067090446e-75,3.5652149776695825e-84,4.2214875381565042e-38,6.1565885053861324e-38,2.584094990546893e-47,7.4192185216304142e-49,1.3646260571327511e-48,1.2988048869219091e-53,1.0017929425277419e-57,4.9605525312543936e-58,3.8558256127844421e-65,1.4271826273056018e-75,3.4190878348466532e-66,1.2991296315610109e-75,3.7295723180895468e-77,9.4757796937156615e-76,1.24988501554301e-77,1.2498850155069191e-77,7.8858874234439155e-89,1.8407349227915104e-64,1.6188391565395951e-68,4.5818141511077938e-78,4.4039097820285068e-87,8.5884919578150471e-88,9.1402308517370833e-98,1.0242783758563126e-98,1.8000270321295989e-110,3.5731064560229333e-70,1.5936209059308926e-77,2.8205047802588958e-88,5.6234601511630031e-112,4.9720019053289299e-122,2.6281500031920579e-122
5.644875722770745e-19,0.6757868483381779,1.9638935443755992e-22,1.2581989215918629e-35,1.2548907296135133e-35,3.4766233090642024e-55,5.6920148156602649e-47,0.0,0.0,4.5700128840575225e-22,8.6696498565577536e-38,154.0,0.0,0.99999999999997902,1.0,19.0,3.1106332360870657e-15,8.0855924365433287e-16,8.5577503094109952e-15,8.5577509567011727e-15,1.9542159156029102e-22,8.3786018857001034e-24,8.3679274596492894e-24,6.1112504250549702e-24,1.8730731973629979e-22,3.4440086481776448e-34,3.5931863651079621e-27,6.1904949006887882e-28,3.0559458621257762e-37,3.0559458601051845e-37,1.7641696718340645e-46,3.401077125095038e-37,2.5642211056688942e-47,2.5473074822868513e-28,5.5653317739778132e-85,5.3621389141062944e-85,5.362138914106475e-85,2.2383456490402057e-39,9.2506678185287282e-43,5.0090681682819625e-34,8.0019618022634167e-40,3.364563423984116e-44,1.9378905888023822e-50,1.5518580914420542e-60,2.7829139823333999e-70,3.8848265042084872e-72,2.4086135350605948e-82,6.5988517235782107e-86,2.4163041289506486e-83,3.0969501096176153e-73,2.5256692299796834e-82,3.548413942071026e-37,2.5702545053308625e-37,2.172087539350183e-46,6.2362991471047667e-48,1.1470441599015965e-47,1.7123342189851886e-52,1.6881312690682626e-56,8.35999040311481e-57,1.014092494102594e-63,7.4977412092526301e-74,8.9922928472296731e-65,6.8249726218286976e-74,1.9591347055721144e-75,4.97814210272716e-74,6.5663315799253321e-76,6.5663315795463513e-76,8.2807427580401272e-87,6.2194265815872758e-63,5.4696909878213023e-67,3.09868276226867e-76,5.9591291684539012e-85,1.1621476163146803e-85,2.4741074303764804e-95,2.7725514690869888e-96,9.7457264131064548e-108,1.2656535220047893e-68,1.1307002886886549e-75,2.9617306561735506e-86,3.0446600608943661e-109,5.3841636420049575e-119,2.8460145360897746e-119
1.1451033609049225e-18,0.675786848338178,3.9838983336951315e-22,5.1333490166354201e-35,5.1266380921135436e-35,2.8745423746484987e-54,4.6666576439778011e-46,0.0,0.0,9.2706080414520893e-22,3.5418382963024502e-37,154.0,0.0,0.99999999999995737,1.0,19.0,6.3101417074895899e-15,1.6402193740641715e-15,1.7360007753284424e-14,1.7360009053856471e-14,7.9836062978034325e-22,3.4229322504851404e-23,3.4141909155505697e-23,2.4966448516129494e-23,7.6521119571890014e-22,2.8197260303369728e-33,1.4679338707750029e-26,2.5290191543924436e-27,2.505449047086492e-36,2.5054490437676673e-36,2.897650650158392e-45,2.7884074153090781e-36,4.2117398568008133e-46,1.040658221791807e-27,7.6101204273327338e-83,7.3322713796353315e-83,7.3322713796358319e-83,1.8351310004088905e-38,7.5842563655469602e-42,4.0888982392421184e-33,6.5602098126162008e-39,2.7584707741996932e-43,3.1829893252235177e-49,5.1021670598148736e-59,1.8306927660376275e-68,2.5555672310063717e-70,3.1695982581913053e-80,8.6837131377395731e-84,3.1796385825701048e-81,2.0372761070644668e-71,1.6994460539973623e-80,2.9092029920855103e-36,1.0500328283327543e-36,1.7808085908472044e-45,5.1128930809075207e-47,9.4040582823741378e-47,2.4216058171558475e-51,2.7677184391950953e-55,1.3709329062231131e-55,2.8606362264158745e-62,4.2244735064491461e-72,2.5366205542787598e-63,3.8453698767487119e-72,1.1036090677215755e-73,2.8048672353978734e-72,3.6997182842806093e-74,3.699718283853823e-74,9.3253074138681486e-85,2.0448109156775964e-61,1.7983143021105897e-65,2.0384165377815688e-74,7.841877085265069e-83,1.5293205379986722e-83,6.5122493232117156e-93,7.2978096392298604e-94,5.1307394662042512e-105,4.2561544908394862e-67,7.6105534415891988e-74,3.3353347221275932e-84,1.6028930913816786e-106,5.6692474133269594e-116,2.9967069403749693e-116
2.3063349381606186e-18,0.675786848338178,8.0239079148257029e-22,2.0736207391565842e-34,2.0722690854345974e-34,2.3375349851878144e-53,3.7791803526953283e-45,0.0,0.0,1.8671830230869682e-21,1.4316704546054415e-36,154.0,0.0,0.99999999999991407,1.0,19.0,1.270915865029064e-14,3.3035371829198083e-15,3.4964522588594652e-14,3.496452515795814e-14,3.2270985940910875e-21,1.3836039380697794e-22,1.3765417679283802e-22,1.0091834821956097e-22,3.0931033943478113e-21,2.27722731023297e-32,5.9336233907138162e-26,1.022269974982974e-26,2.0289775913713244e-35,2.0289775859913778e-35,4.6972057652008297e-44,2.258122843647274e-35,6.8274085323240798e-45,4.2065069087741136e-27,1.0065112718480822e-80,9.6976307567663238e-81,9.697630756767644e-81,1.4861366662635572e-37,6.1419274174708702e-41,3.2827644174174607e-32,5.3121714068898014e-38,2.2338785610200753e-42,5.1597570700591726e-48,1.6548738275546664e-57,1.187814626202528e-66,1.6581373962569544e-68,4.1135226845240502e-78,1.1269772470522265e-81,4.1263452873037973e-79,1.3218528001999179e-69,1.1150348144883175e-78,2.355946156628865e-35,4.2444005582714415e-36,1.4421449578799941e-44,4.1405505574220914e-46,7.6154837871022386e-46,3.6094360446934645e-50,4.4703307292773269e-54,2.2152486035949083e-54,8.5113934713261595e-61,2.5114427955881091e-70,7.5473334816199484e-62,2.286014319450566e-70,6.5581856923543034e-72,1.6675111934243411e-70,2.1995141340992496e-72,2.1995141335920312e-72,1.1082743510899362e-82,6.6322921104510377e-60,5.8327865763830644e-64,1.3225935731925402e-72,1.0177239085599039e-80,1.9847620817547325e-81,1.6904148485012861e-90,1.8943303020597053e-91,2.6636965528278941e-102,1.3957995762163933e-65,4.9936827476905724e-72,3.9639078485895707e-82,8.32164804222109e-104,5.8866199777033403e-113,3.1116078858324321e-113
4.628798092672011e-18,0.6757868483381779,1.6103927087052874e-21,8.3352157513113704e-34,8.3325028565481419e-34,1.8853144967569025e-52,3.041813131108428e-44,0.0,0.0,3.7474402108217873e-21,5.7567063367310631e-36,154.0,0.0,0.99999999999982747,1.0,19.0,2.5507192535876748e-14,6.6301629928038387e-15,7.0173552049468631e-14,7.0173557007178094e-14,1.2975999652899844e-20,5.5634105372055601e-22,5.506837727497246e-22,4.0578801066392422e-22,1.2437211755764544e-20,1.8229133132074942e-31,2.3858838544532766e-25,4.1105025861452377e-26,1.6330976743667471e-34,1.633097665702545e-34,7.5646702696865957e-43,1.8175308584680489e-34,1.0995320425936475e-43,1.6914179186008159e-26,1.3094987429128582e-78,1.2616883328089189e-78,1.2616883328092626e-78,1.1961720848962182e-36,4.943557485093499e-40,2.5974558367167693e-31,4.2749628781351675e-37,1.7980156394512008e-41,8.3096110442173237e-47,5.3313846937755482e-56,7.6542144748883614e-65,1.0684949477611001e-66,5.3017502014280808e-76,1.4525146388871379e-79,5.3177411899658338e-77,8.5179493722201615e-68,7.2252731696553808e-77,1.8962674473531755e-34,1.7066547811640525e-35,1.1607637105049461e-43,3.3326707685399305e-45,6.1293359903674081e-45,5.5585162606922894e-49,7.1475132905691757e-53,3.5449582644088215e-53,2.6185085777335796e-59,1.5443472494747478e-68,2.3219179594231221e-60,1.4056618961080054e-68,4.0294072015350574e-70,1.0254203278553334e-68,1.3525808267111667e-70,1.3525808260875208e-70,1.3626697895967726e-80,2.1366792611199617e-58,1.8791081154558904e-62,8.5227334865525166e-71,1.3117041138617511e-78,2.5580812341923648e-79,4.3575171892305954e-88,4.8831864684685952e-89,1.3733087808863921e-99,4.5213799008723114e-64,3.235814678702274e-70,4.8737909243393107e-80,4.2903506868632002e-101,6.0699116382685721e-110,3.2084940126410364e-110
9.273724401694796e-18,0.675786848338178,3.2263965471371333e-21,3.3422499630146742e-33,3.341706330363629e-33,1.5143997398011113e-51,2.4408634741654526e-43,0.0,0.0,7.5080055856959447e-21,2.3087146876024214e-35,154.0,0.0,0.99999999999965439,1.0,19.0,5.1103260306984973e-14,1.328337538149425e-14,1.4059161013223067e-13,1.4059161928424113e-13,5.2039386921584301e-20,2.2311764192269015e-21,2.1862076892152098e-21,1.6273895794914902e-21,4.9878613755918305e-20,1.4469801535263632e-30,9.5684612581770539e-25,1.6484953659638875e-25,1.3104580215721656e-33,1.3104580076643172e-33,1.214285935570702e-41,1.4584494625537917e-33,1.7649890547905814e-42,6.7833422908344961e-26,1.6898387161426067e-76,1.6281419161773292e-76,1.6281419161782172e-76,9.598527736825249e-36,3.9668934897418945e-39,2.0158292305165896e-30,3.4292097759361074e-36,1.4427876241101459e-40,1.3338706150733631e-45,1.7117882512831587e-54,4.9154597648901983e-63,6.8617673964856056e-65,6.8096458582359605e-74,1.8656311877360816e-77,6.8288096307520384e-75,5.4701416664351548e-66,4.6529819997690361e-75,1.5216304177326409e-33,6.84444886667397e-35,9.3143975076120511e-43,2.6742511218713105e-44,4.9179762390833926e-44,8.7180818344364314e-48,1.131047412518239e-51,5.619130797036433e-52,8.2086988177985548e-58,9.6789922829142097e-67,7.2789240325845855e-59,8.8089993860327762e-67,2.5211512794131712e-68,6.427026605535244e-67,8.4776993677717143e-69,8.4776993599551615e-69,1.7079208080175005e-78,6.8604162328966813e-57,6.0334106688076158e-61,5.4732276070244529e-69,1.6847762150588554e-76,3.2856448789360311e-77,1.11938049585571e-85,1.2544273637820697e-86,7.0557524947490525e-97,1.4556653705242651e-62,2.0837549169873314e-68,6.1086324780665451e-78,2.2042859567784892e-98,6.2371899845353411e-107,3.2969156692985859e-107
