Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371)
0.0,0.41090925021034286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2959808943000401e-20,0.41090925021034286,4.2125292988621646e-24,1.5958318201177686e-38,1.4830645620413072e-38,1.7365867158897103e-59,4.3413368191509272e-51,0.0,0.0,1.6443443451406514e-23,1.7198219217596345e-40,154.0,0.0,0.99999999999999922,1.0,19.0,6.9621699021332776e-17,1.7609653165457122e-17,3.1411996604175834e-16,3.1411998668520501e-16,1.4426278833083583e-25,1.7147886017466411e-26,1.7147034997083953e-26,1.2526682158741068e-26,1.3774339808347584e-25,2.7462057969911825e-38,7.2746872057826713e-30,7.4886256847012225e-31,1.4361934551931062e-41,1.4361934551275141e-41,5.7273458876823369e-52,9.5899294035195265e-42,8.318673267734498e-53,5.1532424552768151e-31,1.6263670849355833e-94,1.5673409050060047e-94,1.5673409050060065e-94,2.9255252188150346e-43,7.175549903911567e-47,4.0117597194658847e-38,1.0374925306948391e-43,2.5699426870310845e-48,6.1406144084600257e-56,2.1182584081464343e-67,2.7459226544142075e-78,2.2842280826208173e-80,1.0320888693850221e-91,4.6846975627032332e-95,6.2515449554734242e-93,3.05767505628836e-81,1.6328312703995822e-90,1.0043820429122e-41,3.0449594379608886e-40,1.6622508281707687e-50,2.8313545988229141e-52,5.2625410793353893e-52,2.3606503331921793e-57,5.3847636467646929e-62,2.6620366634054723e-62,9.8757588178811735e-70,3.1633510655899525e-81,5.2453781667123796e-71,2.8634623091681737e-81,4.8773663343577173e-83,2.0917860287790622e-81,1.642667266547036e-83,1.6426672665401682e-83,1.5032143575355009e-95,1.4192122756722127e-69,7.3059125940322893e-74,1.8075411224890941e-84,2.5315579085481412e-94,4.9337056653317895e-95,4.611060611177066e-106,5.120211824416149e-107,1.3175878959543888e-119,9.934511208585423e-76,3.8851790206107997e-84,5.364448259652056e-95,2.4593485471157185e-121,3.1880817111891498e-132,1.6862451771321717e-132,1.6848628117571842e-86
3.628746504040112e-20,0.41090925021034286,1.1795082036963296e-23,9.2734582797709998e-38,8.9577099548215426e-38,2.6243300204376511e-58,5.1540350787442209e-50,0.0,0.0,4.6041645002919952e-23,1.0387725038881736e-39,154.0,0.0,0.999999999999998,1.0,19.0,1.9494075725973018e-16,4.9307027927789315e-17,8.7953590486135882e-16,8.7953596262243341e-16,8.7134722772344659e-25,1.03573231535594e-25,1.0356312208989556e-25,7.5661159836734303e-26,8.3197011125279402e-25,3.2601322846347139e-37,4.3939110718919563e-29,4.5231299132370387e-30,1.7050488698939254e-40,1.7050488697471986e-40,1.2811843121231998e-50,1.1385164022770527e-40,1.8608539190733734e-51,3.1125584427267461e-30,1.7330203348788613e-92,1.6701233597399113e-92,1.6701233597399158e-92,3.4731835524849149e-42,8.5188128450681981e-46,4.7620027410079987e-37,1.231709182378405e-42,3.0510358933289513e-47,1.3736308528777066e-54,8.7410524595092876e-66,2.0670619956377044e-76,1.7195098526862583e-78,1.4087961932669345e-89,6.3945890122007822e-93,8.5333201854485043e-91,2.3017414178700244e-79,1.2486763413431298e-88,1.192402344055144e-40,1.839155500272274e-39,1.9734241828695065e-49,3.3613841376147032e-51,6.2476862480564076e-51,3.0522566174051144e-56,1.2044711470623745e-60,5.9545266145777182e-61,2.3971933032756582e-68,1.4137744800868095e-79,1.2732373932265184e-69,1.2797467608378807e-79,2.1797907925767343e-81,9.348675990555862e-80,7.3414607810425321e-82,7.3414607809865966e-82,1.2243105566110063e-93,5.8564193985914939e-68,3.0148052627839695e-72,1.3606718291533622e-82,3.4555640403051557e-92,6.7344838591197801e-93,1.1375445109933898e-103,1.2631517045669208e-104,5.864035602601949e-117,4.6311999675598747e-74,3.2989491455346079e-82,4.3691377758347802e-93,1.0945537283519259e-118,2.5571766609875607e-129,1.3525458888328107e-129,7.5300492616721368e-85
8.294277723520257e-20,0.41090925021034286,2.6960187513762486e-23,4.3849227945589273e-37,4.312751746554192e-37,2.8231348710584919e-57,5.0602622064923835e-49,0.0,0.0,1.0523806146187358e-22,5.0012430955759188e-39,154.0,0.0,0.99999999999999545,1.0,19.0,4.455788737365186e-16,1.1270177371049134e-16,2.0103677822783013e-15,2.0103679141123658e-15,4.1951616777386813e-24,4.9866052523937585e-25,4.9856124543891318e-25,3.6427591114527072e-25,4.0055778186964831e-24,3.2004714937926067e-36,2.1154790388404669e-28,2.177692348627364e-29,1.6740270910279599e-39,1.6740270907380521e-39,2.5314040710977716e-49,1.1178021200970024e-39,3.6767336932212876e-50,1.4985629056038334e-29,3.9439488037590477e-90,3.8008100044813676e-90,3.8008100044813876e-90,3.40999221359037e-41,8.3638209653469787e-45,4.6737568817793329e-36,1.2092952486041939e-41,2.9955249953889437e-46,2.7140629683176987e-53,3.4578732752144001e-64,1.6343636940575448e-74,1.3595646771938126e-76,2.2255526104804363e-87,1.0101883003017117e-90,1.34805266950433e-88,1.8199176485788357e-77,1.2261245730850532e-86,1.1707076556187797e-39,8.8547420417488494e-39,1.9375195642779016e-48,3.3002267898536664e-50,6.1340100659552823e-50,3.5256202515562048e-55,2.3794907293347065e-59,1.1763658592293764e-59,5.5495032179520815e-67,6.540686545522951e-78,2.9475449476981175e-68,5.9206153206573868e-78,1.0084414841941905e-79,4.3250739480463646e-78,3.3964558860830561e-80,3.3964558860313771e-80,1.13116504939583e-91,2.3167412755655868e-66,1.1926269583589856e-70,1.0758422805647067e-80,5.4589441642031211e-90,1.0638833744467957e-90,3.5908894482053188e-101,3.987394302851676e-102,3.6997488862814798e-114,2.3457683004583587e-72,3.3355603526168729e-80,4.0367339163519322e-91,6.9057799301920781e-116,3.2252921809352267e-126,1.7059265972166073e-126,3.4837059400829144e-83
1.7625340162480547e-19,0.41090925021034286,5.7290398469748598e-23,1.8988283436524766e-36,1.8834919939351329e-36,2.5949480483156097e-56,4.475744617397452e-48,0.0,0.0,2.2363094780348787e-22,2.1841748192656081e-38,154.0,0.0,0.99999999999999034,1.0,19.0,9.4685510669006967e-16,2.3949125030804791e-16,4.2720315362231508e-15,4.2720318155544523e-15,1.8321371979822031e-23,2.1777815226832485e-24,2.1769034246964098e-24,1.590888571840757e-24,1.7493409515034618e-23,2.8301659873035296e-35,9.238852745132958e-28,9.5105546145717818e-29,1.480658003841122e-38,1.4806580033252471e-38,4.5044974639877276e-48,9.8868325431306416e-39,6.5425509091178473e-49,6.5446179141650684e-29,6.6650991175430605e-88,6.4232008748896274e-88,6.4232008748896955e-88,3.0160994992653734e-40,7.3977049233671294e-44,4.1310315807748967e-35,1.0696006046646499e-40,2.6495076913311838e-45,4.8295296099450997e-52,1.2340903021267838e-62,1.1681747277650171e-72,9.7175989804050718e-75,3.1835801727883918e-85,1.4450413060991274e-88,1.9283374308933241e-86,1.3008009242483181e-75,9.6625981560374902e-85,1.0354775984014387e-38,3.8670984822411524e-38,1.7137141116313774e-47,2.9190130630806032e-49,5.425452937331909e-49,4.0592303788469909e-54,4.2329569896999487e-58,2.0927503507930959e-58,1.2781812277210651e-65,3.0132258402096867e-76,6.7888898713343591e-67,2.7275605729051491e-76,4.6456277628127149e-78,1.9925184221877086e-76,1.5647138214774415e-78,1.5647138214298237e-78,1.0422643196052845e-89,8.2682848210877021e-65,4.2564007403982189e-69,7.68967047770368e-79,7.8088413507099139e-88,1.5218504196292773e-88,1.0276662962368428e-98,1.141141066053819e-99,2.1179846055822404e-111,9.2570577090087892e-71,2.6399292403077194e-78,3.7194781884406362e-89,3.9533319777099235e-113,3.6930449725023619e-123,1.9533311372491935e-123,1.604909391895016e-81
3.6287465040401126e-19,0.41090925021034286,1.1795082039127167e-22,7.8947831637244747e-36,7.8632083092270611e-36,2.2200339183779457e-55,3.7621330355571055e-47,0.0,0.0,4.6041693418154437e-22,9.1185046366846178e-38,154.0,0.0,0.99999999999998002,1.0,19.0,1.9494075725970684e-15,4.9307014363178487e-16,8.795359040556709e-15,8.7953596122900493e-15,7.6488111129264478e-23,9.0918091526459125e-24,9.0844304191815412e-24,6.6416463196928766e-24,7.3031531289759804e-23,2.37789142452586e-34,3.8570391509172687e-27,3.9704693335296906e-28,1.2445822678601348e-37,1.2445822669900363e-37,7.5974905694618768e-47,8.3104774323672974e-38,1.1034967541038958e-47,2.7322491461556623e-28,9.7591732630487752e-86,9.4049809516649106e-86,9.404980951665112e-86,2.5352133655015831e-39,6.2182167278280667e-43,3.4675902783152343e-34,8.9905139556660923e-40,2.2270704491571763e-44,8.1457061337360126e-51,4.1697114804851189e-61,7.9003699636281244e-71,6.5720157509310305e-73,4.3078458353961069e-83,1.9553505327466707e-86,2.6092992040373217e-84,8.7973214172031723e-74,6.8437676805030717e-83,8.7038120406027824e-38,1.6144374904351188e-37,1.4404799677256647e-46,2.4536060963317234e-48,4.5604041194384834e-48,4.9948029108478849e-53,7.1353882073729521e-57,3.5279425902810577e-57,3.1368006137498454e-64,1.4769841844241485e-74,1.6660699937356521e-65,1.336955627962901e-74,2.2769805918736066e-76,9.766690588816178e-75,7.6697333814243392e-77,7.6697333809578342e-77,1.0211035731114026e-87,2.7936663741815733e-63,1.4381415019360774e-67,5.2005274710326129e-77,1.0566496254796045e-85,2.0592845930579806e-86,2.7817212027258011e-96,3.0888794943395671e-97,1.1467216330813887e-108,3.2732542196735739e-69,1.8697448615209942e-76,3.6439628574880749e-87,2.1404174938815001e-110,3.9991857769053374e-120,2.1152556118121355e-120,7.8667602815833939e-80
7.361171479624228e-19,0.4109092502103429,2.392716642725213e-22,3.2187823635847518e-35,3.2123771650511138e-35,1.8355690092216492e-54,3.0844239617507356e-46,0.0,0.0,9.3398976171696704e-22,3.7252105323703614e-37,154.0,0.0,0.99999999999995937,1.0,19.0,3.9545125044106546e-15,1.0002276907938679e-15,1.7842014034999259e-14,1.7842015181187238e-14,3.1247880710579305e-22,3.7143006912309433e-23,3.7082555252070231e-23,2.7133289874450126e-23,2.9835755441739891e-22,1.9478461492066656e-33,1.5757263427916618e-26,1.622066273999956e-27,1.0203837365278336e-36,1.0203837350986948e-36,1.2478891892820047e-45,6.813429780811345e-37,1.8124964541038213e-46,1.1162129257088572e-27,1.3344843906850465e-83,1.2860515882244775e-83,1.286051588224532e-83,2.0785210916120198e-38,5.098069753416985e-42,2.8351151074744938e-33,7.3707638245332667e-39,1.8258862354219411e-43,1.3379342013474778e-49,1.3709094255071461e-59,5.197125431329466e-69,4.3232899667778851e-71,5.6688809447712347e-81,2.5731304781629301e-84,3.4336343330005303e-82,5.7871698520977011e-72,4.6045129131042687e-81,7.1359091756862401e-37,6.5955039107687495e-37,1.1809925041970575e-45,2.0116140806878387e-47,3.7388686155729082e-47,6.690627795481713e-52,1.170640915284554e-55,5.7887951541054379e-56,8.3748517426707875e-63,7.8734707156216066e-73,4.448191290953394e-64,7.1269584093464645e-73,1.213643915093686e-74,5.2064253213698736e-73,4.088584795624675e-75,4.0885847951277151e-75,1.0877594921185598e-85,9.1849624823486538e-62,4.7282938962948737e-66,3.4210801518262652e-75,1.3904912860002552e-83,2.7099023042730794e-84,7.32194164654764e-94,8.1304375007711926e-95,6.037036320993598e-106,1.0998030612460426e-67,1.2574140063852862e-74,3.8818346067307655e-85,1.1268452412243386e-107,4.2109373022346023e-117,2.2272555612337827e-117,4.1936162661526001e-78
1.482602143079246e-18,0.41090925021034286,4.8191335218783455e-22,1.2997842843011941e-34,1.2984942120604195e-34,1.4926575425181087e-53,2.4978464942113444e-45,0.0,0.0,1.8811388359050392e-21,1.5057927778782108e-36,154.0,0.0,0.99999999999991818,1.0,19.0,7.9647223680361798e-15,2.0145418271773743e-15,3.5935323966986107e-14,3.5935326220847573e-14,1.2630886177421769e-21,1.501379721061145e-22,1.4964915423380352e-22,1.0967707604629821e-22,1.2060082873857829e-21,1.5746812290560048e-32,6.3693377947773078e-26,6.55665120965613e-27,8.2633320320062325e-36,8.2633320088393053e-36,2.0228791743137283e-44,5.5176893069808896e-36,2.9381339562243713e-45,4.511911099967995e-27,1.7649833462394307e-81,1.7009263289030162e-81,1.7009263289031606e-81,1.6832402744327009e-37,4.1285490483200879e-41,2.2833765492647174e-32,5.9687073594160675e-38,1.4786489231350422e-42,2.1688474489966399e-48,4.4465087378602862e-58,3.3720699521848356e-67,2.8050960837909342e-69,7.3571089264070757e-79,3.3394247499796991e-82,4.4560478760366302e-80,3.7549106389645478e-70,3.0209485376441284e-79,5.7788413502218542e-36,2.6660081211337922e-36,9.5639834356729358e-45,1.6290565281913127e-46,3.0277902911067385e-46,9.622206024879132e-51,1.8933014037070244e-54,9.3649404506105298e-55,2.4024025236867736e-61,4.5111022770831511e-71,1.2760041947781423e-62,4.0833292797208723e-71,6.9516994476162284e-73,2.9830448541982391e-71,2.3425787812881379e-73,2.3425787807190428e-73,1.2456530860092376e-83,2.979119686981283e-60,1.5336103273995415e-64,2.2197128508041261e-73,1.8045889378819457e-81,3.5169293598230182e-82,1.9005921744393741e-91,2.1104601886358544e-92,3.134214013550183e-103,3.6052897220562293e-66,8.2470719035916049e-73,4.4453018266330011e-83,5.8501787272090223e-105,4.372395486786766e-114,2.3126542786831362e-114,2.4027572889724337e-76
2.9755721333128923e-18,0.4109092502103429,9.6719672862971652e-22,5.2237773759564342e-34,5.2211881205024814e-34,1.2038877203014743e-52,2.0104841676215261e-44,0.0,0.0,3.7754506607499866e-21,6.054751621272664e-36,154.0,0.0,0.9999999999998358,1.0,19.0,1.5985142095280646e-14,4.0431662681889864e-15,7.2121943603366786e-14,7.2121947908920255e-14,5.078818297537097e-21,6.0369817859610916e-22,5.9977565140411687e-22,4.4100653925550642e-22,4.8493010473843042e-21,1.2630596488922554e-31,2.5610826980709083e-25,2.6364006013875371e-26,6.6510484828226294e-35,6.6510484455131091e-35,3.2577749605618306e-43,4.4411119078070884e-35,4.7317712547035605e-44,1.8142195988911277e-26,2.2962916950088021e-79,2.2129517602656593e-79,2.2129517602660342e-79,1.354818219579521e-36,3.3230154266290682e-40,1.8179385612585275e-31,4.8036065642829288e-37,1.1901435388616429e-41,3.4928569723394454e-47,1.432500007798888e-56,2.1729457353033618e-65,1.8075904892821488e-67,9.4822826459258289e-77,4.3040506902733081e-80,5.7428499785122462e-78,2.4196464431355683e-68,1.9574786625765885e-77,4.6513095801202421e-35,1.0719901298356586e-35,7.6979258262833974e-44,1.3112052773415666e-45,2.4369607048194547e-45,1.4511978897774018e-49,3.0351615123235315e-53,1.5021286312804219e-53,7.2341162755308338e-60,2.7144020090434065e-69,3.8423047645479723e-61,2.4569331659869328e-69,4.1807011213835352e-71,1.7949759853465568e-69,1.4095976766608156e-71,1.4095976759762224e-71,1.4984570674614244e-81,9.5976252367638369e-59,4.9407269652504874e-63,1.4303734570960012e-71,2.3258641255063353e-79,4.5328325736996725e-80,4.8993169313974578e-89,5.4403258388454376e-90,1.6158916695532506e-100,1.1676128339528645e-64,5.3428356023400116e-71,5.3474711490170594e-81,3.0161485556773662e-102,4.5085402575422666e-111,2.384664187019547e-111,1.4458088861047633e-74
5.961512113780185e-18,0.41090925021034286,1.9377634839585034e-21,2.0944487876496281e-33,2.093929962601591e-33,9.6703666117177419e-52,1.6132869307700964e-43,0.0,0.0,7.5641290163142502e-21,2.428246328858906e-35,154.0,0.0,0.99999999999967093,1.0,19.0,3.2025981549743232e-14,8.1003998232485092e-15,1.444951819657561e-13,1.4449518973026257e-13,2.0368288961635608e-20,2.421099675225685e-21,2.38981371313781e-21,1.7686321861788286e-21,1.9447824121407348e-20,1.0065652845744698e-30,1.0271086965079028e-24,1.0573145467760624e-25,5.3370474906347961e-34,5.3370474307450693e-34,5.2294195192475459e-42,3.5637054334440057e-34,7.5955314693877069e-43,7.2758319388883076e-26,2.9632427180235148e-77,2.8556969496773352e-77,2.8556969496783044e-77,1.0871563107126875e-35,2.6665105667151848e-39,1.4277958250888318e-30,3.8537440259471754e-36,9.5501242233315432e-41,5.6067929960032953e-46,4.5994441819560295e-55,1.3954461869831514e-63,1.1608183383872133e-65,1.2179202534467298e-74,5.5281948816006551e-78,7.3752586889866709e-76,1.5538751628177419e-66,1.2605641613640594e-75,3.7323754877741905e-34,4.299159798869918e-35,6.1771005323230959e-43,1.0521578267248431e-44,1.9553978338065376e-44,2.2504567214510654e-48,4.8279452521133357e-52,2.392003539474819e-52,2.2415029855760059e-58,1.6812397753553137e-67,1.1905445226447297e-59,1.5216813796932527e-67,2.586653866574163e-69,1.1118056030374076e-67,8.7311130784545676e-70,8.7311130699758093e-70,1.8558557537402621e-79,3.0815925394715802e-57,1.5863618921327041e-61,9.1857439634481896e-70,2.9873834721123283e-77,5.8220546664987046e-78,1.2585652489811158e-86,1.3975501896079947e-87,8.3020945376464984e-98,3.7587669318768151e-63,3.4402505967538695e-69,6.6229025277843049e-79,1.5496305177978583e-99,4.6327924804775482e-108,2.4503838731840593e-108,8.9554073963338251e-73
