Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371),S(309),S(3199),S(3198),C7H8O(842),S(1368),C6H7(1328),CH2O(20),S(1448)
0.0,0.7141005756276549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0478920430611297e-21,0.7141005756276549,1.7730341614026972e-22,6.229856442563983e-37,1.6856136399568209e-37,3.8923629999175756e-58,5.5382190093188957e-51,0.0,0.0,8.0549354121051202e-23,2.2232516301217049e-40,154.0,0.0,0.99999999999999911,1.0,19.0,8.8944843204591579e-17,2.1061431589378692e-16,2.9174498628366096e-16,2.9174524413539141e-16,3.0993167122323968e-25,1.6175962306729787e-27,1.6175702486808495e-27,1.0408667850335137e-27,4.0681978703126829e-25,9.9312910299654955e-40,1.7158035647957906e-30,1.2556332150328727e-30,1.0513801167485379e-41,1.051380116744207e-41,3.7510350281910781e-53,3.6184522169968909e-41,5.8009202391941958e-54,1.2555865808090432e-31,7.9251447506472679e-96,7.4974130437856821e-96,7.4974130437857054e-96,7.386509943475385e-45,2.23355903117807e-47,1.2779876154770113e-39,4.9851960066927165e-45,2.8507042708473457e-48,2.9021980943722672e-56,2.5289459686329243e-68,3.1387356962025228e-80,2.4040501670877894e-81,9.876797471005095e-94,1.4332564856897967e-97,1.8692947989774457e-94,3.3210590233935632e-83,8.9488596678507757e-91,2.7566823901046959e-41,2.870132320621979e-39,1.5913607573862979e-50,3.5336335934970709e-51,2.7995172591852306e-51,9.993302637127041e-56,1.7422822719114585e-62,9.770131664589066e-63,3.7189338598005627e-69,4.5666850819656177e-81,1.2011723675199399e-69,6.6599649452056272e-81,1.4788496565671139e-81,4.2854525308739524e-81,3.3244235302675368e-82,3.3244235302660029e-82,3.3226402898231118e-95,2.6489066262058929e-71,5.2287387114446825e-74,3.6707996455834246e-85,4.9315774260772975e-96,1.0176475942569131e-96,4.3754514134264297e-108,1.0366189555272589e-108,2.6539925745701797e-122,1.0883421952157922e-74,1.051033837588904e-83,1.4513342442127043e-94,3.6585597634466928e-123,4.5407265590589406e-135,2.2808989069918676e-135,1.6982546047170823e-86,2.6240426235907961e-43,7.2745707911326575e-55,7.2745661669448061e-55,5.4990998948050583e-55,3.3590427027167963e-89,2.3432514219569588e-98,2.5056308815070597e-95,1.2992285543686296e-109
5.734097720571163e-21,0.7141005756276549,4.9644956519360848e-22,2.2904986232912643e-36,1.0181106385353478e-36,5.8821389843154932e-57,6.5749737636411474e-50,0.0,0.0,2.2553819235078925e-22,1.3428439887447968e-39,154.0,0.0,0.99999999999999756,1.0,19.0,2.4904556097285535e-16,5.8972008213280076e-16,8.1688596158900349e-16,8.1688668357048085e-16,1.8719872879112142e-24,9.7702812329536655e-27,9.7699644417446893e-27,6.2868353714750068e-27,2.4571915054293982e-24,1.1790019031528265e-38,1.0363453531275362e-29,7.5840246186964448e-30,1.2481984745884753e-40,1.2481984745787866e-40,8.3909152276764092e-52,4.2958264588217361e-40,1.2976426505031184e-52,7.5837429480509281e-31,8.4448567228948839e-94,7.9890753972625226e-94,7.9890753972625715e-94,8.7692651460271438e-44,2.651681281783304e-46,1.5170689117997348e-38,5.9184225419665032e-44,3.3843560797864771e-47,6.4921009931739992e-55,1.0435766262182898e-66,2.3627618696114844e-78,1.8097089456544188e-79,1.3481779763852953e-91,1.9563882791647243e-95,2.5515777736623914e-92,2.5000103184084024e-81,6.8841687913668736e-89,3.2727333234782015e-40,1.7335599216279571e-38,1.8892634910940277e-49,4.1951297834635744e-50,3.3235866364892529e-50,1.1889172180041069e-54,3.8972549728971716e-61,2.1854506316081194e-61,8.3359352911924787e-68,1.8881750050271783e-79,2.6924101117711969e-68,2.7536773923331375e-79,6.1145498264083573e-80,1.7718946267170399e-79,1.3745405544087585e-80,1.3745405544076066e-80,2.5060722398030993e-93,1.0930795610221209e-69,2.1576536643418416e-72,2.7632863431703034e-83,6.7315788671300481e-94,1.3890839474189189e-94,1.079419972731974e-105,2.557329761760481e-106,1.1811816947708263e-119,3.9027845948181283e-73,6.8892983165761588e-82,1.0946560996197147e-92,1.6282727627946593e-120,3.6421400397629834e-132,1.8295207006696969e-132,7.0218453696670322e-85,3.1152633981092441e-42,1.6272916257284253e-53,1.6272897175471023e-53,1.2301266483256513e-53,1.3888544507703697e-87,1.7673767919214633e-96,1.9334129990443604e-93,1.7768691908308566e-107
1.310650907559123e-20,0.7141005756276549,1.1347418633036986e-21,7.8100798589990739e-36,4.9017644650158543e-36,6.3277367438781697e-56,6.4553482984807768e-49,0.0,0.0,5.1551587205764889e-22,6.4652158026295409e-39,154.0,0.0,0.99999999999999434,1.0,19.0,5.6924699650937873e-16,1.3479316051316166e-15,1.8671679121787004e-15,1.8671695624062001e-15,9.012812905014493e-24,4.7039698383303354e-26,4.7036545005339732e-26,3.0268405956863393e-26,1.1830319283277338e-23,1.1574642911584959e-37,4.9895567662893408e-29,3.6513813891624317e-29,1.2254886640343883e-39,1.2254886640152455e-39,1.65790341149493e-50,4.2176678632209581e-39,2.5639231915332903e-51,3.651245776939153e-30,1.9218518046273953e-91,1.8181266388938582e-91,1.8181266388938792e-91,8.6097167588954376e-43,2.6034364066441219e-45,1.489132717324191e-37,5.8107377781509574e-43,3.3227808033528428e-46,1.2827297307718004e-53,4.1282852766378629e-65,1.8681647294252008e-76,1.4308824204101197e-77,2.1297907417300577e-89,3.0906141072811296e-93,4.0308660570730313e-90,1.9766829489662309e-79,7.2500079026352031e-87,3.2131889627383362e-39,8.3463447879529449e-38,1.854890098577016e-48,4.1188032584981307e-49,3.2631165310985278e-49,1.1726075737999677e-53,7.6996239417562314e-60,4.3176984852157861e-60,1.6543174843397351e-66,7.5019572538478883e-78,5.3432529971112062e-67,1.0940703707085914e-77,2.4293788395876682e-78,7.0399614345843401e-78,5.4612236741510713e-79,5.4612236741424936e-79,1.9900466493253917e-91,4.3241154541125687e-68,8.5354632781772561e-71,2.1848474097118515e-81,1.0634244724801995e-91,2.1944121763526973e-92,3.4074078580307443e-103,8.0727296829463067e-104,7.4523349014608501e-117,1.2893382672678379e-71,4.5513961431401758e-80,8.692553505093668e-91,1.0273130707275023e-117,4.5937248409710534e-129,2.3075210173545199e-129,2.7898885421143406e-83,3.0585840677424081e-41,3.2152507354879425e-52,3.2152431869363548e-52,2.4305229554865846e-52,5.5180945899820873e-86,1.4034560546925926e-94,2.1065635548407436e-91,2.819121683315776e-105
2.7851331785631367e-20,0.7141005756276549,2.4113264595375296e-21,2.7587463442124435e-35,2.140729322767295e-35,5.8162803178463855e-55,5.7096824926527186e-48,0.0,0.0,1.0954712444609025e-21,2.8235296345489911e-38,154.0,0.0,0.99999999999998801,1.0,19.0,1.2096498675824088e-15,2.8643546132124022e-15,3.9677318132741387e-15,3.96773531993981e-15,3.9361321272392461e-23,2.0543472124724408e-25,2.054066456562043e-25,1.3219008012950812e-25,5.1666111675854301e-23,1.0236097372422501e-36,2.1790705271492796e-28,1.5946541829334801e-28,1.083930845062886e-38,1.0839308450288222e-38,2.9501504017481909e-49,3.7304794117228156e-38,4.5623642780607904e-50,1.5945949575721532e-29,3.247844587359243e-89,3.07255364281994e-89,3.0725536428200125e-89,7.6151970662754354e-42,2.3027100185795632e-44,1.3165263024594008e-36,5.1395236318562176e-42,2.9389618761044595e-45,2.2825489333286676e-52,1.4733556367334309e-63,1.3352859839900384e-74,1.0227348855637952e-75,3.0465961054433806e-87,4.421022671328481e-91,5.7660182768296617e-88,1.4128502669292209e-77,5.8619678907221997e-85,2.8420292114501696e-38,3.6450680467602935e-37,1.6406292859468324e-47,3.6430347675794344e-48,2.8861886624938096e-48,1.0466247821053352e-52,1.369858485599507e-58,7.68174240326799e-59,2.9697863317260152e-65,2.7006891926877662e-76,9.5920643210485768e-66,3.9386282425716956e-76,8.7456498520039248e-77,2.5343722093458922e-76,1.9660298933907802e-77,1.9660298933848006e-77,1.4346826848854066e-89,1.5432463146205235e-66,3.0462461822019003e-69,1.5616375543703451e-79,1.5211940199414528e-89,3.1390350351167872e-90,9.7515638787740678e-101,2.3103116733371866e-101,4.2662168451666943e-114,3.9660752701381743e-70,2.803199106193755e-78,6.2667154086190227e-89,5.8810297519585132e-115,5.2599367543916313e-126,2.64217275334746e-126,1.0043579109348165e-81,2.7052829531556324e-40,5.7213551140817319e-51,5.7213281740089322e-51,4.324985710004502e-51,1.9865033074066253e-84,1.0117924101360592e-92,1.7231525641617606e-89,4.0673434638759336e-103
5.734097720571164e-20,0.7141005756276548,4.964495652059794e-21,1.0209511506447379e-34,8.9371235192502623e-35,4.9759503977881945e-54,4.7993321800546019e-47,0.0,0.0,2.2553820412255464e-21,1.1787680721487756e-37,154.0,0.0,0.99999999999997524,1.0,19.0,2.4904556097284006e-15,5.8972004777065979e-15,8.1688596151292005e-15,8.1688668344557975e-15,1.6432576332593095e-22,8.5764952106879766e-25,8.574127915276756e-25,5.5186755529705146e-25,2.1569583958992761e-22,8.6014616561627479e-36,9.0971904992750144e-28,6.6573673046798769e-28,9.1110918691064697e-38,9.1110918685319318e-38,4.9758593913376047e-48,3.1356926401445784e-37,7.6950940307285331e-49,6.6571200509515683e-29,4.7555599009675538e-87,4.4988953456240325e-87,4.498895345624245e-87,6.4010320229873437e-41,1.9355665191047025e-43,1.1056205091236523e-35,4.3200656179577835e-41,2.470374348862629e-44,3.8498521081928487e-51,4.9781353295703566e-62,9.0305449055832841e-73,6.9167604706607333e-74,4.1224869301824922e-85,5.9822857373389427e-89,7.8022492314477708e-86,9.5551124884193517e-76,4.1981816598519408e-83,2.3888967335975545e-37,1.5217441560071326e-36,1.379047769693238e-46,3.0621901126944934e-47,2.4260138690850622e-47,8.9567670086025573e-52,2.3096285270765061e-57,1.2951755778660086e-57,5.0967791044149753e-64,9.282468014941138e-75,1.6462003503095144e-64,1.3537337953143037e-74,3.005900357033502e-75,8.7108281360451658e-75,6.7573938903322102e-76,6.7573938902916255e-76,9.8688958937995115e-88,5.2142807906212157e-65,1.0292577134869179e-67,1.056136210798714e-77,2.0583965096448274e-87,4.2475704355577812e-88,2.6395865017196357e-98,6.2536306416413051e-99,2.3098200988280142e-111,1.2190720591684004e-68,1.7233184790798143e-76,4.3107484752750529e-87,3.1841139858924336e-112,5.6959678384349906e-123,2.8611999973704518e-123,3.4520602645127878e-80,2.2739532983816502e-39,9.6498618978239062e-50,9.6497708745668189e-50,7.2947204622053622e-50,6.8277625331239433e-83,6.9599180479196882e-91,1.2401306379871002e-87,5.5975725444770294e-101
1.1632026804587219e-19,0.714100575627655,1.0070834037322732e-20,3.9092195620764333e-34,3.6511065688607287e-34,4.1142122328594909e-53,3.9347824890110213e-46,0.0,0.0,4.5752038425873816e-21,4.8156524507474741e-37,154.0,0.0,0.99999999999994982,1.0,19.0,5.0520670940201139e-15,1.1962891600025556e-14,1.6571115217496045e-14,1.657112986128349e-14,6.7132432299691625e-22,3.5037781358122711e-24,3.501834672627756e-24,2.2545589714395792e-24,8.8118783418491606e-22,7.0477461665625958e-35,3.7164991524132527e-27,2.7197517678837977e-27,7.4698235816785189e-37,7.4698235807348409e-37,8.1728624666483945e-47,2.570830139773277e-36,1.2639214482724695e-47,2.7196507570740197e-28,6.502825907197193e-85,6.1518588381986901e-85,6.1518588381992707e-85,5.2479528036866847e-40,1.5868943740401076e-42,9.0482022114730265e-35,3.5418283767718006e-40,2.0253618272117596e-43,6.32339268804167e-50,1.6367017366242839e-60,5.9405931872672627e-71,4.5500753901355433e-72,5.4249602136956781e-83,7.8723505749763537e-87,1.0267291403855104e-83,6.2856712140235627e-74,2.8392084927685768e-81,1.958561768749035e-36,6.2168214084867541e-36,1.1306266793719924e-45,2.5105682693526821e-46,1.9889901070538269e-46,7.6044626456857737e-51,3.7908216136916406e-56,2.1258117714626424e-56,8.659918584238385e-63,3.1554077307737125e-73,2.7970529452003461e-63,4.6017619190601668e-73,1.0217717411620952e-73,2.9610916809896617e-73,2.297057064577082e-74,2.2970570645494599e-74,6.7106646984545032e-86,1.7143414327759322e-63,3.3839740232541751e-66,6.9476164474011511e-76,2.7087339542278529e-85,5.5895636033640116e-86,6.9478245734890886e-96,1.6460583408016199e-96,1.216029150390091e-108,3.7987144276824901e-67,1.0737596128481725e-74,2.9312283692365477e-85,1.6763103877025701e-109,5.9975623455748648e-120,3.0126970265317661e-120,1.173468162918619e-78,1.8643242524820646e-38,1.5849796548138797e-48,1.5849497291212835e-48,1.1981599965160587e-48,2.3209776222650154e-81,4.732614102064239e-89,8.4060254212529798e-86,7.6131361911185928e-99
2.3427884972619326e-19,0.7141005756276548,2.0283510808722257e-20,1.5278217906804803e-33,1.4758356513756578e-33,3.3456094160645061e-52,3.1864888775753898e-45,0.0,0.0,9.2148482766412404e-21,1.9465639211702821e-36,154.0,0.0,0.99999999999989897,1.0,19.0,1.0175290062602461e-14,2.4094271417986208e-14,3.3375626416856668e-14,3.3375655906127002e-14,2.7135999389047854e-21,1.416283141550655e-23,1.4147088384345518e-23,9.1132873351045619e-24,3.5619017084516293e-21,5.7005730467474692e-34,1.502268378664168e-26,1.0993671491635638e-26,6.0492568021067769e-36,6.0492568005770334e-36,1.324855730611627e-45,2.0819246782605831e-35,2.0488709490287242e-46,1.0993263193074434e-27,8.6006097692679285e-83,8.1364222229320667e-83,8.1364222229336088e-83,4.2499282524800865e-39,1.2851082065857151e-41,7.3011366936630158e-34,2.8682281280053834e-39,1.64019000412388e-42,1.0250488928209341e-48,5.3086012640165952e-59,3.8544584058806505e-69,2.9522432837650733e-70,7.0405498933768849e-81,1.0216789635656346e-84,1.3324886228130841e-81,4.0783567381778023e-72,1.8674219337429126e-79,1.5860939301929512e-35,2.5129386103638662e-35,9.156107971695126e-45,2.0331229599357907e-45,1.6107314865965854e-45,6.5812941599499539e-50,6.1361878206527763e-55,3.4411212770252408e-55,1.497326908387089e-61,1.0906117829275374e-71,4.8361916998727511e-62,1.5905105338519361e-71,3.5313695873391288e-72,1.0234516352275585e-71,7.9393972987400211e-73,7.9393972985463782e-73,4.6377464568977348e-84,5.5604249667178386e-62,1.0975837653955005e-64,4.5078502003138873e-74,3.515413891692092e-83,7.2541747179475565e-84,1.8034831276186194e-93,4.2727606521217792e-94,6.3131911448401788e-106,1.1973352932294875e-65,6.7676101253703588e-73,2.025774583390812e-83,8.7028077364161759e-107,6.2275256795666461e-117,3.1282122673049324e-117,4.055900561442248e-77,1.5097780377812211e-37,2.5692779820588637e-47,2.5691809237406515e-47,1.9422688897346308e-47,8.0220745834053819e-80,3.2707138307232612e-87,5.5350715023597894e-84,1.0521612079787792e-96
4.701960130868354e-19,0.7141005756276548,4.0708864355015868e-20,6.0386060731130496e-33,5.9342702451391005e-33,2.6983557703894955e-51,2.5647634678514229e-44,0.0,0.0,1.8494140470069717e-20,7.8270495619958722e-36,154.0,0.0,0.99999999999979727,1.0,19.0,2.0421735999762833e-14,4.835702134720233e-14,6.6984648794085542e-14,6.6984707960608231e-14,1.0911263511466898e-20,5.6948122094178115e-23,5.6821489838884712e-23,3.664412353319897e-23,1.4322246837367798e-20,4.5772892480514195e-33,6.0405550748270501e-26,4.4205069508052963e-26,4.8689681436119725e-35,4.8689681411483698e-35,2.1336377184073746e-44,1.6757137467235883e-34,3.299642905350345e-45,4.4203427783897064e-27,1.1189629084067843e-80,1.0585708361285685e-80,1.0585708361289703e-80,3.4207120014262439e-38,1.0343668856991662e-40,5.8346404223402785e-33,2.3085410630936471e-38,1.3201667802251778e-41,1.6508086388417613e-47,1.7102355884330982e-57,2.4837965345778871e-67,1.9024129640184413e-68,9.0742896415206872e-79,1.3168021000826669e-82,1.7173735230807151e-79,2.6280756650784034e-70,1.2115109199662921e-77,1.2766261095639024e-34,1.0104415618214441e-34,7.369632238700711e-44,1.6364337280289223e-44,1.2964499569305397e-44,5.9781360413687442e-49,9.8536055063698686e-54,5.5260673526442769e-54,2.7126092428065208e-60,3.9462935560654927e-70,8.7614122368958793e-61,5.7550773472528903e-70,1.2776491309594966e-70,3.7032929214886682e-70,2.8728227885197876e-71,2.8728227883756435e-71,3.3540940857724651e-82,1.7913646771754291e-60,3.5360116757321039e-63,2.9048406252871857e-72,4.530881471181775e-81,9.349626034842021e-82,4.6490028576964002e-91,1.1014289824368614e-91,3.2548630457574831e-103,3.8007173539991722e-64,4.2960100879453243e-71,1.4650733092913676e-81,4.4868667298079229e-104,6.4214370409791355e-114,3.2256178732113593e-114,1.4676036559254222e-75,1.2152005873695249e-36,4.1376066159954609e-46,4.1372939615747367e-46,3.1279638582002257e-46,2.9027389463041092e-78,2.3654336383228537e-85,3.5931239768479673e-82,1.5213784919513695e-94
9.420303398081197e-19,0.714100575627655,8.1559571461581386e-20,2.4008113129853008e-32,2.3799077854800591e-32,2.1674670186868036e-50,2.0580611604314192e-43,0.0,0.0,3.7052738158209662e-20,3.1389982695236039e-35,154.0,0.0,0.99999999999959377,1.0,19.0,4.0914627874066282e-14,9.6882482378844941e-14,1.3420269346257389e-13,1.3420281192908029e-13,4.3759026855449373e-20,2.283874392763908e-22,2.2737320160645704e-22,1.4695929257508703e-22,5.7438589337351382e-20,3.6554109210671393e-32,2.422532752538208e-25,1.772820996024044e-25,3.9070402916511882e-34,3.9070402876965672e-34,3.4249559542034128e-43,1.3446541749258212e-33,5.2966557139042546e-44,1.7727551576611713e-26,1.4439623520101507e-78,1.3660295822549283e-78,1.3660295822559648e-78,2.7449059629036843e-37,8.3001428226163704e-40,4.6159845622906192e-32,1.8523649948418558e-37,1.0593493704559337e-40,2.6499102456822242e-46,5.491201240859247e-56,1.5950743259863522e-65,1.2217144346202786e-66,1.1655188084219604e-76,1.6913253684729534e-80,2.2057780229414611e-77,1.6877292347841734e-68,7.806443282558083e-76,1.0244116164784627e-33,4.05232258512168e-34,5.913665715757613e-43,1.3131341927501817e-43,1.0403084111965242e-43,5.8898819040913895e-48,1.5726383126214219e-52,8.8204118738854104e-53,5.321343464772968e-59,1.5449530469920005e-68,1.7187320223514146e-59,2.2530348004490407e-68,5.0007613025089325e-69,1.4498298377292618e-68,1.1247057775309439e-69,1.1247057774132559e-69,2.6234730515075099e-80,5.7516943273035614e-59,1.135338788438852e-61,1.8654670359596773e-70,5.8195540929027881e-79,1.2008844836545378e-79,1.1942693274782023e-88,2.8294327462022456e-89,1.6722781906835608e-100,1.2111824807314281e-62,2.7378640205163467e-69,1.1459369496267706e-79,2.3052550221510192e-101,6.5984130540522778e-111,3.3145165128623719e-111,5.7456485472351723e-74,9.7512173984694772e-36,6.6413372018418753e-45,6.640333538738605e-45,5.0210737305853658e-45,1.136417816955933e-76,1.8501719833546909e-83,2.3162144138387924e-80,2.3786724701518287e-92
